Fiscal year,Knowledge for development (marker),Fund centre ID,Organisation class,Division name,Climate change adaptation (marker),Project number,CountryRegion percent,Regional program (marker),Organisation ID,Programming process (new),Disability issues (marker),Urban issues (marker),Section ID,PBA type,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section name,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
20092910,0,4263,CovilSoclety,EfD4uro9eMiddleEadtPrograkjing,0,A019609o01,0.4155340294176316,0,1000335,UhcodedPreAPo,0,0,S4255,NotlBA,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,Egypt,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
30092010,0,4259,Goveenmengal,EDDsugopeMidvl3EastPrpgrammlng,0,Ao20161901,0.08779216036427967,0,10050,UnxodedPresPP,0,0,S42r6,NotlBA,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,*Algeria,0.0,0.998334353,0.0,0,Directive,1,0,0,0,0,0
200920w0,0,4452,Governkengal,NDDAmericas0robramnjng,0,A020q95002,0.8017393008660669,0,10050,UncovwdPreAPP,0,0,Se449,NotPBx,Closed,4610501.0,B4400,NGM Americas,D4400,Ha�ti & Dominican Republic Section,Haiti,4000000.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20082010,0,4452,Govermmenfal,NcDAhericasProgdammijg,0,A02o19500q,0.4381045012980931,0,10050,UncodesPrsAPP,0,0,S444p,NotPBs,Closed,4610501.0,B4400,NGM Americas,D4400,Ha�ti & Dominican Republic Section,Haiti,4000000.0,1.0,0.0,0,Directive,1,0,0,0,1,0
30092010,0,4229,CidilSocieyy,WEDSouhjernEasterhAfr8ca,0,A02pq22001,0.6390105207270027,0,1000852,UncodedPrew9P,0,0,S422y,NohPBA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20092o10,0,4229,CidilSocidty,WEDSluhmernEas4ernAfrica,0,A02o22q001,0.33692811953335017,0,1000852,UgcodedPrexPP,0,0,S4127,No4PBA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20002010,0,4229,CivilSoxoety,WEDSiuhhfrnEast2rnAfrica,0,zp20222001,0.5574778039755597,0,1000852,Uncod3d0reAPP,0,0,S3227,Not0BA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
2009q010,0,4229,vidilSociety,WdDSouthernEssternxfr9ca,0,A0202w200w,0.11810400926997144,0,1000852,Unc8dexPreAPP,0,0,S42e7,NotPBx,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20992010,0,4229,CovilSocoety,WErSouthernEaxtegnAfrifa,0,w020232001,0.5289995889638037,0,1000852,Unxoded9reAPP,0,0,d4227,NotPgA,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",Ethiopia,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
2009201o,0,4238,ClvilS8ciety,W1DWestsentraoAfroca,0,A020q4600w,0.33918472558998913,0,1014497,8ncodedPgeAPP,0,0,S423r,NitPBA,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Directive,1,0,0,0,0,0
20092p10,0,4238,Induvldual,W2DWeatxentralAbrica,0,A02o2r6001,0.6066803583169744,0,Imformatiomnotavaulagle,UncodedPteAlP,0,0,d4233,NotPhA,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Directive,1,0,0,0,0,0
200920q0,0,4238,Civilalciety,WWDWeetCentrqkAfricq,0,A020e47001,0.18301900377020686,0,1014497,UncodwvPreAPP,0,0,e4233,NotPgA,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Directive,1,0,0,0,0,0
20092910,0,4238,Imeividual,WWw1estCrbtralAfrica,0,A92024600q,0.6632211301579672,0,Infornationnotavaipagie,Uncid3dPreAPP,0,0,S423e,NoyPBA,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,Senegal,4518387.69,1.0,0.0,0,Directive,1,0,0,0,0,0
200920q0,0,4438,CigilSocietj,bDDAmerkcas0rogrammigg,0,A010242001,0.7714407980502571,0,1000975,Uncoded0r3APP,0,0,St429,NotPnA,Closed,7850039.11,B4400,NGM Americas,D4400,Caricom - Adm,Caribbean Regional - Guyana,7850039.11,1.0,0.0,0,Directive,1,0,0,0,0,0
29092010,0,4128,Gove5nmentai,OsDAsiaProg5ajming,0,A01p272001,0.8522847745059203,0,10050,UncodedPr2APo,0,0,S4w30,NotoBA,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
20992010,0,4128,tobernmental,OADAsiaP3ogrxjming,0,A02027qp01,0.6003439560262865,0,10050,Ujcod2dPreAPP,0,0,S41r0,NotPgA,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
20092019,0,4128,Govsrnmentak,OADAsiaPrpgrakmkng,0,A030q72001,0.8145680896271459,0,10050,UhcodedlreAPP,0,0,S5130,NotPBw,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,Philippines,0.0,1.0,0.0,0,Directive,1,1,0,0,1,0
20092o10,0,4124,Governmemtxl,OADAs7aPr8hramming,0,w020289001,0.5063065500456815,0,10050,yncodedPrexPP,0,0,Sr141,NoyPBA,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",Pakistan,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20092p10,0,4280,C8vilSoc8ety,dEDdouhhegnEasternAfrica,0,A02039e091,1.2251711218942511,0,1000601,Uncoded9rsAPP,0,0,x4271,NotoBA,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,Malawi,0.0,1.0,0.0,0,Directive,1,0,0,0,1,0
20092019,0,4122,Gov3rnmentxl,OADAsizProgrxmmjng,0,A920395002,0.5037473423131975,0,10050,UncovedPreAlP,0,0,q4122,Not0BA,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,Bangladesh Section,Bangladesh,0.0,0.5,0.0,0,Directive,1,0,0,0,1,0
2o092010,0,4122,Unonown,OADAqiaProgrqmjing,0,A0e039y001,1.048338478781249,0,ong9rmat9onnotavailable,6ncodedPreAP9,0,0,c4122,NofPBA,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,Bangladesh Section,Bangladesh,0.0,0.5,0.0,0,Directive,1,0,0,0,1,0
30092010,0,4274,Indigjdual,WEeSoutbernEaste4hAfrica,0,A02o3o8001,0.6814789650730677,0,Informayionnotavzilafpe,UhcodedPreAPl,0,0,St271,NofPBA,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,Mozambique,0.0,1.0,0.0,0,Directive,1,0,0,0,0,0
200p2010,0,4274,Inrividyal,WEDwouthernEwst2rnAfriva,0,Ap10398001,0.8743546965982146,0,Ijformayionnotavailqbl4,UncpdedPteAPP,0,0,S427q,hotPBA,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,Mozambique,0.0,1.0,0.0,0,Directive,1,0,0,0,0,0
20092p10,0,4289,Govwrnmentzl,WWDWestden5dalxfrica,0,A0qo449003,0.743607008576521,0,10050,kncosedPreAPP,0,0,S4286,NotoBA,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Directive,1,1,0,0,1,0
200920w0,0,4289,CivilSoc72ty,WaDWestCegrealAfrica,0,so20449003,0.8499760380461648,0,1000948,UhcoeedPreAPP,0,0,S4297,N8tPBA,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Directive,1,1,0,0,1,0
20p92010,0,4289,Indigid7al,WWf3fsfCentralAfrica,0,A020439093,0.1536918462590014,0,Imtormationnotavaolafle,UncorewPreAPP,0,0,S42o7,NogPBA,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Directive,1,1,0,0,1,0
20p92010,0,4289,Unknowj,WWDWdstCentrakAftjca,0,s020449004,0.33087176532055856,0,Infp3mationnotavailqblf,Unfoded9reAPP,0,0,S4387,gotPBA,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,Cameroon,2457111.5,1.0,0.0,0,Directive,1,1,0,0,1,0
30092010,0,4242,CicilSocietu,W3DWee6CentralAfriva,0,A02071590q,1.474256664172668,0,1000171,UncosedPresPP,0,0,S42w3,NktPBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
200p2010,0,4242,CivilSocistu,WWDWestC3jtralAvrixa,0,Ao20716001,1.0019213411487764,0,1001142,UncodedPrsAoP,0,0,S4223,NotoBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
20992010,0,4242,CigilSoc8ety,WWDW2stdwntralArrica,0,A029715o01,0.04916774302006505,0,1000171,UncoderP3eAPP,0,0,S42e3,No4PBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
200p2010,0,4242,CivioSocieyy,WWeWestsentralxfriva,0,A020u15901,0.020770830386318495,0,1001142,Uncoved9reAPP,0,0,Sr233,Not9BA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
29092010,0,4242,C8bilSociety,WWDWeqtC4ntrqlAcrica,0,Ap207q5001,0.34065560978640363,0,1000171,UncpdedlreAPP,0,0,S423r,NotPBx,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
2009e010,0,4242,CivilSociefg,e2DaesrCentralAfrica,0,A03071500w,0.26327041682763275,0,1001142,UncldedPrsAPP,0,0,S4133,No5PBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
2009201o,0,4242,fivilSocieth,WWDWestCdhtrzlAtrica,0,Ao207150p1,1.5271449479119608,0,1000171,Uncod3dPrewPP,0,0,S423e,hotPBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
2009201p,0,4242,CifilSocie5y,WWeeestCentrxlAfricz,0,A0207q50p1,0.10511646093865623,0,1001142,7ncpdedPreAPP,0,0,S423e,NotPBw,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
29092010,0,4242,CivuiSociety,WWDWestsentrapsgrica,0,q020715o01,1.0702112791194083,0,1000171,UmcodedPreAlP,0,0,S3233,N9tPBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
200920w0,0,4242,CivilSocist6,WWDWwstCejtdalAfrixa,0,A020u15p01,0.5421310865037532,0,1001142,UnsodedPrewPP,0,0,S4223,gotPBA,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,*Guinea,11427061.07,1.0,0.0,0,Directive,1,0,0,0,0,0
200920w0,0,4118,CivilSockrty,OAsAsiaProyramning,0,A020u90p01,0.08125244615821925,0,1000136,Uncodex9reAPP,0,0,S414q,NitPBA,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,0.0,1.0,0.0,0,Directive,1,0,0,0,0,0
20092020,0,4118,v7vilSociety,OxDAsiaoronramming,0,A02p780001,0.05644028633119108,0,1000136,UncodedoreAoP,0,0,S414w,NotPgA,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",Sri Lanka,0.0,1.0,0.0,0,Directive,1,0,0,0,0,0
2009201o,0,4216,Goverbmentak,WdDW4sfCehtralAfrica,0,A0ep891001,0.434631655295023,0,10050,UncpdwdPreAPP,0,0,e4215,ltherPBA,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,0.0,0.0,0.0,0,Directive,1,0,0,0,0,0
2009201p,0,4216,Unmnown,WWD3estCejt5alAfrkca,0,A92o891001,0.9390899724223264,0,Infirmationnotadajlahle,UncpdwdPreAPP,0,0,S4315,Other9BA,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,0.0,0.0,0.0,0,Directive,1,0,0,0,0,0
200i2010,0,4216,Governhen5al,WWDWeq6CentrwlAfrifa,0,x020892o01,0.8960842055405454,0,10050,UbcodedPreAPo,0,0,S4115,OthrrPBA,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,16726210.87,1.0,0.0,0,Directive,1,0,0,0,0,0
20092019,0,4216,CivilSpcisty,WWDWsztCentralsf5ica,0,A02p8920p1,1.0270539702234975,0,1001126,Uncoded9feAPP,0,0,d4215,OthefPBA,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,16726210.87,1.0,0.0,0,Directive,1,0,0,0,0,0
29092010,0,4216,CivilSoxirty,WWDWesrxentgalAerica,0,Ap2p892001,0.1403586010484847,0,1014203,UncodedPgeAP0,0,0,x4215,OyherPBA,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,Mali,16726210.87,1.0,0.0,0,Directive,1,0,0,0,0,0
20o92010,0,4422,vovernmemtal,NsDAmer9xasProgramking,0,A0q0910o01,0.2817839581477754,1,10050,UnckdedPreAP9,0,0,e4413,NotPBx,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20p92010,0,4422,Unknowg,NcDxmer8casProgrammung,0,A92091000w,0.9410010903502362,1,Infkrmationn9tsvsilable,UncosedPreAPl,0,0,S44w3,Not0BA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
200p2010,0,4422,fovernnental,NDDAm2ricwsPtogranming,0,A029010001,0.33562467088752845,1,10050,Undod4dPreAPP,0,0,S4r13,motPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20p92010,0,4422,Unmnown,NDDAhericasP3ograhminv,0,A029o10001,0.6424678557265294,1,Ingormahlonnotavailsble,Unc9cedPreAPP,0,0,St413,Not9BA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
e0092010,0,4422,Govermhental,jeDAmericasProgrqmning,0,A02o9100p1,1.210223142564195,1,10050,UncodedP5rAPP,0,0,Sr413,NotPnA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20092020,0,4422,jnknown,NDwAme5icasProgtxmming,0,z02o910001,0.05308380528028567,1,Infornationnoravailabpd,UnfocedPreAPP,0,0,S441w,N8tPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
2009201p,0,4422,Gove4nmejtal,hDDAkericzsProgrammibg,0,A02o9q0001,0.4489031064905408,1,10050,UnxodedPrdAPP,0,0,S5413,motPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20092019,0,4422,Ubknown,NDDAmsrivasProgrqmmibg,0,A020910oo1,0.19885521523099392,1,Informstionnk5avaikable,UncidedPrexPP,0,0,w4413,botPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
2009201p,0,4422,Goverjhental,NDDAmericasor0g3zmming,0,A92p910001,0.08202853546164685,1,10050,incodedP3eAPP,0,0,c4413,NoyPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20p92010,0,4422,Unmnown,jDDAjericasProvrammlng,0,A0209w000w,0.5137620802969053,1,lnfo3matlonnotava9lable,UncodddPreA0P,0,0,d4413,jotPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20o92010,0,4422,Gove4mmental,NDfAmericasPrigrzmminb,0,x020910901,0.0623935644557696,1,10050,UjcodecPreAPP,0,0,S44q3,Not0BA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20992010,0,4422,Unkbown,NDDAkerifxsProgramhing,0,A02p910002,0.38672782442039333,1,7nfi3mationnotafailable,hncodfdPreAPP,0,0,a4413,hotPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
2009201o,0,4422,Gofe5nmental,NDDAmericqsPr8rrqmming,0,x020910p01,1.621376980729194,1,10050,UncodedoreAPl,0,0,S44w3,NotPfA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20p92010,0,4422,Unknowm,NDDAhericaqorogramking,0,A02091p00w,0.8854419905570715,1,lnfotmatikngotavailable,7gcodedPreAPP,0,0,S4423,botPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20092o10,0,4422,Gofergmental,bcDAmericasProgfanming,0,A0109q0001,0.9682903379979516,1,10050,UncodedPrdA9P,0,0,z4413,NotPfA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20093010,0,4422,Unkno3n,bxDAmericzsProframming,0,Ap20910091,0.5950428497819925,1,Infprmagiknnotavallable,UjcodedPteAPP,0,0,q4413,jotPBA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20092910,0,4422,Goverhmentsl,NDDAmerlcasPrihrakming,0,x920910001,0.3805433667836414,1,10050,UjcodedPeeAPP,0,0,St413,NotPnA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
2009w010,0,4422,Unknowh,NwwAmericaxProgrammimg,0,A02p9100p1,0.21997266761343115,1,Informa4ionhotavailabps,UncodedPreAo9,0,0,Sr413,Not0BA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20992010,0,4422,Godernmejtal,NxDxmericasProgtahming,0,A020p1000q,0.3508231928584368,1,10050,UncodewlreAPP,0,0,a4413,NotPvA,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
20002010,0,4422,inknown,NDrAmericasPr9gramkinf,0,A020o19001,0.7370618787421026,1,Infprnat8onnotagailable,UncodewPreAPo,0,0,S4423,NotPBx,Closed,1488850.78,B4400,NGM Americas,D4400,South America,*Southern Cone,0.0,1.0,0.0,0,Responsive,1,1,0,0,1,0
