film_id,original_language_id,release_year,title,rating,language,replacement_cost,rental_rate,length,description,rental_duration
50,,2006,BAKED CLEOPATRA,G,English,20.99,2.99,182,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,3
51,,2006,BALLOON HOMEWARD,NC-17,English,10.99,2.99,75,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,5
52,,2006,BALLROOM MOCKINGBIRD,G,English,29.99,0.99,173,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,6
53,,2006,BANG KWAI,NC-17,English,25.99,2.99,87,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,5
54,,2006,BANGER PINOCCHIO,R,English,15.99,0.99,113,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,5
55,,2006,BARBARELLA STREETCAR,G,English,27.99,2.99,65,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,6
56,,2006,BAREFOOT MANCHURIAN,G,English,15.99,2.99,129,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,6
57,,2006,BASIC EASY,PG-13,English,18.99,2.99,90,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,4
58,,2006,BEACH HEARTBREAKERS,G,English,16.99,2.99,122,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,6
59,,2006,BEAR GRACELAND,R,English,20.99,2.99,160,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,4
60,,2006,BEAST HUNCHBACK,R,English,22.99,4.99,89,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,3
61,,2006,BEAUTY GREASE,G,English,28.99,4.99,175,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,5
62,,2006,BED HIGHBALL,NC-17,English,23.99,2.99,106,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,5
63,,2006,BEDAZZLED MARRIED,PG,English,21.99,0.99,73,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,6
64,,2006,BEETHOVEN EXORCIST,PG-13,English,26.99,0.99,151,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,6
65,,2006,BEHAVIOR RUNAWAY,PG,English,20.99,4.99,100,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,3
66,,2006,BENEATH RUSH,NC-17,English,27.99,0.99,53,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,6
67,,2006,BERETS AGENT,PG-13,English,24.99,2.99,77,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,5
68,,2006,BETRAYED REAR,NC-17,English,26.99,4.99,122,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,5
69,,2006,BEVERLY OUTLAW,R,English,21.99,2.99,85,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,3
70,,2006,BIKINI BORROWERS,NC-17,English,26.99,4.99,142,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,7
71,,2006,BILKO ANONYMOUS,PG-13,English,25.99,4.99,100,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,3
72,,2006,BILL OTHERS,PG,English,12.99,2.99,93,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,6
73,,2006,BINGO TALENTED,PG-13,English,22.99,2.99,150,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,5
74,,2006,BIRCH ANTITRUST,PG,English,18.99,4.99,162,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,4
75,,2006,BIRD INDEPENDENCE,G,English,14.99,4.99,163,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,6
76,,2006,BIRDCAGE CASPER,NC-17,English,23.99,0.99,103,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,4
77,,2006,BIRDS PERDITION,G,English,15.99,4.99,61,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,5
78,,2006,BLACKOUT PRIVATE,PG,English,12.99,2.99,85,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,7
79,,2006,BLADE POLISH,PG-13,English,10.99,0.99,114,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,5
80,,2006,BLANKET BEVERLY,G,English,21.99,2.99,148,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,7
81,,2006,BLINDNESS GUN,PG-13,English,29.99,4.99,103,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,6
82,,2006,BLOOD ARGONAUTS,G,English,13.99,0.99,71,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,3
83,,2006,BLUES INSTINCT,G,English,18.99,2.99,50,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,5
84,,2006,BOILED DARES,PG,English,13.99,4.99,102,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,7
85,,2006,BONNIE HOLOCAUST,G,English,29.99,0.99,63,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,4
86,,2006,BOOGIE AMELIE,R,English,11.99,4.99,121,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,6
87,,2006,BOONDOCK BALLROOM,NC-17,English,14.99,0.99,76,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,7
88,,2006,BORN SPINAL,PG,English,17.99,4.99,179,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,7
89,,2006,BORROWERS BEDAZZLED,G,English,22.99,0.99,63,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,7
90,,2006,BOULEVARD MOB,R,English,11.99,0.99,63,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,3
91,,2006,BOUND CHEAPER,PG,English,17.99,0.99,98,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,5
92,,2006,BOWFINGER GABLES,NC-17,English,19.99,4.99,72,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,7
93,,2006,BRANNIGAN SUNRISE,PG,English,27.99,4.99,121,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,4
94,,2006,BRAVEHEART HUMAN,PG-13,English,14.99,2.99,176,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,7
95,,2006,BREAKFAST GOLDFINGER,G,English,18.99,4.99,123,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,5
96,,2006,BREAKING HOME,PG-13,English,21.99,2.99,169,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,4
97,,2006,BRIDE INTRIGUE,G,English,24.99,0.99,56,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,7
98,,2006,BRIGHT ENCOUNTERS,PG-13,English,12.99,4.99,73,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,4
99,,2006,BRINGING HYSTERICAL,PG,English,14.99,2.99,136,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,7
100,,2006,BROOKLYN DESERT,R,English,21.99,4.99,161,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,7
101,,2006,BROTHERHOOD BLANKET,R,English,26.99,0.99,73,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,3
102,,2006,BUBBLE GROSSE,R,English,20.99,4.99,60,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,4
103,,2006,BUCKET BROTHERHOOD,PG,English,27.99,4.99,133,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,7
104,,2006,BUGSY SONG,G,English,17.99,2.99,119,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,4
105,,2006,BULL SHAWSHANK,NC-17,English,21.99,0.99,125,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,6
106,,2006,BULWORTH COMMANDMENTS,G,English,14.99,2.99,61,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,4
107,,2006,BUNCH MINDS,G,English,13.99,2.99,63,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,4
108,,2006,BUTCH PANTHER,PG-13,English,19.99,0.99,67,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,6
109,,2006,BUTTERFLY CHOCOLAT,G,English,17.99,0.99,89,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,3
110,,2006,CABIN FLASH,NC-17,English,25.99,0.99,53,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,4
111,,2006,CADDYSHACK JEDI,NC-17,English,17.99,0.99,52,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,3
112,,2006,CALENDAR GUNFIGHT,NC-17,English,22.99,4.99,120,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,4
113,,2006,CALIFORNIA BIRDS,NC-17,English,19.99,4.99,75,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,4
114,,2006,CAMELOT VACATION,NC-17,English,26.99,0.99,61,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,3
115,,2006,CAMPUS REMEMBER,R,English,27.99,2.99,167,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,5
116,,2006,CANDIDATE PERDITION,R,English,10.99,2.99,70,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,4
117,,2006,CANDLES GRAPES,NC-17,English,15.99,4.99,135,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,6
118,,2006,CANYON STOCK,R,English,26.99,0.99,85,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,7
119,,2006,CAPER MOTIONS,G,English,22.99,0.99,176,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,6
120,,2006,CARIBBEAN LIBERTY,NC-17,English,16.99,4.99,92,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,3
121,,2006,CAROL TEXAS,PG,English,15.99,2.99,151,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,4
122,,2006,CARRIE BUNCH,PG,English,11.99,0.99,114,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,7
123,,2006,CASABLANCA SUPER,G,English,22.99,4.99,85,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,6
124,,2006,CASPER DRAGONFLY,PG-13,English,16.99,4.99,163,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,3
125,,2006,CASSIDY WYOMING,NC-17,English,19.99,2.99,61,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,5
126,,2006,CASUALTIES ENCINO,G,English,16.99,4.99,179,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,3
127,,2006,CAT CONEHEADS,G,English,14.99,4.99,112,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,5
128,,2006,CATCH AMISTAD,G,English,10.99,0.99,183,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,7
129,,2006,CAUSE DATE,R,English,16.99,2.99,179,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,3
130,,2006,CELEBRITY HORN,PG-13,English,24.99,0.99,110,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,7
131,,2006,CENTER DINOSAUR,PG,English,12.99,4.99,152,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,5
132,,2006,CHAINSAW UPTOWN,PG,English,25.99,0.99,114,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,6
133,,2006,CHAMBER ITALIAN,NC-17,English,14.99,4.99,117,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,7
134,,2006,CHAMPION FLATLINERS,PG,English,21.99,4.99,51,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,4
135,,2006,CHANCE RESURRECTION,R,English,22.99,2.99,70,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,3
136,,2006,CHAPLIN LICENSE,NC-17,English,26.99,2.99,146,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,7
137,,2006,CHARADE DUFFEL,PG,English,21.99,2.99,66,A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention,3
138,,2006,CHARIOTS CONSPIRACY,R,English,29.99,2.99,71,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,5
139,,2006,CHASING FIGHT,PG,English,21.99,4.99,114,A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank,7
140,,2006,CHEAPER CLYDE,G,English,23.99,0.99,87,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,6
141,,2006,CHICAGO NORTH,PG-13,English,11.99,4.99,185,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,6
142,,2006,CHICKEN HELLFIGHTERS,PG,English,24.99,0.99,122,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,3
143,,2006,CHILL LUCK,PG,English,17.99,0.99,142,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,6
144,,2006,CHINATOWN GLADIATOR,PG,English,24.99,4.99,61,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,7
145,,2006,CHISUM BEHAVIOR,G,English,25.99,4.99,124,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,5
146,,2006,CHITTY LOCK,G,English,24.99,2.99,107,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,6
147,,2006,CHOCOLAT HARRY,NC-17,English,16.99,0.99,101,A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan,5
148,,2006,CHOCOLATE DUCK,R,English,13.99,2.99,132,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,3
149,,2006,CHRISTMAS MOONSHINE,NC-17,English,21.99,0.99,150,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,7
150,,2006,CIDER DESIRE,PG,English,9.99,2.99,101,A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia,7
151,,2006,CINCINATTI WHISPERER,NC-17,English,26.99,4.99,143,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,5
152,,2006,CIRCUS YOUTH,PG-13,English,13.99,2.99,90,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,5
153,,2006,CITIZEN SHREK,G,English,18.99,0.99,165,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,7
154,,2006,CLASH FREDDY,G,English,12.99,2.99,81,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,6
155,,2006,CLEOPATRA DEVIL,PG-13,English,26.99,0.99,150,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,6
156,,2006,CLERKS ANGELS,G,English,15.99,4.99,164,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,3
157,,2006,CLOCKWORK PARADISE,PG-13,English,29.99,0.99,143,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,7
158,,2006,CLONES PINOCCHIO,R,English,16.99,2.99,124,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,6
159,,2006,CLOSER BANG,R,English,12.99,4.99,58,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,5
160,,2006,CLUB GRAFFITI,PG-13,English,12.99,0.99,65,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,4
161,,2006,CLUE GRAIL,NC-17,English,27.99,4.99,70,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,6
162,,2006,CLUELESS BUCKET,R,English,13.99,2.99,95,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,4
163,,2006,CLYDE THEORY,PG-13,English,29.99,0.99,139,A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat,4
164,,2006,COAST RAINBOW,PG,English,20.99,0.99,55,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,4
165,,2006,COLDBLOODED DARLING,G,English,27.99,4.99,70,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,7
166,,2006,COLOR PHILADELPHIA,G,English,19.99,2.99,149,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,6
167,,2006,COMA HEAD,NC-17,English,10.99,4.99,109,A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California,6
168,,2006,COMANCHEROS ENEMY,R,English,23.99,0.99,67,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,5
169,,2006,COMFORTS RUSH,NC-17,English,19.99,2.99,76,A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft,3
170,,2006,COMMAND DARLING,PG-13,English,28.99,4.99,120,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,5
171,,2006,COMMANDMENTS EXPRESS,R,English,13.99,4.99,59,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,6
172,,2006,CONEHEADS SMOOCHY,NC-17,English,12.99,4.99,112,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,7
173,,2006,CONFESSIONS MAGUIRE,PG-13,English,25.99,4.99,65,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,7
174,,2006,CONFIDENTIAL INTERVIEW,NC-17,English,13.99,4.99,180,A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan,6
175,,2006,CONFUSED CANDLES,PG-13,English,27.99,2.99,122,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,3
176,,2006,CONGENIALITY QUEST,PG-13,English,21.99,0.99,87,A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon,6
177,,2006,CONNECTICUT TRAMP,R,English,20.99,4.99,172,A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank,4
178,,2006,CONNECTION MICROCOSMOS,G,English,25.99,0.99,115,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,6
179,,2006,CONQUERER NUTS,G,English,14.99,4.99,173,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,4
