ppersonale_id,data_pagamento,cliente_id,noleggio_id,ammontare,data_noleggio,npersonale_id,inventario_id,pagamento_id,data_restituzione
2,2005-05-25 08:43:32,6,57,4.99,2005-05-25 08:43:32,2,3938,146,2005-05-29 06:42:32
1,2005-05-28 11:09:14,6,577,2.99,2005-05-28 11:09:14,2,375,147,2005-06-01 13:27:14
2,2005-07-06 23:14:21,6,3983,0.99,2005-07-06 23:14:21,2,1261,153,2005-07-12 17:55:21
2,2005-07-12 12:18:38,6,6686,0.99,2005-07-12 12:18:38,2,3804,158,2005-07-13 17:56:38
2,2005-07-27 05:03:44,6,7099,2.99,2005-07-27 05:03:44,2,3136,159,2005-07-29 00:12:44
1,2005-07-28 18:47:23,6,8101,0.99,2005-07-28 18:47:23,1,731,161,2005-07-31 16:23:23
1,2005-08-02 18:55:15,6,11398,3.99,2005-08-02 18:55:15,2,3952,164,2005-08-10 19:50:15
2,2005-08-20 00:18:25,6,13451,6.99,2005-08-20 00:18:25,1,3837,169,2005-08-29 01:08:25
1,2005-08-21 08:22:56,6,14329,7.99,2005-08-21 08:22:56,2,3544,170,2005-08-28 02:22:56
1,2005-05-30 21:07:15,7,975,4.99,2005-05-30 21:07:15,2,3109,177,2005-06-03 01:48:15
1,2005-06-18 05:03:36,7,2250,2.99,2005-06-18 05:03:36,2,4042,180,2005-06-22 02:25:36
2,2005-07-12 15:17:42,7,6761,3.99,2005-07-12 15:17:42,2,3645,192,2005-07-18 17:59:42
1,2005-08-01 08:19:53,7,10423,5.99,2005-08-01 08:19:53,1,739,196,2005-08-08 10:25:53
1,2005-08-01 11:39:26,7,10514,4.99,2005-08-01 11:39:26,2,1512,197,2005-08-03 07:53:26
2,2005-08-01 15:52:00,7,10644,4.99,2005-08-01 15:52:00,1,4374,198,2005-08-08 16:08:00
1,2005-08-18 07:57:14,7,12367,8.99,2005-08-18 07:57:14,2,1822,201,2005-08-27 07:07:14
1,2005-08-20 01:06:04,7,13476,2.99,2005-08-20 01:06:04,1,2866,204,2005-08-24 23:56:04
2,2005-06-20 17:57:47,8,3114,4.99,2005-06-20 17:57:47,2,2388,210,2005-06-21 19:18:47
1,2005-07-29 21:42:49,8,8809,1.99,2005-07-29 21:42:49,1,3278,220,2005-08-04 01:13:49
2,2005-08-01 13:05:35,8,10561,2.99,2005-08-01 13:05:35,2,2195,223,2005-08-04 08:34:35
1,2005-08-23 13:05:10,8,15764,2.99,2005-08-23 13:05:10,1,2937,229,2005-08-25 16:15:10
2,2005-05-30 05:48:59,9,877,0.99,2005-05-30 05:48:59,1,886,232,2005-06-02 09:30:59
2,2005-06-21 04:08:43,9,3262,4.99,2005-06-21 04:08:43,1,3773,235,2005-06-28 02:55:43
2,2005-07-28 00:15:26,9,7616,0.99,2005-07-28 00:15:26,1,3790,242,2005-07-30 21:52:26
1,2005-07-30 06:34:07,9,9043,4.99,2005-07-30 06:34:07,1,4127,244,2005-08-02 01:16:07
2,2005-08-18 18:48:58,9,12652,4.99,2005-08-18 18:48:58,1,2118,251,2005-08-21 14:15:58
2,2005-06-18 03:26:23,10,2222,3.99,2005-06-18 03:26:23,2,3834,257,2005-06-26 08:50:23
2,2005-07-06 14:13:45,10,3790,3.99,2005-07-06 14:13:45,1,1711,260,2005-07-14 13:35:45
2,2005-07-07 03:06:40,10,4042,4.99,2005-07-07 03:06:40,1,50,261,2005-07-10 02:37:40
2,2005-07-09 04:53:18,10,5068,2.99,2005-07-09 04:53:18,1,2937,264,2005-07-13 09:21:18
1,2005-07-10 20:41:09,10,5905,2.99,2005-07-10 20:41:09,1,3891,266,2005-07-19 14:49:09
2,2005-07-28 22:34:12,10,8188,4.99,2005-07-28 22:34:12,2,3826,269,2005-08-01 02:32:12
2,2005-08-17 20:11:35,10,12031,2.99,2005-08-17 20:11:35,2,2793,274,2005-08-24 23:48:35
2,2005-08-18 09:19:12,10,12400,2.99,2005-08-18 09:19:12,1,1767,275,2005-08-26 06:52:12
2,2005-08-20 16:43:28,10,13917,2.99,2005-08-20 16:43:28,2,4326,277,2005-08-29 16:44:28
1,2005-08-22 21:59:29,10,15370,5.99,2005-08-22 21:59:29,1,67,278,2005-08-27 16:32:29
1,2005-07-30 03:17:13,11,8950,9.99,2005-07-30 03:17:13,1,3015,292,2005-08-07 00:20:13
2,2005-07-30 16:08:21,11,9292,6.99,2005-07-30 16:08:21,2,1702,293,2005-08-07 10:38:21
2,2005-08-02 10:14:58,11,11166,6.99,2005-08-02 10:14:58,1,638,295,2005-08-11 11:43:58
2,2005-08-20 05:07:27,11,13572,0.99,2005-08-20 05:07:27,1,660,298,2005-08-23 23:33:27
1,2005-08-22 12:42:47,11,15120,0.99,2005-08-22 12:42:47,1,3083,300,2005-08-23 14:21:47
1,2005-05-30 23:08:03,12,988,4.99,2005-05-30 23:08:03,1,1364,303,2005-06-07 00:22:03
2,2005-06-18 18:11:51,12,2434,5.99,2005-06-18 18:11:51,2,3739,306,2005-06-23 12:52:51
2,2005-06-19 08:11:51,12,2623,4.99,2005-06-19 08:11:51,2,4477,308,2005-06-26 12:28:51
1,2005-06-21 16:31:27,12,3411,0.99,2005-06-21 16:31:27,2,4250,310,2005-06-28 12:27:27
1,2005-07-09 05:00:39,12,5071,0.99,2005-07-09 05:00:39,1,4358,312,2005-07-09 23:08:39
2,2005-07-09 07:02:19,12,5111,0.99,2005-07-09 07:02:19,2,2875,314,2005-07-10 06:27:19
2,2005-07-27 01:44:03,12,7008,0.99,2005-07-27 01:44:03,2,3659,317,2005-07-28 21:19:03
2,2005-07-30 11:26:28,12,9166,4.99,2005-07-30 11:26:28,1,308,320,2005-08-04 12:32:28
1,2005-07-31 04:42:46,12,9627,5.99,2005-07-31 04:42:46,2,471,322,2005-08-08 00:42:46
1,2005-08-18 16:58:48,12,12604,4.99,2005-08-18 16:58:48,1,4127,326,2005-08-19 19:36:48
1,2005-08-23 20:28:44,12,15993,0.99,2005-08-23 20:28:44,2,1638,330,2005-08-27 16:23:44
1,2005-06-17 06:54:42,13,1933,2.99,2005-06-17 06:54:42,1,980,331,2005-06-26 02:00:42
1,2005-07-11 07:43:08,13,6118,8.99,2005-07-11 07:43:08,1,3013,336,2005-07-20 03:17:08
1,2005-07-29 01:38:53,13,8277,2.99,2005-07-29 01:38:53,2,1296,341,2005-08-04 07:09:53
1,2005-08-02 14:58:41,13,11292,4.99,2005-08-02 14:58:41,2,210,348,2005-08-06 14:38:41
2,2005-08-02 16:05:17,13,11315,0.99,2005-08-02 16:05:17,1,1116,349,2005-08-05 16:33:17
2,2005-08-17 09:44:59,13,11761,5.99,2005-08-17 09:44:59,1,2230,350,2005-08-25 07:46:59
1,2005-08-22 20:51:24,13,15338,4.99,2005-08-22 20:51:24,2,502,357,2005-08-24 23:41:24
2,2005-06-15 13:32:15,14,1360,4.99,2005-06-15 13:32:15,2,4107,363,2005-06-18 10:59:15
2,2005-07-09 16:10:25,14,5317,7.99,2005-07-09 16:10:25,2,2693,367,2005-07-18 17:10:25
2,2005-07-30 21:36:15,14,9438,4.99,2005-07-30 21:36:15,2,121,374,2005-08-07 16:54:15
1,2005-07-31 03:21:16,14,9592,2.99,2005-07-31 03:21:16,1,1828,375,2005-08-05 08:32:16
2,2005-08-01 11:55:33,14,10526,6.99,2005-08-01 11:55:33,1,27,377,2005-08-08 16:42:33
2,2005-08-17 00:27:23,14,11528,3.99,2005-08-17 00:27:23,2,893,379,2005-08-22 06:12:23
1,2005-08-20 11:20:12,14,13757,4.99,2005-08-20 11:20:12,2,1147,381,2005-08-23 10:14:12
1,2005-07-06 02:29:21,15,3550,7.99,2005-07-06 02:29:21,2,2417,389,2005-07-13 05:26:21
1,2005-07-07 07:26:19,15,4127,5.99,2005-07-07 07:26:19,2,1774,390,2005-07-14 07:50:19
1,2005-07-31 17:22:35,15,9987,2.99,2005-07-31 17:22:35,2,1619,397,2005-08-01 21:19:35
1,2005-08-02 08:44:18,15,11118,2.99,2005-08-02 08:44:18,2,2411,398,2005-08-05 08:08:18
2,2005-08-02 17:09:24,15,11341,2.99,2005-08-02 17:09:24,2,3586,401,2005-08-09 19:48:24
2,2005-08-18 04:39:10,15,12272,2.99,2005-08-18 04:39:10,1,1964,403,2005-08-24 09:41:10
2,2005-08-18 14:46:26,15,12551,2.99,2005-08-18 14:46:26,2,2195,404,2005-08-19 16:59:26
1,2005-08-18 18:00:23,15,12635,2.99,2005-08-18 18:00:23,2,331,405,2005-08-23 16:40:23
2,2005-08-20 08:34:41,15,13677,3.99,2005-08-20 08:34:41,2,4013,410,2005-08-26 11:51:41
1,2006-02-14 15:16:03,15,13798,3.98,2006-02-14 15:16:03,2,526,416,
1,2005-05-31 02:53:36,16,1017,2.99,2005-05-31 02:53:36,1,1242,421,2005-06-03 05:04:36
1,2005-06-17 07:50:53,16,1944,7.99,2005-06-17 07:50:53,2,318,423,2005-06-23 02:52:53
2,2005-07-29 07:45:00,16,8452,5.99,2005-07-29 07:45:00,2,4312,434,2005-08-05 09:46:00
2,2005-07-30 11:12:03,16,9158,0.99,2005-07-30 11:12:03,2,4017,435,2005-08-02 05:55:03
2,2005-05-26 19:44:54,17,287,2.99,2005-05-26 19:44:54,1,3631,447,2005-06-02 01:10:54
1,2005-07-10 10:46:57,17,5714,3.99,2005-07-10 10:46:57,1,3706,453,2005-07-18 14:07:57
2,2005-07-28 17:45:58,17,8076,8.99,2005-07-28 17:45:58,2,214,456,2005-08-04 18:07:58
2,2005-08-21 08:15:41,17,14326,2.99,2005-08-21 08:15:41,1,1052,465,2005-08-27 05:22:41
1,2005-05-25 19:27:51,18,116,4.99,2005-05-25 19:27:51,1,4453,469,2005-05-26 16:23:51
1,2005-05-29 01:32:10,18,692,4.99,2005-05-29 01:32:10,2,800,470,2005-06-02 03:54:10
2,2005-07-08 21:44:39,18,4923,3.99,2005-07-08 21:44:39,2,932,477,2005-07-17 15:50:39
1,2005-07-12 19:20:45,18,6846,0.99,2005-07-12 19:20:45,1,1214,479,2005-07-17 00:06:45
1,2005-08-01 17:32:53,18,10682,4.99,2005-08-01 17:32:53,2,4557,484,2005-08-06 15:49:53
2,2005-05-25 01:10:47,19,18,0.99,2005-05-25 01:10:47,2,3376,490,2005-05-31 06:35:47
1,2005-05-27 03:22:30,19,337,2.99,2005-05-27 03:22:30,1,751,493,2005-06-02 03:27:30
2,2005-05-28 13:11:04,19,591,2.99,2005-05-28 13:11:04,2,377,494,2005-05-29 17:20:04
1,2005-06-19 22:55:37,19,2848,2.99,2005-06-19 22:55:37,1,3449,497,2005-06-25 23:10:37
2,2005-07-06 02:24:55,19,3549,4.99,2005-07-06 02:24:55,2,3921,499,2005-07-06 21:40:55
1,2005-07-30 14:29:29,19,9256,0.99,2005-07-30 14:29:29,1,4021,502,2005-08-05 16:59:29
2,2005-08-16 23:27:36,19,11508,8.99,2005-08-16 23:27:36,2,2688,505,2005-08-25 01:34:36
1,2005-08-18 02:31:18,19,12211,9.99,2005-08-18 02:31:18,1,1484,507,2005-08-26 02:36:18
1,2005-08-20 09:53:44,19,13718,8.99,2005-08-20 09:53:44,2,205,509,2005-08-29 13:46:44
2,2005-08-20 12:46:32,19,13804,8.99,2005-08-20 12:46:32,2,2232,510,2005-08-29 14:04:32
1,2005-08-21 00:33:03,19,14101,4.99,2005-08-21 00:33:03,1,1892,511,2005-08-24 01:59:03
2,2005-05-28 07:16:25,20,546,1.99,2005-05-28 07:16:25,1,487,516,2005-06-01 08:36:25
2,2005-07-07 00:48:25,20,4011,3.99,2005-07-07 00:48:25,2,2052,521,2005-07-13 06:30:25
2,2005-07-30 22:53:52,20,9468,3.99,2005-07-30 22:53:52,2,4366,530,2005-08-07 00:22:52
1,2005-08-02 03:30:24,20,10954,1.99,2005-08-02 03:30:24,2,3406,533,2005-08-08 05:52:24
2,2005-08-19 19:25:42,20,13317,2.99,2005-08-19 19:25:42,2,3349,538,2005-08-20 20:57:42
1,2005-05-28 10:15:04,21,570,0.99,2005-05-28 10:15:04,1,1122,546,2005-05-30 08:32:04
1,2005-06-18 15:37:55,21,2393,2.99,2005-06-18 15:37:55,1,3143,549,2005-06-25 17:11:55
2,2005-07-30 10:45:12,21,9149,0.99,2005-07-30 10:45:12,1,2632,559,2005-08-01 09:40:12
1,2005-07-31 07:29:25,21,9699,5.99,2005-07-31 07:29:25,1,199,560,2005-08-06 01:35:25
2,2005-08-01 13:23:06,21,10570,4.99,2005-08-01 13:23:06,2,369,561,2005-08-05 15:30:06
2,2005-08-02 07:10:57,21,11072,0.99,2005-08-02 07:10:57,1,3078,563,2005-08-04 07:42:57
1,2005-08-18 23:34:22,21,12774,6.99,2005-08-18 23:34:22,2,3601,567,2005-08-28 05:00:22
1,2005-08-19 22:43:38,21,13411,4.99,2005-08-19 22:43:38,2,4425,570,2005-08-26 18:29:38
1,2005-06-21 17:18:01,22,3419,2.99,2005-06-21 17:18:01,1,4022,582,2005-06-22 15:08:01
1,2005-07-10 15:48:19,22,5815,2.99,2005-07-10 15:48:19,1,2934,585,2005-07-13 12:09:19
1,2005-07-28 04:02:58,22,7705,7.99,2005-07-28 04:02:58,2,1072,587,2005-08-05 01:19:58
1,2005-07-31 03:01:11,22,9580,4.99,2005-07-31 03:01:11,1,532,589,2005-08-05 06:01:11
1,2005-08-23 06:03:31,22,15589,6.99,2005-08-23 06:03:31,2,2379,597,2005-08-30 07:44:31
1,2005-06-19 20:50:01,23,2827,0.99,2005-06-19 20:50:01,2,2745,605,2005-06-20 18:54:01
1,2005-06-21 21:49:18,23,3461,2.99,2005-06-21 21:49:18,1,1715,608,2005-06-26 19:51:18
1,2005-07-28 15:33:03,23,8015,2.99,2005-07-28 15:33:03,2,1814,616,2005-07-30 15:32:03
2,2005-07-31 08:25:03,23,9718,3.99,2005-07-31 08:25:03,2,2747,620,2005-08-08 04:16:03
1,2005-07-31 21:50:24,23,10132,6.99,2005-07-31 21:50:24,2,3934,621,2005-08-07 23:37:24
2,2005-08-19 20:00:25,23,13331,4.99,2005-08-19 20:00:25,1,3867,625,2005-08-21 17:03:25
2,2005-08-19 23:25:37,23,13429,6.99,2005-08-19 23:25:37,2,3677,626,2005-08-28 01:04:37
2,2005-08-20 02:21:40,23,13511,0.99,2005-08-20 02:21:40,1,2973,627,2005-08-21 03:26:40
2,2005-08-20 04:12:41,23,13557,0.99,2005-08-20 04:12:41,2,2290,628,2005-08-21 02:33:41
2,2005-05-31 10:22:54,24,1077,2.99,2005-05-31 10:22:54,1,1986,632,2005-06-02 12:21:54
1,2005-06-18 19:28:02,24,2451,5.99,2005-06-18 19:28:02,1,835,636,2005-06-23 16:41:02
1,2005-07-30 03:15:37,24,8947,4.99,2005-07-30 03:15:37,2,341,644,2005-08-04 07:10:37
1,2005-08-02 12:09:45,24,11209,2.99,2005-08-02 12:09:45,1,3219,648,2005-08-07 08:52:45
2,2005-08-18 00:53:37,24,12165,8.99,2005-08-18 00:53:37,2,4215,650,2005-08-27 00:09:37
2,2005-08-19 09:40:53,24,13058,4.99,2005-08-19 09:40:53,2,2437,653,2005-08-26 05:48:53
2,2005-08-22 21:28:59,24,15357,4.99,2005-08-22 21:28:59,1,727,655,2005-08-25 17:15:59
1,2005-06-15 12:17:34,25,1338,4.99,2005-06-15 12:17:34,2,1206,658,2005-06-19 07:40:34
2,2005-06-19 08:23:11,25,2625,8.99,2005-06-19 08:23:11,2,3946,661,2005-06-26 09:52:11
1,2005-06-20 02:41:28,25,2901,4.99,2005-06-20 02:41:28,2,667,662,2005-06-23 04:43:28
1,2005-07-10 19:19:43,25,5881,2.99,2005-07-10 19:19:43,1,236,667,2005-07-12 20:11:43
2,2005-07-30 00:15:57,25,8878,0.99,2005-07-30 00:15:57,2,440,671,2005-08-01 00:22:57
2,2005-07-31 14:59:37,25,9922,2.99,2005-07-31 14:59:37,1,3615,674,2005-08-06 14:05:37
1,2005-08-01 04:49:06,25,10324,5.99,2005-08-01 04:49:06,2,523,676,2005-08-09 08:04:06
1,2005-06-17 18:14:08,26,2093,9.99,2005-06-17 18:14:08,1,814,689,2005-06-26 18:10:08
1,2005-06-19 01:27:46,26,2532,4.99,2005-06-19 01:27:46,1,1870,692,2005-06-20 02:15:46
1,2005-06-19 16:21:19,26,2745,4.99,2005-06-19 16:21:19,2,1253,693,2005-06-21 22:07:19
1,2005-07-07 20:41:03,26,4382,4.99,2005-07-07 20:41:03,1,657,696,2005-07-14 15:15:03
1,2005-07-08 09:09:46,26,4641,6.99,2005-07-08 09:09:46,2,2436,700,2005-07-17 03:54:46
1,2005-07-09 21:32:29,26,5437,2.99,2005-07-09 21:32:29,2,3532,701,2005-07-15 00:27:29
1,2005-07-11 09:19:31,26,6149,1.99,2005-07-11 09:19:31,2,4337,702,2005-07-17 14:45:31
2,2005-07-11 14:53:25,26,6243,2.99,2005-07-11 14:53:25,2,3456,703,2005-07-15 09:26:25
1,2005-07-30 23:31:40,26,9484,0.99,2005-07-30 23:31:40,1,3389,706,2005-08-02 18:25:40
1,2005-08-02 04:48:11,26,10996,3.99,2005-08-02 04:48:11,1,2235,708,2005-08-06 08:00:11
1,2005-08-02 17:00:12,26,11338,0.99,2005-08-02 17:00:12,1,3689,710,2005-08-03 18:54:12
1,2005-08-17 08:54:30,26,11744,5.99,2005-08-17 08:54:30,1,297,711,2005-08-25 03:28:30
1,2005-08-22 22:34:44,26,15384,2.99,2005-08-22 22:34:44,2,3208,717,2005-08-23 23:25:44
2,2005-05-29 16:03:03,27,787,2.99,2005-05-29 16:03:03,2,3919,719,2005-06-07 11:07:03
2,2005-06-18 23:48:47,27,2512,2.99,2005-06-18 23:48:47,2,4515,724,2005-06-21 04:58:47
2,2005-06-21 17:22:36,27,3420,3.99,2005-06-21 17:22:36,1,2523,727,2005-06-28 12:34:36
2,2005-07-07 02:52:53,27,4038,0.99,2005-07-07 02:52:53,2,1264,728,2005-07-11 22:32:53
1,2005-07-08 02:34:51,27,4510,5.99,2005-07-08 02:34:51,2,1085,729,2005-07-17 06:03:51
1,2005-08-02 00:00:33,27,10852,4.99,2005-08-02 00:00:33,1,3862,741,2005-08-03 23:09:33
2,2005-05-27 10:37:27,28,388,2.99,2005-05-27 10:37:27,1,434,750,2005-05-30 05:45:27
2,2005-06-18 08:18:52,28,2299,3.99,2005-06-18 08:18:52,1,4339,754,2005-06-26 11:48:52
1,2005-07-10 15:49:12,28,5817,5.99,2005-07-10 15:49:12,2,2993,761,2005-07-18 19:30:12
1,2005-07-30 01:07:12,28,8901,2.99,2005-07-30 01:07:12,1,4392,766,2005-08-02 06:34:12
2,2005-07-31 07:40:33,28,9705,4.99,2005-07-31 07:40:33,2,4158,769,2005-08-01 03:50:33
2,2005-07-31 21:14:02,28,10116,2.99,2005-07-31 21:14:02,2,738,770,2005-08-03 01:48:02
2,2005-08-01 03:48:12,28,10294,6.99,2005-08-01 03:48:12,2,528,771,2005-08-09 01:19:12
1,2005-08-17 13:44:49,28,11856,3.99,2005-08-17 13:44:49,1,305,773,2005-08-21 17:20:49
2,2005-08-18 01:54:44,28,12190,2.99,2005-08-18 01:54:44,1,2464,774,2005-08-27 04:32:44
2,2005-08-20 12:11:03,28,13783,4.99,2005-08-20 12:11:03,2,2643,777,2005-08-21 15:53:03
1,2005-06-19 10:38:42,29,2655,0.99,2005-06-19 10:38:42,1,1649,783,2005-06-23 14:20:42
1,2005-06-19 15:42:07,29,2735,2.99,2005-06-19 15:42:07,1,4550,786,2005-06-22 17:28:07
1,2005-07-07 17:36:56,29,4313,0.99,2005-07-07 17:36:56,1,91,791,2005-07-13 12:00:56
2,2005-07-08 03:40:46,29,4535,0.99,2005-07-08 03:40:46,2,561,792,2005-07-13 06:53:46
1,2005-07-10 17:59:29,29,5857,1.99,2005-07-10 17:59:29,1,1265,794,2005-07-18 18:13:29
1,2005-08-01 12:36:09,29,10543,5.99,2005-08-01 12:36:09,1,624,801,2005-08-07 07:42:09
2,2005-08-02 01:30:21,29,10899,1.99,2005-08-02 01:30:21,2,859,802,2005-08-06 05:01:21
2,2005-08-20 12:03:35,29,13777,2.99,2005-08-20 12:03:35,1,3587,811,2005-08-27 10:13:35
2,2006-02-14 15:16:03,29,15577,0.99,2006-02-14 15:16:03,2,539,817,
2,2005-06-19 15:10:09,30,2730,2.99,2005-06-19 15:10:09,1,1264,821,2005-06-28 13:05:09
1,2005-07-06 22:23:02,30,3964,4.99,2005-07-06 22:23:02,1,1853,822,2005-07-07 22:21:02
2,2005-07-08 09:13:28,30,4642,2.99,2005-07-08 09:13:28,2,1962,824,2005-07-10 06:17:28
2,2005-07-09 02:34:45,30,5028,5.99,2005-07-09 02:34:45,2,4531,825,2005-07-14 20:45:45
2,2005-07-11 21:06:17,30,6359,2.99,2005-07-11 21:06:17,2,1656,830,2005-07-16 02:51:17
2,2005-07-28 06:45:23,30,7769,4.99,2005-07-28 06:45:23,1,3250,832,2005-07-30 12:18:23
1,2005-07-29 14:37:30,30,8641,2.99,2005-07-29 14:37:30,2,3199,836,2005-08-02 19:32:30
2,2005-07-31 02:04:58,30,9551,0.99,2005-07-31 02:04:58,2,1260,838,2005-08-06 04:07:58
1,2005-08-01 01:57:48,30,10235,6.99,2005-08-01 01:57:48,2,2850,841,2005-08-10 07:38:48
2,2005-08-18 22:58:34,30,12758,0.99,2005-08-18 22:58:34,1,2279,844,2005-08-22 23:33:34
1,2005-08-19 23:35:44,30,13435,0.99,2005-08-19 23:35:44,2,3919,845,2005-08-24 18:14:44
2,2005-08-23 15:17:14,30,15829,2.99,2005-08-23 15:17:14,1,4387,851,2005-08-27 13:04:14
2,2005-06-16 10:05:40,31,1656,4.99,2005-06-16 10:05:40,1,2253,852,2005-06-22 06:26:40
1,2005-06-16 23:20:16,31,1838,1.99,2005-06-16 23:20:16,1,513,853,2005-06-20 02:34:16
1,2005-06-18 15:49:48,31,2396,7.99,2005-06-18 15:49:48,2,1986,856,2005-06-27 20:31:48
2,2005-06-18 18:34:21,31,2438,0.99,2005-06-18 18:34:21,1,184,857,2005-06-19 16:50:21
1,2005-06-21 00:38:47,31,3205,0.99,2005-06-21 00:38:47,1,2964,862,2005-06-21 22:49:47
1,2005-07-06 10:12:45,31,3701,4.99,2005-07-06 10:12:45,1,3679,863,2005-07-09 08:52:45
2,2005-07-12 06:26:10,31,6580,4.99,2005-07-12 06:26:10,1,1543,868,2005-07-13 06:44:10
1,2005-07-27 01:23:24,31,7000,1.99,2005-07-27 01:23:24,2,2024,869,2005-08-03 02:10:24
2,2005-08-17 22:17:09,31,12085,4.99,2005-08-17 22:17:09,1,600,874,2005-08-21 01:45:09
2,2005-08-23 14:58:06,31,15816,6.99,2005-08-23 14:58:06,1,3628,877,2005-08-28 13:30:06
2,2005-06-19 08:22:09,32,2624,5.99,2005-06-19 08:22:09,1,3071,883,2005-06-27 11:13:09
2,2005-06-20 02:02:05,32,2891,1.99,2005-06-20 02:02:05,1,343,884,2005-06-25 02:45:05
2,2005-07-08 15:33:32,32,4771,2.99,2005-07-08 15:33:32,1,1060,887,2005-07-10 12:38:32
2,2005-07-08 20:37:11,32,4899,0.99,2005-07-08 20:37:11,1,414,888,2005-07-10 21:53:11
1,2005-07-09 15:57:15,32,5307,9.99,2005-07-09 15:57:15,2,2847,889,2005-07-17 13:42:15
2,2005-07-30 01:42:03,32,8914,2.99,2005-07-30 01:42:03,1,1347,899,2005-08-04 03:53:03
1,2005-08-20 10:31:23,32,13736,8.99,2005-08-20 10:31:23,1,3369,903,2005-08-28 06:51:23
2,2005-06-20 22:21:10,33,3173,8.99,2005-06-20 22:21:10,2,4306,909,2005-06-27 19:41:10
1,2005-07-30 06:31:45,33,9040,4.99,2005-07-30 06:31:45,1,392,915,2005-08-03 12:20:45
