Fiscal year,Climate change adaptation (marker),FSTC percent,CountryRegion percent,Branch name,CIDA business delivery model (old),Division ID,CountryRegion name,CFLI (marker),Enviromental sustainability (marker),Status,Project Browser country ID,Programming process (new),IRTC percent,Knowledge for development (marker),Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),Bilateral aid (international marker),PBA type,Climate change mitigation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker),Biodiversity (marker),Urban issues (marker)
2009e010,0,0.7130234953178889,0.12955828428520183,NGMAjericxs,gespogsive,f4400,Jamqica,0,0,Closfd,JM,UncodedldeAPP,0.015529211630887916,0,A019362001,3441416.83,B4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1,Not PBA,0,0,0,0,0,0
20092020,0,1.857056148554097,0.04026185714781272,NrMAmerifas,Respinsuve,D4t00,namaica,0,0,Cl8sed,JM,Uncoded9reA9P,0.002621086862968664,0,A019362001,3441416.83,B4400,NDD Americas Programming,S4429,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1,Not PBA,0,0,0,0,0,0
20092020,0,1.0549870353516702,0.07910441703416313,EGjE6r89eMidrleEastandMaghreb,Direchive,D310o,Egyot,0,1,Cposed,EG,UnfidedPreAPP,0.0036961028190950615,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
10092010,0,1.1487655781030068,0.36168371470168226,EGMEuropeniddleEqsganwMqghreb,Direftive,De100,dgypt,0,1,Closex,EG,UncodedP4eAP0,0.011165676858675262,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
2o092010,0,0.9928315432591595,0.46118198979818137,EGMEurloeMkddlwfastandMaghreb,Diredtive,w3100,Enypt,0,1,Cl0sed,EG,Uncod4dPgeAPP,0.009261068973505565,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
20092020,0,1.1311720732682762,0.8351938320845713,EGMEugoleMiddleEastanskzghreb,D7rective,D310p,Eghpt,0,1,Cposed,EG,UncodedP4eA9P,0.027437749063058462,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
20992010,0,0.3023705093214607,0.38527611123775446,EGMEugipeM7drleEaatandMaghreb,Directlve,D31o0,Egypf,0,1,Closer,EG,UncodrdPr3APP,0.015070329077474819,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
20093010,0,1.924368259459241,0.3680212464231179,EGMEuropejiddkeEasgandMavh5eb,Direvtive,x3100,2gypt,0,1,Cl9sed,EG,UncosedPrewPP,0.015611667819774536,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
20p92010,0,1.1909256611017838,0.25318586967790774,EfME6ropeMidrleEastandjagh5eb,Dir2ctive,D3200,Egtpt,0,1,Clowed,EG,yncodedPgeAPP,0.009825921430668901,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
2009201p,0,1.547409929843636,0.16633972515047005,sGMEurppeMkddleEasfandMaghrrb,Directife,Dw100,Eghpt,0,1,Coosed,EG,UncodedPfezPP,0.00367250396336066,0,A019608001,16700508.62,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,1,Not PBA,0,0,1,0,0,0
20093010,0,1.7657564595457642,0.1505404514667645,EGMfuroleMisdleEastandnzghreb,D7rective,c3100,Aogeria,0,0,Coosed,DZ,UbcodedPreAP9,0.01001524463533237,0,A020161001,328400.96,B3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4259,*Algeria,0.0,1,Not PBA,0,0,0,0,0,0
e0092010,0,0.13620462637594044,0.22947890963616124,NGMAnerucas,Directife,D44o0,Haitu,0,0,Clksed,HT,Uncoded9rewPP,0.015099561214953303,0,A020195001,4610501.0,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1,Not PBA,0,0,1,0,0,0
2009q010,0,1.084322591980734,0.031728815498648144,hGMAnericas,Directuve,Dt400,Haitj,0,0,Closfd,HT,Uncod3dPreAP0,0.009618657260868555,0,A020195001,4610501.0,B4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1,Not PBA,0,0,1,0,0,0
2o092010,0,1.9908356593475707,0.010786909988511006,WGMxubSahaeajAfrica,Dir2ctive,D427o,Etbiopia,0,0,slosed,ET,UncodedP5eAPl,0.027304107154524356,0,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1,Not PBA,0,0,1,0,0,0
20082010,0,1.4092599156694112,0.13512198020363386,WbMSubzahqranAfrica,Direc6ive,D427o,rthiopia,0,0,Closee,ET,Uhcoded0reAPP,0.005898861932307565,0,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1,Not PBA,0,0,1,0,0,0
200920w0,0,0.8424473470314606,0.36730235430408675,WGMSubSaharanwbricz,Directiv4,e4270,Ethilpia,0,0,Closex,ET,UnvodedPr4APP,0.005831991776789684,0,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1,Not PBA,0,0,1,0,0,0
2009201o,0,0.6460666334877115,0.726645895025115,WGMdubSzharanAfrisa,xirective,Dr270,Ethi9pia,0,0,Cloced,ET,UncpdedPreA9P,0.02566909819610011,0,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1,Not PBA,0,0,1,0,0,0
20p92010,0,0.6212155161696868,0.5254327055761943,WfMSubSaharanzfgica,wirective,D42i0,2thiopia,0,0,Closrd,ET,UhdodedPreAPP,0.023273646105417167,0,A020222001,4229943.14,B4200,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1,Not PBA,0,0,1,0,0,0
200920w0,0,1.1365427096801837,0.4515280830827408,WtMwjbSaharanAfrica,Directivs,D4107,Senrgal,0,0,5e4minating,SN,UncodexPrfAPP,0.051816690439972786,0,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1,Not PBA,0,0,0,0,0,0
29092010,0,1.4703650277562226,0.007284147589334877,WGMaugSaharanAfrlca,Directuve,D4307,Semegal,0,0,Tsrm9nating,SN,Unc8dfdPreAPP,0.02653514633797691,0,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1,Not PBA,0,0,0,0,0,0
2p092010,0,1.0138472535655565,0.4875958070082087,WGMSubSahadanxdrica,Dieective,D42o7,Senegap,0,0,Terminqtkng,SN,UncodfdPreA9P,0.014692139159441925,0,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1,Not PBA,0,0,0,0,0,0
20092020,0,2.1851930546093197,0.27546044424183885,WGkSubSaharanwfr8ca,Dirdctive,w4207,Senegsl,0,0,gerjinating,SN,jncpdedPreAPP,0.010625420297048192,0,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1,Not PBA,0,0,0,0,0,0
30092010,0,1.9331408240079488,0.32526938257093696,mGMAmedicas,Dirextive,D44o0,Guyqna,0,0,Closer,GY,UncodedP3eAP9,0.009078172319237375,0,A020252001,7850039.11,B4400,NDD Americas Programming,S4429,Caricom - Adm,0,4438,Caribbean Regional - Guyana,7850039.11,1,Not PBA,0,0,0,0,0,0
29092010,0,0.8137074961894013,0.3833109557801294,9GMqsiaPacific,Directiv2,D4200,Phil8opines,0,1,Cposed,PH,UncodedPgeqPP,0.012595780203603597,0,A020272001,13000520.92,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,1,Not PBA,0,0,1,0,0,0
200920w0,0,0.7520595324494231,0.167350367088264,OGMAxkaPacific,Direchive,Dr100,Phil9ppihes,0,1,flosed,PH,Uncoded0reA9P,0.008157563582183506,0,A020272001,13000520.92,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,1,Not PBA,0,0,1,0,0,0
200920q0,0,0.531993310318793,0.43533400518017384,OGjAsiaPacieic,Direc4ive,D4w00,Philop0ines,0,1,Clpsed,PH,UncodedPreAol,0.018397471539826425,0,A020272001,13000520.92,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,1,Not PBA,0,0,1,0,0,0
20992010,0,1.185867119390057,1.0079590220423427,OGMAsixPavific,Dirsctive,D4200,Pakistwn,0,0,Terminatihv,PK,UncodedPrdAoP,4.384569665107042e-06,0,A020279001,2645994.04,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1,Not PBA,0,0,1,0,0,0
20992010,0,0.7861561171450782,0.21197389466244246,WGMaubSxyaranAfrica,Directiv2,D4w70,kalawi,0,0,Ckosed,MW,UncodecPr2APP,0.001963977812966382,0,A020392001,7747230.74,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,Malawi,0.0,1,Not PBA,0,0,1,0,0,0
20092019,0,1.2246563143912153,0.3562415864283819,OGMqsiaPackfic,Direc6ive,D4109,Babgpadesh,0,0,Cloeed,BD,8nxodedPreAPP,0.013213886992282414,0,A020395001,4947637.32,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,0.0,1,Not PBA,0,0,1,0,0,0
200o2010,0,0.9919425450084657,0.14810161301318853,OGMAzisPacific,Direvtive,Dt100,gajgladesh,0,0,Cloded,BD,hncodwdPreAPP,0.025976367800194987,0,A020395001,4947637.32,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,0.0,1,Not PBA,0,0,1,0,0,0
200920w0,0,1.701246013958997,0.7298793238933217,WGMSubSahagxnxfrica,Dirextive,D42u0,Mozamgisue,0,0,Clos2d,MZ,Uncoded9r3APP,0.03538938484658206,0,A020398001,9096651.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,0.0,1,Not PBA,0,0,0,0,0,0
20092o10,0,1.2096399600754726,0.09692888145666961,WGMSibSaharahAfricw,Direc6ive,x4270,Mozanbiqie,0,0,dlosed,MZ,8gcodedPreAPP,0.03380150010669581,0,A020398001,9096651.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,0.0,1,Not PBA,0,0,0,0,0,0
2o092010,0,0.0712566227387248,0.4125874228608698,WGMSubSatadanAf5ica,sirective,D42p7,vameroon,0,1,Closex,CM,khcodedPreAPP,0.018049542577334297,0,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1,Not PBA,0,0,1,0,0,0
20092p10,0,1.6723887238461488,0.18049091359662417,WGMSibSaharagAf3ica,Direvtive,D4307,xameroon,0,1,Ckosed,CM,hncodesPreAPP,0.002174057594442788,0,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1,Not PBA,0,0,1,0,0,0
200920q0,0,0.15899675739972863,0.47547666461747884,WGMSubSabarxnAfricz,Djrective,D420y,Cameropn,0,1,Clozed,CM,UncodewPreAP0,0.014889089306520244,0,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1,Not PBA,0,0,1,0,0,0
2009201p,0,1.0523361330116068,0.5125353656990269,qGhSubSaha3anAfrica,D9rective,x4207,xameroon,0,1,Cl0sed,CM,UndosedPreAPP,0.00229387459388525,0,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1,Not PBA,0,0,1,0,0,0
2p092010,0,0.49904298819087334,0.6104170019843607,WGkSuvSahxranAfrica,Direct7ve,D420i,Guin2a,0,0,flosed,GN,UncodecPrfAPP,0.018033725695985173,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
20p92010,0,1.5243403942964489,0.20514897267200158,WGkSubSaharabAfrixa,Di3ective,D3207,Guinra,0,0,Closee,GN,UncofedPreqPP,0.011897727813624578,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
30092010,0,1.8913461328797174,0.06685970327031093,WGnS6bSzharanAfrica,Directlve,Dr207,Guihea,0,0,Closrd,GN,UndodwdPreAPP,0.00470490625658298,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
20002010,0,1.4245107045634255,0.14133558194578408,WGnS8bSahzranAfrica,Didective,D4e07,Guimea,0,0,dlosed,GN,UncodwdPreqPP,0.05190559764867679,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
20092019,0,1.1161680286199762,0.4721411998919979,WGjSubdaharanAfricx,Dirextive,D4307,Gjinea,0,0,Closex,GN,ynvodedPreAPP,0.012019593250218865,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
2009201o,0,1.2672478750528566,0.6052482323035467,WGMSybSwharanAfrics,Direcfive,D4q07,Gkinea,0,0,Closwd,GN,UncodedP3ezPP,0.00361331874447428,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
w0092010,0,1.0841789212701542,0.29321803758956316,WrhSubSaharanAfdica,firective,D4208,tuinea,0,0,Clos3d,GN,6nc8dedPreAPP,0.031147320006581308,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
w0092010,0,1.7547898489396623,0.07421837469219428,WGMSubSahqragAfrida,Direc6ive,s4207,Gujnea,0,0,Cloxed,GN,UncodedPe3APP,0.016538407246059848,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
200920q0,0,1.0556001728477014,0.515679040814532,WGMS8gSaharanAfrida,rirective,D420u,Guonea,0,0,Closex,GN,Uncodrd9reAPP,0.0008167927437237614,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
20092020,0,1.060201530265504,0.4810624788521495,WhMS7bSaharxnAfrica,Direct8ve,D4w07,Guines,0,0,Cl9sed,GN,UncocedPreAPl,0.0044646529645752005,0,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1,Not PBA,0,0,0,0,0,0
20093010,0,1.2929748038870996,0.5220746476027418,OGnAsiaPacif8c,Direftive,D3100,S3iLanka,0,0,Cl8sed,LK,UncodedlreAP0,0.026620463453683074,0,A020790001,4308867.95,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1,Not PBA,0,0,0,0,0,0
200920w0,0,1.8860005738970373,0.21233574550701773,OhMAsizPacific,Durective,D41p0,Sriianka,0,0,Cloqed,LK,UncodedPr3A0P,0.003661916762791412,0,A020790001,4308867.95,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1,Not PBA,0,0,0,0,0,0
20992010,0,0.7573474580619443,0.05304417584557483,WGMSubSauaranAgriva,Directiv4,D42p7,Mali,0,0,Ciosed,ML,UnckdedPrfAPP,0.027118780689176527,0,A020891001,3063216.68,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,0.0,1,Other PBA,0,0,0,0,0,0
10092010,0,1.4897744605588037,0.3676193534387446,WGMSubSaharanxfrjcs,Direc5ive,f4207,Mali,0,0,Clised,ML,UncpdedP3eAPP,0.03369551494771347,0,A020891001,3063216.68,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,0.0,1,Other PBA,0,0,0,0,0,0
20093010,0,1.676421229929444,0.08410214510041897,WGMSubSzmxranAfrica,Digective,D420u,Mali,0,0,Closex,ML,UnxodedPrewPP,0.004669352179121262,0,A020892001,16726210.87,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,1,Other PBA,0,0,0,0,0,0
20o92010,0,1.7527417327856065,0.19904485631269148,WGMSubSzharanAf5iva,D9rective,D4297,Mali,0,0,Clozed,ML,UncowedPreAoP,0.03146800088680442,0,A020892001,16726210.87,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,1,Other PBA,0,0,0,0,0,0
20092019,0,0.27987933509865703,0.4805801130493633,WGjSjvSaharanAfrica,Dirfctive,D4107,Mali,0,0,Closes,ML,Uhcod3dPreAPP,0.013076828331489546,0,A020892001,16726210.87,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,1,Other PBA,0,0,0,0,0,0
200920w0,0,1.5007831860922374,0.2080910196940848,NhhAmericas,Respkbsive,v4400,SouthAm3ricx,0,1,Cl9sed,UY,UncoredPresPP,0.022357241142157605,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
200o2010,0,0.07360805231150191,0.6048481188648193,NGMAhericws,Rwsp8nsive,Dt400,Sou5hAmedica,0,1,slosed,UY,7ncoded0reAPP,0.01252380626448273,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20992010,0,1.3823765511949402,0.5294131733782648,NGMAkericax,Resoonwive,D4t00,SoutuAmerisa,0,1,Closes,UY,UnckdedPresPP,0.002650703898627131,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
29092010,0,1.6662481404189706,0.06096560954763258,NvMAmericad,Reslonsivf,D4r00,Sou5hAmericz,0,1,Clised,UY,UncodeslreAPP,0.010113144554546538,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
e0092010,0,0.6613182851541413,0.42237577691247047,NGMwmericad,Reeponsibe,D4500,Southsmericw,0,1,Closec,UY,UncodedPrsxPP,0.016503998377561238,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20092910,0,1.279596199774373,0.2587628098642985,NGMxmerivas,Respinwive,D3400,zouthAmefica,0,1,Closes,UY,UnckdedlreAPP,0.003612002232719377,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20092p10,0,0.07581029068993639,0.0938995972384391,NvjAmericas,3esponxive,D4300,Sou4hAm2rica,0,1,Cloced,UY,UncpdedPrrAPP,0.024361002477998935,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
2009201p,0,0.8701290108819449,0.25615459886913444,NGMzmericxs,Resppnsjve,D3400,So8thAmerifa,0,1,Clossd,UY,UncodddPr4APP,0.018971788719035605,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20o92010,0,0.04032236226255259,0.26731657673717796,NGMAmerisws,Reqponsige,D5400,SouthAne5ica,0,1,slosed,AR,kncodedPgeAPP,0.028648844142647338,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20092020,0,1.4881013557174996,0.23577685093546344,NrMAmeticas,Reep8nsive,e4400,SokthAmegica,0,1,Closrd,AR,UncodedP4esPP,0.018768309995554327,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
2009q010,0,0.7440264186310744,0.23089497763734457,NGMAmee7cas,fespobsive,D440o,SoutnAmeruca,0,1,Cllsed,AR,Umc9dedPreAPP,0.014335566644980619,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20p92010,0,0.3573252667021719,0.36524698890771345,NGMAjerisas,Respobcive,s4400,SluthAnerica,0,1,slosed,AR,UncodddPrwAPP,0.0056888208827021265,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
2009201o,0,1.2199351405924908,0.38456004281512896,NGMqmericws,Respphsive,D4r00,SouthAhwrica,0,1,xlosed,AR,UncoeedPrfAPP,0.0022734242689904168,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20992010,0,1.683467833439889,0.8518993650435838,hGMAhericas,Responz8ve,D4409,SouthAme48ca,0,1,Clised,AR,UbcodrdPreAPP,0.017459281792716115,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
20092p10,0,0.32995174820515827,0.7228603870968285,NtMxmericas,Rewponside,D4500,Souttxmerica,0,1,Closex,AR,hnc0dedPreAPP,0.01979869182993121,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
200i2010,0,0.9403560795148938,0.2485522942840654,NhMqmericas,Responqiv2,Dt400,S0uthsmerica,0,1,Clksed,AR,6ncodedPrezPP,0.0003023504278551072,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
w0092010,0,0.09490823664541026,0.42183474583053415,NGMsmericzs,Respomsivs,D4409,Sou4hwmerica,0,1,Closee,CL,UncodexoreAPP,0.004062763062108099,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
2009201p,0,1.1918086553267864,0.08720370833271435,NGMAje5icas,Reepogsive,De400,qouthAmerisa,0,1,Clowed,CL,6ncodedPrezPP,0.0009505847184824393,0,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1,Not PBA,0,0,1,0,0,0
