Fiscal year,Status,Enviromental sustainability (marker),Regional program (marker),Trade development (marker),Children issues (marker),ICT as a tool for development (marker),PBA type,Participatory development and good governance,Bilateral aid (international marker),Continent ID,FSTC percent,Project Browser country ID,Climate change adaptation (marker),Maximum CIDA contribution (project-level),Desertification (marker),Untied amount(Project-level budget),CountryRegion ID,Sector ID,Youth issues (marker),IRTC percent,Project number,CIDA business delivery model (old),Indigenous issues (marker),Division name,Branch ID,Branch name,Division ID,Section ID,Section name,Fund centre ID,Fund centre name,CFLI (marker),Programming process (new),Climate change mitigation (marker),Biodiversity (marker),Urban issues (marker),Disability issues (marker)
2009/2010,Closed,0,0,0,0,1,Not PBA,0,1,1,1.0,JM,0,3441416.83,0,3441416.83,JM,24040,0,0.0,A019362001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4429,Caricom - Adm,4439,Caribbean Regional - Jamaica,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,1,Not PBA,0,1,1,1.0,JM,0,3441416.83,0,3441416.83,JM,24040,0,0.0,A019362001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4429,Caricom - Adm,4439,Caribbean Regional - Jamaica,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,15150,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,24030,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,25010,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,32110,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,32130,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,32182,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,41010,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,2,1.0,EG,0,16700508.62,0,0.0,EG,41020,0,0.0,A019608001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4263,Egypt,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,0.998334353,DZ,0,328400.96,0,0.0,DZ,43010,0,0.0,A020161001,Directive,0,EDD Europe-Middle East Programming,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,4259,*Algeria,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,4610501.0,0,4000000.0,HT,15150,0,0.0,A020195001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,1,1.0,HT,0,4610501.0,0,4000000.0,HT,15160,0,0.0,A020195001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ET,0,4229943.14,0,0.0,ET,15110,0,0.0,A020222001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ET,0,4229943.14,0,0.0,ET,15111,0,0.0,A020222001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ET,0,4229943.14,0,0.0,ET,15130,0,0.0,A020222001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ET,0,4229943.14,0,0.0,ET,15150,0,0.0,A020222001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,ET,0,4229943.14,0,0.0,ET,15160,0,0.0,A020222001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,0,0,0,0,0,Not PBA,0,1,2,1.0,SN,0,4518387.69,0,4518387.69,SN,15110,0,0.0,A020246001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4238,Senegal,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,0,0,0,0,0,Not PBA,0,1,2,1.0,SN,0,4518387.69,0,4518387.69,SN,15110,0,0.0,A020246001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4238,Senegal,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,0,0,0,0,0,Not PBA,0,1,2,1.0,SN,0,4518387.69,0,4518387.69,SN,24040,0,0.0,A020246001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4238,Senegal,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,0,0,0,0,0,Not PBA,0,1,2,1.0,SN,0,4518387.69,0,4518387.69,SN,24040,0,0.0,A020246001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4238,Senegal,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,1,1.0,GY,0,7850039.11,0,7850039.11,GY,11130,0,0.0,A020252001,Directive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4429,Caricom - Adm,4438,Caribbean Regional - Guyana,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,3,1.0,PH,0,13000520.92,0,0.0,PH,15110,0,0.0,A020272001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,4128,Philippines,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,3,1.0,PH,0,13000520.92,0,0.0,PH,15111,0,0.0,A020272001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,4128,Philippines,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,1,Not PBA,1,1,3,1.0,PH,0,13000520.92,0,0.0,PH,15150,0,0.0,A020272001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,4128,Philippines,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Terminating,0,0,0,0,0,Not PBA,1,1,3,1.0,PK,0,2645994.04,0,0.0,PK,15110,0,0.0,A020279001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,2,1.0,MW,0,7747230.74,0,0.0,MW,15110,0,0.0,A020392001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,4280,Malawi,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,3,0.5,BD,0,4947637.32,0,0.0,BD,43010,0,0.0,A020395001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,4122,Bangladesh,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,1,1,3,0.5,BD,0,4947637.32,0,0.0,BD,43010,0,0.0,A020395001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,4122,Bangladesh,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,MZ,0,9096651.0,0,0.0,MZ,14031,0,0.0,A020398001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,4274,Mozambique,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,MZ,0,9096651.0,0,0.0,MZ,14032,0,0.0,A020398001,Directive,0,WED Southern & Eastern Africa,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,4274,Mozambique,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,2,1.0,CM,0,2457111.5,0,2457111.5,CM,43010,0,0.0,A020449003,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,4289,Cameroon,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,2,1.0,CM,0,2457111.5,0,2457111.5,CM,43010,0,0.0,A020449003,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,4289,Cameroon,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,2,1.0,CM,0,2457111.5,0,2457111.5,CM,43010,0,0.0,A020449003,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,4289,Cameroon,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,0,0,0,0,Not PBA,1,1,2,1.0,CM,0,2457111.5,0,2457111.5,CM,43010,0,0.0,A020449003,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,4289,Cameroon,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,15150,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,15150,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31161,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31161,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31166,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31166,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31181,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31181,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31191,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Not PBA,0,1,2,1.0,GN,0,11427061.07,0,11427061.07,GN,31191,0,0.0,A020715001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,4242,*Guinea,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,1,0,Not PBA,0,1,3,1.0,LK,0,4308867.95,0,0.0,LK,15150,0,0.0,A020790001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,1,0,Not PBA,0,1,3,1.0,LK,0,4308867.95,0,0.0,LK,15160,0,0.0,A020790001,Directive,0,OAD Asia Programming,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,1,0,Other PBA,0,1,2,0.0,ML,0,3063216.68,0,0.0,ML,11110,0,0.0,A020891001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,1,0,Other PBA,0,1,2,0.0,ML,0,3063216.68,0,0.0,ML,11110,0,0.0,A020891001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Other PBA,0,1,2,1.0,ML,0,16726210.87,0,16726210.87,ML,11130,0,0.0,A020892001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Other PBA,0,1,2,1.0,ML,0,16726210.87,0,16726210.87,ML,11130,0,0.0,A020892001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,0,0,0,0,0,Other PBA,0,1,2,1.0,ML,0,16726210.87,0,16726210.87,ML,11130,0,0.0,A020892001,Directive,0,WWD West & Central Africa,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,4216,Mali,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,11220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,11220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,12220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,12220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,13030,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,13030,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,15110,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,UY,0,1488850.78,0,0.0,50,15110,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,11220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,11220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,12220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,12220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,13030,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,13030,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,15110,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,AR,0,1488850.78,0,0.0,50,15110,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,CL,0,1488850.78,0,0.0,50,11220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,CL,0,1488850.78,0,0.0,50,11220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,CL,0,1488850.78,0,0.0,50,12220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,CL,0,1488850.78,0,0.0,50,12220,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,CL,0,1488850.78,0,0.0,50,13030,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,CL,0,1488850.78,0,0.0,50,13030,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
2009/2010,Closed,1,1,0,1,0,Not PBA,1,1,1,1.0,CL,0,1488850.78,0,0.0,50,15110,0,0.0,A020910001,Responsive,0,NDD Americas Programming,B4400,NGM Americas,D4400,S4413,South America,4422,*Southern Cone,0,Uncoded: Pre-APP,0,0,0,0
