Fiscal year,Biodiversity (marker),Bilateral aid (international marker),Regional program (marker),PBA type,Section name,FSTC percent,Climate change mitigation (marker),Organisation type,Branch name,Organisation sub-class,CountryRegion ID,Status,Amount spent,Continent ID,Project number,Maximum CIDA contribution (project-level),Branch ID,Division ID,Division name,Section ID,Fund centre ID,Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,18482.9975,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,1.0,0,Canadian Profit Making,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,EG,Closed,73931.99,2,A019608001,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Middle East and North Africa,0.998334353,0,Canadian Non-Profit Making,"EGM Europe, Middle East and Maghreb",FEDERAL,DZ,Closed,114.33,2,A020161001,328400.96,B3100,D3100,EDD Europe-Middle East Programming,S4256,4259,*Algeria,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Ha�ti & Dominican Republic Section,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,HT,Closed,103009.4,1,A020195001,4610501.0,B4400,D4400,NDD Americas Programming,S4449,4452,Haiti,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Ha�ti & Dominican Republic Section,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,HT,Closed,412037.6,1,A020195001,4610501.0,B4400,D4400,NDD Americas Programming,S4449,4452,Haiti,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"Ethiopia, PanAfrica, SubRegional",1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,ET,Closed,799.502,2,A020222001,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"Ethiopia, PanAfrica, SubRegional",1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,ET,Closed,799.502,2,A020222001,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"Ethiopia, PanAfrica, SubRegional",1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,ET,Closed,799.502,2,A020222001,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"Ethiopia, PanAfrica, SubRegional",1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,ET,Closed,799.502,2,A020222001,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,"Ethiopia, PanAfrica, SubRegional",1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,ET,Closed,799.502,2,A020222001,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,SN,Terminating,2307.3284,2,A020246001,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTANT,SN,Terminating,2157.8406,2,A020246001,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,SN,Terminating,4478.9316,2,A020246001,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTANT,SN,Terminating,4188.7494,2,A020246001,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Caricom - Adm,1.0,0,Canadian Profit Making,NGM Americas,CONSULTING SERVICES,GY,Closed,539373.76,1,A020252001,7850039.11,B4400,D4400,NDD Americas Programming,S4429,4438,Caribbean Regional - Guyana,7850039.11,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Philippines and Mongolia,1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,PH,Closed,12432.9,3,A020272001,13000520.92,B4100,D4100,OAD Asia Programming,S4130,4128,Philippines,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Philippines and Mongolia,1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,PH,Closed,9946.32,3,A020272001,13000520.92,B4100,D4100,OAD Asia Programming,S4130,4128,Philippines,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Philippines and Mongolia,1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,PH,Closed,2486.58,3,A020272001,13000520.92,B4100,D4100,OAD Asia Programming,S4130,4128,Philippines,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,PK,Terminating,106986.01,3,A020279001,2645994.04,B4100,D4100,OAD Asia Programming,S4141,4124,Pakistan,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Mozambique Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,MW,Closed,73711.97,2,A020392001,7747230.74,B4200,D4270,WED Southern & Eastern Africa,S4271,4280,Malawi,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Bangladesh Section,0.5,0,Canadian Non-Profit Making,OGM Asia Pacific,FEDERAL,BD,Closed,500000.0,3,A020395001,4947637.32,B4100,D4100,OAD Asia Programming,S4122,4122,Bangladesh,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Bangladesh Section,0.5,0,Uncoded,OGM Asia Pacific,Unknown,BD,Closed,2362.0,3,A020395001,4947637.32,B4100,D4100,OAD Asia Programming,S4122,4122,Bangladesh,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,1,0
2009/2010,0,1,0,Not PBA,Mozambique Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTANT,MZ,Closed,667.81,2,A020398001,9096651.0,B4200,D4270,WED Southern & Eastern Africa,S4271,4274,Mozambique,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Mozambique Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTANT,MZ,Closed,667.81,2,A020398001,9096651.0,B4200,D4270,WED Southern & Eastern Africa,S4271,4274,Mozambique,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Central Africa & Great Lakes Program,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,FEDERAL,CM,Closed,582248.05,2,A020449003,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Central Africa & Great Lakes Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,SUPPLIER OF GOODS/SERVICES,CM,Closed,863.16,2,A020449003,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Central Africa & Great Lakes Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,COOPERANT,CM,Closed,140613.87,2,A020449003,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Central Africa & Great Lakes Program,1.0,0,Uncoded,WGM Sub-Saharan Africa,Unknown,CM,Closed,2361.97,2,A020449003,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,ASSOCIATIONS,GN,Closed,442790.91,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,GN,Closed,4131.87,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,ASSOCIATIONS,GN,Closed,132837.27300000002,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,GN,Closed,1239.5610000000001,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,ASSOCIATIONS,GN,Closed,88558.18199999999,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,GN,Closed,826.3739999999999,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,ASSOCIATIONS,GN,Closed,132837.27300000002,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,GN,Closed,1239.5610000000001,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,ASSOCIATIONS,GN,Closed,88558.18199999999,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,Senegal Program,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,GN,Closed,826.3739999999999,2,A020715001,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,NGO,LK,Closed,92293.62400000001,3,A020790001,4308867.95,B4100,D4100,OAD Asia Programming,S4141,4118,Sri Lanka,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Not PBA,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0,Canadian Non-Profit Making,OGM Asia Pacific,NGO,LK,Closed,23073.406000000003,3,A020790001,4308867.95,B4100,D4100,OAD Asia Programming,S4141,4118,Sri Lanka,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Other PBA,Mali Program Section,0.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,FEDERAL,ML,Closed,57631.03,2,A020891001,3063216.68,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Other PBA,Mali Program Section,0.0,0,Uncoded,WGM Sub-Saharan Africa,Unknown,ML,Closed,23.9,2,A020891001,3063216.68,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Other PBA,Mali Program Section,1.0,0,Canadian Non-Profit Making,WGM Sub-Saharan Africa,FEDERAL,ML,Closed,10023.66,2,A020892001,16726210.87,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Other PBA,Mali Program Section,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,ML,Closed,50605.0,2,A020892001,16726210.87,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,0,Other PBA,Mali Program Section,1.0,0,Canadian Profit Making,WGM Sub-Saharan Africa,CONSULTING SERVICES,ML,Closed,2019764.66,2,A020892001,16726210.87,B4200,D4207,WWD West & Central Africa,S4215,4216,Mali,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,64.46300000000001,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,24.000999999999998,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,51.5704,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,19.2008,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,12.8926,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,4.8002,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,515.7040000000001,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,192.00799999999998,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,193.389,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,72.003,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,154.7112,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,57.6024,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,38.6778,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,14.4006,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,1547.112,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,576.024,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,193.389,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,72.003,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Canadian Non-Profit Making,NGM Americas,FEDERAL,50,Closed,154.7112,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
2009/2010,0,1,1,Not PBA,South America,1.0,0,Uncoded,NGM Americas,Unknown,50,Closed,57.6024,1,A020910001,1488850.78,B4400,D4400,NDD Americas Programming,S4413,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,1,0
