assay_id,tid,assay_cell_type,assay_organism,assay_tissue,description,doc_id,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction,relationship_type
31,12054,,Glycine max,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,167,B,,,3847.0,,,H
32,12054,,Glycine max,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,11087,B,,,3847.0,,,H
33,12054,,Glycine max,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,11087,B,,,3847.0,,,H
34,12054,,Glycine max,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,13622,B,,,3847.0,,,H
35,12054,,Glycine max,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,13622,B,,,3847.0,,,H
36,22226,,Rattus norvegicus,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,11347,A,,,10116.0,,,U
37,22226,,Escherichia coli,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,5926,B,,,562.0,,,U
38,22226,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,4567,B,,,,,,U
39,22222,,,,Dissociation constant towards 16S rRNA construct A,3782,B,,,,,,M
40,22222,,,,Dissociation constant towards 16S rRNA construct B,3782,B,,,,,,M
41,100263,,Escherichia coli,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,4466,B,,,562.0,,,M
42,100263,,Escherichia coli,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,6592,B,,,562.0,,,M
43,13053,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,B,,,,,,H
44,13053,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,B,,,,,,H
45,20001,,Homo sapiens,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,13163,B,,,9606.0,,,H
46,20001,,Homo sapiens,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,13163,B,,,9606.0,,,H
47,12971,,Rattus norvegicus,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10691,B,,,10116.0,,,D
48,12971,,Rattus norvegicus,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10691,B,,,10116.0,,,D
49,12971,,Rattus norvegicus,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10691,B,,,10116.0,,,D
50,12971,,Rattus norvegicus,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10691,B,,,10116.0,,,D
51,13053,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,B,,,,,,H
52,11512,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),912,B,,,,,,H
53,11512,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,912,B,,,,,,H
54,11512,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,912,B,,,,,,H
55,104740,,Rattus norvegicus,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,15103,B,,,10116.0,,Membranes,D
56,80002,1A9,Homo sapiens,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,5116,F,,,9606.0,,,N
57,104835,Oocytes,Rattus norvegicus,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,14578,F,,,10116.0,,,D
58,104821,Oocytes,Rattus norvegicus,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,14578,F,,,10116.0,,,D
59,104848,Oocytes,Rattus norvegicus,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,14578,F,,,10116.0,,,D
60,80002,1A9,Homo sapiens,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,4787,F,,,9606.0,,,N
61,80002,1A9,Homo sapiens,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,4787,F,,,9606.0,,,N
62,80002,1A9,Homo sapiens,,Cytotoxic activity against human ovarian cancer (1A9) cell line,3547,F,,,9606.0,,,N
63,80002,1A9,Homo sapiens,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,3547,F,,,9606.0,,,N
64,80002,1A9,Homo sapiens,,Effective dose of compound against replication of 1A9 cell line was evaluated,6726,F,,,9606.0,,,N
65,80002,1A9,Homo sapiens,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,3455,F,,,9606.0,,,N
66,80002,1A9,Homo sapiens,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),5726,F,,,9606.0,,,N
67,80002,1A9,Homo sapiens,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,5726,F,,,9606.0,,,N
68,80002,1A9,Homo sapiens,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,5726,F,,,9606.0,,,N
69,80002,1A9,Homo sapiens,,Inhibitory activity against Taxol resistant 1A9 cell lines,3395,F,,,9606.0,,,N
70,80002,1A9,Homo sapiens,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,3415,F,,,9606.0,,,N
71,80002,1A9,Homo sapiens,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,3415,F,,,9606.0,,,N
72,80002,1A9,Homo sapiens,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,17099,F,,,9606.0,,,N
73,80002,1A9,Homo sapiens,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,17099,F,,,9606.0,,,N
74,80002,1A9,Homo sapiens,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,17099,F,,,9606.0,,,N
75,80002,1A9,Homo sapiens,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,17099,F,,,9606.0,,,N
76,81072,Jurkat,Homo sapiens,,Inhibitory concentration against Jurkat cells,17721,F,,,9606.0,,,N
77,22226,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,1229,F,,,,,,U
78,100121,,Rattus norvegicus,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,11347,A,,,10116.0,,,D
79,11231,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",17117,B,,,,,,H
80,11231,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",17117,B,,,,,,H
81,11231,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",17117,B,,,,,,H
82,11231,,Candida albicans,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",11375,B,,,5476.0,,Microsomes,H
83,11231,,Candida albicans,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",11375,B,,,5476.0,,Microsomes,H
84,11231,,Saccharomyces cerevisiae,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",11375,B,,,4932.0,,Microsomes,H
85,11231,,Saccharomyces cerevisiae,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",11375,B,,,4932.0,,Microsomes,H
86,12083,,Sus scrofa,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",11375,B,,,9823.0,,Microsomes,H
87,11231,,Rattus norvegicus,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",791,B,,,10116.0,,,H
88,11231,,Rattus norvegicus,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",791,B,,,10116.0,,,H
89,11231,,Rattus norvegicus,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",791,B,,,10116.0,,,H
90,12083,,Rattus norvegicus,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",11375,B,,,10116.0,,Microsomes,D
91,12083,,Rattus norvegicus,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",11375,B,,,10116.0,,Microsomes,D
92,12083,,Rattus norvegicus,Liver,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",153,B,,,10116.0,,Microsomes,D
93,11377,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),8269,B,,,,,,H
94,11377,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,8269,B,,,,,,H
95,81020,HepG2,Homo sapiens,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,17653,F,,,9606.0,,,N
96,81020,HepG2,Homo sapiens,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,14277,F,,,9606.0,,,N
97,81020,HepG2,Homo sapiens,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,1717,F,,,9606.0,,,N
98,81020,HepG2,Homo sapiens,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,14091,F,,,9606.0,,,N
99,81020,HepG2,Homo sapiens,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,14091,F,,,9606.0,,,N
100,50606,,Hepatitis B virus,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,17653,F,,,10407.0,,,N
101,81020,HepG2,Homo sapiens,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,13105,F,,,9606.0,,,N
102,81020,HepG2,Homo sapiens,,Concentration required to inhibit 50% of 2.2.15 cell line,1717,F,,,9606.0,,,N
103,81020,HepG2,Homo sapiens,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,13105,A,,,9606.0,,,N
104,50587,2.2.15,Homo sapiens,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,13600,F,,,9606.0,,,N
105,50587,2.2.15,Homo sapiens,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,13467,F,,,9606.0,,,N
106,50606,2.2.15,Hepatitis B virus,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",17477,F,,,10407.0,,,N
107,50587,2.2.15,Homo sapiens,,In vitro anti-HBV activity in 2.2.15 cells,1593,F,,,9606.0,,,N
108,50587,2.2.15,Homo sapiens,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,1593,F,,,9606.0,,,N
109,50587,2.2.15,Homo sapiens,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,15089,F,,,9606.0,,,N
110,50587,2.2.15,Homo sapiens,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,15089,F,,,9606.0,,,N
111,50587,2.2.15,Homo sapiens,,Cytotoxicity in 2.2.15 cells,1593,F,,,9606.0,,,N
112,50587,2.2.15,Homo sapiens,,Cytotoxicity in 2.2.15 cells; Not determined,1593,F,,,9606.0,,,N
113,50587,2.2.15,Homo sapiens,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,13600,F,,,9606.0,,,N
114,50587,2.2.15,Homo sapiens,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,13467,F,,,9606.0,,,N
115,50587,2.2.15,Homo sapiens,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,13467,F,,,9606.0,,,N
116,81020,HepG2,Homo sapiens,,Antiviral activity against HBV was determined in 2.215 cell line,14764,F,,,9606.0,,,N
117,22226,,Homo sapiens,,Inhibition of 20-HETE synthesis in human renal microsomes,6531,B,,,9606.0,,Microsomes,U
118,22226,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,17322,B,,,,,,U
119,80612,2008,Homo sapiens,,Inhibitory concentration against 2008 (ovarian) cells,17072,F,,,9606.0,,,N
120,80612,2008,Homo sapiens,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,16936,F,,,9606.0,,,N
121,80612,2008,Homo sapiens,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),16936,F,,,9606.0,,,N
122,80612,2008,Homo sapiens,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,17146,F,,,9606.0,,,N
123,80612,2008,Homo sapiens,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,17146,F,,,9606.0,,,N
124,80613,2008/R,Homo sapiens,,In vitro inhibition of 2008/R ovarian cancer cell line,10797,F,,,9606.0,,,N
125,80613,2008/R,Homo sapiens,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,10797,F,,,9606.0,,,N
126,80614,2008/S,Homo sapiens,,In vitro inhibition of 2008/S ovarian cancer cell line,10797,F,,,9606.0,,,N
127,80614,2008/S,Homo sapiens,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,10797,F,,,9606.0,,,N
128,100256,,Homo sapiens,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,4823,B,,,9606.0,,,S
129,100256,,Homo sapiens,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,12912,B,,,9606.0,,,S
130,100256,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,2957,B,,,,,,S
131,100256,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,2957,B,,,,,,S
132,100256,,,,Inhibitory activity against 20S proteosome,3260,B,,,,,,S
133,22226,,Homo sapiens,,Compound was tested for inhibitory activity against tryptase,3451,B,,,9606.0,,,U
134,81020,HepG2,Homo sapiens,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,13885,F,,,9606.0,,,N
135,81020,HepG2,Homo sapiens,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,13885,F,,,9606.0,,,N
136,22226,,,,Compound was tested for the inhibition of Alpha-glucosidase,3676,B,,,,,,U
137,235,,,,Inhibitory concentration against human neutrophil elastase (HNE),6043,B,,,,,,H
138,22226,,Rattus norvegicus,Heart,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,11140,F,,,10116.0,,,U
139,19640,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,10543,F,,,,,,H
140,19640,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,10543,F,,,,,,H
141,19640,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,10543,B,,,,,,H
142,19640,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,10543,F,,,,,,H
143,80360,P338,Mus musculus,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,11365,F,,,10090.0,,,N
144,80360,P338,Mus musculus,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,11365,F,,,10090.0,,,N
145,80384,PBL,Homo sapiens,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,11803,F,,,9606.0,,,N
146,22226,,Ovis aries,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,11803,F,,,9940.0,,,U
147,22226,,Ovis aries,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,11803,F,,,9940.0,,,U
148,191,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),12278,B,,,,,,H
149,22226,,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,8249,F,,,9606.0,,,U
150,22226,,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,8249,F,,,9606.0,,,U
151,22226,CCRF-CEM,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,8249,F,,,9606.0,,,U
152,22226,CCRF-CEM,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,8249,F,,,9606.0,,,U
153,22226,CCRF-CEM,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,8249,F,,,9606.0,,,U
154,22226,CCRF-CEM,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,8249,F,,,9606.0,,,U
155,22226,,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,8249,F,,,9606.0,,,U
156,22226,,Homo sapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,8249,F,,,9606.0,,,U
157,104290,,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,16992,B,,,,,,H
158,50264,,Streptococcus pyogenes,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,10543,F,,,1314.0,,,N
159,50527,,Human herpesvirus 3,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),17833,F,,,10335.0,,,N
160,50527,HEL,vericilla zoster virus,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,17290,F,,,10335.0,,,N
161,50527,,vericilla zoster virus,,Antiviral activity against 07/1 strain of VZV; ND: No data,17290,F,,,10335.0,,,N
162,50527,,vericilla zoster virus,,Antiviral activity against 07/1 strain of VZV; ND=No data,17290,F,,,10335.0,,,N
163,50145,,escherichia cloac,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",10932,F,,,561.0,,,N
164,22226,,,,Ratio of Ki at A2 to Ki at A1 receptors,9707,B,,,,,,U
165,11143,,Candida albicans,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",2346,B,,,5476.0,,,H
166,18077,,Candida glabrata CBS 138,,"Inhibition of 1,3-beta-glucan synthase",2205,B,,,284593.0,,,H
167,80609,1-87 tumor cell line,Homo sapiens,,Inhibition of growth of 1-87 human tumor cell line,11900,F,,,9606.0,,,N
168,12166,,Rattus norvegicus,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,14864,B,,,10116.0,,,D
169,100171,,Glycine max,,Inhibitory activity against soybean 1-lipoxygenase (SLO),16474,B,,,3847.0,,,D
170,100171,,Glycine max,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,16474,B,,,3847.0,,,D
171,100171,,Glycine max,,% inhibition against soybean 1-lipoxygenase (SLO),16474,B,,,3847.0,,,D
172,100171,,Glycine max,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,16474,B,,,3847.0,,,D
173,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,3094,B,,,3847.0,,,D
174,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,3094,B,,,3847.0,,,D
175,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,3094,B,,,3847.0,,,D
176,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,3094,B,,,3847.0,,,D
177,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,3094,B,,,3847.0,,,D
178,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,3094,B,,,3847.0,,,D
179,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,3094,B,,,3847.0,,,D
180,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,3094,B,,,3847.0,,,D
181,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,3094,B,,,3847.0,,,D
182,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,3094,B,,,3847.0,,,D
183,100171,,Glycine max,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,3094,B,,,3847.0,,,D
184,22226,,Mus musculus,,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,10413,B,,,10090.0,,,U
185,80049,C3H 10T1/2,Mus musculus,,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),16929,F,,,10090.0,,,N
186,22226,,,,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,1229,F,,,,,,U
187,11489,,,,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),16587,B,,,,,,H
188,11862,,,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),16587,B,,,,,,H
189,11862,,,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,16587,B,,,,,,H
190,11489,,,,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,16587,B,,,,,,H
191,11862,,,,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,16587,B,,,,,,H
192,12347,,Bos taurus,,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,8058,F,,,9913.0,,,D
193,100120,,Rattus norvegicus,,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,9065,B,,,10116.0,,,D
194,100120,,Rattus norvegicus,Adrenal gland,Inhibition of 11 beta-hydroxylase from rat adrenal gland,8865,B,,,10116.0,,,D
195,100120,,Rattus norvegicus,,Inhibition of rat adrenal 11-beta-hydroxylase,9066,B,,,10116.0,,,D
196,100120,,Rattus norvegicus,,Inhibition of rat adrenal 11-beta-hydroxylase,8394,B,,,10116.0,,,D
197,100120,,Rattus norvegicus,,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,8394,B,,,10116.0,,,D
198,10328,,,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,6431,B,,,,,,H
199,11490,,,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,6431,B,,,,,,H
