assay_id,tissue_id,cell_id,chembl_id,curated_by,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain
19,,,CyEMnL615133,xutocu3ation,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,,,CbEMBL6q5134,wutocurat7on,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,,,CHEMBp615w35,A75ocuration,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,,,CgEMBL6w5136,Auyoc8ration,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,,,CHEhBL715137,Auticueation,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,,,CHEMBo6q5138,qutocu3ation,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,,,CtEMBL846324,Autocurqt7on,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,,,CHEMBky15139,Au4ocurstion,,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,Oryctolagus cuniculus,9986.0,
27,,,vHsMBL615140,wutocura5ion,,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,Oryctolagus cuniculus,9986.0,
28,,,fHwMBL615141,Autockratioh,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,,,CHEMBL616w42,Aitocu5ation,,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,3847.0,
30,,,CHEkBL6w5143,Autochgation,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,3847.0,
31,,,CHEMfL61514t,Autlcuragion,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,Glycine max,3847.0,
32,,,CHEnBL872877,Auticuratiog,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,Glycine max,3847.0,
33,,,CHEMBLuq5145,qutocurqtion,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,Glycine max,3847.0,
34,,,CHEMBL61614t,Aktocuratoon,,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
35,,,CHEMBk615q47,Aut9furation,,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
36,,,sHEMBk615148,Autocuextion,,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,
37,,,CtEMBL61t149,Autocyratiom,,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,562.0,
38,,,CHEkBL615q50,Aitocuratioh,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,,,CHEMBL6w5q51,In4wrmediate,,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,,,CHEMBL6w515q,In5ermediqte,,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,,,CHEMfL6151t3,Ex0ert,,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,562.0,
42,,,CHEMBp6w5154,rxpert,,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,562.0,
43,,,sHEMvL615155,Auyoc6ration,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,,,CjEMBL6151y6,Autlcuratiom,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,,,fHEMBL6151r7,Autochrarion,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
46,,,CHEjBL615w58,Ai6ocuration,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
47,,,CHEMhL6151r9,Experh,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
48,,,CHEMnL6w5172,Edpert,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
49,,,CHEMnL6151u3,Expe3t,,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
50,,,CHEMBp61t174,Expfrt,,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
51,,,CHEjBLi84518,wutocurwtion,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,,,CtEMBL615w75,qutocurat7on,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,,,CHEMBL61r177,A6tocura5ion,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,,,CHEMBL6141i7,Au5ocuratioj,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,,,CHEMnL61517i,Autocurxtuon,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,10116.0,
56,,413.0,CHsMBL715179,Interkewiate,,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,9606.0,
57,,,CHEMBL61517p,Augocuratoon,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,10116.0,
58,,,CHEjBL625181,Autoc6ratiom,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,10116.0,
59,,,CHEkBL61518q,Aurkcuration,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,10116.0,
60,,779.0,CHEMnL6151o3,Espert,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,
61,,659.0,CHwMBL615183,9ntsrmediate,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,
62,,616.0,CHEhBL615q85,Ibtermediwte,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,
63,,640.0,CHEMBL6q518u,Interm2diste,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,9606.0,
64,,446.0,vHEMvL615187,Internedkate,,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,9606.0,
65,,471.0,CHEMBp895343,Experg,,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,
66,,252.0,CHEMBL6w5q88,In5ermediat2,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,9606.0,
67,,492.0,CHEMBLy151i9,Ihtermediqte,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,9606.0,
68,,632.0,CHEMBL615200,Ihtsrmediate,,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,9606.0,
69,,758.0,CHEMBp615w91,Inteemedkate,,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,9606.0,
70,,524.0,vHEMBL616192,Exlert,,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,
71,,644.0,CHEkhL827083,Expsrt,,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,
72,,534.0,CHEMvL61y193,Expsrt,,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,Homo sapiens,9606.0,
73,,721.0,CHEMBLt1y194,Inhermediatw,,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,Homo sapiens,9606.0,
74,,333.0,fHEnBL615195,Ibtermexiate,,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,9606.0,
75,,676.0,CHEMBL6w5186,Interm4dia6e,,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,9606.0,
76,,673.0,CHEMvi615197,Intermedja6e,,17721,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,9606.0,
77,,,CHEMni615198,9ntermedia5e,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,,,CbrMBL615199,Expfrt,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,10116.0,
79,,,CH4MBL61520p,Ex9ert,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,,,CnEMBp615201,3xpert,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,,,vHEMBL6w5202,fxpert,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,,,CHEMBi615w03,Auticuratkon,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
83,,,CHEnBL515204,zutocuratikn,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
84,,,dHEMBi615205,Autocurati8g,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
85,,,CHrMBi615206,Autlcuratiob,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
86,981083.0,,CH2MnL615207,Aitocuratiin,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,9823.0,
87,,,CH3MBL8e7084,Autocu3atiog,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,10116.0,
88,,,CHEMBL6q4208,Autociratiln,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,10116.0,
89,,,CH4kBL615209,A8tocueation,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,10116.0,
90,973030.0,,xHdMBL615210,Au5ocurat8on,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
91,4143239.0,,CHEMhL6q5211,Aytocuratiin,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
92,3010399.0,,CuEMBL615w12,Ayt0curation,,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
93,,,CmwMBL615213,Expeet,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,,,CnEMBk615273,sxpert,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,,667.0,CHfMBL61527e,Expedt,,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,9606.0,
96,,758.0,CHEnBL61527r,Interm2diatw,,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,9606.0,
97,,820.0,fHEMBL61t276,Inyermediare,,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,9606.0,
98,,525.0,CHwMBL6w5277,Integmedia4e,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,9606.0,
99,,458.0,fHEMBL614326,Ijtermfdiate,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
100,,,CHEMBL882230,Ex0ert,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,10407.0,
101,,438.0,CHEMnL8845w9,kngermediate,,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
102,,66.0,CHEMfo615327,Intermediz5e,,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,9606.0,
103,,306.0,CbfMBL615328,Inhernediate,,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,9606.0,
104,,,CHEMBi615320,Ibtermedkate,,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,9606.0,
105,,,CHrMBL61533p,In5ermeciate,,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
106,,,CHEMnL61y331,sxpert,,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,10407.0,
107,,,CHEkBL615432,Intermdd7ate,,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
108,,,CmEMBL515333,7ntermedia6e,,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
109,,,CHdMBL6w5334,Interm3d9ate,,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,9606.0,
110,,,CHsMvL615335,Intermeeiqte,,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
111,,,CHEMhL61533u,Ijtermeeiate,,1593,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
112,,,CHEMnL616337,Intermediw6e,,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
113,,,CH2MBLy15338,Int2fmediate,,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,9606.0,
114,,,CbEnBL615339,Ihtermddiate,,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
115,,,xHEMBL715340,Interm2dia5e,,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
116,,608.0,CHEMBL6w534q,8ntsrmediate,,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,9606.0,
117,,,sHEMBL61534e,wutocurat7on,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,9606.0,
118,,,vHEMBi615343,A8tocura4ion,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,,518.0,CHEMBo615334,Intefhediate,,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,9606.0,
120,,776.0,CHEMBo715345,Intermed8qte,,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,9606.0,
121,,894.0,CHEMhLt15346,7ntermeviate,,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,9606.0,
122,,647.0,CH2MBLt15347,Ihte4mediate,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,9606.0,
123,,700.0,CHEMgk615348,Intwrmed8ate,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,9606.0,
124,,670.0,CHEMBL81y085,Intermwduate,,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,9606.0,
125,,497.0,CHEjBo615349,lntermediatr,,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,
126,,759.0,CHEMBL515250,8nternediate,,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,9606.0,
127,,165.0,sHEMBp615351,Intermsdia5e,,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,
128,,,xHEMBp615352,Expsrt,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,9606.0,
129,,,xHwMBL615353,Interm2diat4,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,9606.0,
130,,,CHskBL615354,Eapert,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,,,CHEMBL625r55,fxpert,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,,,CtEhBL615356,Ihtermediwte,,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,,,CH3MBL6w5357,Autocudatuon,,3451,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,9606.0,
134,,628.0,CH2jBL615358,Int3rmed9ate,,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,
135,,445.0,CHEkfL827086,Inhermediahe,,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,
136,,,xHEMBp615359,Autocurztiom,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,,,CHEMBLyq5360,qutocjration,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,419157.0,,CyEMBLt15361,sutlcuration,,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,10116.0,
139,,,dgEMBL615362,Autpcurati8n,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,,,sHrMBL615363,4xpert,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,,,CHEnBL6w5364,xutocurstion,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,,,CHEMBL61535r,Expett,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,,953.0,CHEMBLy15466,untermedlate,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,10090.0,
144,,894.0,CHEnBL616367,Intd3mediate,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,10090.0,
145,,458.0,CHEMBL6q53u8,7ntegmediate,,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,9606.0,
146,,,CHdMBL616369,s8tocuration,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,9940.0,
147,,,CgEMgL615370,Aut9curafion,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,9940.0,
148,,,CHEMBo6156i3,Aut9curatiln,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,,,dHsMBL615674,xutockration,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,
150,,,CjEMBL515675,Autocurwt8on,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,
151,,600.0,dHEMBo615676,Autodurati9n,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,9606.0,
152,,509.0,CHsMBLt15677,Auhofuration,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,
153,,901.0,CmEjBL615678,A7ticuration,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,
154,,1030.0,CbEMBL625679,Ahtocurstion,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,
155,,,CHEMBLu15y80,Autosufation,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,9606.0,
156,,,vHEMgL615681,xu6ocuration,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,
157,,,CHEMBL85i9y2,Aiyocuration,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,,,CH4MBL857o99,Interm3doate,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,1314.0,
159,,,vH2MBL615371,Imte5mediate,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,10335.0,
160,,711.0,CH3MBL615r72,Exper5,,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,vericilla zoster virus,10335.0,
161,,,CHEMBL514373,Intermsdoate,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,vericilla zoster virus,10335.0,
162,,,CHrMBLt15374,Inteem3diate,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,vericilla zoster virus,10335.0,
163,,,CHEMBL616475,Intermeciste,,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,561.0,
164,,,CHEjBi615376,Autocutwtion,,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,,,xHEMBi615377,Ex9ert,,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,5476.0,
166,,,CHEnBL615e78,Exoert,,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,284593.0,
167,,875.0,CHEMBp6q5379,Inrerkediate,,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,9606.0,
168,,,CuEMBL615389,Expegt,,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,10116.0,
169,,,CHEMBk6w5381,Autoduratiog,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
170,,,sHEMBL6q5382,wu4ocuration,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,3847.0,
171,,,sHEMBL61r383,Autocurariob,,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
172,,,CHEjhL615384,Auyocuratjon,,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,3847.0,
173,,,CHwMBL615386,zutocuratuon,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,3847.0,
