assays_assay_id,assays_assay_subcellular_fraction,assays_assay_test_type,assays_assay_tissue,assays_assay_type,assays_assay_cell_type,assays_cell_id,assays_assay_category,assays_description,assays_relationship_type,assays_assay_strain,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_bao_format,assays_tissue_id,assays_variant_id
19,,,,B,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,H,,1,,CHEMBL615133,BAO_0000019,,
20,,,,B,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,,1,,CHEMBL615134,BAO_0000357,,
21,,,,B,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),H,,1,,CHEMBL615135,BAO_0000357,,
22,,,,B,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,,1,,CHEMBL615136,BAO_0000357,,
23,,,,B,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,,1,,CHEMBL615137,BAO_0000357,,
24,,,,B,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,,1,,CHEMBL615138,BAO_0000357,,
25,,,,B,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",U,,1,,CHEMBL836324,BAO_0000219,,
26,,,,B,,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,H,,1,,CHEMBL615139,BAO_0000357,,
27,,,,B,,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),H,,1,,CHEMBL615140,BAO_0000357,,
28,,,,B,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,H,,1,,CHEMBL615141,BAO_0000219,,
29,,,,B,,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,H,,1,,CHEMBL615142,BAO_0000357,,
30,,,,B,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,H,,1,,CHEMBL615143,BAO_0000357,,
31,,,,B,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,H,,1,,CHEMBL615144,BAO_0000357,,
32,,,,B,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,H,,1,,CHEMBL872867,BAO_0000357,,
33,,,,B,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,H,,1,,CHEMBL615145,BAO_0000357,,
34,,,,B,,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,H,,1,,CHEMBL615146,BAO_0000357,,
35,,,,B,,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,H,,1,,CHEMBL615147,BAO_0000357,,
36,,,,A,,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,U,,1,,CHEMBL615148,BAO_0000019,,
37,,,,B,,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,U,,1,,CHEMBL615149,BAO_0000019,,
38,,,,B,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,U,,1,,CHEMBL615150,BAO_0000019,,
39,,,,B,,,,Dissociation constant towards 16S rRNA construct A,M,,1,,CHEMBL615151,BAO_0000225,,
40,,,,B,,,,Dissociation constant towards 16S rRNA construct B,M,,1,,CHEMBL615152,BAO_0000225,,
41,,,,B,,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,M,,1,,CHEMBL615153,BAO_0000225,,
42,,,,B,,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,M,,1,,CHEMBL615154,BAO_0000225,,
43,,,,B,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,1,,CHEMBL615155,BAO_0000019,,
44,,,,B,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,1,,CHEMBL615156,BAO_0000019,,
45,,,,B,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,,1,,CHEMBL615157,BAO_0000019,,
46,,,,B,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,,1,,CHEMBL615158,BAO_0000019,,
47,,,,B,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,,1,,CHEMBL615159,BAO_0000019,,
48,,,,B,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,,1,,CHEMBL615172,BAO_0000019,,
49,,,,B,,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,,1,,CHEMBL615173,BAO_0000019,,
50,,,,B,,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,,1,,CHEMBL615174,BAO_0000019,,
51,,,,B,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,1,,CHEMBL884518,BAO_0000019,,
52,,,,B,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),H,,1,,CHEMBL615175,BAO_0000357,,
53,,,,B,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,H,,1,,CHEMBL615176,BAO_0000357,,
54,,,,B,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,H,,1,,CHEMBL615177,BAO_0000357,,
55,Membranes,,,B,,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,D,,1,,CHEMBL615178,BAO_0000249,,
56,,,,F,1A9,506.0,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,N,,1,,CHEMBL615179,BAO_0000219,,
57,,,,F,Oocytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,D,,1,,CHEMBL615180,BAO_0000219,,
58,,,,F,Oocytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,D,,1,,CHEMBL615181,BAO_0000219,,
59,,,,F,Oocytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,D,,1,,CHEMBL615182,BAO_0000219,,
60,,,,F,1A9,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,N,,1,,CHEMBL615183,BAO_0000219,,
61,,,,F,1A9,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,N,,1,,CHEMBL615184,BAO_0000219,,
62,,,,F,1A9,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line,N,,1,,CHEMBL615185,BAO_0000219,,
63,,,,F,1A9,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,N,,1,,CHEMBL615186,BAO_0000219,,
64,,,,F,1A9,506.0,,Effective dose of compound against replication of 1A9 cell line was evaluated,N,,1,,CHEMBL615187,BAO_0000219,,
65,,,,F,1A9,506.0,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,N,,1,,CHEMBL885343,BAO_0000219,,
66,,,,F,1A9,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),N,,1,,CHEMBL615188,BAO_0000219,,
67,,,,F,1A9,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,N,,1,,CHEMBL615189,BAO_0000219,,
68,,,,F,1A9,506.0,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,N,,1,,CHEMBL615190,BAO_0000219,,
69,,,,F,1A9,506.0,,Inhibitory activity against Taxol resistant 1A9 cell lines,N,,1,,CHEMBL615191,BAO_0000219,,
70,,,,F,1A9,506.0,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,N,,1,,CHEMBL615192,BAO_0000219,,
71,,,,F,1A9,506.0,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,N,,1,,CHEMBL827083,BAO_0000219,,
72,,,,F,1A9,506.0,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,N,,1,,CHEMBL615193,BAO_0000219,,
73,,,,F,1A9,506.0,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,N,,1,,CHEMBL615194,BAO_0000219,,
74,,,,F,1A9,506.0,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,N,,1,,CHEMBL615195,BAO_0000219,,
75,,,,F,1A9,506.0,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,N,,1,,CHEMBL615196,BAO_0000219,,
76,,,,F,Jurkat,503.0,,Inhibitory concentration against Jurkat cells,N,,1,,CHEMBL615197,BAO_0000219,,
77,,,,F,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,U,,1,,CHEMBL615198,BAO_0000019,,
78,,,,A,,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,D,,1,,CHEMBL615199,BAO_0000357,,
79,,,,B,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,,1,,CHEMBL615200,BAO_0000357,,
80,,,,B,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,,1,,CHEMBL615201,BAO_0000357,,
81,,,,B,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",H,,1,,CHEMBL615202,BAO_0000357,,
82,Microsomes,,,B,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",H,,1,,CHEMBL615203,BAO_0000251,,
83,Microsomes,,,B,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",H,,1,,CHEMBL615204,BAO_0000251,,
84,Microsomes,,,B,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",H,,1,,CHEMBL615205,BAO_0000251,,
85,Microsomes,,,B,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",H,,1,,CHEMBL615206,BAO_0000251,,
86,Microsomes,,Liver,B,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",H,,1,,CHEMBL615207,BAO_0000251,2107.0,
87,,,,B,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",H,,1,,CHEMBL827084,BAO_0000019,,
88,,,,B,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",H,,1,,CHEMBL615208,BAO_0000019,,
89,,,,B,,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",H,,1,,CHEMBL615209,BAO_0000019,,
90,Microsomes,,Liver,B,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",D,,1,,CHEMBL615210,BAO_0000251,2107.0,
91,Microsomes,,Liver,B,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,,1,,CHEMBL615211,BAO_0000251,2107.0,
92,Microsomes,,Liver,B,,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,,1,,CHEMBL615212,BAO_0000251,2107.0,
93,,,,B,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),H,,1,,CHEMBL615213,BAO_0000357,,
94,,,,B,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,H,,1,,CHEMBL615273,BAO_0000357,,
95,,,,F,HepG2,726.0,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,,1,,CHEMBL615274,BAO_0000219,,
96,,,,F,HepG2,726.0,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,N,,1,,CHEMBL615275,BAO_0000219,,
97,,,,F,HepG2,726.0,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,N,,1,,CHEMBL615276,BAO_0000219,,
98,,,,F,HepG2,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,N,,1,,CHEMBL615277,BAO_0000219,,
99,,,,F,HepG2,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,N,,1,,CHEMBL615326,BAO_0000219,,
100,,,,F,,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,,1,,CHEMBL883130,BAO_0000218,,
101,,,,F,HepG2,726.0,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,N,,1,,CHEMBL884519,BAO_0000219,,
102,,,,F,HepG2,726.0,,Concentration required to inhibit 50% of 2.2.15 cell line,N,,1,,CHEMBL615327,BAO_0000219,,
103,,,,A,HepG2,726.0,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,N,,1,,CHEMBL615328,BAO_0000219,,
104,,,,F,2.2.15,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,N,,1,,CHEMBL615329,BAO_0000218,,
105,,,,F,2.2.15,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,N,,1,,CHEMBL615330,BAO_0000218,,
106,,,,F,2.2.15,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",N,,1,,CHEMBL615331,BAO_0000218,,
107,,,,F,2.2.15,,,In vitro anti-HBV activity in 2.2.15 cells,N,,1,,CHEMBL615332,BAO_0000218,,
108,,,,F,2.2.15,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,N,,1,,CHEMBL615333,BAO_0000218,,
109,,,,F,2.2.15,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,N,,1,,CHEMBL615334,BAO_0000218,,
110,,,,F,2.2.15,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,N,,1,,CHEMBL615335,BAO_0000218,,
111,,,,F,2.2.15,,,Cytotoxicity in 2.2.15 cells,N,,1,,CHEMBL615336,BAO_0000218,,
112,,,,F,2.2.15,,,Cytotoxicity in 2.2.15 cells; Not determined,N,,1,,CHEMBL615337,BAO_0000218,,
113,,,,F,2.2.15,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,N,,1,,CHEMBL615338,BAO_0000218,,
114,,,,F,2.2.15,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,N,,1,,CHEMBL615339,BAO_0000218,,
115,,,,F,2.2.15,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,N,,1,,CHEMBL615340,BAO_0000218,,
116,,,,F,HepG2,726.0,,Antiviral activity against HBV was determined in 2.215 cell line,N,,1,,CHEMBL615341,BAO_0000219,,
117,Microsomes,,,B,,,,Inhibition of 20-HETE synthesis in human renal microsomes,U,,1,,CHEMBL615342,BAO_0000251,,
118,,,,B,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,U,,1,,CHEMBL615343,BAO_0000019,,
119,,,,F,2008,388.0,,Inhibitory concentration against 2008 (ovarian) cells,N,,1,,CHEMBL615344,BAO_0000219,,
120,,,,F,2008,388.0,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,N,,1,,CHEMBL615345,BAO_0000219,,
121,,,,F,2008,388.0,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),N,,1,,CHEMBL615346,BAO_0000219,,
122,,,,F,2008,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,N,,1,,CHEMBL615347,BAO_0000219,,
123,,,,F,2008,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,N,,1,,CHEMBL615348,BAO_0000219,,
124,,,,F,2008/R,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line,N,,1,,CHEMBL827085,BAO_0000219,,
125,,,,F,2008/R,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,N,,1,,CHEMBL615349,BAO_0000219,,
126,,,,F,2008/S,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line,N,,1,,CHEMBL615350,BAO_0000219,,
127,,,,F,2008/S,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,N,,1,,CHEMBL615351,BAO_0000219,,
128,,,,B,,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,S,,1,,CHEMBL615352,BAO_0000220,,
129,,,,B,,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,S,,1,,CHEMBL615353,BAO_0000220,,
130,,,,B,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,S,,1,,CHEMBL615354,BAO_0000220,,
131,,,,B,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,S,,1,,CHEMBL615355,BAO_0000220,,
132,,,,B,,,,Inhibitory activity against 20S proteosome,S,,1,,CHEMBL615356,BAO_0000220,,
133,,,,B,,,,Compound was tested for inhibitory activity against tryptase,U,,1,,CHEMBL615357,BAO_0000019,,
134,,,,F,HepG2,726.0,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,N,,1,,CHEMBL615358,BAO_0000219,,
135,,,,F,HepG2,726.0,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,N,,1,,CHEMBL827086,BAO_0000219,,
136,,,,B,,,,Compound was tested for the inhibition of Alpha-glucosidase,U,,1,,CHEMBL615359,BAO_0000019,,
137,,,,B,,,,Inhibitory concentration against human neutrophil elastase (HNE),H,,1,,CHEMBL615360,BAO_0000357,,
138,,,Heart,F,,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,U,,1,,CHEMBL615361,BAO_0000218,948.0,
139,,,,F,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,,1,,CHEMBL615362,BAO_0000019,,
140,,,,F,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,,1,,CHEMBL615363,BAO_0000019,,
141,,,,B,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,,1,,CHEMBL615364,BAO_0000357,,
142,,,,F,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,,1,,CHEMBL615365,BAO_0000019,,
143,,,,F,P338,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,N,,1,,CHEMBL615366,BAO_0000219,,
144,,,,F,P338,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,N,,1,,CHEMBL615367,BAO_0000219,,
145,,,,F,PBL,554.0,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,N,,1,,CHEMBL615368,BAO_0000219,,
146,,,,F,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,U,,1,,CHEMBL615369,BAO_0000019,,
147,,,,F,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,U,,1,,CHEMBL615370,BAO_0000019,,
148,,,,B,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),H,,1,,CHEMBL615673,BAO_0000357,,
149,,,,F,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,U,,1,,CHEMBL615674,BAO_0000019,,
150,,,,F,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,U,,1,,CHEMBL615675,BAO_0000019,,
151,,,,F,CCRF-CEM,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,U,,1,,CHEMBL615676,BAO_0000219,,
152,,,,F,CCRF-CEM,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,U,,1,,CHEMBL615677,BAO_0000219,,
153,,,,F,CCRF-CEM,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,U,,1,,CHEMBL615678,BAO_0000219,,
154,,,,F,CCRF-CEM,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,U,,1,,CHEMBL615679,BAO_0000219,,
155,,,,F,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,U,,1,,CHEMBL615680,BAO_0000019,,
156,,,,F,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,U,,1,,CHEMBL615681,BAO_0000019,,
157,,,,B,,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,H,,1,,CHEMBL857972,BAO_0000249,,
158,,,,F,,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,N,,1,,CHEMBL857899,BAO_0000218,,
159,,,,F,,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),N,,1,,CHEMBL615371,BAO_0000218,,
160,,,,F,HEL,468.0,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,N,,1,,CHEMBL615372,BAO_0000218,,
161,,,,F,,,,Antiviral activity against 07/1 strain of VZV; ND: No data,N,,1,,CHEMBL615373,BAO_0000218,,
162,,,,F,,,,Antiviral activity against 07/1 strain of VZV; ND=No data,N,,1,,CHEMBL615374,BAO_0000218,,
163,,,,F,,,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",N,,1,,CHEMBL615375,BAO_0000218,,
164,,,,B,,,,Ratio of Ki at A2 to Ki at A1 receptors,U,,1,,CHEMBL615376,BAO_0000019,,
165,,,,B,,,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",H,,1,,CHEMBL615377,BAO_0000249,,
166,,,,B,,,,"Inhibition of 1,3-beta-glucan synthase",H,,1,,CHEMBL615378,BAO_0000357,,
167,,,,F,1-87 tumor cell line,832.0,,Inhibition of growth of 1-87 human tumor cell line,N,,1,,CHEMBL615379,BAO_0000219,,
168,,,,B,,,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,D,,1,,CHEMBL615380,BAO_0000219,,
169,,,,B,,,,Inhibitory activity against soybean 1-lipoxygenase (SLO),D,,1,,CHEMBL615381,BAO_0000357,,
170,,,,B,,,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,D,,1,,CHEMBL615382,BAO_0000357,,
171,,,,B,,,,% inhibition against soybean 1-lipoxygenase (SLO),D,,1,,CHEMBL615383,BAO_0000357,,
172,,,,B,,,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,D,,1,,CHEMBL615384,BAO_0000357,,
173,,,,B,,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,D,,1,,CHEMBL615385,BAO_0000357,,
174,,,,B,,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,D,,1,,CHEMBL615386,BAO_0000357,,
175,,,,B,,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,D,,1,,CHEMBL615387,BAO_0000357,,
176,,,,B,,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,D,,1,,CHEMBL615388,BAO_0000357,,
177,,,,B,,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,D,,1,,CHEMBL615214,BAO_0000357,,
178,,,,B,,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,D,,1,,CHEMBL827087,BAO_0000357,,
179,,,,B,,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,D,,1,,CHEMBL615215,BAO_0000357,,
