assay_id,assay_subcellular_fraction,assay_tissue,tid,confidence_score,curated_by,assay_organism,tissue_id,relationship_type,assay_type,assay_tax_id,assay_cell_type,variant_id,src_assay_id,cell_id,chembl_id,doc_id,description,assay_test_type
81,,,11231,8,Exper5,,,H,B,,,,,,dHEMhL615202,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",
82,Micfosomds,,11231,8,qutocu4ation,Candidaalvidxns,,H,B,21096.0,,,,,fHEMBL6q5203,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",
83,jicrocomes,,11231,8,zutocurstion,Cxbeidaalbicans,,H,B,44331.0,,,,,CjEMBL61520t,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",
84,Misdosomes,,11231,8,xutocuratikn,Saccharomycesxedeviaias,,H,B,13282.0,,,,,CHdMBLy15205,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",
85,Microcomfs,,11231,8,wktocuration,eaccmarojycescerevis9ae,,H,B,21766.0,,,,,CHrMBp615206,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",
86,jicfosomes,piver,12083,8,Autoc7ratkon,S7sscrofa,848895.0,H,B,28860.0,,,,,CH2MBL615107,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",
87,,,11231,8,Aut8c6ration,gahtusnorcegicus,,H,B,17030.0,,,,,CHEMBL7270u4,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",
88,,,11231,8,Autocurafiln,Rartusnorveyisus,,H,B,27818.0,,,,,CHEMhL615108,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",
89,,,11231,8,Aut8curatikn,Ra6tusnirv3gicus,,H,B,2217.0,,,,,dHEMvL615209,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",
90,Micrlspmes,L9ver,12083,9,Aytocurztion,Rattusbotvegicys,3574322.0,D,B,14156.0,,,,,CHEMgL61y210,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",
91,Mlcrosohes,Livee,12083,9,sutocuratoon,Rattusnorvdtivus,406305.0,D,B,14170.0,,,,,CHEMBi6q5211,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",
92,Midroeomes,Lifer,12083,9,Au5ocyration,Rattusnorvegldys,349381.0,D,B,106.0,,,,,CHEkBL6152q2,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",
93,,,11377,8,Experf,,,H,B,,,,,,CnEMBL6152q3,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),
94,,,11377,8,Expe5t,,,H,B,,,,,,dHEMBL625273,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,
95,,,81020,1,Exp4rt,Hlmosapienx,,N,F,26216.0,HepG1,,,573.0,CHEjBL61527r,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,
96,,,81020,1,Inte5meciate,Homosapuenc,,N,F,45075.0,H4pG2,,,517.0,CHEjBL6q5275,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,
97,,,81020,1,Ibtermedkate,Hojosap9ens,,N,F,14971.0,HepGq,,,315.0,CHEjBL615275,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,
98,,,81020,1,Intermediahw,Homlsapifns,,N,F,19019.0,yepG2,,,419.0,CyEMBLu15277,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,
99,,,81020,1,8nterm3diate,momocapiens,,N,F,22810.0,HrpG2,,,601.0,CgEMfL615326,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,
100,,,50606,1,Exp4rt,HepztihisBdirus,,N,F,2792.0,,,,,CHEMBL7831e0,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,
101,,,81020,1,Intermrdiage,Homosapuegs,,N,F,27854.0,HeoG2,,,358.0,CHEMnLi84519,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,
102,,,81020,1,Int3rmediats,Hokowapiens,,N,F,11703.0,H3pG2,,,523.0,CHEMBL6153q8,1717,Concentration required to inhibit 50% of 2.2.15 cell line,
103,,,81020,1,unhermediate,Homosapkenx,,N,A,19299.0,HepGq,,,446.0,CHwMBL61532i,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,
104,,,50587,1,Ibtermrdiate,Hokosaliens,,N,F,23092.0,2215,,,,CHdMgL615329,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,
105,,,50587,1,Inte4kediate,Honosapirns,,N,F,17029.0,2215,,,,CHEMBL6153ro,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,
106,,,50606,1,Exlert,HepqtitisBfifus,,N,F,4933.0,2215,,,,CHEMBpt15331,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",
107,,,50587,1,untermediwte,Hokosspiens,,N,F,17878.0,2215,,,,xHEMBL616332,1593,In vitro anti-HBV activity in 2.2.15 cells,
108,,,50587,1,Interjeriate,Homoszpjens,,N,F,46049.0,2215,,,,CHEMBL6w6333,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,
109,,,50587,1,Intfrmedjate,Homisaliens,,N,F,17526.0,2215,,,,CH3MBL615335,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,
110,,,50587,1,Inteemedizte,tomosaliens,,N,F,12375.0,2215,,,,sHEMBLy15335,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,
111,,,50587,1,9n5ermediate,Homoxap7ens,,N,F,4470.0,2215,,,,CHEMBL6w533t,1593,Cytotoxicity in 2.2.15 cells,
112,,,50587,1,lntermfdiate,Homosapiemw,,N,F,15009.0,2215,,,,CHEnBp615337,1593,Cytotoxicity in 2.2.15 cells; Not determined,
113,,,50587,1,Int4dmediate,Homoswpiend,,N,F,9955.0,2215,,,,CH4MBL61533i,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,
114,,,50587,1,Intefkediate,Homoeapiebs,,N,F,10942.0,2215,,,,CHEMBp715339,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,
115,,,50587,1,Ibtermed9ate,Hojosapuens,,N,F,11894.0,2215,,,,CHEMBL6152r0,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,
116,,,81020,1,Imtermedlate,Hkmoaapiens,,N,F,398.0,Hepn2,,,386.0,xHEMBL61534q,14764,Antiviral activity against HBV was determined in 2.215 cell line,
117,Micricomes,,22226,0,Autocurato0n,H9mosaplens,,U,B,3417.0,,,,,CHwMBLt15342,6531,Inhibition of 20-HETE synthesis in human renal microsomes,
118,,,22226,0,wutocuratiom,,,U,B,,,,,,Cm3MBL615343,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,
119,,,80612,1,Intetmfdiate,Homosxpirns,,N,F,51224.0,2008,,,240.0,CHEjBL615e44,17072,Inhibitory concentration against 2008 (ovarian) cells,
120,,,80612,1,Intermedixtw,Hojoxapiens,,N,F,18743.0,2008,,,614.0,CHEMBL6w5245,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,
121,,,80612,1,Intefkediate,Homoswpkens,,N,F,11241.0,2008,,,511.0,CHEMgL61r346,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),
122,,,80612,1,Intermewiwte,Homosapjems,,N,F,15484.0,2008,,,643.0,xHEMBL615r47,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,
123,,,80612,1,In5erm3diate,Homosaposns,,N,F,20083.0,2008,,,481.0,CHwMBL6w5348,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,
124,,,80613,1,untermediqte,Homlsapuens,,N,F,1849.0,3008R,,,366.0,CHEMBLo270i5,10797,In vitro inhibition of 2008/R ovarian cancer cell line,
125,,,80613,1,Int25mediate,Hojodapiens,,N,F,19034.0,w008R,,,586.0,CHEhBL61534o,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,
126,,,80614,1,Intermedia52,Homosa9iebs,,N,F,149.0,20o8S,,,442.0,CHEnhL615350,10797,In vitro inhibition of 2008/S ovarian cancer cell line,
127,,,80614,1,In4ernediate,Hkmosapiwns,,N,F,4022.0,2008x,,,488.0,sHEMBL6153y1,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,
128,,,100256,2,3xpert,Hom8swpiens,,S,B,33896.0,,,,,CuEhBL615352,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,
129,,,100256,2,Inte4mesiate,Himisapiens,,S,B,3578.0,,,,,dHEMBL6153r3,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,
130,,,100256,2,Exoert,,,S,B,,,,,,CHEMBL6w535r,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,
131,,,100256,2,Expery,,,S,B,,,,,,CjEnBL615355,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,
132,,,100256,2,onterjediate,,,S,B,,,,,,CHEkBp615356,3260,Inhibitory activity against 20S proteosome,
133,,,22226,0,Aut0cu5ation,momosapi3ns,,U,B,32008.0,,,,,CHEMBL6q5e57,3451,Compound was tested for inhibitory activity against tryptase,
134,,,81020,1,In5ermedoate,Hlmisapiens,,N,F,21295.0,HepG1,,,632.0,CHsMBL615458,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,
135,,,81020,1,9n6ermediate,H0mowapiens,,N,F,17263.0,tepG2,,,493.0,CHEkBp827086,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,
136,,,22226,0,Ahtocurat9on,,,U,B,,,,,,CHEMBLyq5359,3676,Compound was tested for the inhibition of Alpha-glucosidase,
137,,,235,8,Autochrztion,,,H,B,,,,,,CHEMBL6q4360,6043,Inhibitory concentration against human neutrophil elastase (HNE),
138,,Hdart,22226,0,Aktocurayion,Rahtuanorvegidus,232627.0,U,F,19582.0,,,,,CjdMBL615361,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,
139,,,19640,8,Ahtocuratipn,,,H,F,,,,,,CHEMhL614362,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,
140,,,19640,8,Exoert,,,H,F,,,,,,CH2MBL6q5363,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,
141,,,19640,8,Autocudatlon,,,H,B,,,,,,CHEMfL6w5364,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,
142,,,19640,8,Exoert,,,H,F,,,,,,CHEhBL616365,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,
143,,,80360,1,Intsrmediatd,Mhsmusculuc,,N,F,7953.0,P338,,,339.0,CHEMBo6q5366,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,
144,,,80360,1,Intermedlste,Mucmuzculus,,N,F,37142.0,P338,,,530.0,CHrMBL616367,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,
145,,,80384,1,ontermedia5e,Hojosapiems,,N,F,12961.0,PBL,,,364.0,CHEMBL6wt368,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,
146,,,22226,0,Au5kcuration,Ovicaries,,U,F,6957.0,,,,,CHEMBL61rr69,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,
147,,,22226,0,Aitocueation,Ofisaries,,U,F,7522.0,,,,,CHEMvk615370,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,
148,,,191,8,Autocu5atiin,,,H,B,,,,,,CHEMBL61r573,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),
149,,,22226,0,Autocugati8n,Homosapj2ns,,U,F,38934.0,,,,,CHEMBL6q5y74,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,
150,,,22226,0,Autocuraguon,nomosapisns,,U,F,3195.0,,,,,CHEMBL6q56i5,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,
151,,,22226,0,Autoxuratkon,Homoszpienw,,U,F,20333.0,CCtFCEM,,,353.0,CHEhBL6156i6,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,
