prospect_gncd,prospect_nmbrchldrn,prospect_stt,prospect_g,prospect_gndr,prospect_ct,prospect_ncm,prospect_nmbrcrs,prospect_mrtlstts,prospect_crdtrtng,prospect_wnrrntflg,prospect_mplr,prospect_nmbrcrdtcrds,prospect_ntwrth
Yfz7549,4.0,AL,50.0,,Worcester,348685.0,5.0,,621.0,O,Chevron,1.0,2598634.0
dou7550,4.0,UT,85.0,,Jacksonville,401229.0,3.0,D,331.0,O,Exide Technologies,,1074671.0
FDJ7551,4.0,MS,60.0,M,Nashua,38597.0,5.0,M,401.0,R,Convergys,9.0,2272997.0
ufu7552,2.0,AK,95.0,,Newport News,,2.0,S,644.0,R,Dominion Resources,0.0,702000.0
bbg7553,1.0,VT,8.0,m,Corona,161204.0,4.0,M,769.0,R,Sentry Insurance Group,5.0,1289800.0
Znk7554,4.0,LA,31.0,f,Lincoln,202650.0,3.0,M,481.0,O,Cintas,2.0,1007390.0
CGQ7555,2.0,CT,51.0,F,Toronto,,1.0,U,732.0,O,Medtronic,7.0,124290.0
add7556,4.0,UT,24.0,,Fayetteville,492433.0,4.0,M,802.0,O,Pride International,2.0,1820002.0
Anw7557,4.0,IN,78.0,,Charlotte,344858.0,2.0,M,329.0,O,A. Schulman,5.0,2200347.0
Hvt7558,0.0,WI,56.0,m,Tulsa,197290.0,5.0,W,839.0,R,Oneok,0.0,3669569.0
Yqj7559,,WA,50.0,,Winston-Salem,283654.0,2.0,U,539.0,,Danaher,,2140537.0
Ztn7560,5.0,LA,52.0,F,Thousand Oaks,317423.0,4.0,M,561.0,R,Del Monte Foods,4.0,3258909.0
bni7561,5.0,VT,14.0,F,Lubbock,399126.0,4.0,W,814.0,O,American Electric Power,2.0,1825422.0
swx7562,0.0,CT,29.0,,Winnipeg,398180.0,5.0,M,305.0,R,TJX,7.0,1845263.0
DSA7563,4.0,RI,50.0,f,Laredo,,2.0,S,457.0,O,Philip Morris International,4.0,1463114.0
BXZ7564,1.0,SC,67.0,,Overland Park,485429.0,4.0,U,349.0,O,Cincinnati Financial,8.0,2354683.0
pcz7565,0.0,British Columbia,22.0,,Calgary,118018.0,2.0,M,590.0,O,Stryker,0.0,436677.0
Zqa7566,4.0,CO,20.0,m,Peoria,309693.0,5.0,U,533.0,O,Kansas City Southern,0.0,2383335.0
Htl7567,0.0,TN,75.0,,Durham,90718.0,4.0,W,686.0,O,IDT,9.0,2574739.0
afw7568,0.0,CA,60.0,F,Pueblo,280645.0,2.0,U,582.0,O,Vornado Realty Trust,10.0,1596838.0
Wna7569,4.0,WY,,,Las Cruces,231559.0,,S,807.0,O,Dollar General,0.0,591965.0
Mlh7570,5.0,SD,48.0,,Chula Vista,36898.0,3.0,S,819.0,O,Safeway,3.0,3071440.0
Gor7571,0.0,British Columbia,91.0,,San Diego,396786.0,2.0,M,311.0,R,Apache,5.0,2683081.0
ENX7572,5.0,NJ,98.0,f,Chicago,344365.0,2.0,U,734.0,O,Lowe's,3.0,3850483.0
fgr7573,1.0,AK,51.0,,Worcester,1205.0,4.0,W,432.0,O,Lithia Motors,1.0,1870617.0
Ysh7574,0.0,OH,22.0,m,Honolulu,276666.0,5.0,S,394.0,O,CH2M Hill,3.0,1249534.0
Mos7575,0.0,New Brunswick,57.0,,Albuquerque,497953.0,0.0,U,658.0,O,Tellabs,1.0,3789880.0
czu7576,2.0,IL,38.0,,Oakland,156048.0,1.0,M,348.0,O,Phillips-Van Heusen,3.0,3874445.0
Ghr7577,5.0,AZ,68.0,,Billings,63617.0,1.0,M,598.0,O,Wells Fargo,8.0,437353.0
Rwk7578,2.0,NY,93.0,,Pueblo,244849.0,2.0,U,505.0,O,Vornado Realty Trust,9.0,2669917.0
Uwi7579,3.0,WA,48.0,,Sherbrooke,123585.0,4.0,S,839.0,R,New York Times,7.0,1466537.0
VXZ7580,1.0,GA,96.0,,Sacramento,391134.0,1.0,S,672.0,U,Adobe Systems,2.0,991860.0
Ayk7581,5.0,AZ,58.0,f,Charlotte,426759.0,5.0,M,696.0,O,Valmont Industries,3.0,
lho7582,3.0,NV,63.0,M,El Paso,451737.0,5.0,W,448.0,O,UAL,5.0,1816368.0
rzi7583,1.0,TN,18.0,,Mesa,180822.0,2.0,S,549.0,O,AFLAC,9.0,565246.0
Wds7584,2.0,AL,40.0,,Simi Valley,205843.0,4.0,W,705.0,O,VeraSun Energy,0.0,1899339.0
Xsj7585,3.0,TX,29.0,M,St. Catharines,470985.0,4.0,M,387.0,O,Magellan Health Services,6.0,3873239.0
Lux7586,1.0,WV,21.0,,Washington,318225.0,2.0,U,359.0,,Emcor Group,7.0,767547.0
wxw7587,2.0,ND,41.0,f,Chula Vista,326044.0,2.0,M,494.0,O,Peabody Energy,9.0,1027999.0
pfz7588,1.0,Saskatchewan,56.0,m,Montpelier,,1.0,M,345.0,,State Farm Insurance Cos.,10.0,3428495.0
hlx7589,0.0,VA,33.0,M,Mesa,187282.0,2.0,M,402.0,O,Humana,10.0,1827180.0
nyb7590,0.0,ND,96.0,,New Haven,,2.0,M,579.0,O,News Corp.,3.0,2070007.0
Ltt7591,0.0,ND,35.0,,Indianapolis,,2.0,,569.0,O,Torchmark,2.0,
gsz7592,4.0,MS,40.0,,Stockton,306946.0,0.0,W,745.0,O,Rock-Tenn,9.0,3596263.0
Kwp7593,,WY,10.0,,Louisville,99663.0,0.0,D,320.0,U,AGCO,1.0,3719999.0
AGM7594,4.0,MA,59.0,,Atlanta,482013.0,2.0,M,591.0,R,,4.0,3058439.0
Ocn7595,0.0,AK,70.0,m,Milwaukee,180476.0,1.0,M,,U,United Stationers,10.0,2592932.0
Cmw7596,5.0,PA,69.0,F,Fort Smith,285682.0,4.0,M,417.0,,McCormick,5.0,1471273.0
Dit7597,5.0,MA,96.0,,Knoxville,455032.0,0.0,M,338.0,R,National Life Group,8.0,
Rmm7598,,DC,9.0,,Idaho Falls,356141.0,3.0,S,340.0,O,Hasbro,9.0,2410816.0
ekj7599,3.0,RI,39.0,,Jacksonville,165667.0,3.0,U,738.0,U,Tupperware Brands,5.0,1059543.0
wcq7600,2.0,MA,31.0,,Stockton,459767.0,0.0,S,597.0,O,Covance,7.0,379282.0
Klc7601,2.0,Alberta,64.0,f,Thousand Oaks,106459.0,2.0,M,603.0,R,Interactive Brokers Group,4.0,3271265.0
Jrd7602,1.0,AR,38.0,,Nashua,51021.0,,D,662.0,U,SkyWest,5.0,1530364.0
GDQ7603,4.0,VA,47.0,,Tallahassee,494931.0,2.0,W,838.0,R,Best Buy,0.0,3731860.0
fnm7604,2.0,OR,,,Brownsville,429859.0,5.0,M,791.0,O,Sears Holdings,9.0,2488858.0
Ymu7605,4.0,ID,76.0,,Charlotte,,1.0,S,692.0,O,Frontier Oil,7.0,2301347.0
Pxj7606,3.0,IA,60.0,,Oakland,464086.0,0.0,W,673.0,O,Automatic Data Processing,8.0,1736571.0
Rsd7607,,TN,73.0,,Fort Wayne,207651.0,3.0,U,331.0,O,,7.0,2399483.0
Qqh7608,,Nova Scotia,37.0,,Chula Vista,260418.0,4.0,U,744.0,O,Comerica,2.0,2982744.0
udq7609,1.0,Ontario,50.0,,Peoria,,5.0,M,446.0,U,Baldor Electric,6.0,1611011.0
Ghl7610,4.0,MD,0.0,,Lexington,316963.0,0.0,M,,O,Commercial Metals,0.0,2999167.0
mtk7611,,AR,,f,Salem,84046.0,5.0,W,,O,,,
QIY7612,3.0,Saskatchewan,,,San Jose,368990.0,0.0,M,723.0,O,Molina Healthcare,9.0,3307491.0
Ohz7613,0.0,OH,81.0,,Kansas City,124382.0,2.0,S,348.0,O,Plains All American Pipeline,2.0,2057260.0
djg7614,0.0,VA,52.0,,Windsor,9263.0,2.0,M,666.0,O,Agilent Technologies,,53179.0
Iad7615,4.0,ID,68.0,,Chicago,334181.0,2.0,M,,U,AutoZone,3.0,690086.0
EMG7616,1.0,WI,,,Evansville,314001.0,0.0,M,844.0,R,,8.0,2025465.0
Hjn7617,4.0,MS,36.0,,Honolulu,168309.0,1.0,M,766.0,O,Universal Health Services,8.0,695307.0
CYP7618,4.0,OK,31.0,M,Cleveland,322765.0,2.0,M,521.0,O,Time Warner,10.0,3238398.0
KPN7619,5.0,GA,55.0,,Livonia,311253.0,1.0,W,306.0,O,Sealed Air,7.0,1213578.0
Vbi7620,5.0,TN,66.0,,Little Rock,140296.0,5.0,W,411.0,R,Sprint Nextel,9.0,103708.0
ehb7621,5.0,SC,22.0,F,Halifax,439984.0,1.0,M,,O,,3.0,1086081.0
TMQ7622,0.0,AR,51.0,F,Peoria,454011.0,5.0,U,702.0,O,Quiksilver,8.0,1349626.0
Lsb7623,5.0,MT,26.0,a,San Jose,191541.0,1.0,S,842.0,R,Valspar,1.0,1083092.0
Dpz7624,1.0,WY,100.0,M,Charlotte,,2.0,U,528.0,R,Timken,0.0,1662799.0
Zuj7625,3.0,WY,13.0,,Hilo,,3.0,W,300.0,R,,5.0,3548540.0
Jqk7626,1.0,WV,11.0,,Yonkers,269215.0,2.0,S,752.0,O,Occidental Petroleum,7.0,881414.0
ijb7627,4.0,CA,62.0,m,Modesto,193126.0,0.0,M,303.0,O,,0.0,1712200.0
NMO7628,5.0,Alberta,13.0,F,Louisville,462618.0,3.0,M,418.0,O,Massey Energy,10.0,847446.0
Tef7629,3.0,New Brunswick,23.0,f,Eugene,212026.0,3.0,W,667.0,O,Weyerhaeuser,4.0,344294.0
Sdj7630,4.0,British Columbia,51.0,,Buffalo,371024.0,1.0,D,441.0,U,National Fuel Gas,7.0,1534879.0
Pbr7631,2.0,DE,2.0,m,Santa Fe,235810.0,3.0,U,471.0,O,Pep Boys,0.0,3897101.0
Ice7632,,CT,,m,Springfield,347270.0,2.0,W,701.0,O,Neiman Marcus,9.0,3064442.0
ZWG7633,2.0,Quebec,82.0,,Anchorage,399212.0,5.0,D,323.0,R,BlackRock,1.0,2016524.0
Evw7634,5.0,NJ,94.0,m,Winnipeg,439561.0,4.0,M,846.0,O,McGraw-Hill,10.0,37745.0
Lhl7635,4.0,MN,16.0,m,Waco,29980.0,3.0,M,850.0,O,Family Dollar Stores,8.0,503752.0
LYB7636,5.0,NE,43.0,,Stockton,28693.0,2.0,M,,U,Teleflex,,2115180.0
Ijb7637,2.0,VA,76.0,M,Boston,106794.0,1.0,M,564.0,O,,3.0,839222.0
Zhf7638,5.0,PA,0.0,f,Memphis,340598.0,3.0,S,558.0,O,Imation,4.0,1851334.0
PYU7639,,WV,33.0,m,Sydney,490597.0,1.0,U,417.0,O,PPL,0.0,1348251.0
Iku7640,2.0,WY,62.0,,Shreveport,499685.0,2.0,U,487.0,O,Smithfield Foods,6.0,2722392.0
HBZ7641,0.0,MN,8.0,m,Modesto,62285.0,2.0,M,639.0,O,Macy's,9.0,1785161.0
Pco7642,5.0,VT,4.0,M,Hull,320885.0,5.0,U,625.0,O,Torchmark,3.0,2823578.0
Ybv7643,3.0,WV,39.0,,Yonkers,184669.0,5.0,D,,O,Herman Miller,1.0,2123972.0
Rim7644,0.0,IN,90.0,,Atlanta,126989.0,0.0,S,,R,Kindred Healthcare,3.0,112782.0
gnf7645,4.0,MS,7.0,,Hayward,48144.0,1.0,M,460.0,,Arch Coal,3.0,248311.0
Wxp7646,4.0,CO,95.0,F,Savannah,377787.0,5.0,,793.0,O,Whirlpool,8.0,3719851.0
Dxh7647,5.0,PA,59.0,m,Fullerton,323782.0,5.0,U,821.0,O,Arrow Electronics,8.0,1920385.0
Aqo7648,2.0,DE,13.0,,Overland Park,31880.0,3.0,S,,O,Rock-Tenn,6.0,576903.0
fen7649,3.0,Prince Edward Island,58.0,,Alexandria,390190.0,5.0,D,643.0,O,R.H. Donnelley,8.0,1855037.0
CMQ7650,1.0,TN,67.0,,Fort Collins,413821.0,4.0,U,817.0,O,Pall,2.0,2954046.0
Yhb7651,2.0,CA,68.0,f,Santa Fe,301451.0,1.0,,702.0,O,Burlington Coat Factory,10.0,952096.0
mbw7652,0.0,TN,17.0,,Simi Valley,5888.0,1.0,D,409.0,O,Forest Laboratories,2.0,3382998.0
xas7653,2.0,FL,44.0,,Mesa,254404.0,2.0,,617.0,O,Moody's,6.0,3772196.0
MKM7654,0.0,TN,16.0,M,Simi Valley,290984.0,3.0,M,,O,Fidelity National Financial,5.0,3180080.0
Jgi7655,5.0,OR,27.0,F,Charlotte,441847.0,5.0,M,756.0,O,Amphenol,,3971412.0
Mwv7656,4.0,ME,59.0,,St. Petersburg,373240.0,2.0,D,484.0,R,Int. Business Machines,5.0,1488210.0
YOY7657,4.0,SC,8.0,,Washington,461444.0,1.0,S,589.0,O,Int. Flavors & Fragrances,9.0,2621373.0
Gja7658,4.0,Ontario,98.0,m,Tallahassee,255072.0,1.0,S,380.0,O,Gilead Sciences,0.0,1021949.0
rcx7659,1.0,GA,35.0,f,Mesa,255019.0,1.0,S,541.0,R,United Rentals,10.0,2444319.0
IPA7660,,VA,57.0,M,Portland,330718.0,1.0,M,474.0,,Convergys,7.0,362567.0
rbj7661,1.0,KY,69.0,,Las Vegas,245130.0,2.0,,685.0,O,Mueller Water Products,4.0,462234.0
ebw7662,3.0,SC,33.0,,Sudbury,19691.0,4.0,M,363.0,R,Shaw Group,10.0,3936622.0
SQY7663,1.0,NC,33.0,,Sunnyvale,13490.0,1.0,M,605.0,O,Energy Future Holdings,9.0,2116904.0
nqw7664,4.0,KS,1.0,f,Birmingham,90333.0,4.0,W,394.0,,PHH,6.0,63883.0
Fyz7665,2.0,MO,19.0,m,Orlando,210200.0,0.0,U,812.0,R,Simon Property Group,6.0,2747738.0
Hds7666,3.0,OK,63.0,f,Albuquerque,195318.0,3.0,M,688.0,R,World Fuel Services,3.0,938329.0
ksz7667,5.0,LA,27.0,F,Nashville,486627.0,5.0,M,808.0,O,Andersons,9.0,976093.0
Wzm7668,4.0,Saskatchewan,12.0,,Akron,142918.0,,,492.0,O,L-3 Communications,1.0,2031908.0
Xna7669,3.0,KY,26.0,,Lubbock,243364.0,4.0,D,734.0,O,CACI International,6.0,660066.0
ugr7670,5.0,NH,2.0,,St. Paul,208343.0,1.0,M,579.0,O,M&T Bank Corp.,7.0,2777991.0
Qao7671,4.0,NM,34.0,f,Columbus,26787.0,0.0,M,410.0,U,Family Dollar Stores,10.0,3148815.0
MXH7672,4.0,NE,86.0,,Abilene,190609.0,0.0,D,743.0,O,Medco Health Solutions,7.0,3714775.0
KQU7673,,New Brunswick,47.0,,Biloxi,,1.0,M,431.0,O,Crosstex Energy,9.0,2203195.0
bxn7674,0.0,MD,73.0,,Cincinnati,,0.0,M,805.0,O,Reynolds American,4.0,3708645.0
Opu7675,0.0,WV,83.0,M,Tulsa,453308.0,1.0,U,688.0,O,PolyOne,9.0,2954852.0
Ceo7676,,MA,99.0,,Oakland,251108.0,1.0,D,483.0,O,"Toys ""R"" Us",1.0,2421534.0
DZH7677,0.0,MT,49.0,,McAllen,128853.0,0.0,U,844.0,O,Sonoco Products,7.0,941243.0
Ocd7678,3.0,NM,96.0,F,Laredo,486933.0,3.0,M,436.0,O,Newfield Exploration,5.0,3133101.0
Uyj7679,2.0,TN,12.0,,Fort Collins,306545.0,5.0,D,336.0,U,IAC/InterActiveCorp,3.0,2070834.0
mhz7680,1.0,PA,75.0,,Sudbury,7682.0,1.0,S,688.0,O,MGIC Investment,1.0,2617194.0
Sft7681,0.0,NC,29.0,,Simi Valley,280763.0,3.0,U,581.0,O,American International Group,9.0,2752340.0
gza7682,2.0,CO,4.0,m,Berkeley,296945.0,1.0,,670.0,R,Health Net,6.0,2611991.0
Rem7683,0.0,TX,100.0,,Santa Rosa,176399.0,0.0,U,671.0,O,Mueller Industries,5.0,3965576.0
cko7684,4.0,IN,45.0,,Mesquite,97252.0,3.0,U,352.0,U,American National Insurance,10.0,3550405.0
RLN7685,2.0,VA,63.0,f,Regina,320588.0,3.0,S,317.0,O,Morgan Stanley,10.0,1566093.0
Qjl7686,2.0,WV,35.0,,Worcester,18284.0,4.0,,809.0,R,Halliburton,6.0,1944507.0
YNL7687,2.0,VT,61.0,m,Iqaluit,,0.0,S,704.0,,MGIC Investment,5.0,3250645.0
qpi7688,,AZ,43.0,,Little Rock,80228.0,1.0,S,411.0,O,United Services Automobile,2.0,2806218.0
Xxi7689,3.0,NY,98.0,F,Santa Clarita,39672.0,,U,431.0,O,Spartan Stores,4.0,2826399.0
axi7690,3.0,NE,84.0,m,Chicago,225036.0,3.0,M,362.0,O,Moog,4.0,91147.0
Wqd7691,3.0,SC,,M,Irving,224427.0,2.0,M,532.0,R,Century Aluminum,4.0,1036928.0
jur7692,4.0,New Brunswick,18.0,M,Ontario,123153.0,5.0,U,442.0,O,Hayes Lemmerz,3.0,2406965.0
NBX7693,1.0,KY,14.0,,Stamford,,2.0,S,677.0,O,EOG Resources,10.0,3588199.0
Naf7694,2.0,British Columbia,22.0,f,Victoria,353487.0,4.0,M,565.0,O,Dresser-Rand Group,8.0,
bzc7695,1.0,WA,7.0,,Brownsville,145794.0,3.0,M,365.0,R,Sealed Air,5.0,2896930.0
Pmo7696,5.0,AK,97.0,F,Bellevue,142515.0,3.0,W,406.0,O,Blockbuster,5.0,312676.0
goh7697,5.0,MN,49.0,F,Baltimore,414775.0,0.0,U,774.0,,Owens Corning,3.0,16279.0
Jfb7698,5.0,RI,25.0,F,Cedar Rapids,125271.0,2.0,S,718.0,R,Robert Half International,7.0,1536113.0
Hao7699,,British Columbia,99.0,,Huntington Beach,,4.0,M,588.0,R,Wesco International,2.0,184474.0
Dwo7700,5.0,SD,44.0,e,Cedar Rapids,93761.0,1.0,M,764.0,O,Dana Holding,5.0,2971869.0
RJA7701,1.0,AL,96.0,f,Los Angeles,397902.0,2.0,U,,O,NBTY,2.0,2256728.0
Lph7702,3.0,British Columbia,88.0,,Milwaukee,123538.0,4.0,M,657.0,O,Eastman Chemical,8.0,2127026.0
Rfk7703,2.0,Ontario,33.0,,Detroit,118013.0,3.0,M,769.0,U,Allergan,,3476485.0
RFU7704,5.0,MD,8.0,,Nashua,45737.0,2.0,M,776.0,O,Global Partners,7.0,908035.0
TQH7705,0.0,IA,55.0,m,Minneapolis,456999.0,2.0,U,343.0,O,Fluor,4.0,
Bbc7706,4.0,PA,43.0,,Columbia,326910.0,3.0,W,568.0,U,FedEx,5.0,3054149.0
Yoj7707,0.0,MA,75.0,,Garden Grove,166536.0,2.0,S,830.0,O,Polaris Industries,5.0,
lvh7708,4.0,ID,66.0,,Norfolk,337347.0,3.0,,812.0,R,Torchmark,6.0,248269.0
Zpr7709,4.0,Newfoundland,58.0,,Salem,41345.0,2.0,U,489.0,U,Alliance Data Systems,6.0,1203267.0
LMG7710,1.0,UT,29.0,m,Saskatoon,370209.0,5.0,U,845.0,U,American International Group,9.0,3704743.0
WMF7711,4.0,OR,28.0,,Boise,343016.0,0.0,U,735.0,R,Mohawk Industries,0.0,3673540.0
Qov7712,3.0,ID,93.0,F,Irvine,186990.0,4.0,D,615.0,U,Vulcan Materials,4.0,982779.0
Vkp7713,4.0,AL,17.0,,Washington,46562.0,,W,,U,OfficeMax,6.0,2778471.0
SST7714,5.0,MN,98.0,M,St. Petersburg,98412.0,5.0,U,769.0,U,Michael Foods,,2585134.0
Fuk7715,4.0,UT,38.0,m,Torrance,436056.0,5.0,S,406.0,O,Vulcan Materials,10.0,3591627.0
Brz7716,1.0,ME,44.0,f,Warren,36008.0,3.0,U,586.0,O,,0.0,1819561.0
Faw7717,0.0,IA,27.0,f,Oakland,417402.0,1.0,M,630.0,O,Unum Group,10.0,2857056.0
Jtn7718,1.0,VT,94.0,m,Hull,273535.0,1.0,U,533.0,O,Domtar,7.0,1393892.0
too7719,2.0,MA,,,Boston,445562.0,4.0,M,328.0,O,Sentry Insurance Group,,759096.0
Kcd7720,2.0,Prince Edward Island,60.0,,Modesto,226333.0,4.0,M,753.0,O,Constellation Energy,9.0,2288668.0
Yhh7721,3.0,Manitoba,48.0,m,Grand Prairie,,3.0,U,512.0,O,CSX,10.0,3580824.0
Adu7722,3.0,TX,36.0,,Phoenix,,5.0,D,432.0,R,W.W. Grainger,8.0,1681450.0
Kwx7723,3.0,RI,67.0,,Lincoln,271054.0,5.0,,323.0,O,Kimberly-Clark,2.0,1592047.0
uzl7724,4.0,MI,63.0,,Shreveport,64626.0,3.0,U,714.0,O,Henry Schein,10.0,3596545.0
UXY7725,2.0,PA,55.0,f,Warren,463945.0,5.0,S,730.0,O,State Street Corp.,7.0,3093246.0
FRU7726,,KY,4.0,M,Erie,159731.0,0.0,M,346.0,O,Quanta Services,5.0,3867919.0
Bjx7727,3.0,OH,92.0,f,Fargo,190805.0,5.0,M,,R,Marshall & Ilsley Corp.,1.0,3245961.0
zkp7728,1.0,AR,93.0,,Wichita,43888.0,1.0,M,818.0,O,Oceaneering International,7.0,600366.0
Lbo7729,0.0,KY,87.0,M,Mount Pearl,34137.0,0.0,S,623.0,R,Raymond James Financial,4.0,1738979.0
TFP7730,1.0,IA,44.0,f,Mobile,196885.0,4.0,S,742.0,R,Valspar,5.0,454564.0
XKQ7731,1.0,British Columbia,95.0,F,Phoenix,206705.0,0.0,M,378.0,O,Live Nation,9.0,3912268.0
DQY7732,3.0,Quebec,61.0,m,Fontana,337299.0,3.0,D,323.0,,,8.0,1966788.0
Ydl7733,5.0,KS,23.0,,Toledo,280247.0,2.0,M,684.0,R,Health Management Associates,2.0,985098.0
VGT7734,2.0,ID,16.0,M,Raleigh,286206.0,4.0,U,390.0,O,Wyndham Worldwide,6.0,
Wwi7735,1.0,Newfoundland,58.0,m,Lubbock,153656.0,4.0,M,707.0,O,Broadcom,8.0,1053231.0
OJF7736,1.0,Saskatchewan,58.0,,San Diego,379503.0,1.0,M,368.0,U,Aramark,2.0,
Czs7737,2.0,AL,21.0,,Charleston,19124.0,1.0,M,534.0,O,Aventine Renewable Energy,5.0,3885299.0
Zpa7738,2.0,MT,66.0,m,Garland,44001.0,5.0,D,379.0,O,Humana,9.0,895008.0
