cliente_id,ammontare,personale_id,noleggio_id,data_pagamento,pagamento_id
17,8.99,2,8076,2005-07-28 17:45:58,456
17,2.99,2,14326,2005-08-21 08:15:41,465
18,4.99,1,116,2005-05-25 19:27:51,469
18,4.99,1,692,2005-05-29 01:32:10,470
18,3.99,2,4923,2005-07-08 21:44:39,477
18,0.99,1,6846,2005-07-12 19:20:45,479
18,4.99,1,10682,2005-08-01 17:32:53,484
19,0.99,2,18,2005-05-25 01:10:47,490
19,2.99,1,337,2005-05-27 03:22:30,493
19,2.99,2,591,2005-05-28 13:11:04,494
19,2.99,1,2848,2005-06-19 22:55:37,497
19,4.99,2,3549,2005-07-06 02:24:55,499
19,0.99,1,9256,2005-07-30 14:29:29,502
19,8.99,2,11508,2005-08-16 23:27:36,505
19,9.99,1,12211,2005-08-18 02:31:18,507
19,8.99,1,13718,2005-08-20 09:53:44,509
19,8.99,2,13804,2005-08-20 12:46:32,510
19,4.99,1,14101,2005-08-21 00:33:03,511
20,1.99,2,546,2005-05-28 07:16:25,516
20,3.99,2,4011,2005-07-07 00:48:25,521
20,3.99,2,9468,2005-07-30 22:53:52,530
20,1.99,1,10954,2005-08-02 03:30:24,533
20,2.99,2,13317,2005-08-19 19:25:42,538
21,0.99,1,570,2005-05-28 10:15:04,546
21,2.99,1,2393,2005-06-18 15:37:55,549
21,0.99,2,9149,2005-07-30 10:45:12,559
21,5.99,1,9699,2005-07-31 07:29:25,560
21,4.99,2,10570,2005-08-01 13:23:06,561
21,0.99,2,11072,2005-08-02 07:10:57,563
21,6.99,1,12774,2005-08-18 23:34:22,567
21,4.99,1,13411,2005-08-19 22:43:38,570
22,2.99,1,3419,2005-06-21 17:18:01,582
22,2.99,1,5815,2005-07-10 15:48:19,585
22,7.99,1,7705,2005-07-28 04:02:58,587
22,4.99,1,9580,2005-07-31 03:01:11,589
22,6.99,1,15589,2005-08-23 06:03:31,597
23,0.99,1,2827,2005-06-19 20:50:01,605
23,2.99,1,3461,2005-06-21 21:49:18,608
23,2.99,1,8015,2005-07-28 15:33:03,616
23,3.99,2,9718,2005-07-31 08:25:03,620
23,6.99,1,10132,2005-07-31 21:50:24,621
23,4.99,2,13331,2005-08-19 20:00:25,625
23,6.99,2,13429,2005-08-19 23:25:37,626
23,0.99,2,13511,2005-08-20 02:21:40,627
23,0.99,2,13557,2005-08-20 04:12:41,628
24,2.99,2,1077,2005-05-31 10:22:54,632
24,5.99,1,2451,2005-06-18 19:28:02,636
24,4.99,1,8947,2005-07-30 03:15:37,644
24,2.99,1,11209,2005-08-02 12:09:45,648
24,8.99,2,12165,2005-08-18 00:53:37,650
24,4.99,2,13058,2005-08-19 09:40:53,653
24,4.99,2,15357,2005-08-22 21:28:59,655
25,4.99,1,1338,2005-06-15 12:17:34,658
25,8.99,2,2625,2005-06-19 08:23:11,661
25,4.99,1,2901,2005-06-20 02:41:28,662
25,2.99,1,5881,2005-07-10 19:19:43,667
25,0.99,2,8878,2005-07-30 00:15:57,671
25,2.99,2,9922,2005-07-31 14:59:37,674
25,5.99,1,10324,2005-08-01 04:49:06,676
26,9.99,1,2093,2005-06-17 18:14:08,689
26,4.99,1,2532,2005-06-19 01:27:46,692
26,4.99,1,2745,2005-06-19 16:21:19,693
26,4.99,1,4382,2005-07-07 20:41:03,696
26,6.99,1,4641,2005-07-08 09:09:46,700
26,2.99,1,5437,2005-07-09 21:32:29,701
26,1.99,1,6149,2005-07-11 09:19:31,702
26,2.99,2,6243,2005-07-11 14:53:25,703
26,0.99,1,9484,2005-07-30 23:31:40,706
26,3.99,1,10996,2005-08-02 04:48:11,708
26,0.99,1,11338,2005-08-02 17:00:12,710
26,5.99,1,11744,2005-08-17 08:54:30,711
26,2.99,1,15384,2005-08-22 22:34:44,717
27,2.99,2,787,2005-05-29 16:03:03,719
27,2.99,2,2512,2005-06-18 23:48:47,724
27,3.99,2,3420,2005-06-21 17:22:36,727
27,0.99,2,4038,2005-07-07 02:52:53,728
27,5.99,1,4510,2005-07-08 02:34:51,729
27,4.99,1,10852,2005-08-02 00:00:33,741
28,2.99,2,388,2005-05-27 10:37:27,750
28,3.99,2,2299,2005-06-18 08:18:52,754
28,5.99,1,5817,2005-07-10 15:49:12,761
28,2.99,1,8901,2005-07-30 01:07:12,766
28,4.99,2,9705,2005-07-31 07:40:33,769
28,2.99,2,10116,2005-07-31 21:14:02,770
28,6.99,2,10294,2005-08-01 03:48:12,771
28,3.99,1,11856,2005-08-17 13:44:49,773
28,2.99,2,12190,2005-08-18 01:54:44,774
28,4.99,2,13783,2005-08-20 12:11:03,777
29,0.99,1,2655,2005-06-19 10:38:42,783
29,2.99,1,2735,2005-06-19 15:42:07,786
29,0.99,1,4313,2005-07-07 17:36:56,791
29,0.99,2,4535,2005-07-08 03:40:46,792
29,1.99,1,5857,2005-07-10 17:59:29,794
29,5.99,1,10543,2005-08-01 12:36:09,801
29,1.99,2,10899,2005-08-02 01:30:21,802
29,2.99,2,13777,2005-08-20 12:03:35,811
29,0.99,2,15577,2006-02-14 15:16:03,817
30,2.99,2,2730,2005-06-19 15:10:09,821
30,4.99,1,3964,2005-07-06 22:23:02,822
30,2.99,2,4642,2005-07-08 09:13:28,824
30,5.99,2,5028,2005-07-09 02:34:45,825
30,2.99,2,6359,2005-07-11 21:06:17,830
30,4.99,2,7769,2005-07-28 06:45:23,832
30,2.99,1,8641,2005-07-29 14:37:30,836
30,0.99,2,9551,2005-07-31 02:04:58,838
30,6.99,1,10235,2005-08-01 01:57:48,841
30,0.99,2,12758,2005-08-18 22:58:34,844
30,0.99,1,13435,2005-08-19 23:35:44,845
30,2.99,2,15829,2005-08-23 15:17:14,851
31,4.99,2,1656,2005-06-16 10:05:40,852
31,1.99,1,1838,2005-06-16 23:20:16,853
31,7.99,1,2396,2005-06-18 15:49:48,856
31,0.99,2,2438,2005-06-18 18:34:21,857
31,0.99,1,3205,2005-06-21 00:38:47,862
31,4.99,1,3701,2005-07-06 10:12:45,863
31,4.99,2,6580,2005-07-12 06:26:10,868
31,1.99,1,7000,2005-07-27 01:23:24,869
31,4.99,2,12085,2005-08-17 22:17:09,874
31,6.99,2,15816,2005-08-23 14:58:06,877
32,5.99,2,2624,2005-06-19 08:22:09,883
32,1.99,2,2891,2005-06-20 02:02:05,884
32,2.99,2,4771,2005-07-08 15:33:32,887
32,0.99,2,4899,2005-07-08 20:37:11,888
32,9.99,1,5307,2005-07-09 15:57:15,889
32,2.99,2,8914,2005-07-30 01:42:03,899
32,8.99,1,13736,2005-08-20 10:31:23,903
33,8.99,2,3173,2005-06-20 22:21:10,909
33,4.99,1,9040,2005-07-30 06:31:45,915
33,1.99,1,9254,2005-07-30 14:26:11,917
33,2.99,2,10335,2005-08-01 04:59:30,918
33,0.99,1,12277,2006-02-14 15:16:03,927
34,5.99,2,5918,2005-07-10 21:32:06,935
34,2.99,2,7124,2005-07-27 06:09:30,937
34,2.99,1,11505,2005-08-16 23:18:47,943
34,4.99,2,11701,2005-08-17 07:15:47,944
34,2.99,1,12599,2005-08-18 16:42:45,946
35,3.99,2,47,2005-05-25 06:05:20,952
35,2.99,1,1989,2005-06-17 10:47:24,955
35,4.99,1,2229,2005-06-18 03:50:18,956
35,0.99,1,5963,2005-07-10 23:47:08,966
35,4.99,1,6565,2005-07-12 05:39:50,969
35,6.99,1,8822,2005-07-29 22:20:21,972
35,7.99,1,11452,2005-08-02 20:59:52,977
35,2.99,1,13735,2005-08-20 10:31:01,980
36,0.99,1,716,2005-05-29 04:35:29,985
36,0.99,2,2741,2005-06-19 16:05:41,986
36,0.99,2,4135,2005-07-07 08:15:03,987
36,4.99,2,4762,2005-07-08 14:54:42,989
36,0.99,2,6030,2005-07-11 02:37:51,991
36,0.99,1,7647,2005-07-28 01:35:17,993
36,0.99,1,10963,2005-08-02 03:48:17,1002
36,4.99,1,13674,2005-08-20 08:30:54,1008
36,4.99,2,15657,2005-08-23 08:42:40,1010
37,1.99,2,1812,2005-06-16 21:08:46,1014
37,7.99,1,13046,2005-08-19 09:21:10,1024
37,0.99,1,14084,2005-08-20 23:42:46,1029
37,2.99,2,14532,2005-08-21 15:15:03,1030
37,0.99,1,15904,2005-08-23 17:32:19,1032
38,4.99,2,4644,2005-07-08 09:14:29,1042
38,2.99,2,5460,2005-07-09 22:46:14,1044
38,3.99,2,8924,2005-07-30 02:08:58,1052
38,4.99,1,9621,2005-07-31 04:21:08,1055
38,6.99,2,10524,2005-08-01 11:53:12,1057
38,3.99,2,11049,2005-08-02 06:15:40,1058
38,2.99,1,11344,2005-08-02 17:13:26,1059
38,1.99,2,12187,2005-08-18 01:45:50,1062
39,5.99,1,1625,2005-06-16 07:49:08,1068
39,5.99,1,4419,2005-07-07 22:06:24,1074
39,0.99,1,10126,2005-07-31 21:36:07,1088
39,0.99,2,10630,2005-08-01 15:34:46,1091
39,5.99,2,15124,2005-08-22 12:51:38,1096
40,4.99,1,128,2005-05-25 21:19:53,1097
40,0.99,1,3428,2005-06-21 18:39:34,1101
40,5.99,1,5869,2005-07-10 18:40:09,1104
40,2.99,1,10442,2005-08-01 08:58:08,1113
40,9.99,2,12396,2005-08-18 09:11:23,1116
40,2.99,2,12877,2005-08-19 03:16:58,1117
40,5.99,1,13840,2005-08-20 14:23:20,1120
40,2.99,1,15193,2005-08-22 16:06:49,1123
41,4.99,1,2563,2005-06-19 03:24:17,1124
41,4.99,1,4543,2005-07-08 04:06:55,1128
41,2.99,1,4575,2005-07-08 05:49:14,1129
42,0.99,2,1534,2005-06-16 00:49:32,1150
42,2.99,2,2056,2005-06-17 15:27:33,1151
42,3.99,1,2170,2005-06-17 23:57:34,1152
42,2.99,1,6799,2005-07-12 16:52:13,1159
42,3.99,1,7405,2005-07-27 16:25:11,1161
42,3.99,2,8852,2005-07-29 23:30:03,1167
42,3.99,2,8915,2005-07-30 01:42:09,1168
42,7.99,1,14461,2005-08-21 12:50:33,1175
43,4.99,1,652,2005-05-28 20:08:47,1180
43,4.99,1,9204,2005-07-30 12:43:58,1193
43,6.99,2,15800,2005-08-23 14:23:44,1199
43,2.99,2,15945,2005-08-23 18:51:41,1200
44,0.99,2,721,2005-05-29 05:28:47,1206
44,2.99,1,904,2005-05-30 10:19:42,1207
44,9.99,2,4723,2005-07-08 12:44:59,1213
44,8.99,1,5787,2005-07-10 14:08:49,1215
44,2.99,1,11364,2005-08-02 17:53:36,1222
44,6.99,1,12790,2005-08-19 00:16:54,1225
44,4.99,2,13428,2006-02-14 15:16:03,1228
45,2.99,2,277,2005-05-26 17:32:11,1229
45,3.99,1,3391,2005-06-21 15:11:02,1233
45,0.99,2,6001,2005-07-11 01:24:44,1239
45,2.99,1,7436,2005-07-27 17:39:12,1242
45,2.99,1,10507,2005-08-01 11:22:20,1244
45,4.99,1,11029,2005-08-02 05:51:10,1247
45,2.99,1,11725,2005-08-17 08:09:00,1250
46,4.99,2,1214,2005-06-15 03:18:40,1260
46,2.99,1,10088,2005-07-31 20:16:21,1273
46,4.99,2,10428,2005-08-01 08:30:11,1274
46,4.99,1,10803,2005-08-01 22:22:07,1275
46,5.99,1,10827,2005-08-01 23:13:00,1276
46,0.99,1,15708,2005-08-23 10:35:51,1288
46,5.99,1,15758,2005-08-23 12:47:26,1289
47,3.99,2,175,2005-05-26 03:46:26,1290
47,4.99,1,1882,2005-06-17 03:17:21,1293
47,6.99,1,2307,2005-06-18 08:34:59,1294
47,0.99,1,11126,2005-08-02 08:59:04,1306
47,0.99,1,14397,2005-08-21 10:25:56,1310
48,0.99,2,72,2005-05-25 10:52:13,1312
48,9.99,2,1689,2005-06-16 12:18:41,1315
48,3.99,2,6498,2005-07-12 03:05:38,1320
48,2.99,1,7920,2005-07-28 12:01:19,1321
49,3.99,1,239,2005-05-26 12:30:26,1330
49,2.99,2,846,2005-05-30 01:17:45,1331
49,9.99,2,1237,2005-06-15 04:44:10,1334
49,6.99,1,6279,2005-07-11 16:26:07,1342
49,4.99,1,10144,2005-07-31 22:13:52,1350
50,4.99,1,763,2005-05-29 11:32:15,1357
50,4.99,1,794,2005-05-29 16:44:11,1358
50,2.99,2,3169,2005-06-20 21:55:54,1365
50,9.99,2,5681,2005-07-10 08:48:39,1369
50,0.99,2,6634,2005-07-12 09:37:18,1371
50,0.99,2,9179,2005-07-30 12:02:41,1377
50,7.99,2,10485,2005-08-01 10:20:34,1384
50,6.99,1,12766,2005-08-18 23:25:20,1386
50,4.99,1,14054,2005-08-20 22:17:01,1388
50,2.99,2,15138,2005-08-22 13:36:30,1389
51,4.99,2,119,2005-05-25 19:37:02,1392
51,9.99,1,3525,2005-07-06 01:02:39,1397
51,2.99,1,5230,2005-07-09 12:30:23,1398
51,5.99,2,5304,2005-07-09 15:48:06,1399
51,4.99,1,5606,2005-07-10 05:07:55,1401
51,4.99,1,8495,2005-07-29 09:05:06,1405
51,0.99,1,8880,2005-07-30 00:16:55,1407
51,2.99,1,10780,2005-08-01 21:14:24,1410
51,2.99,1,11302,2005-08-02 15:38:03,1412
51,0.99,1,12184,2005-08-18 01:36:00,1415
52,0.99,1,5308,2005-07-09 15:58:38,1431
52,5.99,2,7438,2005-07-27 17:40:40,1436
52,4.99,2,7627,2005-07-28 00:56:47,1437
52,4.99,1,8686,2005-07-29 16:17:49,1438
52,4.99,1,9029,2005-07-30 06:03:11,1439
52,4.99,2,9797,2005-07-31 10:53:44,1441
52,5.99,1,14822,2005-08-22 01:21:14,1450
52,5.99,2,15891,2005-08-23 17:00:12,1452
53,5.99,2,783,2005-05-29 14:41:18,1457
53,9.99,2,856,2005-05-30 02:01:21,1458
53,0.99,1,1964,2005-06-17 09:10:09,1460
53,2.99,1,2388,2005-06-18 15:26:30,1461
53,2.99,2,3140,2005-06-20 19:47:12,1463
53,0.99,2,3244,2005-06-21 03:01:10,1464
53,2.99,2,5185,2005-07-09 10:14:39,1467
53,4.99,1,7699,2005-07-28 03:52:21,1469
53,4.99,1,9343,2005-07-30 18:13:13,1470
53,3.99,1,10594,2005-08-01 14:14:59,1472
53,4.99,1,14671,2005-08-21 19:59:30,1480
53,7.98,2,11657,2006-02-14 15:16:03,1482
54,4.99,2,198,2005-05-26 07:03:49,1484
54,4.99,1,1556,2005-06-16 02:19:02,1487
54,2.99,1,1571,2005-06-16 03:22:00,1488
54,4.99,2,4657,2005-07-08 09:51:02,1491
54,2.99,1,5929,2005-07-10 21:59:29,1493
54,0.99,1,6813,2005-07-12 18:03:50,1497
54,4.99,2,8992,2005-07-30 04:44:18,1498
54,5.99,2,10489,2005-08-01 10:27:42,1499
54,5.99,2,10882,2005-08-02 00:47:16,1500
54,4.99,1,10956,2005-08-02 03:33:14,1501
54,0.99,2,12872,2005-08-19 02:57:37,1507
54,4.99,1,15567,2005-08-23 05:20:36,1512
55,4.99,1,555,2005-05-28 08:31:14,1513
55,9.99,1,1027,2005-05-31 03:46:19,1514
55,2.99,2,1825,2005-06-16 21:53:05,1516
55,1.99,2,11287,2005-08-02 14:49:51,1528
55,2.99,1,14667,2005-08-21 19:51:11,1533
56,0.99,1,2140,2005-06-17 21:40:29,1540
56,4.99,1,2485,2005-06-18 21:26:03,1541
56,0.99,1,2989,2005-06-20 08:59:37,1542
56,2.99,2,3771,2005-07-06 13:19:34,1544
56,3.99,1,4097,2005-07-07 06:10:55,1545
56,4.99,1,5142,2005-07-09 08:05:23,1547
56,4.99,1,10946,2005-08-02 03:20:39,1554
56,1.99,2,12537,2005-08-18 14:06:39,1557
56,0.99,2,14534,2005-08-21 15:16:29,1562
56,7.99,2,15702,2005-08-23 10:23:28,1563
56,4.99,2,15714,2006-02-14 15:16:03,1564
57,4.99,2,6482,2005-07-12 01:50:21,1577
57,4.99,2,6649,2005-07-12 10:51:09,1579
57,0.99,2,9136,2005-07-30 10:07:20,1582
57,0.99,1,9703,2005-07-31 07:34:52,1584
57,2.99,2,9812,2005-07-31 11:28:07,1585
57,0.99,2,13743,2005-08-20 10:51:27,1589
58,0.99,1,230,2005-05-26 11:31:50,1593
58,0.99,1,8853,2005-07-29 23:34:21,1604
58,2.99,2,9561,2005-07-31 02:22:13,1605
58,4.99,1,10068,2005-07-31 19:39:38,1607
58,6.99,1,11416,2005-08-02 19:44:04,1610
58,5.99,2,14305,2005-08-21 07:29:05,1616
59,2.99,2,951,2005-05-30 16:10:35,1621
59,3.99,1,1728,2005-06-16 15:29:29,1624
59,3.99,1,2921,2005-06-20 04:13:04,1625
59,8.99,2,5195,2005-07-09 10:39:31,1630
59,4.99,2,11396,2005-08-02 18:48:29,1637
59,2.99,1,13573,2005-08-20 05:10:14,1640
59,4.99,2,13921,2005-08-20 16:57:11,1641
60,3.99,1,7331,2005-07-27 13:57:50,1656
60,0.99,1,7494,2005-07-27 19:56:31,1657
60,4.99,1,9356,2005-07-30 18:36:24,1658
60,4.99,1,9761,2005-07-31 09:31:54,1659
60,9.98,2,12489,2006-02-14 15:16:03,1670
61,0.99,1,1157,2005-05-31 22:47:45,1672
61,1.99,2,7071,2005-07-27 04:01:15,1674
61,4.99,2,8075,2005-07-28 17:37:28,1676
62,2.99,2,3843,2005-07-06 16:35:40,1695
62,0.99,2,10080,2005-07-31 20:07:10,1699
62,5.99,1,11297,2005-08-02 15:22:47,1701
62,8.99,2,13512,2005-08-20 02:27:13,1703
62,1.99,2,14574,2005-08-21 16:50:34,1704
62,6.99,1,15464,2005-08-23 01:15:18,1707
63,8.99,2,3923,2005-07-06 20:34:10,1710
63,4.99,2,5788,2005-07-10 14:10:22,1713
63,4.99,1,9546,2005-07-31 01:47:40,1719
63,2.99,1,15229,2005-08-22 17:30:25,1733
64,0.99,1,587,2005-05-28 12:05:33,1735
64,0.99,2,1335,2005-06-15 11:51:30,1737
64,0.99,2,3982,2005-07-06 23:14:16,1739
64,4.99,1,4288,2005-07-07 15:38:25,1740
64,5.99,2,4971,2005-07-08 23:54:49,1743
64,3.99,1,9924,2005-07-31 15:04:57,1757
64,0.99,1,12409,2005-08-18 09:43:58,1761
64,5.99,1,14167,2005-08-21 02:59:48,1764
64,4.99,2,13333,2006-02-14 15:16:03,1766
65,4.99,1,3535,2005-07-06 01:32:46,1771
65,3.99,2,4635,2005-07-08 08:42:40,1773
65,5.99,2,8404,2005-07-29 06:27:01,1778
65,3.99,1,9293,2005-07-30 16:12:28,1779
65,5.99,2,11100,2005-08-02 08:08:00,1780
65,4.99,2,11461,2005-08-02 21:35:00,1782
65,2.99,2,11845,2005-08-17 13:16:38,1783
65,7.99,1,12114,2005-08-17 23:02:00,1784
65,0.99,2,13692,2005-08-20 09:07:52,1786
65,6.99,2,14140,2005-08-21 02:04:57,1787
66,2.99,1,1236,2005-06-15 04:34:27,1790
66,2.99,2,4088,2005-07-07 05:31:55,1799
66,0.99,2,5915,2005-07-10 21:12:16,1803
66,3.99,1,6402,2005-07-11 22:46:10,1806
66,0.99,1,12699,2005-08-18 20:20:59,1815
66,2.99,2,14123,2005-08-21 01:31:25,1817
67,3.99,1,2542,2005-06-19 02:08:39,1826
67,0.99,2,2810,2005-06-19 19:44:12,1827
67,2.99,2,5399,2005-07-09 19:52:44,1830
67,5.99,2,7277,2005-07-27 11:48:37,1833
67,0.99,2,7895,2005-07-28 10:57:15,1834
68,4.99,2,2662,2005-06-19 10:53:42,1848
68,2.99,1,2686,2005-06-19 12:44:20,1849
68,0.99,1,3598,2005-07-06 05:11:04,1850
68,4.99,2,3801,2005-07-06 15:05:50,1851
68,3.99,1,4925,2005-07-08 21:56:00,1854
68,4.99,2,9642,2005-07-31 05:33:57,1858
69,4.99,2,584,2005-05-28 11:49:00,1867
69,8.99,1,3883,2005-07-06 18:39:38,1871
69,6.99,2,8649,2005-07-29 14:57:33,1878
69,5.99,1,13023,2005-08-19 08:13:54,1886
69,2.99,1,15547,2005-08-23 04:25:50,1890
70,4.99,1,2472,2005-06-18 20:32:40,1893
70,0.99,2,8550,2005-07-29 11:12:37,1899
70,2.99,1,8747,2005-07-29 19:07:57,1900
70,3.99,1,15616,2005-08-23 07:06:38,1909
71,9.99,1,272,2005-05-26 16:27:11,1911
71,4.99,1,2374,2005-06-18 14:44:06,1913
71,4.99,2,4614,2005-07-08 07:45:17,1915
71,3.99,2,5358,2005-07-09 18:09:21,1917
71,4.99,1,5770,2005-07-10 13:21:28,1919
71,4.99,2,5814,2005-07-10 15:46:50,1920
71,4.99,1,7550,2005-07-27 21:55:07,1924
71,3.99,1,8783,2005-07-29 20:31:28,1930
71,4.99,1,8789,2005-07-29 20:47:27,1931
71,4.99,1,12417,2005-08-18 09:57:00,1933
72,4.99,2,785,2005-05-29 15:08:41,1940
72,0.99,2,1047,2005-05-31 06:45:57,1942
72,0.99,1,3700,2005-07-06 10:12:19,1944
72,0.99,1,5424,2005-07-09 20:59:09,1947
72,4.99,1,5840,2005-07-10 17:09:09,1948
72,4.99,2,8228,2005-07-29 00:08:58,1950
72,4.99,2,9648,2005-07-31 05:46:03,1953
72,6.99,2,11206,2005-08-02 11:58:03,1955
72,2.99,1,11630,2005-08-17 04:27:46,1957
72,2.99,1,11923,2005-08-17 16:21:47,1959
73,4.99,1,7590,2005-07-27 23:24:24,1979
73,2.99,1,9212,2005-07-30 13:03:13,1982
73,0.99,2,11155,2005-08-02 09:55:28,1986
73,4.99,2,11349,2005-08-02 17:21:49,1987
73,2.99,2,16002,2005-08-23 20:47:12,1992
74,0.99,2,2517,2005-06-19 00:11:26,1996
74,2.99,2,5603,2005-07-10 05:04:54,2001
74,4.99,2,5917,2005-07-10 21:30:22,2002
74,4.99,2,9112,2005-07-30 09:06:31,2007
74,0.99,1,10624,2005-08-01 15:27:05,2009
74,3.99,2,12477,2005-08-18 12:25:01,2011
