Fiscal year,IRTC percent,Section name,Branch ID,Sector percent,Gender equality (marker),Participatory development and good governance,Organisation sub-class,Regional program (marker),Youth issues (marker),Sector ID,Section ID,Climate change adaptation (marker),Biodiversity (marker),CountryRegion name,FSTC percent,Organisation type,Knowledge for development (marker),Status,Climate change mitigation (marker),Organisation class,CIDA business delivery model (old),Indigenous issues (marker),Disability issues (marker),Amount spent,ICT as a tool for development (marker),Division name,Continent ID,Programming process (new),CFLI (marker),CountryRegion percent,Project number,Desertification (marker),Children issues (marker),Fund centre ID,Maximum CIDA contribution (project-level),Branch name,Division ID,Fund centre name,Untied amount(Project-level budget),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,0.0,Middle East and North Africa,B3100,0.25,0,1,CONSULTING SERVICES,0,0,32130,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,92414.9875,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
2009/2010,0.0,Middle East and North Africa,B3100,0.15,0,1,CONSULTING SERVICES,0,0,32182,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,55448.9925,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
2009/2010,0.0,Middle East and North Africa,B3100,0.05,0,1,CONSULTING SERVICES,0,0,41010,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,18482.9975,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
2009/2010,0.0,Middle East and North Africa,B3100,0.2,0,1,CONSULTING SERVICES,0,0,41020,S4256,0,0,Egypt,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,73931.99,1,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A019608001,0,0,4263,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,Egypt,0.0,1,Not PBA,1
2009/2010,0.0,Middle East and North Africa,B3100,1.0,2,0,FEDERAL,0,0,43010,S4256,0,0,Algeria,0.998334353,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,114.33,0,EDD Europe-Middle East Programming,2,Uncoded: Pre-APP,0,1.0,A020161001,0,0,4259,328400.96,"EGM Europe, Middle East and Maghreb",D3100,*Algeria,0.0,1,Not PBA,0
2009/2010,0.0,Ha�ti & Dominican Republic Section,B4400,0.2,3,1,FEDERAL,0,0,15150,S4449,0,0,Haiti,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,103009.4,0,NDD Americas Programming,1,Uncoded: Pre-APP,0,1.0,A020195001,0,0,4452,4610501.0,NGM Americas,D4400,Haiti,4000000.0,1,Not PBA,0
2009/2010,0.0,Ha�ti & Dominican Republic Section,B4400,0.8,3,1,FEDERAL,0,0,15160,S4449,0,0,Haiti,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,412037.6,0,NDD Americas Programming,1,Uncoded: Pre-APP,0,1.0,A020195001,0,0,4452,4610501.0,NGM Americas,D4400,Haiti,4000000.0,1,Not PBA,0
2009/2010,0.0,"Ethiopia, PanAfrica, SubRegional",B4200,0.2,2,1,SPECIALIZED INSTITUTE,0,0,15110,S4227,0,0,Ethiopia,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,799.502,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020222001,0,0,4229,4229943.14,WGM Sub-Saharan Africa,D4270,Ethiopia,0.0,1,Not PBA,0
2009/2010,0.0,"Ethiopia, PanAfrica, SubRegional",B4200,0.2,2,1,SPECIALIZED INSTITUTE,0,0,15111,S4227,0,0,Ethiopia,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,799.502,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020222001,0,0,4229,4229943.14,WGM Sub-Saharan Africa,D4270,Ethiopia,0.0,1,Not PBA,0
2009/2010,0.0,"Ethiopia, PanAfrica, SubRegional",B4200,0.2,2,1,SPECIALIZED INSTITUTE,0,0,15130,S4227,0,0,Ethiopia,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,799.502,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020222001,0,0,4229,4229943.14,WGM Sub-Saharan Africa,D4270,Ethiopia,0.0,1,Not PBA,0
2009/2010,0.0,"Ethiopia, PanAfrica, SubRegional",B4200,0.2,2,1,SPECIALIZED INSTITUTE,0,0,15150,S4227,0,0,Ethiopia,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,799.502,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020222001,0,0,4229,4229943.14,WGM Sub-Saharan Africa,D4270,Ethiopia,0.0,1,Not PBA,0
2009/2010,0.0,"Ethiopia, PanAfrica, SubRegional",B4200,0.2,2,1,SPECIALIZED INSTITUTE,0,0,15160,S4227,0,0,Ethiopia,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,799.502,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020222001,0,0,4229,4229943.14,WGM Sub-Saharan Africa,D4270,Ethiopia,0.0,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.34,2,0,CONSULTING SERVICES,0,0,15110,S4233,0,0,Senegal,1.0,Canadian Profit Making,0,Terminating,0,Civil Society,Directive,0,0,2307.3284,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020246001,0,0,4238,4518387.69,WGM Sub-Saharan Africa,D4207,Senegal,4518387.69,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.34,2,0,CONSULTANT,0,0,15110,S4233,0,0,Senegal,1.0,Canadian Profit Making,0,Terminating,0,Individual,Directive,0,0,2157.8406,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020246001,0,0,4238,4518387.69,WGM Sub-Saharan Africa,D4207,Senegal,4518387.69,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.66,2,0,CONSULTING SERVICES,0,0,24040,S4233,0,0,Senegal,1.0,Canadian Profit Making,0,Terminating,0,Civil Society,Directive,0,0,4478.9316,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020246001,0,0,4238,4518387.69,WGM Sub-Saharan Africa,D4207,Senegal,4518387.69,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.66,2,0,CONSULTANT,0,0,24040,S4233,0,0,Senegal,1.0,Canadian Profit Making,0,Terminating,0,Individual,Directive,0,0,4188.7494,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020246001,0,0,4238,4518387.69,WGM Sub-Saharan Africa,D4207,Senegal,4518387.69,1,Not PBA,0
2009/2010,0.0,Caricom - Adm,B4400,1.0,0,0,CONSULTING SERVICES,0,0,11130,S4429,0,0,Guyana,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,539373.76,0,NDD Americas Programming,1,Uncoded: Pre-APP,0,1.0,A020252001,0,0,4438,7850039.11,NGM Americas,D4400,Caribbean Regional - Guyana,7850039.11,1,Not PBA,0
2009/2010,0.0,Philippines and Mongolia,B4100,0.5,1,1,FEDERAL,0,0,15110,S4130,0,0,Philippines,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,12432.9,1,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020272001,0,0,4128,13000520.92,OGM Asia Pacific,D4100,Philippines,0.0,1,Not PBA,1
2009/2010,0.0,Philippines and Mongolia,B4100,0.4,1,1,FEDERAL,0,0,15111,S4130,0,0,Philippines,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,9946.32,1,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020272001,0,0,4128,13000520.92,OGM Asia Pacific,D4100,Philippines,0.0,1,Not PBA,1
2009/2010,0.0,Philippines and Mongolia,B4100,0.1,1,1,FEDERAL,0,0,15150,S4130,0,0,Philippines,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,2486.58,1,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020272001,0,0,4128,13000520.92,OGM Asia Pacific,D4100,Philippines,0.0,1,Not PBA,1
2009/2010,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",B4100,1.0,1,1,FEDERAL,0,0,15110,S4141,0,0,Pakistan,1.0,Canadian Non-Profit Making,0,Terminating,0,Governmental,Directive,0,0,106986.01,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020279001,0,0,4124,2645994.04,OGM Asia Pacific,D4100,Pakistan,0.0,1,Not PBA,0
2009/2010,0.0,Mozambique Program,B4200,1.0,1,1,CONSULTING SERVICES,0,0,15110,S4271,0,0,Malawi,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,73711.97,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020392001,0,0,4280,7747230.74,WGM Sub-Saharan Africa,D4270,Malawi,0.0,1,Not PBA,0
2009/2010,0.0,Bangladesh Section,B4100,1.0,0,1,FEDERAL,0,0,43010,S4122,0,0,Bangladesh,0.5,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,500000.0,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020395001,0,0,4122,4947637.32,OGM Asia Pacific,D4100,Bangladesh,0.0,1,Not PBA,0
2009/2010,0.0,Bangladesh Section,B4100,1.0,0,1,Unknown,0,0,43010,S4122,0,0,Bangladesh,0.5,Uncoded,0,Closed,0,Unknown,Directive,0,0,2362.0,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020395001,0,0,4122,4947637.32,OGM Asia Pacific,D4100,Bangladesh,0.0,1,Not PBA,0
2009/2010,0.0,Mozambique Program,B4200,0.5,0,0,CONSULTANT,0,0,14031,S4271,0,0,Mozambique,1.0,Canadian Profit Making,0,Closed,0,Individual,Directive,0,0,667.81,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020398001,0,0,4274,9096651.0,WGM Sub-Saharan Africa,D4270,Mozambique,0.0,1,Not PBA,0
2009/2010,0.0,Mozambique Program,B4200,0.5,0,0,CONSULTANT,0,0,14032,S4271,0,0,Mozambique,1.0,Canadian Profit Making,0,Closed,0,Individual,Directive,0,0,667.81,0,WED Southern & Eastern Africa,2,Uncoded: Pre-APP,0,1.0,A020398001,0,0,4274,9096651.0,WGM Sub-Saharan Africa,D4270,Mozambique,0.0,1,Not PBA,0
2009/2010,0.0,Central Africa & Great Lakes Program,B4200,1.0,2,1,FEDERAL,0,0,43010,S4287,0,0,Cameroon,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,582248.05,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020449003,0,0,4289,2457111.5,WGM Sub-Saharan Africa,D4207,Cameroon,2457111.5,1,Not PBA,1
2009/2010,0.0,Central Africa & Great Lakes Program,B4200,1.0,2,1,SUPPLIER OF GOODS/SERVICES,0,0,43010,S4287,0,0,Cameroon,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,863.16,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020449003,0,0,4289,2457111.5,WGM Sub-Saharan Africa,D4207,Cameroon,2457111.5,1,Not PBA,1
2009/2010,0.0,Central Africa & Great Lakes Program,B4200,1.0,2,1,COOPERANT,0,0,43010,S4287,0,0,Cameroon,1.0,Canadian Profit Making,0,Closed,0,Individual,Directive,0,0,140613.87,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020449003,0,0,4289,2457111.5,WGM Sub-Saharan Africa,D4207,Cameroon,2457111.5,1,Not PBA,1
2009/2010,0.0,Central Africa & Great Lakes Program,B4200,1.0,2,1,Unknown,0,0,43010,S4287,0,0,Cameroon,1.0,Uncoded,0,Closed,0,Unknown,Directive,0,0,2361.97,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020449003,0,0,4289,2457111.5,WGM Sub-Saharan Africa,D4207,Cameroon,2457111.5,1,Not PBA,1
2009/2010,0.0,Senegal Program,B4200,0.5,0,0,ASSOCIATIONS,0,0,15150,S4233,0,0,Guinea,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,442790.91,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.5,0,0,CONSULTING SERVICES,0,0,15150,S4233,0,0,Guinea,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,4131.87,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.15,0,0,ASSOCIATIONS,0,0,31161,S4233,0,0,Guinea,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,132837.27300000002,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.15,0,0,CONSULTING SERVICES,0,0,31161,S4233,0,0,Guinea,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,1239.5610000000001,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.1,0,0,ASSOCIATIONS,0,0,31166,S4233,0,0,Guinea,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,88558.18199999999,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.1,0,0,CONSULTING SERVICES,0,0,31166,S4233,0,0,Guinea,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,826.3739999999999,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.15,0,0,ASSOCIATIONS,0,0,31181,S4233,0,0,Guinea,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,132837.27300000002,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.15,0,0,CONSULTING SERVICES,0,0,31181,S4233,0,0,Guinea,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,1239.5610000000001,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.1,0,0,ASSOCIATIONS,0,0,31191,S4233,0,0,Guinea,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,88558.18199999999,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,Senegal Program,B4200,0.1,0,0,CONSULTING SERVICES,0,0,31191,S4233,0,0,Guinea,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,826.3739999999999,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020715001,0,0,4242,11427061.07,WGM Sub-Saharan Africa,D4207,*Guinea,11427061.07,1,Not PBA,0
2009/2010,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",B4100,0.8,0,0,NGO,0,0,15150,S4141,0,0,Sri Lanka,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,92293.62400000001,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020790001,0,1,4118,4308867.95,OGM Asia Pacific,D4100,Sri Lanka,0.0,1,Not PBA,0
2009/2010,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",B4100,0.2,0,0,NGO,0,0,15160,S4141,0,0,Sri Lanka,1.0,Canadian Non-Profit Making,0,Closed,0,Civil Society,Directive,0,0,23073.406000000003,0,OAD Asia Programming,3,Uncoded: Pre-APP,0,1.0,A020790001,0,1,4118,4308867.95,OGM Asia Pacific,D4100,Sri Lanka,0.0,1,Not PBA,0
2009/2010,0.0,Mali Program Section,B4200,1.0,2,0,FEDERAL,0,0,11110,S4215,0,0,Mali,0.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,57631.03,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020891001,0,1,4216,3063216.68,WGM Sub-Saharan Africa,D4207,Mali,0.0,1,Other PBA,0
2009/2010,0.0,Mali Program Section,B4200,1.0,2,0,Unknown,0,0,11110,S4215,0,0,Mali,0.0,Uncoded,0,Closed,0,Unknown,Directive,0,0,23.9,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020891001,0,1,4216,3063216.68,WGM Sub-Saharan Africa,D4207,Mali,0.0,1,Other PBA,0
2009/2010,0.0,Mali Program Section,B4200,1.0,2,0,FEDERAL,0,0,11130,S4215,0,0,Mali,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Directive,0,0,10023.66,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020892001,0,0,4216,16726210.87,WGM Sub-Saharan Africa,D4207,Mali,16726210.87,1,Other PBA,0
2009/2010,0.0,Mali Program Section,B4200,1.0,2,0,CONSULTING SERVICES,0,0,11130,S4215,0,0,Mali,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,50605.0,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020892001,0,0,4216,16726210.87,WGM Sub-Saharan Africa,D4207,Mali,16726210.87,1,Other PBA,0
2009/2010,0.0,Mali Program Section,B4200,1.0,2,0,CONSULTING SERVICES,0,0,11130,S4215,0,0,Mali,1.0,Canadian Profit Making,0,Closed,0,Civil Society,Directive,0,0,2019764.66,0,WWD West & Central Africa,2,Uncoded: Pre-APP,0,1.0,A020892001,0,0,4216,16726210.87,WGM Sub-Saharan Africa,D4207,Mali,16726210.87,1,Other PBA,0
2009/2010,0.0,South America,B4400,0.1,0,1,FEDERAL,1,0,11220,S4413,0,0,South America,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,64.46300000000001,0,NDD Americas Programming,1,Uncoded: Pre-APP,0,0.1,A020910001,0,1,4422,1488850.78,NGM Americas,D4400,*Southern Cone,0.0,1,Not PBA,1
2009/2010,0.0,South America,B4400,0.1,0,1,Unknown,1,0,11220,S4413,0,0,South America,1.0,Uncoded,0,Closed,0,Unknown,Responsive,0,0,24.000999999999998,0,NDD Americas Programming,1,Uncoded: Pre-APP,0,0.1,A020910001,0,1,4422,1488850.78,NGM Americas,D4400,*Southern Cone,0.0,1,Not PBA,1
2009/2010,0.0,South America,B4400,0.08,0,1,FEDERAL,1,0,12220,S4413,0,0,South America,1.0,Canadian Non-Profit Making,0,Closed,0,Governmental,Responsive,0,0,51.5704,0,NDD Americas Programming,1,Uncoded: Pre-APP,0,0.1,A020910001,0,1,4422,1488850.78,NGM Americas,D4400,*Southern Cone,0.0,1,Not PBA,1
2009/2010,0.0,South America,B4400,0.08,0,1,Unknown,1,0,12220,S4413,0,0,South America,1.0,Uncoded,0,Closed,0,Unknown,Responsive,0,0,19.2008,0,NDD Americas Programming,1,Uncoded: Pre-APP,0,0.1,A020910001,0,1,4422,1488850.78,NGM Americas,D4400,*Southern Cone,0.0,1,Not PBA,1
