assay_id,relationship_type,variant_id,cell_id,assay_strain,description,curated_by,src_assay_id,assay_cell_type,assay_category,tissue_id,tid,bao_format,assay_type,assay_subcellular_fraction,doc_id,assay_tissue,confidence_score,src_id,chembl_id
46,H,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,,,,20001,BAO_0000019,B,,13163,,8,1,CHEMBL615158
47,D,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,,,,12971,BAO_0000019,B,,10691,,9,1,CHEMBL615159
48,D,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,,,,12971,BAO_0000019,B,,10691,,9,1,CHEMBL615172
49,D,,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,,,,12971,BAO_0000019,B,,10691,,9,1,CHEMBL615173
50,D,,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,,,,12971,BAO_0000019,B,,10691,,9,1,CHEMBL615174
51,H,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,13053,BAO_0000019,B,,898,,8,1,CHEMBL884518
52,H,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),Autocuration,,,,,11512,BAO_0000357,B,,912,,8,1,CHEMBL615175
53,H,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,Autocuration,,,,,11512,BAO_0000357,B,,912,,8,1,CHEMBL615176
54,H,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,Autocuration,,,,,11512,BAO_0000357,B,,912,,8,1,CHEMBL615177
55,D,,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Autocuration,,,,,104740,BAO_0000249,B,Membranes,15103,,5,1,CHEMBL615178
56,N,,506.0,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,Intermediate,,1A9,,,80002,BAO_0000219,F,,5116,,1,1,CHEMBL615179
57,D,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,Autocuration,,Oocytes,,,104835,BAO_0000219,F,,14578,,7,1,CHEMBL615180
58,D,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,Autocuration,,Oocytes,,,104821,BAO_0000219,F,,14578,,7,1,CHEMBL615181
59,D,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,Autocuration,,Oocytes,,,104848,BAO_0000219,F,,14578,,7,1,CHEMBL615182
60,N,,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,Expert,,1A9,,,80002,BAO_0000219,F,,4787,,1,1,CHEMBL615183
61,N,,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,Intermediate,,1A9,,,80002,BAO_0000219,F,,4787,,1,1,CHEMBL615184
62,N,,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line,Intermediate,,1A9,,,80002,BAO_0000219,F,,3547,,1,1,CHEMBL615185
63,N,,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,Intermediate,,1A9,,,80002,BAO_0000219,F,,3547,,1,1,CHEMBL615186
64,N,,506.0,,Effective dose of compound against replication of 1A9 cell line was evaluated,Intermediate,,1A9,,,80002,BAO_0000219,F,,6726,,1,1,CHEMBL615187
65,N,,506.0,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,Expert,,1A9,,,80002,BAO_0000219,F,,3455,,1,1,CHEMBL885343
66,N,,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),Intermediate,,1A9,,,80002,BAO_0000219,F,,5726,,1,1,CHEMBL615188
67,N,,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,Intermediate,,1A9,,,80002,BAO_0000219,F,,5726,,1,1,CHEMBL615189
68,N,,506.0,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,5726,,1,1,CHEMBL615190
69,N,,506.0,,Inhibitory activity against Taxol resistant 1A9 cell lines,Intermediate,,1A9,,,80002,BAO_0000219,F,,3395,,1,1,CHEMBL615191
70,N,,506.0,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,Expert,,1A9,,,80002,BAO_0000219,F,,3415,,1,1,CHEMBL615192
71,N,,506.0,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,Expert,,1A9,,,80002,BAO_0000219,F,,3415,,1,1,CHEMBL827083
72,N,,506.0,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,Expert,,1A9,,,80002,BAO_0000219,F,,17099,,1,1,CHEMBL615193
73,N,,506.0,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,17099,,1,1,CHEMBL615194
74,N,,506.0,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,17099,,1,1,CHEMBL615195
75,N,,506.0,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,17099,,1,1,CHEMBL615196
76,N,,503.0,,Inhibitory concentration against Jurkat cells,Intermediate,,Jurkat,,,81072,BAO_0000219,F,,17721,,1,1,CHEMBL615197
77,U,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,Intermediate,,,,,22226,BAO_0000019,F,,1229,,0,1,CHEMBL615198
78,D,,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,Expert,,,,,100121,BAO_0000357,A,,11347,,9,1,CHEMBL615199
79,H,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,,,11231,BAO_0000357,B,,17117,,8,1,CHEMBL615200
80,H,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,,,11231,BAO_0000357,B,,17117,,8,1,CHEMBL615201
81,H,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",Expert,,,,,11231,BAO_0000357,B,,17117,,8,1,CHEMBL615202
82,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,8,1,CHEMBL615203
83,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,8,1,CHEMBL615204
84,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,8,1,CHEMBL615205
85,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,8,1,CHEMBL615206
86,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,11375,Liver,8,1,CHEMBL615207
87,H,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",Autocuration,,,,,11231,BAO_0000019,B,,791,,8,1,CHEMBL827084
88,H,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",Autocuration,,,,,11231,BAO_0000019,B,,791,,8,1,CHEMBL615208
89,H,,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",Autocuration,,,,,11231,BAO_0000019,B,,791,,8,1,CHEMBL615209
90,D,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,11375,Liver,9,1,CHEMBL615210
91,D,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,11375,Liver,9,1,CHEMBL615211
92,D,,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,153,Liver,9,1,CHEMBL615212
93,H,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),Expert,,,,,11377,BAO_0000357,B,,8269,,8,1,CHEMBL615213
94,H,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,Expert,,,,,11377,BAO_0000357,B,,8269,,8,1,CHEMBL615273
95,N,,726.0,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,,HepG2,,,81020,BAO_0000219,F,,17653,,1,1,CHEMBL615274
96,N,,726.0,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14277,,1,1,CHEMBL615275
97,N,,726.0,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,1717,,1,1,CHEMBL615276
98,N,,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14091,,1,1,CHEMBL615277
99,N,,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14091,,1,1,CHEMBL615326
100,N,,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,,,,,50606,BAO_0000218,F,,17653,,1,1,CHEMBL883130
101,N,,726.0,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,Intermediate,,HepG2,,,81020,BAO_0000219,F,,13105,,1,1,CHEMBL884519
102,N,,726.0,,Concentration required to inhibit 50% of 2.2.15 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,1717,,1,1,CHEMBL615327
103,N,,726.0,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,Intermediate,,HepG2,,,81020,BAO_0000219,A,,13105,,1,1,CHEMBL615328
104,N,,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13600,,1,1,CHEMBL615329
105,N,,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13467,,1,1,CHEMBL615330
106,N,,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",Expert,,2.2.15,,,50606,BAO_0000218,F,,17477,,1,1,CHEMBL615331
107,N,,,,In vitro anti-HBV activity in 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,1,1,CHEMBL615332
108,N,,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,1,1,CHEMBL615333
109,N,,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,15089,,1,1,CHEMBL615334
110,N,,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,15089,,1,1,CHEMBL615335
111,N,,,,Cytotoxicity in 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,1,1,CHEMBL615336
112,N,,,,Cytotoxicity in 2.2.15 cells; Not determined,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,1,1,CHEMBL615337
113,N,,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13600,,1,1,CHEMBL615338
114,N,,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13467,,1,1,CHEMBL615339
115,N,,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13467,,1,1,CHEMBL615340
116,N,,726.0,,Antiviral activity against HBV was determined in 2.215 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14764,,1,1,CHEMBL615341
117,U,,,,Inhibition of 20-HETE synthesis in human renal microsomes,Autocuration,,,,,22226,BAO_0000251,B,Microsomes,6531,,0,1,CHEMBL615342
118,U,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,Autocuration,,,,,22226,BAO_0000019,B,,17322,,0,1,CHEMBL615343
119,N,,388.0,,Inhibitory concentration against 2008 (ovarian) cells,Intermediate,,2008,,,80612,BAO_0000219,F,,17072,,1,1,CHEMBL615344
120,N,,388.0,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,Intermediate,,2008,,,80612,BAO_0000219,F,,16936,,1,1,CHEMBL615345
121,N,,388.0,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),Intermediate,,2008,,,80612,BAO_0000219,F,,16936,,1,1,CHEMBL615346
122,N,,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,Intermediate,,2008,,,80612,BAO_0000219,F,,17146,,1,1,CHEMBL615347
123,N,,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,Intermediate,,2008,,,80612,BAO_0000219,F,,17146,,1,1,CHEMBL615348
124,N,,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line,Intermediate,,2008/R,,,80613,BAO_0000219,F,,10797,,1,1,CHEMBL827085
125,N,,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,Intermediate,,2008/R,,,80613,BAO_0000219,F,,10797,,1,1,CHEMBL615349
126,N,,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line,Intermediate,,2008/S,,,80614,BAO_0000219,F,,10797,,1,1,CHEMBL615350
127,N,,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,Intermediate,,2008/S,,,80614,BAO_0000219,F,,10797,,1,1,CHEMBL615351
128,S,,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,Expert,,,,,100256,BAO_0000220,B,,4823,,2,1,CHEMBL615352
129,S,,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,Intermediate,,,,,100256,BAO_0000220,B,,12912,,2,1,CHEMBL615353
130,S,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,Expert,,,,,100256,BAO_0000220,B,,2957,,2,1,CHEMBL615354
131,S,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,Expert,,,,,100256,BAO_0000220,B,,2957,,2,1,CHEMBL615355
132,S,,,,Inhibitory activity against 20S proteosome,Intermediate,,,,,100256,BAO_0000220,B,,3260,,2,1,CHEMBL615356
133,U,,,,Compound was tested for inhibitory activity against tryptase,Autocuration,,,,,22226,BAO_0000019,B,,3451,,0,1,CHEMBL615357
134,N,,726.0,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,13885,,1,1,CHEMBL615358
135,N,,726.0,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,13885,,1,1,CHEMBL827086
136,U,,,,Compound was tested for the inhibition of Alpha-glucosidase,Autocuration,,,,,22226,BAO_0000019,B,,3676,,0,1,CHEMBL615359
137,H,,,,Inhibitory concentration against human neutrophil elastase (HNE),Autocuration,,,,,235,BAO_0000357,B,,6043,,8,1,CHEMBL615360
138,U,,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Autocuration,,,,948.0,22226,BAO_0000218,F,,11140,Heart,0,1,CHEMBL615361
139,H,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,Autocuration,,,,,19640,BAO_0000019,F,,10543,,8,1,CHEMBL615362
140,H,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,Expert,,,,,19640,BAO_0000019,F,,10543,,8,1,CHEMBL615363
141,H,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,Autocuration,,,,,19640,BAO_0000357,B,,10543,,8,1,CHEMBL615364
142,H,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,Expert,,,,,19640,BAO_0000019,F,,10543,,8,1,CHEMBL615365
143,N,,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,Intermediate,,P338,,,80360,BAO_0000219,F,,11365,,1,1,CHEMBL615366
144,N,,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,Intermediate,,P338,,,80360,BAO_0000219,F,,11365,,1,1,CHEMBL615367
145,N,,554.0,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,Intermediate,,PBL,,,80384,BAO_0000219,F,,11803,,1,1,CHEMBL615368
146,U,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,Autocuration,,,,,22226,BAO_0000019,F,,11803,,0,1,CHEMBL615369
147,U,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,Autocuration,,,,,22226,BAO_0000019,F,,11803,,0,1,CHEMBL615370
148,H,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),Autocuration,,,,,191,BAO_0000357,B,,12278,,8,1,CHEMBL615673
149,U,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,Autocuration,,,,,22226,BAO_0000019,F,,8249,,0,1,CHEMBL615674
150,U,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,Autocuration,,,,,22226,BAO_0000019,F,,8249,,0,1,CHEMBL615675
151,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,0,1,CHEMBL615676
152,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,0,1,CHEMBL615677
153,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,0,1,CHEMBL615678
154,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,0,1,CHEMBL615679
155,U,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,Autocuration,,,,,22226,BAO_0000019,F,,8249,,0,1,CHEMBL615680
