assay_id,description,src_assay_id,assay_cell_type,cell_id,assay_tissue,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_subcellular_fraction
50,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,,10691,B,,,Rattus norvegicus,10116.0,,
51,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,898,B,,,,,,
52,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,912,B,,,,,,
53,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,912,B,,,,,,
54,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,912,B,,,,,,
55,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,,,15103,B,,,Rattus norvegicus,10116.0,,Membranes
56,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,1A9,506.0,,5116,F,,,Homo sapiens,9606.0,,
57,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Oocytes,,,14578,F,,,Rattus norvegicus,10116.0,,
58,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Oocytes,,,14578,F,,,Rattus norvegicus,10116.0,,
59,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Oocytes,,,14578,F,,,Rattus norvegicus,10116.0,,
60,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,1A9,506.0,,4787,F,,,Homo sapiens,9606.0,,
61,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,1A9,506.0,,4787,F,,,Homo sapiens,9606.0,,
62,Cytotoxic activity against human ovarian cancer (1A9) cell line,,1A9,506.0,,3547,F,,,Homo sapiens,9606.0,,
63,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,1A9,506.0,,3547,F,,,Homo sapiens,9606.0,,
64,Effective dose of compound against replication of 1A9 cell line was evaluated,,1A9,506.0,,6726,F,,,Homo sapiens,9606.0,,
65,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,1A9,506.0,,3455,F,,,Homo sapiens,9606.0,,
66,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,1A9,506.0,,5726,F,,,Homo sapiens,9606.0,,
67,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,1A9,506.0,,5726,F,,,Homo sapiens,9606.0,,
68,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,1A9,506.0,,5726,F,,,Homo sapiens,9606.0,,
69,Inhibitory activity against Taxol resistant 1A9 cell lines,,1A9,506.0,,3395,F,,,Homo sapiens,9606.0,,
70,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,1A9,506.0,,3415,F,,,Homo sapiens,9606.0,,
71,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,1A9,506.0,,3415,F,,,Homo sapiens,9606.0,,
72,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,1A9,506.0,,17099,F,,,Homo sapiens,9606.0,,
73,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,1A9,506.0,,17099,F,,,Homo sapiens,9606.0,,
74,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,1A9,506.0,,17099,F,,,Homo sapiens,9606.0,,
75,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,1A9,506.0,,17099,F,,,Homo sapiens,9606.0,,
76,Inhibitory concentration against Jurkat cells,,Jurkat,503.0,,17721,F,,,Homo sapiens,9606.0,,
77,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,1229,F,,,,,,
78,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,,,11347,A,,,Rattus norvegicus,10116.0,,
79,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,17117,B,,,,,,
80,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,17117,B,,,,,,
81,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,17117,B,,,,,,
82,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,,,11375,B,,,Candida albicans,5476.0,,Microsomes
83,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,,,11375,B,,,Candida albicans,5476.0,,Microsomes
84,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,,,11375,B,,,Saccharomyces cerevisiae,4932.0,,Microsomes
85,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,,,11375,B,,,Saccharomyces cerevisiae,4932.0,,Microsomes
86,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,,Liver,11375,B,,,Sus scrofa,9823.0,,Microsomes
87,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,,,791,B,,,Rattus norvegicus,10116.0,,
88,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,,,791,B,,,Rattus norvegicus,10116.0,,
89,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,,,791,B,,,Rattus norvegicus,10116.0,,
90,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,,Liver,11375,B,,,Rattus norvegicus,10116.0,,Microsomes
91,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,Liver,11375,B,,,Rattus norvegicus,10116.0,,Microsomes
92,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,Liver,153,B,,,Rattus norvegicus,10116.0,,Microsomes
93,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,8269,B,,,,,,
94,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,8269,B,,,,,,
95,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,HepG2,726.0,,17653,F,,,Homo sapiens,9606.0,,
96,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,HepG2,726.0,,14277,F,,,Homo sapiens,9606.0,,
97,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,HepG2,726.0,,1717,F,,,Homo sapiens,9606.0,,
98,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,HepG2,726.0,,14091,F,,,Homo sapiens,9606.0,,
99,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,HepG2,726.0,,14091,F,,,Homo sapiens,9606.0,,
100,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,,,17653,F,,,Hepatitis B virus,10407.0,,
101,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,HepG2,726.0,,13105,F,,,Homo sapiens,9606.0,,
102,Concentration required to inhibit 50% of 2.2.15 cell line,,HepG2,726.0,,1717,F,,,Homo sapiens,9606.0,,
103,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,HepG2,726.0,,13105,A,,,Homo sapiens,9606.0,,
104,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,2.2.15,,,13600,F,,,Homo sapiens,9606.0,,
105,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,2.2.15,,,13467,F,,,Homo sapiens,9606.0,,
106,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,2.2.15,,,17477,F,,,Hepatitis B virus,10407.0,,
107,In vitro anti-HBV activity in 2.2.15 cells,,2.2.15,,,1593,F,,,Homo sapiens,9606.0,,
108,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,2.2.15,,,1593,F,,,Homo sapiens,9606.0,,
109,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,2.2.15,,,15089,F,,,Homo sapiens,9606.0,,
110,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,2.2.15,,,15089,F,,,Homo sapiens,9606.0,,
111,Cytotoxicity in 2.2.15 cells,,2.2.15,,,1593,F,,,Homo sapiens,9606.0,,
112,Cytotoxicity in 2.2.15 cells; Not determined,,2.2.15,,,1593,F,,,Homo sapiens,9606.0,,
113,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,2.2.15,,,13600,F,,,Homo sapiens,9606.0,,
114,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,2.2.15,,,13467,F,,,Homo sapiens,9606.0,,
115,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,2.2.15,,,13467,F,,,Homo sapiens,9606.0,,
116,Antiviral activity against HBV was determined in 2.215 cell line,,HepG2,726.0,,14764,F,,,Homo sapiens,9606.0,,
117,Inhibition of 20-HETE synthesis in human renal microsomes,,,,,6531,B,,,Homo sapiens,9606.0,,Microsomes
118,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,17322,B,,,,,,
119,Inhibitory concentration against 2008 (ovarian) cells,,2008,388.0,,17072,F,,,Homo sapiens,9606.0,,
120,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,2008,388.0,,16936,F,,,Homo sapiens,9606.0,,
121,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,2008,388.0,,16936,F,,,Homo sapiens,9606.0,,
122,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,2008,388.0,,17146,F,,,Homo sapiens,9606.0,,
123,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,2008,388.0,,17146,F,,,Homo sapiens,9606.0,,
124,In vitro inhibition of 2008/R ovarian cancer cell line,,2008/R,561.0,,10797,F,,,Homo sapiens,9606.0,,
125,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,2008/R,561.0,,10797,F,,,Homo sapiens,9606.0,,
126,In vitro inhibition of 2008/S ovarian cancer cell line,,2008/S,389.0,,10797,F,,,Homo sapiens,9606.0,,
127,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,2008/S,389.0,,10797,F,,,Homo sapiens,9606.0,,
128,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,,,4823,B,,,Homo sapiens,9606.0,,
129,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,,,12912,B,,,Homo sapiens,9606.0,,
130,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,2957,B,,,,,,
131,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,2957,B,,,,,,
132,Inhibitory activity against 20S proteosome,,,,,3260,B,,,,,,
133,Compound was tested for inhibitory activity against tryptase,,,,,3451,B,,,Homo sapiens,9606.0,,
134,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,HepG2,726.0,,13885,F,,,Homo sapiens,9606.0,,
135,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,HepG2,726.0,,13885,F,,,Homo sapiens,9606.0,,
136,Compound was tested for the inhibition of Alpha-glucosidase,,,,,3676,B,,,,,,
137,Inhibitory concentration against human neutrophil elastase (HNE),,,,,6043,B,,,,,,
138,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,,Heart,11140,F,,,Rattus norvegicus,10116.0,,
139,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,10543,F,,,,,,
140,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,10543,F,,,,,,
141,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,10543,B,,,,,,
142,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,10543,F,,,,,,
143,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,P338,524.0,,11365,F,,,Mus musculus,10090.0,,
144,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,P338,524.0,,11365,F,,,Mus musculus,10090.0,,
145,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,PBL,554.0,,11803,F,,,Homo sapiens,9606.0,,
146,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,,,11803,F,,,Ovis aries,9940.0,,
147,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,,,11803,F,,,Ovis aries,9940.0,,
148,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,12278,B,,,,,,
149,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,,,8249,F,,,Homo sapiens,9606.0,,
150,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,,,8249,F,,,Homo sapiens,9606.0,,
151,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,CCRF-CEM,635.0,,8249,F,,,Homo sapiens,9606.0,,
152,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,CCRF-CEM,635.0,,8249,F,,,Homo sapiens,9606.0,,
153,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,CCRF-CEM,635.0,,8249,F,,,Homo sapiens,9606.0,,
154,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,CCRF-CEM,635.0,,8249,F,,,Homo sapiens,9606.0,,
155,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,,,8249,F,,,Homo sapiens,9606.0,,
156,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,,,8249,F,,,Homo sapiens,9606.0,,
157,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,16992,B,,,,,,
158,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,,,10543,F,,,Streptococcus pyogenes,1314.0,,
159,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,,,17833,F,,,Human herpesvirus 3,10335.0,,
160,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,HEL,468.0,,17290,F,,,vericilla zoster virus,10335.0,,
161,Antiviral activity against 07/1 strain of VZV; ND: No data,,,,,17290,F,,,vericilla zoster virus,10335.0,,
162,Antiviral activity against 07/1 strain of VZV; ND=No data,,,,,17290,F,,,vericilla zoster virus,10335.0,,
163,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,,,10932,F,,,escherichia cloac,561.0,,
164,Ratio of Ki at A2 to Ki at A1 receptors,,,,,9707,B,,,,,,
165,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,,,2346,B,,,Candida albicans,5476.0,,
166,"Inhibition of 1,3-beta-glucan synthase",,,,,2205,B,,,Candida glabrata CBS 138,284593.0,,
167,Inhibition of growth of 1-87 human tumor cell line,,1-87 tumor cell line,832.0,,11900,F,,,Homo sapiens,9606.0,,
168,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,,,,14864,B,,,Rattus norvegicus,10116.0,,
169,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,,,16474,B,,,Glycine max,3847.0,,
170,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,,,,16474,B,,,Glycine max,3847.0,,
171,% inhibition against soybean 1-lipoxygenase (SLO),,,,,16474,B,,,Glycine max,3847.0,,
172,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,,,,16474,B,,,Glycine max,3847.0,,
173,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,,,,3094,B,,,Glycine max,3847.0,,
174,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,,,,3094,B,,,Glycine max,3847.0,,
175,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,,,,3094,B,,,Glycine max,3847.0,,
176,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,,,,3094,B,,,Glycine max,3847.0,,
177,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,,,,3094,B,,,Glycine max,3847.0,,
178,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,,,,3094,B,,,Glycine max,3847.0,,
179,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,,,,,3094,B,,,Glycine max,3847.0,,
180,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,,,,,3094,B,,,Glycine max,3847.0,,
181,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,,,,,3094,B,,,Glycine max,3847.0,,
182,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,,,,,3094,B,,,Glycine max,3847.0,,
183,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,,,,,3094,B,,,Glycine max,3847.0,,
184,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,,,,,10413,B,,,Mus musculus,10090.0,,
185,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),,C3H 10T1/2,294.0,,16929,F,,,Mus musculus,10090.0,,
186,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,,,,,1229,F,,,,,,
187,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,16587,B,,,,,,
188,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,16587,B,,,,,,
189,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,,,,,16587,B,,,,,,
190,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,,,,,16587,B,,,,,,
191,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,,,,,16587,B,,,,,,
192,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,,,,,8058,F,,,Bos taurus,9913.0,,
193,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,,,,,9065,B,,,Rattus norvegicus,10116.0,,
194,Inhibition of 11 beta-hydroxylase from rat adrenal gland,,,,Adrenal gland,8865,B,,,Rattus norvegicus,10116.0,,
195,Inhibition of rat adrenal 11-beta-hydroxylase,,,,,9066,B,,,Rattus norvegicus,10116.0,,
196,Inhibition of rat adrenal 11-beta-hydroxylase,,,,,8394,B,,,Rattus norvegicus,10116.0,,
197,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,,,,,8394,B,,,Rattus norvegicus,10116.0,,
198,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,,,,,6431,B,,,,,,
199,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,,,,,6431,B,,,,,,
200,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,,,,,6431,B,,,,,,
201,Compound was tested for the percent of inhibition against 12-LO at 10 uM,,,,,9295,F,,,,,,
202,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,,,,,10193,B,,,,,,
203,Compound was tested in vitro for inhibition of 12-LO human platelet,,,,,13622,B,,,,,,
204,Inhibitory concentration against human platelet 12-lipoxygenase,,,,,12079,F,,,,,,
205,Compound at 100 uM was tested in vitro for inhibition of 12-LO human platelet,,,,,13622,B,,,,,,
206,Inhibitory concentration against human platelet 12-lipoxygenase,,,,,12079,F,,,Homo sapiens,9606.0,,
207,Tested for inhibition of 12-LO (12-lipoxygenase) as an inhibitor of 12(S)-HETE biosynthesis in mouse epidermal homogenates,,,,,13500,B,,,,,,
