assay_id,assay_organism,tissue_id,chembl_id,description,assay_test_type,doc_id,assay_tissue,tid,variant_id,assay_category,bao_format,src_assay_id,curated_by,assay_subcellular_fraction,assay_tax_id,assay_type,assay_strain,assay_cell_type
34,Glycine max,,CHEMBL615146,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,13622,,12054,,,BAO_0000357,,Autocuration,,3847.0,B,,
35,Glycine max,,CHEMBL615147,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,13622,,12054,,,BAO_0000357,,Autocuration,,3847.0,B,,
36,Rattus norvegicus,,CHEMBL615148,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,11347,,22226,,,BAO_0000019,,Autocuration,,10116.0,A,,
37,Escherichia coli,,CHEMBL615149,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,5926,,22226,,,BAO_0000019,,Autocuration,,562.0,B,,
38,,,CHEMBL615150,Dissociation constant with dimeric 16S rRNA RNA construct B,,4567,,22226,,,BAO_0000019,,Autocuration,,,B,,
39,,,CHEMBL615151,Dissociation constant towards 16S rRNA construct A,,3782,,22222,,,BAO_0000225,,Intermediate,,,B,,
40,,,CHEMBL615152,Dissociation constant towards 16S rRNA construct B,,3782,,22222,,,BAO_0000225,,Intermediate,,,B,,
41,Escherichia coli,,CHEMBL615153,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,4466,,100263,,,BAO_0000225,,Expert,,562.0,B,,
42,Escherichia coli,,CHEMBL615154,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,6592,,100263,,,BAO_0000225,,Expert,,562.0,B,,
43,,,CHEMBL615155,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,898,,13053,,,BAO_0000019,,Autocuration,,,B,,
44,,,CHEMBL615156,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,898,,13053,,,BAO_0000019,,Autocuration,,,B,,
45,Homo sapiens,,CHEMBL615157,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,13163,,20001,,,BAO_0000019,,Autocuration,,9606.0,B,,
46,Homo sapiens,,CHEMBL615158,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,13163,,20001,,,BAO_0000019,,Autocuration,,9606.0,B,,
47,Rattus norvegicus,,CHEMBL615159,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,10691,,12971,,,BAO_0000019,,Expert,,10116.0,B,,
48,Rattus norvegicus,,CHEMBL615172,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,10691,,12971,,,BAO_0000019,,Expert,,10116.0,B,,
49,Rattus norvegicus,,CHEMBL615173,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,10691,,12971,,,BAO_0000019,,Expert,,10116.0,B,,
50,Rattus norvegicus,,CHEMBL615174,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,10691,,12971,,,BAO_0000019,,Expert,,10116.0,B,,
51,,,CHEMBL884518,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,898,,13053,,,BAO_0000019,,Autocuration,,,B,,
52,,,CHEMBL615175,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,912,,11512,,,BAO_0000357,,Autocuration,,,B,,
53,,,CHEMBL615176,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,912,,11512,,,BAO_0000357,,Autocuration,,,B,,
54,,,CHEMBL615177,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,912,,11512,,,BAO_0000357,,Autocuration,,,B,,
55,Rattus norvegicus,,CHEMBL615178,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,15103,,104740,,,BAO_0000249,,Autocuration,Membranes,10116.0,B,,
56,Homo sapiens,,CHEMBL615179,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,5116,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
57,Rattus norvegicus,,CHEMBL615180,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,14578,,104835,,,BAO_0000219,,Autocuration,,10116.0,F,,Oocytes
58,Rattus norvegicus,,CHEMBL615181,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,14578,,104821,,,BAO_0000219,,Autocuration,,10116.0,F,,Oocytes
59,Rattus norvegicus,,CHEMBL615182,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,14578,,104848,,,BAO_0000219,,Autocuration,,10116.0,F,,Oocytes
60,Homo sapiens,,CHEMBL615183,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,4787,,80002,,,BAO_0000219,,Expert,,9606.0,F,,1A9
61,Homo sapiens,,CHEMBL615184,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,4787,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
62,Homo sapiens,,CHEMBL615185,Cytotoxic activity against human ovarian cancer (1A9) cell line,,3547,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
63,Homo sapiens,,CHEMBL615186,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,3547,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
64,Homo sapiens,,CHEMBL615187,Effective dose of compound against replication of 1A9 cell line was evaluated,,6726,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
65,Homo sapiens,,CHEMBL885343,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,3455,,80002,,,BAO_0000219,,Expert,,9606.0,F,,1A9
66,Homo sapiens,,CHEMBL615188,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,5726,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
67,Homo sapiens,,CHEMBL615189,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,5726,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
68,Homo sapiens,,CHEMBL615190,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,5726,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
69,Homo sapiens,,CHEMBL615191,Inhibitory activity against Taxol resistant 1A9 cell lines,,3395,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
70,Homo sapiens,,CHEMBL615192,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,3415,,80002,,,BAO_0000219,,Expert,,9606.0,F,,1A9
71,Homo sapiens,,CHEMBL827083,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,3415,,80002,,,BAO_0000219,,Expert,,9606.0,F,,1A9
72,Homo sapiens,,CHEMBL615193,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,17099,,80002,,,BAO_0000219,,Expert,,9606.0,F,,1A9
73,Homo sapiens,,CHEMBL615194,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,17099,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
74,Homo sapiens,,CHEMBL615195,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,17099,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
75,Homo sapiens,,CHEMBL615196,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,17099,,80002,,,BAO_0000219,,Intermediate,,9606.0,F,,1A9
76,Homo sapiens,,CHEMBL615197,Inhibitory concentration against Jurkat cells,,17721,,81072,,,BAO_0000219,,Intermediate,,9606.0,F,,Jurkat
77,,,CHEMBL615198,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,1229,,22226,,,BAO_0000019,,Intermediate,,,F,,
78,Rattus norvegicus,,CHEMBL615199,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,11347,,100121,,,BAO_0000357,,Expert,,10116.0,A,,
79,,,CHEMBL615200,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,17117,,11231,,,BAO_0000357,,Expert,,,B,,
80,,,CHEMBL615201,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,17117,,11231,,,BAO_0000357,,Expert,,,B,,
81,,,CHEMBL615202,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,17117,,11231,,,BAO_0000357,,Expert,,,B,,
82,Candida albicans,,CHEMBL615203,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,11375,,11231,,,BAO_0000251,,Autocuration,Microsomes,5476.0,B,,
83,Candida albicans,,CHEMBL615204,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,11375,,11231,,,BAO_0000251,,Autocuration,Microsomes,5476.0,B,,
84,Saccharomyces cerevisiae,,CHEMBL615205,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,11375,,11231,,,BAO_0000251,,Autocuration,Microsomes,4932.0,B,,
85,Saccharomyces cerevisiae,,CHEMBL615206,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,11375,,11231,,,BAO_0000251,,Autocuration,Microsomes,4932.0,B,,
86,Sus scrofa,2107.0,CHEMBL615207,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,11375,Liver,12083,,,BAO_0000251,,Autocuration,Microsomes,9823.0,B,,
87,Rattus norvegicus,,CHEMBL827084,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,791,,11231,,,BAO_0000019,,Autocuration,,10116.0,B,,
88,Rattus norvegicus,,CHEMBL615208,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,791,,11231,,,BAO_0000019,,Autocuration,,10116.0,B,,
89,Rattus norvegicus,,CHEMBL615209,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,791,,11231,,,BAO_0000019,,Autocuration,,10116.0,B,,
90,Rattus norvegicus,2107.0,CHEMBL615210,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,11375,Liver,12083,,,BAO_0000251,,Autocuration,Microsomes,10116.0,B,,
91,Rattus norvegicus,2107.0,CHEMBL615211,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,11375,Liver,12083,,,BAO_0000251,,Autocuration,Microsomes,10116.0,B,,
92,Rattus norvegicus,2107.0,CHEMBL615212,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,153,Liver,12083,,,BAO_0000251,,Autocuration,Microsomes,10116.0,B,,
93,,,CHEMBL615213,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,8269,,11377,,,BAO_0000357,,Expert,,,B,,
94,,,CHEMBL615273,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,8269,,11377,,,BAO_0000357,,Expert,,,B,,
95,Homo sapiens,,CHEMBL615274,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,17653,,81020,,,BAO_0000219,,Expert,,9606.0,F,,HepG2
96,Homo sapiens,,CHEMBL615275,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,14277,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
97,Homo sapiens,,CHEMBL615276,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,1717,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
98,Homo sapiens,,CHEMBL615277,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,14091,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
99,Homo sapiens,,CHEMBL615326,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,14091,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
100,Hepatitis B virus,,CHEMBL883130,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,17653,,50606,,,BAO_0000218,,Expert,,10407.0,F,,
101,Homo sapiens,,CHEMBL884519,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,13105,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
102,Homo sapiens,,CHEMBL615327,Concentration required to inhibit 50% of 2.2.15 cell line,,1717,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
103,Homo sapiens,,CHEMBL615328,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,13105,,81020,,,BAO_0000219,,Intermediate,,9606.0,A,,HepG2
104,Homo sapiens,,CHEMBL615329,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,13600,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
105,Homo sapiens,,CHEMBL615330,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,13467,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
106,Hepatitis B virus,,CHEMBL615331,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,17477,,50606,,,BAO_0000218,,Expert,,10407.0,F,,2.2.15
107,Homo sapiens,,CHEMBL615332,In vitro anti-HBV activity in 2.2.15 cells,,1593,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
108,Homo sapiens,,CHEMBL615333,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,1593,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
109,Homo sapiens,,CHEMBL615334,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,15089,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
110,Homo sapiens,,CHEMBL615335,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,15089,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
111,Homo sapiens,,CHEMBL615336,Cytotoxicity in 2.2.15 cells,,1593,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
112,Homo sapiens,,CHEMBL615337,Cytotoxicity in 2.2.15 cells; Not determined,,1593,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
113,Homo sapiens,,CHEMBL615338,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,13600,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
114,Homo sapiens,,CHEMBL615339,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,13467,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
115,Homo sapiens,,CHEMBL615340,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,13467,,50587,,,BAO_0000218,,Intermediate,,9606.0,F,,2.2.15
116,Homo sapiens,,CHEMBL615341,Antiviral activity against HBV was determined in 2.215 cell line,,14764,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
117,Homo sapiens,,CHEMBL615342,Inhibition of 20-HETE synthesis in human renal microsomes,,6531,,22226,,,BAO_0000251,,Autocuration,Microsomes,9606.0,B,,
118,,,CHEMBL615343,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,17322,,22226,,,BAO_0000019,,Autocuration,,,B,,
119,Homo sapiens,,CHEMBL615344,Inhibitory concentration against 2008 (ovarian) cells,,17072,,80612,,,BAO_0000219,,Intermediate,,9606.0,F,,2008
120,Homo sapiens,,CHEMBL615345,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,16936,,80612,,,BAO_0000219,,Intermediate,,9606.0,F,,2008
121,Homo sapiens,,CHEMBL615346,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,16936,,80612,,,BAO_0000219,,Intermediate,,9606.0,F,,2008
122,Homo sapiens,,CHEMBL615347,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,17146,,80612,,,BAO_0000219,,Intermediate,,9606.0,F,,2008
123,Homo sapiens,,CHEMBL615348,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,17146,,80612,,,BAO_0000219,,Intermediate,,9606.0,F,,2008
124,Homo sapiens,,CHEMBL827085,In vitro inhibition of 2008/R ovarian cancer cell line,,10797,,80613,,,BAO_0000219,,Intermediate,,9606.0,F,,2008/R
125,Homo sapiens,,CHEMBL615349,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,10797,,80613,,,BAO_0000219,,Intermediate,,9606.0,F,,2008/R
126,Homo sapiens,,CHEMBL615350,In vitro inhibition of 2008/S ovarian cancer cell line,,10797,,80614,,,BAO_0000219,,Intermediate,,9606.0,F,,2008/S
127,Homo sapiens,,CHEMBL615351,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,10797,,80614,,,BAO_0000219,,Intermediate,,9606.0,F,,2008/S
128,Homo sapiens,,CHEMBL615352,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,4823,,100256,,,BAO_0000220,,Expert,,9606.0,B,,
129,Homo sapiens,,CHEMBL615353,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,12912,,100256,,,BAO_0000220,,Intermediate,,9606.0,B,,
130,,,CHEMBL615354,Inhibition of chymotrypsin-like activity of 20S proteasome,,2957,,100256,,,BAO_0000220,,Expert,,,B,,
131,,,CHEMBL615355,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,2957,,100256,,,BAO_0000220,,Expert,,,B,,
132,,,CHEMBL615356,Inhibitory activity against 20S proteosome,,3260,,100256,,,BAO_0000220,,Intermediate,,,B,,
133,Homo sapiens,,CHEMBL615357,Compound was tested for inhibitory activity against tryptase,,3451,,22226,,,BAO_0000019,,Autocuration,,9606.0,B,,
134,Homo sapiens,,CHEMBL615358,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,13885,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
135,Homo sapiens,,CHEMBL827086,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,13885,,81020,,,BAO_0000219,,Intermediate,,9606.0,F,,HepG2
136,,,CHEMBL615359,Compound was tested for the inhibition of Alpha-glucosidase,,3676,,22226,,,BAO_0000019,,Autocuration,,,B,,
137,,,CHEMBL615360,Inhibitory concentration against human neutrophil elastase (HNE),,6043,,235,,,BAO_0000357,,Autocuration,,,B,,
138,Rattus norvegicus,948.0,CHEMBL615361,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,11140,Heart,22226,,,BAO_0000218,,Autocuration,,10116.0,F,,
139,,,CHEMBL615362,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,10543,,19640,,,BAO_0000019,,Autocuration,,,F,,
140,,,CHEMBL615363,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,10543,,19640,,,BAO_0000019,,Expert,,,F,,
141,,,CHEMBL615364,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,10543,,19640,,,BAO_0000357,,Autocuration,,,B,,
142,,,CHEMBL615365,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,10543,,19640,,,BAO_0000019,,Expert,,,F,,
143,Mus musculus,,CHEMBL615366,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,11365,,80360,,,BAO_0000219,,Intermediate,,10090.0,F,,P338
144,Mus musculus,,CHEMBL615367,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,11365,,80360,,,BAO_0000219,,Intermediate,,10090.0,F,,P338
145,Homo sapiens,,CHEMBL615368,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,11803,,80384,,,BAO_0000219,,Intermediate,,9606.0,F,,PBL
146,Ovis aries,,CHEMBL615369,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,11803,,22226,,,BAO_0000019,,Autocuration,,9940.0,F,,
147,Ovis aries,,CHEMBL615370,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,11803,,22226,,,BAO_0000019,,Autocuration,,9940.0,F,,
148,,,CHEMBL615673,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,12278,,191,,,BAO_0000357,,Autocuration,,,B,,
149,Homo sapiens,,CHEMBL615674,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,8249,,22226,,,BAO_0000019,,Autocuration,,9606.0,F,,
150,Homo sapiens,,CHEMBL615675,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,8249,,22226,,,BAO_0000019,,Autocuration,,9606.0,F,,
