assays_ASI,assays_Desc,assays_CUB,assays_ASSTI,assays_SASI,assays_ASSTY,assays_ASSSTR,assays_BFOR,assays_DI,assays_ASSUBCFRAC,assays_CI,assays_SI,assays_CHEI,assays_ASSCT,assays_ASSCA,assays_ASORG,assays_RELTY,assays_CONFISCO,assays_TII,assays_VARII
64,Effective dose of compound against replication of 1A9 cell line was evaluated,Intermediate,9606.0,,F,,BAO_0000219,6726,,506.0,1,CHEMBL615187,1A9,,Homo sapiens,N,1,,
65,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,Expert,9606.0,,F,,BAO_0000219,3455,,506.0,1,CHEMBL885343,1A9,,Homo sapiens,N,1,,
66,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),Intermediate,9606.0,,F,,BAO_0000219,5726,,506.0,1,CHEMBL615188,1A9,,Homo sapiens,N,1,,
67,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,Intermediate,9606.0,,F,,BAO_0000219,5726,,506.0,1,CHEMBL615189,1A9,,Homo sapiens,N,1,,
68,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,Intermediate,9606.0,,F,,BAO_0000219,5726,,506.0,1,CHEMBL615190,1A9,,Homo sapiens,N,1,,
69,Inhibitory activity against Taxol resistant 1A9 cell lines,Intermediate,9606.0,,F,,BAO_0000219,3395,,506.0,1,CHEMBL615191,1A9,,Homo sapiens,N,1,,
70,Cytotoxicity against human ovarian cancer (1A9) cell lines.,Expert,9606.0,,F,,BAO_0000219,3415,,506.0,1,CHEMBL615192,1A9,,Homo sapiens,N,1,,
71,Percentage inhibition of human ovarian cancer (1A9) cell lines.,Expert,9606.0,,F,,BAO_0000219,3415,,506.0,1,CHEMBL827083,1A9,,Homo sapiens,N,1,,
72,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,Expert,9606.0,,F,,BAO_0000219,17099,,506.0,1,CHEMBL615193,1A9,,Homo sapiens,N,1,,
73,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,Intermediate,9606.0,,F,,BAO_0000219,17099,,506.0,1,CHEMBL615194,1A9,,Homo sapiens,N,1,,
74,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,Intermediate,9606.0,,F,,BAO_0000219,17099,,506.0,1,CHEMBL615195,1A9,,Homo sapiens,N,1,,
75,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,Intermediate,9606.0,,F,,BAO_0000219,17099,,506.0,1,CHEMBL615196,1A9,,Homo sapiens,N,1,,
76,Inhibitory concentration against Jurkat cells,Intermediate,9606.0,,F,,BAO_0000219,17721,,503.0,1,CHEMBL615197,Jurkat,,Homo sapiens,N,1,,
77,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,Intermediate,,,F,,BAO_0000019,1229,,,1,CHEMBL615198,,,,U,0,,
78,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,Expert,10116.0,,A,,BAO_0000357,11347,,,1,CHEMBL615199,,,Rattus norvegicus,D,9,,
79,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,B,,BAO_0000357,17117,,,1,CHEMBL615200,,,,H,8,,
80,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,B,,BAO_0000357,17117,,,1,CHEMBL615201,,,,H,8,,
81,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",Expert,,,B,,BAO_0000357,17117,,,1,CHEMBL615202,,,,H,8,,
82,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Autocuration,5476.0,,B,,BAO_0000251,11375,Microsomes,,1,CHEMBL615203,,,Candida albicans,H,8,,
83,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Autocuration,5476.0,,B,,BAO_0000251,11375,Microsomes,,1,CHEMBL615204,,,Candida albicans,H,8,,
84,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Autocuration,4932.0,,B,,BAO_0000251,11375,Microsomes,,1,CHEMBL615205,,,Saccharomyces cerevisiae,H,8,,
85,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Autocuration,4932.0,,B,,BAO_0000251,11375,Microsomes,,1,CHEMBL615206,,,Saccharomyces cerevisiae,H,8,,
86,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Autocuration,9823.0,,B,,BAO_0000251,11375,Microsomes,,1,CHEMBL615207,,,Sus scrofa,H,8,2107.0,
87,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",Autocuration,10116.0,,B,,BAO_0000019,791,,,1,CHEMBL827084,,,Rattus norvegicus,H,8,,
88,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",Autocuration,10116.0,,B,,BAO_0000019,791,,,1,CHEMBL615208,,,Rattus norvegicus,H,8,,
89,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",Autocuration,10116.0,,B,,BAO_0000019,791,,,1,CHEMBL615209,,,Rattus norvegicus,H,8,,
90,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Autocuration,10116.0,,B,,BAO_0000251,11375,Microsomes,,1,CHEMBL615210,,,Rattus norvegicus,D,9,2107.0,
91,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,10116.0,,B,,BAO_0000251,11375,Microsomes,,1,CHEMBL615211,,,Rattus norvegicus,D,9,2107.0,
92,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,10116.0,,B,,BAO_0000251,153,Microsomes,,1,CHEMBL615212,,,Rattus norvegicus,D,9,2107.0,
93,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),Expert,,,B,,BAO_0000357,8269,,,1,CHEMBL615213,,,,H,8,,
94,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,Expert,,,B,,BAO_0000357,8269,,,1,CHEMBL615273,,,,H,8,,
95,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,9606.0,,F,,BAO_0000219,17653,,726.0,1,CHEMBL615274,HepG2,,Homo sapiens,N,1,,
96,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,Intermediate,9606.0,,F,,BAO_0000219,14277,,726.0,1,CHEMBL615275,HepG2,,Homo sapiens,N,1,,
97,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,Intermediate,9606.0,,F,,BAO_0000219,1717,,726.0,1,CHEMBL615276,HepG2,,Homo sapiens,N,1,,
98,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,Intermediate,9606.0,,F,,BAO_0000219,14091,,726.0,1,CHEMBL615277,HepG2,,Homo sapiens,N,1,,
99,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,Intermediate,9606.0,,F,,BAO_0000219,14091,,726.0,1,CHEMBL615326,HepG2,,Homo sapiens,N,1,,
100,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,10407.0,,F,,BAO_0000218,17653,,,1,CHEMBL883130,,,Hepatitis B virus,N,1,,
101,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,Intermediate,9606.0,,F,,BAO_0000219,13105,,726.0,1,CHEMBL884519,HepG2,,Homo sapiens,N,1,,
102,Concentration required to inhibit 50% of 2.2.15 cell line,Intermediate,9606.0,,F,,BAO_0000219,1717,,726.0,1,CHEMBL615327,HepG2,,Homo sapiens,N,1,,
103,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,Intermediate,9606.0,,A,,BAO_0000219,13105,,726.0,1,CHEMBL615328,HepG2,,Homo sapiens,N,1,,
104,Cytotoxic activity of compound against uninfected 2.2.15 cells.,Intermediate,9606.0,,F,,BAO_0000218,13600,,,1,CHEMBL615329,2.2.15,,Homo sapiens,N,1,,
105,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,Intermediate,9606.0,,F,,BAO_0000218,13467,,,1,CHEMBL615330,2.2.15,,Homo sapiens,N,1,,
106,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",Expert,10407.0,,F,,BAO_0000218,17477,,,1,CHEMBL615331,2.2.15,,Hepatitis B virus,N,1,,
107,In vitro anti-HBV activity in 2.2.15 cells,Intermediate,9606.0,,F,,BAO_0000218,1593,,,1,CHEMBL615332,2.2.15,,Homo sapiens,N,1,,
108,In vitro anti-HBV activity in 2.2.15 cells; Not determined,Intermediate,9606.0,,F,,BAO_0000218,1593,,,1,CHEMBL615333,2.2.15,,Homo sapiens,N,1,,
109,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,Intermediate,9606.0,,F,,BAO_0000218,15089,,,1,CHEMBL615334,2.2.15,,Homo sapiens,N,1,,
110,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,Intermediate,9606.0,,F,,BAO_0000218,15089,,,1,CHEMBL615335,2.2.15,,Homo sapiens,N,1,,
111,Cytotoxicity in 2.2.15 cells,Intermediate,9606.0,,F,,BAO_0000218,1593,,,1,CHEMBL615336,2.2.15,,Homo sapiens,N,1,,
112,Cytotoxicity in 2.2.15 cells; Not determined,Intermediate,9606.0,,F,,BAO_0000218,1593,,,1,CHEMBL615337,2.2.15,,Homo sapiens,N,1,,
113,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,Intermediate,9606.0,,F,,BAO_0000218,13600,,,1,CHEMBL615338,2.2.15,,Homo sapiens,N,1,,
114,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,Intermediate,9606.0,,F,,BAO_0000218,13467,,,1,CHEMBL615339,2.2.15,,Homo sapiens,N,1,,
115,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,Intermediate,9606.0,,F,,BAO_0000218,13467,,,1,CHEMBL615340,2.2.15,,Homo sapiens,N,1,,
116,Antiviral activity against HBV was determined in 2.215 cell line,Intermediate,9606.0,,F,,BAO_0000219,14764,,726.0,1,CHEMBL615341,HepG2,,Homo sapiens,N,1,,
117,Inhibition of 20-HETE synthesis in human renal microsomes,Autocuration,9606.0,,B,,BAO_0000251,6531,Microsomes,,1,CHEMBL615342,,,Homo sapiens,U,0,,
118,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,Autocuration,,,B,,BAO_0000019,17322,,,1,CHEMBL615343,,,,U,0,,
119,Inhibitory concentration against 2008 (ovarian) cells,Intermediate,9606.0,,F,,BAO_0000219,17072,,388.0,1,CHEMBL615344,2008,,Homo sapiens,N,1,,
120,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,Intermediate,9606.0,,F,,BAO_0000219,16936,,388.0,1,CHEMBL615345,2008,,Homo sapiens,N,1,,
121,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),Intermediate,9606.0,,F,,BAO_0000219,16936,,388.0,1,CHEMBL615346,2008,,Homo sapiens,N,1,,
122,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,Intermediate,9606.0,,F,,BAO_0000219,17146,,388.0,1,CHEMBL615347,2008,,Homo sapiens,N,1,,
123,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,Intermediate,9606.0,,F,,BAO_0000219,17146,,388.0,1,CHEMBL615348,2008,,Homo sapiens,N,1,,
124,In vitro inhibition of 2008/R ovarian cancer cell line,Intermediate,9606.0,,F,,BAO_0000219,10797,,561.0,1,CHEMBL827085,2008/R,,Homo sapiens,N,1,,
125,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,Intermediate,9606.0,,F,,BAO_0000219,10797,,561.0,1,CHEMBL615349,2008/R,,Homo sapiens,N,1,,
126,In vitro inhibition of 2008/S ovarian cancer cell line,Intermediate,9606.0,,F,,BAO_0000219,10797,,389.0,1,CHEMBL615350,2008/S,,Homo sapiens,N,1,,
127,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,Intermediate,9606.0,,F,,BAO_0000219,10797,,389.0,1,CHEMBL615351,2008/S,,Homo sapiens,N,1,,
128,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,Expert,9606.0,,B,,BAO_0000220,4823,,,1,CHEMBL615352,,,Homo sapiens,S,2,,
129,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,Intermediate,9606.0,,B,,BAO_0000220,12912,,,1,CHEMBL615353,,,Homo sapiens,S,2,,
130,Inhibition of chymotrypsin-like activity of 20S proteasome,Expert,,,B,,BAO_0000220,2957,,,1,CHEMBL615354,,,,S,2,,
131,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,Expert,,,B,,BAO_0000220,2957,,,1,CHEMBL615355,,,,S,2,,
132,Inhibitory activity against 20S proteosome,Intermediate,,,B,,BAO_0000220,3260,,,1,CHEMBL615356,,,,S,2,,
133,Compound was tested for inhibitory activity against tryptase,Autocuration,9606.0,,B,,BAO_0000019,3451,,,1,CHEMBL615357,,,Homo sapiens,U,0,,
134,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,Intermediate,9606.0,,F,,BAO_0000219,13885,,726.0,1,CHEMBL615358,HepG2,,Homo sapiens,N,1,,
135,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,Intermediate,9606.0,,F,,BAO_0000219,13885,,726.0,1,CHEMBL827086,HepG2,,Homo sapiens,N,1,,
136,Compound was tested for the inhibition of Alpha-glucosidase,Autocuration,,,B,,BAO_0000019,3676,,,1,CHEMBL615359,,,,U,0,,
137,Inhibitory concentration against human neutrophil elastase (HNE),Autocuration,,,B,,BAO_0000357,6043,,,1,CHEMBL615360,,,,H,8,,
138,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Autocuration,10116.0,,F,,BAO_0000218,11140,,,1,CHEMBL615361,,,Rattus norvegicus,U,0,948.0,
139,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,Autocuration,,,F,,BAO_0000019,10543,,,1,CHEMBL615362,,,,H,8,,
140,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,Expert,,,F,,BAO_0000019,10543,,,1,CHEMBL615363,,,,H,8,,
141,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,Autocuration,,,B,,BAO_0000357,10543,,,1,CHEMBL615364,,,,H,8,,
142,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,Expert,,,F,,BAO_0000019,10543,,,1,CHEMBL615365,,,,H,8,,
143,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,Intermediate,10090.0,,F,,BAO_0000219,11365,,524.0,1,CHEMBL615366,P338,,Mus musculus,N,1,,
144,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,Intermediate,10090.0,,F,,BAO_0000219,11365,,524.0,1,CHEMBL615367,P338,,Mus musculus,N,1,,
145,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,Intermediate,9606.0,,F,,BAO_0000219,11803,,554.0,1,CHEMBL615368,PBL,,Homo sapiens,N,1,,
