assay_id,src_id,assay_tax_id,assay_cell_type,relationship_type,curated_by,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_strain,assay_tissue
38,1,,,U,Autocuration,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,1,,,M,Intermediate,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,1,,,M,Intermediate,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,1,562.0,,M,Expert,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,,
42,1,562.0,,M,Expert,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,,
43,1,,,H,Autocuration,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,1,,,H,Autocuration,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,1,9606.0,,H,Autocuration,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,,
46,1,9606.0,,H,Autocuration,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,,
47,1,10116.0,,D,Expert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,,
48,1,10116.0,,D,Expert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,,
49,1,10116.0,,D,Expert,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,,
50,1,10116.0,,D,Expert,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,,
51,1,,,H,Autocuration,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,1,,,H,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,1,,,H,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,1,,,H,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,1,10116.0,,D,Autocuration,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,,
56,1,9606.0,1A9,N,Intermediate,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,,
57,1,10116.0,Oocytes,D,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,,
58,1,10116.0,Oocytes,D,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,,
59,1,10116.0,Oocytes,D,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,,
60,1,9606.0,1A9,N,Expert,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,,
61,1,9606.0,1A9,N,Intermediate,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,,
62,1,9606.0,1A9,N,Intermediate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,,
63,1,9606.0,1A9,N,Intermediate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,,
64,1,9606.0,1A9,N,Intermediate,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,,
65,1,9606.0,1A9,N,Expert,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,,
66,1,9606.0,1A9,N,Intermediate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,,
67,1,9606.0,1A9,N,Intermediate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,,
68,1,9606.0,1A9,N,Intermediate,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,,
69,1,9606.0,1A9,N,Intermediate,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,,
70,1,9606.0,1A9,N,Expert,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,,
71,1,9606.0,1A9,N,Expert,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,,
72,1,9606.0,1A9,N,Expert,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,Homo sapiens,,
73,1,9606.0,1A9,N,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,Homo sapiens,,
74,1,9606.0,1A9,N,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,,
75,1,9606.0,1A9,N,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,,
76,1,9606.0,Jurkat,N,Intermediate,17721,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,,
77,1,,,U,Intermediate,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,1,10116.0,,D,Expert,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,,
79,1,,,H,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,1,,,H,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,1,,,H,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,1,5476.0,,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,,
83,1,5476.0,,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,,
84,1,4932.0,,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,,
85,1,4932.0,,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,,
86,1,9823.0,,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,,Liver
87,1,10116.0,,H,Autocuration,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,,
88,1,10116.0,,H,Autocuration,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,,
89,1,10116.0,,H,Autocuration,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,,
90,1,10116.0,,D,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,,Liver
91,1,10116.0,,D,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,,Liver
92,1,10116.0,,D,Autocuration,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,,Liver
93,1,,,H,Expert,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,1,,,H,Expert,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,1,9606.0,HepG2,N,Expert,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,,
96,1,9606.0,HepG2,N,Intermediate,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,,
97,1,9606.0,HepG2,N,Intermediate,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,,
98,1,9606.0,HepG2,N,Intermediate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,,
99,1,9606.0,HepG2,N,Intermediate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,,
100,1,10407.0,,N,Expert,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,,
101,1,9606.0,HepG2,N,Intermediate,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,,
102,1,9606.0,HepG2,N,Intermediate,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,,
103,1,9606.0,HepG2,N,Intermediate,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,,
104,1,9606.0,2.2.15,N,Intermediate,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,,
105,1,9606.0,2.2.15,N,Intermediate,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,,
106,1,10407.0,2.2.15,N,Expert,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,,
107,1,9606.0,2.2.15,N,Intermediate,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,,
108,1,9606.0,2.2.15,N,Intermediate,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,,
109,1,9606.0,2.2.15,N,Intermediate,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,,
110,1,9606.0,2.2.15,N,Intermediate,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,,
111,1,9606.0,2.2.15,N,Intermediate,1593,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,,
112,1,9606.0,2.2.15,N,Intermediate,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,,
113,1,9606.0,2.2.15,N,Intermediate,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,,
114,1,9606.0,2.2.15,N,Intermediate,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,,
115,1,9606.0,2.2.15,N,Intermediate,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,,
116,1,9606.0,HepG2,N,Intermediate,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,,
117,1,9606.0,,U,Autocuration,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,,
118,1,,,U,Autocuration,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,1,9606.0,2008,N,Intermediate,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,,
120,1,9606.0,2008,N,Intermediate,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,,
121,1,9606.0,2008,N,Intermediate,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,,
122,1,9606.0,2008,N,Intermediate,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,,
123,1,9606.0,2008,N,Intermediate,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,,
124,1,9606.0,2008/R,N,Intermediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,,
125,1,9606.0,2008/R,N,Intermediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,,
126,1,9606.0,2008/S,N,Intermediate,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,,
127,1,9606.0,2008/S,N,Intermediate,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,,
128,1,9606.0,,S,Expert,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,,
129,1,9606.0,,S,Intermediate,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,,
130,1,,,S,Expert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,1,,,S,Expert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,1,,,S,Intermediate,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,1,9606.0,,U,Autocuration,3451,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,,
134,1,9606.0,HepG2,N,Intermediate,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,,
135,1,9606.0,HepG2,N,Intermediate,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,,
136,1,,,U,Autocuration,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,1,,,H,Autocuration,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,1,10116.0,,U,Autocuration,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,,Heart
139,1,,,H,Autocuration,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,1,,,H,Expert,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,1,,,H,Autocuration,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,1,,,H,Expert,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,1,10090.0,P338,N,Intermediate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,,
144,1,10090.0,P338,N,Intermediate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,,
145,1,9606.0,PBL,N,Intermediate,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,,
146,1,9940.0,,U,Autocuration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,,
147,1,9940.0,,U,Autocuration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,,
148,1,,,H,Autocuration,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,1,9606.0,,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,,
150,1,9606.0,,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,,
151,1,9606.0,CCRF-CEM,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,,
152,1,9606.0,CCRF-CEM,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,,
153,1,9606.0,CCRF-CEM,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,,
154,1,9606.0,CCRF-CEM,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,,
155,1,9606.0,,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,,
156,1,9606.0,,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,,
157,1,,,H,Autocuration,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,1,1314.0,,N,Intermediate,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,,
159,1,10335.0,,N,Intermediate,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,,
160,1,10335.0,HEL,N,Expert,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,vericilla zoster virus,,
161,1,10335.0,,N,Intermediate,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,vericilla zoster virus,,
162,1,10335.0,,N,Intermediate,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,vericilla zoster virus,,
163,1,561.0,,N,Intermediate,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,,
164,1,,,U,Autocuration,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,1,5476.0,,H,Expert,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,,
166,1,284593.0,,H,Expert,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,,
167,1,9606.0,1-87 tumor cell line,N,Intermediate,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,,
168,1,10116.0,,D,Expert,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,,
169,1,3847.0,,D,Autocuration,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,,
170,1,3847.0,,D,Autocuration,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,,
171,1,3847.0,,D,Autocuration,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,,
172,1,3847.0,,D,Autocuration,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,,
173,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,,
174,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,Glycine max,,
175,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,Glycine max,,
176,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,Glycine max,,
177,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,Glycine max,,
178,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,Glycine max,,
179,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,Glycine max,,
180,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,Glycine max,,
181,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,Glycine max,,
182,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,Glycine max,,
183,1,3847.0,,D,Autocuration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,Glycine max,,
184,1,10090.0,,U,Autocuration,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,Mus musculus,,
185,1,10090.0,C3H 10T1/2,N,Intermediate,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,,Mus musculus,,
186,1,,,U,Intermediate,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,
187,1,,,H,Autocuration,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
188,1,,,H,Autocuration,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
189,1,,,H,Autocuration,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,,,
190,1,,,H,Autocuration,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,,,
