rating,length,release_year,description,title,rental_duration,replacement_cost,film_id,language_id,rental_rate,original_language_id
R,82,2006,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,ALONE TRIP,3,14.99,17,1,0.99,
PG-13,57,2006,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,ALTER VICTORY,6,27.99,18,1,0.99,
PG,113,2006,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,AMADEUS HOLY,6,20.99,19,1,0.99,
R,79,2006,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,AMELIE HELLFIGHTERS,4,23.99,20,1,4.99,
R,129,2006,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,AMERICAN CIRCUS,3,17.99,21,1,4.99,
G,85,2006,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,AMISTAD MIDSUMMER,6,10.99,22,1,2.99,
R,92,2006,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,ANACONDA CONFESSIONS,3,9.99,23,1,0.99,
R,181,2006,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,ANALYZE HOOSIERS,6,19.99,24,1,2.99,
G,74,2006,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,ANGELS LIFE,3,15.99,25,1,2.99,
G,86,2006,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,ANNIE IDENTITY,3,15.99,26,1,0.99,
NC-17,179,2006,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,ANONYMOUS HUMAN,7,12.99,27,1,0.99,
PG-13,91,2006,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,ANTHEM LUKE,5,16.99,28,1,4.99,
NC-17,168,2006,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,ANTITRUST TOMATOES,5,11.99,29,1,2.99,
R,82,2006,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,ANYTHING SAVANNAH,4,27.99,30,1,2.99,
NC-17,92,2006,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,APACHE DIVINE,5,16.99,31,1,4.99,
R,119,2006,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,APOCALYPSE FLAMINGOS,6,11.99,32,1,4.99,
PG-13,153,2006,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,APOLLO TEEN,5,15.99,33,1,2.99,
NC-17,62,2006,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,ARABIA DOGMA,6,29.99,34,1,0.99,
PG-13,147,2006,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,ARACHNOPHOBIA ROLLERCOASTER,4,24.99,35,1,2.99,
PG-13,127,2006,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,ARGONAUTS TOWN,7,12.99,36,1,0.99,
PG,121,2006,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,ARIZONA BANG,3,28.99,37,1,2.99,
NC-17,68,2006,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,ARK RIDGEMONT,6,25.99,38,1,0.99,
G,99,2006,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,ARMAGEDDON LOST,5,10.99,39,1,0.99,
R,148,2006,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,ARMY FLINTSTONES,4,22.99,40,1,0.99,
PG,137,2006,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,ARSENIC INDEPENDENCE,4,17.99,41,1,0.99,
NC-17,170,2006,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,ARTIST COLDBLOODED,5,10.99,42,1,2.99,
G,170,2006,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,ATLANTIS CAUSE,6,15.99,43,1,2.99,
PG-13,113,2006,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,ATTACKS HATE,5,21.99,44,1,4.99,
PG-13,83,2006,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,ATTRACTION NEWTON,5,14.99,45,1,4.99,
G,108,2006,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,AUTUMN CROW,3,13.99,46,1,4.99,
NC-17,153,2006,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,BABY HALL,5,23.99,47,1,4.99,
PG-13,118,2006,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,BACKLASH UNDEFEATED,3,24.99,48,1,4.99,
R,162,2006,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,BADMAN DAWN,6,22.99,49,1,2.99,
G,182,2006,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,BAKED CLEOPATRA,3,20.99,50,1,2.99,
NC-17,75,2006,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,BALLOON HOMEWARD,5,10.99,51,1,2.99,
G,173,2006,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,BALLROOM MOCKINGBIRD,6,29.99,52,1,0.99,
NC-17,87,2006,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,BANG KWAI,5,25.99,53,1,2.99,
R,113,2006,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,BANGER PINOCCHIO,5,15.99,54,1,0.99,
G,65,2006,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,BARBARELLA STREETCAR,6,27.99,55,1,2.99,
G,129,2006,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,BAREFOOT MANCHURIAN,6,15.99,56,1,2.99,
PG-13,90,2006,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,BASIC EASY,4,18.99,57,1,2.99,
G,122,2006,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,BEACH HEARTBREAKERS,6,16.99,58,1,2.99,
R,160,2006,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,BEAR GRACELAND,4,20.99,59,1,2.99,
R,89,2006,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,BEAST HUNCHBACK,3,22.99,60,1,4.99,
G,175,2006,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,BEAUTY GREASE,5,28.99,61,1,4.99,
NC-17,106,2006,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,BED HIGHBALL,5,23.99,62,1,2.99,
PG,73,2006,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,BEDAZZLED MARRIED,6,21.99,63,1,0.99,
PG-13,151,2006,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,BEETHOVEN EXORCIST,6,26.99,64,1,0.99,
PG,100,2006,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,BEHAVIOR RUNAWAY,3,20.99,65,1,4.99,
NC-17,53,2006,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,BENEATH RUSH,6,27.99,66,1,0.99,
PG-13,77,2006,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,BERETS AGENT,5,24.99,67,1,2.99,
NC-17,122,2006,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,BETRAYED REAR,5,26.99,68,1,4.99,
R,85,2006,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,BEVERLY OUTLAW,3,21.99,69,1,2.99,
NC-17,142,2006,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,BIKINI BORROWERS,7,26.99,70,1,4.99,
PG-13,100,2006,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,BILKO ANONYMOUS,3,25.99,71,1,4.99,
PG,93,2006,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,BILL OTHERS,6,12.99,72,1,2.99,
PG-13,150,2006,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,BINGO TALENTED,5,22.99,73,1,2.99,
PG,162,2006,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,BIRCH ANTITRUST,4,18.99,74,1,4.99,
G,163,2006,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,BIRD INDEPENDENCE,6,14.99,75,1,4.99,
NC-17,103,2006,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,BIRDCAGE CASPER,4,23.99,76,1,0.99,
G,61,2006,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,BIRDS PERDITION,5,15.99,77,1,4.99,
PG,85,2006,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,BLACKOUT PRIVATE,7,12.99,78,1,2.99,
PG-13,114,2006,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,BLADE POLISH,5,10.99,79,1,0.99,
G,148,2006,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,BLANKET BEVERLY,7,21.99,80,1,2.99,
PG-13,103,2006,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,BLINDNESS GUN,6,29.99,81,1,4.99,
G,71,2006,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,BLOOD ARGONAUTS,3,13.99,82,1,0.99,
G,50,2006,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,BLUES INSTINCT,5,18.99,83,1,2.99,
PG,102,2006,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,BOILED DARES,7,13.99,84,1,4.99,
G,63,2006,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,BONNIE HOLOCAUST,4,29.99,85,1,0.99,
R,121,2006,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,BOOGIE AMELIE,6,11.99,86,1,4.99,
NC-17,76,2006,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,BOONDOCK BALLROOM,7,14.99,87,1,0.99,
PG,179,2006,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,BORN SPINAL,7,17.99,88,1,4.99,
G,63,2006,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,BORROWERS BEDAZZLED,7,22.99,89,1,0.99,
R,63,2006,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,BOULEVARD MOB,3,11.99,90,1,0.99,
PG,98,2006,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,BOUND CHEAPER,5,17.99,91,1,0.99,
NC-17,72,2006,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,BOWFINGER GABLES,7,19.99,92,1,4.99,
PG,121,2006,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,BRANNIGAN SUNRISE,4,27.99,93,1,4.99,
PG-13,176,2006,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,BRAVEHEART HUMAN,7,14.99,94,1,2.99,
G,123,2006,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,BREAKFAST GOLDFINGER,5,18.99,95,1,4.99,
PG-13,169,2006,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,BREAKING HOME,4,21.99,96,1,2.99,
G,56,2006,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,BRIDE INTRIGUE,7,24.99,97,1,0.99,
PG-13,73,2006,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,BRIGHT ENCOUNTERS,4,12.99,98,1,4.99,
PG,136,2006,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,BRINGING HYSTERICAL,7,14.99,99,1,2.99,
R,161,2006,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,BROOKLYN DESERT,7,21.99,100,1,4.99,
R,73,2006,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,BROTHERHOOD BLANKET,3,26.99,101,1,0.99,
R,60,2006,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,BUBBLE GROSSE,4,20.99,102,1,4.99,
PG,133,2006,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,BUCKET BROTHERHOOD,7,27.99,103,1,4.99,
G,119,2006,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,BUGSY SONG,4,17.99,104,1,2.99,
NC-17,125,2006,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,BULL SHAWSHANK,6,21.99,105,1,0.99,
G,61,2006,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,BULWORTH COMMANDMENTS,4,14.99,106,1,2.99,
G,63,2006,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,BUNCH MINDS,4,13.99,107,1,2.99,
PG-13,67,2006,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,BUTCH PANTHER,6,19.99,108,1,0.99,
G,89,2006,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,BUTTERFLY CHOCOLAT,3,17.99,109,1,0.99,
NC-17,53,2006,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,CABIN FLASH,4,25.99,110,1,0.99,
NC-17,52,2006,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,CADDYSHACK JEDI,3,17.99,111,1,0.99,
NC-17,120,2006,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,CALENDAR GUNFIGHT,4,22.99,112,1,4.99,
NC-17,75,2006,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,CALIFORNIA BIRDS,4,19.99,113,1,4.99,
NC-17,61,2006,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,CAMELOT VACATION,3,26.99,114,1,0.99,
R,167,2006,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,CAMPUS REMEMBER,5,27.99,115,1,2.99,
R,70,2006,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,CANDIDATE PERDITION,4,10.99,116,1,2.99,
NC-17,135,2006,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,CANDLES GRAPES,6,15.99,117,1,4.99,
R,85,2006,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,CANYON STOCK,7,26.99,118,1,0.99,
G,176,2006,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,CAPER MOTIONS,6,22.99,119,1,0.99,
NC-17,92,2006,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,CARIBBEAN LIBERTY,3,16.99,120,1,4.99,
PG,151,2006,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,CAROL TEXAS,4,15.99,121,1,2.99,
PG,114,2006,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,CARRIE BUNCH,7,11.99,122,1,0.99,
G,85,2006,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,CASABLANCA SUPER,6,22.99,123,1,4.99,
PG-13,163,2006,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,CASPER DRAGONFLY,3,16.99,124,1,4.99,
NC-17,61,2006,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,CASSIDY WYOMING,5,19.99,125,1,2.99,
G,179,2006,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,CASUALTIES ENCINO,3,16.99,126,1,4.99,
G,112,2006,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,CAT CONEHEADS,5,14.99,127,1,4.99,
G,183,2006,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,CATCH AMISTAD,7,10.99,128,1,0.99,
R,179,2006,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,CAUSE DATE,3,16.99,129,1,2.99,
PG-13,110,2006,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,CELEBRITY HORN,7,24.99,130,1,0.99,
PG,152,2006,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,CENTER DINOSAUR,5,12.99,131,1,4.99,
PG,114,2006,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,CHAINSAW UPTOWN,6,25.99,132,1,0.99,
NC-17,117,2006,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,CHAMBER ITALIAN,7,14.99,133,1,4.99,
PG,51,2006,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,CHAMPION FLATLINERS,4,21.99,134,1,4.99,
R,70,2006,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,CHANCE RESURRECTION,3,22.99,135,1,2.99,
NC-17,146,2006,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,CHAPLIN LICENSE,7,26.99,136,1,2.99,
PG,66,2006,A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention,CHARADE DUFFEL,3,21.99,137,1,2.99,
R,71,2006,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,CHARIOTS CONSPIRACY,5,29.99,138,1,2.99,
PG,114,2006,A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank,CHASING FIGHT,7,21.99,139,1,4.99,
G,87,2006,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,CHEAPER CLYDE,6,23.99,140,1,0.99,
PG-13,185,2006,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,CHICAGO NORTH,6,11.99,141,1,4.99,
PG,122,2006,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,CHICKEN HELLFIGHTERS,3,24.99,142,1,0.99,
PG,142,2006,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,CHILL LUCK,6,17.99,143,1,0.99,
PG,61,2006,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,CHINATOWN GLADIATOR,7,24.99,144,1,4.99,
G,124,2006,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,CHISUM BEHAVIOR,5,25.99,145,1,4.99,
G,107,2006,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,CHITTY LOCK,6,24.99,146,1,2.99,
NC-17,101,2006,A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan,CHOCOLAT HARRY,5,16.99,147,1,0.99,
R,132,2006,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,CHOCOLATE DUCK,3,13.99,148,1,2.99,
NC-17,150,2006,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,CHRISTMAS MOONSHINE,7,21.99,149,1,0.99,
PG,101,2006,A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia,CIDER DESIRE,7,9.99,150,1,2.99,
NC-17,143,2006,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,CINCINATTI WHISPERER,5,26.99,151,1,4.99,
PG-13,90,2006,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,CIRCUS YOUTH,5,13.99,152,1,2.99,
G,165,2006,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,CITIZEN SHREK,7,18.99,153,1,0.99,
G,81,2006,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,CLASH FREDDY,6,12.99,154,1,2.99,
PG-13,150,2006,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,CLEOPATRA DEVIL,6,26.99,155,1,0.99,
G,164,2006,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,CLERKS ANGELS,3,15.99,156,1,4.99,
PG-13,143,2006,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,CLOCKWORK PARADISE,7,29.99,157,1,0.99,
R,124,2006,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,CLONES PINOCCHIO,6,16.99,158,1,2.99,
R,58,2006,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,CLOSER BANG,5,12.99,159,1,4.99,
PG-13,65,2006,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,CLUB GRAFFITI,4,12.99,160,1,0.99,
NC-17,70,2006,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,CLUE GRAIL,6,27.99,161,1,4.99,
R,95,2006,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,CLUELESS BUCKET,4,13.99,162,1,2.99,
PG-13,139,2006,A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat,CLYDE THEORY,4,29.99,163,1,0.99,
PG,55,2006,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,COAST RAINBOW,4,20.99,164,1,0.99,
G,70,2006,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,COLDBLOODED DARLING,7,27.99,165,1,4.99,
G,149,2006,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,COLOR PHILADELPHIA,6,19.99,166,1,2.99,
NC-17,109,2006,A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California,COMA HEAD,6,10.99,167,1,4.99,
R,67,2006,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,COMANCHEROS ENEMY,5,23.99,168,1,0.99,
NC-17,76,2006,A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft,COMFORTS RUSH,3,19.99,169,1,2.99,
PG-13,120,2006,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,COMMAND DARLING,5,28.99,170,1,4.99,
R,59,2006,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,COMMANDMENTS EXPRESS,6,13.99,171,1,4.99,
NC-17,112,2006,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,CONEHEADS SMOOCHY,7,12.99,172,1,4.99,
PG-13,65,2006,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,CONFESSIONS MAGUIRE,7,25.99,173,1,4.99,
NC-17,180,2006,A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan,CONFIDENTIAL INTERVIEW,6,13.99,174,1,4.99,
PG-13,122,2006,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,CONFUSED CANDLES,3,27.99,175,1,2.99,
PG-13,87,2006,A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon,CONGENIALITY QUEST,6,21.99,176,1,0.99,
R,172,2006,A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank,CONNECTICUT TRAMP,4,20.99,177,1,4.99,
G,115,2006,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,CONNECTION MICROCOSMOS,6,25.99,178,1,0.99,
G,173,2006,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,CONQUERER NUTS,4,14.99,179,1,4.99,
