assays_assay_id,assays_variant_id,assays_assay_tissue,assays_src_assay_id,assays_src_id,assays_relationship_type,assays_tid,assays_tissue_id,assays_description,assays_confidence_score,assays_chembl_id,assays_assay_organism,assays_assay_subcellular_fraction,assays_assay_type,assays_assay_tax_id,assays_assay_test_type,assays_assay_cell_type,assays_curated_by,assays_cell_id,assays_bao_format
7534,,,,1,N,50597,,Compound was tested for solubility in water,1,CHEMBL618656,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7535,,,,1,U,22229,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),0,CHEMBL618657,,,P,,,,Intermediate,,BAO_0000100
7536,,,,1,N,50597,,Solubility was determined,1,CHEMBL618658,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7537,,,,1,N,50597,,solubility in water (ug/mL) at 37 degree C.,1,CHEMBL618659,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7538,,,,1,N,50597,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,1,CHEMBL618660,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7539,,,,1,N,50597,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,1,CHEMBL618661,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7540,,,,1,N,50597,,Half life in rats,1,CHEMBL873807,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7541,,,,1,N,50597,,Half life in Dawley rat,1,CHEMBL618662,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7542,,,,1,N,50597,,Half life period after 3 mg/kg iv administration,1,CHEMBL618663,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7543,,,,1,N,50597,,Half life period after 3 mg/kg iv administration in rat,1,CHEMBL618664,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7544,,,,1,N,50597,,Half life period after 3 mg/kg iv administration in the rat,1,CHEMBL618665,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7545,,,,1,N,50597,,Half life period in female Sprague-Dawley rats,1,CHEMBL876498,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7546,,,,1,N,50597,,Half life period in rat,1,CHEMBL618666,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7547,,,,1,N,50597,,Half-life in rats was determined,1,CHEMBL620440,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7548,,,,1,N,50597,,Half-life in rats with metabolic oxidation,1,CHEMBL620441,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7549,,,,1,N,50597,,Half-life in rats,1,CHEMBL620442,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7550,,,,1,N,50597,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,CHEMBL620443,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7551,,,,1,N,50597,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,CHEMBL620444,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7552,,,,1,N,50597,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,CHEMBL620445,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7553,,,,1,N,50597,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,CHEMBL620446,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7554,,Plasma,,1,N,50597,1969.0,Biological half-life measured in plasma of rat,1,CHEMBL620447,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7555,,Plasma,,1,N,50597,1969.0,Biological half-life measured in plasma of rat; 22-25,1,CHEMBL621129,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7556,,Plasma,,1,N,50597,1969.0,Biological half-life measured in plasma of rat; 9-16,1,CHEMBL621130,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7557,,,,1,N,50597,,Compound was evaluated for its half life when administered intravenously in rat,1,CHEMBL873808,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7558,,,,1,N,50597,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,1,CHEMBL876598,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7559,,,,1,N,50597,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,1,CHEMBL621131,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7560,,,,1,N,50597,,Half life (T1/2) after oral administration in rat,1,CHEMBL621132,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7561,,,,1,N,50597,,Half life of compound after iv administration of 20 mg/kg dose in rat,1,CHEMBL621133,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7562,,,,1,N,50597,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,1,CHEMBL621312,Rattus norvegicus,,A,10116.0,In vivo,,Expert,,BAO_0000218
7563,,,,1,N,50597,,Half life of compound was determined in rat,1,CHEMBL621313,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7564,,Blood,,1,N,50597,178.0,Half life of compound was determined in rat blood,1,CHEMBL621314,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7565,,,,1,N,50597,,Half life at 1 mg/kg was determined in rat,1,CHEMBL621315,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7566,,,,1,N,50597,,Half life at 10 mg/kg was determined in rat,1,CHEMBL621316,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7567,,,,1,N,50597,,Half life in rats,1,CHEMBL621317,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7568,,,,1,N,50597,,Half life in rats in hours,1,CHEMBL621318,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7569,,,,1,N,50597,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,CHEMBL621319,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7570,,,,1,N,50597,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,1,CHEMBL621377,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7571,,,,1,N,50597,,Half life was determined,1,CHEMBL621378,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7572,,,,1,N,50597,,Half life after i.v. administration,1,CHEMBL876599,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7573,,,,1,N,50597,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,1,CHEMBL621379,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7574,,Plasma,,1,N,50597,1969.0,Half life in rat plasma,1,CHEMBL621380,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7575,,Plasma,,1,N,50597,1969.0,Half life in rat plasma; Not detected,1,CHEMBL621381,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7576,,,,1,N,50597,,Half life in rats,1,CHEMBL618515,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7577,,,,1,N,50597,,Half life period of compound was determined after peroral administration,1,CHEMBL618516,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7578,,,,1,N,50597,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,1,CHEMBL618517,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7579,,,,1,N,50597,,Half life period in rat,1,CHEMBL618518,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7580,,,,1,N,50597,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,1,CHEMBL618519,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7581,,,,1,N,50597,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,1,CHEMBL618698,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7582,,,,1,N,50597,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,1,CHEMBL618862,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7583,,,,1,N,50597,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,1,CHEMBL618863,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7584,,,,1,N,50597,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,1,CHEMBL618864,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7585,,,,1,N,50597,,Half life time in rat the dose of 2 mg/kg,1,CHEMBL618865,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7586,,,,1,N,50597,,Half-life 24 hr after 10 mg/kg iv administration in rats,1,CHEMBL618866,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7587,,,,1,N,50597,,Half-life 24 hr after 2 mg/kg iv administration in rats,1,CHEMBL618867,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7588,,,,1,N,50597,,Half-life consistent with the observed metabolic steady state in rats,1,CHEMBL875828,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7589,,,,1,N,50597,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,CHEMBL618868,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7590,,,,1,N,50597,,Half-life for oxidative metabolic stability was determined using male human,1,CHEMBL618869,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7591,,,,1,N,50597,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",1,CHEMBL618870,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7592,,Plasma,,1,N,50597,1969.0,Half-life in rat plasma,1,CHEMBL618871,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7593,,Plasma,,1,N,50597,1969.0,Half-life in rat plasma was determined,1,CHEMBL618872,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7594,,,,1,N,50597,,Half-life in rats was determined,1,CHEMBL873816,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7595,,,,1,U,22224,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,0,CHEMBL618873,,,A,,,,Autocuration,,BAO_0000218
7596,,,,1,U,22224,,Area under curve after oral dose of 0.1 mg//kg,0,CHEMBL621602,,,A,,,,Autocuration,,BAO_0000019
7597,,,,1,U,22224,,Area under curve after oral dose of 0.3 mg/kg,0,CHEMBL621603,,,A,,,,Autocuration,,BAO_0000218
7598,,,,1,U,22224,,Area under curve after oral dose of 1 mg/kg,0,CHEMBL621604,,,A,,,,Autocuration,,BAO_0000218
7599,,,,1,U,22224,,Area under curve after oral dose of 10 mg/kg,0,CHEMBL621605,,,A,,,,Autocuration,,BAO_0000218
7600,,,,1,U,22224,,Area under curve after oral dose of 23.4 mg/kg,0,CHEMBL621606,,,A,,,,Autocuration,,BAO_0000218
7601,,,,1,U,22224,,Area under curve after oral dose of 3 mg/kg,0,CHEMBL621607,,,A,,,,Autocuration,,BAO_0000218
7602,,,,1,U,22224,,Area under curve after oral dose of 3.87 mg/kg,0,CHEMBL621608,,,A,,,,Autocuration,,BAO_0000218
7603,,,,1,U,22224,,Area under curve was determined,0,CHEMBL621609,,,A,,,,Autocuration,,BAO_0000019
7604,,,,1,U,22224,,Area under curve at a dose of 10 mg/kg,0,CHEMBL621610,,,A,,,,Autocuration,,BAO_0000218
7605,,,,1,N,50597,,Area under curve was determined; ND=No data,1,CHEMBL621611,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7606,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,CHEMBL621612,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7607,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,CHEMBL622308,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7608,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,CHEMBL622309,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7609,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,1,CHEMBL622310,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7610,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,CHEMBL622311,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7611,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,1,CHEMBL622312,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7612,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,CHEMBL622931,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7613,,,,1,N,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,1,CHEMBL622932,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7614,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,CHEMBL622736,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7615,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,CHEMBL622737,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7616,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,CHEMBL622738,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7617,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,1,CHEMBL622739,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7618,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,CHEMBL622740,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7619,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,1,CHEMBL622741,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7620,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,CHEMBL622742,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7621,,Plasma,,1,N,50597,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,1,CHEMBL622743,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7622,,Plasma,,1,N,50594,1969.0,AUC in mice,1,CHEMBL622744,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7623,,,,1,U,22224,,Area under curve was measured from the graph obtained from concentration Vs time,0,CHEMBL624134,,,A,,,,Autocuration,,BAO_0000019
7624,,,,1,U,22224,,Area under curve value of compound per hour after oral administration,0,CHEMBL624135,,,A,,,,Autocuration,,BAO_0000019
7625,,,,1,N,50597,,Area under curve was determined after oral administration in rats,1,CHEMBL624136,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7626,,,,1,N,50597,,Area under curve was determined after oral administration in rats; No data,1,CHEMBL624137,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7627,,,,1,N,50597,,Area under curve was determined after oral administration in rats;No data,1,CHEMBL624320,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7628,,,,1,N,50588,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,1,CHEMBL624321,Canis lupus familiaris,,A,9615.0,,,Intermediate,,BAO_0000218
7629,,,,1,N,50597,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,1,CHEMBL624322,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7630,,,,1,N,50597,,Area under curve was determined for the compound after iv dose of 5.06 in rats,1,CHEMBL624323,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7631,,,,1,N,50597,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,1,CHEMBL624324,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7632,,,,1,N,50597,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,1,CHEMBL624325,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7633,,,,1,N,50597,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,1,CHEMBL624326,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7634,,,,1,N,50597,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,1,CHEMBL624327,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7635,,,,1,N,50597,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,1,CHEMBL624328,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7636,,,,1,N,50588,,Area under curve was determined in Dogs after peroral administration,1,CHEMBL627848,Canis lupus familiaris,,A,9615.0,,,Intermediate,,BAO_0000218
7637,,,,1,N,50597,,Area under curve was determined in Rats after peroral administration,1,CHEMBL627849,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7638,,,,1,N,50597,,Area under curve was determined in carotid blood of rat when administered intradermally,1,CHEMBL627850,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7639,,,,1,N,50597,,Area under curve was determined in portal blood of rat when administered intradermally,1,CHEMBL627851,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7640,,,,1,N,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,CHEMBL627852,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7641,,,,1,N,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,CHEMBL627853,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7642,,,,1,N,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),1,CHEMBL627854,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7643,,,,1,N,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,CHEMBL627855,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7644,,,,1,N,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),1,CHEMBL627856,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7645,,,,1,N,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,CHEMBL875339,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7646,,,,1,N,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),1,CHEMBL627857,Mus musculus,,A,10090.0,,,Intermediate,,BAO_0000218
7647,,Spleen,,1,N,50597,2106.0,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,1,CHEMBL627858,Rattus norvegicus,,A,10116.0,In vivo,,Intermediate,,BAO_0000218
7648,,Blood,,1,N,50597,178.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,1,CHEMBL627859,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7649,,Brain,,1,N,50597,955.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,1,CHEMBL627860,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7650,,Heart,,1,N,50597,948.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,1,CHEMBL627019,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7651,,Liver,,1,N,50597,2107.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,1,CHEMBL627020,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7652,,Lung,,1,N,50597,2048.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,1,CHEMBL627021,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7653,,Muscle tissue,,1,N,50597,2385.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,1,CHEMBL627022,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7654,,,,1,N,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,1,CHEMBL627023,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7655,,Spleen,,1,N,50597,2106.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,1,CHEMBL627024,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7656,,Thyroid gland,,1,N,50597,2046.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,1,CHEMBL627025,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7657,,Kidney,,1,N,50597,2113.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,1,CHEMBL627026,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7658,,Blood,,1,N,50597,178.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,1,CHEMBL627027,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7659,,Brain,,1,N,50597,955.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,1,CHEMBL627028,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7660,,Heart,,1,N,50597,948.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,1,CHEMBL627029,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7661,,Kidney,,1,N,50597,2113.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,1,CHEMBL627030,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7662,,Liver,,1,N,50597,2107.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,1,CHEMBL627031,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7663,,Lung,,1,N,50597,2048.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,1,CHEMBL627032,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7664,,Muscle tissue,,1,N,50597,2385.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,1,CHEMBL627033,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7665,,,,1,N,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,1,CHEMBL627034,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7666,,Spleen,,1,N,50597,2106.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,1,CHEMBL627035,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
7667,,Thyroid gland,,1,N,50597,2046.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,1,CHEMBL627036,Rattus norvegicus,,A,10116.0,,,Intermediate,,BAO_0000218
