miller2_FiscalYear,miller2_SectionID,miller2_BranchName,miller2_DisabilityIssues(marker),miller2_OrganisationSub-class,miller2_CountryRegionName,miller2_ProjectBrowserCountryID,miller2_SectorPercent,miller2_AmountSpent,miller2_EnviromentalSustainability(marker),miller2_Biodiversity(marker),miller2_FundCentreID,miller2_FSTCPercent,miller2_SectorName,miller2_SectionName,miller2_ChildrenIssues(marker),miller2_CIDABusinessDeliveryModel(old),miller2_BranchID,miller2_TradeDevelopment(marker),miller2_CountryRegionID,miller2_ProgrammingProcess(new),miller2_ProjectNumber,miller2_GenderEquality(marker),miller2_OrganisationID,miller2_IndigenousIssues(marker),miller2_Desertification(marker),miller2_ParticipatoryDevelopmentAndGoodGovernance,miller2_UrbanIssues(marker),miller2_YouthIssues(marker),miller2_ICTAsAToolForDevelopment(marker),miller2_KnowledgeForDevelopment(marker),miller2_OrganisationName,miller2_OrganisationType,miller2_OrganisationClass,miller2_ContinentID,miller2_ContinentName,miller2_CountryRegionPercent,miller2_SectorID
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Asia MC,X3,1.0,900000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X3,Uncoded: Pre-APP,M013172001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,3,Asia,0.3,72010
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Europe MC,X4,1.0,150000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013172001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,5,Europe,0.05,72010
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Africa MC,X1,1.0,1500000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X1,Uncoded: Pre-APP,M013173001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,2,Africa,0.5,72010
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Americas MC,X2,1.0,450000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X2,Uncoded: Pre-APP,M013173001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,1,America,0.15,72010
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Asia MC,X3,1.0,900000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X3,Uncoded: Pre-APP,M013173001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,3,Asia,0.3,72010
2009/2010,S5330,MFM Global Issues and Development,0,INTERNATIONAL NGO,Europe MC,X4,1.0,150000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013173001,1,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,5,Europe,0.05,72010
2009/2010,S5320,MFM Global Issues and Development,0,NGO,Sri Lanka,LK,1.0,500000.0,1,0,5303,0.0,Material relief assistance and services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,LK,Uncoded: Pre-APP,M013174001,0,1015332,0,0,0,0,0,0,0,Mines Advisory Group,Foreign Non-Profit Making,Civil Society,3,Asia,1.0,72010
2009/2010,S5320,MFM Global Issues and Development,0,NGO,Sri Lanka,LK,1.0,500000.0,1,0,5303,0.0,Material relief assistance and services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,LK,Uncoded: Pre-APP,M013175001,0,1015331,0,0,0,0,0,0,0,The Halo Trust,Foreign Non-Profit Making,Civil Society,3,Asia,1.0,72010
2009/2010,S5330,MFM Global Issues and Development,0,NGO,Africa MC,X1,1.0,150000.0,1,0,5230,0.0,Relief co-ordination; protection and support services,MHO Huma Organization & Food Assistance,0,Responsive,B5100,0,X1,Uncoded: Pre-APP,M013176001,0,1002035,0,0,1,0,0,0,1,International Crisis Group,Foreign Non-Profit Making,Civil Society,2,Africa,0.5,72050
2009/2010,S5330,MFM Global Issues and Development,0,NGO,Americas MC,X2,1.0,30000.0,1,0,5230,0.0,Relief co-ordination; protection and support services,MHO Huma Organization & Food Assistance,0,Responsive,B5100,0,X2,Uncoded: Pre-APP,M013176001,0,1002035,0,0,1,0,0,0,1,International Crisis Group,Foreign Non-Profit Making,Civil Society,1,America,0.1,72050
2009/2010,S5330,MFM Global Issues and Development,0,NGO,Asia MC,X3,1.0,90000.0,1,0,5230,0.0,Relief co-ordination; protection and support services,MHO Huma Organization & Food Assistance,0,Responsive,B5100,0,X3,Uncoded: Pre-APP,M013176001,0,1002035,0,0,1,0,0,0,1,International Crisis Group,Foreign Non-Profit Making,Civil Society,3,Asia,0.3,72050
2009/2010,S5330,MFM Global Issues and Development,0,NGO,Europe MC,X4,1.0,30000.0,1,0,5230,0.0,Relief co-ordination; protection and support services,MHO Huma Organization & Food Assistance,0,Responsive,B5100,0,X4,Uncoded: Pre-APP,M013176001,0,1002035,0,0,1,0,0,0,1,International Crisis Group,Foreign Non-Profit Making,Civil Society,5,Europe,0.1,72050
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Yemen,YE,1.0,500000.0,0,0,5309,0.0,Emergency food aid,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,YE,Uncoded: Pre-APP,M013177001,0,1001721,0,0,0,0,0,0,0,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,3,Asia,1.0,72040
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Colombia,CO,1.0,1500000.0,0,0,5309,0.0,Emergency food aid,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,CO,Uncoded: Pre-APP,M013178001,0,1001721,0,0,0,0,0,0,0,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,1,America,1.0,72040
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Chad,TD,1.0,6500000.0,0,0,5309,0.0,Emergency food aid,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,TD,Uncoded: Pre-APP,M013180001,1,1001721,0,0,0,0,0,0,0,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,2,Africa,1.0,72040
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Sudan,SD,1.0,3950000.0,0,0,5309,0.0,Emergency food aid,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,SD,Uncoded: Pre-APP,M013181001,0,1001721,0,0,0,0,0,0,0,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,2,Africa,1.0,72040
2009/2010,S5330,MFM Global Issues and Development,0,UNITED NATIONS,Africa MC,X1,1.0,6300000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X1,Uncoded: Pre-APP,M013182001,1,1001730,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,2,Africa,0.45,72010
2009/2010,S5330,MFM Global Issues and Development,0,UNITED NATIONS,Americas MC,X2,1.0,700000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X2,Uncoded: Pre-APP,M013182001,1,1001730,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,1,America,0.05,72010
2009/2010,S5330,MFM Global Issues and Development,0,UNITED NATIONS,Asia MC,X3,1.0,6300000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X3,Uncoded: Pre-APP,M013182001,1,1001730,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,3,Asia,0.45,72010
2009/2010,S5330,MFM Global Issues and Development,0,UNITED NATIONS,Europe MC,X4,1.0,700000.0,0,0,5311,0.0,Material relief assistance and services,MHO Huma Organization & Food Assistance,0,Core Funding,B5100,0,X4,Uncoded: Pre-APP,M013182001,1,1001730,0,0,0,0,0,0,0,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,5,Europe,0.05,72010
2009/2010,S5320,MFM Global Issues and Development,0,INTERNATIONAL NGO,Asia MC,X3,1.0,500000.0,0,0,5303,0.0,Material relief assistance and services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,X3,Uncoded: Pre-APP,M013183001,0,1014663,0,0,0,0,0,0,0,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,3,Asia,1.0,72010
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Africa MC,X1,1.0,1350000.0,0,0,5303,0.0,Relief co-ordination; protection and support services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,X1,Uncoded: Pre-APP,M013184001,0,1003586,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,2,Africa,0.5,72050
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Americas MC,X2,1.0,405000.0,0,0,5303,0.0,Relief co-ordination; protection and support services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,X2,Uncoded: Pre-APP,M013184001,0,1003586,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,1,America,0.15,72050
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Asia MC,X3,1.0,810000.0,0,0,5303,0.0,Relief co-ordination; protection and support services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,X3,Uncoded: Pre-APP,M013184001,0,1003586,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,3,Asia,0.3,72050
2009/2010,S5320,MFM Global Issues and Development,0,UNITED NATIONS,Europe MC,X4,1.0,135000.0,0,0,5303,0.0,Relief co-ordination; protection and support services,MHI International Humanitarian Assis ops,0,Responsive,B5100,0,X4,Uncoded: Pre-APP,M013184001,0,1003586,0,0,0,0,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,5,Europe,0.05,72050
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.2,39000.0,1,0,5461,0.1,Agricultural policy and administrative management,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31110
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.2,39000.0,1,0,5461,0.1,Agricultural development,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31120
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.1,19500.0,1,0,5461,0.1,Agricultural inputs,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31150
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.1,19500.0,1,0,5461,0.1,Food crop production,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31161
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.1,19500.0,1,0,5461,0.1,Agricultural extension,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31166
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.1,19500.0,1,0,5461,0.1,Agricultural research,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31182
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.1,19500.0,1,0,5461,0.1,Agricultural services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31191
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Afghanistan,AF,0.1,19500.0,1,0,5461,0.1,Agricultural financial services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,AF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.0065,31193
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.2,630000.0,1,0,5461,0.1,Agricultural policy and administrative management,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31110
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.2,630000.0,1,0,5461,0.1,Agricultural development,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31120
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.1,315000.0,1,0,5461,0.1,Agricultural inputs,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31150
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.1,315000.0,1,0,5461,0.1,Food crop production,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31161
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.1,315000.0,1,0,5461,0.1,Agricultural extension,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31166
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.1,315000.0,1,0,5461,0.1,Agricultural research,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31182
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.1,315000.0,1,0,5461,0.1,Agricultural services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31191
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Bangladesh,BD,0.1,315000.0,1,0,5461,0.1,Agricultural financial services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BD,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,3,Asia,0.105,31193
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.2,48600.0,1,0,5461,0.1,Agricultural policy and administrative management,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31110
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.2,48600.0,1,0,5461,0.1,Agricultural development,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31120
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.1,24300.0,1,0,5461,0.1,Agricultural inputs,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31150
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.1,24300.0,1,0,5461,0.1,Food crop production,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31161
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.1,24300.0,1,0,5461,0.1,Agricultural extension,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31166
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.1,24300.0,1,0,5461,0.1,Agricultural research,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31182
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.1,24300.0,1,0,5461,0.1,Agricultural services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31191
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Burundi,BI,0.1,24300.0,1,0,5461,0.1,Agricultural financial services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BI,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0081,31193
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.2,43800.0,1,0,5461,0.1,Agricultural policy and administrative management,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31110
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.2,43800.0,1,0,5461,0.1,Agricultural development,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31120
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.1,21900.0,1,0,5461,0.1,Agricultural inputs,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31150
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.1,21900.0,1,0,5461,0.1,Food crop production,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31161
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.1,21900.0,1,0,5461,0.1,Agricultural extension,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31166
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.1,21900.0,1,0,5461,0.1,Agricultural research,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31182
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.1,21900.0,1,0,5461,0.1,Agricultural services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31191
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Benin,BJ,0.1,21900.0,1,0,5461,0.1,Agricultural financial services,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,BJ,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0073,31193
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Central Afr.Rep,CF,0.2,34200.0,1,0,5461,0.1,Agricultural policy and administrative management,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,CF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0057,31110
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Central Afr.Rep,CF,0.2,34200.0,1,0,5461,0.1,Agricultural development,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,CF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0057,31120
2009/2010,S5460,MFM Global Issues and Development,0,IFI,Central Afr.Rep,CF,0.1,17100.0,1,0,5461,0.1,Agricultural inputs,*Bretton Woods Inst Fin Prog,0,Responsive,B5100,1,CF,Uncoded: Pre-APP,M013185001,1,1001306,0,0,0,0,0,0,0,World Bank,Foreign Non-Profit Making,Multilateral,2,Africa,0.0057,31150
