inventory_id,payment_date,payment_id,return_date,customer_id,pstaff_id,rental_date,rental_id,amount,rstaff_id
2829,2005-07-31 03:27:58,77,2005-08-03 05:58:58,3,1,2005-07-31 03:27:58,9595,2.99,1
2526,2005-08-20 06:14:12,82,2005-08-26 00:44:12,3,2,2005-08-20 06:14:12,13610,2.99,2
1685,2005-08-22 09:37:27,84,2005-08-23 14:39:27,3,2,2005-08-22 09:37:27,15038,0.99,1
2468,2005-08-23 07:10:14,85,2005-08-26 07:21:14,3,1,2005-08-23 07:10:14,15619,2.99,2
280,2005-06-16 08:08:40,87,2005-06-17 11:12:40,4,1,2005-06-16 08:08:40,1633,0.99,1
97,2005-06-16 15:51:52,89,2005-06-20 13:27:52,4,2,2005-06-16 15:51:52,1735,0.99,1
2495,2005-06-17 14:31:12,90,2005-06-19 11:04:12,4,2,2005-06-17 14:31:12,2043,0.99,2
2065,2005-06-19 09:39:01,91,2005-06-25 08:33:01,4,1,2005-06-19 09:39:01,2642,5.99,1
4117,2005-07-30 08:46:09,95,2005-08-05 10:34:09,4,1,2005-07-30 08:46:09,9100,5.99,1
4124,2005-05-29 07:25:16,108,2005-05-30 05:21:16,5,1,2005-05-29 07:25:16,731,0.99,1
3277,2005-06-15 22:03:14,111,2005-06-23 18:42:14,5,1,2005-06-15 22:03:14,1502,3.99,2
4323,2005-06-17 15:56:53,113,2005-06-21 14:19:53,5,2,2005-06-17 15:56:53,2063,4.99,1
1105,2005-06-19 04:20:13,114,2005-06-25 07:00:13,5,2,2005-06-19 04:20:13,2570,2.99,1
600,2005-07-06 09:11:58,116,2005-07-08 10:50:58,5,2,2005-07-06 09:11:58,3677,4.99,2
957,2005-07-09 07:13:52,119,2005-07-18 05:18:52,5,2,2005-07-09 07:13:52,5118,5.99,2
1434,2005-07-12 12:16:28,124,2005-07-19 17:03:28,5,2,2005-07-12 12:16:28,6685,4.99,1
28,2005-07-29 01:11:23,128,2005-07-31 01:53:23,5,1,2005-07-29 01:11:23,8263,2.99,2
711,2005-07-30 04:14:28,129,2005-08-06 09:08:28,5,1,2005-07-30 04:14:28,8978,1.99,1
3701,2005-08-02 04:56:45,134,2005-08-11 08:04:45,5,2,2005-08-02 04:56:45,11001,4.99,1
3387,2005-08-20 15:16:18,140,2005-08-22 18:20:18,5,2,2005-08-20 15:16:18,13877,0.99,1
1574,2006-02-14 15:16:03,145,,5,2,2006-02-14 15:16:03,13209,0.99,2
2363,2005-06-16 23:44:13,150,2005-06-22 04:09:13,6,2,2005-06-16 23:44:13,1841,2.99,1
2699,2005-07-11 12:39:01,156,2005-07-20 15:59:01,6,2,2005-07-11 12:39:01,6211,5.99,2
2686,2005-07-11 15:01:54,157,2005-07-19 16:58:54,6,1,2005-07-11 15:01:54,6248,7.99,1
2877,2005-06-19 14:00:26,181,2005-06-23 14:56:26,7,1,2005-06-19 14:00:26,2709,0.99,2
3024,2005-07-07 13:22:20,185,2005-07-10 07:44:20,7,2,2005-07-07 13:22:20,4238,2.99,2
3929,2005-07-08 16:16:04,186,2005-07-14 18:02:04,7,2,2005-07-08 16:16:04,4787,5.99,2
2441,2005-07-08 18:47:38,187,2005-07-13 15:02:38,7,1,2005-07-08 18:47:38,4856,4.99,2
1393,2005-07-11 17:30:58,191,2005-07-15 15:50:58,7,1,2005-07-11 17:30:58,6295,2.99,1
3480,2005-07-31 04:30:03,194,2005-08-06 09:13:03,7,2,2005-07-31 04:30:03,9624,7.99,1
2155,2005-08-17 00:51:32,200,2005-08-24 20:29:32,7,2,2005-08-17 00:51:32,11542,7.99,2
75,2005-08-18 21:55:01,202,2005-08-22 01:23:01,7,1,2005-08-18 21:55:01,12730,2.99,1
187,2005-06-15 09:59:16,208,2005-06-19 09:48:16,8,2,2005-06-15 09:59:16,1305,2.99,2
1503,2005-07-08 02:17:12,215,2005-07-13 08:12:12,8,1,2005-07-08 02:17:12,4503,3.99,1
2520,2005-07-09 15:40:46,216,2005-07-15 13:46:46,8,1,2005-07-09 15:40:46,5300,2.99,1
2522,2005-07-09 17:13:23,217,2005-07-14 18:11:23,8,2,2005-07-09 17:13:23,5341,2.99,2
1841,2005-07-12 10:43:53,219,2005-07-14 05:37:53,8,1,2005-07-12 10:43:53,6647,0.99,1
8,2005-07-31 22:08:29,222,2005-08-06 16:59:29,8,2,2005-07-31 22:08:29,10141,0.99,1
971,2005-08-02 13:04:12,224,2005-08-10 15:39:12,8,1,2005-08-02 13:04:12,11232,9.99,1
2270,2005-08-21 01:07:11,227,2005-08-24 20:33:11,8,1,2005-08-21 01:07:11,14114,0.99,1
2756,2005-05-27 05:01:28,231,2005-06-04 05:01:28,9,2,2005-05-27 05:01:28,350,4.99,2
2279,2005-05-31 10:13:34,233,2005-06-09 08:11:34,9,2,2005-05-31 10:13:34,1075,4.99,1
4265,2005-07-10 07:45:40,239,2005-07-15 05:20:40,9,1,2005-07-10 07:45:40,5659,2.99,1
762,2005-08-18 05:58:40,250,2005-08-20 02:20:40,9,1,2005-08-18 05:58:40,12309,2.99,2
1015,2005-06-16 20:21:53,255,2005-06-18 23:18:53,10,1,2005-06-16 20:21:53,1801,4.99,1
749,2005-07-07 14:14:13,262,2005-07-12 18:32:13,10,1,2005-07-07 14:14:13,4255,1.99,1
80,2005-07-28 05:21:42,267,2005-08-03 09:46:42,10,1,2005-07-28 05:21:42,7738,2.99,2
2570,2005-07-28 15:10:55,268,2005-08-05 18:23:55,10,2,2005-07-28 15:10:55,8001,6.99,1
4430,2005-08-01 17:09:59,271,2005-08-09 21:36:59,10,2,2005-08-01 17:09:59,10671,8.99,1
2869,2005-08-02 14:55:00,272,2005-08-11 13:57:00,10,2,2005-08-02 14:55:00,11289,2.99,1
2732,2005-07-08 22:43:05,284,2005-07-15 18:17:05,11,1,2005-07-08 22:43:05,4943,4.99,2
3374,2005-07-11 09:09:59,286,2005-07-20 11:42:59,11,2,2005-07-11 09:09:59,6146,6.99,2
3762,2005-08-01 22:41:16,294,2005-08-07 00:50:16,11,1,2005-08-01 22:41:16,10812,4.99,1
593,2005-08-17 19:32:44,297,2005-08-23 13:36:44,11,2,2005-08-17 19:32:44,12015,5.99,2
1385,2005-08-20 12:17:27,299,2005-08-25 12:20:27,11,1,2005-08-20 12:17:27,13790,4.99,1
1122,2005-06-20 19:33:52,309,2005-06-29 18:20:52,12,2,2005-06-20 19:33:52,3135,2.99,1
1424,2005-07-27 11:50:47,318,2005-07-30 11:19:47,12,2,2005-07-27 11:50:47,7279,0.99,2
3264,2005-07-31 07:45:33,323,2005-08-08 08:56:33,12,2,2005-07-31 07:45:33,9708,5.99,1
2441,2005-06-18 02:24:01,332,2005-06-22 04:13:01,13,1,2005-06-18 02:24:01,2209,4.99,2
294,2005-07-06 21:39:24,335,2005-07-11 16:10:24,13,2,2005-07-06 21:39:24,3946,2.99,1
360,2005-07-31 06:12:08,345,2005-08-04 02:19:08,13,1,2005-07-31 06:12:08,9664,0.99,2
2072,2005-07-31 08:58:40,346,2005-08-09 08:34:40,13,1,2005-07-31 08:58:40,9736,7.99,2
1603,2005-07-31 17:48:51,347,2005-08-02 14:23:51,13,1,2005-07-31 17:48:51,10003,4.99,1
2660,2005-08-21 05:44:07,355,2005-08-29 08:53:07,13,1,2005-08-21 05:44:07,14252,9.99,1
2459,2005-08-21 15:44:23,356,2005-08-29 20:09:23,13,2,2005-08-21 15:44:23,14545,7.99,2
1027,2005-05-28 22:04:30,361,2005-06-03 01:21:30,14,1,2005-05-28 22:04:30,671,2.99,2
3368,2005-07-10 03:29:48,369,2005-07-17 04:43:48,14,1,2005-07-10 03:29:48,5565,7.99,1
1503,2005-07-28 16:23:01,370,2005-08-05 10:52:01,14,1,2005-07-28 16:23:01,8035,6.99,1
3265,2005-07-29 22:46:08,373,2005-08-02 19:53:08,14,2,2005-07-29 22:46:08,8836,4.99,2
2076,2005-08-01 05:23:00,376,2005-08-04 01:12:00,14,1,2005-08-01 05:23:00,10348,2.99,2
4161,2005-08-02 22:18:24,378,2005-08-04 21:22:24,14,1,2005-08-02 22:18:24,11480,4.99,2
268,2005-06-18 21:26:56,386,2005-06-22 23:42:56,15,1,2005-06-18 21:26:56,2486,2.99,1
529,2005-07-10 11:02:03,391,2005-07-13 13:00:03,15,1,2005-07-10 11:02:03,5717,2.99,1
864,2005-07-27 05:15:37,393,2005-07-28 05:49:37,15,1,2005-07-27 05:15:37,7105,4.99,2
1490,2005-08-02 15:48:08,400,2005-08-06 20:33:08,15,2,2005-08-02 15:48:08,11307,2.99,2
453,2005-08-20 02:00:33,408,2005-08-28 21:03:33,15,2,2005-08-20 02:00:33,13503,5.99,1
1363,2005-08-20 03:41:41,409,2005-08-24 23:14:41,15,1,2005-08-20 03:41:41,13541,4.99,1
1652,2005-08-23 17:12:31,415,2005-08-30 17:22:31,15,1,2005-08-23 17:12:31,15897,4.99,1
3715,2006-02-14 15:16:03,417,,15,2,2006-02-14 15:16:03,13968,0.0,2
1411,2005-05-27 03:07:10,418,2005-06-05 00:15:10,16,1,2005-05-27 03:07:10,335,3.99,2
1810,2005-05-28 13:33:23,419,2005-05-30 17:10:23,16,1,2005-05-28 13:33:23,593,2.99,2
2945,2005-06-21 11:16:42,426,2005-06-27 13:50:42,16,2,2005-06-21 11:16:42,3348,0.99,2
4498,2005-07-06 02:23:39,427,2005-07-08 07:53:39,16,1,2005-07-06 02:23:39,3548,0.99,2
2800,2005-07-07 12:11:22,428,2005-07-11 11:05:22,16,2,2005-07-07 12:11:22,4219,2.99,1
3485,2005-07-11 06:40:31,431,2005-07-14 10:59:31,16,1,2005-07-11 06:40:31,6100,4.99,2
3732,2005-07-27 19:39:38,432,2005-07-30 23:10:38,16,2,2005-07-27 19:39:38,7489,0.99,2
3191,2005-08-01 17:53:02,437,2005-08-05 19:16:02,16,2,2005-08-01 17:53:02,10687,2.99,2
699,2005-08-02 15:50:44,439,2005-08-05 11:38:44,16,2,2005-08-02 15:50:44,11308,0.99,2
4551,2005-08-17 22:53:00,440,2005-08-23 19:49:00,16,2,2005-08-17 22:53:00,12104,2.99,1
504,2005-08-18 07:41:43,441,2005-08-20 03:46:43,16,1,2005-08-18 07:41:43,12358,4.99,1
4134,2005-08-18 15:39:46,442,2005-08-25 18:05:46,16,1,2005-08-18 15:39:46,12577,7.99,2
4220,2005-08-19 22:01:42,444,2005-08-24 22:20:42,16,1,2005-08-19 22:01:42,13391,4.99,2
1225,2005-06-19 12:29:08,451,2005-06-28 08:50:08,17,1,2005-06-19 12:29:08,2684,8.99,2
3816,2005-07-28 23:37:33,457,2005-07-31 00:32:33,17,1,2005-07-28 23:37:33,8213,2.99,2
1877,2005-07-30 08:30:56,458,2005-08-06 08:09:56,17,2,2005-07-30 08:30:56,9092,8.99,2
2550,2005-07-30 10:11:52,459,2005-07-31 07:05:52,17,1,2005-07-30 10:11:52,9138,2.99,2
109,2005-08-21 08:42:26,466,2005-08-23 09:18:26,17,1,2005-08-21 08:42:26,14346,2.99,2
2112,2005-08-23 12:41:38,467,2005-09-01 14:06:38,17,2,2005-08-23 12:41:38,15752,5.99,1
1983,2005-05-25 06:44:53,468,2005-05-28 11:28:53,18,1,2005-05-25 06:44:53,50,2.99,2
3560,2005-06-15 19:30:18,471,2005-06-19 19:22:18,18,2,2005-06-15 19:30:18,1451,5.99,2
1922,2005-07-08 10:15:38,475,2005-07-16 05:06:38,18,2,2005-07-08 10:15:38,4672,3.99,1
3375,2005-07-08 12:46:30,476,2005-07-14 12:39:30,18,2,2005-07-08 12:46:30,4724,3.99,1
2141,2005-07-28 19:27:37,480,2005-07-29 19:48:37,18,2,2005-07-28 19:27:37,8122,2.99,2
893,2005-07-30 09:13:21,483,2005-08-05 06:00:21,18,2,2005-07-30 09:13:21,9114,4.99,2
2897,2005-08-02 20:22:45,487,2005-08-04 18:30:45,18,2,2005-08-02 20:22:45,11439,4.99,1
4370,2005-08-18 06:51:39,488,2005-08-21 01:44:39,18,2,2005-08-18 06:51:39,12333,0.99,2
2076,2005-05-29 01:59:10,495,2005-06-01 02:45:10,19,2,2005-05-29 01:59:10,696,2.99,1
3612,2005-06-21 17:38:02,498,2005-06-23 19:47:02,19,2,2005-06-21 17:38:02,3423,2.99,1
3453,2005-08-17 14:10:22,506,2005-08-24 18:39:22,19,1,2005-08-17 14:10:22,11869,5.99,1
4350,2005-06-16 02:33:53,517,2005-06-19 20:50:53,20,2,2005-06-16 02:33:53,1558,0.99,2
4554,2005-06-18 11:46:26,519,2005-06-22 11:37:26,20,2,2005-06-18 11:46:26,2343,4.99,2
3221,2005-06-21 11:21:38,520,2005-06-28 15:37:38,20,1,2005-06-21 11:21:38,3350,4.99,2
267,2005-07-07 21:39:45,522,2005-07-11 23:40:45,20,1,2005-07-07 21:39:45,4407,2.99,1
2152,2005-07-11 15:53:00,525,2005-07-17 18:09:00,20,2,2005-07-11 15:53:00,6267,6.99,2
2646,2005-07-27 09:31:44,526,2005-07-29 10:48:44,20,2,2005-07-27 09:31:44,7217,4.99,1
4265,2005-07-28 19:45:19,528,2005-07-31 22:07:19,20,2,2005-07-28 19:45:19,8127,2.99,2
2879,2005-08-01 03:33:19,531,2005-08-09 07:58:19,20,2,2005-08-01 03:33:19,10284,4.99,1
3841,2005-08-21 18:03:20,539,2005-08-26 19:46:20,20,2,2005-08-21 18:03:20,14613,2.99,1
1445,2005-08-22 14:37:22,541,2005-08-27 17:40:22,20,1,2005-08-22 14:37:22,15161,1.99,1
2907,2005-08-23 01:10:42,543,2005-08-28 20:49:42,20,1,2005-08-23 01:10:42,15460,2.99,2
3463,2005-06-18 04:08:50,547,2005-06-27 07:58:50,21,2,2005-06-18 04:08:50,2235,7.99,1
4178,2005-06-21 01:04:35,551,2005-06-30 00:10:35,21,1,2005-06-21 01:04:35,3212,10.99,2
3635,2005-07-10 13:27:40,553,2005-07-17 08:24:40,21,1,2005-07-10 13:27:40,5772,3.99,1
2436,2005-07-26 23:28:13,555,2005-07-30 02:22:13,21,2,2005-07-26 23:28:13,6943,1.99,2
2431,2005-07-28 14:56:54,556,2005-07-30 09:56:54,21,1,2005-07-28 14:56:54,7994,0.99,2
1779,2005-08-17 17:53:09,564,2005-08-24 14:41:09,21,2,2005-08-17 17:53:09,11970,0.99,1
3184,2005-08-20 23:24:07,574,2005-08-29 02:53:07,21,2,2005-08-20 23:24:07,14077,8.99,1
455,2005-08-22 03:20:26,577,2005-08-23 05:25:26,21,1,2005-08-22 03:20:26,14869,4.99,2
1186,2006-02-14 15:16:03,578,,21,1,2006-02-14 15:16:03,14933,2.99,2
3250,2005-08-21 16:24:43,595,2005-08-26 16:58:43,22,1,2005-08-21 16:24:43,14564,6.99,1
3565,2005-08-23 08:48:43,598,2005-08-25 05:38:43,22,1,2005-08-23 08:48:43,15658,4.99,1
3949,2006-02-14 15:16:03,600,,22,1,2006-02-14 15:16:03,12222,4.99,1
3329,2005-05-31 12:03:44,603,2005-06-02 15:54:44,23,2,2005-05-31 12:03:44,1090,0.99,2
1510,2005-06-20 13:19:58,607,2005-06-27 14:54:58,23,1,2005-06-20 13:19:58,3055,4.99,1
3894,2005-07-06 13:53:41,610,2005-07-15 10:03:41,23,2,2005-07-06 13:53:41,3781,2.99,1
485,2005-07-11 12:43:07,612,2005-07-16 07:23:07,23,1,2005-07-11 12:43:07,6213,2.99,2
3749,2005-07-11 14:20:18,613,2005-07-14 18:34:18,23,1,2005-07-11 14:20:18,6238,2.99,1
137,2005-07-29 17:41:14,617,2005-08-01 18:22:14,23,2,2005-07-29 17:41:14,8718,0.99,2
3940,2005-07-30 12:55:36,618,2005-08-03 11:31:36,23,2,2005-07-30 12:55:36,9209,5.99,2
2147,2005-08-16 23:04:53,623,2005-08-19 20:57:53,23,2,2005-08-16 23:04:53,11501,2.99,2
4174,2005-08-19 18:31:50,624,2005-08-25 15:49:50,23,2,2005-08-19 18:31:50,13290,2.99,2
2373,2005-06-17 20:16:12,635,2005-06-18 17:03:12,24,2,2005-06-17 20:16:12,2116,4.99,2
1444,2005-06-20 07:33:09,637,2005-06-28 09:23:09,24,2,2005-06-20 07:33:09,2963,7.99,1
1244,2005-07-07 20:29:08,639,2005-07-12 19:17:08,24,2,2005-07-07 20:29:08,4378,2.99,2
2522,2005-08-17 00:57:36,649,2005-08-18 23:16:36,24,2,2005-08-17 00:57:36,11546,2.99,1
661,2005-08-19 07:34:53,652,2005-08-26 03:57:53,24,1,2005-08-19 07:34:53,12999,1.99,1
1271,2005-08-19 16:45:59,654,2005-08-25 15:25:59,24,1,2005-08-19 16:45:59,13247,0.99,1
3790,2005-08-17 04:48:05,679,2005-08-18 01:53:05,25,1,2005-08-17 04:48:05,11642,0.99,2
4336,2005-08-23 02:57:30,683,2005-08-25 01:47:30,25,1,2005-08-23 02:57:30,15512,0.99,2
4428,2005-08-23 20:00:30,684,2005-08-30 00:25:30,25,1,2005-08-23 20:00:30,15972,5.99,1
2697,2005-05-29 16:59:44,685,2005-06-03 16:22:44,26,1,2005-05-29 16:59:44,796,2.99,2
2921,2005-06-15 18:53:14,687,2005-06-24 15:28:14,26,1,2005-06-15 18:53:14,1440,5.99,1
2935,2005-06-16 14:01:02,688,2005-06-25 19:29:02,26,2,2005-06-16 14:01:02,1706,4.99,1
787,2005-07-07 14:42:04,695,2005-07-13 20:23:04,26,1,2005-07-07 14:42:04,4274,4.99,1
663,2005-07-27 13:55:18,704,2005-08-01 19:52:18,26,2,2005-07-27 13:55:18,7328,0.99,1
1888,2005-08-21 03:24:29,713,2005-08-22 07:25:29,26,2,2005-08-21 03:24:29,14183,4.99,2
94,2005-08-21 17:51:06,715,2005-08-28 15:36:06,26,2,2005-08-21 17:51:06,14603,1.99,1
2809,2005-08-23 11:16:29,718,2005-09-01 13:24:29,26,1,2005-08-23 11:16:29,15722,7.99,2
2045,2005-06-15 10:11:42,720,2005-06-16 15:00:42,27,1,2005-06-15 10:11:42,1310,4.99,1
2598,2005-06-15 21:17:17,721,2005-06-23 22:01:17,27,2,2005-06-15 21:17:17,1480,4.99,1
4507,2005-06-16 13:05:09,722,2005-06-17 09:53:09,27,2,2005-06-16 13:05:09,1699,2.99,2
2879,2005-07-10 03:01:19,730,2005-07-13 06:53:19,27,1,2005-07-10 03:01:19,5552,0.99,2
1172,2005-07-10 11:45:48,731,2005-07-13 16:40:48,27,1,2005-07-10 11:45:48,5736,4.99,1
172,2005-07-12 11:13:21,734,2005-07-17 09:10:21,27,2,2005-07-12 11:13:21,6658,4.99,2
3640,2005-07-30 14:06:53,736,2005-08-03 19:46:53,27,2,2005-07-30 14:06:53,9244,0.99,1
3977,2005-08-17 19:52:43,745,2005-08-23 21:49:43,27,2,2005-08-17 19:52:43,12021,5.99,1
2771,2005-08-18 13:57:50,747,2005-08-22 09:46:50,27,1,2005-08-18 13:57:50,12531,2.99,2
3604,2005-05-30 04:19:55,751,2005-05-31 02:28:55,28,1,2005-05-30 04:19:55,868,2.99,1
3841,2005-06-15 04:58:07,752,2005-06-17 23:56:07,28,2,2005-06-15 04:58:07,1240,2.99,1
1188,2005-06-16 01:24:08,753,2005-06-18 06:24:08,28,1,2005-06-16 01:24:08,1543,4.99,2
4495,2005-07-06 16:38:14,757,2005-07-09 14:59:14,28,1,2005-07-06 16:38:14,3845,0.99,2
2362,2005-08-21 15:34:23,778,2005-08-27 11:51:23,28,2,2005-08-21 15:34:23,14540,2.99,2
2059,2005-08-23 02:08:40,780,2005-08-23 20:23:40,28,1,2005-08-23 02:08:40,15491,2.99,2
1337,2005-05-26 06:52:33,782,2005-05-30 04:08:33,29,2,2005-05-26 06:52:33,194,1.99,2
4572,2005-06-19 19:18:09,787,2005-06-20 20:11:09,29,2,2005-06-19 19:18:09,2801,2.99,2
2830,2005-06-21 08:49:16,789,2005-06-22 12:31:16,29,1,2005-06-21 08:49:16,3324,2.99,1
1904,2005-07-27 10:12:36,795,2005-07-31 08:40:36,29,2,2005-07-27 10:12:36,7237,3.99,2
2797,2005-07-30 19:50:13,799,2005-08-03 22:38:13,29,2,2005-07-30 19:50:13,9392,4.99,2
3185,2005-08-02 07:29:10,803,2005-08-07 01:59:10,29,1,2005-08-02 07:29:10,11079,4.99,2
3323,2005-08-18 12:48:22,805,2005-08-19 16:19:22,29,1,2005-08-18 12:48:22,12488,4.99,1
1059,2005-08-18 13:20:13,806,2005-08-22 12:55:13,29,1,2005-08-18 13:20:13,12508,2.99,1
1009,2005-08-18 15:20:46,807,2005-08-24 12:38:46,29,2,2005-08-18 15:20:46,12569,6.99,2
2499,2005-08-19 23:36:25,810,2005-08-23 18:38:25,29,1,2005-08-19 23:36:25,13436,0.99,1
680,2005-06-17 04:25:12,819,2005-06-26 08:44:12,30,2,2005-06-17 04:25:12,1895,2.99,1
4229,2005-07-09 06:44:30,826,2005-07-17 04:24:30,30,1,2005-07-09 06:44:30,5108,9.99,1
4336,2005-07-09 15:14:08,827,2005-07-12 12:51:08,30,1,2005-07-09 15:14:08,5289,0.99,2
287,2005-08-20 08:50:39,846,2005-08-21 09:05:39,30,1,2005-08-20 08:50:39,13682,4.99,2
1159,2005-08-22 10:39:51,849,2005-08-25 16:03:51,30,1,2005-08-22 10:39:51,15063,4.99,2
1918,2005-08-23 04:17:56,850,2005-09-01 00:43:56,30,1,2005-08-23 04:17:56,15544,4.99,2
3063,2005-06-18 03:57:36,854,2005-06-21 09:42:36,31,1,2005-06-18 03:57:36,2233,0.99,2
2184,2005-06-20 18:05:15,860,2005-06-26 17:28:15,31,2,2005-06-20 18:05:15,3117,2.99,1
845,2005-07-27 18:49:42,872,2005-07-28 20:45:42,31,2,2005-07-27 18:49:42,7464,2.99,2
3293,2005-08-23 09:37:34,876,2005-08-31 06:01:34,31,2,2005-08-23 09:37:34,15682,6.99,1
1602,2005-05-29 17:52:30,879,2005-05-30 14:35:30,32,2,2005-05-29 17:52:30,803,4.99,2
3591,2005-06-17 03:53:18,881,2005-06-25 07:37:18,32,2,2005-06-17 03:53:18,1887,6.99,2
1801,2005-07-07 22:48:34,886,2005-07-09 18:55:34,32,1,2005-07-07 22:48:34,4434,2.99,1
2212,2005-07-11 07:58:07,892,2005-07-16 09:52:07,32,1,2005-07-11 07:58:07,6122,3.99,1
2413,2005-07-12 00:49:05,893,2005-07-13 01:54:05,32,2,2005-07-12 00:49:05,6450,2.99,2
1569,2005-07-27 23:23:36,895,2005-08-04 00:16:36,32,1,2005-07-27 23:23:36,7589,5.99,1
581,2005-07-29 05:52:26,897,2005-08-04 08:12:26,32,2,2005-07-29 05:52:26,8390,5.99,2
4562,2005-08-17 12:54:47,901,2005-08-21 11:21:47,32,2,2005-08-17 12:54:47,11831,4.99,1
3793,2005-08-20 23:18:54,905,2005-08-26 21:59:54,32,1,2005-08-20 23:18:54,14075,0.99,2
955,2005-08-21 16:32:32,906,2005-08-30 12:03:32,32,2,2005-08-21 16:32:32,14570,5.99,2
1484,2005-06-15 09:46:33,908,2005-06-24 08:56:33,33,1,2005-06-15 09:46:33,1301,10.99,2
605,2005-07-10 11:14:48,912,2005-07-11 15:46:48,33,1,2005-07-10 11:14:48,5723,4.99,2
901,2005-08-21 18:29:13,924,2005-08-26 20:48:13,33,1,2005-08-21 18:29:13,14623,0.99,2
1739,2005-08-22 12:28:01,926,2005-08-26 16:12:01,33,2,2005-08-22 12:28:01,15115,2.99,1
2381,2005-07-06 00:24:25,931,2005-07-10 05:38:25,34,2,2005-07-06 00:24:25,3508,3.99,2
376,2005-07-27 02:15:01,936,2005-07-28 07:46:01,34,2,2005-07-27 02:15:01,7015,2.99,2
183,2005-07-30 11:17:33,939,2005-08-06 15:16:33,34,1,2005-07-30 11:17:33,9160,3.99,2
2639,2005-08-01 14:58:14,941,2005-08-02 13:38:14,34,1,2005-08-01 14:58:14,10615,4.99,1
814,2005-08-21 20:32:08,950,2005-08-26 18:07:08,34,1,2005-08-21 20:32:08,14686,5.99,1
3034,2005-08-21 20:54:32,951,2005-08-30 16:46:32,34,2,2005-08-21 20:54:32,14701,7.99,1
3725,2005-06-20 17:53:30,959,2005-06-26 16:03:30,35,2,2005-06-20 17:53:30,3112,4.99,1
1302,2005-07-09 16:34:07,964,2005-07-13 21:37:07,35,2,2005-07-09 16:34:07,5323,0.99,1
910,2005-07-11 09:13:08,967,2005-07-17 03:48:08,35,1,2005-07-11 09:13:08,6147,5.99,1
3121,2005-07-12 05:56:38,970,2005-07-16 10:41:38,35,1,2005-07-12 05:56:38,6572,4.99,1
2028,2005-07-27 06:54:12,971,2005-08-03 10:36:12,35,1,2005-07-27 06:54:12,7140,4.99,2
3416,2005-07-30 06:07:42,974,2005-08-05 01:18:42,35,2,2005-07-30 06:07:42,9033,2.99,1
3547,2005-07-31 02:59:20,975,2005-08-06 03:52:20,35,1,2005-07-31 02:59:20,9579,6.99,2
2920,2005-05-27 04:53:11,984,2005-05-28 06:33:11,36,1,2005-05-27 04:53:11,349,0.99,2
