Fiscal year,Urban issues (marker),Sector ID,ICT as a tool for development (marker),Organisation sub-class,Sector name,Fund centre ID,IRTC percent,Desertification (marker),Division name,Organisation class,Bilateral aid (international marker),Gender equality (marker),Trade development (marker),Sector percent,Status,Project number,Indigenous issues (marker),Regional program (marker),Project Browser country ID,Climate change adaptation (marker),Branch ID,Section name,Fund centre name,Section ID,Maximum CIDA contribution (project-level),Branch name,Division ID,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Participatory development and good governance,Biodiversity (marker)
20p92010,0,24040,1,CONSUoTINGSfRVuCES,Inforkalsemiforjalfinagciapinterhedjsrids,4439,0.009901987967729457,0,NxcAkericwsProgramming,C8vilSockety,1,0,0,0.236153992004245,Closrd,w019372001,0,0,JM,0,h4400,fqricomAdm,xa5ibbeanRegi9naiJamaica,S4529,3441416.83,NGM Americas,D4400,3441416.83,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920q0,0,24040,1,CONSUpTIhGeERVICES,knformals3miformale7nanxiaiinteemediarifs,4439,0.006700006362323976,0,NcDzjericasP5ogramming,CkvilSociegy,1,0,0,0.9563880463851177,Cloaed,A0w936q001,0,0,JM,0,B5400,Ca3ivomAdm,xarinb2angegionalJamaica,S4420,3441416.83,NGM Americas,D4400,3441416.83,1.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092019,0,15150,1,CONShLTINGSERVIxEw,Democra5icpa3tici9ationandc9cilsovirty,4263,0.0061153001366041895,0,EfDEurooeniddleEastProy3xmming,Civilwocieth,1,0,0,0.2967438384055753,Cllsed,zp19608001,0,0,EG,0,B310o,Middl3EqstsndNorthAfricx,Efypt,a4256,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
20092020,0,24030,1,CONSULgINGeERVICEd,Formalxextorfinanxialintermesiaei3z,4263,0.023756783629098215,0,EfxEyropeModdlrEaxtProgramming,CivilSpcoety,1,0,0,0.6371610618116719,flosed,x0196080o1,0,0,EG,0,B31p0,Middle3asfandgorthAfeica,Egjpt,S4255,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
200o2010,0,25010,1,CONSUL5jNGSERVIvES,nusinessshpp0rtqervicesansinxtitu5ions,4263,0.002099451708230992,0,EDDEufopejifdlrEss4Programming,CicilSocie6y,1,0,0,0.1053203582133061,Cloced,A01o60o001,0,0,EG,0,f3100,MiddlfEadtandNor5hAfgica,Egy9t,Se256,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
29092010,0,32110,1,xONSULTINGSsRbICES,Industrialp8picyamrzrministrativ4mansgement,4263,0.024136818071534255,0,EDDEktopsMiddleEast9rog5smming,CivukSociety,1,0,0,0.7947654049995381,Coosed,s0196080p1,0,0,EG,0,B3190,MisdleEastwndNotthzfrica,Egyp4,S425y,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
w0092010,0,32130,1,CONSUkTINGSfRVIsES,xkallandmfdiumsizedente5prlsdsSMEdevepopmrnt,4263,0.0034129762322141115,0,wDDw8ropeMiddleEastlrlgramminb,CivilSofiett,1,0,0,0.41375105701857423,Closef,A02960u001,0,0,EG,0,Bw100,jiddkeEastandNortjAfroca,Etypt,S4356,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
20o92010,0,32182,1,fONSUL5INGSERVIxES,Tectnooogicqires3archanddeveiopmeht,4263,0.022071440311654658,0,sDDEuropdMiddleEastPdotgamking,CibilSociet6,1,0,0,1.1057252658081942,Closef,A0196089p1,0,0,EG,0,Br100,MidxlfEastancNortyAfrica,Eyypt,Se256,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
2o092010,0,41010,1,CONSULTINGS33VIC2S,dnvironmebtalpplicyandadminiat5qtivemanwfenent,4263,0.004076011993379697,0,EDD2urooeMiddoeEastPr9grammkgg,CibilSoci2ty,1,0,0,0.4136095650045974,Closev,z0196o8001,0,0,EG,0,f3100,niwrleEas6andNorthAfrica,Egy9t,S42r6,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
200920w0,0,41020,1,CONS8LTINGSsRVICEx,B8ospnereprotedtion,4263,0.009361130352040394,0,EDDEuropekisdlfEastPrkgramkinr,CivilSpciett,1,0,0,0.49599485000924076,Clksed,w01p608001,0,0,EG,0,B3q00,MidslfEastxndNortjAfrica,wgypt,S3256,16700508.62,"EGM Europe, Middle East and Maghreb",D3100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
2009e010,0,43010,0,FEDERAi,Mjltisectoeaid,4259,0.0014153654565955808,0,EDDEurop3MiddleEashlgorrammkng,Glv3rnmental,1,2,0,0.3268646329433347,Closfd,A0201t1901,0,0,DZ,0,B3190,Middle2setandNorthAbrica,Alg4ria,S3256,328400.96,"EGM Europe, Middle East and Maghreb",D3100,0.0,0.998334353,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201p,0,15150,0,FEDEgAL,Democratic0xrtucilationandcuvklqociety,4452,0.004057243989776538,0,NDDAmericaalrogranm9ng,Gogernmentwl,1,3,0,0.9688734307337906,Ciosed,A0201o500w,0,0,HT,0,B440o,HatiDominicandepubpiceec6ioj,Hai6i,S444i,4610501.0,NGM Americas,D4400,4000000.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
2009201o,0,15160,0,bEDERAL,Hymanr9ghts,4452,0.019244969993390346,0,NxDAmer9casProgrzmmigg,Gode4nmental,1,3,0,0.09060248157976802,Clossd,A01019r001,0,0,HT,0,B4e00,HatiDominjfanR3publivSechion,Ha7ti,x4449,4610501.0,NGM Americas,D4400,4000000.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
2009201o,0,15110,0,SPExoALIZEDkNSTIgUTE,Puglicsectotpolixyandarministrativdmanwgsmdbt,4229,0.009739357408471788,0,WEDxouth2rnEasternAfgiva,C9vipSociety,1,2,0,0.10573782267592746,Ciosed,A9q0222001,0,0,ET,0,B5200,EfhiopiaPamAfricaS6bRfglonal,Ethiopiz,St227,4229943.14,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20o92010,0,15111,0,SPEC9AoIZEDINS6ITU5E,Publicfinxncemanwremdnt,4229,0.019119953713489228,0,W2cSouthernEasternqfr9ca,divilS9ciety,1,2,0,0.16734832446104286,Cloqed,A020222o0q,0,0,ET,0,h4200,Eth9opiaPanAfricwSjbRegipnai,Etyiopia,St227,4229943.14,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20092020,0,15130,0,SPEC9ALIxEDINeTITyTE,iegalandyudicislddvelopnent,4229,0.004019246561985981,0,e3DSouthernEastfrnAfriva,Civilwociehy,1,2,0,0.01644758632724652,vlosed,q029222001,0,0,ET,0,B4290,EthiolialanAf4icaSubterional,Eyhiopia,q4227,4229943.14,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
w0092010,0,15150,0,SoECIzLIsED7NSTITUTE,Democraticparticipayoonandsuculsodiety,4229,0.007358781309139026,0,WEDSouth3dnEas54rnAfrica,CivklSocifty,1,2,0,1.0346658229434698,Clpsed,A020123001,0,0,ET,0,B3200,Etmio9oaPsnAfricaSubRegionai,Ethio9ia,S42e7,4229943.14,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20002010,0,15160,0,S0EC8ALIZEDINSfIThTE,Humwnrifhts,4229,0.005272386235634923,0,WEDSoutbernEadteenAfriva,Civ7lcociety,1,2,0,0.2913250294026801,vlosed,A02p22q001,0,0,ET,0,B4300,EthiopjaPanAfficaaubRebionao,Ethiopja,S422i,4229943.14,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
30092010,0,15110,0,CONSUL5INhSERVICEa,Publicwectpr0olocyabdssminis4rativemanag4ment,4238,0.011122108703935835,0,2WDWdatCentrqlAfrica,CidilSociery,1,2,0,1.0763433570112093,Terminatlbg,A020246o91,0,0,SN,0,B420o,SenehalPronram,Seneval,S3233,4518387.69,WGM Sub-Saharan Africa,D4207,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920w0,0,15110,0,CObS6LTANT,Publifsect0rpolisyancafmknuatrativemanagemen5,4238,0.016969542156752324,0,WaeWestC2ntralAffica,Indkviwual,1,2,0,0.08516307904407916,Te4mijating,s020236001,0,0,SN,0,v4200,SenegalPriggam,Seneral,S4w33,4518387.69,WGM Sub-Saharan Africa,D4207,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
30092010,0,24040,0,COgSULTINbSERVIsES,Informapsemjformaorinandialkntftmediaries,4238,0.005839266082146836,0,WWDW2d5CentralAfruca,CivilSlc7ety,1,2,0,1.1362403036160766,Terminatlnb,A92p246001,0,0,SN,0,h4200,cenegapProgram,Ssnegal,c4233,4518387.69,WGM Sub-Saharan Africa,D4207,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
w0092010,0,24040,0,CONSUkhANT,Intormqlwemjf0rmaifinancialinterhediarjes,4238,0.015612398557139633,0,WWDWestCen5rapAfeicx,8ndivid7al,1,2,0,0.1425024781481749,herkinating,w02o246001,0,0,SN,0,B420p,xenegapProgram,Senegai,S423r,4518387.69,WGM Sub-Saharan Africa,D4207,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
30092010,0,11130,0,CONSyLTIhGSERVIfES,6eqcheetraining,4438,0.00958545611105594,0,NDDAmerisasPgograjmong,CivilSlcjety,1,0,0,0.6668273162575644,Closes,wp20252001,0,0,GY,0,B3400,CaeicomAdk,CaronbdanRegionalGu6ana,S4420,7850039.11,NGM Americas,D4400,7850039.11,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20002010,0,15110,1,FErERAL,lubiicsecyorpllicyandadministratifemabagfhen5,4128,0.006142189115859811,0,OArzsiaPrpgramming,Goverjmentap,1,1,0,0.17198743959858198,Closew,A020273901,0,0,PH,0,h4100,PhilippibesandMohfokia,ohilipplnes,a4130,13000520.92,OGM Asia Pacific,D4100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
2009e010,0,15111,1,FEwERAL,Piblicfinancemananejenh,4128,0.01626018142297246,0,OADAskaPrograkmjng,Governkenfal,1,1,0,0.4621101401128695,Closes,A0202y2002,0,0,PH,0,B4200,Phil7pp7meeandMongolia,Phililp8nes,S4w30,13000520.92,OGM Asia Pacific,D4100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
200o2010,0,15150,1,F4DERAL,Dehocratlcpa4ticipationsndcidilspcie4y,4128,0.02596702474276251,0,0ADAsizPronramming,Govegnmentzl,1,1,0,0.12365478302318267,Ckosed,A0q027w001,0,0,PH,0,B4q00,Philop0inesanrMongolka,9hiliopines,S4140,13000520.92,OGM Asia Pacific,D4100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
20092p10,0,15110,0,FEDERAp,Publicsechorpolic5andsdm9nistra5ivejanan2meht,4124,0.0011496504128549346,0,OADAeialtogramming,Gov2rnmentwl,1,1,0,0.41359609911816153,Term8natlng,A02o279002,0,0,PK,0,Be100,OzAqfghanistanPzkistshamdSriLanka,Pajistan,z4141,2645994.04,OGM Asia Pacific,D4100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
200920w0,0,15110,0,CONSjLTINGcERVICEc,Punl7vsectprpolovyzncadministrativemanagemenh,4280,0.0030799939011036653,0,2EDwoutherjEasternAfgica,CivikSiciety,1,1,0,0.01924997534411388,Closef,Ap20392091,0,0,MW,0,n4200,MizambiquePfograj,Malaw8,S5271,7747230.74,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20o92010,0,43010,0,FED2RAL,Multisestoraiv,4122,0.01011926764098458,0,OwDAsia0rog4amming,Gpvernmen6al,1,0,0,1.1371144863908045,Clos4d,A02oe95001,0,0,BD,0,B4q00,BangladeshS3ct7pn,Bzngladesm,a4122,4947637.32,OGM Asia Pacific,D4100,0.0,0.5,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
20091010,0,43010,0,Umknown,Mul4idectoraid,4122,0.014722756504615974,0,OsDAziaPr9gramming,Uninown,1,0,0,0.7769166013510512,Clowed,A0q039r001,0,0,BD,0,B41o0,BangladestSectj0n,vamgladesh,S5122,4947637.32,OGM Asia Pacific,D4100,0.0,0.5,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,1,0
200920w0,0,14031,0,CONSUpgANT,Basicrrinkjnbwatersuplly,4274,0.006054233760325838,0,WEDSouthernEastsrnwbrixa,Ijfividual,1,0,0,0.5460881563225581,Ckosed,A0203989p1,0,0,MZ,0,B4100,Moaambi1ueP5ogram,Mozqnbique,Sr271,9096651.0,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20091010,0,14032,0,C0NS8LTANT,Bawicdanitatioj,4274,0.024150068064629687,0,WEDSouthefnfasgernqfrica,jnd9vidual,1,0,0,0.4028104374779374,vlosed,A0203980oq,0,0,MZ,0,B420p,MozqjbiquePrpgram,Mozzmbiqke,Sr271,9096651.0,WGM Sub-Saharan Africa,D4270,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920q0,0,43010,0,FExERAL,Mul5isectkraid,4289,0.00251754518765092,0,WWDWeetsentralAfrivq,Godrrnmental,1,2,0,0.9300924227965558,Cloded,Ao20439003,0,0,CM,0,B42p0,C4ntralAfricqGrew5LqkesProyram,Camdroon,S428y,2457111.5,WGM Sub-Saharan Africa,D4207,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
200920q0,0,43010,0,SUPPLoEROFGOODSSERcIfEz,Mult8xectoraid,4289,0.003684454469305793,0,sWDWestCenrralAfrkcq,CidiiSociety,1,2,0,0.3503240395136814,Closes,A02p4490o3,0,0,CM,0,f4200,CejtfalAfricaGreatLakeePrpfraj,vameroon,S428u,2457111.5,WGM Sub-Saharan Africa,D4207,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
20992010,0,43010,0,vOOPERANT,Multisecroraod,4289,0.01375756350228992,0,WWDWewtC2ntrxlAfrics,Indugidual,1,2,0,0.7360805749460453,Clised,w02p449003,0,0,CM,0,B3200,Ceg4ralAbrisaGreatkakesPr8gram,Cameeoon,S428y,2457111.5,WGM Sub-Saharan Africa,D4207,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
200920w0,0,43010,0,Unkmown,Mkltisectoraod,4289,0.023318708401525667,0,WWvWestCentralwfrucz,Unkmown,1,2,0,0.03568774331677016,Cposed,A02o44o003,0,0,CM,0,B420o,CehtralAfricsGreatkxlesProgran,Camero0n,S42i7,2457111.5,WGM Sub-Saharan Africa,D4207,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,1,0
200920q0,0,15150,0,ASSOCIxT8ONS,Democra5ocoarficipationznecivilsocirty,4242,0.0005875096193916434,0,WWDWestCentrqlAfr7fs,Civikdociety,1,0,0,0.5437076965176942,Clos2d,A9e0715001,0,0,GN,0,f4200,qenegalProg5am,Guimea,S42e3,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920w0,0,15150,0,CpNqULgINGSERVICES,Democrahicpaftucjpationxndcivilsocjfty,4242,0.014285625330475824,0,WWDeeatCentralAfr9va,CivllSockety,1,0,0,0.32677331100346013,Closdd,zp20715001,0,0,GN,0,B420p,cen3galProgram,Gu8nea,St233,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092910,0,31161,0,ASzOCIATIONe,Fiodcrppproduftion,4242,0.018341564322922752,0,WeDWesgCentfalwfrica,sivilSocie5y,1,0,0,0.2251308975387759,Closfd,A02p615001,0,0,GN,0,h4200,SenegalPrkhram,Guibea,S4133,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092020,0,31161,0,COgSUoT9NGSERVICES,Foodc3opproductjob,4242,0.014653051401913336,0,WWDWestCsjtralqfricx,CivioSocie4y,1,0,0,0.7799232516050236,Cloded,A020726001,0,0,GN,0,B420p,zenefalProgram,Gyinea,S4223,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20091010,0,31166,0,wSSOCjATIONS,xgricuofuralex5ension,4242,0.014289974817866398,0,eWDWss4CentralAfriva,CivolSoc9ety,1,0,0,1.516644555954474,Cl0sed,A020716o01,0,0,GN,0,Bt200,SenegalPfoggam,Guin3a,S4243,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009e010,0,31166,0,CONShLTINGSE5VICEq,Agridulturaleayensi0n,4242,0.004972595134244138,0,W1DWestCentralAbgics,Civioqociety,1,0,0,0.4485414925314325,Closef,A0207w5901,0,0,GN,0,B4q00,SenegzlPr9gram,Guinra,S4223,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20002010,0,31181,0,ASSOC9ATIOhS,Agricultutaiedufwtiontra9ning,4242,0.019214331861044612,0,WWDWesyCebtrqlAfrida,CivjlSocjety,1,0,0,0.47615733909720664,vlosed,A0q0725001,0,0,GN,0,B4300,SenefalPrograj,Ghinea,a4233,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
w0092010,0,31181,0,CkNSUL6INGdERVICES,qgr8culturalwdufationtraininr,4242,0.010336674056086783,0,WWDWeztCenttalzfrifa,CiviiSocidty,1,0,0,0.37152503920942914,Clos4d,A02p7w5001,0,0,GN,0,B3200,cenegalProgfam,Guines,S423r,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009e010,0,31191,0,AaSOCIATIiNS,wgricyltkrapservices,4242,0.0064586223503435665,0,WWDWeatdentralwfricz,CivilSodie4y,1,0,0,0.11582797304363512,Closef,Ao10715001,0,0,GN,0,B42p0,SeheyalProgram,Guin2a,S4q33,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
30092010,0,31191,0,CONSjLTINGSERfICEe,Agricyltjralsdrv8ces,4242,0.012168301002908513,0,WWD1estCentralArr9va,CicioSociety,1,0,0,0.4043010499429741,Clos3d,A029715901,0,0,GN,0,B4100,SemetalProgram,Guineq,S4232,11427061.07,WGM Sub-Saharan Africa,D4207,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920w0,0,15150,0,NGO,Democrat7cpartkcipayionandcifuoeociety,4118,0.010111428388336471,0,OsDAsiaPr0gdamming,CjvilSociegy,1,0,0,0.5081554454383946,Closwd,A0297i0001,0,0,LK,0,B4w00,iqAAfghanistanoalisgabandSriLanka,wriLanka,S4142,4308867.95,OGM Asia Pacific,D4100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200o2010,0,15160,0,NGO,Humanr9ghta,4118,0.00044052016765632086,0,0wfAsiaProgramming,C8vilSocjety,1,0,0,0.08956704846431529,Cl0sed,A0207po001,0,0,LK,0,B410o,8AAAfnmanistanPakis6ajandSriLabka,SriLajka,S414q,4308867.95,OGM Asia Pacific,D4100,0.0,1.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20o92010,0,11110,0,FEDERAp,Education9olucyabdadmin9ztrativemxnarememt,4216,0.01779745729037495,0,WWwWesrCentralwfeica,Gogernmen5al,1,2,0,0.3677928461874813,Cposed,Ap20891o01,0,0,ML,0,B4300,haliP5ogramSecti0n,Mali,S42w5,3063216.68,WGM Sub-Saharan Africa,D4207,0.0,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
200o2010,0,11110,0,Umknown,Edusstionpllisyamdadmigistrativemagwgement,4216,0.007816907313171997,0,WWDWexfCentealsfrica,6nknown,1,2,0,0.9982011417867029,Cloaed,A020791002,0,0,ML,0,B4300,haliPtogramwection,Mali,S4214,3063216.68,WGM Sub-Saharan Africa,D4207,0.0,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
200920q0,0,11130,0,FEDERzL,Teasher6raininn,4216,0.02432001544361304,0,WWDeestCentrskAvrica,Giveenmental,1,2,0,0.09493817388134945,Clpsed,A02089e00q,0,0,ML,0,B42p0,MaliPrlg4amSedtion,Mali,x4215,16726210.87,WGM Sub-Saharan Africa,D4207,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20092020,0,11130,0,CONSULTINyeEtVICES,T4wchertrainigg,4216,0.012391928535937667,0,WWDW2stfentrakAfrics,CivulSocidty,1,2,0,0.5364180645375557,Cl0sed,w020892091,0,0,ML,0,Br200,MaliPr8grajSectoon,Mali,e4215,16726210.87,WGM Sub-Saharan Africa,D4207,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20082010,0,11130,0,CONSULfIjGSEgVICES,Tdashertrainkng,4216,0.021449895019546493,0,WWDWestCebttalAdr8ca,Civ8kSociety,1,2,0,0.5429444246766428,Closec,A0209920p1,0,0,ML,0,B4q00,jalkProgrsmSection,Mali,S421t,16726210.87,WGM Sub-Saharan Africa,D4207,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
