ASSI,CUB,ASTAI,ASSTT,SRI,TISI,ASSCA,Descr,RELATIT,ASSUBFR,CEI,Ti,CONSCO,SRASI,CHI,BFOR,VARII
36,Autocuration,10116.0,,1,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,U,,,22226,0,,CHEMBL615148,BAO_0000019,
37,Autocuration,562.0,,1,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,U,,,22226,0,,CHEMBL615149,BAO_0000019,
38,Autocuration,,,1,,,Dissociation constant with dimeric 16S rRNA RNA construct B,U,,,22226,0,,CHEMBL615150,BAO_0000019,
39,Intermediate,,,1,,,Dissociation constant towards 16S rRNA construct A,M,,,22222,3,,CHEMBL615151,BAO_0000225,
40,Intermediate,,,1,,,Dissociation constant towards 16S rRNA construct B,M,,,22222,3,,CHEMBL615152,BAO_0000225,
41,Expert,562.0,,1,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,M,,,100263,3,,CHEMBL615153,BAO_0000225,
42,Expert,562.0,,1,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,M,,,100263,3,,CHEMBL615154,BAO_0000225,
43,Autocuration,,,1,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,,13053,8,,CHEMBL615155,BAO_0000019,
44,Autocuration,,,1,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,,13053,8,,CHEMBL615156,BAO_0000019,
45,Autocuration,9606.0,,1,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,,,20001,8,,CHEMBL615157,BAO_0000019,
46,Autocuration,9606.0,,1,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,,,20001,8,,CHEMBL615158,BAO_0000019,
47,Expert,10116.0,,1,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,,,12971,9,,CHEMBL615159,BAO_0000019,
48,Expert,10116.0,,1,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,,,12971,9,,CHEMBL615172,BAO_0000019,
49,Expert,10116.0,,1,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,,,12971,9,,CHEMBL615173,BAO_0000019,
50,Expert,10116.0,,1,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,,,12971,9,,CHEMBL615174,BAO_0000019,
51,Autocuration,,,1,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,,13053,8,,CHEMBL884518,BAO_0000019,
52,Autocuration,,,1,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),H,,,11512,8,,CHEMBL615175,BAO_0000357,
53,Autocuration,,,1,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,H,,,11512,8,,CHEMBL615176,BAO_0000357,
54,Autocuration,,,1,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,H,,,11512,8,,CHEMBL615177,BAO_0000357,
55,Autocuration,10116.0,,1,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,D,Membranes,,104740,5,,CHEMBL615178,BAO_0000249,
56,Intermediate,9606.0,,1,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,N,,506.0,80002,1,,CHEMBL615179,BAO_0000219,
57,Autocuration,10116.0,,1,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,D,,,104835,7,,CHEMBL615180,BAO_0000219,
58,Autocuration,10116.0,,1,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,D,,,104821,7,,CHEMBL615181,BAO_0000219,
59,Autocuration,10116.0,,1,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,D,,,104848,7,,CHEMBL615182,BAO_0000219,
60,Expert,9606.0,,1,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,N,,506.0,80002,1,,CHEMBL615183,BAO_0000219,
61,Intermediate,9606.0,,1,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,N,,506.0,80002,1,,CHEMBL615184,BAO_0000219,
62,Intermediate,9606.0,,1,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,N,,506.0,80002,1,,CHEMBL615185,BAO_0000219,
63,Intermediate,9606.0,,1,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,N,,506.0,80002,1,,CHEMBL615186,BAO_0000219,
64,Intermediate,9606.0,,1,,,Effective dose of compound against replication of 1A9 cell line was evaluated,N,,506.0,80002,1,,CHEMBL615187,BAO_0000219,
65,Expert,9606.0,,1,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,N,,506.0,80002,1,,CHEMBL885343,BAO_0000219,
66,Intermediate,9606.0,,1,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),N,,506.0,80002,1,,CHEMBL615188,BAO_0000219,
67,Intermediate,9606.0,,1,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,N,,506.0,80002,1,,CHEMBL615189,BAO_0000219,
68,Intermediate,9606.0,,1,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,N,,506.0,80002,1,,CHEMBL615190,BAO_0000219,
69,Intermediate,9606.0,,1,,,Inhibitory activity against Taxol resistant 1A9 cell lines,N,,506.0,80002,1,,CHEMBL615191,BAO_0000219,
70,Expert,9606.0,,1,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,N,,506.0,80002,1,,CHEMBL615192,BAO_0000219,
71,Expert,9606.0,,1,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,N,,506.0,80002,1,,CHEMBL827083,BAO_0000219,
72,Expert,9606.0,,1,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,N,,506.0,80002,1,,CHEMBL615193,BAO_0000219,
73,Intermediate,9606.0,,1,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,N,,506.0,80002,1,,CHEMBL615194,BAO_0000219,
74,Intermediate,9606.0,,1,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,N,,506.0,80002,1,,CHEMBL615195,BAO_0000219,
75,Intermediate,9606.0,,1,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,N,,506.0,80002,1,,CHEMBL615196,BAO_0000219,
76,Intermediate,9606.0,,1,,,Inhibitory concentration against Jurkat cells,N,,503.0,81072,1,,CHEMBL615197,BAO_0000219,
77,Intermediate,,,1,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,U,,,22226,0,,CHEMBL615198,BAO_0000019,
78,Expert,10116.0,,1,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,D,,,100121,9,,CHEMBL615199,BAO_0000357,
79,Expert,,,1,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,,,11231,8,,CHEMBL615200,BAO_0000357,
80,Expert,,,1,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,,,11231,8,,CHEMBL615201,BAO_0000357,
81,Expert,,,1,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",H,,,11231,8,,CHEMBL615202,BAO_0000357,
82,Autocuration,5476.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",H,Microsomes,,11231,8,,CHEMBL615203,BAO_0000251,
83,Autocuration,5476.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",H,Microsomes,,11231,8,,CHEMBL615204,BAO_0000251,
84,Autocuration,4932.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",H,Microsomes,,11231,8,,CHEMBL615205,BAO_0000251,
85,Autocuration,4932.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",H,Microsomes,,11231,8,,CHEMBL615206,BAO_0000251,
86,Autocuration,9823.0,,1,2107.0,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",H,Microsomes,,12083,8,,CHEMBL615207,BAO_0000251,
87,Autocuration,10116.0,,1,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",H,,,11231,8,,CHEMBL827084,BAO_0000019,
88,Autocuration,10116.0,,1,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",H,,,11231,8,,CHEMBL615208,BAO_0000019,
89,Autocuration,10116.0,,1,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",H,,,11231,8,,CHEMBL615209,BAO_0000019,
90,Autocuration,10116.0,,1,2107.0,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",D,Microsomes,,12083,9,,CHEMBL615210,BAO_0000251,
91,Autocuration,10116.0,,1,2107.0,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,Microsomes,,12083,9,,CHEMBL615211,BAO_0000251,
92,Autocuration,10116.0,,1,2107.0,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,Microsomes,,12083,9,,CHEMBL615212,BAO_0000251,
93,Expert,,,1,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),H,,,11377,8,,CHEMBL615213,BAO_0000357,
94,Expert,,,1,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,H,,,11377,8,,CHEMBL615273,BAO_0000357,
95,Expert,9606.0,,1,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,,726.0,81020,1,,CHEMBL615274,BAO_0000219,
96,Intermediate,9606.0,,1,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,N,,726.0,81020,1,,CHEMBL615275,BAO_0000219,
97,Intermediate,9606.0,,1,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,N,,726.0,81020,1,,CHEMBL615276,BAO_0000219,
98,Intermediate,9606.0,,1,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,N,,726.0,81020,1,,CHEMBL615277,BAO_0000219,
99,Intermediate,9606.0,,1,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,N,,726.0,81020,1,,CHEMBL615326,BAO_0000219,
100,Expert,10407.0,,1,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,,,50606,1,,CHEMBL883130,BAO_0000218,
101,Intermediate,9606.0,,1,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,N,,726.0,81020,1,,CHEMBL884519,BAO_0000219,
102,Intermediate,9606.0,,1,,,Concentration required to inhibit 50% of 2.2.15 cell line,N,,726.0,81020,1,,CHEMBL615327,BAO_0000219,
103,Intermediate,9606.0,,1,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,N,,726.0,81020,1,,CHEMBL615328,BAO_0000219,
104,Intermediate,9606.0,,1,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,N,,,50587,1,,CHEMBL615329,BAO_0000218,
105,Intermediate,9606.0,,1,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,N,,,50587,1,,CHEMBL615330,BAO_0000218,
106,Expert,10407.0,,1,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",N,,,50606,1,,CHEMBL615331,BAO_0000218,
107,Intermediate,9606.0,,1,,,In vitro anti-HBV activity in 2.2.15 cells,N,,,50587,1,,CHEMBL615332,BAO_0000218,
108,Intermediate,9606.0,,1,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,N,,,50587,1,,CHEMBL615333,BAO_0000218,
109,Intermediate,9606.0,,1,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,N,,,50587,1,,CHEMBL615334,BAO_0000218,
110,Intermediate,9606.0,,1,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,N,,,50587,1,,CHEMBL615335,BAO_0000218,
111,Intermediate,9606.0,,1,,,Cytotoxicity in 2.2.15 cells,N,,,50587,1,,CHEMBL615336,BAO_0000218,
112,Intermediate,9606.0,,1,,,Cytotoxicity in 2.2.15 cells; Not determined,N,,,50587,1,,CHEMBL615337,BAO_0000218,
113,Intermediate,9606.0,,1,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,N,,,50587,1,,CHEMBL615338,BAO_0000218,
114,Intermediate,9606.0,,1,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,N,,,50587,1,,CHEMBL615339,BAO_0000218,
115,Intermediate,9606.0,,1,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,N,,,50587,1,,CHEMBL615340,BAO_0000218,
116,Intermediate,9606.0,,1,,,Antiviral activity against HBV was determined in 2.215 cell line,N,,726.0,81020,1,,CHEMBL615341,BAO_0000219,
117,Autocuration,9606.0,,1,,,Inhibition of 20-HETE synthesis in human renal microsomes,U,Microsomes,,22226,0,,CHEMBL615342,BAO_0000251,
118,Autocuration,,,1,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,U,,,22226,0,,CHEMBL615343,BAO_0000019,
119,Intermediate,9606.0,,1,,,Inhibitory concentration against 2008 (ovarian) cells,N,,388.0,80612,1,,CHEMBL615344,BAO_0000219,
120,Intermediate,9606.0,,1,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,N,,388.0,80612,1,,CHEMBL615345,BAO_0000219,
121,Intermediate,9606.0,,1,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),N,,388.0,80612,1,,CHEMBL615346,BAO_0000219,
122,Intermediate,9606.0,,1,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,N,,388.0,80612,1,,CHEMBL615347,BAO_0000219,
123,Intermediate,9606.0,,1,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,N,,388.0,80612,1,,CHEMBL615348,BAO_0000219,
124,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/R ovarian cancer cell line,N,,561.0,80613,1,,CHEMBL827085,BAO_0000219,
125,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,N,,561.0,80613,1,,CHEMBL615349,BAO_0000219,
126,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/S ovarian cancer cell line,N,,389.0,80614,1,,CHEMBL615350,BAO_0000219,
127,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,N,,389.0,80614,1,,CHEMBL615351,BAO_0000219,
128,Expert,9606.0,,1,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,S,,,100256,2,,CHEMBL615352,BAO_0000220,
129,Intermediate,9606.0,,1,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,S,,,100256,2,,CHEMBL615353,BAO_0000220,
130,Expert,,,1,,,Inhibition of chymotrypsin-like activity of 20S proteasome,S,,,100256,2,,CHEMBL615354,BAO_0000220,
131,Expert,,,1,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,S,,,100256,2,,CHEMBL615355,BAO_0000220,
132,Intermediate,,,1,,,Inhibitory activity against 20S proteosome,S,,,100256,2,,CHEMBL615356,BAO_0000220,
133,Autocuration,9606.0,,1,,,Compound was tested for inhibitory activity against tryptase,U,,,22226,0,,CHEMBL615357,BAO_0000019,
134,Intermediate,9606.0,,1,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,N,,726.0,81020,1,,CHEMBL615358,BAO_0000219,
135,Intermediate,9606.0,,1,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,N,,726.0,81020,1,,CHEMBL827086,BAO_0000219,
136,Autocuration,,,1,,,Compound was tested for the inhibition of Alpha-glucosidase,U,,,22226,0,,CHEMBL615359,BAO_0000019,
137,Autocuration,,,1,,,Inhibitory concentration against human neutrophil elastase (HNE),H,,,235,8,,CHEMBL615360,BAO_0000357,
138,Autocuration,10116.0,,1,948.0,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,U,,,22226,0,,CHEMBL615361,BAO_0000218,
139,Autocuration,,,1,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,19640,8,,CHEMBL615362,BAO_0000019,
140,Expert,,,1,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,19640,8,,CHEMBL615363,BAO_0000019,
141,Autocuration,,,1,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,19640,8,,CHEMBL615364,BAO_0000357,
142,Expert,,,1,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,19640,8,,CHEMBL615365,BAO_0000019,
143,Intermediate,10090.0,,1,,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,N,,524.0,80360,1,,CHEMBL615366,BAO_0000219,
144,Intermediate,10090.0,,1,,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,N,,524.0,80360,1,,CHEMBL615367,BAO_0000219,
145,Intermediate,9606.0,,1,,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,N,,554.0,80384,1,,CHEMBL615368,BAO_0000219,
146,Autocuration,9940.0,,1,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,U,,,22226,0,,CHEMBL615369,BAO_0000019,
147,Autocuration,9940.0,,1,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,U,,,22226,0,,CHEMBL615370,BAO_0000019,
148,Autocuration,,,1,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),H,,,191,8,,CHEMBL615673,BAO_0000357,
149,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,U,,,22226,0,,CHEMBL615674,BAO_0000019,
150,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,U,,,22226,0,,CHEMBL615675,BAO_0000019,
151,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,U,,635.0,22226,0,,CHEMBL615676,BAO_0000219,
152,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,U,,635.0,22226,0,,CHEMBL615677,BAO_0000219,
153,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,U,,635.0,22226,0,,CHEMBL615678,BAO_0000219,
154,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,U,,635.0,22226,0,,CHEMBL615679,BAO_0000219,
155,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,U,,,22226,0,,CHEMBL615680,BAO_0000019,
156,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,U,,,22226,0,,CHEMBL615681,BAO_0000019,
157,Autocuration,,,1,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,H,,,104290,6,,CHEMBL857972,BAO_0000249,
158,Intermediate,1314.0,,1,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,N,,,50264,1,,CHEMBL857899,BAO_0000218,
159,Intermediate,10335.0,,1,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),N,,,50527,1,,CHEMBL615371,BAO_0000218,
160,Expert,10335.0,,1,,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,N,,468.0,50527,1,,CHEMBL615372,BAO_0000218,
161,Intermediate,10335.0,,1,,,Antiviral activity against 07/1 strain of VZV; ND: No data,N,,,50527,1,,CHEMBL615373,BAO_0000218,
162,Intermediate,10335.0,,1,,,Antiviral activity against 07/1 strain of VZV; ND=No data,N,,,50527,1,,CHEMBL615374,BAO_0000218,
163,Intermediate,561.0,,1,,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",N,,,50145,1,,CHEMBL615375,BAO_0000218,
164,Autocuration,,,1,,,Ratio of Ki at A2 to Ki at A1 receptors,U,,,22226,0,,CHEMBL615376,BAO_0000019,
