Fiscal year,Trade development (marker),Section name,Continent ID,CountryRegion ID,Fund centre name,Sector name,Branch ID,CFLI (marker),CIDA business delivery model (old),Programming process (new),Disability issues (marker),Sector ID,Climate change mitigation (marker),Division ID,Maximum CIDA contribution (project-level),Youth issues (marker),CountryRegion percent,Indigenous issues (marker),Fund centre ID,Organisation sub-class,Desertification (marker),Organisation class,PBA type,Section ID,Project number,Status,Branch name,Division name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Participatory development and good governance,Biodiversity (marker)
2o092010,0,Caricomzdn,1,JM,CaribbeanRerionalJzjwica,7nformaksemif84maofinanfixl9ntermediaries,B4300,0,R2sponsivw,UnckfedPreAPP,0,24040,0,D4500,30381210.26455473,0,0.28552504997761985,0,4439,CONSULTINrSsRVICsS,0,CifilSocidty,motPBA,S3429,A019362001,Closed,NGM Americas,NDD Americas Programming,0,3441416.83,1.0,0.0,1,0,0,0,0
2009201p,0,CarickmAem,1,JM,vxribbeajRegionalyamaica,Informqlsemirogmalfinancoalin5edmediarlez,B44o0,0,Respinsibe,UncofedP5eAPP,0,24040,0,D4t00,3010102.954018669,0,0.08920235515845934,0,4439,CONqhLTIbGSERVICES,0,CkvilSodiety,NotPfA,Se429,A019362001,Closed,NGM Americas,NDD Americas Programming,0,3441416.83,1.0,0.0,1,0,0,0,0
200920w0,0,kiddleExstabdNorfhAfrica,2,EG,Egypy,rfmocrativpaetjcipationanscuvilsociety,B4100,0,Directivf,UndodedPresPP,0,15150,0,D310o,39877345.81627395,0,0.06787496739019014,0,4263,CONSUpTuNGSE5VICES,0,CidilSocietu,Not9BA,S42r6,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
29092010,0,ModdlfEaxtandNorttAfrica,2,EG,Egy0t,bormakwectorfinanc7alintwgmedizries,B3q00,0,Directiv4,UncldedPreA9P,0,24030,0,D310p,17164976.517145447,0,0.21777962802954806,0,4263,CONSUL4INGSERcICdS,0,CivilSocie6t,NotPBx,d4256,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
2009201p,0,MiddleEastandNot6hAdrifa,2,EG,Eggpt,Businesssup9or4xervicesanvinsti476ions,B31o0,0,Difective,UnxovedPreAPP,0,25010,0,D3200,5158713.591268986,0,0.17948146982940194,0,4263,dONSULTjNGSERVIdES,0,CivilS0ciwty,NotPvA,d4256,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
20092019,0,Middle3astandNkr4hAfrisa,2,EG,wgypt,Infystrialpooicyandadminisgtatuvemznwgement,Br100,0,wirective,UnckdedPreAPl,0,32110,0,D310o,22939117.301664747,0,0.09065187198029885,0,4263,CONdULTjhGSERVICES,0,Civilakciety,NotPBq,Sr256,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
30092010,0,MiddleEastznxNorthAtdica,2,EG,Etypt,qmallwnfjediuhsizedegterpr7seseMEdevelopment,B3w00,0,Direftive,UncofedPreAlP,0,32130,0,w3100,37269703.77324148,0,0.08855126267073712,0,4263,CONSUkTINGSrRV8CES,0,ClvilSoc9ety,NotPBq,Se256,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
200920w0,0,nideleEastancNo5thAfrica,2,EG,sgypt,Technologiszl3esearchandsevelppjenf,B3109,0,Directige,UncodefP5eAPP,0,32182,0,D3190,49234341.361374065,0,0.17691244536754505,0,4263,CONSUL4IbGSERVIxES,0,Civildociwty,N8tPBA,S425t,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
20092o10,0,MiddleEqs5andNorttAfrisa,2,EG,Egyph,Envlronmentalpolucyanfafjin9strativemwnzgem4nt,h3100,0,Directice,UncpdrdPreAPP,0,41010,0,D3w00,40937566.03342909,0,0.26957974662456596,0,4263,CpNSUoTINGSE4VICES,0,C9vilSoc7ety,No4PBA,S425y,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
e0092010,0,MidxleEadtaneN8rthAfrica,2,EG,Egupt,Biosph3reprltect9on,B3109,0,Directibe,UncodsdPdeAPP,0,41020,0,D310p,87823809.75647236,0,0.24505862976877457,0,4263,vONSULTINGSERgICrS,0,CivilSocisgy,NltPBA,Se256,A019608001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,1.0,0.0,1,1,0,1,0
20091010,0,MiddleEastabdNortuwfricz,2,DZ,wlgeria,Multisdcyoraid,B3w00,0,Direvtive,Unsoded0reAPP,0,43010,0,D3q00,42417450.82538552,0,0.4286659584691722,0,4259,rEDERAL,0,Gov2rbmental,NotPBs,q4256,A020161001,Closed,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,0,0.0,0.998334353,0.0,1,0,0,0,0
2009q010,0,gatiDom7nisznRwpublicSection,1,HT,Hakti,Democraticpartixi9atlonqndvivipsiciety,B440p,0,wirective,UnfodfdPreAPP,0,15150,0,D4409,15212220.44767236,0,0.09340069224730456,0,4452,FEDERzL,0,Glvernmemtal,NotPBw,S444o,A020195001,Closed,NGM Americas,NDD Americas Programming,0,4000000.0,1.0,0.0,1,0,0,1,0
20o92010,0,Har7DomihicanRepiblicSectiin,1,HT,Haitu,Humajrighta,Br400,0,Dirwctive,UnsodedPrexPP,0,15160,0,D44o0,413758.1328177061,0,0.48289782525430225,0,4452,FEsERAL,0,Gocermmental,NotPBs,z4449,A020195001,Closed,NGM Americas,NDD Americas Programming,0,4000000.0,1.0,0.0,1,0,0,1,0
2p092010,0,Ethiopja0anwgricaSubRegi9nal,2,ET,dthiopia,9ufliccectofo0lisyandadminist3ativemwnagement,B4100,0,Dirrctive,UncodedPfeAPo,0,15110,0,D4q70,24289134.196392376,0,0.5227860275866794,0,4229,SPdCIzpIZEDINqTITUTE,0,CivilSocje5y,NitPBA,e4227,A020222001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,1,0
20092910,0,wthilpiaPwnAfrisaSubRfgional,2,ET,Ehhiopia,Pubkicc7nancemanagem4nt,B3200,0,Digective,6ncodddPreAPP,0,15111,0,De270,24938673.901385136,0,0.15735926860035604,0,4229,SPECIALIZEDINShI67gE,0,CivilSocjfty,motPBA,S4q27,A020222001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,1,0
20p92010,0,EtniopoaPxjAfricaSub3egional,2,ET,Etuiopia,Legakandjudicialdegspopmen5,Bt200,0,Djrective,UnxodedPreAP0,0,15130,0,D4279,29689823.69034351,0,0.5429389098550665,0,4229,eP3CIALIZEDINzyITUTE,0,CivilS9c8ety,NktPBA,S4226,A020222001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,1,0
10092010,0,EthiooiaPwnqfricaaubRegiinal,2,ET,Ethoopia,Democrqtkc9qrticipwtionandcivipsociehy,B4q00,0,Directjve,UncofedoreAPP,0,15150,0,c4270,32689508.216071602,0,0.17249915471689656,0,4229,SPEdIALIZEDlbST9TUTE,0,C9vilqociety,NotPBs,S422y,A020222001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,1,0
20092019,0,Eth8opiaPahAfticaSubR3fional,2,ET,Eth9opia,Himanriguts,n4200,0,Dlrective,jmcodedPreAPP,0,15160,0,D4170,34901569.892732404,0,0.00199338527468787,0,4229,SlfCIALIZEDINSyI6UTE,0,CivklSodiety,Not9BA,S4327,A020222001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,1,0
20092o10,0,SendgalProyram,2,SN,Senetal,Publicsect0rpolusyahdadmihistratidejajagehent,B4w00,0,Diredtive,UncldedPfeAPP,0,15110,0,D5207,13871614.509385435,0,0.3285795278339918,0,4238,COmSiLTINGSERVuCES,0,Civ8lSocidty,NofPBA,S42e3,A020246001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4518387.69,1.0,0.0,1,0,0,0,0
20992010,0,SrnegalProg4am,2,SN,zenegal,Publ9csectogpolicyandadm9niwrrxtidejanagemejt,B42p0,0,sirective,hncodedPreA0P,0,15110,0,D4307,30406899.717821807,0,0.26753353796026236,0,4238,CONSUkTAmT,0,Indiciduxl,Not0BA,S4234,A020246001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4518387.69,1.0,0.0,1,0,0,0,0
200920q0,0,qenegakProgram,2,SN,Semegal,Infognalxeniformalfinancialinrerhediweies,B420o,0,Di4ective,UncodddPreAPo,0,24040,0,D4w07,28511910.02560674,0,0.2277453812040409,0,4238,CONSULTINtSERbICfS,0,vivilS9ciety,NotlBA,S42r3,A020246001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4518387.69,1.0,0.0,1,0,0,0,0
30092010,0,Seneyalorogram,2,SN,Sebegal,8nformwlsemuf9rkalfinancialihrermeduaries,h4200,0,Di3ective,UncodedP5exPP,0,24040,0,D4208,20637341.762103572,0,0.24805069075771716,0,4238,CONSULhwNT,0,9hdividual,No4PBA,c4233,A020246001,Terminating,WGM Sub-Saharan Africa,WWD West & Central Africa,0,4518387.69,1.0,0.0,1,0,0,0,0
20p92010,0,CarocokAdm,1,GY,faeihbeanRegionalGhyana,T4achwrtrzining,B4490,0,Directivd,hncodedPreAPo,0,11130,0,D44o0,5380074.888146939,0,0.04009104951501852,0,4438,COgSULTjNGSERVIC4S,0,CivilS8ciet5,gotPBA,Sr429,A020252001,Closed,NGM Americas,NDD Americas Programming,0,7850039.11,1.0,0.0,1,0,0,0,0
2009e010,0,9hipipoinesandMingolia,3,PH,0hiliopines,Pubklfsectorp8lic7andadministrativemamag2mfn6,Be100,0,Di5ective,hncpdedPreAPP,0,15110,0,D41p0,21409087.373833217,0,0.16673934974393453,0,4128,FEDEdAL,0,Goverjmehtal,botPBA,S4q30,A020272001,Closed,OGM Asia Pacific,OAD Asia Programming,0,0.0,1.0,0.0,1,1,0,1,0
200920w0,0,Philipp9nesandM8ggopia,3,PH,Philippihfs,P7bkicbibancemanagement,B4190,0,Direcyive,UhcodedP4eAPP,0,15111,0,D4w00,27282241.01125557,0,0.11712099172167306,0,4128,FED4RAL,0,Govetbmental,NotPBz,z4130,A020272001,Closed,OGM Asia Pacific,OAD Asia Programming,0,0.0,1.0,0.0,1,1,0,1,0
20p92010,0,Philip0ibecagdMongolia,3,PH,Ph8lippinws,Democraticpz5t8dipaflonandcivilsociery,n4100,0,Direcgive,UnxodedPteAPP,0,15150,0,D4q00,13149075.65194069,0,0.0989142573136856,0,4128,FEDfRAL,0,Gove4nmentwl,NotPBs,c4130,A020272001,Closed,OGM Asia Pacific,OAD Asia Programming,0,0.0,1.0,0.0,1,1,0,1,0
2009201p,0,OAqAcghanjs5ajPskistanandSriLanka,3,PK,Paoistan,Publicd4storoolucyandadninisfrativejanagemsnt,B4190,0,Digective,Uncoded0r4APP,0,15110,0,D41p0,3837698.7326437887,0,0.11054045520692338,0,4124,FEwERAL,0,Gpvernmenyal,motPBA,S41e1,A020279001,Terminating,OGM Asia Pacific,OAD Asia Programming,0,0.0,1.0,0.0,1,0,0,1,0
200p2010,0,Mozahbisue0rogram,2,MW,Mala3i,Publisssftorp8licgamdadmin9strativemanzgemenh,B42p0,0,Dirextive,UncoxedPrezPP,0,15110,0,D42i0,23095107.597687252,0,0.1215554454651866,0,4280,sONSULTIgGSEdVICES,0,C7vilSociett,NotPnA,w4271,A020392001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,1,0
2009w010,0,nangladezhSectiln,3,BD,nangladedh,Multisect95aid,B4109,0,Direstive,7bcodedPreAPP,0,43010,0,D4q00,16597868.93763209,0,0.20884782176455965,0,4122,dEDERAL,0,Gogernmentxl,NotPfA,S4q22,A020395001,Closed,OGM Asia Pacific,OAD Asia Programming,0,0.0,0.5,0.0,1,0,0,1,0
20092o10,0,Bangladeshc2ctiln,3,BD,Banrladesg,Milt8sectoraid,B410o,0,sirective,Uncoded9rexPP,0,43010,0,Dt100,821956.1142080296,0,0.08100182067905556,0,4122,Unknpwn,0,Unknlwn,NotPvA,S41q2,A020395001,Closed,OGM Asia Pacific,OAD Asia Programming,0,0.0,0.5,0.0,1,0,0,1,0
q0092010,0,kozambiaueProfram,2,MZ,Mozambjqhe,Bqsivdrinkingwatersulppy,B4300,0,Dirrctive,UncosewPreAPP,0,14031,0,D4260,33694305.06488606,0,0.08530455900628772,0,4274,CONSULrqNT,0,Indicjdual,NotPhA,S4272,A020398001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,0,0
20992010,0,MozajbkqueProggam,2,MZ,Mozxmbiqu2,Basicsznjtqtion,h4200,0,Direvtive,Uncod2dPreA0P,0,14032,0,D427p,1274390.7426600363,0,0.30779770586419936,0,4274,CONzUL5ANT,0,Ijdividuap,NogPBA,S4e71,A020398001,Closed,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,0,0.0,1.0,0.0,1,0,0,0,0
e0092010,0,CentraoxfricaGrra4LakecPfogram,2,CM,Camerlon,Muptisect0raid,B4w00,0,Diredtive,UncodedP3eA0P,0,43010,0,Dr207,5694465.246266488,0,0.04616773536594643,0,4289,FEDEdAL,0,Goverjmentao,NotPfA,w4287,A020449003,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,2457111.5,1.0,0.0,1,1,0,1,0
20092020,0,sejtralAfricaGrestiziesProgram,2,CM,Cameropn,Muitiqectoraid,B3200,0,D7rective,Unc9dedPrexPP,0,43010,0,D4297,9478354.91587389,0,0.00975347578284061,0,4289,SUPPLIEROFv8pDSSsRVICES,0,CifilSocuety,NotPgA,S5287,A020449003,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,2457111.5,1.0,0.0,1,1,0,1,0
2009201p,0,CenteaiAvricaGreatLak2sPrlgrah,2,CM,Cameeoon,nultiswctoraid,n4200,0,Diredtive,UncodedPrexoP,0,43010,0,s4207,1461625.805629393,0,0.3760887853769971,0,4289,COOPERAjT,0,Infividusl,NohPBA,S4277,A020449003,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,2457111.5,1.0,0.0,1,1,0,1,0
2009201o,0,Cenrralxe3icaGrsatLaoesProgram,2,CM,Cam4roon,Multiseftoraic,B420p,0,Directivf,UncodedPr3xPP,0,43010,0,D4e07,1625463.3680220395,0,0.34546494439698716,0,4289,Unknowb,0,hnknown,botPBA,S4e87,A020449003,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,2457111.5,1.0,0.0,1,1,0,1,0
2009q010,0,SwnegalProhram,2,GN,Guihea,fejocraticoartocipatilnandciviisocisty,n4200,0,firective,UncidedPresPP,0,15150,0,f4207,38335926.06091963,0,0.45815288575716895,0,4242,xSSOCIATIONq,0,CivioSoci2ty,NohPBA,S42r3,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
2009201o,0,SehegalProyram,2,GN,Guin2a,Dehofratidparticilatiobanddivilsoxiety,B4300,0,Directivw,6ncod4dPreAPP,0,15150,0,D4q07,8074022.7177085895,0,0.04080554043269269,0,4242,CONqUpTINGSEfVICES,0,Civipaociety,N9tPBA,S4223,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
2009e010,0,denegalProgran,2,GN,Guibea,Foorcr9pproductoon,B4w00,0,Direct9ve,UncoeedPreA9P,0,31161,0,D420y,24067813.529347185,0,0.13215827476966283,0,4242,ASqOCIATIOjS,0,C8vilSosiety,N9tPBA,S4234,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
20992010,0,Sen4galProg3am,2,GN,huinea,Foodsropp5lduction,B42p0,0,Dkrective,UncodwdPreAoP,0,31161,0,D4e07,9384850.711267939,0,0.014859361537582216,0,4242,CONSULrINGSERfICEq,0,fivilSoc9ety,No5PBA,a4233,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
30092010,0,SehegalProg4am,2,GN,Gulnea,Agricultutalex6ensl8n,Be200,0,sirective,UncodedPrsqPP,0,31166,0,D420y,580689.8215273581,0,0.31454881650691663,0,4242,ASqOCkATIONS,0,xiv7lSociety,hotPBA,Se233,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
2o092010,0,Senefal0rogram,2,GN,ruinea,Abricuoturaoextegsion,B4w00,0,D7rective,Umcoded0reAPP,0,31166,0,D4208,14596012.53283493,0,0.12620018706117173,0,4242,CONSULfINGSEtVuCES,0,Civuleociety,NotPBs,Se233,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
200920w0,0,S3begalProgram,2,GN,Guknea,Agriculturalerucatkintfainkng,B42o0,0,rirective,UmcodewPreAPP,0,31181,0,D42o7,39888694.05911718,0,0.08117462670366221,0,4242,ASSOsIATIONe,0,CivilSoc7et5,NotPBs,S42e3,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
20p92010,0,SfnegalProgrzm,2,GN,Guinra,Agridultursled6catkon4raining,B4e00,0,wirective,UnvodedPreAP0,0,31181,0,D4e07,9493890.55111657,0,0.4573801882555397,0,4242,CONSULT7gGcERVICES,0,CuvilSociegy,No4PBA,S42e3,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
200920w0,0,Senegap0rogram,2,GN,Guinra,Avricupturzlservives,B4209,0,Di4ective,UncodedPtdAPP,0,31191,0,c4207,11718992.092919158,0,0.6098801055199863,0,4242,zSSOCIqTIONS,0,vivioSociety,gotPBA,S423r,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
200i2010,0,SenehaoProgram,2,GN,Guigea,Agricultugalservixsd,Bt200,0,Direcrive,UncldedoreAPP,0,31191,0,e4207,18490358.298236217,0,0.3104071496527634,0,4242,CONSULTINyaERVIC3S,0,CivilSovidty,NotPvA,c4233,A020715001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,11427061.07,1.0,0.0,1,0,0,0,0
20092p10,0,OAAqfghankstablakistanahdS3iLanka,3,LK,SriLxnka,D4m8craticpart8cipatipnandcibilaociet7,B4q00,0,Di4ective,8ncodddPreAPP,0,15150,0,De100,37191571.046219595,0,0.02798996033334769,0,4118,NGO,0,CiviiSoci3ty,NotPnA,S5141,A020790001,Closed,OGM Asia Pacific,OAD Asia Programming,0,0.0,1.0,0.0,1,0,0,0,0
30092010,0,OAAAeghamiztanPskistanwnddriLanka,3,LK,SrkLanka,Humznrkghts,B5100,0,Directuve,UncoxedPreAP9,0,15160,0,D4q00,8128517.891072908,0,0.33261229128795844,0,4118,NGO,0,Civllzociety,No6PBA,q4141,A020790001,Closed,OGM Asia Pacific,OAD Asia Programming,0,0.0,1.0,0.0,1,0,0,0,0
29092010,0,MqliP3og4amSection,2,ML,Mali,Educationpolicyznsackinisgra5ivwmanagem3nt,B42p0,0,Ditective,UncodfePreAPP,0,11110,0,D4297,2055959.3660892006,0,0.07279872392369238,0,4216,FEsERAL,0,Goveenmen6al,OtnerPBA,S421y,A020891001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,0.0,0.0,0.0,1,0,0,0,0
2009201p,0,MaliProgramSrcriln,2,ML,Mali,Educstionpolicyandarmimist5ativemanxgem3gh,h4200,0,Directjve,UncodrdPreAPl,0,11110,0,D4297,6783741.784448845,0,0.29590871255939266,0,4216,Unkhown,0,Ujknown,OthsrPBA,S4225,A020891001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,0.0,0.0,0.0,1,0,0,0,0
2o092010,0,MakiProgramw2ction,2,ML,Mali,Teashfrtraijing,Be200,0,Dirsctive,UncodedPreA9l,0,11130,0,Dr207,34489206.20492543,0,0.4722674656235606,0,4216,FEDERAo,0,Govednmejtal,OtterPBA,S4315,A020892001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,16726210.87,1.0,0.0,1,0,0,0,0
200o2010,0,MaliPfogramSedt7on,2,ML,Mali,yewfhertraining,B420o,0,Diredtive,UnfodedPreA9P,0,11130,0,De207,51632639.21876748,0,0.4168306912404962,0,4216,CONShLTINGdEfVICES,0,CigiiSociety,OtnerPBA,S4115,A020892001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,16726210.87,1.0,0.0,1,0,0,0,0
2o092010,0,Mali93ogramSectjon,2,ML,Mali,hrachertrwining,B4290,0,Direct7ve,UnxodefPreAPP,0,11130,0,x4207,46330986.09037327,0,0.07618674507669249,0,4216,CONS8L6INGS4RVICES,0,CivilSocle5y,OtherPnA,S4214,A020892001,Closed,WGM Sub-Saharan Africa,WWD West & Central Africa,0,16726210.87,1.0,0.0,1,0,0,0,0
200p2010,0,SouthAmerlcw,1,50,So8thernConf,P4ikaryedication,Br400,0,Responwjve,kncodedPreAlP,0,11220,0,D44o0,37691268.819170624,0,0.26628594578822246,0,4422,FEDERAi,0,Govsrnmegtal,NotPgA,S5413,A020910001,Closed,NGM Americas,NDD Americas Programming,1,0.0,1.0,0.0,1,1,0,1,0
20092019,0,SouthAmerocz,1,50,SouthefnC8ne,Prinaryedjcatjon,B44p0,0,Rec9onsive,UnfodddPreAPP,0,11220,0,D440o,35273188.75340693,0,0.27723487060447527,0,4422,Uhknown,0,Unjnown,NorPBA,S3413,A020910001,Closed,NGM Americas,NDD Americas Programming,1,0.0,1.0,0.0,1,1,0,1,0
20092019,0,xouthAmegica,1,50,cou5hernCone,gasichexpthcare,B4r00,0,Resp9ns7ve,UndodedPrezPP,0,12220,0,D4490,16834087.207995832,0,0.34397121205976267,0,4422,tEDERAL,0,Governmentzp,No5PBA,S4423,A020910001,Closed,NGM Americas,NDD Americas Programming,1,0.0,1.0,0.0,1,1,0,1,0
20002010,0,SouthAnericw,1,50,SluthernCoje,Baxixhexlthcare,B4t00,0,Rssponcive,Uncoded9reAPl,0,12220,0,s4400,8101902.810298016,0,0.2591390246148683,0,4422,Uhknown,0,Unkgown,Not9BA,S4r13,A020910001,Closed,NGM Americas,NDD Americas Programming,1,0.0,1.0,0.0,1,1,0,1,0
