assay_id,tissue_id,src_id,assay_tissue,doc_id,assay_subcellular_fraction,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_cell_type
85,,1,,11375,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,,
86,2107.0,1,Liver,11375,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,9823.0,,
87,,1,,791,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,10116.0,,
88,,1,,791,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,10116.0,,
89,,1,,791,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,10116.0,,
90,2107.0,1,Liver,11375,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,,
91,2107.0,1,Liver,11375,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,,
92,2107.0,1,Liver,153,Microsomes,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,,
93,,1,,8269,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,,
94,,1,,8269,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,,
95,,1,,17653,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,9606.0,,HepG2
96,,1,,14277,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,9606.0,,HepG2
97,,1,,1717,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,9606.0,,HepG2
98,,1,,14091,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,9606.0,,HepG2
99,,1,,14091,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,,HepG2
100,,1,,17653,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,10407.0,,
101,,1,,13105,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,HepG2
102,,1,,1717,,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,9606.0,,HepG2
103,,1,,13105,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,9606.0,,HepG2
104,,1,,13600,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,9606.0,,2.2.15
105,,1,,13467,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,2.2.15
106,,1,,17477,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,10407.0,,2.2.15
107,,1,,1593,,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,,2.2.15
108,,1,,1593,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,,2.2.15
109,,1,,15089,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,9606.0,,2.2.15
110,,1,,15089,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,,2.2.15
111,,1,,1593,,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,9606.0,,2.2.15
112,,1,,1593,,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,,2.2.15
113,,1,,13600,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,9606.0,,2.2.15
114,,1,,13467,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,2.2.15
115,,1,,13467,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,2.2.15
116,,1,,14764,,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,9606.0,,HepG2
117,,1,,6531,Microsomes,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,9606.0,,
118,,1,,17322,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,,
119,,1,,17072,,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,9606.0,,2008
120,,1,,16936,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,9606.0,,2008
121,,1,,16936,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,9606.0,,2008
122,,1,,17146,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,9606.0,,2008
123,,1,,17146,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,9606.0,,2008
124,,1,,10797,,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,9606.0,,2008/R
125,,1,,10797,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,,2008/R
126,,1,,10797,,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,9606.0,,2008/S
127,,1,,10797,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,,2008/S
128,,1,,4823,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,9606.0,,
129,,1,,12912,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,9606.0,,
130,,1,,2957,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,,
131,,1,,2957,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,,
132,,1,,3260,,Inhibitory activity against 20S proteosome,B,,,,,,
133,,1,,3451,,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,9606.0,,
134,,1,,13885,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,,HepG2
135,,1,,13885,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,,HepG2
136,,1,,3676,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,,
137,,1,,6043,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,,
138,948.0,1,Heart,11140,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,10116.0,,
139,,1,,10543,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
140,,1,,10543,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
141,,1,,10543,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,,
142,,1,,10543,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
143,,1,,11365,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,10090.0,,P338
144,,1,,11365,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,10090.0,,P338
145,,1,,11803,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,9606.0,,PBL
146,,1,,11803,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,9940.0,,
147,,1,,11803,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,9940.0,,
148,,1,,12278,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,,
149,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,,
150,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,,
151,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,9606.0,,CCRF-CEM
152,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,,CCRF-CEM
153,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,,CCRF-CEM
154,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,,CCRF-CEM
155,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,9606.0,,
156,,1,,8249,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,,
157,,1,,16992,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,,
158,,1,,10543,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,1314.0,,
159,,1,,17833,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,10335.0,,
160,,1,,17290,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,vericilla zoster virus,10335.0,,HEL
161,,1,,17290,,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,vericilla zoster virus,10335.0,,
162,,1,,17290,,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,vericilla zoster virus,10335.0,,
163,,1,,10932,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,561.0,,
164,,1,,9707,,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,,
165,,1,,2346,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,5476.0,,
166,,1,,2205,,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,284593.0,,
167,,1,,11900,,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,9606.0,,1-87 tumor cell line
168,,1,,14864,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,10116.0,,
169,,1,,16474,,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,,
170,,1,,16474,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,3847.0,,
171,,1,,16474,,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,,
172,,1,,16474,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,3847.0,,
173,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,3847.0,,
174,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,Glycine max,3847.0,,
175,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,Glycine max,3847.0,,
176,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,Glycine max,3847.0,,
177,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,Glycine max,3847.0,,
178,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,Glycine max,3847.0,,
179,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,Glycine max,3847.0,,
180,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,Glycine max,3847.0,,
181,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,Glycine max,3847.0,,
182,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,Glycine max,3847.0,,
183,,1,,3094,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,Glycine max,3847.0,,
184,,1,,10413,,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,Mus musculus,10090.0,,
185,,1,,16929,,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,,Mus musculus,10090.0,,C3H 10T1/2
186,,1,,1229,,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,,
187,,1,,16587,,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,,
188,,1,,16587,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,,
189,,1,,16587,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,,,,
190,,1,,16587,,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,,,,
191,,1,,16587,,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,B,,,,,,
192,,1,,8058,,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,F,,,Bos taurus,9913.0,,
193,,1,,9065,,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,B,,,Rattus norvegicus,10116.0,,
194,2369.0,1,Adrenal gland,8865,,Inhibition of 11 beta-hydroxylase from rat adrenal gland,B,,,Rattus norvegicus,10116.0,,
195,,1,,9066,,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,Rattus norvegicus,10116.0,,
196,,1,,8394,,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,Rattus norvegicus,10116.0,,
197,,1,,8394,,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,B,,,Rattus norvegicus,10116.0,,
198,,1,,6431,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,B,,,,,,
199,,1,,6431,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,,
200,,1,,6431,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,,
201,,1,,9295,,Compound was tested for the percent of inhibition against 12-LO at 10 uM,F,,,,,,
202,,1,,10193,,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,B,,,,,,
203,,1,,13622,,Compound was tested in vitro for inhibition of 12-LO human platelet,B,,,,,,
204,,1,,12079,,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,,,,
205,,1,,13622,,Compound at 100 uM was tested in vitro for inhibition of 12-LO human platelet,B,,,,,,
206,,1,,12079,,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,Homo sapiens,9606.0,,
