assays_SASI,assays_CHEI,assays_ASI,assays_BFO,assays_AST,assays_ASSUBCFRAC,assays_VARII,assays_ASTI,assays_ASSTI,assays_ASOR,assays_ASST,assays_Descr,assays_CUB,assays_CONSC,assays_ASCETY,assays_RELT,assays_Ti,assays_TISI,assays_ASSCA,assays_DOI,assays_ASTTY,assays_CI,assays_SI
,CHEMBL621379,7573,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,Intermediate,1,,N,50597,,,5937,In vivo,,1
,CHEMBL621380,7574,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Half life in rat plasma,Intermediate,1,,N,50597,1969.0,,5819,,,1
,CHEMBL621381,7575,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Half life in rat plasma; Not detected,Intermediate,1,,N,50597,1969.0,,5819,,,1
,CHEMBL618515,7576,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life in rats,Intermediate,1,,N,50597,,,6803,,,1
,CHEMBL618516,7577,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period of compound was determined after peroral administration,Intermediate,1,,N,50597,,,17804,In vivo,,1
,CHEMBL618517,7578,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,Intermediate,1,,N,50597,,,17804,In vivo,,1
,CHEMBL618518,7579,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period in rat,Intermediate,1,,N,50597,,,5948,,,1
,CHEMBL618519,7580,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,Intermediate,1,,N,50597,,,1916,In vivo,,1
,CHEMBL618698,7581,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,Intermediate,1,,N,50597,,,1916,In vivo,,1
,CHEMBL618862,7582,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,Intermediate,1,,N,50597,,,1916,In vivo,,1
,CHEMBL618863,7583,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,Intermediate,1,,N,50597,,,4890,In vivo,,1
,CHEMBL618864,7584,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,Intermediate,1,,N,50597,,,17764,In vivo,,1
,CHEMBL618865,7585,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half life time in rat the dose of 2 mg/kg,Intermediate,1,,N,50597,,,4727,In vivo,,1
,CHEMBL618866,7586,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life 24 hr after 10 mg/kg iv administration in rats,Intermediate,1,,N,50597,,,17509,In vivo,,1
,CHEMBL618867,7587,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life 24 hr after 2 mg/kg iv administration in rats,Intermediate,1,,N,50597,,,17509,In vivo,,1
,CHEMBL875828,7588,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life consistent with the observed metabolic steady state in rats,Intermediate,1,,N,50597,,,6597,,,1
,CHEMBL618868,7589,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Intermediate,1,,N,50597,,,17735,In vivo,,1
,CHEMBL618869,7590,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life for oxidative metabolic stability was determined using male human,Intermediate,1,,N,50597,,,6597,,,1
,CHEMBL618870,7591,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",Intermediate,1,,N,50597,,,17670,In vivo,,1
,CHEMBL618871,7592,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Half-life in rat plasma,Intermediate,1,,N,50597,1969.0,,1696,,,1
,CHEMBL618872,7593,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Half-life in rat plasma was determined,Intermediate,1,,N,50597,1969.0,,1742,,,1
,CHEMBL873816,7594,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Half-life in rats was determined,Intermediate,1,,N,50597,,,17800,,,1
,CHEMBL618873,7595,BAO_0000218,A,,,,,,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,Autocuration,0,,U,22224,,,12923,,,1
,CHEMBL621602,7596,BAO_0000019,A,,,,,,,Area under curve after oral dose of 0.1 mg//kg,Autocuration,0,,U,22224,,,11954,,,1
,CHEMBL621603,7597,BAO_0000218,A,,,,,,,Area under curve after oral dose of 0.3 mg/kg,Autocuration,0,,U,22224,,,11954,,,1
,CHEMBL621604,7598,BAO_0000218,A,,,,,,,Area under curve after oral dose of 1 mg/kg,Autocuration,0,,U,22224,,,11954,,,1
,CHEMBL621605,7599,BAO_0000218,A,,,,,,,Area under curve after oral dose of 10 mg/kg,Autocuration,0,,U,22224,,,11954,,,1
,CHEMBL621606,7600,BAO_0000218,A,,,,,,,Area under curve after oral dose of 23.4 mg/kg,Autocuration,0,,U,22224,,,11954,,,1
,CHEMBL621607,7601,BAO_0000218,A,,,,,,,Area under curve after oral dose of 3 mg/kg,Autocuration,0,,U,22224,,,11954,,,1
,CHEMBL621608,7602,BAO_0000218,A,,,,,,,Area under curve after oral dose of 3.87 mg/kg,Autocuration,0,,U,22224,,,11954,,,1
,CHEMBL621609,7603,BAO_0000019,A,,,,,,,Area under curve was determined,Autocuration,0,,U,22224,,,5237,,,1
,CHEMBL621610,7604,BAO_0000218,A,,,,,,,Area under curve at a dose of 10 mg/kg,Autocuration,0,,U,22224,,,4026,,,1
,CHEMBL621611,7605,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined; ND=No data,Intermediate,1,,N,50597,,,5237,,,1
,CHEMBL621612,7606,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622308,7607,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622309,7608,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622310,7609,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622311,7610,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622312,7611,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622931,7612,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622932,7613,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,Intermediate,1,,N,50597,,,14793,,,1
,CHEMBL622736,7614,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622737,7615,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622738,7616,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622739,7617,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622740,7618,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622741,7619,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622742,7620,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622743,7621,BAO_0000218,A,,,10116.0,Plasma,Rattus norvegicus,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,Intermediate,1,,N,50597,1969.0,,14793,,,1
,CHEMBL622744,7622,BAO_0000218,A,,,10090.0,Plasma,Mus musculus,,AUC in mice,Intermediate,1,,N,50594,1969.0,,11637,,,1
,CHEMBL624134,7623,BAO_0000019,A,,,,,,,Area under curve was measured from the graph obtained from concentration Vs time,Autocuration,0,,U,22224,,,11149,,,1
,CHEMBL624135,7624,BAO_0000019,A,,,,,,,Area under curve value of compound per hour after oral administration,Autocuration,0,,U,22224,,,10016,,,1
,CHEMBL624136,7625,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined after oral administration in rats,Intermediate,1,,N,50597,,,17796,,,1
,CHEMBL624137,7626,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined after oral administration in rats; No data,Intermediate,1,,N,50597,,,17796,,,1
,CHEMBL624320,7627,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined after oral administration in rats;No data,Intermediate,1,,N,50597,,,17796,,,1
,CHEMBL624321,7628,BAO_0000218,A,,,9615.0,,Canis lupus familiaris,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,Intermediate,1,,N,50588,,,12923,,,1
,CHEMBL624322,7629,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,Intermediate,1,,N,50597,,,15372,,,1
,CHEMBL624323,7630,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined for the compound after iv dose of 5.06 in rats,Intermediate,1,,N,50597,,,15372,,,1
,CHEMBL624324,7631,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,Intermediate,1,,N,50597,,,15372,,,1
,CHEMBL624325,7632,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,Intermediate,1,,N,50597,,,15372,,,1
,CHEMBL624326,7633,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,Intermediate,1,,N,50597,,,15372,,,1
,CHEMBL624327,7634,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,Intermediate,1,,N,50597,,,15372,,,1
,CHEMBL624328,7635,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,Intermediate,1,,N,50597,,,15372,,,1
,CHEMBL627848,7636,BAO_0000218,A,,,9615.0,,Canis lupus familiaris,,Area under curve was determined in Dogs after peroral administration,Intermediate,1,,N,50588,,,14169,,,1
,CHEMBL627849,7637,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined in Rats after peroral administration,Intermediate,1,,N,50597,,,14169,,,1
,CHEMBL627850,7638,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined in carotid blood of rat when administered intradermally,Intermediate,1,,N,50597,,,14258,,,1
,CHEMBL627851,7639,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,Area under curve was determined in portal blood of rat when administered intradermally,Intermediate,1,,N,50597,,,14258,,,1
,CHEMBL627852,7640,BAO_0000218,A,,,10090.0,,Mus musculus,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Intermediate,1,,N,50594,,,15011,,,1
,CHEMBL627853,7641,BAO_0000218,A,,,10090.0,,Mus musculus,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Intermediate,1,,N,50594,,,15011,,,1
,CHEMBL627854,7642,BAO_0000218,A,,,10090.0,,Mus musculus,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),Intermediate,1,,N,50594,,,15011,,,1
,CHEMBL627855,7643,BAO_0000218,A,,,10090.0,,Mus musculus,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Intermediate,1,,N,50594,,,15011,,,1
,CHEMBL627856,7644,BAO_0000218,A,,,10090.0,,Mus musculus,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),Intermediate,1,,N,50594,,,15011,,,1
,CHEMBL875339,7645,BAO_0000218,A,,,10090.0,,Mus musculus,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Intermediate,1,,N,50594,,,15011,,,1
,CHEMBL627857,7646,BAO_0000218,A,,,10090.0,,Mus musculus,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),Intermediate,1,,N,50594,,,15011,,,1
,CHEMBL627858,7647,BAO_0000218,A,,,10116.0,Spleen,Rattus norvegicus,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,Intermediate,1,,N,50597,2106.0,,11195,In vivo,,1
,CHEMBL627859,7648,BAO_0000218,A,,,10116.0,Blood,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,Intermediate,1,,N,50597,178.0,,10130,,,1
,CHEMBL627860,7649,BAO_0000218,A,,,10116.0,Brain,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,Intermediate,1,,N,50597,955.0,,10130,,,1
,CHEMBL627019,7650,BAO_0000218,A,,,10116.0,Heart,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,Intermediate,1,,N,50597,948.0,,10130,,,1
,CHEMBL627020,7651,BAO_0000218,A,,,10116.0,Liver,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,Intermediate,1,,N,50597,2107.0,,10130,,,1
,CHEMBL627021,7652,BAO_0000218,A,,,10116.0,Lung,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,Intermediate,1,,N,50597,2048.0,,10130,,,1
,CHEMBL627022,7653,BAO_0000218,A,,,10116.0,Muscle tissue,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,Intermediate,1,,N,50597,2385.0,,10130,,,1
,CHEMBL627023,7654,BAO_0000218,A,,,10116.0,,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,Intermediate,1,,N,50597,,,10130,,,1
,CHEMBL627024,7655,BAO_0000218,A,,,10116.0,Spleen,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,Intermediate,1,,N,50597,2106.0,,10130,,,1
,CHEMBL627025,7656,BAO_0000218,A,,,10116.0,Thyroid gland,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,Intermediate,1,,N,50597,2046.0,,10130,,,1
,CHEMBL627026,7657,BAO_0000218,A,,,10116.0,Kidney,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,Intermediate,1,,N,50597,2113.0,,10130,,,1
,CHEMBL627027,7658,BAO_0000218,A,,,10116.0,Blood,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,Intermediate,1,,N,50597,178.0,,10130,,,1
,CHEMBL627028,7659,BAO_0000218,A,,,10116.0,Brain,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,Intermediate,1,,N,50597,955.0,,10130,,,1
,CHEMBL627029,7660,BAO_0000218,A,,,10116.0,Heart,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,Intermediate,1,,N,50597,948.0,,10130,,,1
,CHEMBL627030,7661,BAO_0000218,A,,,10116.0,Kidney,Rattus norvegicus,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,Intermediate,1,,N,50597,2113.0,,10130,,,1
