ASSI,ASSORGA,CUB,CHEI,CI,ASSCA,T,TII,ASSTY,VAI,Descri,ASSSUBCEFR,RELT,CONFSCO,SI,SRASSI,BAFO
7561,Rattus norvegicus,Intermediate,CHEMBL621133,,,50597,,A,,Half life of compound after iv administration of 20 mg/kg dose in rat,,N,1,1,,BAO_0000218
7562,Rattus norvegicus,Expert,CHEMBL621312,,,50597,,A,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,N,1,1,,BAO_0000218
7563,Rattus norvegicus,Intermediate,CHEMBL621313,,,50597,,A,,Half life of compound was determined in rat,,N,1,1,,BAO_0000218
7564,Rattus norvegicus,Intermediate,CHEMBL621314,,,50597,178.0,A,,Half life of compound was determined in rat blood,,N,1,1,,BAO_0000218
7565,Rattus norvegicus,Intermediate,CHEMBL621315,,,50597,,A,,Half life at 1 mg/kg was determined in rat,,N,1,1,,BAO_0000218
7566,Rattus norvegicus,Intermediate,CHEMBL621316,,,50597,,A,,Half life at 10 mg/kg was determined in rat,,N,1,1,,BAO_0000218
7567,Rattus norvegicus,Intermediate,CHEMBL621317,,,50597,,A,,Half life in rats,,N,1,1,,BAO_0000218
7568,Rattus norvegicus,Intermediate,CHEMBL621318,,,50597,,A,,Half life in rats in hours,,N,1,1,,BAO_0000218
7569,Rattus norvegicus,Intermediate,CHEMBL621319,,,50597,,A,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,N,1,1,,BAO_0000218
7570,Rattus norvegicus,Intermediate,CHEMBL621377,,,50597,,A,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,N,1,1,,BAO_0000218
7571,Rattus norvegicus,Intermediate,CHEMBL621378,,,50597,,A,,Half life was determined,,N,1,1,,BAO_0000218
7572,Rattus norvegicus,Intermediate,CHEMBL876599,,,50597,,A,,Half life after i.v. administration,,N,1,1,,BAO_0000218
7573,Rattus norvegicus,Intermediate,CHEMBL621379,,,50597,,A,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,N,1,1,,BAO_0000218
7574,Rattus norvegicus,Intermediate,CHEMBL621380,,,50597,1969.0,A,,Half life in rat plasma,,N,1,1,,BAO_0000218
7575,Rattus norvegicus,Intermediate,CHEMBL621381,,,50597,1969.0,A,,Half life in rat plasma; Not detected,,N,1,1,,BAO_0000218
7576,Rattus norvegicus,Intermediate,CHEMBL618515,,,50597,,A,,Half life in rats,,N,1,1,,BAO_0000218
7577,Rattus norvegicus,Intermediate,CHEMBL618516,,,50597,,A,,Half life period of compound was determined after peroral administration,,N,1,1,,BAO_0000218
7578,Rattus norvegicus,Intermediate,CHEMBL618517,,,50597,,A,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,N,1,1,,BAO_0000218
7579,Rattus norvegicus,Intermediate,CHEMBL618518,,,50597,,A,,Half life period in rat,,N,1,1,,BAO_0000218
7580,Rattus norvegicus,Intermediate,CHEMBL618519,,,50597,,A,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,N,1,1,,BAO_0000218
7581,Rattus norvegicus,Intermediate,CHEMBL618698,,,50597,,A,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,N,1,1,,BAO_0000218
7582,Rattus norvegicus,Intermediate,CHEMBL618862,,,50597,,A,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,N,1,1,,BAO_0000218
7583,Rattus norvegicus,Intermediate,CHEMBL618863,,,50597,,A,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,N,1,1,,BAO_0000218
7584,Rattus norvegicus,Intermediate,CHEMBL618864,,,50597,,A,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,N,1,1,,BAO_0000218
7585,Rattus norvegicus,Intermediate,CHEMBL618865,,,50597,,A,,Half life time in rat the dose of 2 mg/kg,,N,1,1,,BAO_0000218
7586,Rattus norvegicus,Intermediate,CHEMBL618866,,,50597,,A,,Half-life 24 hr after 10 mg/kg iv administration in rats,,N,1,1,,BAO_0000218
7587,Rattus norvegicus,Intermediate,CHEMBL618867,,,50597,,A,,Half-life 24 hr after 2 mg/kg iv administration in rats,,N,1,1,,BAO_0000218
7588,Rattus norvegicus,Intermediate,CHEMBL875828,,,50597,,A,,Half-life consistent with the observed metabolic steady state in rats,,N,1,1,,BAO_0000218
7589,Rattus norvegicus,Intermediate,CHEMBL618868,,,50597,,A,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,N,1,1,,BAO_0000218
7590,Rattus norvegicus,Intermediate,CHEMBL618869,,,50597,,A,,Half-life for oxidative metabolic stability was determined using male human,,N,1,1,,BAO_0000218
7591,Rattus norvegicus,Intermediate,CHEMBL618870,,,50597,,A,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,N,1,1,,BAO_0000218
7592,Rattus norvegicus,Intermediate,CHEMBL618871,,,50597,1969.0,A,,Half-life in rat plasma,,N,1,1,,BAO_0000218
7593,Rattus norvegicus,Intermediate,CHEMBL618872,,,50597,1969.0,A,,Half-life in rat plasma was determined,,N,1,1,,BAO_0000218
7594,Rattus norvegicus,Intermediate,CHEMBL873816,,,50597,,A,,Half-life in rats was determined,,N,1,1,,BAO_0000218
7595,,Autocuration,CHEMBL618873,,,22224,,A,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,U,0,1,,BAO_0000218
7596,,Autocuration,CHEMBL621602,,,22224,,A,,Area under curve after oral dose of 0.1 mg//kg,,U,0,1,,BAO_0000019
7597,,Autocuration,CHEMBL621603,,,22224,,A,,Area under curve after oral dose of 0.3 mg/kg,,U,0,1,,BAO_0000218
7598,,Autocuration,CHEMBL621604,,,22224,,A,,Area under curve after oral dose of 1 mg/kg,,U,0,1,,BAO_0000218
7599,,Autocuration,CHEMBL621605,,,22224,,A,,Area under curve after oral dose of 10 mg/kg,,U,0,1,,BAO_0000218
7600,,Autocuration,CHEMBL621606,,,22224,,A,,Area under curve after oral dose of 23.4 mg/kg,,U,0,1,,BAO_0000218
7601,,Autocuration,CHEMBL621607,,,22224,,A,,Area under curve after oral dose of 3 mg/kg,,U,0,1,,BAO_0000218
7602,,Autocuration,CHEMBL621608,,,22224,,A,,Area under curve after oral dose of 3.87 mg/kg,,U,0,1,,BAO_0000218
7603,,Autocuration,CHEMBL621609,,,22224,,A,,Area under curve was determined,,U,0,1,,BAO_0000019
7604,,Autocuration,CHEMBL621610,,,22224,,A,,Area under curve at a dose of 10 mg/kg,,U,0,1,,BAO_0000218
7605,Rattus norvegicus,Intermediate,CHEMBL621611,,,50597,,A,,Area under curve was determined; ND=No data,,N,1,1,,BAO_0000218
7606,Rattus norvegicus,Intermediate,CHEMBL621612,,,50597,,A,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7607,Rattus norvegicus,Intermediate,CHEMBL622308,,,50597,,A,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,N,1,1,,BAO_0000218
7608,Rattus norvegicus,Intermediate,CHEMBL622309,,,50597,,A,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7609,Rattus norvegicus,Intermediate,CHEMBL622310,,,50597,,A,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,N,1,1,,BAO_0000218
7610,Rattus norvegicus,Intermediate,CHEMBL622311,,,50597,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7611,Rattus norvegicus,Intermediate,CHEMBL622312,,,50597,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,N,1,1,,BAO_0000218
7612,Rattus norvegicus,Intermediate,CHEMBL622931,,,50597,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7613,Rattus norvegicus,Intermediate,CHEMBL622932,,,50597,,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,N,1,1,,BAO_0000218
7614,Rattus norvegicus,Intermediate,CHEMBL622736,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7615,Rattus norvegicus,Intermediate,CHEMBL622737,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,N,1,1,,BAO_0000218
7616,Rattus norvegicus,Intermediate,CHEMBL622738,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7617,Rattus norvegicus,Intermediate,CHEMBL622739,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,N,1,1,,BAO_0000218
7618,Rattus norvegicus,Intermediate,CHEMBL622740,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7619,Rattus norvegicus,Intermediate,CHEMBL622741,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,N,1,1,,BAO_0000218
7620,Rattus norvegicus,Intermediate,CHEMBL622742,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,N,1,1,,BAO_0000218
7621,Rattus norvegicus,Intermediate,CHEMBL622743,,,50597,1969.0,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,N,1,1,,BAO_0000218
7622,Mus musculus,Intermediate,CHEMBL622744,,,50594,1969.0,A,,AUC in mice,,N,1,1,,BAO_0000218
7623,,Autocuration,CHEMBL624134,,,22224,,A,,Area under curve was measured from the graph obtained from concentration Vs time,,U,0,1,,BAO_0000019
7624,,Autocuration,CHEMBL624135,,,22224,,A,,Area under curve value of compound per hour after oral administration,,U,0,1,,BAO_0000019
7625,Rattus norvegicus,Intermediate,CHEMBL624136,,,50597,,A,,Area under curve was determined after oral administration in rats,,N,1,1,,BAO_0000218
7626,Rattus norvegicus,Intermediate,CHEMBL624137,,,50597,,A,,Area under curve was determined after oral administration in rats; No data,,N,1,1,,BAO_0000218
7627,Rattus norvegicus,Intermediate,CHEMBL624320,,,50597,,A,,Area under curve was determined after oral administration in rats;No data,,N,1,1,,BAO_0000218
7628,Canis lupus familiaris,Intermediate,CHEMBL624321,,,50588,,A,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,N,1,1,,BAO_0000218
7629,Rattus norvegicus,Intermediate,CHEMBL624322,,,50597,,A,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,N,1,1,,BAO_0000218
7630,Rattus norvegicus,Intermediate,CHEMBL624323,,,50597,,A,,Area under curve was determined for the compound after iv dose of 5.06 in rats,,N,1,1,,BAO_0000218
7631,Rattus norvegicus,Intermediate,CHEMBL624324,,,50597,,A,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,N,1,1,,BAO_0000218
7632,Rattus norvegicus,Intermediate,CHEMBL624325,,,50597,,A,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,N,1,1,,BAO_0000218
7633,Rattus norvegicus,Intermediate,CHEMBL624326,,,50597,,A,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,N,1,1,,BAO_0000218
7634,Rattus norvegicus,Intermediate,CHEMBL624327,,,50597,,A,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,N,1,1,,BAO_0000218
7635,Rattus norvegicus,Intermediate,CHEMBL624328,,,50597,,A,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,N,1,1,,BAO_0000218
7636,Canis lupus familiaris,Intermediate,CHEMBL627848,,,50588,,A,,Area under curve was determined in Dogs after peroral administration,,N,1,1,,BAO_0000218
7637,Rattus norvegicus,Intermediate,CHEMBL627849,,,50597,,A,,Area under curve was determined in Rats after peroral administration,,N,1,1,,BAO_0000218
7638,Rattus norvegicus,Intermediate,CHEMBL627850,,,50597,,A,,Area under curve was determined in carotid blood of rat when administered intradermally,,N,1,1,,BAO_0000218
7639,Rattus norvegicus,Intermediate,CHEMBL627851,,,50597,,A,,Area under curve was determined in portal blood of rat when administered intradermally,,N,1,1,,BAO_0000218
7640,Mus musculus,Intermediate,CHEMBL627852,,,50594,,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,N,1,1,,BAO_0000218
7641,Mus musculus,Intermediate,CHEMBL627853,,,50594,,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,N,1,1,,BAO_0000218
7642,Mus musculus,Intermediate,CHEMBL627854,,,50594,,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,N,1,1,,BAO_0000218
7643,Mus musculus,Intermediate,CHEMBL627855,,,50594,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,N,1,1,,BAO_0000218
7644,Mus musculus,Intermediate,CHEMBL627856,,,50594,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,N,1,1,,BAO_0000218
7645,Mus musculus,Intermediate,CHEMBL875339,,,50594,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,N,1,1,,BAO_0000218
7646,Mus musculus,Intermediate,CHEMBL627857,,,50594,,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,N,1,1,,BAO_0000218
7647,Rattus norvegicus,Intermediate,CHEMBL627858,,,50597,2106.0,A,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,N,1,1,,BAO_0000218
7648,Rattus norvegicus,Intermediate,CHEMBL627859,,,50597,178.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7649,Rattus norvegicus,Intermediate,CHEMBL627860,,,50597,955.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7650,Rattus norvegicus,Intermediate,CHEMBL627019,,,50597,948.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7651,Rattus norvegicus,Intermediate,CHEMBL627020,,,50597,2107.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7652,Rattus norvegicus,Intermediate,CHEMBL627021,,,50597,2048.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7653,Rattus norvegicus,Intermediate,CHEMBL627022,,,50597,2385.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7654,Rattus norvegicus,Intermediate,CHEMBL627023,,,50597,,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7655,Rattus norvegicus,Intermediate,CHEMBL627024,,,50597,2106.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7656,Rattus norvegicus,Intermediate,CHEMBL627025,,,50597,2046.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7657,Rattus norvegicus,Intermediate,CHEMBL627026,,,50597,2113.0,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7658,Rattus norvegicus,Intermediate,CHEMBL627027,,,50597,178.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7659,Rattus norvegicus,Intermediate,CHEMBL627028,,,50597,955.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7660,Rattus norvegicus,Intermediate,CHEMBL627029,,,50597,948.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7661,Rattus norvegicus,Intermediate,CHEMBL627030,,,50597,2113.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7662,Rattus norvegicus,Intermediate,CHEMBL627031,,,50597,2107.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7663,Rattus norvegicus,Intermediate,CHEMBL627032,,,50597,2048.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7664,Rattus norvegicus,Intermediate,CHEMBL627033,,,50597,2385.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7665,Rattus norvegicus,Intermediate,CHEMBL627034,,,50597,,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7666,Rattus norvegicus,Intermediate,CHEMBL627035,,,50597,2106.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7667,Rattus norvegicus,Intermediate,CHEMBL627036,,,50597,2046.0,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7668,Rattus norvegicus,Intermediate,CHEMBL875340,,,50597,178.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7669,Rattus norvegicus,Intermediate,CHEMBL627037,,,50597,948.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7670,Rattus norvegicus,Intermediate,CHEMBL627038,,,50597,2113.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7671,Rattus norvegicus,Intermediate,CHEMBL627039,,,50597,2107.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7672,Rattus norvegicus,Intermediate,CHEMBL627040,,,50597,2385.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7673,Rattus norvegicus,Intermediate,CHEMBL624663,,,50597,2106.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7674,Rattus norvegicus,Intermediate,CHEMBL625963,,,50597,2046.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7675,Rattus norvegicus,Intermediate,CHEMBL876799,,,50597,955.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7676,Rattus norvegicus,Intermediate,CHEMBL626133,,,50597,2048.0,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7677,Rattus norvegicus,Intermediate,CHEMBL626134,,,50597,,A,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,,N,1,1,,BAO_0000218
7678,Rattus norvegicus,Intermediate,CHEMBL626135,,,50597,,A,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,N,1,1,,BAO_0000218
7679,Rattus norvegicus,Intermediate,CHEMBL626136,,,50597,,A,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,N,1,1,,BAO_0000218
7680,Rattus norvegicus,Intermediate,CHEMBL626137,,,50597,,A,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,,N,1,1,,BAO_0000218
7681,Rattus norvegicus,Intermediate,CHEMBL626138,,,50597,,A,,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,N,1,1,,BAO_0000218
7682,Rattus norvegicus,Intermediate,CHEMBL626139,,,50597,,A,,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,N,1,1,,BAO_0000218
