Fiscal year,Participatory development and good governance,Climate change adaptation (marker),CFLI (marker),Project number,Continent ID,Division ID,Organisation sub-class,Branch ID,Status,Continent name,Project Browser country ID,Organisation type,Children issues (marker),Knowledge for development (marker),Maximum CIDA contribution (project-level),Gender equality (marker),FSTC percent,ICT as a tool for development (marker),Bilateral aid (international marker),Enviromental sustainability (marker),IRTC percent,Sector percent,Sector name,Fund centre name,Regional program (marker),Section ID,PBA type,CIDA business delivery model (old),Branch name,Urban issues (marker),Organisation ID,Biodiversity (marker),Indigenous issues (marker),CountryRegion ID,Division name,Section name,Fund centre ID,Untied amount(Project-level budget),Programming process (new),Climate change mitigation (marker),Desertification (marker),Trade development (marker)
2009/2010,1,0,0,A020195001,1,D4400,FEDERAL,B4400,Closed,America,HT,Canadian Non-Profit Making,0,0,4610501.0,3,1.0,0,1,0,0.0,0.8,Human rights,Haiti,0,S4449,Not PBA,Directive,NGM Americas,0,10050,0,0,HT,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,4000000.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020222001,2,D4270,SPECIALIZED INSTITUTE,B4200,Closed,Africa,ET,Canadian Non-Profit Making,0,0,4229943.14,2,1.0,0,1,0,0.0,0.2,Public sector policy and administrative management,Ethiopia,0,S4227,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000852,0,0,ET,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020222001,2,D4270,SPECIALIZED INSTITUTE,B4200,Closed,Africa,ET,Canadian Non-Profit Making,0,0,4229943.14,2,1.0,0,1,0,0.0,0.2,Public finance management,Ethiopia,0,S4227,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000852,0,0,ET,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020222001,2,D4270,SPECIALIZED INSTITUTE,B4200,Closed,Africa,ET,Canadian Non-Profit Making,0,0,4229943.14,2,1.0,0,1,0,0.0,0.2,Legal and judicial development,Ethiopia,0,S4227,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000852,0,0,ET,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020222001,2,D4270,SPECIALIZED INSTITUTE,B4200,Closed,Africa,ET,Canadian Non-Profit Making,0,0,4229943.14,2,1.0,0,1,0,0.0,0.2,Democratic participation and civil society,Ethiopia,0,S4227,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000852,0,0,ET,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020222001,2,D4270,SPECIALIZED INSTITUTE,B4200,Closed,Africa,ET,Canadian Non-Profit Making,0,0,4229943.14,2,1.0,0,1,0,0.0,0.2,Human rights,Ethiopia,0,S4227,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000852,0,0,ET,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020246001,2,D4207,CONSULTING SERVICES,B4200,Terminating,Africa,SN,Canadian Profit Making,0,0,4518387.69,2,1.0,0,1,0,0.0,0.34,Public sector policy and administrative management,Senegal,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1014497,0,0,SN,WWD West & Central Africa,Senegal Program,4238,4518387.69,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020246001,2,D4207,CONSULTANT,B4200,Terminating,Africa,SN,Canadian Profit Making,0,0,4518387.69,2,1.0,0,1,0,0.0,0.34,Public sector policy and administrative management,Senegal,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,SN,WWD West & Central Africa,Senegal Program,4238,4518387.69,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020246001,2,D4207,CONSULTING SERVICES,B4200,Terminating,Africa,SN,Canadian Profit Making,0,0,4518387.69,2,1.0,0,1,0,0.0,0.66,Informal/semi-formal financial intermediaries,Senegal,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1014497,0,0,SN,WWD West & Central Africa,Senegal Program,4238,4518387.69,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020246001,2,D4207,CONSULTANT,B4200,Terminating,Africa,SN,Canadian Profit Making,0,0,4518387.69,2,1.0,0,1,0,0.0,0.66,Informal/semi-formal financial intermediaries,Senegal,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,SN,WWD West & Central Africa,Senegal Program,4238,4518387.69,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020252001,1,D4400,CONSULTING SERVICES,B4400,Closed,America,GY,Canadian Profit Making,0,0,7850039.11,0,1.0,0,1,0,0.0,1.0,Teacher training,Caribbean Regional - Guyana,0,S4429,Not PBA,Directive,NGM Americas,0,1000975,0,0,GY,NDD Americas Programming,Caricom - Adm,4438,7850039.11,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020272001,3,D4100,FEDERAL,B4100,Closed,Asia,PH,Canadian Non-Profit Making,0,0,13000520.92,1,1.0,1,1,1,0.0,0.5,Public sector policy and administrative management,Philippines,0,S4130,Not PBA,Directive,OGM Asia Pacific,0,10050,0,0,PH,OAD Asia Programming,Philippines and Mongolia,4128,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020272001,3,D4100,FEDERAL,B4100,Closed,Asia,PH,Canadian Non-Profit Making,0,0,13000520.92,1,1.0,1,1,1,0.0,0.4,Public finance management,Philippines,0,S4130,Not PBA,Directive,OGM Asia Pacific,0,10050,0,0,PH,OAD Asia Programming,Philippines and Mongolia,4128,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020272001,3,D4100,FEDERAL,B4100,Closed,Asia,PH,Canadian Non-Profit Making,0,0,13000520.92,1,1.0,1,1,1,0.0,0.1,Democratic participation and civil society,Philippines,0,S4130,Not PBA,Directive,OGM Asia Pacific,0,10050,0,0,PH,OAD Asia Programming,Philippines and Mongolia,4128,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020279001,3,D4100,FEDERAL,B4100,Terminating,Asia,PK,Canadian Non-Profit Making,0,0,2645994.04,1,1.0,0,1,0,0.0,1.0,Public sector policy and administrative management,Pakistan,0,S4141,Not PBA,Directive,OGM Asia Pacific,0,10050,0,0,PK,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020392001,2,D4270,CONSULTING SERVICES,B4200,Closed,Africa,MW,Canadian Profit Making,0,0,7747230.74,1,1.0,0,1,0,0.0,1.0,Public sector policy and administrative management,Malawi,0,S4271,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000601,0,0,MW,WED Southern & Eastern Africa,Mozambique Program,4280,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020395001,3,D4100,FEDERAL,B4100,Closed,Asia,BD,Canadian Non-Profit Making,0,0,4947637.32,0,0.5,0,1,0,0.0,1.0,Multisector aid,Bangladesh,0,S4122,Not PBA,Directive,OGM Asia Pacific,0,10050,0,0,BD,OAD Asia Programming,Bangladesh Section,4122,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020395001,3,D4100,Unknown,B4100,Closed,Asia,BD,Uncoded,0,0,4947637.32,0,0.5,0,1,0,0.0,1.0,Multisector aid,Bangladesh,0,S4122,Not PBA,Directive,OGM Asia Pacific,0,Information not available,0,0,BD,OAD Asia Programming,Bangladesh Section,4122,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020398001,2,D4270,CONSULTANT,B4200,Closed,Africa,MZ,Canadian Profit Making,0,0,9096651.0,0,1.0,0,1,0,0.0,0.5,Basic drinking water supply,Mozambique,0,S4271,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,MZ,WED Southern & Eastern Africa,Mozambique Program,4274,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020398001,2,D4270,CONSULTANT,B4200,Closed,Africa,MZ,Canadian Profit Making,0,0,9096651.0,0,1.0,0,1,0,0.0,0.5,Basic sanitation,Mozambique,0,S4271,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,MZ,WED Southern & Eastern Africa,Mozambique Program,4274,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020449003,2,D4207,FEDERAL,B4200,Closed,Africa,CM,Canadian Non-Profit Making,0,0,2457111.5,2,1.0,0,1,1,0.0,1.0,Multisector aid,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,10050,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020449003,2,D4207,SUPPLIER OF GOODS/SERVICES,B4200,Closed,Africa,CM,Canadian Profit Making,0,0,2457111.5,2,1.0,0,1,1,0.0,1.0,Multisector aid,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000948,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020449003,2,D4207,COOPERANT,B4200,Closed,Africa,CM,Canadian Profit Making,0,0,2457111.5,2,1.0,0,1,1,0.0,1.0,Multisector aid,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020449003,2,D4207,Unknown,B4200,Closed,Africa,CM,Uncoded,0,0,2457111.5,2,1.0,0,1,1,0.0,1.0,Multisector aid,Cameroon,0,S4287,Not PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,CM,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,ASSOCIATIONS,B4200,Closed,Africa,GN,Canadian Non-Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.5,Democratic participation and civil society,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000171,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,CONSULTING SERVICES,B4200,Closed,Africa,GN,Canadian Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.5,Democratic participation and civil society,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1001142,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,ASSOCIATIONS,B4200,Closed,Africa,GN,Canadian Non-Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.15,Food crop production,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000171,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,CONSULTING SERVICES,B4200,Closed,Africa,GN,Canadian Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.15,Food crop production,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1001142,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,ASSOCIATIONS,B4200,Closed,Africa,GN,Canadian Non-Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.1,Agricultural extension,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000171,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,CONSULTING SERVICES,B4200,Closed,Africa,GN,Canadian Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.1,Agricultural extension,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1001142,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,ASSOCIATIONS,B4200,Closed,Africa,GN,Canadian Non-Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.15,Agricultural education/training,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000171,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,CONSULTING SERVICES,B4200,Closed,Africa,GN,Canadian Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.15,Agricultural education/training,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1001142,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,ASSOCIATIONS,B4200,Closed,Africa,GN,Canadian Non-Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.1,Agricultural services,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1000171,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020715001,2,D4207,CONSULTING SERVICES,B4200,Closed,Africa,GN,Canadian Profit Making,0,0,11427061.07,0,1.0,0,1,0,0.0,0.1,Agricultural services,*Guinea,0,S4233,Not PBA,Directive,WGM Sub-Saharan Africa,0,1001142,0,0,GN,WWD West & Central Africa,Senegal Program,4242,11427061.07,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020790001,3,D4100,NGO,B4100,Closed,Asia,LK,Canadian Non-Profit Making,1,0,4308867.95,0,1.0,0,1,0,0.0,0.8,Democratic participation and civil society,Sri Lanka,0,S4141,Not PBA,Directive,OGM Asia Pacific,0,1000136,0,0,LK,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020790001,3,D4100,NGO,B4100,Closed,Asia,LK,Canadian Non-Profit Making,1,0,4308867.95,0,1.0,0,1,0,0.0,0.2,Human rights,Sri Lanka,0,S4141,Not PBA,Directive,OGM Asia Pacific,0,1000136,0,0,LK,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020891001,2,D4207,FEDERAL,B4200,Closed,Africa,ML,Canadian Non-Profit Making,1,0,3063216.68,2,0.0,0,1,0,0.0,1.0,Education policy and administrative management,Mali,0,S4215,Other PBA,Directive,WGM Sub-Saharan Africa,0,10050,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020891001,2,D4207,Unknown,B4200,Closed,Africa,ML,Uncoded,1,0,3063216.68,2,0.0,0,1,0,0.0,1.0,Education policy and administrative management,Mali,0,S4215,Other PBA,Directive,WGM Sub-Saharan Africa,0,Information not available,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020892001,2,D4207,FEDERAL,B4200,Closed,Africa,ML,Canadian Non-Profit Making,0,0,16726210.87,2,1.0,0,1,0,0.0,1.0,Teacher training,Mali,0,S4215,Other PBA,Directive,WGM Sub-Saharan Africa,0,10050,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,16726210.87,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020892001,2,D4207,CONSULTING SERVICES,B4200,Closed,Africa,ML,Canadian Profit Making,0,0,16726210.87,2,1.0,0,1,0,0.0,1.0,Teacher training,Mali,0,S4215,Other PBA,Directive,WGM Sub-Saharan Africa,0,1001126,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,16726210.87,Uncoded: Pre-APP,0,0,0
2009/2010,0,0,0,A020892001,2,D4207,CONSULTING SERVICES,B4200,Closed,Africa,ML,Canadian Profit Making,0,0,16726210.87,2,1.0,0,1,0,0.0,1.0,Teacher training,Mali,0,S4215,Other PBA,Directive,WGM Sub-Saharan Africa,0,1014203,0,0,ML,WWD West & Central Africa,Mali Program Section,4216,16726210.87,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020910001,1,D4400,FEDERAL,B4400,Closed,America,UY,Canadian Non-Profit Making,1,0,1488850.78,0,1.0,0,1,1,0.0,0.1,Primary education,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,10050,0,0,50,NDD Americas Programming,South America,4422,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020910001,1,D4400,Unknown,B4400,Closed,America,UY,Uncoded,1,0,1488850.78,0,1.0,0,1,1,0.0,0.1,Primary education,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4422,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020910001,1,D4400,FEDERAL,B4400,Closed,America,UY,Canadian Non-Profit Making,1,0,1488850.78,0,1.0,0,1,1,0.0,0.08,Basic health care,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,10050,0,0,50,NDD Americas Programming,South America,4422,0.0,Uncoded: Pre-APP,0,0,0
2009/2010,1,0,0,A020910001,1,D4400,Unknown,B4400,Closed,America,UY,Uncoded,1,0,1488850.78,0,1.0,0,1,1,0.0,0.08,Basic health care,*Southern Cone,1,S4413,Not PBA,Responsive,NGM Americas,0,Information not available,0,0,50,NDD Americas Programming,South America,4422,0.0,Uncoded: Pre-APP,0,0,0
