id,Style,ABV,Beer_Name,Brew_Factory_Name
154,Saison,4.20 %,3 Stars Lime Basil Saison &#40; Coconut &#41;,3 Stars Brewing Company
155,Amber Ale,-,White Lion Insane Mane Red Ale,Ipswich Ale Brewery
156,Amber Ale,4 %,Elk Rock Velvet Antler Amber Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;
157,Brown Ale,7 %,Abita Mint Julep Turbodog,Abita Brewing Company
158,Amber Ale,4.50 %,Sockeye Angels Perch Amber,Sockeye Brewing
159,Amber Ale,5.20 %,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company
160,American Strong Ale,10.40 %,Double Barley Give _ Em Hell,Double Barley Brewing
161,Amber Ale,6.80 %,Old Schoolhouse Blazing Amber,Old Schoolhouse Brewery
162,Amber Ale,4.50 %,Pizza Boy Journeymen,Pizza Boy Brewing
163,Amber Ale,4.80 %,Adnams / Devils Backbone American Amber,Adnams
164,Belgian Ale,6.60 %,350 El Scorcho Belgian Amber,350 Brewing Company
165,Amber Ale,5.50 %,Kingdom Round Barn Red,Kingdom Brewing
166,Amber Ale,6.80 %,Kassiks Orion_s Quest Red Ale,Kassiks Brewery
167,Amber Ale,5 %,Lynnwood Bill & Ted_s Excellent Amber,Lynnwood Grill & Brewing Concern
168,Amber Ale,6.50 %,Lakewood Manimal,Lakewood Brewing Company
169,Belgian Ale,6 %,Fair Winds Running Light Red,Fair Winds Brewing Company
170,American Pale Ale,-,Blind Tiger Holy Grail Pale Ale,Blind Tiger
171,Amber Ale,5.10 %,Prescott Manzanita Red,Prescott Brewing Company
172,Amber Ale,7 %,Tahoe Mountain Ranch Dog Red,Tahoe Mountain Brewing Company
173,Amber Ale,5 %,Vancouver Island High Trail Honey Ale,Vancouver Island Brewery
174,American Strong Ale,8.60 %,Bottle Logic Imperial REDioactive,Bottle Logic Brewing
175,Specialty Grain,5.10 %,Books & Brews Shogun Soba Ale,Books & Brews
176,American Strong Ale,8 %,Island Hoppin _ Old Madrona,Island Hoppin _ Brewery
177,Imperial IPA,8.50 %,Modern Times Mega Blazing World,Modern Times Beer
178,Dunkler Bock,-,5 Seasons Big Horn Bock,5 Seasons Brewing Company
179,Amber Ale,4 %,Squatters Respect Your Mother Organic Amber Ale,Squatters Craft Beers
180,Golden Ale/Blond Ale,5.50 %,Birrificio Trunasse Zoe,ZOE - Birrificio Trunasse
181,Belgian Ale,4.80 %,Coronado Monk In Tha Trunk,Coronado Brewing Company
182,Smoked,6.30 %,Jackie O_s Smoke Ya Oats,Jackie O_s Pub & Brewery
183,Amber Ale,5.80 %,Bog Iron Slap Happy Rye Amber,Bog Iron Brewing
184,Porter,-,Harvest Moon OQ Coffee Porter &#40; Frangelico Coffee w / Hazelnut &#41;,Harvest Moon Brewery &#40; NJ &#41;
185,Amber Ale,6 %,Amnesia Crystal Red Ale,Amnesia Brewing
186,Amber Ale,5.70 %,Twelve Bar Brews Turnaround Northwest Red Ale,Twelve Bar Brews
187,Amber Ale,4.80 %,Wicked Weed Wicked Tea Party,Wicked Weed Brewing
188,Amber Ale,5.70 %,Tap Room No. 21 Moe_s Backroom Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
189,Golden Ale/Blond Ale,3.80 %,Brodies Shoreditch Sunshine,Brodies
190,Amber Ale,6 %,Bloodline Through Silver In Blood Red Ale,Bloodline Brewing Company
191,American Strong Ale,11 %,8 Wired Mighty Imperial Ale,Renaissance Brewing
192,Premium Bitter/ESB,4.50 %,Coombe Martin Hangmans Bitter,Combe Martin
193,Amber Ale,4.50 %,Seven Brides Emily_s Ember,Seven Brides Brewing Company
194,Specialty Grain,9.20 %,Founders Barrel Aged Red_s Rye,Founders Brewing Company
195,American Strong Ale,9.50 %,Bagby Hop Whompus,Bagby Beer Company
196,Irish Ale,5.30 %,Crank Arm Reflector,Crank Arm Brewing
197,Amber Ale,5.70 %,Kirkland Signature Amber Ale,F.X. Matt Brewing Company
198,Golden Ale/Blond Ale,5 %,Banks Amber Ale,Banks Barbados Brewery
199,Specialty Grain,5 %,Glutenberg 8,Glutenberg Craft Brewery
200,Amber Ale,5.20 %,JoBoy_s Manheim Red,JoBoy_s Brew Pub
201,Imperial IPA,8 %,7 Seas Ballz Deep Double IPA,7 Seas Brewing
202,Amber Ale,5 %,Firestorm Red Angel,WharfeBank
203,Amber Ale,5 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company
204,Amber Ale,5.90 %,Il Vicino Dougie Style Amber,Canteen Brewhouse &#40; was Il Vicino Pizzeria and Brewery &#41;
205,Amber Ale,5.60 %,Red Duck Hoppy Amber,Purrumbete Brewing
206,Amber Ale,6.20 %,Imperial Oak Roil Red,Imperial Oak Brewing
207,Amber Ale,5 %,Black Forest Brau Keller Grateful Red,Black Forest Brau Keller
208,Amber Ale,6 %,Parallel 49 Gypsy Tears Ruby Ale,Parallel 49 Brewing Company
209,Irish Ale,5 %,Brew Bus Rollin Dirty Red Ale - Cedar Aged,Cigar City Brewing
210,American Strong Ale,8 %,Fuggles & Warlock Hyper Combo Red Rye IPA,Dead Frog Brewery
211,American Pale Ale,5.40 %,American Honor Declaration Ale,Lion Brewery
212,Irish Ale,-,Bilbos Dragon Red Ale,Bilbos Pizza In A Pan
213,Amber Ale,-,Americas American Red Ale,Americas Brewpub
214,Amber Ale,6.50 %,Phat Matt_s Red Ale,Phat Matt_s Brewing Company
215,American Strong Ale,6.80 %,Seabright Sacrilicious Ale,Seabright Brewery
216,India Pale Ale &#40; IPA &#41;,7.80 %,Good People Stepchild Belgian India Red Ale,Good People Brewing Company
217,Spice/Herb/Vegetable,9 %,Black Sky Imperial Petal to the Metal,Black Sky Brewery
218,American Strong Ale,8.20 %,Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co. .
219,Amber Ale,5.20 %,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;
220,Amber Ale,6.10 %,Fitgers Daisy Ale,Fitgers Brewhouse
221,Irish Ale,6 %,Council Rock Sleeping Lion Red Ale,Council Rock Brewery
222,Amber Ale,5 %,Kootenay True Ale,Columbia Brewery &#40; Labatt-InBev &#41;
223,Amber Ale,5 %,Gonzo_s BiggDogg Burning Sun Redd,Gonzo_s BiggDogg Brewing
224,Amber Ale,5.50 %,Ballast Point Calico Amber Ale - Coffee,Ballast Point Brewing Company
225,English Strong Ale,6 %,Abbey Cardinal Sin,Abbey Ales
226,Brown Ale,5.20 %,Alameda Brickhouse Brown,Alameda Brewing Co. .
227,Brown Ale,5.50 %,101 Hook Tender Honey Brown Ale,101 Brewery & Twana Roadhouse
228,American Strong Ale,9 %,Amsterdam X Indie Alehouse Shapeshifter,Amsterdam Brewing Company
229,Amber Ale,6.20 %,Anacapa Santa Rosa Red,Anacapa Brewing Company
230,Belgian Strong Ale,10 %,Kuhnhenn Irreverent,Kuhnhenn Brewing
231,Amber Ale,5.80 %,Spoonwood Cold Drip City,Spoonwood Brewery
232,Belgian Ale,6.50 %,L_Olmaia La 9,L_Olmaia
233,Irish Ale,5 %,Pisgah Ryan_s Red Ale,Pisgah Brewing Company
234,Amber Ale,5.50 %,BARTS Cardinal Red Ale,BARTS Brewpub
235,American Strong Ale,8.40 %,The Brew Gentlemen Business Casual,The Brew Gentlemen Beer Company
236,Irish Ale,-,Angelic Big Red Ale,Angelic Brewing Company
237,Amber Ale,-,Park Tavern Olmsted Amber,Park Tavern Brewery
238,Bitter,5.50 %,Les Brasseurs du Hameau d_Ham-Sud Rousse Bitter,Les Brasseurs du Hameau
239,Amber Ale,5 %,B.O.B. Crimson King,The B.O.B.s House of Brews
240,Belgian Strong Ale,9 %,Deep Cove Small Victories,Deep Cove Brewers
241,Amber Ale,6.50 %,Claremont Craft Ales Dis-Roble_d,Claremont Craft Ales
242,Porter,5.10 %,Black Swan Cherrywood Smoked Porter,Black Swan Brewpub
243,Bitter,4.20 %,Central Coast Topless Amber,Central Coast Brewing
244,Amber Ale,4.70 %,Broken Tooth Northern Lights Amber,Broken Tooth Brewing Company
245,Specialty Grain,4.50 %,Alpine Dog Black Rye Session Pale Ale,Alpine Dog Brewery
246,Amber Ale,6.20 %,Cigar City IWCB Unite,Cigar City Brewing
247,Amber Ale,4.80 %,_ La FÃ '' t La Rousse Rustre,_ La FÃ '' t
248,Bitter,-,5 Seasons Westside The Huntsman,5 Seasons Westside
249,Amber Ale,6 %,Stallhagen US Red Ale,Stallhagen
250,Amber Ale,6.04 %,Assawoman Bay Coastal Edge Copper,Assawoman Bay Brewing Company
251,Specialty Grain,5.50 %,75th Street Red Eye Rye,75th Street Brewery
252,Imperial IPA,8.20 %,Siren Batch 200 Liquid Monstrous,Siren
253,Imperial IPA,9 %,Cambridge Red God IPA,Cambridge Brewing Company
254,Amber Ale,-,Cool Springs Fatback Amber Ale,Cool Springs Brewing Company
255,Amber Ale,4.50 %,Gilgamesh Pumphouse Copper Ale,Gilgamesh Brewing
256,Irish Ale,5.80 %,Karl Strauss Red Trolley Ale,Karl Strauss Brewing Company
257,Irish Ale,5.50 %,Broken Bow Red Ale,Broken Bow Brewery
258,Amber Ale,5.70 %,Breakwater Railslide Red,Breakwater Brewing Company
259,Oktoberfest/M Ã $ rzen,6 %,1933 Oktoberfest,1933 Brewing Company
260,American Pale Ale,5.20 %,La Jolla Brewhouse Blue Whale Pale Ale,La Jolla Brewhouse
261,Stout,7 %,House Ales Crack of Noon,House Ales
262,Amber Ale,5 %,Squam Asquam Amber Ale,Squam Brewing
263,Amber Ale,5.50 %,Jumping Cow Amber Ale,August Schell Brewing Company
264,Belgian Ale,5.60 %,Big Wood Stump Splitter : Dates & Ginger,Big Wood Brewery
265,Amber Ale,5.50 %,Baja Peliroja,Baja Brewing Co. .
266,Scottish Ale,5.20 %,Angus MacDougals Scottish Red Ale,Cold Spring Brewery
267,Amber Lager/Vienna,-,Bonfire Vulcans Vienna Ale,Bonfire Bistro and Brewery
268,Amber Ale,-,Brady_s Absolutely Amber,Brady_s Brewhouse
269,Amber Ale,4.50 %,Les BiÃ ¨ res de la Nouvelle-France Nouvelle-France Rouge,Les BiÃ ¨ res de la Nouvelle-France
270,Scottish Ale,5.70 %,Cascade Lakes Angus MacDougals Amber,Cascade Lakes Brewing Co. .
271,Amber Ale,5.70 %,Big Al Amber &#40; Tutta Bella &#41;,Big Al Brewing
272,Amber Lager/Vienna,5.50 %,AC Golden Colorado Native Amber Lager,Coors Brewing Company &#40; MillerCoors &#41;
273,Amber Ale,5.50 %,Casa Bruja Sir Francis Red Ale,Casa Bruja Brewing Co. .
274,Cider,6.70 %,Bird Dog Maggie_s Cider Ale,Bird Dog Brewing
275,Golden Ale/Blond Ale,4.10 %,Goldstone Old Charmer,Goldstone
276,Amber Ale,4.50 %,Budge Brothers Spokamber 509 Amber Ale,Budge Brothers Brewery
277,Amber Ale,-,Alaskan Taku River Red,Alaskan Brewing Company
278,Spice/Herb/Vegetable,5.40 %,Odell Mean Street Pumpkin Ale,Odell Brewing Company
279,Brown Ale,4.50 %,Borderlands La Morena Brown Ale,Borderlands Brewing Company
280,Amber Ale,7.20 %,Fogbelt Hyperion Red Ale,Fogbelt Brewing Company
281,Amber Ale,5.50 %,Rush River The Unforgiven Amber Ale,Rush River Brewing Company
282,Amber Ale,6.20 %,Grist House Camp Slap Red,Grist House Brewing
283,Imperial Stout,11 %,Amager Hr . Frederiksen &#40; Colorado Whiskey Edition &#41;,Amager Bryghus
284,Amber Ale,5 %,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company
285,Amber Ale,5 %,Blue Tractor Smokehouse Amber,Blue Tractor BBQ & Brewery
286,Amber Ale,-,Uncle Billys Bitchin Camaro,Uncle Billys Brew & Que Smokehouse & Brewery
287,Amber Ale,5.50 %,Aarhus Cains Triple A American Amber Ale,Aarhus Bryghus
288,Irish Ale,6.40 %,Deschutes Fire King IRA,Deschutes Brewery
289,Amber Ale,6 %,Lenny Boy No-Show Amber,Lenny Boy Brewing Company
290,Amber Ale,5 %,Adirondack Bear Naked Ale,Adirondack Pub and Brewery
291,Amber Ale,6 %,Mudhook Live Bait Amber Ale,Mudhook Brewing Company
292,Amber Ale,6.80 %,Auburn Alehouse Scarlet Harlot,Auburn Alehouse &#40; CA &#41;
293,Amber Ale,6 %,Sigtuna Red Ale,Sigtuna Brygghus
294,Amber Ale,4.99 %,Americas Aurora Amber Ale,Americas Brewpub
295,Amber Ale,-,Tahquamenon Falls Tannin Red,Tahquamenon Falls Brewery
296,Amber Ale,6.70 %,Ladyface Agoura Ale,Ladyface Ale Companie
297,American Strong Ale,7.50 %,Mornington Peninsula Imperial Amber,Mornington Peninsula Brewery
298,Belgian Ale,5.50 %,De Dochter van de Korenaar Noblesse Very Special Old Pale &#40; VSOP &#41;,De Dochter van de Korenaar
299,Amber Ale,-,John Harvards Colonial Red,John Harvards Brewhouse Lake Grove
300,Amber Ale,5.50 %,Carters Roundhouse Red Ale,Carters Brewing Co. .
301,Smoked,6 %,CraftHaus Unite Smokey Red,CraftHaus Brewery
302,Saison,7 %,Bottle Logic Sunspear Saison,Bottle Logic Brewing
303,Smoked,8.20 %,Triple C Imperial Smoked Amber,Triple C Brewing Company
304,American Pale Ale,5 %,Alpha Golden Nugget Pale Ale,Alpha Brewing Company
305,Amber Ale,-,Legends Jack Rabbit Red Ale,Legends Brewhouse & Eatery
306,English Pale Ale,5.30 %,Kallholmen Levande Ale,SkellefteÃ ¥ Bryggeri
307,BiÃ ¨ re de Garde,4.80 %,Uberach Doigt de Dieu,Uberach
308,Golden Ale/Blond Ale,-,John Harvards Golden Honey Ale,John Harvards Brewhouse Lake Grove
309,Spice/Herb/Vegetable,6.70 %,LuPine Convocation Tea Ale,LuPine Brewing Company
310,Amber Ale,5 %,Jukebox Jazz,Brasseur De MontrÃ © al
