assay_id,bao_format,relationship_type,tid,assay_strain,confidence_score,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_tissue
16,BAO0000qw8,N,50185,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
17,BAOp00p357,D,100122,,9,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,
18,BqO0000w57,H,12054,,8,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,BAOp000p19,H,12054,,8,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,vAOo000357,H,12054,,8,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,BAO00o0457,H,12054,,8,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,BAO00003yy,H,12054,,8,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,hxO0000357,H,12054,,8,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,BAO009035y,H,12054,,8,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,BA800o0219,U,22226,,0,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,BxO9000357,H,12054,,8,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,Oryctolagus cuniculus,9986.0,
27,BzO0000w57,H,12054,,8,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,Oryctolagus cuniculus,9986.0,
28,BqO000p219,H,12426,,8,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,BAl0000356,H,12054,,8,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,3847.0,
30,BAO00903r7,H,12054,,8,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,3847.0,
31,BAO00op357,H,12054,,8,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,Glycine max,3847.0,
32,BAkp000357,H,12054,,8,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,Glycine max,3847.0,
33,BAO090035u,H,12054,,8,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,Glycine max,3847.0,
34,BAO000p3y7,H,12054,,8,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
35,nAO0900357,H,12054,,8,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
36,BAOpo00019,U,22226,,0,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,
37,BAO0900919,U,22226,,0,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,562.0,
38,BAO009001i,U,22226,,0,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,BAO0090w25,M,22222,,3,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,fAO0009225,M,22222,,3,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,BAl000p225,M,100263,,3,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,562.0,
42,BA0000022t,M,100263,,3,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,562.0,
43,BAO0090029,H,13053,,8,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,BAkp000019,H,13053,,8,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,BAOo090019,H,20001,,8,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
46,BAO00p00w9,H,20001,,8,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
47,BwO00000q9,D,12971,,9,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
48,BAOp009019,D,12971,,9,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
49,BAO00po019,D,12971,,9,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
50,BA000000w9,D,12971,,9,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
51,BAk0000919,H,13053,,8,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,BA89000357,H,11512,,8,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,BqO00003y7,H,11512,,8,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,BA00000e57,H,11512,,8,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,BAO00p02e9,D,104740,,5,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,10116.0,
56,BAO9000210,N,80002,,1,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,9606.0,
57,BAO00002qi,D,104835,,7,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,10116.0,
58,nAO0p00219,D,104821,,7,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,10116.0,
59,BAO9000119,D,104848,,7,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,10116.0,
60,BAO09002w9,N,80002,,1,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,
61,BAO00002qi,N,80002,,1,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,
62,BAO0009218,N,80002,,1,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,
63,BAO00p0319,N,80002,,1,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,9606.0,
64,BsOp000219,N,80002,,1,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,9606.0,
65,BAO000p2q9,N,80002,,1,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,
66,BAO00002qp,N,80002,,1,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,9606.0,
67,BAO009o219,N,80002,,1,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,9606.0,
68,vAO00o0219,N,80002,,1,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,9606.0,
69,BxO0p00219,N,80002,,1,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,9606.0,
70,BAO0o09219,N,80002,,1,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,
71,BwO00002w9,N,80002,,1,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,
72,BA90p00219,N,80002,,1,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,Homo sapiens,9606.0,
73,nAOp000219,N,80002,,1,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,Homo sapiens,9606.0,
74,BAO0p00119,N,80002,,1,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,9606.0,
75,BAO9900219,N,80002,,1,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,9606.0,
76,BAO0009218,N,81072,,1,17721,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,9606.0,
77,BAO00o9019,U,22226,,0,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,nAOo000357,D,100121,,9,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,10116.0,
79,gAO00p0357,H,11231,,8,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,BAO000o356,H,11231,,8,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,BAO0090358,H,11231,,8,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,BAO0000e61,H,11231,,8,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
83,BAi0000e51,H,11231,,8,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
84,BAk0000w51,H,11231,,8,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
85,BA90o00251,H,11231,,8,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
86,BAO000p252,H,12083,,8,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,9823.0,Liver
87,BAO0000o1o,H,11231,,8,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,10116.0,
88,BzO0000p19,H,11231,,8,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,10116.0,
89,gAO0000029,H,11231,,8,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,10116.0,
90,BAOo000w51,D,12083,,9,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,Liver
91,BAO00o0252,D,12083,,9,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,Liver
92,gAO0009251,D,12083,,9,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,Liver
93,BAO00002y7,H,11377,,8,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,BsO0000r57,H,11377,,8,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,BAO9000119,N,81020,,1,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,9606.0,
96,BAO00o0e19,N,81020,,1,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,9606.0,
97,BAO00002w0,N,81020,,1,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,9606.0,
98,fAO0090219,N,81020,,1,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,9606.0,
99,BAOp090219,N,81020,,1,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
100,BAO09o0218,N,50606,,1,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,10407.0,
101,BsO0000218,N,81020,,1,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
102,gAO0900219,N,81020,,1,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,9606.0,
103,BA9000p219,N,81020,,1,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,9606.0,
104,BAOp900218,N,50587,,1,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,9606.0,
105,BAOo0002q8,N,50587,,1,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
106,BAO000p217,N,50606,,1,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,10407.0,
107,BAO0000e17,N,50587,,1,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
108,vA80000218,N,50587,,1,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
109,BqO9000218,N,50587,,1,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,9606.0,
110,BAp000021o,N,50587,,1,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
111,vAO9000218,N,50587,,1,1593,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,9606.0,
112,BsO00002w8,N,50587,,1,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,
113,BwO0000118,N,50587,,1,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,9606.0,
114,BAO9o00218,N,50587,,1,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
115,hAO0900218,N,50587,,1,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,
116,BApp000219,N,81020,,1,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,9606.0,
117,BA0000025q,U,22226,,0,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,9606.0,
118,gAO0000018,U,22226,,0,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,nwO0000219,N,80612,,1,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,9606.0,
120,BAl0000w19,N,80612,,1,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,9606.0,
121,fAO00o0219,N,80612,,1,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,9606.0,
122,BAO00002wo,N,80612,,1,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,9606.0,
123,BAO0o00210,N,80612,,1,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,9606.0,
124,BA8p000219,N,80613,,1,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,9606.0,
125,BAO0o0o219,N,80613,,1,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,
126,BA80000218,N,80614,,1,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,9606.0,
127,BsO000p219,N,80614,,1,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,
128,BAl0p00220,S,100256,,2,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,9606.0,
129,BAO0o0022o,S,100256,,2,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,9606.0,
130,nA90000220,S,100256,,2,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,BA80000320,S,100256,,2,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,BAl00p0220,S,100256,,2,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,BAO9090019,U,22226,,0,3451,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,9606.0,
134,fxO0000219,N,81020,,1,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,
135,BAO0o00218,N,81020,,1,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,
136,BAO0000p1i,U,22226,,0,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,BAO00p0r57,H,235,,8,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,gAO9000218,U,22226,,0,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,10116.0,Heart
139,BqO0009019,H,19640,,8,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,BAOo000919,H,19640,,8,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,BqO0000358,H,19640,,8,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,Bzk0000019,H,19640,,8,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,BAO9o00219,N,80360,,1,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,10090.0,
144,fAO000p219,N,80360,,1,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,10090.0,
145,BxO0o00219,N,80384,,1,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,9606.0,
146,BA89000019,U,22226,,0,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,9940.0,
147,hAO0000029,U,22226,,0,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,9940.0,
148,Bzi0000357,H,191,,8,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,BAO000002o,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,
150,BAO000p01o,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,
151,BqO000021i,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,9606.0,
152,BAO00o02q9,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,
153,nAO0p00219,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,
154,BAO00po219,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,
155,BAO9p00019,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,9606.0,
156,Bsl0000019,U,22226,,0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,
157,fAO0000149,H,104290,,6,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,BqO0000217,N,50264,,1,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,1314.0,
159,BAO000o21u,N,50527,,1,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,10335.0,
160,BAO00o0217,N,50527,,1,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,vericilla zoster virus,10335.0,
161,BAO9p00218,N,50527,,1,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,vericilla zoster virus,10335.0,
162,BAO000o228,N,50527,,1,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,vericilla zoster virus,10335.0,
163,BAO0000q28,N,50145,,1,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,561.0,
164,BAOo0000q9,U,22226,,0,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,BAO0090248,H,11143,,8,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,5476.0,
166,BAO0p00r57,H,18077,,8,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,284593.0,
167,BAO00o0210,N,80609,,1,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,9606.0,
168,BAO0p00229,D,12166,,9,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,10116.0,
169,BzO00003t7,D,100171,,9,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
170,BAO0o00257,D,100171,,9,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,3847.0,
171,BAO9000358,D,100171,,9,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
172,vAO00003t7,D,100171,,9,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,3847.0,
173,gAO0900357,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,3847.0,
174,BA99000357,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,Glycine max,3847.0,
175,BzO000p357,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,Glycine max,3847.0,
176,BAO900p357,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,Glycine max,3847.0,
177,gzO0000357,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,Glycine max,3847.0,
178,BAO000pr57,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,Glycine max,3847.0,
179,BA9000o357,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,Glycine max,3847.0,
180,gAO0090357,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,Glycine max,3847.0,
181,BAi0000457,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,Glycine max,3847.0,
182,BxO0000358,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,Glycine max,3847.0,
183,BAO00004y7,D,100171,,9,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,Glycine max,3847.0,
184,BA00900019,U,22226,,0,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,Mus musculus,10090.0,
