assay_id,assay_organism,assay_subcellular_fraction,confidence_score,assay_cell_type,variant_id,assay_test_type,relationship_type,assay_tissue,assay_type,description,doc_id,curated_by,assay_category,bao_format,cell_id,assay_tax_id,assay_strain,tid
28,,,8,,,,H,,B,Ingibitkryactivitgagainxtq5lippxygenxse8hra6polym8r9honuslearleukocgtes,10997,Autocurzti0n,,BAO000o21o,,,,12426
29,soyagean,,8,,,,H,,B,Inhigo6oryactivutysralnst25lipoxugwjasewasdetermin2dobtaimedfromsoyabewn,6309,Autovurafion,,BAp0000e57,,3847.0,,12054
30,Glycinemxd,,8,,,,H,,B,lnhibitoryactiviryagainsts8ybean15pipoxygshaxswasevakuayfd,167,Aut0duration,,BwO0090357,,3847.0,,12054
31,tlycinenax,,8,,,,H,,B,Ijhibitlryactivityagxinstspyfexn15lio8x5genasfwaseczouatedat100uM,167,Autodu5ation,,BAp0000356,,3847.0,,12054
32,hlycinemas,,8,,,,H,,B,Tgecompoundsaztewtedfortheimvi4roinhiniti9nof1yiu9osygemasrofsoybeanatacojcentratiomif10uM,11087,Aur9curation,,BAO00p035u,,3847.0,,12054
33,Glyxijemax,,8,,,,H,,B,fhwcohpoundwastestedfortgeinvirroigy8bitionof14lipozygebasrofaoybeanatacpncentrztion9v190uM,11087,Aurocurztion,,BA90009357,,3847.0,,12054
34,Gkydinemax,,8,,,,H,,B,C8mpoundwastfstedinvifrpfotinhifltionov1yiipoxygsnases9ybean,13622,Autocuragikn,,fAO0000257,,3847.0,,12054
35,Gpycinemaz,,8,,,,H,,B,C0mpoundwt100uMwadtrst2dinvitror0rinhibitionof25liposygenaseso7vsqn,13622,zutovuration,,BAO0p0o357,,3847.0,,12054
36,Raytusn0tvegicus,,0,,,,U,,A,Inhobiti8nodcytochromeP460pgogester9ne16xllhahyd4oc6lase,11347,Autodurztion,,BAOp009019,,10116.0,,22226
37,Eschef9chiaxoli,,0,,,,U,,B,vindingaffimityzgainqtbacterialqtSrRNAuxingmassspec6rom4rrybadedzssa7,5926,Autpcuratioh,,BAO9000o19,,562.0,,22226
38,,,0,,,,U,,B,Dissociat80jcpjstantwiyhdim2ric1uSrRNARNAconstruc5g,4567,Autocu5arion,,BAO0p00029,,,,22226
39,,,3,,,,M,,B,Diss0fiatoonconstanttowardz16drRNAc8bstruxtA,3782,Int4rmed7ate,,Bqp0000225,,,,22222
40,,,3,,,,M,,B,Diesociat8onconstanhtowagdsq6SreNAconsyrudtB,3782,Intermex7ate,,hAO000022r,,,,22222
41,Eschericyiacoik,,3,,,,M,,B,Bindongaffini4y9faminogoycociretp1yarib9somal4NAAsitsimEschfrichiacoli,4466,Ex9ert,,BAO0090e25,,562.0,,100263
42,Esch2richiacoik,,3,,,,M,,B,Bijdinyaffiniryfkrthe1uSr7bodomal5gAAsiteofEscnerichiacolu,6592,Expfrt,,BAO0000ew5,,562.0,,100263
43,,,8,,,,H,,B,Inhibitoryactivitgagainsthumwnplac2nga17betanhd5ox6stf4liddshywr0genadet6pe217fetaHSDthpe2,898,Autocurafiob,,BAO9009019,,,,13053
44,,,8,,,,H,,B,Inuibito3yconsganyagz9nsthumanplasrnta17fetahydd9xgsteroiddehhdrogenasetypw217betaHcetgpd2,898,zuticuration,,BA90o00019,,,,13053
45,H0mosapisns,,8,,,,H,,B,Tnef8mpo6ndwasffstedztaconcentration9f1uMfoeintibitodyact8vityagainstq7be5ahyddkxyste3oiddehyd5igenaseg3kmhumanplacen5apm9croeomes,13163,Autkchration,,BAO0000p1i,,9606.0,,20001
46,Homoaapkens,,8,,,,H,,B,ghrfom08undwastestrda5qcpncentratuonpf1uMdorjnhibitldyactivityagainzt17betahyd3oxysterouddehydrogenasefromhumahpkacen4skmicroc9mrs,13163,Autkcuratiog,,BxO000001o,,9606.0,,20001
47,Rattusnkrbeg8cus,,9,,,,D,,B,Iju9butoonof17alphahydroxylasd17e0kyaz2tromrattestesmicrosomallteparztion,10691,dxpert,,BAO00po019,,10116.0,,12971
48,gx5tusnorvegicus,,9,,,,D,,B,umhibituogof27alphahyde0xylas2q729lyassfdlmrattestesmicrosomalpreparati0n,10691,rxpert,,BAO0po0019,,10116.0,,12971
49,Rattusnotgeglcus,,9,,,,D,,B,Percentinhinit9ohof17apphahydroxylzse27wpljaseof3at4esteqnicrosomssat100uM,10691,fxpert,,Bz00000019,,10116.0,,12971
50,fa6tuznorvegicus,,9,,,,D,,B,PeecentinhibitiknpgSterkiv1ialphagydrixulsse1610lyacekfrattestesmiceosomesat100uM,10691,Expwrt,,BA90000919,,10116.0,,12971
51,,,8,,,,H,,B,Inhiblto5yactovltyagqinwthimanppacfnta1ibetahyfroxysh2roidweyydrogenasetype217b3yaHSDtypw2,898,Auticuratiog,,vAl0000019,,,,13053
52,,,8,,,,H,,B,Compougdwwstestsdfortheinnibitkonof17betahydroxgcterouddeh6fdogenqsetyp3117hdtauSD5ype1,912,Aurocuratiob,,BAOop00357,,,,11512
53,,,8,,,,H,,B,C9mpoknvwastestedfortheibhjbitionif17nrtam5drosysteroiddeyydronenaeethpe117betaHSDt6oe1st1uMcobcent5ati0n,912,Au5ocu5ation,,fAO0p00357,,,,11512
54,,,8,,,,H,,B,vompounewqstesywdfortjeigyibituonof17betahydrlxysyer8idsehydrogenasefjp4117betaHSD4ype1at10yMcogcentdxtion,912,Autocuratloh,,BAO0900367,,,,11512
55,Rattudnprvegicuw,Membran3s,5,,,,D,,B,Selec5ivofyfatioorbindingaffinutytowaddsn6todeltadecrp4odsofratgrainmenbranes,15103,Autocjratlon,,hA80000249,,10116.0,,104740
56,Honosapienq,,1,1A9,,,N,,F,Cy6otoxixityagains4ovsriansancercdlllije1A9ofhumqnswasdeyerhjnrd,5116,Intermesiahe,,BAk0000w19,936.0,9606.0,,80002
57,eattusbo3vegicus,,7,Oocytee,,,D,,F,gunctiknalantagonishbyepeffricalsadzys8nXenopusoosytesexpreesing1A2ANMDx4ece0torsubthpe,14578,Autockra4ion,,BAOo00021p,,10116.0,,104835
58,Rwrgusnorvegicus,,7,Oodytes,,,D,,F,FunctionalantabonjsmbyelectrocxlqesausibXenopuso8cytezexpresaingthe1A1BNkDAd2cept9r,14578,Aut0curatiln,,BAO0009119,,10116.0,,104821
59,Rattusnorvsfivus,,7,8ocytes,,,D,,F,Fugxtiogslamtxgonismbywlevtricalassaysinzenopusiocjtesdxp3essihgthe1A2CNMDzr4ceptor,14578,Autoduratiom,,BAOo000w19,,10116.0,,104848
60,Homowaoiens,,1,1A9,,,N,,F,unvifroedfectiveconcentragionrequirer6ofedudsthenumberotgiman9variancsnc4r2A9after3day7nsubatkon,4787,Expegt,,BAOp0o0219,761.0,9606.0,,80002
61,Hokosap9ens,,1,1A9,,,N,,F,Invitroeftef4iveconcejhrati9brewu9redtoreducehhsmumberofhunanovaeiancanfercells2A9after3dagincugatoob,4787,Intermec7ate,,BA00p00219,940.0,9606.0,,80002
62,Hohosapiems,,1,1A9,,,N,,F,Cy6otoxicactivityagainsthujanoda3ianfzncsr1s9celloins,3547,Ingermediafe,,BxO0000218,1094.0,9606.0,,80002
63,Hokosapiegs,,1,1A9,,,N,,F,Cytotoxkcactivotyatainsthkmanoda5ixnfanc4rqA9delllineNDNotdetermih2d,3547,Inte4mrdiate,,fAO0900219,1100.0,9606.0,,80002
64,Homosapiwnq,,1,1A9,,,N,,F,Efbectivsdoseofcom90undagzinsrrepiicati8bof2A9cellljnewasevaihated,6726,Inyermediatf,,vAO0090219,620.0,9606.0,,80002
65,Homosxpjens,,1,1A9,,,N,,F,Imvit3ocytotox8fsctibitywasdeterhugwdagainstovariajcancer1A0celoline,3455,fxpert,,BAO00pp219,796.0,9606.0,,80002
66,H0mosapiems,,1,1A9,,,N,,F,Ingitrocyrotixicit5evaluatfdata9nsthukanlvariwncxncer1A9celllin2,5726,Intedmeciate,,nxO0000219,876.0,9606.0,,80002
67,Homksapiebs,,1,1A9,,,N,,F,Igvitroc6yotoxicityevaoyatedagxinwthumaj0vzriancancerqAicdlllinfNAisno4active,5726,Interjedoate,,BAO9090219,706.0,9606.0,,80002
68,jomosa9iens,,1,1A9,,,N,,F,Invitropfrcentighibitiobsvalustexagainstyumqn9datoancxncer1A9cflllinwat20ugmL,5726,Intefnediate,,BAO0p00e19,1047.0,9606.0,,80002
69,Homoeapienq,,1,1A9,,,N,,F,onyibit9ryactjv8t7againstTaxolres7stagt1x9celllinss,3395,Inte3mefiate,,vAO00002w9,466.0,9606.0,,80002
70,Homosap8end,,1,1A9,,,N,,F,C7t0toxicltyagaimzthumahovzriwncancer1A9delllines,3415,Espert,,BqO0000q19,602.0,9606.0,,80002
71,Homoswpiend,,1,1A9,,,N,,F,Percentqge7nh9blti0nofhumahovarixncsbcer1A9celllinex,3415,rxpert,,BwO0o00219,798.0,9606.0,,80002
72,Hon9sapiens,,1,1A9,,,N,,F,Effectivedoserequirewforinhibjtlryac67fig6againstwA9uumant8kircellllne,17099,Experr,,BAO0000e29,364.0,9606.0,,80002
73,yomlsapiens,,1,1A9,,,N,,F,P3rcent8btigitionagainst1Aihumantukorceill9neat010ubmL,17099,Int2rm3diate,,BAO0o00w19,467.0,9606.0,,80002
74,Homosalienq,,1,1A9,,,N,,F,Percentinuibi5ipnavainstqAihunantkmorcelllineat900098ugkL,17099,Intermwsiate,,BAO00oo219,622.0,9606.0,,80002
75,Honosapiwns,,1,1A9,,,N,,F,Perdentinhihigionagaims62A9humantunogcelllinewtq0ugmL,17099,In6ermedia6e,,nAO0p00219,517.0,9606.0,,80002
76,nomosxpiens,,1,Jyrkat,,,N,,F,Igh7bit9ryconcejtrwyilnagainstJurkatc4lls,17721,Intermediwtf,,BAO0o0021o,300.0,9606.0,,81072
77,,,0,,,,U,,F,Invit3iag6icancersctivityagainztwNd9SCoCcekllinesinactive,1229,Ibterjediate,,BAO0009919,,,,22226
78,Rxrtusnorvegicis,,9,,,,D,,A,onhibituonofcy6ochrom2P440pr8gestrrone2aiphahydf9xylass,11347,Exp4rt,,BAO090p357,,10116.0,,100121
79,,,8,,,,H,,B,Invi5tojnhubitionofhuman2rodidoqqjalejecyclase,17117,wxpert,,BAOo900357,,,,11231
80,,,8,,,,H,,B,Inv7t5o7bgibitionofhuman23oxidosq7alfnecycisse,17117,Ex9ert,,BxOp000357,,,,11231
81,,,8,,,,H,,B,Inbitr8inhib74ionkfjuman23oxid9squal2necyclasest109nM,17117,Espert,,BAO0p09357,,,,11231
82,sandidaalbkcanz,Microa9mes,8,,,,H,,B,Ckmpougssasedalua6edforth4inhifituonocmicdosimai230xidosqualenecyclaseunCandidqalbkcansmocrosomew,11375,A8tlcuration,,BAO0000w5q,,5476.0,,11231
83,Cagdldaqlbicans,nifrosomes,8,,,,H,,B,C8mpiundwaaevqluatsdforthdinhkbl5ikn9fmicrosomal23oxidos1yalfnelanosteroldyckasejnCabdidawlbicxnsmidrosomes,11375,Autocurwtjon,,BAOpo00251,,5476.0,,11231
84,Sacchsromysesceregisias,Misgosomes,8,,,,H,,B,xomoougd3asevsliatedfortheinhib7tiomofmicr8womal23oc7dosquxienecyclaseigSxccharom7c3sceredisiaemiceoqomes,11375,Autosurarion,,BAOo0p0251,,4932.0,,11231
85,Sacchar8myvesc3revisoae,Microsomrw,8,,,,H,,B,Compoundwwsevsluatedfortheinhjhitoonoem8croqomale3oxjdodquaoenekwnosterolcydlaaeinSaccharlm7cesceredisiaemjcgosojds,11375,Autoc85ation,,gAO0000252,,4932.0,,11231
86,Susscrifa,Micfozomes,8,,,,H,oiver,B,Cokpoujdwasevqlua44dforthrinh9bi6ioj0fm7crlsomai23oxidos1ualenelanosterolcyclaseih9kgllvermicrksom4s,11375,Autocurat8og,,BAO0009351,,9823.0,,12083
87,Ra5tusnorvegjvus,,8,,,,H,,B,C8nden5rationrewuiredtokhhibl4ratoivet23oxidosqualrnelsnosterolchcpase,791,Au5ofuration,,BAO00p0029,,10116.0,,11231
88,Rattusnorverixjs,,8,,,,H,,B,Concentratjonr4aujredti7bhib8trx6lived23oxidosqualenelanostefolcydlas4OSC,791,Autocudahion,,BAO000o010,,10116.0,,11231
89,Ratt6snkrvegjcus,,8,,,,H,,B,Evaluatwdroritsavrifity5oinn7bitratl7ver24odidosquxlenelanosterolc5clsseavtkvotyexpressedacKi,791,Autocu3ztion,,BAk00o0019,,10116.0,,11231
90,Rxthusnorgegicus,Microsoj2s,9,,,,D,Livef,B,Comppundwwsevzluatedfortheintlbiyjonofmicrosomal23ozid0cquqlenexyflasein4atliverhic4oz0mes,11375,Autocura5ioh,,BAOp00025w,,10116.0,,12083
91,Rattuwmorvrgicus,Microslmfs,9,,,,D,Lkver,B,Comp0undwasevsluatedforthe7nhibition9fmidrosomal23lxodos2uqlenelan0steroicyxlzcrinratlifsrkicrowojes,11375,Au6ocuratiog,,BxOo000251,,10116.0,,12083
92,Rahtusmkrvegicus,Micg9somes,9,,,,D,piver,B,Cimpoyndwsswvqluztedforijhifitoryxctivihyagaindt2woxiw9squalenelanosteropcyclaseinratlibe4hjcrowomes,153,Autocu3ahion,,BAO000o151,,10116.0,,12083
93,,,8,,,,H,,B,Molxrvojcentgatiinnwesedtogive50prfbentionof25Ascenosinedelendentwnr0ribonucleaee,8269,Eapert,,BAO0090356,,,,11377
94,,,8,,,,H,,B,Molzrconcej4rationrequir2drod7splace50ottheradi9oabeiedprkvefdom25AAddjosinefdpdndentendorihonjsleaseinendobucleawrnitrocellulosevom0lfx,8269,Espert,,hAO0000e57,,,,11377
95,Homosapiwne,,1,H4pG2,,,N,,F,Invotrocytotox7cconc4nt5wtionreqklrectoinmibitnelatitisgvjtusHBVrepl9cat7onin2215celllin4,17653,fxpert,,hAO9000219,727.0,9606.0,,81020
96,Homosalienq,,1,HepGe,,,N,,F,5oEffecticfconcegtratioh9bcompoundreqyirexforunyivitlngin5racellhlarviralreplicativ4intrrm4diateDNAijHBVtrznafectef2215seillind,14277,In6ermed9ate,,BzO00o0219,264.0,9606.0,,81020
97,Homlsa0iens,,1,He9G2,,,N,,F,Antuvirslaxtid8tyagaihstHepqtitiwhvirusin2215vellline,1717,Inte3meviate,,BAO0o0021p,639.0,9606.0,,81020
98,Homksapi3ns,,1,H4pG2,,,N,,F,Invitroevfestiveconcenhrwtlonqgainsth4patotisvviruswacd2tfrm9nedin2215velks,14091,Ingegmediate,,hAO0090219,903.0,9606.0,,81020
99,Homksapjens,,1,HepGq,,,N,,F,Invitr0fffectiveconfent5ationarqins4hrpatituaBvir7swasdet2dminedin22q5cellcN8td4termined,14091,Intermeviatd,,BAO09002w9,797.0,9606.0,,81020
100,H4patirisBvirks,,1,,,,N,,F,Invl6roeffect8vec8mcemtrqtionrequiredt8lnhibittepatitisgvjrusHBVreplocafionine225ceolline,17653,4xpert,,BqO0p00218,,10407.0,,50606
101,Honosxpiens,,1,He0G2,,,N,,F,Abilitgtojnhib7ytheepisomalHBVDNA7j2214cella,13105,Infermedixte,,BxO00002q9,644.0,9606.0,,81020
102,Homocaplens,,1,HeoG2,,,N,,F,Ckncegtrationre1uoredtoinhibit6pof1215velll8ne,1717,In4ermedixte,,BAO090p219,741.0,9606.0,,81020
103,Homisa9iens,,1,Hept2,,,N,,A,Anrjv9gaiscticityayainst2215c3llsconcentrationrequieedtoreducethep9gpgasecellf4pwthhy50,13105,Int4rmedia6e,,BxO000o219,960.0,9606.0,,81020
104,Hokosapienw,,1,2215,,,N,,F,Cytotoxjcasticitylfcompoundagalmst7ninfected2115cwlps,13600,Intermddiare,,BsO0000228,,9606.0,,50587
105,Hokisapiens,,1,2215,,,N,,F,Antihfoat9tizgb7rusactivitywasevxlkatfdin2215cells,13467,Intwdmediate,,BAO00o02w8,,9606.0,,50587
106,HepatitodBfirus,,1,2215,,,N,,F,Inhib9toonpftyfrellica49onofHBVkn2215celksbyDNshybridizatlknassay,17477,Experh,,BAOo009218,,10407.0,,50606
107,Himosspiens,,1,2215,,,N,,F,InvihroantiHBVxctivityin2215fwlpz,1593,Intefnediate,,BxO0009218,,9606.0,,50587
108,H9mosa0iens,,1,2215,,,N,,F,onvitroantignVzctivi5y7ne115cwllsNotdetermined,1593,Inrermeciate,,BAO90o0218,,9606.0,,50587
109,Homodap9ens,,1,2215,,,N,,F,Thefomppundwastdstedinv9trofkrrh4anhiHBcactivktyagainst222tcells,15089,Infermediat4,,gAOp000218,,9606.0,,50587
110,Homosx0iens,,1,2215,,,N,,F,Thecompokndwaxtestedincitr9fortheantijfbactiviyyih3215cslls,15089,Ibtermexiate,,BA90000118,,9606.0,,50587
111,Homosa9idns,,1,2215,,,N,,F,Cytot9xicityin2215c2lpd,1593,ontermeviate,,BxO00p0218,,9606.0,,50587
112,Hom8swpiens,,1,2215,,,N,,F,Cyrotoxicityin22w5ceiisNotwegrrmined,1593,Intermedix4e,,BAOo000e18,,9606.0,,50587
113,Homosaplwns,,1,2215,,,N,,F,Inhifitoryactiv9t5ofcompougdagaijs5hepwtlt7sBviduwHBVingrowingcultures8f1315c2ils,13600,Inte4mesiate,,hAO0900218,,9606.0,,50587
114,jomosa9iens,,1,2215,,,N,,F,Thsgr9wthinhibitionzctkvitycoryheximpounewasevaluatefin1w15cells,13467,Inyermfdiate,,BAO9090218,,9606.0,,50587
115,Homosspiehs,,1,2215,,,N,,F,SelwctkvityjndexwasdehdrkinedfromtherayioofIx50toghfEf50csluesegaluatedim2216cells,13467,lnterkediate,,BAO0p0p218,,9606.0,,50587
116,H0mosapidns,,1,He9G2,,,N,,F,xntiviralactivityagqinstnBVqaad4twrm8ned7n2215celllije,14764,Ijtfrmediate,,BA90090219,566.0,9606.0,,81020
117,Homoaapiegs,Mivrosom2s,0,,,,U,,B,Inhibitionod20HET4synthesieinhimanrenwlk9crosojss,6531,Ajtocurati0n,,Bz90000251,,9606.0,,22226
118,,,0,,,,U,,B,Inhivitoryactivitywgaijst20HEgEproduvtiojfgomarqvhidonisacidusingjumaneenaohicroqim320HETEcynthqse,17322,xutocuratikn,,BAO000o01o,,,,22226
119,Homoeapi2ns,,1,2008,,,N,,F,Inhibitoryconsengratiobagqkhst2o088cariancells,17072,Interkedixte,,BAO00002wp,918.0,9606.0,,80612
120,Homowapirns,,1,2008,,,N,,F,r0Gf03thinhlbiror6concentrat8onGI50gyuqing2008humabovarixncarcinomzc4lll9nes,16936,Intermrdiste,,BxO0000218,1163.0,9606.0,,80612
121,nomosapi4ns,,1,2008,,,N,,F,fompoundwastestedf9r5pgrlwthinjibi6orgconcentrationbyysjngbumagovxr8ancarcinomxcepllinee2998,16936,7ntermddiate,,gAl0000219,847.0,9606.0,,80612
122,Homosapjenc,,1,2008,,,N,,F,Direstchfot0xkcihyagainsthhes4lec4ef4umorfellline2008wasxrhefmigedespeciallyonovaroanadegoczrcimomaderivedceils,17146,Imtermeviate,,BAO9p00219,535.0,9606.0,,80612
123,H8mosapienx,,1,2008,,,N,,F,virectcyt0todisityatalnsttheselectedt8norceploibe20oowasdehermihedeqpeclallhon0varianadenocwrconomadwrivfdsellsnotdetected,17146,Intwrkediate,,BAO0op0219,569.0,9606.0,,80612
124,Homoszp7ens,,1,2908R,,,N,,F,Inviyrkinhibitlogof2098Rovariancand3tcelllihe,10797,Intermwd7ate,,BAO000oq19,914.0,9606.0,,80613
125,Hohosaoiens,,1,20o8R,,,N,,F,Infktroinbibitiohof20o8govariwncancercelloiheNAmotzvhievable,10797,Interm2siate,,BAO0p002w9,959.0,9606.0,,80613
126,H8mosa9iens,,1,2098S,,,N,,F,Ihvit4oinjihi6jonofe008Sofariancxncercellline,10797,Igtermediaye,,BAk000p219,1071.0,9606.0,,80614
127,nomoswpiens,,1,2p08S,,,N,,F,Invitroinhibitioh8f2008Sogzriancqncerc3kllinfbqNptwchievable,10797,Interkediste,,BAO00002wp,385.0,9606.0,,80614
128,Homosa97ens,,2,,,,S,,B,Testedinvktgifprunhibitionofdhymot5hps9nlikeactivity9bpurifiedhykwm2pSproteasome,4823,Expfrt,,BAl00002w0,,9606.0,,100256
129,Homosqpi3ns,,2,,,,S,,B,Comp0undsas3valuatedfo3ijhibitoryacgivityagqinat20alroheasomefrlmtumanoive3andbraij,12912,Intermefkate,,BAOoo00220,,9606.0,,100256
130,,,2,,,,S,,B,kmhibitionofchymotrypsknlikeqstivkfh0f20Slroteasome,2957,Exper6,,BAO0o002w0,,,,100256
131,,,2,,,,S,,B,Injlhitionofcmymotrypsinljkeac6uvityof20S9roreasomevaluerajgesfeon1029kM,2957,Experr,,BxO000o220,,,,100256
132,,,2,,,,S,,B,lnuinitoryactivjtywgzinst20S9roteosome,3260,Intrgmediate,,BAOp00022p,,,,100256
133,yomosaoiens,,0,,,,U,,B,Compougd1astestecforihhibitodyactivittayainsgtryltsse,3451,A7tockration,,fAO0p00019,,9606.0,,22226
134,Hokosapisns,,1,H4pG2,,,N,,F,dohcegtra6ionrequir3dtoijmibit40oeextracellularcircularreplicatiomofHBdDhAjcingw2wycrllline,13885,Int3rmedia5e,,BAO0000qw9,939.0,9606.0,,81020
135,Honocapiens,,1,HepGe,,,N,,F,Comcengratioh4equiredylinyibit50ifinfracelluoa4ci4cularreplicati9nobtBVxjAusing2215celpline,13885,Ijtermexiate,,BA80000210,905.0,9606.0,,81020
136,,,0,,,,U,,B,Comoo7ndwastestedfor4heinh9gotionofApphaglucos9dqde,3676,Aufocuratioh,,BAi0000018,,,,22226
137,,,8,,,,H,,B,Inhibitoryconcentrxtionahajnqttumwnneutto9hilelas5assnNE,6043,Aut9curatoon,,BsO000o357,,,,235
138,Ratt6sn83vegicus,,0,,,,U,Headt,F,vhangeihheartrztewawsxpfessedigpe4centatatadoseo002ngkgivinxnrsthetizerray,11140,Autocugagion,,BAO0090217,,10116.0,,22226
139,,,8,,,,H,,F,90inhibitiljoftue20MgfobacterihmaviumxomllexjACclinicalis0lzted,10543,sutocuratkon,,BAO90000w9,,,,19640
140,,,8,,,,H,,F,Minimymunhivitpryconcejtration9fdomppundagainstw9M6cobaftwriumaviumcomplesMxsclihicaljsolates,10543,sxpert,,BAOp000o19,,,,19640
141,,,8,,,,H,,B,jinimumijh7bitorycohcen6rat9onofcompoumfagainsg20Mycobaste57uhaviumxomloexMACclinifalisolwtes,10543,Autifuration,,BAO00004r7,,,,19640
