ASI,Des,CI,BFO,CURAB,ASSSUBCELFR,ASCT,T,RELAT,CONFSC,SRI,SASSI,CHEI,TISI,VAI
31,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615144,,
32,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL872867,,
33,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615145,,
34,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615146,,
35,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,Autocuration,,,12054,H,8,1,,CHEMBL615147,,
36,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615148,,
37,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615149,,
38,Dissociation constant with dimeric 16S rRNA RNA construct B,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615150,,
39,Dissociation constant towards 16S rRNA construct A,,BAO_0000225,Intermediate,,,22222,M,3,1,,CHEMBL615151,,
40,Dissociation constant towards 16S rRNA construct B,,BAO_0000225,Intermediate,,,22222,M,3,1,,CHEMBL615152,,
41,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,BAO_0000225,Expert,,,100263,M,3,1,,CHEMBL615153,,
42,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,BAO_0000225,Expert,,,100263,M,3,1,,CHEMBL615154,,
43,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,Autocuration,,,13053,H,8,1,,CHEMBL615155,,
44,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,Autocuration,,,13053,H,8,1,,CHEMBL615156,,
45,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,Autocuration,,,20001,H,8,1,,CHEMBL615157,,
46,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,Autocuration,,,20001,H,8,1,,CHEMBL615158,,
47,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,Expert,,,12971,D,9,1,,CHEMBL615159,,
48,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,Expert,,,12971,D,9,1,,CHEMBL615172,,
49,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,Expert,,,12971,D,9,1,,CHEMBL615173,,
50,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,Expert,,,12971,D,9,1,,CHEMBL615174,,
51,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,Autocuration,,,13053,H,8,1,,CHEMBL884518,,
52,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,BAO_0000357,Autocuration,,,11512,H,8,1,,CHEMBL615175,,
53,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,BAO_0000357,Autocuration,,,11512,H,8,1,,CHEMBL615176,,
54,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,BAO_0000357,Autocuration,,,11512,H,8,1,,CHEMBL615177,,
55,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,BAO_0000249,Autocuration,Membranes,,104740,D,5,1,,CHEMBL615178,,
56,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615179,,
57,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,BAO_0000219,Autocuration,,Oocytes,104835,D,7,1,,CHEMBL615180,,
58,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,BAO_0000219,Autocuration,,Oocytes,104821,D,7,1,,CHEMBL615181,,
59,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,BAO_0000219,Autocuration,,Oocytes,104848,D,7,1,,CHEMBL615182,,
60,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,506.0,BAO_0000219,Expert,,1A9,80002,N,1,1,,CHEMBL615183,,
61,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615184,,
62,Cytotoxic activity against human ovarian cancer (1A9) cell line,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615185,,
63,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615186,,
64,Effective dose of compound against replication of 1A9 cell line was evaluated,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615187,,
65,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,506.0,BAO_0000219,Expert,,1A9,80002,N,1,1,,CHEMBL885343,,
66,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615188,,
67,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615189,,
68,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615190,,
69,Inhibitory activity against Taxol resistant 1A9 cell lines,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615191,,
70,Cytotoxicity against human ovarian cancer (1A9) cell lines.,506.0,BAO_0000219,Expert,,1A9,80002,N,1,1,,CHEMBL615192,,
71,Percentage inhibition of human ovarian cancer (1A9) cell lines.,506.0,BAO_0000219,Expert,,1A9,80002,N,1,1,,CHEMBL827083,,
72,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,506.0,BAO_0000219,Expert,,1A9,80002,N,1,1,,CHEMBL615193,,
73,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615194,,
74,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615195,,
75,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,506.0,BAO_0000219,Intermediate,,1A9,80002,N,1,1,,CHEMBL615196,,
76,Inhibitory concentration against Jurkat cells,503.0,BAO_0000219,Intermediate,,Jurkat,81072,N,1,1,,CHEMBL615197,,
77,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,BAO_0000019,Intermediate,,,22226,U,0,1,,CHEMBL615198,,
78,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,BAO_0000357,Expert,,,100121,D,9,1,,CHEMBL615199,,
79,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,Expert,,,11231,H,8,1,,CHEMBL615200,,
80,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,Expert,,,11231,H,8,1,,CHEMBL615201,,
81,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,BAO_0000357,Expert,,,11231,H,8,1,,CHEMBL615202,,
82,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,BAO_0000251,Autocuration,Microsomes,,11231,H,8,1,,CHEMBL615203,,
83,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,BAO_0000251,Autocuration,Microsomes,,11231,H,8,1,,CHEMBL615204,,
84,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,Autocuration,Microsomes,,11231,H,8,1,,CHEMBL615205,,
85,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,Autocuration,Microsomes,,11231,H,8,1,,CHEMBL615206,,
86,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,BAO_0000251,Autocuration,Microsomes,,12083,H,8,1,,CHEMBL615207,2107.0,
87,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,BAO_0000019,Autocuration,,,11231,H,8,1,,CHEMBL827084,,
88,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,BAO_0000019,Autocuration,,,11231,H,8,1,,CHEMBL615208,,
89,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,BAO_0000019,Autocuration,,,11231,H,8,1,,CHEMBL615209,,
90,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,BAO_0000251,Autocuration,Microsomes,,12083,D,9,1,,CHEMBL615210,2107.0,
91,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,BAO_0000251,Autocuration,Microsomes,,12083,D,9,1,,CHEMBL615211,2107.0,
92,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,BAO_0000251,Autocuration,Microsomes,,12083,D,9,1,,CHEMBL615212,2107.0,
93,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,BAO_0000357,Expert,,,11377,H,8,1,,CHEMBL615213,,
94,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,BAO_0000357,Expert,,,11377,H,8,1,,CHEMBL615273,,
95,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,726.0,BAO_0000219,Expert,,HepG2,81020,N,1,1,,CHEMBL615274,,
96,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615275,,
97,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615276,,
98,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615277,,
99,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615326,,
100,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000218,Expert,,,50606,N,1,1,,CHEMBL883130,,
101,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL884519,,
102,Concentration required to inhibit 50% of 2.2.15 cell line,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615327,,
103,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615328,,
104,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615329,,
105,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615330,,
106,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,BAO_0000218,Expert,,2.2.15,50606,N,1,1,,CHEMBL615331,,
107,In vitro anti-HBV activity in 2.2.15 cells,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615332,,
108,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615333,,
109,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615334,,
110,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615335,,
111,Cytotoxicity in 2.2.15 cells,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615336,,
112,Cytotoxicity in 2.2.15 cells; Not determined,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615337,,
113,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615338,,
114,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615339,,
115,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,BAO_0000218,Intermediate,,2.2.15,50587,N,1,1,,CHEMBL615340,,
116,Antiviral activity against HBV was determined in 2.215 cell line,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615341,,
117,Inhibition of 20-HETE synthesis in human renal microsomes,,BAO_0000251,Autocuration,Microsomes,,22226,U,0,1,,CHEMBL615342,,
118,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615343,,
119,Inhibitory concentration against 2008 (ovarian) cells,388.0,BAO_0000219,Intermediate,,2008,80612,N,1,1,,CHEMBL615344,,
120,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,388.0,BAO_0000219,Intermediate,,2008,80612,N,1,1,,CHEMBL615345,,
121,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),388.0,BAO_0000219,Intermediate,,2008,80612,N,1,1,,CHEMBL615346,,
122,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,388.0,BAO_0000219,Intermediate,,2008,80612,N,1,1,,CHEMBL615347,,
123,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,388.0,BAO_0000219,Intermediate,,2008,80612,N,1,1,,CHEMBL615348,,
124,In vitro inhibition of 2008/R ovarian cancer cell line,561.0,BAO_0000219,Intermediate,,2008/R,80613,N,1,1,,CHEMBL827085,,
125,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,561.0,BAO_0000219,Intermediate,,2008/R,80613,N,1,1,,CHEMBL615349,,
126,In vitro inhibition of 2008/S ovarian cancer cell line,389.0,BAO_0000219,Intermediate,,2008/S,80614,N,1,1,,CHEMBL615350,,
127,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,389.0,BAO_0000219,Intermediate,,2008/S,80614,N,1,1,,CHEMBL615351,,
128,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,BAO_0000220,Expert,,,100256,S,2,1,,CHEMBL615352,,
129,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,BAO_0000220,Intermediate,,,100256,S,2,1,,CHEMBL615353,,
130,Inhibition of chymotrypsin-like activity of 20S proteasome,,BAO_0000220,Expert,,,100256,S,2,1,,CHEMBL615354,,
131,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,BAO_0000220,Expert,,,100256,S,2,1,,CHEMBL615355,,
132,Inhibitory activity against 20S proteosome,,BAO_0000220,Intermediate,,,100256,S,2,1,,CHEMBL615356,,
133,Compound was tested for inhibitory activity against tryptase,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615357,,
134,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL615358,,
135,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,726.0,BAO_0000219,Intermediate,,HepG2,81020,N,1,1,,CHEMBL827086,,
136,Compound was tested for the inhibition of Alpha-glucosidase,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615359,,
137,Inhibitory concentration against human neutrophil elastase (HNE),,BAO_0000357,Autocuration,,,235,H,8,1,,CHEMBL615360,,
138,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,BAO_0000218,Autocuration,,,22226,U,0,1,,CHEMBL615361,948.0,
139,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,Autocuration,,,19640,H,8,1,,CHEMBL615362,,
140,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,Expert,,,19640,H,8,1,,CHEMBL615363,,
141,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000357,Autocuration,,,19640,H,8,1,,CHEMBL615364,,
142,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,Expert,,,19640,H,8,1,,CHEMBL615365,,
143,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,524.0,BAO_0000219,Intermediate,,P338,80360,N,1,1,,CHEMBL615366,,
144,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,524.0,BAO_0000219,Intermediate,,P338,80360,N,1,1,,CHEMBL615367,,
145,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,554.0,BAO_0000219,Intermediate,,PBL,80384,N,1,1,,CHEMBL615368,,
146,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615369,,
147,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615370,,
148,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,BAO_0000357,Autocuration,,,191,H,8,1,,CHEMBL615673,,
149,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615674,,
150,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615675,,
151,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,635.0,BAO_0000219,Autocuration,,CCRF-CEM,22226,U,0,1,,CHEMBL615676,,
152,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,635.0,BAO_0000219,Autocuration,,CCRF-CEM,22226,U,0,1,,CHEMBL615677,,
153,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,635.0,BAO_0000219,Autocuration,,CCRF-CEM,22226,U,0,1,,CHEMBL615678,,
154,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,635.0,BAO_0000219,Autocuration,,CCRF-CEM,22226,U,0,1,,CHEMBL615679,,
155,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615680,,
156,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615681,,
157,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,BAO_0000249,Autocuration,,,104290,H,6,1,,CHEMBL857972,,
158,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,BAO_0000218,Intermediate,,,50264,N,1,1,,CHEMBL857899,,
159,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,BAO_0000218,Intermediate,,,50527,N,1,1,,CHEMBL615371,,
160,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,468.0,BAO_0000218,Expert,,HEL,50527,N,1,1,,CHEMBL615372,,
161,Antiviral activity against 07/1 strain of VZV; ND: No data,,BAO_0000218,Intermediate,,,50527,N,1,1,,CHEMBL615373,,
162,Antiviral activity against 07/1 strain of VZV; ND=No data,,BAO_0000218,Intermediate,,,50527,N,1,1,,CHEMBL615374,,
163,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,BAO_0000218,Intermediate,,,50145,N,1,1,,CHEMBL615375,,
164,Ratio of Ki at A2 to Ki at A1 receptors,,BAO_0000019,Autocuration,,,22226,U,0,1,,CHEMBL615376,,
165,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,BAO_0000249,Expert,,,11143,H,8,1,,CHEMBL615377,,
166,"Inhibition of 1,3-beta-glucan synthase",,BAO_0000357,Expert,,,18077,H,8,1,,CHEMBL615378,,
167,Inhibition of growth of 1-87 human tumor cell line,832.0,BAO_0000219,Intermediate,,1-87 tumor cell line,80609,N,1,1,,CHEMBL615379,,
168,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,BAO_0000219,Expert,,,12166,D,9,1,,CHEMBL615380,,
169,Inhibitory activity against soybean 1-lipoxygenase (SLO),,BAO_0000357,Autocuration,,,100171,D,9,1,,CHEMBL615381,,
170,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,BAO_0000357,Autocuration,,,100171,D,9,1,,CHEMBL615382,,
171,% inhibition against soybean 1-lipoxygenase (SLO),,BAO_0000357,Autocuration,,,100171,D,9,1,,CHEMBL615383,,
172,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,BAO_0000357,Autocuration,,,100171,D,9,1,,CHEMBL615384,,
