assays_chembl_id,assays_doc_id,assays_assay_category,assays_assay_id,assays_assay_cell_type,assays_assay_tax_id,assays_assay_test_type,assays_tid,assays_assay_strain,assays_assay_type,assays_assay_organism,assays_bao_format,assays_description,assays_cell_id,assays_src_assay_id,assays_relationship_type,assays_confidence_score,assays_curated_by,assays_assay_tissue,assays_src_id,assays_variant_id,assays_tissue_id,assays_assay_subcellular_fraction
CHEMBL618656,1465,,7534,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Compound was tested for solubility in water,,,N,1,Intermediate,,1,,,
CHEMBL618657,5182,,7535,,,,22229,,P,,BAO_0000100,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,,U,0,Intermediate,,1,,,
CHEMBL618658,17847,,7536,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Solubility was determined,,,N,1,Intermediate,,1,,,
CHEMBL618659,15339,,7537,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,solubility in water (ug/mL) at 37 degree C.,,,N,1,Intermediate,,1,,,
CHEMBL618660,5202,,7538,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,,N,1,Intermediate,,1,,,
CHEMBL618661,1088,,7539,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,,N,1,Intermediate,,1,,,
CHEMBL873807,3169,,7540,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life in rats,,,N,1,Intermediate,,1,,,
CHEMBL618662,5353,,7541,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life in Dawley rat,,,N,1,Intermediate,,1,,,
CHEMBL618663,2864,,7542,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period after 3 mg/kg iv administration,,,N,1,Intermediate,,1,,,
CHEMBL618664,2864,,7543,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period after 3 mg/kg iv administration in rat,,,N,1,Intermediate,,1,,,
CHEMBL618665,2864,,7544,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period after 3 mg/kg iv administration in the rat,,,N,1,Intermediate,,1,,,
CHEMBL876498,6362,,7545,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life period in female Sprague-Dawley rats,,,N,1,Intermediate,,1,,,
CHEMBL618666,6249,,7546,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life period in rat,,,N,1,Intermediate,,1,,,
CHEMBL620440,3169,,7547,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life in rats was determined,,,N,1,Intermediate,,1,,,
CHEMBL620441,3169,,7548,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life in rats with metabolic oxidation,,,N,1,Intermediate,,1,,,
CHEMBL620442,3169,,7549,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life in rats,,,N,1,Intermediate,,1,,,
CHEMBL620443,17260,,7550,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,N,1,Intermediate,,1,,,
CHEMBL620444,17260,,7551,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,N,1,Intermediate,,1,,,
CHEMBL620445,17260,,7552,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,N,1,Intermediate,,1,,,
CHEMBL620446,17260,,7553,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,N,1,Intermediate,,1,,,
CHEMBL620447,2879,,7554,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Biological half-life measured in plasma of rat,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL621129,2879,,7555,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Biological half-life measured in plasma of rat; 22-25,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL621130,2879,,7556,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Biological half-life measured in plasma of rat; 9-16,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL873808,3184,,7557,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Compound was evaluated for its half life when administered intravenously in rat,,,N,1,Intermediate,,1,,,
CHEMBL876598,4891,,7558,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,,N,1,Intermediate,,1,,,
CHEMBL621131,429,,7559,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,,N,1,Intermediate,,1,,,
CHEMBL621132,5656,,7560,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life (T1/2) after oral administration in rat,,,N,1,Intermediate,,1,,,
CHEMBL621133,4413,,7561,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life of compound after iv administration of 20 mg/kg dose in rat,,,N,1,Intermediate,,1,,,
CHEMBL621312,3598,,7562,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,,N,1,Expert,,1,,,
CHEMBL621313,17267,,7563,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life of compound was determined in rat,,,N,1,Intermediate,,1,,,
CHEMBL621314,4727,,7564,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life of compound was determined in rat blood,,,N,1,Intermediate,Blood,1,,178.0,
CHEMBL621315,17651,,7565,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life at 1 mg/kg was determined in rat,,,N,1,Intermediate,,1,,,
CHEMBL621316,17651,,7566,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life at 10 mg/kg was determined in rat,,,N,1,Intermediate,,1,,,
CHEMBL621317,401,,7567,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life in rats,,,N,1,Intermediate,,1,,,
CHEMBL621318,4942,,7568,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life in rats in hours,,,N,1,Intermediate,,1,,,
CHEMBL621319,17735,,7569,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,N,1,Intermediate,,1,,,
CHEMBL621377,6056,,7570,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,,N,1,Intermediate,,1,,,
CHEMBL621378,5213,,7571,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life was determined,,,N,1,Intermediate,,1,,,
CHEMBL876599,6616,,7572,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life after i.v. administration,,,N,1,Intermediate,,1,,,
CHEMBL621379,5937,,7573,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,,N,1,Intermediate,,1,,,
CHEMBL621380,5819,,7574,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life in rat plasma,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL621381,5819,,7575,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life in rat plasma; Not detected,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL618515,6803,,7576,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life in rats,,,N,1,Intermediate,,1,,,
CHEMBL618516,17804,,7577,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period of compound was determined after peroral administration,,,N,1,Intermediate,,1,,,
CHEMBL618517,17804,,7578,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,,N,1,Intermediate,,1,,,
CHEMBL618518,5948,,7579,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half life period in rat,,,N,1,Intermediate,,1,,,
CHEMBL618519,1916,,7580,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,,N,1,Intermediate,,1,,,
CHEMBL618698,1916,,7581,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,,N,1,Intermediate,,1,,,
CHEMBL618862,1916,,7582,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,,N,1,Intermediate,,1,,,
CHEMBL618863,4890,,7583,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,,N,1,Intermediate,,1,,,
CHEMBL618864,17764,,7584,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,,N,1,Intermediate,,1,,,
CHEMBL618865,4727,,7585,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half life time in rat the dose of 2 mg/kg,,,N,1,Intermediate,,1,,,
CHEMBL618866,17509,,7586,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half-life 24 hr after 10 mg/kg iv administration in rats,,,N,1,Intermediate,,1,,,
CHEMBL618867,17509,,7587,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half-life 24 hr after 2 mg/kg iv administration in rats,,,N,1,Intermediate,,1,,,
CHEMBL875828,6597,,7588,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life consistent with the observed metabolic steady state in rats,,,N,1,Intermediate,,1,,,
CHEMBL618868,17735,,7589,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,N,1,Intermediate,,1,,,
CHEMBL618869,6597,,7590,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life for oxidative metabolic stability was determined using male human,,,N,1,Intermediate,,1,,,
CHEMBL618870,17670,,7591,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,,N,1,Intermediate,,1,,,
CHEMBL618871,1696,,7592,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life in rat plasma,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL618872,1742,,7593,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life in rat plasma was determined,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL873816,17800,,7594,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Half-life in rats was determined,,,N,1,Intermediate,,1,,,
CHEMBL618873,12923,,7595,,,,22224,,A,,BAO_0000218,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,,U,0,Autocuration,,1,,,
CHEMBL621602,11954,,7596,,,,22224,,A,,BAO_0000019,Area under curve after oral dose of 0.1 mg//kg,,,U,0,Autocuration,,1,,,
CHEMBL621603,11954,,7597,,,,22224,,A,,BAO_0000218,Area under curve after oral dose of 0.3 mg/kg,,,U,0,Autocuration,,1,,,
CHEMBL621604,11954,,7598,,,,22224,,A,,BAO_0000218,Area under curve after oral dose of 1 mg/kg,,,U,0,Autocuration,,1,,,
CHEMBL621605,11954,,7599,,,,22224,,A,,BAO_0000218,Area under curve after oral dose of 10 mg/kg,,,U,0,Autocuration,,1,,,
CHEMBL621606,11954,,7600,,,,22224,,A,,BAO_0000218,Area under curve after oral dose of 23.4 mg/kg,,,U,0,Autocuration,,1,,,
CHEMBL621607,11954,,7601,,,,22224,,A,,BAO_0000218,Area under curve after oral dose of 3 mg/kg,,,U,0,Autocuration,,1,,,
CHEMBL621608,11954,,7602,,,,22224,,A,,BAO_0000218,Area under curve after oral dose of 3.87 mg/kg,,,U,0,Autocuration,,1,,,
CHEMBL621609,5237,,7603,,,,22224,,A,,BAO_0000019,Area under curve was determined,,,U,0,Autocuration,,1,,,
CHEMBL621610,4026,,7604,,,,22224,,A,,BAO_0000218,Area under curve at a dose of 10 mg/kg,,,U,0,Autocuration,,1,,,
CHEMBL621611,5237,,7605,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined; ND=No data,,,N,1,Intermediate,,1,,,
CHEMBL621612,14793,,7606,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,,N,1,Intermediate,,1,,,
CHEMBL622308,14793,,7607,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,,N,1,Intermediate,,1,,,
CHEMBL622309,14793,,7608,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,,N,1,Intermediate,,1,,,
CHEMBL622310,14793,,7609,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,,N,1,Intermediate,,1,,,
CHEMBL622311,14793,,7610,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,,N,1,Intermediate,,1,,,
CHEMBL622312,14793,,7611,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,,N,1,Intermediate,,1,,,
CHEMBL622931,14793,,7612,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,,N,1,Intermediate,,1,,,
CHEMBL622932,14793,,7613,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,,N,1,Intermediate,,1,,,
CHEMBL622736,14793,,7614,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622737,14793,,7615,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622738,14793,,7616,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622739,14793,,7617,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622740,14793,,7618,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622741,14793,,7619,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622742,14793,,7620,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622743,14793,,7621,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL622744,11637,,7622,,10090.0,,50594,,A,Mus musculus,BAO_0000218,AUC in mice,,,N,1,Intermediate,Plasma,1,,1969.0,
CHEMBL624134,11149,,7623,,,,22224,,A,,BAO_0000019,Area under curve was measured from the graph obtained from concentration Vs time,,,U,0,Autocuration,,1,,,
CHEMBL624135,10016,,7624,,,,22224,,A,,BAO_0000019,Area under curve value of compound per hour after oral administration,,,U,0,Autocuration,,1,,,
CHEMBL624136,17796,,7625,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined after oral administration in rats,,,N,1,Intermediate,,1,,,
CHEMBL624137,17796,,7626,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined after oral administration in rats; No data,,,N,1,Intermediate,,1,,,
CHEMBL624320,17796,,7627,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined after oral administration in rats;No data,,,N,1,Intermediate,,1,,,
CHEMBL624321,12923,,7628,,9615.0,,50588,,A,Canis lupus familiaris,BAO_0000218,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,,N,1,Intermediate,,1,,,
CHEMBL624322,15372,,7629,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,,N,1,Intermediate,,1,,,
CHEMBL624323,15372,,7630,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined for the compound after iv dose of 5.06 in rats,,,N,1,Intermediate,,1,,,
CHEMBL624324,15372,,7631,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,,N,1,Intermediate,,1,,,
CHEMBL624325,15372,,7632,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,,N,1,Intermediate,,1,,,
CHEMBL624326,15372,,7633,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,,N,1,Intermediate,,1,,,
CHEMBL624327,15372,,7634,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,,N,1,Intermediate,,1,,,
CHEMBL624328,15372,,7635,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,,N,1,Intermediate,,1,,,
CHEMBL627848,14169,,7636,,9615.0,,50588,,A,Canis lupus familiaris,BAO_0000218,Area under curve was determined in Dogs after peroral administration,,,N,1,Intermediate,,1,,,
CHEMBL627849,14169,,7637,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined in Rats after peroral administration,,,N,1,Intermediate,,1,,,
CHEMBL627850,14258,,7638,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined in carotid blood of rat when administered intradermally,,,N,1,Intermediate,,1,,,
CHEMBL627851,14258,,7639,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,Area under curve was determined in portal blood of rat when administered intradermally,,,N,1,Intermediate,,1,,,
CHEMBL627852,15011,,7640,,10090.0,,50594,,A,Mus musculus,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,N,1,Intermediate,,1,,,
CHEMBL627853,15011,,7641,,10090.0,,50594,,A,Mus musculus,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,N,1,Intermediate,,1,,,
CHEMBL627854,15011,,7642,,10090.0,,50594,,A,Mus musculus,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,,N,1,Intermediate,,1,,,
CHEMBL627855,15011,,7643,,10090.0,,50594,,A,Mus musculus,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,N,1,Intermediate,,1,,,
CHEMBL627856,15011,,7644,,10090.0,,50594,,A,Mus musculus,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,,N,1,Intermediate,,1,,,
CHEMBL875339,15011,,7645,,10090.0,,50594,,A,Mus musculus,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,N,1,Intermediate,,1,,,
CHEMBL627857,15011,,7646,,10090.0,,50594,,A,Mus musculus,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,,N,1,Intermediate,,1,,,
CHEMBL627858,11195,,7647,,10116.0,In vivo,50597,,A,Rattus norvegicus,BAO_0000218,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,,N,1,Intermediate,Spleen,1,,2106.0,
CHEMBL627859,10130,,7648,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,,N,1,Intermediate,Blood,1,,178.0,
CHEMBL627860,10130,,7649,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,,N,1,Intermediate,Brain,1,,955.0,
CHEMBL627019,10130,,7650,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,,N,1,Intermediate,Heart,1,,948.0,
CHEMBL627020,10130,,7651,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,,N,1,Intermediate,Liver,1,,2107.0,
CHEMBL627021,10130,,7652,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,,N,1,Intermediate,Lung,1,,2048.0,
CHEMBL627022,10130,,7653,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,,N,1,Intermediate,Muscle tissue,1,,2385.0,
CHEMBL627023,10130,,7654,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,,N,1,Intermediate,,1,,,
CHEMBL627024,10130,,7655,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,,N,1,Intermediate,Spleen,1,,2106.0,
CHEMBL627025,10130,,7656,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,,N,1,Intermediate,Thyroid gland,1,,2046.0,
CHEMBL627026,10130,,7657,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,,N,1,Intermediate,Kidney,1,,2113.0,
CHEMBL627027,10130,,7658,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,,N,1,Intermediate,Blood,1,,178.0,
CHEMBL627028,10130,,7659,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,,N,1,Intermediate,Brain,1,,955.0,
CHEMBL627029,10130,,7660,,10116.0,,50597,,A,Rattus norvegicus,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,,N,1,Intermediate,Heart,1,,948.0,
