assay_id,assay_organism,tid,assay_category,assay_tissue,src_id,assay_type,tissue_id,variant_id,cell_id,chembl_id,assay_tax_id,src_assay_id,doc_id,assay_strain,assay_cell_type,description,assay_test_type,assay_subcellular_fraction
18,,12054,,,1,B,,,,CHEMBL615132,,,16474,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,
19,,12054,,,1,B,,,,CHEMBL615133,,,10091,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,
20,,12054,,,1,B,,,,CHEMBL615134,,,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,
21,,12054,,,1,B,,,,CHEMBL615135,,,16474,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,
22,,12054,,,1,B,,,,CHEMBL615136,,,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,
23,,12054,,,1,B,,,,CHEMBL615137,,,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,
24,,12054,,,1,B,,,,CHEMBL615138,,,16474,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,
25,,22226,,,1,B,,,,CHEMBL836324,,,14352,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,
26,Oryctolagus cuniculus,12054,,,1,B,,,,CHEMBL615139,9986.0,,5646,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,
27,Oryctolagus cuniculus,12054,,,1,B,,,,CHEMBL615140,9986.0,,5646,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,
28,,12426,,,1,B,,,,CHEMBL615141,,,10997,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,
29,soya bean,12054,,,1,B,,,,CHEMBL615142,3847.0,,6309,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,
30,Glycine max,12054,,,1,B,,,,CHEMBL615143,3847.0,,167,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,
31,Glycine max,12054,,,1,B,,,,CHEMBL615144,3847.0,,167,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,
32,Glycine max,12054,,,1,B,,,,CHEMBL872867,3847.0,,11087,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,
33,Glycine max,12054,,,1,B,,,,CHEMBL615145,3847.0,,11087,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,
34,Glycine max,12054,,,1,B,,,,CHEMBL615146,3847.0,,13622,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,
35,Glycine max,12054,,,1,B,,,,CHEMBL615147,3847.0,,13622,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,
36,Rattus norvegicus,22226,,,1,A,,,,CHEMBL615148,10116.0,,11347,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,
37,Escherichia coli,22226,,,1,B,,,,CHEMBL615149,562.0,,5926,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,
38,,22226,,,1,B,,,,CHEMBL615150,,,4567,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,
39,,22222,,,1,B,,,,CHEMBL615151,,,3782,,,Dissociation constant towards 16S rRNA construct A,,
40,,22222,,,1,B,,,,CHEMBL615152,,,3782,,,Dissociation constant towards 16S rRNA construct B,,
41,Escherichia coli,100263,,,1,B,,,,CHEMBL615153,562.0,,4466,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,
42,Escherichia coli,100263,,,1,B,,,,CHEMBL615154,562.0,,6592,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,
43,,13053,,,1,B,,,,CHEMBL615155,,,898,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
44,,13053,,,1,B,,,,CHEMBL615156,,,898,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
45,Homo sapiens,20001,,,1,B,,,,CHEMBL615157,9606.0,,13163,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,
46,Homo sapiens,20001,,,1,B,,,,CHEMBL615158,9606.0,,13163,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,
47,Rattus norvegicus,12971,,,1,B,,,,CHEMBL615159,10116.0,,10691,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,
48,Rattus norvegicus,12971,,,1,B,,,,CHEMBL615172,10116.0,,10691,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,
49,Rattus norvegicus,12971,,,1,B,,,,CHEMBL615173,10116.0,,10691,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,
50,Rattus norvegicus,12971,,,1,B,,,,CHEMBL615174,10116.0,,10691,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,
51,,13053,,,1,B,,,,CHEMBL884518,,,898,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
52,,11512,,,1,B,,,,CHEMBL615175,,,912,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,
53,,11512,,,1,B,,,,CHEMBL615176,,,912,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,
54,,11512,,,1,B,,,,CHEMBL615177,,,912,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,
55,Rattus norvegicus,104740,,,1,B,,,,CHEMBL615178,10116.0,,15103,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,Membranes
56,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615179,9606.0,,5116,,1A9,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,
57,Rattus norvegicus,104835,,,1,F,,,,CHEMBL615180,10116.0,,14578,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,
58,Rattus norvegicus,104821,,,1,F,,,,CHEMBL615181,10116.0,,14578,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,
59,Rattus norvegicus,104848,,,1,F,,,,CHEMBL615182,10116.0,,14578,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,
60,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615183,9606.0,,4787,,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,
61,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615184,9606.0,,4787,,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,
62,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615185,9606.0,,3547,,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line,,
63,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615186,9606.0,,3547,,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,
64,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615187,9606.0,,6726,,1A9,Effective dose of compound against replication of 1A9 cell line was evaluated,,
65,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL885343,9606.0,,3455,,1A9,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,
66,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615188,9606.0,,5726,,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,
67,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615189,9606.0,,5726,,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,
68,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615190,9606.0,,5726,,1A9,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,
69,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615191,9606.0,,3395,,1A9,Inhibitory activity against Taxol resistant 1A9 cell lines,,
70,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615192,9606.0,,3415,,1A9,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,
71,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL827083,9606.0,,3415,,1A9,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,
72,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615193,9606.0,,17099,,1A9,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,
73,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615194,9606.0,,17099,,1A9,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,
74,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615195,9606.0,,17099,,1A9,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,
75,Homo sapiens,80002,,,1,F,,,506.0,CHEMBL615196,9606.0,,17099,,1A9,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,
76,Homo sapiens,81072,,,1,F,,,503.0,CHEMBL615197,9606.0,,17721,,Jurkat,Inhibitory concentration against Jurkat cells,,
77,,22226,,,1,F,,,,CHEMBL615198,,,1229,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,
78,Rattus norvegicus,100121,,,1,A,,,,CHEMBL615199,10116.0,,11347,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,
79,,11231,,,1,B,,,,CHEMBL615200,,,17117,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,
80,,11231,,,1,B,,,,CHEMBL615201,,,17117,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,
81,,11231,,,1,B,,,,CHEMBL615202,,,17117,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,
82,Candida albicans,11231,,,1,B,,,,CHEMBL615203,5476.0,,11375,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Microsomes
83,Candida albicans,11231,,,1,B,,,,CHEMBL615204,5476.0,,11375,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Microsomes
84,Saccharomyces cerevisiae,11231,,,1,B,,,,CHEMBL615205,4932.0,,11375,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Microsomes
85,Saccharomyces cerevisiae,11231,,,1,B,,,,CHEMBL615206,4932.0,,11375,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Microsomes
86,Sus scrofa,12083,,Liver,1,B,2107.0,,,CHEMBL615207,9823.0,,11375,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,Microsomes
87,Rattus norvegicus,11231,,,1,B,,,,CHEMBL827084,10116.0,,791,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,
88,Rattus norvegicus,11231,,,1,B,,,,CHEMBL615208,10116.0,,791,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,
89,Rattus norvegicus,11231,,,1,B,,,,CHEMBL615209,10116.0,,791,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,
90,Rattus norvegicus,12083,,Liver,1,B,2107.0,,,CHEMBL615210,10116.0,,11375,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,Microsomes
91,Rattus norvegicus,12083,,Liver,1,B,2107.0,,,CHEMBL615211,10116.0,,11375,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Microsomes
92,Rattus norvegicus,12083,,Liver,1,B,2107.0,,,CHEMBL615212,10116.0,,153,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Microsomes
93,,11377,,,1,B,,,,CHEMBL615213,,,8269,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,
94,,11377,,,1,B,,,,CHEMBL615273,,,8269,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,
95,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615274,9606.0,,17653,,HepG2,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,
96,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615275,9606.0,,14277,,HepG2,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,
97,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615276,9606.0,,1717,,HepG2,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,
98,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615277,9606.0,,14091,,HepG2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,
99,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615326,9606.0,,14091,,HepG2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,
100,Hepatitis B virus,50606,,,1,F,,,,CHEMBL883130,10407.0,,17653,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,
101,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL884519,9606.0,,13105,,HepG2,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,
102,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615327,9606.0,,1717,,HepG2,Concentration required to inhibit 50% of 2.2.15 cell line,,
103,Homo sapiens,81020,,,1,A,,,726.0,CHEMBL615328,9606.0,,13105,,HepG2,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,
104,Homo sapiens,50587,,,1,F,,,,CHEMBL615329,9606.0,,13600,,2.2.15,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,
105,Homo sapiens,50587,,,1,F,,,,CHEMBL615330,9606.0,,13467,,2.2.15,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,
106,Hepatitis B virus,50606,,,1,F,,,,CHEMBL615331,10407.0,,17477,,2.2.15,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,
107,Homo sapiens,50587,,,1,F,,,,CHEMBL615332,9606.0,,1593,,2.2.15,In vitro anti-HBV activity in 2.2.15 cells,,
108,Homo sapiens,50587,,,1,F,,,,CHEMBL615333,9606.0,,1593,,2.2.15,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,
109,Homo sapiens,50587,,,1,F,,,,CHEMBL615334,9606.0,,15089,,2.2.15,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,
110,Homo sapiens,50587,,,1,F,,,,CHEMBL615335,9606.0,,15089,,2.2.15,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,
111,Homo sapiens,50587,,,1,F,,,,CHEMBL615336,9606.0,,1593,,2.2.15,Cytotoxicity in 2.2.15 cells,,
112,Homo sapiens,50587,,,1,F,,,,CHEMBL615337,9606.0,,1593,,2.2.15,Cytotoxicity in 2.2.15 cells; Not determined,,
113,Homo sapiens,50587,,,1,F,,,,CHEMBL615338,9606.0,,13600,,2.2.15,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,
114,Homo sapiens,50587,,,1,F,,,,CHEMBL615339,9606.0,,13467,,2.2.15,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,
115,Homo sapiens,50587,,,1,F,,,,CHEMBL615340,9606.0,,13467,,2.2.15,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,
116,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615341,9606.0,,14764,,HepG2,Antiviral activity against HBV was determined in 2.215 cell line,,
117,Homo sapiens,22226,,,1,B,,,,CHEMBL615342,9606.0,,6531,,,Inhibition of 20-HETE synthesis in human renal microsomes,,Microsomes
118,,22226,,,1,B,,,,CHEMBL615343,,,17322,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,
119,Homo sapiens,80612,,,1,F,,,388.0,CHEMBL615344,9606.0,,17072,,2008,Inhibitory concentration against 2008 (ovarian) cells,,
120,Homo sapiens,80612,,,1,F,,,388.0,CHEMBL615345,9606.0,,16936,,2008,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,
121,Homo sapiens,80612,,,1,F,,,388.0,CHEMBL615346,9606.0,,16936,,2008,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,
122,Homo sapiens,80612,,,1,F,,,388.0,CHEMBL615347,9606.0,,17146,,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,
123,Homo sapiens,80612,,,1,F,,,388.0,CHEMBL615348,9606.0,,17146,,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,
124,Homo sapiens,80613,,,1,F,,,561.0,CHEMBL827085,9606.0,,10797,,2008/R,In vitro inhibition of 2008/R ovarian cancer cell line,,
125,Homo sapiens,80613,,,1,F,,,561.0,CHEMBL615349,9606.0,,10797,,2008/R,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,
126,Homo sapiens,80614,,,1,F,,,389.0,CHEMBL615350,9606.0,,10797,,2008/S,In vitro inhibition of 2008/S ovarian cancer cell line,,
127,Homo sapiens,80614,,,1,F,,,389.0,CHEMBL615351,9606.0,,10797,,2008/S,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,
128,Homo sapiens,100256,,,1,B,,,,CHEMBL615352,9606.0,,4823,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,
129,Homo sapiens,100256,,,1,B,,,,CHEMBL615353,9606.0,,12912,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,
130,,100256,,,1,B,,,,CHEMBL615354,,,2957,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,
131,,100256,,,1,B,,,,CHEMBL615355,,,2957,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,
132,,100256,,,1,B,,,,CHEMBL615356,,,3260,,,Inhibitory activity against 20S proteosome,,
133,Homo sapiens,22226,,,1,B,,,,CHEMBL615357,9606.0,,3451,,,Compound was tested for inhibitory activity against tryptase,,
134,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL615358,9606.0,,13885,,HepG2,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,
135,Homo sapiens,81020,,,1,F,,,726.0,CHEMBL827086,9606.0,,13885,,HepG2,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,
136,,22226,,,1,B,,,,CHEMBL615359,,,3676,,,Compound was tested for the inhibition of Alpha-glucosidase,,
137,,235,,,1,B,,,,CHEMBL615360,,,6043,,,Inhibitory concentration against human neutrophil elastase (HNE),,
138,Rattus norvegicus,22226,,Heart,1,F,948.0,,,CHEMBL615361,10116.0,,11140,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,
139,,19640,,,1,F,,,,CHEMBL615362,,,10543,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,
140,,19640,,,1,F,,,,CHEMBL615363,,,10543,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,
141,,19640,,,1,B,,,,CHEMBL615364,,,10543,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,
142,,19640,,,1,F,,,,CHEMBL615365,,,10543,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,
143,Mus musculus,80360,,,1,F,,,524.0,CHEMBL615366,10090.0,,11365,,P338,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,
144,Mus musculus,80360,,,1,F,,,524.0,CHEMBL615367,10090.0,,11365,,P338,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,
145,Homo sapiens,80384,,,1,F,,,554.0,CHEMBL615368,9606.0,,11803,,PBL,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,
146,Ovis aries,22226,,,1,F,,,,CHEMBL615369,9940.0,,11803,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,
147,Ovis aries,22226,,,1,F,,,,CHEMBL615370,9940.0,,11803,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,
148,,191,,,1,B,,,,CHEMBL615673,,,12278,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,
149,Homo sapiens,22226,,,1,F,,,,CHEMBL615674,9606.0,,8249,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,
150,Homo sapiens,22226,,,1,F,,,,CHEMBL615675,9606.0,,8249,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,
151,Homo sapiens,22226,,,1,F,,,635.0,CHEMBL615676,9606.0,,8249,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,
152,Homo sapiens,22226,,,1,F,,,635.0,CHEMBL615677,9606.0,,8249,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,
153,Homo sapiens,22226,,,1,F,,,635.0,CHEMBL615678,9606.0,,8249,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,
154,Homo sapiens,22226,,,1,F,,,635.0,CHEMBL615679,9606.0,,8249,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,
155,Homo sapiens,22226,,,1,F,,,,CHEMBL615680,9606.0,,8249,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,
156,Homo sapiens,22226,,,1,F,,,,CHEMBL615681,9606.0,,8249,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,
157,,104290,,,1,B,,,,CHEMBL857972,,,16992,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,
158,Streptococcus pyogenes,50264,,,1,F,,,,CHEMBL857899,1314.0,,10543,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,
159,Human herpesvirus 3,50527,,,1,F,,,,CHEMBL615371,10335.0,,17833,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,
160,vericilla zoster virus,50527,,,1,F,,,468.0,CHEMBL615372,10335.0,,17290,,HEL,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,
161,vericilla zoster virus,50527,,,1,F,,,,CHEMBL615373,10335.0,,17290,,,Antiviral activity against 07/1 strain of VZV; ND: No data,,
162,vericilla zoster virus,50527,,,1,F,,,,CHEMBL615374,10335.0,,17290,,,Antiviral activity against 07/1 strain of VZV; ND=No data,,
163,escherichia cloac,50145,,,1,F,,,,CHEMBL615375,561.0,,10932,,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,
164,,22226,,,1,B,,,,CHEMBL615376,,,9707,,,Ratio of Ki at A2 to Ki at A1 receptors,,
165,Candida albicans,11143,,,1,B,,,,CHEMBL615377,5476.0,,2346,,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,
166,Candida glabrata CBS 138,18077,,,1,B,,,,CHEMBL615378,284593.0,,2205,,,"Inhibition of 1,3-beta-glucan synthase",,
