assay_id,assay_subcellular_fraction,assay_tax_id,assay_cell_type,assay_strain,bao_format,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tissue,tid
74,,12445.0,1A9,,hAO000p219,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,,80002
75,,13045.0,1A9,,gAl0000219,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,,80002
76,,36186.0,J8rkat,,BAO0po0219,17721,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,,81072
77,,,,,BAi0900019,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,22226
78,,41835.0,,,BAO000p257,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,,100121
79,,,,,BAO000036u,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,11231
80,,,,,BAO000p35y,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,11231
81,,,,,BAO00o0e57,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,11231
82,Micrks0mes,24169.0,,,nAO0009251,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,,11231
83,Microsines,31204.0,,,BAO000o25w,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,,11231
84,Mucrosones,3896.0,,,BAO00o0261,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,,11231
85,jicrosom2s,44435.0,,,BAO009025w,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,,11231
86,Mic3osomds,35799.0,,,BAi000025q,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,Liver,12083
87,,4301.0,,,BwO00p0019,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,,11231
88,,13155.0,,,BAOp090019,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,,11231
89,,119106.0,,,BA900o0019,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,,11231
90,Mucr8somes,59947.0,,,BAO0009252,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,Liver,12083
91,Mjcrosomfs,91385.0,,,BAO000p351,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,Liver,12083
92,nicgosomes,49025.0,,,BAO000o252,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,Liver,12083
93,,,,,BAO0000368,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,11377
94,,,,,BqO00p0357,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,11377
95,,50252.0,HfpG2,,nAl0000219,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,,81020
96,,36309.0,bepG2,,BqOp000219,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,,81020
97,,555.0,HspG2,,BAO00p9219,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,,81020
98,,19347.0,H3pG2,,Bsi0000219,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,,81020
99,,34268.0,HelG2,,BzOp000219,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,,81020
100,,12945.0,,,BAl0090218,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,,50606
101,,12664.0,H3pG2,,BAk0009219,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,,81020
102,,29606.0,H4pG2,,BAO090021p,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,,81020
103,,10842.0,mepG2,,BAp9000219,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,,81020
104,,19680.0,2215,,BAk0000217,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,,50587
105,,31432.0,2215,,Bzi0000218,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,,50587
106,,54046.0,2215,,BAOo00o218,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,,50606
107,,89701.0,2215,,BAp0000219,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,,50587
108,,7756.0,2215,,BAO000031o,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,,50587
109,,2452.0,2215,,hA80000218,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,,50587
110,,62067.0,2215,,BAOp00p218,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,,50587
111,,21219.0,2215,,BA900p0218,1593,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,,50587
112,,3068.0,2215,,BAOoo00218,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,,50587
113,,9186.0,2215,,BAO009p218,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,,50587
114,,19477.0,2215,,BAi000o218,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,,50587
115,,8376.0,2215,,BAOo900218,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,,50587
116,,15659.0,yepG2,,BAO000o210,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,,81020
117,Micrpsomss,45751.0,,,BAOp00025w,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,,22226
118,,,,,BAOp00001i,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,22226
119,,24467.0,2008,,BAO9o00219,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,,80612
120,,39897.0,2008,,BAi00002w9,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,,80612
121,,2601.0,2008,,BxO00002w9,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,,80612
122,,5692.0,2008,,BAO000p2q9,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,,80612
123,,47694.0,2008,,BAO00p0210,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,,80612
124,,10521.0,2908R,,BAO09002q9,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,,80613
125,,55890.0,200iR,,nAk0000219,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,,80613
126,,37890.0,2009S,,gAO0009219,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,,80614
127,,41890.0,2008e,,BAO0o002w9,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,,80614
128,,18109.0,,,BAO00001e0,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,,100256
129,,22430.0,,,BAOp00o220,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,,100256
130,,,,,BAO0o90220,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,100256
131,,,,,BA000p0220,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,100256
132,,,,,nxO0000220,3260,Inhibitory activity against 20S proteosome,B,,,,,100256
133,,10970.0,,,BqO00000q9,3451,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,,22226
134,,21435.0,mepG2,,BAO0o00210,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,,81020
135,,12359.0,HelG2,,BAO000o229,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,,81020
136,,,,,BAO0o00018,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,22226
137,,,,,BAO0009457,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,235
138,,51347.0,,,BAO9000228,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,Heart,22226
139,,,,,Bqp0000019,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,19640
140,,,,,BAO00090w9,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,19640
141,,,,,BAip000357,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,19640
142,,,,,BAO000po19,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,19640
143,,12107.0,P338,,BsO9000219,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,,80360
144,,44361.0,P338,,BAOp0002q9,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,,80360
145,,19765.0,PBL,,BAO000o21p,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,,80384
146,,87275.0,,,BAOo0000w9,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,,22226
147,,32238.0,,,BAO900p019,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,,22226
148,,,,,vAO00o0357,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,191
149,,10724.0,,,fAO00o0019,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,,22226
150,,46676.0,,,BAO0099019,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,,22226
151,,4895.0,CCRFvEM,,BAO0p002w9,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,,22226
152,,18235.0,CC5FCEM,,BxO0000e19,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,,22226
153,,64848.0,CCRFCfM,,BAO00o021o,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,,22226
154,,31184.0,CCRFCfM,,BAO00002q0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,,22226
155,,11343.0,,,BAO0009029,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,,22226
156,,1672.0,,,BAO009001p,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,,22226
157,,,,,BAO0p0024i,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,104290
158,,1316.0,,,BAO9p00218,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,,50264
159,,37905.0,,,vAOp000218,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,,50527
160,,30550.0,HEL,,BwO0000219,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,vericilla zoster virus,,50527
161,,26332.0,,,BAO0op0218,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,vericilla zoster virus,,50527
162,,47548.0,,,fAO000o218,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,vericilla zoster virus,,50527
163,,35626.0,,,BA90000q18,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,,50145
164,,,,,BAO00p0010,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,22226
165,,2112.0,,,BAO0000w40,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,,11143
166,,12634.0,,,BAO9000r57,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,,18077
167,,28703.0,187tukorcepllind,,BAO0000ww9,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,,80609
168,,22704.0,,,BAOo0p0219,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,,12166
169,,11397.0,,,BAO0000r67,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,,100171
170,,68212.0,,,Bs80000357,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,,100171
171,,14846.0,,,BAO0090457,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,,100171
172,,37046.0,,,gxO0000357,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,,100171
173,,20508.0,,,BAOo0p0357,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,,100171
174,,20368.0,,,BA89000357,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,Glycine max,,100171
175,,113991.0,,,BAO00o0367,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,Glycine max,,100171
176,,45228.0,,,gAOp000357,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,Glycine max,,100171
177,,83624.0,,,vAO0000e57,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,Glycine max,,100171
178,,31926.0,,,gAO0900357,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,Glycine max,,100171
179,,5930.0,,,gAO9000357,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,Glycine max,,100171
180,,34498.0,,,BAO0009367,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,Glycine max,,100171
181,,38652.0,,,BAO000o3y7,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,Glycine max,,100171
182,,34316.0,,,BwO000035u,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,Glycine max,,100171
183,,1277.0,,,BAO0909357,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,Glycine max,,100171
184,,14949.0,,,BwO0p00019,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,Mus musculus,,22226
185,,6587.0,CeH10T12,,BAO9009219,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,,Mus musculus,,80049
