Fiscal year,Biodiversity (marker),Bilateral aid (international marker),Regional program (marker),PBA type,Section name,FSTC percent,Climate change mitigation (marker),Organisation type,Branch name,Organisation sub-class,CountryRegion ID,Status,Amount spent,Continent ID,Urban issues (marker),Children issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker),Knowledge for development (marker),Gender equality (marker),Organisation ID,Organisation name,Organisation class,Continent name,Project Browser country ID,CountryRegion name,CountryRegion percent,Sector ID,Sector name,Sector percent
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X3,Terminating,900000.0,3,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Asia,X3,Asia MC,0.3,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X4,Terminating,150000.0,5,0,0,0,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Europe,X4,Europe MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,NGO,LK,Closed,500000.0,3,0,0,0,0,0,0,0,0,1015332,Mines Advisory Group,Civil Society,Asia,LK,Sri Lanka,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,NGO,LK,Closed,500000.0,3,0,0,0,0,0,0,0,0,1015331,The Halo Trust,Civil Society,Asia,LK,Sri Lanka,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,NGO,X1,Closed,150000.0,2,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Civil Society,Africa,X1,Africa MC,0.5,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,NGO,X2,Closed,30000.0,1,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Civil Society,America,X2,Americas MC,0.1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,NGO,X3,Closed,90000.0,3,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Civil Society,Asia,X3,Asia MC,0.3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,NGO,X4,Closed,30000.0,5,0,0,0,0,0,0,1,0,1002035,International Crisis Group,Civil Society,Europe,X4,Europe MC,0.1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,YE,Closed,500000.0,3,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,Asia,YE,Yemen,1.0,72040,Emergency food aid,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,CO,Closed,1500000.0,1,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,America,CO,Colombia,1.0,72040,Emergency food aid,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,TD,Closed,6500000.0,2,0,0,0,0,0,0,0,1,1001721,WFP - World Food Programme,Multilateral,Africa,TD,Chad,1.0,72040,Emergency food aid,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,SD,Closed,3950000.0,2,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,Africa,SD,Sudan,1.0,72040,Emergency food aid,1.0
2009/2010,0,0,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X1,Closed,6300000.0,2,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,Africa,X1,Africa MC,0.45,72010,Material relief assistance and services,1.0
2009/2010,0,0,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X2,Closed,700000.0,1,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,America,X2,Americas MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,0,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X3,Closed,6300000.0,3,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,Asia,X3,Asia MC,0.45,72010,Material relief assistance and services,1.0
2009/2010,0,0,0,Not PBA,MHO Huma Organization & Food Assistance,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X4,Closed,700000.0,5,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,Europe,X4,Europe MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Canadian Non-Profit Making,MFM Global Issues and Development,INTERNATIONAL NGO,X3,Closed,500000.0,3,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,Asia,X3,Asia MC,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X1,Closed,1350000.0,2,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,Africa,X1,Africa MC,0.5,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X2,Closed,405000.0,1,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,America,X2,Americas MC,0.15,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X3,Closed,810000.0,3,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,Asia,X3,Asia MC,0.3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,MHI International Humanitarian Assis ops,0.0,0,Foreign Non-Profit Making,MFM Global Issues and Development,UNITED NATIONS,X4,Closed,135000.0,5,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,Europe,X4,Europe MC,0.05,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,39000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31110,Agricultural policy and administrative management,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,39000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31120,Agricultural development,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,19500.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31150,Agricultural inputs,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,19500.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31161,Food crop production,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,19500.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31166,Agricultural extension,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,19500.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31182,Agricultural research,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,19500.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31191,Agricultural services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,AF,Operational,19500.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,Afghanistan,0.0065,31193,Agricultural financial services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,630000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31110,Agricultural policy and administrative management,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,630000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31120,Agricultural development,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,315000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31150,Agricultural inputs,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,315000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31161,Food crop production,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,315000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31166,Agricultural extension,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,315000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31182,Agricultural research,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,315000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31191,Agricultural services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BD,Operational,315000.0,3,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,Bangladesh,0.105,31193,Agricultural financial services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,48600.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31110,Agricultural policy and administrative management,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,48600.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31120,Agricultural development,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,24300.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31150,Agricultural inputs,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,24300.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31161,Food crop production,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,24300.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31166,Agricultural extension,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,24300.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31182,Agricultural research,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,24300.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31191,Agricultural services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BI,Operational,24300.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,Burundi,0.0081,31193,Agricultural financial services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,43800.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31110,Agricultural policy and administrative management,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,43800.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31120,Agricultural development,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,21900.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31150,Agricultural inputs,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,21900.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31161,Food crop production,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,21900.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31166,Agricultural extension,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,21900.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31182,Agricultural research,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,21900.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31191,Agricultural services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,BJ,Operational,21900.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,Benin,0.0073,31193,Agricultural financial services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,34200.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31110,Agricultural policy and administrative management,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,34200.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31120,Agricultural development,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,17100.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31150,Agricultural inputs,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,17100.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31161,Food crop production,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,17100.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31166,Agricultural extension,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,17100.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31182,Agricultural research,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,17100.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31191,Agricultural services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,CF,Operational,17100.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,Central Afr.Rep,0.0057,31193,Agricultural financial services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,24000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31110,Agricultural policy and administrative management,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,24000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31120,Agricultural development,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,12000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31150,Agricultural inputs,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,12000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31161,Food crop production,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,12000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31166,Agricultural extension,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,12000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31182,Agricultural research,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,12000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31191,Agricultural services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,DJ,Operational,12000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,Djibouti,0.004,31193,Agricultural financial services,0.1
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,ET,Operational,1332000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,ET,Ethiopia,0.222,31110,Agricultural policy and administrative management,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,ET,Operational,1332000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,ET,Ethiopia,0.222,31120,Agricultural development,0.2
2009/2010,0,1,0,Not PBA,*Bretton Woods Inst Fin Prog,0.1,0,Foreign Non-Profit Making,MFM Global Issues and Development,IFI,ET,Operational,666000.0,2,0,0,0,0,0,0,0,1,1001306,World Bank,Multilateral,Africa,ET,Ethiopia,0.222,31150,Agricultural inputs,0.1
