ss_d,chmbl_d,crtd_b,ss_tss,tss_d,ss_sbclllr_frctn,dc_d,cll_d,b_frmt,vrnt_d,ss_cll_tp,ss_strn,td,rltnshp_tp,cnfdnc_scr,src_d,src_ss_d
35,CHEMBL615147,Autocuration,,,,13622,,BAO_0000357,,,,12054,H,8,1,
36,CHEMBL615148,Autocuration,,,,11347,,BAO_0000019,,,,22226,U,0,1,
37,CHEMBL615149,Autocuration,,,,5926,,BAO_0000019,,,,22226,U,0,1,
38,CHEMBL615150,Autocuration,,,,4567,,BAO_0000019,,,,22226,U,0,1,
39,CHEMBL615151,Intermediate,,,,3782,,BAO_0000225,,,,22222,M,3,1,
40,CHEMBL615152,Intermediate,,,,3782,,BAO_0000225,,,,22222,M,3,1,
41,CHEMBL615153,Expert,,,,4466,,BAO_0000225,,,,100263,M,3,1,
42,CHEMBL615154,Expert,,,,6592,,BAO_0000225,,,,100263,M,3,1,
43,CHEMBL615155,Autocuration,,,,898,,BAO_0000019,,,,13053,H,8,1,
44,CHEMBL615156,Autocuration,,,,898,,BAO_0000019,,,,13053,H,8,1,
45,CHEMBL615157,Autocuration,,,,13163,,BAO_0000019,,,,20001,H,8,1,
46,CHEMBL615158,Autocuration,,,,13163,,BAO_0000019,,,,20001,H,8,1,
47,CHEMBL615159,Expert,,,,10691,,BAO_0000019,,,,12971,D,9,1,
48,CHEMBL615172,Expert,,,,10691,,BAO_0000019,,,,12971,D,9,1,
49,CHEMBL615173,Expert,,,,10691,,BAO_0000019,,,,12971,D,9,1,
50,CHEMBL615174,Expert,,,,10691,,BAO_0000019,,,,12971,D,9,1,
51,CHEMBL884518,Autocuration,,,,898,,BAO_0000019,,,,13053,H,8,1,
52,CHEMBL615175,Autocuration,,,,912,,BAO_0000357,,,,11512,H,8,1,
53,CHEMBL615176,Autocuration,,,,912,,BAO_0000357,,,,11512,H,8,1,
54,CHEMBL615177,Autocuration,,,,912,,BAO_0000357,,,,11512,H,8,1,
55,CHEMBL615178,Autocuration,,,Membranes,15103,,BAO_0000249,,,,104740,D,5,1,
56,CHEMBL615179,Intermediate,,,,5116,506.0,BAO_0000219,,1A9,,80002,N,1,1,
57,CHEMBL615180,Autocuration,,,,14578,,BAO_0000219,,Oocytes,,104835,D,7,1,
58,CHEMBL615181,Autocuration,,,,14578,,BAO_0000219,,Oocytes,,104821,D,7,1,
59,CHEMBL615182,Autocuration,,,,14578,,BAO_0000219,,Oocytes,,104848,D,7,1,
60,CHEMBL615183,Expert,,,,4787,506.0,BAO_0000219,,1A9,,80002,N,1,1,
61,CHEMBL615184,Intermediate,,,,4787,506.0,BAO_0000219,,1A9,,80002,N,1,1,
62,CHEMBL615185,Intermediate,,,,3547,506.0,BAO_0000219,,1A9,,80002,N,1,1,
63,CHEMBL615186,Intermediate,,,,3547,506.0,BAO_0000219,,1A9,,80002,N,1,1,
64,CHEMBL615187,Intermediate,,,,6726,506.0,BAO_0000219,,1A9,,80002,N,1,1,
65,CHEMBL885343,Expert,,,,3455,506.0,BAO_0000219,,1A9,,80002,N,1,1,
66,CHEMBL615188,Intermediate,,,,5726,506.0,BAO_0000219,,1A9,,80002,N,1,1,
67,CHEMBL615189,Intermediate,,,,5726,506.0,BAO_0000219,,1A9,,80002,N,1,1,
68,CHEMBL615190,Intermediate,,,,5726,506.0,BAO_0000219,,1A9,,80002,N,1,1,
69,CHEMBL615191,Intermediate,,,,3395,506.0,BAO_0000219,,1A9,,80002,N,1,1,
70,CHEMBL615192,Expert,,,,3415,506.0,BAO_0000219,,1A9,,80002,N,1,1,
71,CHEMBL827083,Expert,,,,3415,506.0,BAO_0000219,,1A9,,80002,N,1,1,
72,CHEMBL615193,Expert,,,,17099,506.0,BAO_0000219,,1A9,,80002,N,1,1,
73,CHEMBL615194,Intermediate,,,,17099,506.0,BAO_0000219,,1A9,,80002,N,1,1,
74,CHEMBL615195,Intermediate,,,,17099,506.0,BAO_0000219,,1A9,,80002,N,1,1,
75,CHEMBL615196,Intermediate,,,,17099,506.0,BAO_0000219,,1A9,,80002,N,1,1,
76,CHEMBL615197,Intermediate,,,,17721,503.0,BAO_0000219,,Jurkat,,81072,N,1,1,
77,CHEMBL615198,Intermediate,,,,1229,,BAO_0000019,,,,22226,U,0,1,
78,CHEMBL615199,Expert,,,,11347,,BAO_0000357,,,,100121,D,9,1,
79,CHEMBL615200,Expert,,,,17117,,BAO_0000357,,,,11231,H,8,1,
80,CHEMBL615201,Expert,,,,17117,,BAO_0000357,,,,11231,H,8,1,
81,CHEMBL615202,Expert,,,,17117,,BAO_0000357,,,,11231,H,8,1,
82,CHEMBL615203,Autocuration,,,Microsomes,11375,,BAO_0000251,,,,11231,H,8,1,
83,CHEMBL615204,Autocuration,,,Microsomes,11375,,BAO_0000251,,,,11231,H,8,1,
84,CHEMBL615205,Autocuration,,,Microsomes,11375,,BAO_0000251,,,,11231,H,8,1,
85,CHEMBL615206,Autocuration,,,Microsomes,11375,,BAO_0000251,,,,11231,H,8,1,
86,CHEMBL615207,Autocuration,Liver,2107.0,Microsomes,11375,,BAO_0000251,,,,12083,H,8,1,
87,CHEMBL827084,Autocuration,,,,791,,BAO_0000019,,,,11231,H,8,1,
88,CHEMBL615208,Autocuration,,,,791,,BAO_0000019,,,,11231,H,8,1,
89,CHEMBL615209,Autocuration,,,,791,,BAO_0000019,,,,11231,H,8,1,
90,CHEMBL615210,Autocuration,Liver,2107.0,Microsomes,11375,,BAO_0000251,,,,12083,D,9,1,
91,CHEMBL615211,Autocuration,Liver,2107.0,Microsomes,11375,,BAO_0000251,,,,12083,D,9,1,
92,CHEMBL615212,Autocuration,Liver,2107.0,Microsomes,153,,BAO_0000251,,,,12083,D,9,1,
93,CHEMBL615213,Expert,,,,8269,,BAO_0000357,,,,11377,H,8,1,
94,CHEMBL615273,Expert,,,,8269,,BAO_0000357,,,,11377,H,8,1,
95,CHEMBL615274,Expert,,,,17653,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
96,CHEMBL615275,Intermediate,,,,14277,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
97,CHEMBL615276,Intermediate,,,,1717,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
98,CHEMBL615277,Intermediate,,,,14091,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
99,CHEMBL615326,Intermediate,,,,14091,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
100,CHEMBL883130,Expert,,,,17653,,BAO_0000218,,,,50606,N,1,1,
101,CHEMBL884519,Intermediate,,,,13105,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
102,CHEMBL615327,Intermediate,,,,1717,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
103,CHEMBL615328,Intermediate,,,,13105,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
104,CHEMBL615329,Intermediate,,,,13600,,BAO_0000218,,2.2.15,,50587,N,1,1,
105,CHEMBL615330,Intermediate,,,,13467,,BAO_0000218,,2.2.15,,50587,N,1,1,
106,CHEMBL615331,Expert,,,,17477,,BAO_0000218,,2.2.15,,50606,N,1,1,
107,CHEMBL615332,Intermediate,,,,1593,,BAO_0000218,,2.2.15,,50587,N,1,1,
108,CHEMBL615333,Intermediate,,,,1593,,BAO_0000218,,2.2.15,,50587,N,1,1,
109,CHEMBL615334,Intermediate,,,,15089,,BAO_0000218,,2.2.15,,50587,N,1,1,
110,CHEMBL615335,Intermediate,,,,15089,,BAO_0000218,,2.2.15,,50587,N,1,1,
111,CHEMBL615336,Intermediate,,,,1593,,BAO_0000218,,2.2.15,,50587,N,1,1,
112,CHEMBL615337,Intermediate,,,,1593,,BAO_0000218,,2.2.15,,50587,N,1,1,
113,CHEMBL615338,Intermediate,,,,13600,,BAO_0000218,,2.2.15,,50587,N,1,1,
114,CHEMBL615339,Intermediate,,,,13467,,BAO_0000218,,2.2.15,,50587,N,1,1,
115,CHEMBL615340,Intermediate,,,,13467,,BAO_0000218,,2.2.15,,50587,N,1,1,
116,CHEMBL615341,Intermediate,,,,14764,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
117,CHEMBL615342,Autocuration,,,Microsomes,6531,,BAO_0000251,,,,22226,U,0,1,
118,CHEMBL615343,Autocuration,,,,17322,,BAO_0000019,,,,22226,U,0,1,
119,CHEMBL615344,Intermediate,,,,17072,388.0,BAO_0000219,,2008,,80612,N,1,1,
120,CHEMBL615345,Intermediate,,,,16936,388.0,BAO_0000219,,2008,,80612,N,1,1,
121,CHEMBL615346,Intermediate,,,,16936,388.0,BAO_0000219,,2008,,80612,N,1,1,
122,CHEMBL615347,Intermediate,,,,17146,388.0,BAO_0000219,,2008,,80612,N,1,1,
123,CHEMBL615348,Intermediate,,,,17146,388.0,BAO_0000219,,2008,,80612,N,1,1,
124,CHEMBL827085,Intermediate,,,,10797,561.0,BAO_0000219,,2008/R,,80613,N,1,1,
125,CHEMBL615349,Intermediate,,,,10797,561.0,BAO_0000219,,2008/R,,80613,N,1,1,
126,CHEMBL615350,Intermediate,,,,10797,389.0,BAO_0000219,,2008/S,,80614,N,1,1,
127,CHEMBL615351,Intermediate,,,,10797,389.0,BAO_0000219,,2008/S,,80614,N,1,1,
128,CHEMBL615352,Expert,,,,4823,,BAO_0000220,,,,100256,S,2,1,
129,CHEMBL615353,Intermediate,,,,12912,,BAO_0000220,,,,100256,S,2,1,
130,CHEMBL615354,Expert,,,,2957,,BAO_0000220,,,,100256,S,2,1,
131,CHEMBL615355,Expert,,,,2957,,BAO_0000220,,,,100256,S,2,1,
132,CHEMBL615356,Intermediate,,,,3260,,BAO_0000220,,,,100256,S,2,1,
133,CHEMBL615357,Autocuration,,,,3451,,BAO_0000019,,,,22226,U,0,1,
134,CHEMBL615358,Intermediate,,,,13885,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
135,CHEMBL827086,Intermediate,,,,13885,726.0,BAO_0000219,,HepG2,,81020,N,1,1,
136,CHEMBL615359,Autocuration,,,,3676,,BAO_0000019,,,,22226,U,0,1,
137,CHEMBL615360,Autocuration,,,,6043,,BAO_0000357,,,,235,H,8,1,
138,CHEMBL615361,Autocuration,Heart,948.0,,11140,,BAO_0000218,,,,22226,U,0,1,
139,CHEMBL615362,Autocuration,,,,10543,,BAO_0000019,,,,19640,H,8,1,
140,CHEMBL615363,Expert,,,,10543,,BAO_0000019,,,,19640,H,8,1,
141,CHEMBL615364,Autocuration,,,,10543,,BAO_0000357,,,,19640,H,8,1,
142,CHEMBL615365,Expert,,,,10543,,BAO_0000019,,,,19640,H,8,1,
143,CHEMBL615366,Intermediate,,,,11365,524.0,BAO_0000219,,P338,,80360,N,1,1,
144,CHEMBL615367,Intermediate,,,,11365,524.0,BAO_0000219,,P338,,80360,N,1,1,
145,CHEMBL615368,Intermediate,,,,11803,554.0,BAO_0000219,,PBL,,80384,N,1,1,
146,CHEMBL615369,Autocuration,,,,11803,,BAO_0000019,,,,22226,U,0,1,
147,CHEMBL615370,Autocuration,,,,11803,,BAO_0000019,,,,22226,U,0,1,
148,CHEMBL615673,Autocuration,,,,12278,,BAO_0000357,,,,191,H,8,1,
149,CHEMBL615674,Autocuration,,,,8249,,BAO_0000019,,,,22226,U,0,1,
150,CHEMBL615675,Autocuration,,,,8249,,BAO_0000019,,,,22226,U,0,1,
151,CHEMBL615676,Autocuration,,,,8249,635.0,BAO_0000219,,CCRF-CEM,,22226,U,0,1,
152,CHEMBL615677,Autocuration,,,,8249,635.0,BAO_0000219,,CCRF-CEM,,22226,U,0,1,
153,CHEMBL615678,Autocuration,,,,8249,635.0,BAO_0000219,,CCRF-CEM,,22226,U,0,1,
154,CHEMBL615679,Autocuration,,,,8249,635.0,BAO_0000219,,CCRF-CEM,,22226,U,0,1,
155,CHEMBL615680,Autocuration,,,,8249,,BAO_0000019,,,,22226,U,0,1,
156,CHEMBL615681,Autocuration,,,,8249,,BAO_0000019,,,,22226,U,0,1,
157,CHEMBL857972,Autocuration,,,,16992,,BAO_0000249,,,,104290,H,6,1,
158,CHEMBL857899,Intermediate,,,,10543,,BAO_0000218,,,,50264,N,1,1,
159,CHEMBL615371,Intermediate,,,,17833,,BAO_0000218,,,,50527,N,1,1,
160,CHEMBL615372,Expert,,,,17290,468.0,BAO_0000218,,HEL,,50527,N,1,1,
161,CHEMBL615373,Intermediate,,,,17290,,BAO_0000218,,,,50527,N,1,1,
162,CHEMBL615374,Intermediate,,,,17290,,BAO_0000218,,,,50527,N,1,1,
163,CHEMBL615375,Intermediate,,,,10932,,BAO_0000218,,,,50145,N,1,1,
164,CHEMBL615376,Autocuration,,,,9707,,BAO_0000019,,,,22226,U,0,1,
165,CHEMBL615377,Expert,,,,2346,,BAO_0000249,,,,11143,H,8,1,
166,CHEMBL615378,Expert,,,,2205,,BAO_0000357,,,,18077,H,8,1,
167,CHEMBL615379,Intermediate,,,,11900,832.0,BAO_0000219,,1-87 tumor cell line,,80609,N,1,1,
168,CHEMBL615380,Expert,,,,14864,,BAO_0000219,,,,12166,D,9,1,
169,CHEMBL615381,Autocuration,,,,16474,,BAO_0000357,,,,100171,D,9,1,
170,CHEMBL615382,Autocuration,,,,16474,,BAO_0000357,,,,100171,D,9,1,
171,CHEMBL615383,Autocuration,,,,16474,,BAO_0000357,,,,100171,D,9,1,
172,CHEMBL615384,Autocuration,,,,16474,,BAO_0000357,,,,100171,D,9,1,
173,CHEMBL615385,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
174,CHEMBL615386,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
175,CHEMBL615387,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
176,CHEMBL615388,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
177,CHEMBL615214,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
178,CHEMBL827087,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
179,CHEMBL615215,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
180,CHEMBL615216,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
181,CHEMBL615217,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
182,CHEMBL615218,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
183,CHEMBL615219,Autocuration,,,,3094,,BAO_0000357,,,,100171,D,9,1,
184,CHEMBL615220,Autocuration,,,,10413,,BAO_0000019,,,,22226,U,0,1,
185,CHEMBL615221,Intermediate,,,,16929,294.0,BAO_0000219,,C3H 10T1/2,,80049,N,1,1,
186,CHEMBL615222,Intermediate,,,,1229,,BAO_0000019,,,,22226,U,0,1,
187,CHEMBL615223,Autocuration,,,,16587,,BAO_0000357,,,,11489,H,8,1,
188,CHEMBL615224,Autocuration,,,,16587,,BAO_0000357,,,,11862,H,8,1,
189,CHEMBL615225,Autocuration,,,,16587,,BAO_0000357,,,,11862,H,8,1,
190,CHEMBL615226,Autocuration,,,,16587,,BAO_0000357,,,,11489,H,8,1,
191,CHEMBL615227,Autocuration,,,,16587,,BAO_0000357,,,,11862,H,8,1,
192,CHEMBL615228,Expert,,,,8058,,BAO_0000019,,,,12347,D,9,1,
193,CHEMBL615229,Expert,,,,9065,,BAO_0000357,,,,100120,D,9,1,
194,CHEMBL615230,Expert,Adrenal gland,2369.0,,8865,,BAO_0000357,,,,100120,D,9,1,
195,CHEMBL615231,Expert,,,,9066,,BAO_0000357,,,,100120,D,9,1,
196,CHEMBL884520,Expert,,,,8394,,BAO_0000357,,,,100120,D,9,1,
197,CHEMBL615232,Expert,,,,8394,,BAO_0000357,,,,100120,D,9,1,
198,CHEMBL615233,Autocuration,,,,6431,,BAO_0000019,,,,10328,H,8,1,
199,CHEMBL827088,Autocuration,,,,6431,,BAO_0000357,,,,11490,H,8,1,
200,CHEMBL615234,Autocuration,,,,6431,,BAO_0000357,,,,11490,H,8,1,
201,CHEMBL615235,Autocuration,,,,9295,,BAO_0000019,,,,11134,H,8,1,
202,CHEMBL615236,Autocuration,,,,10193,,BAO_0000019,,,,12052,H,8,1,
203,CHEMBL615237,Autocuration,,,,13622,,BAO_0000019,,,,11134,H,8,1,
204,CHEMBL615238,Autocuration,,,,12079,,BAO_0000019,,,,11134,H,8,1,
205,CHEMBL615239,Autocuration,,,,13622,,BAO_0000019,,,,11134,H,8,1,
206,CHEMBL615240,Autocuration,,,,12079,,BAO_0000019,,,,11134,D,9,1,
207,CHEMBL615241,Expert,,,,13500,,BAO_0000019,,,,11835,H,8,1,
208,CHEMBL615242,Expert,,,,13723,,BAO_0000357,,,,11601,H,8,1,
209,CHEMBL615243,Autocuration,,,,16474,,BAO_0000019,,,,11134,H,8,1,
210,CHEMBL615244,Autocuration,,,,1630,,BAO_0000019,,,,11134,H,8,1,
211,CHEMBL615245,Autocuration,,,,167,,BAO_0000019,,,,11134,H,8,1,
212,CHEMBL615246,Autocuration,,,,16474,,BAO_0000019,,,,11134,H,8,1,
213,CHEMBL615247,Autocuration,,,,167,,BAO_0000019,,,,11134,H,8,1,
214,CHEMBL615248,Autocuration,,,,16474,,BAO_0000019,,,,11134,H,8,1,
215,CHEMBL615249,Autocuration,,,,10091,,BAO_0000357,,,,11601,H,8,1,
216,CHEMBL615250,Autocuration,,,,11966,,BAO_0000357,,,,11601,H,8,1,
217,CHEMBL615251,Autocuration,,,,951,,BAO_0000019,,,,12052,H,8,1,
218,CHEMBL615252,Autocuration,,,,10997,,BAO_0000019,,,,12052,H,8,1,
219,CHEMBL828340,Expert,,,,10193,,BAO_0000019,,,,12052,H,8,1,
220,CHEMBL615253,Autocuration,,,,10193,,BAO_0000019,,,,12052,H,8,1,
221,CHEMBL615254,Autocuration,,,,10193,,BAO_0000019,,,,12052,H,8,1,
222,CHEMBL615255,Autocuration,,,,10193,,BAO_0000019,,,,12052,H,8,1,
223,CHEMBL615256,Autocuration,,,,10193,,BAO_0000019,,,,12052,H,8,1,
224,CHEMBL615257,Autocuration,,,,10193,,BAO_0000019,,,,12052,H,8,1,
225,CHEMBL615258,Autocuration,,,,11087,,BAO_0000019,,,,12052,H,8,1,
226,CHEMBL615259,Intermediate,,,,15569,621.0,BAO_0000219,,41M,,80007,N,1,1,
227,CHEMBL615260,Expert,,,,12989,621.0,BAO_0000219,,41M,,80007,N,1,1,
228,CHEMBL615261,Intermediate,,,,16745,621.0,BAO_0000219,,41M,,80007,N,1,1,
229,CHEMBL615262,Intermediate,,,,15569,621.0,BAO_0000219,,41M,,80007,N,1,1,
230,CHEMBL615263,Expert,,,,12989,621.0,BAO_0000219,,41M,,80007,N,1,1,
231,CHEMBL838393,Expert,,,,12989,621.0,BAO_0000219,,41M,,80007,N,1,1,
232,CHEMBL615264,Intermediate,,,,16745,621.0,BAO_0000219,,41M,,80007,N,1,1,
233,CHEMBL615265,Expert,,,,6210,,BAO_0000357,,,,84,D,9,1,
234,CHEMBL615266,Expert,,,,6210,,BAO_0000357,,,,68,D,9,1,
235,CHEMBL615267,Expert,,,,6226,,BAO_0000357,,,,68,H,8,1,
236,CHEMBL615268,Expert,,,,17855,,BAO_0000357,,,,10201,H,8,1,
237,CHEMBL615269,Expert,,,,17855,,BAO_0000357,,,,10201,H,8,1,
238,CHEMBL615270,Expert,,,,17855,,BAO_0000357,,,,10201,H,8,1,
239,CHEMBL615271,Autocuration,,,,10413,,BAO_0000357,,,,12220,H,8,1,
240,CHEMBL615272,Autocuration,,,,10413,,BAO_0000357,,,,11303,H,8,1,
241,CHEMBL615103,Autocuration,,,,10413,,BAO_0000357,,,,11303,H,8,1,
242,CHEMBL615104,Autocuration,,,,10413,,BAO_0000357,,,,11303,H,8,1,
243,CHEMBL615105,Autocuration,,,,10413,,BAO_0000357,,,,12220,H,8,1,
244,CHEMBL872866,Autocuration,,,,10413,,BAO_0000357,,,,12220,H,8,1,
245,CHEMBL615106,Autocuration,,,,7587,,BAO_0000357,,,,11303,H,8,1,
246,CHEMBL615107,Autocuration,,,,7587,,BAO_0000019,,,,11303,H,8,1,
247,CHEMBL615108,Autocuration,,,,7587,,BAO_0000357,,,,11303,H,8,1,
248,CHEMBL615109,Autocuration,,,,7587,,BAO_0000357,,,,11303,H,8,1,
249,CHEMBL615110,Autocuration,,,,7587,,BAO_0000357,,,,11303,H,8,1,
250,CHEMBL840105,Autocuration,,,,7587,,BAO_0000019,,,,11303,H,8,1,
251,CHEMBL615111,Autocuration,,,,7587,,BAO_0000019,,,,11303,H,8,1,
252,CHEMBL615112,Autocuration,,,,7587,,BAO_0000019,,,,11303,H,8,1,
253,CHEMBL615113,Autocuration,,,,7587,,BAO_0000019,,,,11303,H,8,1,
254,CHEMBL615114,Autocuration,,,,7587,,BAO_0000019,,,,11303,H,8,1,
255,CHEMBL615115,Autocuration,,,,7587,,BAO_0000357,,,,11303,H,8,1,
256,CHEMBL615116,Autocuration,,,,7587,,BAO_0000019,,,,11303,H,8,1,
257,CHEMBL615698,Autocuration,,,,7323,,BAO_0000357,,,,11303,H,8,1,
258,CHEMBL615699,Autocuration,,,,7587,,BAO_0000019,,,,22226,U,0,1,
259,CHEMBL615700,Autocuration,,,,7587,,BAO_0000019,,,,22226,U,0,1,
260,CHEMBL615701,Expert,,,,13750,,BAO_0000357,,,,100249,H,8,1,
261,CHEMBL615702,Autocuration,,,,7662,,BAO_0000019,,,,22226,U,0,1,
262,CHEMBL615703,Autocuration,,,,7662,,BAO_0000019,,,,22226,U,0,1,
263,CHEMBL615704,Autocuration,,,,7662,,BAO_0000019,,,,22226,U,0,1,
264,CHEMBL615705,Autocuration,,,,12211,,BAO_0000019,,,,104698,H,6,1,
265,CHEMBL615706,Autocuration,,,,12211,,BAO_0000019,,,,104698,H,6,1,
266,CHEMBL615707,Intermediate,Ileum,2116.0,,12211,,BAO_0000221,,,,20033,D,9,1,
267,CHEMBL615708,Expert,,,,12211,,BAO_0000019,,,,10623,H,8,1,
268,CHEMBL615709,Autocuration,,,,15453,,BAO_0000357,,,,121,H,8,1,
269,CHEMBL615710,Autocuration,,,,11884,,BAO_0000218,,,,22226,U,0,1,
270,CHEMBL615711,Autocuration,,,,7185,,BAO_0000019,,,,12688,H,8,1,
271,CHEMBL615712,Expert,,,,6876,,BAO_0000357,,,,121,D,9,1,
272,CHEMBL836325,Expert,,,,6876,,BAO_0000357,,,,121,D,9,1,
273,CHEMBL615713,Autocuration,,,,11863,,BAO_0000019,,,,12198,H,8,1,
274,CHEMBL615714,Autocuration,,,,11863,,BAO_0000357,,,,12198,H,8,1,
275,CHEMBL615715,Autocuration,,,,11863,,BAO_0000019,,,,12198,H,8,1,
276,CHEMBL615716,Autocuration,,,,11863,,BAO_0000019,,,,12198,H,8,1,
277,CHEMBL615717,Autocuration,,,,4639,,BAO_0000019,,,,104714,H,4,1,
278,CHEMBL881818,Expert,,,,15796,,BAO_0000019,,,,10577,H,8,1,
279,CHEMBL884540,Expert,,,,15796,,BAO_0000357,,,,105,H,8,1,
280,CHEMBL615718,Autocuration,,,,12801,,BAO_0000224,,,,104744,D,5,1,
281,CHEMBL615719,Autocuration,,,,12801,,BAO_0000224,,,,104744,H,4,1,
282,CHEMBL615720,Autocuration,,,Membranes,12120,,BAO_0000249,,,,104744,H,4,1,
283,CHEMBL615721,Autocuration,,,Membranes,12120,,BAO_0000249,,,,104744,H,4,1,
284,CHEMBL615722,Autocuration,,,,11963,,BAO_0000019,,,,104744,H,4,1,
285,CHEMBL615723,Autocuration,,,,11701,,BAO_0000019,,,,51,H,8,1,
286,CHEMBL615724,Autocuration,Hippocampus,10000000.0,,9995,,BAO_0000221,,,,51,H,8,1,
287,CHEMBL615725,Autocuration,Hippocampus,10000000.0,,9995,,BAO_0000221,,,,51,H,8,1,
288,CHEMBL615726,Autocuration,Hippocampus,10000000.0,,9995,,BAO_0000221,,,,51,H,8,1,
289,CHEMBL615727,Autocuration,,,,16394,,BAO_0000218,,,,10576,H,8,1,
290,CHEMBL615728,Intermediate,,,,11574,,BAO_0000019,,,,105570,D,9,1,
291,CHEMBL857971,Autocuration,,,,15779,449.0,BAO_0000219,,CHO,,279,H,8,1,
292,CHEMBL615729,Autocuration,,,,15363,,BAO_0000357,,,,107,H,8,1,
293,CHEMBL615730,Expert,,,,15363,,BAO_0000019,,,,12687,D,9,1,
294,CHEMBL615731,Expert,,,,15329,,BAO_0000019,,,,12687,H,8,1,
295,CHEMBL615732,Expert,,,,15329,,BAO_0000019,,,,12687,H,8,1,
