ASI,SI,ASSTY,CONFSCO,ASSCETY,SRASSI,ASTET,T,Descr,TII,ASSORG,ASSSTR,CEI,ASCATE,ASSTAI,RELATY,CURB,CHI,BFO,VARII
39,1,B,3,,,,22222,Dissociation constant towards 16S rRNA construct A,,,,,,,M,Intermediate,CHEMBL615151,BAO_0000225,
40,1,B,3,,,,22222,Dissociation constant towards 16S rRNA construct B,,,,,,,M,Intermediate,CHEMBL615152,BAO_0000225,
41,1,B,3,,,,100263,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,Escherichia coli,,,,562.0,M,Expert,CHEMBL615153,BAO_0000225,
42,1,B,3,,,,100263,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,Escherichia coli,,,,562.0,M,Expert,CHEMBL615154,BAO_0000225,
43,1,B,8,,,,13053,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,H,Autocuration,CHEMBL615155,BAO_0000019,
44,1,B,8,,,,13053,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,H,Autocuration,CHEMBL615156,BAO_0000019,
45,1,B,8,,,,20001,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,,,,9606.0,H,Autocuration,CHEMBL615157,BAO_0000019,
46,1,B,8,,,,20001,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,,,,9606.0,H,Autocuration,CHEMBL615158,BAO_0000019,
47,1,B,9,,,,12971,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL615159,BAO_0000019,
48,1,B,9,,,,12971,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL615172,BAO_0000019,
49,1,B,9,,,,12971,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL615173,BAO_0000019,
50,1,B,9,,,,12971,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL615174,BAO_0000019,
51,1,B,8,,,,13053,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,H,Autocuration,CHEMBL884518,BAO_0000019,
52,1,B,8,,,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,,H,Autocuration,CHEMBL615175,BAO_0000357,
53,1,B,8,,,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,,H,Autocuration,CHEMBL615176,BAO_0000357,
54,1,B,8,,,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,,H,Autocuration,CHEMBL615177,BAO_0000357,
55,1,B,5,,,,104740,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL615178,BAO_0000249,
56,1,F,1,1A9,,,80002,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615179,BAO_0000219,
57,1,F,7,Oocytes,,,104835,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL615180,BAO_0000219,
58,1,F,7,Oocytes,,,104821,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL615181,BAO_0000219,
59,1,F,7,Oocytes,,,104848,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL615182,BAO_0000219,
60,1,F,1,1A9,,,80002,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,Homo sapiens,,506.0,,9606.0,N,Expert,CHEMBL615183,BAO_0000219,
61,1,F,1,1A9,,,80002,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615184,BAO_0000219,
62,1,F,1,1A9,,,80002,Cytotoxic activity against human ovarian cancer (1A9) cell line,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615185,BAO_0000219,
63,1,F,1,1A9,,,80002,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615186,BAO_0000219,
64,1,F,1,1A9,,,80002,Effective dose of compound against replication of 1A9 cell line was evaluated,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615187,BAO_0000219,
65,1,F,1,1A9,,,80002,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,Homo sapiens,,506.0,,9606.0,N,Expert,CHEMBL885343,BAO_0000219,
66,1,F,1,1A9,,,80002,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615188,BAO_0000219,
67,1,F,1,1A9,,,80002,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615189,BAO_0000219,
68,1,F,1,1A9,,,80002,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615190,BAO_0000219,
69,1,F,1,1A9,,,80002,Inhibitory activity against Taxol resistant 1A9 cell lines,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615191,BAO_0000219,
70,1,F,1,1A9,,,80002,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,Homo sapiens,,506.0,,9606.0,N,Expert,CHEMBL615192,BAO_0000219,
71,1,F,1,1A9,,,80002,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,Homo sapiens,,506.0,,9606.0,N,Expert,CHEMBL827083,BAO_0000219,
72,1,F,1,1A9,,,80002,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,Homo sapiens,,506.0,,9606.0,N,Expert,CHEMBL615193,BAO_0000219,
73,1,F,1,1A9,,,80002,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615194,BAO_0000219,
74,1,F,1,1A9,,,80002,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615195,BAO_0000219,
75,1,F,1,1A9,,,80002,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,Homo sapiens,,506.0,,9606.0,N,Intermediate,CHEMBL615196,BAO_0000219,
76,1,F,1,Jurkat,,,81072,Inhibitory concentration against Jurkat cells,,Homo sapiens,,503.0,,9606.0,N,Intermediate,CHEMBL615197,BAO_0000219,
77,1,F,0,,,,22226,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,,U,Intermediate,CHEMBL615198,BAO_0000019,
78,1,A,9,,,,100121,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,Rattus norvegicus,,,,10116.0,D,Expert,CHEMBL615199,BAO_0000357,
79,1,B,8,,,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,,H,Expert,CHEMBL615200,BAO_0000357,
80,1,B,8,,,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,,H,Expert,CHEMBL615201,BAO_0000357,
81,1,B,8,,,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,,H,Expert,CHEMBL615202,BAO_0000357,
82,1,B,8,,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Candida albicans,,,,5476.0,H,Autocuration,CHEMBL615203,BAO_0000251,
83,1,B,8,,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Candida albicans,,,,5476.0,H,Autocuration,CHEMBL615204,BAO_0000251,
84,1,B,8,,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,,,,4932.0,H,Autocuration,CHEMBL615205,BAO_0000251,
85,1,B,8,,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,,,,4932.0,H,Autocuration,CHEMBL615206,BAO_0000251,
86,1,B,8,,,,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",2107.0,Sus scrofa,,,,9823.0,H,Autocuration,CHEMBL615207,BAO_0000251,
87,1,B,8,,,,11231,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,Rattus norvegicus,,,,10116.0,H,Autocuration,CHEMBL827084,BAO_0000019,
88,1,B,8,,,,11231,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,Rattus norvegicus,,,,10116.0,H,Autocuration,CHEMBL615208,BAO_0000019,
89,1,B,8,,,,11231,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,Rattus norvegicus,,,,10116.0,H,Autocuration,CHEMBL615209,BAO_0000019,
90,1,B,9,,,,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",2107.0,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL615210,BAO_0000251,
91,1,B,9,,,,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",2107.0,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL615211,BAO_0000251,
92,1,B,9,,,,12083,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",2107.0,Rattus norvegicus,,,,10116.0,D,Autocuration,CHEMBL615212,BAO_0000251,
93,1,B,8,,,,11377,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,,H,Expert,CHEMBL615213,BAO_0000357,
94,1,B,8,,,,11377,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,,H,Expert,CHEMBL615273,BAO_0000357,
95,1,F,1,HepG2,,,81020,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Homo sapiens,,726.0,,9606.0,N,Expert,CHEMBL615274,BAO_0000219,
96,1,F,1,HepG2,,,81020,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615275,BAO_0000219,
97,1,F,1,HepG2,,,81020,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615276,BAO_0000219,
98,1,F,1,HepG2,,,81020,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615277,BAO_0000219,
99,1,F,1,HepG2,,,81020,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615326,BAO_0000219,
100,1,F,1,,,,50606,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Hepatitis B virus,,,,10407.0,N,Expert,CHEMBL883130,BAO_0000218,
101,1,F,1,HepG2,,,81020,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL884519,BAO_0000219,
102,1,F,1,HepG2,,,81020,Concentration required to inhibit 50% of 2.2.15 cell line,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615327,BAO_0000219,
103,1,A,1,HepG2,,,81020,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615328,BAO_0000219,
104,1,F,1,2.2.15,,,50587,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615329,BAO_0000218,
105,1,F,1,2.2.15,,,50587,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615330,BAO_0000218,
106,1,F,1,2.2.15,,,50606,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,Hepatitis B virus,,,,10407.0,N,Expert,CHEMBL615331,BAO_0000218,
107,1,F,1,2.2.15,,,50587,In vitro anti-HBV activity in 2.2.15 cells,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615332,BAO_0000218,
108,1,F,1,2.2.15,,,50587,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615333,BAO_0000218,
109,1,F,1,2.2.15,,,50587,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615334,BAO_0000218,
110,1,F,1,2.2.15,,,50587,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615335,BAO_0000218,
111,1,F,1,2.2.15,,,50587,Cytotoxicity in 2.2.15 cells,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615336,BAO_0000218,
112,1,F,1,2.2.15,,,50587,Cytotoxicity in 2.2.15 cells; Not determined,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615337,BAO_0000218,
113,1,F,1,2.2.15,,,50587,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615338,BAO_0000218,
114,1,F,1,2.2.15,,,50587,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615339,BAO_0000218,
115,1,F,1,2.2.15,,,50587,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,Homo sapiens,,,,9606.0,N,Intermediate,CHEMBL615340,BAO_0000218,
116,1,F,1,HepG2,,,81020,Antiviral activity against HBV was determined in 2.215 cell line,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615341,BAO_0000219,
117,1,B,0,,,,22226,Inhibition of 20-HETE synthesis in human renal microsomes,,Homo sapiens,,,,9606.0,U,Autocuration,CHEMBL615342,BAO_0000251,
118,1,B,0,,,,22226,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,,U,Autocuration,CHEMBL615343,BAO_0000019,
119,1,F,1,2008,,,80612,Inhibitory concentration against 2008 (ovarian) cells,,Homo sapiens,,388.0,,9606.0,N,Intermediate,CHEMBL615344,BAO_0000219,
120,1,F,1,2008,,,80612,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,Homo sapiens,,388.0,,9606.0,N,Intermediate,CHEMBL615345,BAO_0000219,
121,1,F,1,2008,,,80612,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,Homo sapiens,,388.0,,9606.0,N,Intermediate,CHEMBL615346,BAO_0000219,
122,1,F,1,2008,,,80612,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,Homo sapiens,,388.0,,9606.0,N,Intermediate,CHEMBL615347,BAO_0000219,
123,1,F,1,2008,,,80612,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,Homo sapiens,,388.0,,9606.0,N,Intermediate,CHEMBL615348,BAO_0000219,
124,1,F,1,2008/R,,,80613,In vitro inhibition of 2008/R ovarian cancer cell line,,Homo sapiens,,561.0,,9606.0,N,Intermediate,CHEMBL827085,BAO_0000219,
125,1,F,1,2008/R,,,80613,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,Homo sapiens,,561.0,,9606.0,N,Intermediate,CHEMBL615349,BAO_0000219,
126,1,F,1,2008/S,,,80614,In vitro inhibition of 2008/S ovarian cancer cell line,,Homo sapiens,,389.0,,9606.0,N,Intermediate,CHEMBL615350,BAO_0000219,
127,1,F,1,2008/S,,,80614,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,Homo sapiens,,389.0,,9606.0,N,Intermediate,CHEMBL615351,BAO_0000219,
128,1,B,2,,,,100256,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,Homo sapiens,,,,9606.0,S,Expert,CHEMBL615352,BAO_0000220,
129,1,B,2,,,,100256,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,Homo sapiens,,,,9606.0,S,Intermediate,CHEMBL615353,BAO_0000220,
130,1,B,2,,,,100256,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,,S,Expert,CHEMBL615354,BAO_0000220,
131,1,B,2,,,,100256,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,,S,Expert,CHEMBL615355,BAO_0000220,
132,1,B,2,,,,100256,Inhibitory activity against 20S proteosome,,,,,,,S,Intermediate,CHEMBL615356,BAO_0000220,
133,1,B,0,,,,22226,Compound was tested for inhibitory activity against tryptase,,Homo sapiens,,,,9606.0,U,Autocuration,CHEMBL615357,BAO_0000019,
134,1,F,1,HepG2,,,81020,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL615358,BAO_0000219,
135,1,F,1,HepG2,,,81020,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,,726.0,,9606.0,N,Intermediate,CHEMBL827086,BAO_0000219,
136,1,B,0,,,,22226,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,,U,Autocuration,CHEMBL615359,BAO_0000019,
137,1,B,8,,,,235,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,,H,Autocuration,CHEMBL615360,BAO_0000357,
138,1,F,0,,,,22226,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,948.0,Rattus norvegicus,,,,10116.0,U,Autocuration,CHEMBL615361,BAO_0000218,
139,1,F,8,,,,19640,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,H,Autocuration,CHEMBL615362,BAO_0000019,
140,1,F,8,,,,19640,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,H,Expert,CHEMBL615363,BAO_0000019,
141,1,B,8,,,,19640,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,H,Autocuration,CHEMBL615364,BAO_0000357,
142,1,F,8,,,,19640,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,H,Expert,CHEMBL615365,BAO_0000019,
143,1,F,1,P338,,,80360,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,Mus musculus,,524.0,,10090.0,N,Intermediate,CHEMBL615366,BAO_0000219,
144,1,F,1,P338,,,80360,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,Mus musculus,,524.0,,10090.0,N,Intermediate,CHEMBL615367,BAO_0000219,
145,1,F,1,PBL,,,80384,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,Homo sapiens,,554.0,,9606.0,N,Intermediate,CHEMBL615368,BAO_0000219,
146,1,F,0,,,,22226,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,Ovis aries,,,,9940.0,U,Autocuration,CHEMBL615369,BAO_0000019,
