id,manufacturer,price,title
142,computer associates,,ca brightstor arcserve backup r11 .1 for netware tape library option service pack
143,adobe systems,,adobe acrobat distiller svr v6-cd linux u/u 42050142 )
144,veritas,695.0,backup exec netware open file v9 .2 e/g full package product
145,microsoft,249.99,microsoft virtual pc for mac 7.0 with windows 2000
146,microsoft,299.0,microsoft mappoint 2006 standard edition
147,red hat software,,red hat entprse linux as 3 amd rhf0211us )
148,computer associates,,ca arcserve bkup r11 .1 / nw stor area netw ( san ) opt prod only
149,cabletron systems,1928.07,enterasys vpn & firewall code upgrade xsr-18xx-vpn-fw )
150,primavera systems,499.0,suretrak project manager 3.0
151,fujitsu imaging,,vrs4 .0 plus scsi workgroup scanning 5 & 6
152,nuance-communications-inc .,49.99,pdf create ! 4.0 retail
153,hummingbird communications,,upgrade 3d for exceed 2007 1u
154,cisco systems enterprise,2814.33,cisco 3745 ser ios ent cd374-esk9 = )
155,microsoft,,softgrid cal for ts 4.1 english mlp 20 user cal
156,aec software,304.99,details 3.0
157,adobe systems inc,,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 )
158,nova development,49.99,photo objects 150 000 for macintosh
159,hewlett packard,,insight pwr mgr no media 1ltu
160,informatics,,fontware pro +
161,strategy first,29.99,gods : lands of infinity special edition
162,global-marketing-partners,89.99,icopydvds2 ultra by digital wunders
163,nova development,12.99,hallmark blank greeting cards half-fold matte premium 20 count
164,valusoft,9.99,sea scene : living underwater worlds ( jewel case )
165,hewlett packard,,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 )
166,equilibrium,599.99,equilibrium debabelizer pro 6.0 1 user
167,prosoft engineering,74.99,prosoft tunetech for ipod ( mac )
168,autodesk,,autodesk discreet combustion 4 windows )
169,phantom efx,19.99,reel deal casino quest
170,fluke networks,5750.6,espro + interpretair s/w
171,microsoft licenses,349.83,microsoft licenses word mac 10.0 eng govt ( d4800369 )
172,computer associates,,ca arcserve bkup r11 .5 win agent mac os x upgrade prod only
173,netmanage,,netmanage rumba web to host as400 ed v4 .2 910620-000 )
174,ca oem,,1pk internet sec ste 2007 oem
175,diskeeper corporation,79.21,diskeeper 2007 professional single lic pack
176,topics entertainment,,instant immersion japanese ( audio book )
177,blizzard entertainment,29.99,world of warcraft 60 day pre-paid time card
178,dorling-kindersley-multimedia - ( dk ),29.95,smart steps 4th grade
179,computer associates,,ca arcserve bkup r11 .5 win dro sp1 prod only
180,nuance-communications-inc .,79.99,textbridge pro 11
181,emedia,39.99,emedia rock guitar method
182,arc-media-inc .,19.95,home bartending 101 shooters
183,knowledge adventure,29.99,jumpstart reading with karaoke
184,business objects,595.0,crystal reports xi developer
185,intriguing development,39.95,iremember digital scrapbooking 2.0
186,topics-entertainment-software - ( consignment ),9.99,learn2 training for microsoft powerpoint
187,adobe,9104.19,adobe acrobat distiller svr v6-cd sun 100u 42050106 )
188,eidos interactive,19.99,tomb raider : legend
189,borland international,,upgrade delphi 2006 pro named fr delphi v3-2005 pro cd
190,isi researchsoft,299.99,isi researchsoft reference manager 11 single user
191,watchguard technologies inc,1995.0,high availability requires two livesecurity firesboxes
192,topware interactive,19.99,buku karkuro
193,symantec corporation .,983.34,backup exec 10d win adv disk v10 .1 lic only ( e180518 )
194,hewlett packard,,procurve manager plus upgrade -
195,blizzard entertainment,19.99,world of warcraft
196,vivendi,35.7,world of warcraft pc
197,sonic systems inc. .,,sonicwall global vpn client license 01-ssc-5310 )
198,nuance communications inc.,949.99,scansoft paperport professional 11 5 user license
199,netmanage,,netmanage upg rumba unix-hp edition level 902453-007-c )
200,watchguard technologies inc,,upg serverlock for solaris gold
201,veritas,295.0,backup exec netware remote agt win/netware svr v9 .2 e/g
202,lenovo,,the computrace lojack for laptops computer tracking and loss control solution by
203,lotus development corp,,lotus dev . mqseries link for r/3-v 1.2 cd sol 04l1671 )
204,cisco systems enterprise,,cisco ios enterprise services complete package cd28-esk9 = )
205,nortel,,nortel contivity stateful firewall license standard 1 switch
206,hewlett packard,,hp data protector exp bu svr cmp upgrade ltu
207,business objects,909.66,crystal reports 11 professional full product french
208,wasp technologies,,wasp bar code wasp bar code labeler complete package 3 users std cd -
209,ibm,,ibm rational clearcase lt v. 6.0.0 media vol passport passport adva
210,esker,,upgrade terminal emulation software 2006 with media 1u
211,microsoft,49.5,microsoft entertainment pack ce
212,diskeeper corporation,1372.21,diskeeper 2007 pro premier 10-lic pack
213,netmanage,,netmanage rumba web as/400 edition 910523-002 )
214,watchguard technologies inc,159.9,watchguard 1yr subs firebox x5 webblocker wg017196 )
215,netmanage,,netmanage rumba web to host as400 ed v4 .2 910623-000 )
216,adobe,199.0,adobe illustrator cs3 upgrade from freehand [ mac ]
217,cisco systems enterprise,,cisco syst . minor release : requires existing cww-6 .1 - win-mr )
218,microsoft corporation,330.14,microsoft upg win small business svr cal t74-01215 )
219,computer associates,,ca brightstor arcserve backup r11 .1 for netware upgrade from arcserve 7 for netware
220,wasp technologies,,mobileinventory additional mobile license
221,watchguard license,2098.55,watchguard license wg vpn upgrade from 4 to 10 ( wg4110 )
222,pinnacle,69.99,pinnacle studio plus titanium edition v10 .5
223,symantec,3732.0,symantec client security 3.1 with groupware protection business pack 50 user
224,netmanage,,netmanage rumba web as/400 edition 910584-001 )
225,microsoft,229.99,microsoft powerpoint 2004 ( mac )
226,isi researchsoft,299.95,refviz v2 mac single user
227,curious labs inc.,49.99,e frontier manga studio debut 3.0 ( single user )
228,microsoft licenses,74.59,microsoft licenses win svr 2003 device cal l/sa ( r1800144 )
229,avanquest,49.95,vcomm system suite professional 7
230,computer associates,,ca arcserve bkup r11 .5 win svrless bkup opt sp1 - prod only
231,hewlett packard,,red hat enterprise linux ws v. 4 update 4 license 1 workstation rl296aa )
232,broderbund,19.95,printshop home & office labels
233,nova development,49.99,photo explosion deluxe 3.0
234,global marketing partners,,ntrack anti-theft by synet electronics
235,nuance communications inc.,99.99,pdf converter professional v4 english
236,global marketing partners,129.99,readiris pro 11
237,persoft,,persoft upg smarterm office v12 .1 73098 )
238,computer associates,,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for
239,imsi,29.95,designcad v 17
240,lotus development corp,,lotus dev . ws bus int monitor v4.2.4-multi plat mp eng af04mna )
241,tyndale house,29.99,left behind : ilumina edition
242,lotus development corp,,lotus dev . ibm db2 net search extender v. 8.2 media bb0kyna )
243,microsoft,118.46,money premium 2007 win32 eng na mini box us only cd
244,microsoft,5479.0,microsoft visual studio team edition for software developers 2005 with msdn premium
245,activision,19.99,dora the explorer : dora 's world adventures
246,microsoft licenses,3210.4,microsoft licenses isa server lic/sa olp c ( e8400294 )
247,netmanage,,netmanage onweb web-to-host v. 5.1 upgrade license 910443-004 )
248,microsoft software,,microsoft windows small business server cal 2003 license pack 20 client addpack device
249,nuance communications inc.,474.99,scansoft paperport 11 5 user license
250,adobe,999.0,adobe after effects professional 7.0
251,microsoft software,9929.0,microsoft crm small business ed cal 3.0 license pack user cal
252,stompsoft inc.,29.99,stompsoft registry repair
253,filemaker,69.0,filemaker mobile 8 for palm os and pocket pc
254,watchguard technologies inc,,watchguard mobile user vpn 5 user bundle wg3605 )
255,diskeeper corporation,736.66,diskeeper 2007 pro premier 5-lic pack
256,sierra home,49.99,hallmark card studio 2005 deluxe
257,computer associates,,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for
258,microsoft,5479.0,microsoft visual studio team edition for software architect 2005 with msdn premium
259,novastor corporation,,library expansion option-upg
260,cisco systems enterprise,,cisco 2600xm ser ios ip/fw/ids cd26xm-ch = )
261,hewlett packard,,procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0
262,hewlett-packard - ( consumables ),,hp sp linux we 50 lic/cd 3.0 c t3586a )
263,symantec,,symantec mail security for smtp 5.0 smb av cd 5u gov
264,adobe,999.0,adobe photoshop cs3 extended [ mac ]
265,adobe,699.0,adobe indesign cs3 [ mac ]
266,corel,49.99,intervideo dvd copy 5 platinum
267,adobe,149.99,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ]
268,global-software-publishing,19.99,world of rainbow fish
269,microsoft,209.99,microsoft publisher with digital imaging 2003 [ old version ]
270,adobe,449.99,adobe acrobat 7.0 professional
271,microsoft software,735.33,microsoft office small business 2007
272,adobe,349.0,adobe audition 2.0
273,intuit,39.95,quickbooks credit card processing kit 3.0
274,topics entertainment,29.99,instant immersion italian 2.0
275,arcmedia,9.99,easy drums ( jewel case )
276,topics entertainment,49.99,instant immersion 33 languages
277,learning company,49.95,super solvers spellbound ! ! school edition for mac
278,topics entertainment,19.95,snap ! 1 001 letters ( jewel case )
279,broderbund,29.99,the printshop 20
280,eidos interactive,39.95,startopia
281,selectmedia entertainment,19.95,easy home massage dvd
282,topics entertainment,49.99,elementary success deluxe 2006 ( dw dvd )
283,atari,9.99,tonka town ( jewel case )
284,sibelius-software-ltd .,329.0,sibelius 5 educational edition
285,fogware publishing,19.99,weekly reader preparing for kindergarten
286,mysoftware company,19.95,my maillist & addressbook
287,sibelius-software-ltd .,599.0,sibelius 5 professional edition
288,infogrames,,tonka search & rescue 2
289,sony-pictures-digital-entertainment,249.95,professional training for vegas 7 and dvd architect 4 sw
290,eurotalk interactive,29.95,talk now ! learn dutch
291,selectsoft publishing,19.95,wacky bird hunter
292,namco video games,19.99,namco museum 50th anniversary collection
293,learning company,149.95,treasure galaxy 5-user lab pack for mac
294,dk,9.99,dk rainbow fish most beautiful fish
295,encore software,19.95,madeline rainy day activities
296,edmark,29.95,mighty math number heroes
297,selectsoft publishing,24.95,superstart ! science arcade
298,topics entertainment,29.95,state standards grade 6
299,casual arcade,19.95,wacky farm
300,vivendi games,19.99,police quest compilation
301,encore software,39.99,broderbund printmaster platinum 16.0
302,atari,9.99,encyclopedia britannica profiles : dinosaurs ( jewel case )
303,activision,29.95,real arcade : adventure inlay
304,knowledge adventure,,fisher-price rescue heroes : lava landslide
305,hasbro interactive,29.95,tonka raceway xp compatible ( jewel case )
306,selectsoft publishing,19.95,quickstart photo montage studio
307,atari,19.99,season ticket football 2003
308,intego,329.95,virusbarrier x4 10.4 for mac-10 users
309,encore,69.95,family tree maker version 16 deluxe
310,imsi design,29.99,instant architect design suite
311,axis-communication-inc .,,axis network camera 213 ptz digital video camera 0220-004 )
312,symantec,39.99,norton antivirus 2007
313,humongous sports,,backyard soccer ( mls edition )
314,allume systems,19.95,zipmagic personal edition
315,learning company,399.95,super solvers mission t.h.i.n.k 25 user site license
316,global-marketing-partners,79.99,f-secure internet security 2007 3 pcs
317,disney interactive,9.99,disney 2nd grade active leveling advantage w buzz ( jewel case ) ages 6-8
318,valusoft,19.99,ultimate puzzle games
319,fogware publishing,9.99,poetry fiction and drama ( win/mac ) ( jewel case )
320,intuit,79.95,quicken 2007 premier
321,csdc,149.0,route 66 mobile 7 usa/cdn for windows mobile 5
322,adobe,849.0,adobe premiere pro 2.0
323,fogware publishing,9.99,geometry ( win/mac ) ( jewel case )
324,the-learning-company,29.99,reader rabbit preschool
325,m-and-r-technologies,9.99,cross stitch design studio ( jewel case )
326,scholastic,29.95,math missions : the race to spectacle city arcade ( grades k-2 )
327,arc media inc.,19.95,world of wild cats
328,topics entertainment,29.95,state standards grade 8
329,learning company,,cluefinders 3rd grade adventures : mystery of mathra
330,avanquest publishing usa inc.,39.99,ghostsurf platinum 2006 [ lb ]
331,topics entertainment,9.99,instant home cooking ( jewel case )
332,webroot software,29.99,spy sweeper [ lb ]
333,adobe,999.0,adobe after effects 7.0 professional ( mac )
334,avanquest,29.95,transfer my dvd
335,encore-software-inc,,tlc zoombinis 3rd grade lrng sys 2007 sb cs by riverdeep 10548 )
336,ubi soft,19.99,csi : crime scene investigation
337,majesco entertainment,19.99,jaws
338,activision,19.95,sega smash pack 2
339,dreamcatcher interactive,29.99,post mortem
340,brighter minds media inc.,14.99,zoboomafoo animal logic cd/workbook combo
341,encore software,19.95,mother goose interactive storybook
342,selectsoft publishing,19.95,let 's learn about time & date
343,jian inc.,19.95,living trust builder
344,ubi soft,29.99,ubi soft star wars activity center windows )
345,symantec,50.0,portfolio media kit be syst recovery 7.0 win small business ed
346,mcafee,89.99,mcafee internet security suite 2007 3 users
347,knowledge adventure,19.99,jumpstart advanced 1st grade v2 .0
348,topics entertainment,29.99,microsoft office & windows training
349,topics entertainment,49.99,middle school success deluxe 2008
350,adobe,899.0,adobe creative suite cs3 design standard upsell [ mac ]
351,roxio,29.95,is3 stopzilla 4.0 [ stop spyware pop-ups id theft ]
352,sony-pictures-home-entertainment,899.99,pc vegas dvd
353,sony-pictures-digital-entertainment,899.95,sony vegas 6 + dvd [ old version ]
354,fogware publishing,9.99,the universe ( win/mac ) ( jewel case )
355,zone labs,49.99,zonealarm internet security suite
356,laplink,19.95,ringtone media studio 2
357,valusoft,19.99,print workshop 2007
358,cosmi corporation,39.99,perfect attorney premium
359,encore,19.99,adventure workshop 1st-3rd grade 8th edition
360,topics entertainment,29.99,fun for kids : preschool kindergarten featuring disney
361,adobe,799.0,adobe creative suite cs3 web standard upsell
362,topics entertainment,9.99,national geographic photo gallery ( jewel case )
363,sony-computer-entertainment,24.99,sony psp media manager
364,adobe,99.99,adobe premiere elements 3.0 [ lb ]
365,fogware publishing,9.99,english literature basics ( win/mac ) ( jewel case )
366,riverdeep,,riverdeep arthur 's kindergarten
367,tri synergy,19.99,big oil : build an oil empire
368,knowledge adventure,19.99,jumpstart advanced 3rd grade v2 .0
369,encore,19.99,tlc arthur 's kindergarten learning system 2008
370,cosmi,,cosmi talking math & more for kids ( windows )
371,microsoft,109.99,microsoft powerpoint 2004 upgrade ( mac )
372,iris inc.,399.99,readiris pro 11 corporate edition
373,magellan,114.66,magellan mapsend lakes ( usa south )
374,mcafee,39.99,mcafee virusscan plus 2007
375,phantom efx,19.99,reel deal casino championship edition
376,nova development,19.95,printmaster gold v 17.0
377,trend micro,49.95,pc cillin internet sec 2007 lics large box 3u
378,encore software,19.99,aquarium 3-in-one collection ( win/mac )
379,tri synergy,39.99,cute ftp
380,kaspersky lab,59.95,kaspersky anti-virus 6.0
381,whiptail,19.99,restricted area
382,adobe,1699.0,adobe production studio premium
383,fogware publishing,9.99,merriam-webster 's dictionary ( win/mac ) ( jewel case )
384,lego media,,lego island 2 : the brickster 's revenge ( xp compatible version )
385,casual arcade,19.95,tank battle
386,selectsoft publishing,19.95,quickstudy u.s. government
387,atari,,home budget for dummies
388,encore software,29.99,zonealarm wireless security
389,topics entertainment,19.99,instant immersion japanese 2.0
390,dk multimedia,19.95,encyclopedia of our living oceans
391,valusoft,9.99,ultimate pinball ( jewel case )
392,scholastic,19.99,clifford reading pack ( dvd box )
393,microsoft software,5099.0,microsoft visual studio test agent 2005 cd 1 processor license
394,knowledge adventure,19.99,jumpstart advanced 2nd grade v2 .0
395,fogware publishing,9.99,world history ( win/mac ) ( jewel case )
396,intuit inc.,499.95,quickbooks premier non-profit edition 2005
397,selectsoft publishing,19.95,quickstart pc cleaner xp
398,encore software,19.95,crayola first ladies costume maker
399,arcmedia,24.95,arcmedia spelling bee ( windows/macintosh )
400,valusoft,9.99,pokemon team turbo ( jewel case )
401,acclaim,39.95,south park chef 's luv shack
402,humongous entertainment,,blues clues preschool
403,atari,,backyard skateboarding
404,cosmi,,cosmi rom07524 print perfect business cards dvd
405,fogware publishing,9.95,vivaldi 's musical adventure pod
406,the learning company,,cluefinders 3rd grade
407,ubi soft,19.99,rayman 10th anniversary collection
408,encore software,29.99,before you know it deluxe spanish edition for pc/mac
409,nuance,49.95,pdf converter 4
410,vivendi universal,19.99,er
411,bling,29.99,podmaxx '07
412,adobe,1399.0,adobe creative suite cs3 web premium upsell [ mac ]
413,megasystems,29.99,human body 360
414,magix entertainment,,web radio recorder
415,learning company,399.95,bodyworks 6.0 25-user building site license
416,edmark,19.95,virtual labs : light
417,selectsoft publishing,19.95,pressure pop !
418,valusoft,19.99,essential business tools 2.0
419,global software publishing,19.95,let 's make stickers
420,fogware publishing,139.99,student home learning system for pc/mac
421,3m,,3mds network operations manager diy annual subscptn 101 500u
422,computer-associates-international,,model web publisher 3.5.2 .
423,microsoft licenses,205.73,microsoft licenses word olp c ( 05903871 )
424,watchguard technologies inc,1995.0,vpn manager five to ten firebox
425,encore software,29.99,hoyle card games 2007
426,computer associates,,ca arcserve bkup protection suite exch r11 .5 upgrade prod only
427,victory multimedia,149.99,victorymul submitwolf version 6.0 swolf6r )
428,zone labs,29.99,zonealarm anti-spyware
429,dreamcatcher interactive,29.99,the guild 2 pirates of the seas
430,webroot software,39.95,child safe 3-pc
431,microsoft,209.0,microsoft windows server 2003 client additional license for devices 5 pack
432,susteen,113.1,cell phone software solution
433,susteen,39.95,mediapilot kit
434,enfocus software,499.0,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8
435,veritas,,media kit storage foundation basic lnx v4 .1 cpu vol-4 file sys-4
436,global-software-publ-na,,sudoku puzzle addict : unlimited edition
437,red mile,29.99,aircraft power pack for ms flight simulator
438,nova development,,winway resume deluxe 11.0 network 10
439,symantec media,28.0,sym clt security 3.1 scs media cd en
440,isi researchsoft,109.99,researchsoft endnote 9 student edition for students [ old version ]
441,sony-pictures-digital-entertainment,69.99,sony acid music studio
442,microsoft licenses,4215.77,microsoft licenses biztalk hipaa std . sa only ( u0200024 )
443,microsoft,709.0,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client
444,knowledge adventure,,jumpstart 1st grade
445,topics entertainment,19.99,instant landscaping 3.0 [ lb ]
446,topics entertainment,29.99,topics presents : ancient civilizations ( 4 cd set )
447,topics entertainment,19.99,simple movie maker
448,topics entertainment,6.99,instant play electric guitar ( jewel box )
449,boomerang,,boomerang webpage designer gold
450,x-oom,,x-oom mp3 radio recorder windows )
451,zone labs,,zonealarm firewall pro 5 ( free upgrade to new version )
452,adobe,999.0,adobe after effects cs3
453,topics entertainment,49.99,phonics success deluxe 2006 ( large box )
454,brighter-minds-media-inc .,9.99,land before time : preschool
455,encore software,19.99,brainfood games cranium collection 2006
456,encore software,19.99,clickart fonts ( 2006 ) by encore
457,topics entertainment,39.99,national geographic presents : redshift 5 planetarium software
458,summit software,19.99,stationery design studio
459,trend micro,48.91,anti-spyware 3.0 win normal 1u new
460,topics entertainment,29.06,snap ! 8 player poker 5 pack
461,encore,19.99,alien disco safari
462,dantz,249.0,emc retrospect 7.5 svr 1-client windows
463,topics entertainment,49.99,kaplan sat/act/psat platinum 2007 win/mac
464,corel corp,166.19,ae painter v9 win/mac box
465,adobe,399.0,adobe creative suite cs3 web standard upgrade [ mac ]
466,netopia,,timbuktu remote control softwre 10 licenses for windows
467,topics entertainment,58.5,sat act and psat 2007 platinum
468,the-learning-company,29.99,treasure mathstorm
469,microsoft corp,49.95,ae mappoint 2006 cd
470,cisco systems ( ciscopro ),,cisco security desktop agent csa-b250-dtop-k9 )
471,adobe,145.39,photoshop elements 4 mac retail eng 1u ( 19230169 )
472,hewlett packard,,ov data protector open file 5-wk v. 9 ltu incl ltu for 5 win nt/2000/xp workstati
473,onone software,499.95,pro photo essentials plug in suite & iview mediapro 3
474,microsoft,30.0,microsoft asp net web matrix
475,century software,705.21,tinyterm v4.x 5u windows terminal emulation ( tt-5 )
476,microsoft corp,,ae outlook 2007 win32
477,mindjet,129.0,mindjet mindmanager 7 mac single license
478,sonic systems inc. .,,sonicwall comprehensive gateway security suite 1 year upgrade plan 01-ssc-5845 )
479,freeverse software,79.99,sound studio 3 : record edit add effects to audio ( mac )
480,knowledge adventure,19.99,jumpstart world 1st grade
481,nova development,29.99,art explosion t-shirt factory deluxe 3.0
482,webroot-software-inc,,window washer
483,webroot software,39.95,child safe
484,adobe,161.73,adobe premiere elements 3.0
485,on-hand-software,9.99,on hand spanish 1-2-3 windows )
486,symantec,,pcanywhere 11.0 host only cd-rom xp 98 nt w2k me
