assay_id,chembl_id,confidence_score,doc_id,curated_by,assay_category,description,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
57,CHEMBL615180,7,14578,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,10116.0,,,Oocytes
58,CHEMBL615181,7,14578,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,10116.0,,,Oocytes
59,CHEMBL615182,7,14578,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,10116.0,,,Oocytes
60,CHEMBL615183,1,4787,Expert,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,,1A9
61,CHEMBL615184,1,4787,Intermediate,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,,1A9
62,CHEMBL615185,1,3547,Intermediate,,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,,1A9
63,CHEMBL615186,1,3547,Intermediate,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,9606.0,,,1A9
64,CHEMBL615187,1,6726,Intermediate,,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,9606.0,,,1A9
65,CHEMBL885343,1,3455,Expert,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,,1A9
66,CHEMBL615188,1,5726,Intermediate,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,9606.0,,,1A9
67,CHEMBL615189,1,5726,Intermediate,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,9606.0,,,1A9
68,CHEMBL615190,1,5726,Intermediate,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,9606.0,,,1A9
69,CHEMBL615191,1,3395,Intermediate,,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,9606.0,,,1A9
70,CHEMBL615192,1,3415,Expert,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,,1A9
71,CHEMBL827083,1,3415,Expert,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,,1A9
72,CHEMBL615193,1,17099,Expert,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,9606.0,,,1A9
73,CHEMBL615194,1,17099,Intermediate,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,9606.0,,,1A9
74,CHEMBL615195,1,17099,Intermediate,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,9606.0,,,1A9
75,CHEMBL615196,1,17099,Intermediate,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,9606.0,,,1A9
76,CHEMBL615197,1,17721,Intermediate,,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,9606.0,,,Jurkat
77,CHEMBL615198,0,1229,Intermediate,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,,
78,CHEMBL615199,9,11347,Expert,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,10116.0,,,
79,CHEMBL615200,8,17117,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,
80,CHEMBL615201,8,17117,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,
81,CHEMBL615202,8,17117,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,,
82,CHEMBL615203,8,11375,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,,
83,CHEMBL615204,8,11375,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,,
84,CHEMBL615205,8,11375,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,,
85,CHEMBL615206,8,11375,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,,
86,CHEMBL615207,8,11375,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,9823.0,,Liver,
87,CHEMBL827084,8,791,Autocuration,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,10116.0,,,
88,CHEMBL615208,8,791,Autocuration,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,10116.0,,,
89,CHEMBL615209,8,791,Autocuration,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,10116.0,,,
90,CHEMBL615210,9,11375,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver,
91,CHEMBL615211,9,11375,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver,
92,CHEMBL615212,9,153,Autocuration,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver,
93,CHEMBL615213,8,8269,Expert,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,,
94,CHEMBL615273,8,8269,Expert,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,,
95,CHEMBL615274,1,17653,Expert,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,9606.0,,,HepG2
96,CHEMBL615275,1,14277,Intermediate,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,9606.0,,,HepG2
97,CHEMBL615276,1,1717,Intermediate,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,9606.0,,,HepG2
98,CHEMBL615277,1,14091,Intermediate,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,9606.0,,,HepG2
99,CHEMBL615326,1,14091,Intermediate,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,,HepG2
100,CHEMBL883130,1,17653,Expert,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,10407.0,,,
101,CHEMBL884519,1,13105,Intermediate,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,HepG2
102,CHEMBL615327,1,1717,Intermediate,,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,9606.0,,,HepG2
103,CHEMBL615328,1,13105,Intermediate,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,9606.0,,,HepG2
104,CHEMBL615329,1,13600,Intermediate,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,9606.0,,,2.2.15
105,CHEMBL615330,1,13467,Intermediate,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,2.2.15
106,CHEMBL615331,1,17477,Expert,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,10407.0,,,2.2.15
107,CHEMBL615332,1,1593,Intermediate,,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,,2.2.15
108,CHEMBL615333,1,1593,Intermediate,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,,2.2.15
109,CHEMBL615334,1,15089,Intermediate,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,9606.0,,,2.2.15
110,CHEMBL615335,1,15089,Intermediate,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,,2.2.15
111,CHEMBL615336,1,1593,Intermediate,,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,9606.0,,,2.2.15
112,CHEMBL615337,1,1593,Intermediate,,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,,2.2.15
113,CHEMBL615338,1,13600,Intermediate,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,9606.0,,,2.2.15
114,CHEMBL615339,1,13467,Intermediate,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,2.2.15
115,CHEMBL615340,1,13467,Intermediate,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,,2.2.15
116,CHEMBL615341,1,14764,Intermediate,,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,9606.0,,,HepG2
117,CHEMBL615342,0,6531,Autocuration,,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,9606.0,,,
118,CHEMBL615343,0,17322,Autocuration,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,,
119,CHEMBL615344,1,17072,Intermediate,,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,9606.0,,,2008
120,CHEMBL615345,1,16936,Intermediate,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,9606.0,,,2008
121,CHEMBL615346,1,16936,Intermediate,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,9606.0,,,2008
122,CHEMBL615347,1,17146,Intermediate,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,9606.0,,,2008
123,CHEMBL615348,1,17146,Intermediate,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,9606.0,,,2008
124,CHEMBL827085,1,10797,Intermediate,,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,9606.0,,,2008/R
125,CHEMBL615349,1,10797,Intermediate,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,,2008/R
126,CHEMBL615350,1,10797,Intermediate,,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,9606.0,,,2008/S
127,CHEMBL615351,1,10797,Intermediate,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,,2008/S
128,CHEMBL615352,2,4823,Expert,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,9606.0,,,
129,CHEMBL615353,2,12912,Intermediate,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,9606.0,,,
130,CHEMBL615354,2,2957,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,,
131,CHEMBL615355,2,2957,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,,
132,CHEMBL615356,2,3260,Intermediate,,Inhibitory activity against 20S proteosome,B,,,,,,
133,CHEMBL615357,0,3451,Autocuration,,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,9606.0,,,
134,CHEMBL615358,1,13885,Intermediate,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,,HepG2
135,CHEMBL827086,1,13885,Intermediate,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,,HepG2
136,CHEMBL615359,0,3676,Autocuration,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,,
137,CHEMBL615360,8,6043,Autocuration,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,,
138,CHEMBL615361,0,11140,Autocuration,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,10116.0,,Heart,
139,CHEMBL615362,8,10543,Autocuration,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
140,CHEMBL615363,8,10543,Expert,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
141,CHEMBL615364,8,10543,Autocuration,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,,
142,CHEMBL615365,8,10543,Expert,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
143,CHEMBL615366,1,11365,Intermediate,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,10090.0,,,P338
144,CHEMBL615367,1,11365,Intermediate,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,10090.0,,,P338
145,CHEMBL615368,1,11803,Intermediate,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,9606.0,,,PBL
146,CHEMBL615369,0,11803,Autocuration,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,9940.0,,,
147,CHEMBL615370,0,11803,Autocuration,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,9940.0,,,
148,CHEMBL615673,8,12278,Autocuration,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,,
149,CHEMBL615674,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,,
150,CHEMBL615675,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,,
151,CHEMBL615676,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,9606.0,,,CCRF-CEM
152,CHEMBL615677,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,,CCRF-CEM
153,CHEMBL615678,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,,CCRF-CEM
154,CHEMBL615679,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,,CCRF-CEM
155,CHEMBL615680,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,9606.0,,,
156,CHEMBL615681,0,8249,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,,
157,CHEMBL857972,6,16992,Autocuration,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,,
158,CHEMBL857899,1,10543,Intermediate,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,1314.0,,,
159,CHEMBL615371,1,17833,Intermediate,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,10335.0,,,
160,CHEMBL615372,1,17290,Expert,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,10335.0,,,HEL
161,CHEMBL615373,1,17290,Intermediate,,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,10335.0,,,
162,CHEMBL615374,1,17290,Intermediate,,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,10335.0,,,
163,CHEMBL615375,1,10932,Intermediate,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,escherichia cloac,561.0,,,
164,CHEMBL615376,0,9707,Autocuration,,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,,
165,CHEMBL615377,8,2346,Expert,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,Candida albicans,5476.0,,,
166,CHEMBL615378,8,2205,Expert,,"Inhibition of 1,3-beta-glucan synthase",B,,Candida glabrata CBS 138,284593.0,,,
167,CHEMBL615379,1,11900,Intermediate,,Inhibition of growth of 1-87 human tumor cell line,F,,Homo sapiens,9606.0,,,1-87 tumor cell line
168,CHEMBL615380,9,14864,Expert,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,Rattus norvegicus,10116.0,,,
169,CHEMBL615381,9,16474,Autocuration,,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,,
170,CHEMBL615382,9,16474,Autocuration,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,Glycine max,3847.0,,,
171,CHEMBL615383,9,16474,Autocuration,,% inhibition against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,,
172,CHEMBL615384,9,16474,Autocuration,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,Glycine max,3847.0,,,
173,CHEMBL615385,9,3094,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,Glycine max,3847.0,,,
174,CHEMBL615386,9,3094,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,Glycine max,3847.0,,,
175,CHEMBL615387,9,3094,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,Glycine max,3847.0,,,
