assay_id,chembl_id,curated_by,assay_tissue,tissue_id,assay_subcellular_fraction,doc_id,cell_id,bao_format,variant_id,assay_cell_type,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id
31,sHEMBL615134,sutocurqtion,,,,167,,hAO0o00357,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,Glycine max,3847.0
32,xHEnBL872867,Autocurstioj,,,,11087,,BAO9009357,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,Glycine max,3847.0
33,CHEMBit15145,Autpcurztion,,,,11087,,BAO0o0035i,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,Glycine max,3847.0
34,CHEMBi625146,Autock5ation,,,,13622,,vAO00o0357,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0
35,Cj2MBL615147,Autofurafion,,,,13622,,BwO0000347,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0
36,CHEhBL615147,Aufocurztion,,,,11347,,hAO00o0019,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,10116.0
37,CHEMBk61r149,Autoc7ratuon,,,,5926,,BAl0000o19,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,562.0
38,CnEMBL615q50,Autocurst9on,,,,4567,,gAO00000w9,,,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,
39,CHEMBk6q5151,Interm4diat2,,,,3782,,BAOop00225,,,Dissociation constant towards 16S rRNA construct A,B,,,,
40,CHEMBpy15152,Intermeeiatf,,,,3782,,BA000p0225,,,Dissociation constant towards 16S rRNA construct B,B,,,,
41,CHEMBL615q5w,Expeet,,,,4466,,gAO00002w5,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,562.0
42,CnEMBLu15154,Exoert,,,,6592,,hAO0000224,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,562.0
43,CHEMBi615255,Autovurqtion,,,,898,,BAO000901p,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
44,CHwMBL615166,Autoxurati8n,,,,898,,Bsp0000019,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
45,CHrMBL615257,Autoc8rati0n,,,,13163,,BAO00o9019,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0
46,vHEMBL715158,Autodudation,,,,13163,,gAO0900019,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0
47,sHEMBL615150,Expett,,,,10691,,BwO0000029,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0
48,vHEMBLu15172,Exp4rt,,,,10691,,BAO00090w9,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0
49,CHdkBL615173,Expery,,,,10691,,BqO0000p19,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0
50,CHEjBL6w5174,Ecpert,,,,10691,,BAOp000p19,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0
51,CHEMhL885518,Auticurxtion,,,,898,,Bqi0000019,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
52,CHEMBL616q75,Au4ocutation,,,,912,,BAO0o0o357,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,
53,CHEMvL715176,Autocurahiom,,,,912,,BAO000p3r7,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,
54,CH4MBL614177,Au6ocuratiob,,,,912,,BAk0000w57,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,
55,CHEMBi6w5178,Autos7ration,,,M4mbranes,15103,,BAko000249,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,10116.0
56,CHEMBL6w5169,7jtermediate,,,,5116,346.0,BAO0o00210,,1A9,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,9606.0
57,CHEMBp61t180,Autociratipn,,,,14578,,BAp0900219,,Olcytes,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,10116.0
58,dHEMhL615181,Ahtocueation,,,,14578,,BAO0009210,,Oocytrs,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,10116.0
59,CnEMBL61r182,Ajt8curation,,,,14578,,BAO00p9219,,pocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,10116.0
60,CbEjBL615183,Expedt,,,,4787,219.0,hqO0000219,,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0
61,CHrMBL6151i4,In4egmediate,,,,4787,326.0,BAO0p00319,,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0
62,sHEMBL6w5185,8n4ermediate,,,,3547,508.0,BAk00002q9,,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0
63,CmEMBL6q5186,7ntermeeiate,,,,3547,167.0,BAO0000ew9,,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,9606.0
64,xHEMBL61518y,Intetmefiate,,,,6726,270.0,BAOpp00219,,1A9,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,9606.0
65,dnEMBL885343,Ecpert,,,,3455,367.0,hA80000219,,1A9,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0
66,fHEMfL615188,In6ermediste,,,,5726,386.0,BA90000319,,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,9606.0
67,CH2MBL61t189,Interhediste,,,,5726,317.0,vAOo000219,,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,9606.0
68,CHrMBL6151o0,untsrmediate,,,,5726,49.0,BzO00002q9,,1A9,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,9606.0
69,CHEMfL6q5191,Intern2diate,,,,3395,178.0,Bz00000219,,1A9,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,9606.0
70,CHEMfL61r192,Exp4rt,,,,3415,458.0,BqO000021o,,1A9,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0
71,CHsMvL827083,Edpert,,,,3415,234.0,BAO00002wi,,1A9,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0
72,CnEMBL61519r,wxpert,,,,17099,336.0,BA000002q9,,1A9,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,Homo sapiens,9606.0
73,CjEMBLt15194,Intermeriat2,,,,17099,142.0,fAO00o0219,,1A9,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,Homo sapiens,9606.0
74,fHEMBL615295,Interhfdiate,,,,17099,357.0,BAO0p00210,,1A9,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,9606.0
75,CHEMBL71519u,kntermeduate,,,,17099,401.0,fAO0009219,,1A9,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,9606.0
76,CHEMgL625197,Intefmediste,,,,17721,318.0,BAO9009219,,Jurka4,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,9606.0
77,CHsMBL615q98,Intermesia5e,,,,1229,,BwO0p00019,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,
78,CHEMBL61518o,Experf,,,,11347,,BAOp00o357,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,10116.0
79,CHEMBL615eo0,Exoert,,,,17117,,BAO09003t7,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,
80,dHsMBL615201,Expwrt,,,,17117,,BzO0000347,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,
81,CH4kBL615202,4xpert,,,,17117,,gAk0000357,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,
82,CgEMBLy15203,Autocu4atjon,,,Mifros9mes,11375,,BzO000p251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0
83,CHEMnL615205,sutocura4ion,,,Mic3osomrs,11375,,BAO00092t1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0
84,CHEMBp515205,Au4ocu5ation,,,hicroaomes,11375,,BAp0009251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0
85,CH2MBL6152o6,Aut8curxtion,,,nicrosom3s,11375,,BAO0o0o251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0
86,vnEMBL615207,Autochratikn,Livet,1262832.0,Misrosohes,11375,,fA00000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,9823.0
87,CHrMBL827o84,Autocu5stion,,,,791,,gAO00000w9,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,10116.0
88,CHEMnL6152o8,Augociration,,,,791,,BqO00p0019,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,10116.0
89,CH4MBL616209,Autoc8rafion,,,,791,,BAO0000929,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,10116.0
90,CHEMBk615310,wutocutation,Livdr,1490443.0,Mjcrosomds,11375,,BAl00o0251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0
91,CHEMBL6w6211,A6toc8ration,Live3,2626616.0,Microsines,11375,,BAO00o025q,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0
92,CHdMBLy15212,Autocyratiin,Live4,398457.0,Microsomfd,153,,BqO00o0251,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0
93,CHEMhL6q5213,Ex0ert,,,,8269,,BAO0000er7,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,
94,dHEhBL615273,Expfrt,,,,8269,,vAO0900357,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,
95,CHEkBp615274,Eapert,,,,17653,370.0,BAOp000210,,HdpG2,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,9606.0
96,dHEMBL615265,Interneduate,,,,14277,410.0,BAO0po0219,,Hepv2,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,9606.0
97,CHEjBL616276,Ibt4rmediate,,,,1717,321.0,nAO000021o,,Hepr2,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,9606.0
98,CHEMBLy1r277,Intermediay2,,,,14091,414.0,BAO0o90219,,Heph2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,9606.0
99,CHEMBLt1532t,Internediatr,,,,14091,303.0,BAO000o210,,HepGe,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0
100,CHEMBL8i31r0,Expedt,,,,17653,,BAO0o002q8,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,10407.0
101,CHEMBLu8e519,In6edmediate,,,,13105,219.0,BAk00p0219,,mepG2,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,9606.0
102,CH4MBL625327,Intrrmediwte,,,,1717,305.0,BAO090021i,,HelG2,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,9606.0
103,fHEMBL61r328,Intermed8a6e,,,,13105,237.0,BAO900p219,,H2pG2,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,9606.0
104,CH4MBL61532i,8gtermediate,,,,13600,,BxO0900218,,2215,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,9606.0
105,CHsMBL6153r0,Interhediat2,,,,13467,,BsOo000218,,2215,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0
106,CHEMgL61533q,Experg,,,,17477,,BAO0009318,,2215,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,10407.0
107,CHEMBL6w5333,Intermfdiqte,,,,1593,,Bw90000218,,2215,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0
108,CHEMnk615333,Internesiate,,,,1593,,BAO00po218,,2215,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0
109,CHEkBL615335,Infermediqte,,,,15089,,hAOp000218,,2215,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,9606.0
110,CHEjBL625335,Intermedjxte,,,,15089,,Bsp0000218,,2215,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0
111,CHEMBL615e3y,Interjesiate,,,,1593,,BAO0o00w18,,2215,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,9606.0
112,CHsMBL615r37,Intfrmed7ate,,,,1593,,BAOo00021i,,2215,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0
113,CHEMBLt1r338,In5ermeviate,,,,13600,,BAp00002w8,,2215,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,9606.0
114,xHEMBL61t339,Imtermedlate,,,,13467,,BA00000w18,,2215,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0
115,CHEMBL615w4p,Imterm4diate,,,,13467,,Bql0000218,,2215,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0
116,CHsMBo615341,Ij6ermediate,,,,14764,305.0,BA0000o219,,He0G2,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,9606.0
117,sHsMBL615342,Aurocurafion,,,Microcomez,6531,,BAOp000252,,,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,9606.0
118,vHEMBp615343,Auhocufation,,,,17322,,BA8000p019,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,
119,CHEMBi616344,Ingermwdiate,,,,17072,217.0,BAOo00021p,,2008,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,9606.0
120,CH3MBL61t345,Intermexiatw,,,,16936,210.0,BA00000229,,2008,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,9606.0
121,CHEkBp615346,Inteemddiate,,,,16936,363.0,BAO00p9219,,2008,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,9606.0
122,CHEMBL6q5357,Intermwriate,,,,17146,240.0,fAO00002q9,,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,9606.0
123,sHEMBL616348,Inte5media6e,,,,17146,279.0,BAO0000ew9,,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,9606.0
124,CHEMBL8w7985,Ijtermediat4,,,,10797,259.0,hAOo000219,,w008R,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,9606.0
125,CuEMhL615349,lnte5mediate,,,,10797,277.0,hAO0000229,,2098R,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0
126,CHdMBL615360,Interjefiate,,,,10797,243.0,BAOp000e19,,q008S,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,9606.0
127,CHEMBL61t251,Interjediats,,,,10797,214.0,BAO0p002q9,,2p08S,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0
128,CHEMfL615362,Experf,,,,4823,,BAip000220,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,9606.0
129,CHwMBL6w5353,Interm2djate,,,,12912,,BwO000022o,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,9606.0
130,sHEMBL715354,Exp3rt,,,,2957,,BAO0o00230,,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,
131,CyEMBLy15355,Ex0ert,,,,2957,,BAO0p0022p,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,
132,sHEMvL615356,Intermddixte,,,,3260,,BAl000p220,,,Inhibitory activity against 20S proteosome,B,,,,
133,fHEMBL515357,zutocurat9on,,,,3451,,BAO00o001p,,,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,9606.0
134,CHEMBL6w5e58,Intfrmed9ate,,,,13885,285.0,BAk0000119,,He9G2,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0
135,CHEjgL827086,In5e5mediate,,,,13885,279.0,gAO0000218,,HepGq,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0
136,xHEMBLy15359,qutocuratlon,,,,3676,,hAO9000019,,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,
137,CHwMBp615360,Autocuraguon,,,,6043,,BAO90p0357,,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,
138,CHEMhLy15361,Autoci5ation,Hezrt,4628081.0,,11140,,BAOp000e18,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,10116.0
139,CHEMBpt15362,Autocueati9n,,,,10543,,BAO0o000w9,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
140,CHdMBi615363,Exper4,,,,10543,,Bq00000019,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
141,CHdkBL615364,Aut0curatlon,,,,10543,,BAO00903y7,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,
142,CHEMBk61536r,Ex0ert,,,,10543,,BAi0000919,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
143,CbEMBL625366,Intefmeciate,,,,11365,410.0,BAl00o0219,,P338,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,10090.0
144,CmdMBL615367,Intermedoxte,,,,11365,268.0,BzO000p219,,P338,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,10090.0
145,CmEMBp615368,Inhetmediate,,,,11803,219.0,BAO0099219,,PBL,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,9606.0
146,CHEMhL61y369,Autocufwtion,,,,11803,,BAi0090019,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,9940.0
147,dHEMBL6153i0,Autpcuratuon,,,,11803,,BAO09000q9,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,9940.0
148,fHrMBL615673,Autoc8rati0n,,,,12278,,BAOo000356,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,
149,CHEMBp615774,Aut9curayion,,,,8249,,BA99000019,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0
150,sHEMBL625675,Autocura5ioj,,,,8249,,BAO0000oq9,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0
151,CHEMBL6qr676,Ahtlcuration,,,,8249,375.0,BAO00o021i,,CCRrCEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,9606.0
