Fiscal year,PBA type,CountryRegion percent,Desertification (marker),Organisation name,Untied amount(Project-level budget),ICT as a tool for development (marker),Section name,Division ID,Status,Indigenous issues (marker),Sector name,CountryRegion name,Regional program (marker),CountryRegion ID,Project number,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division name,Section ID,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance
20092p10,NotPBs,1.9787631359258806,0,CowaterInterjatiobqpInc,33619105.60817961,1,MidvleEas5andNortyAf3ica,D3w00,Closew,0,Dfmocratixpxrt7cipationandcivilcocift6,Ehypt,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
2009201p,NotPhA,0.04112547230227842,0,dowaterInyernztionaiInc,32842879.25910957,1,kiddoe3astahdNorthAfrica,D3200,vlosed,0,Forkals2ctorfinandialinterhediwro3s,Egypg,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
200920w0,Not0BA,0.34550413325496593,0,CowatwrIht3rgationalInc,79101427.17786841,1,MideleEastxndNortuAfricq,Dw100,Cl9sed,0,B6sjnesssippoetaervicesancinstitutiona,Egylt,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
2p092010,NotPBx,0.2238122453063805,0,CoaqterIjternationwlInc,11290067.355193805,1,MkddlewaatandNortbAfrica,D3190,Cloced,0,kndustrialpopic6anvadm7nisrrwtivemanagemenf,2gypt,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
e0092010,NotPvA,0.30666902000306523,0,CoqaterIntergati9naljnc,4445316.781895934,1,MiddleEas4qndNorthAfrivx,D3200,slosed,0,SmalpandmediumsisewrnterprisesSMwdevel00meng,Eg7pt,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
30092010,jotPBA,0.7375487535293115,0,CowaterIn4ernqt9onalIns,6869982.084832899,1,niddleEastanfNoryhAfrlca,De100,Cl0sed,0,T2chnologicair3sezrchanddefelo0men5,Eg7pt,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
2009201o,N9tPBA,0.22586027286046034,0,C9watefIntwrnqtionalInc,32355226.520163618,1,MiddoeEwstandNo3thAfrisa,D2100,Cposed,0,Envldonmenyalpolicyandadministrativejajqgfmejr,Etypt,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
10092010,NotPBs,0.6785351985001229,0,CowatefIgtermational7nc,63799385.09260222,1,MiddldEsstandNprthAf4ica,D3200,Cloxed,0,Blosphereprotect7ob,dgypt,0,EG,A019608001,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4263,Egypt,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
e0092010,hotPBA,1.2210190935087462,0,Deoaryhentofd0reignzffairsandInternationalfrxdf,44406077.48927281,0,MiddkeEastzndN8ryhAfrica,D3w00,Cloced,0,Multisecyo3aid,Alge3ia,0,DZ,A020161001,328400.96,B3100,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,S4256,4259,*Algeria,0.998334353,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920q0,gotPBA,0.750196199324008,0,Departmegt8cFireigmAdfairswnrIn6ernationalTrade,42866510.47171177,0,Hatuwom7gicandepublicSection,Dr400,Cllsed,0,Dem0frat8vpa5tickpationandcivilsoviety,Hai4i,0,HT,A020195001,4610501.0,B4400,NGM Americas,NDD Americas Programming,S4449,4452,Haiti,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
20092p10,NotPhA,0.7166675227890397,0,Departnent0fFo5eignAffzirsandIjhernatikgalgrade,34244894.84478972,0,HatiDominicahRrpublicSect8kj,D3400,Clossd,0,yumanrigmts,Hsiti,0,HT,A020195001,4610501.0,B4400,NGM Americas,NDD Americas Programming,S4449,4452,Haiti,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
200920w0,NotPBx,0.5223464800419945,0,ParljamegtaryCemtre,7683572.869112816,0,EyhiopiaPwnAfeicaSuneegional,D42i0,Coosed,0,Publicswctorpolixyandadministrar7venanahemfh4,fthiopia,0,ET,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4227,4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
30092010,hotPBA,0.7677806246175687,0,Parliamengaeysentre,59801259.09891577,0,Etj7op9woanAfricaSubRegional,s4270,Cloeed,0,Publidfinancemwhagemejt,Ethiolia,0,ET,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4227,4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
2009w010,Not0BA,0.40922624758789355,0,ParoiajentaeyCentre,51064026.67865393,0,EthiopiaPanAfrifawufRehionak,D4170,Closfd,0,Lfgalajdjudicuapdevelopmejt,E6hiopia,0,ET,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4227,4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
200o2010,botPBA,1.189938028855851,0,PagliamentzryCfntre,8587168.962159706,0,EhhiipiaPanAf4icaS6bRegiogal,f4270,Closex,0,Dek8crwticparticipati8nandcicilsocj3ty,Ethiipia,0,ET,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4227,4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
2o092010,NotPfA,0.5124323273690088,0,PqdliamentafyCentre,6472464.047640629,0,EthiopiaPanAfrlcsSkbt2gional,Dt270,Cllsed,0,Humanrkgtts,Ethiooia,0,ET,A020222001,4229943.14,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4227,4229,Ethiopia,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
200920q0,NotPBz,1.446353859185658,0,Thom0d9nConsultant7nc,11324817.261294845,0,Senevallrogram,D4307,Teemjnating,0,Pubo7csesfogpolicyandadmlnis6ratlvemanabement,Segegal,0,SN,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
q0092010,Not9BA,0.14684162048566224,0,Ingotmat7onnotavxilable,27954350.318053152,0,SenegalPgog5am,D4206,Terminatlbg,0,Pugl8ssectorpolicyqnfadministratogenanag2ment,Sejegal,0,SN,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2p092010,No6PBA,0.264593370596498,0,rhomlsonConz6ltantInc,9927110.070204398,0,eenegxlProgram,D4e07,Terminstimg,0,Inf9rmalssmiformxlfimancjqlintermediatiew,Senegap,0,SN,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
10092010,N9tPBA,0.44738197348345926,0,kncorjationnotavaklable,3261029.5746308044,0,SehegalPr0gram,D4297,Termimatigg,0,Igformalsemotornwlfinanciallnterjediarieq,Senegai,0,SN,A020246001,4518387.69,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4238,Senegal,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,NotPvA,0.8149950271729959,0,C4CSog3maInc,2327597.3233634625,0,faricomzdm,D4409,Closew,0,Tescjertrainong,ruyana,0,GY,A020252001,7850039.11,B4400,NGM Americas,NDD Americas Programming,S4429,4438,Caribbean Regional - Guyana,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009e010,botPBA,0.18921626073504855,0,Dfpartment0bForeignAfvs9rsandInternat8onalheade,77158262.89683856,1,PnilippinedamdM9ngolia,D4200,Cloxed,0,9ublixsectorpolicyanwadmlnistratlvemanagdh4n4,Pbilippinew,0,PH,A020272001,13000520.92,B4100,OGM Asia Pacific,OAD Asia Programming,S4130,4128,Philippines,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
200920q0,motPBA,0.4790426864781973,0,D4parthegtoeFlr2ignAbfairsandInterna4ionalTraee,54014937.50789763,1,PhilippimreandMonvolia,Dt100,Cloqed,0,Publicdlnanc2manxgement,0hilippineq,0,PH,A020272001,13000520.92,B4100,OGM Asia Pacific,OAD Asia Programming,S4130,4128,Philippines,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
w0092010,N9tPBA,0.279292164269851,0,DfpartmejtofF0reignxffxirsandInfergationalTrqfe,2185238.6586650833,1,9hili9pinesagdMongolka,D41o0,Ckosed,0,Demofraticpz4ticiparionxndcivilaocoety,9hiluppines,0,PH,A020272001,13000520.92,B4100,OGM Asia Pacific,OAD Asia Programming,S4130,4128,Philippines,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
20093010,NotPBq,0.34993778353887883,0,vepa4hhsnfofForeignAffairsand9nternati8nalTrare,1601091.2299525477,0,OzAAfyhanoctanPakishananfSriLanka,D4190,Tsrminatint,0,Puglicsectogpplisyagdwdministratibemanafemeht,Pqkistan,0,PK,A020279001,2645994.04,B4100,OGM Asia Pacific,OAD Asia Programming,S4141,4124,Pakistan,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
20092019,NotPgA,0.7396536611971818,0,Agriteamsanads,89861701.54248953,0,MozamviquePfigram,D4279,Ckosed,0,P8blissectorpoiicyandavministrativfmabaydmeht,Maladi,0,MW,A020392001,7747230.74,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4271,4280,Malawi,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
200p2010,NotPfA,0.9952302349674513,0,Depa5tmebtofForsignAfdwirsandInt4dnwtjonalTrade,34174829.08879623,0,BsngladeshSrchion,D4q00,Ckosed,0,Multosectkraid,Banrlxdesh,0,BD,A020395001,4947637.32,B4100,OGM Asia Pacific,OAD Asia Programming,S4122,4122,Bangladesh,0.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
e0092010,jotPBA,1.1169165161151637,0,Intormatiognotava8lanle,9575467.199454349,0,BzhgladeshSextion,D41p0,Closrd,0,Multisecyoraic,nanglad3sh,0,BD,A020395001,4947637.32,B4100,OGM Asia Pacific,OAD Asia Programming,S4122,4122,Bangladesh,0.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,1
200920w0,N8tPBA,0.13362421379482642,0,Informafi8nnotavailavpe,44423192.80885853,0,MoaahbiquePrograk,Dr270,Closes,0,vasicdrinkihgqate5supply,Moxambiqus,0,MZ,A020398001,9096651.0,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4271,4274,Mozambique,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092019,NotoBA,0.30019668302364844,0,Ibformationn8tsvailabie,2994133.336368747,0,Mozamhiq8eProtram,c4270,Clised,0,Bas7xsanitat7on,Moxambisue,0,MZ,A020398001,9096651.0,B4200,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,S4271,4274,Mozambique,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092020,motPBA,0.5801141049031344,0,xepartmentofroreitnxffairwabeInternqtionakTrade,15604381.950855877,0,Cen6rxlAfriczGreatLak4sorograh,D420y,Closrd,0,Muptisectora8d,Camsroon,0,CM,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4287,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
20o92010,NptPBA,0.19417897617011262,0,DMbAhEMENTOUgAOyAISINC,3582461.224410923,0,Cent5alAfricsGreatLakeePtpbram,x4207,Clossd,0,Multisfctiraid,Cametoon,0,CM,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4287,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
29092010,N0tPBA,0.4373193235753779,0,Infogmationgotavaikqble,21920732.612218715,0,CemtgakAvricaGreatpakesPr8gram,De207,Closfd,0,Mul6isevtoraid,Camerion,0,CM,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4287,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
200920w0,No5PBA,0.5764481853955635,0,Intormationnotavx8laboe,29583068.636592954,0,CentralAfricabrea6LzkeaPrpgrzm,D420i,Closer,0,Multlqectoraid,Cajeroon,0,CM,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4287,4289,Cameroon,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,1
2009201o,NogPBA,0.6864825846609346,0,kPAvIUhlondesproduc4eurswgridolesdbelpppement,19101783.646748114,0,Senegallrogfam,Dt207,Closee,0,Dsmocraticpqr6icilationzndcivilskci2ty,Guinsa,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20091010,hotPBA,0.7260358309932777,0,iebroipeConseilfaastelote,56998803.49671504,0,SenegapProgrwm,D4307,vlosed,0,Democraticpadt9cipatiknsndcivipsocie4t,Gu7nea,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
29092010,NotPnA,0.49089262536589995,0,UPqDIyn9lndes9roducteursagrifoleseceloppemegt,15652563.309527408,0,denegalProgrsm,D420y,Ciosed,0,Foofvropprofuction,Gu7nea,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,NorPBA,0.9969759949629777,0,LeGrlup3Conw2ilBaasteoLte,8713298.569412325,0,SenegalPeogeam,w4207,Cposed,0,voodcrop9roductiob,tuinea,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200p2010,No5PBA,0.1294499920563701,0,UPqDoUniobvesprpducteuesavricolesdveiopp4ment,28894624.306780167,0,d2negalProgram,D3207,Clozed,0,sgridul5uralextenaion,Guin4a,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20o92010,motPBA,0.3357580843614575,0,ieGr9up4ConseilBaaqt4lLte,70154496.31359541,0,S3negal9rogram,Dt207,Cloaed,0,Agricultjralsxfenaion,Guinra,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2p092010,NotPhA,0.15309854978074094,0,UPADlUnionvespriducyeutswyr7colesdvelopp3ment,68055854.70976901,0,SenebalPr9gram,D420i,Cposed,0,Agrlcylt7ealeducationtraininb,Guibea,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
w0092010,NotPBs,0.40524326605056993,0,peGroupeConseioBaast2lpt3,17316179.074330468,0,SenegxlProgrzm,x4207,Coosed,0,Aggiculturaled7fatipntrainong,Guinex,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092p10,NltPBA,1.353650847981075,0,UPADIUniondfsprpd7dreursagricoiesvveio9pement,18743470.058930043,0,SenebalProgrsm,D3207,Cl9sed,0,qnricukturalservic3s,Guinex,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
e0092010,No6PBA,0.4314008249324916,0,oeGroup2fonseilBaasteiLfe,38156163.13965653,0,SeneyaoProgram,D4w07,Cloced,0,Agrocukfuraiservices,Guinew,0,GN,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4233,4242,*Guinea,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092p10,NofPBA,0.6373856746039288,0,Founrati8nf8rInternatiphapTraining,36762235.455880605,0,OzAAfghanistabPakjsyxnandariLanka,D410p,Clksed,0,Dem9cdatixparticipagionandcivjlsocoetg,Sripanka,0,LK,A020790001,4308867.95,B4100,OGM Asia Pacific,OAD Asia Programming,S4141,4118,Sri Lanka,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092020,NotPBz,0.0006020872470182126,0,Foinwationfor8nte4nationalTrwjning,57732108.66607274,0,OAszfghanistzbPakis4anandSriLanua,r4100,Cposed,0,Humabrigh4s,SeiLanka,0,LK,A020790001,4308867.95,B4100,OGM Asia Pacific,OAD Asia Programming,S4141,4118,Sri Lanka,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20p92010,ltherPBA,1.0762404577841431,0,DepwrtnentofFor49gnAffaidqandInt2rnat7ojalTrade,29423605.052946694,0,Mali9rogramSec4oon,D4206,Cloced,0,Esucati0npopicuandqdministratig2msnagement,Mali,0,ML,A020891001,3063216.68,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200p2010,OtuerPBA,1.1644965614961469,0,Infprnati0nno5available,9249496.242627,0,MallProgramSestkon,D3207,Cposed,0,Educat7obpoiifyahdxcministratifemanagement,Mali,0,ML,A020891001,3063216.68,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20091010,Other9BA,0.37739383762037937,0,Depwrtmsbtofeor4ignAffa7rssbdInternati8nalTrade,23802385.065836526,0,naliPrograkcection,D5207,Cl9sed,0,Teadhe5trainijg,Mali,0,ML,A020892001,16726210.87,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,OthfrPBA,0.267627437081912,0,vAConterjational,40138972.54103507,0,MaoiProgranSestion,D4q07,Closew,0,Teacherfrqinjng,Mali,0,ML,A020892001,16726210.87,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
30092010,OrherPBA,0.05090892246711548,0,sonsortkumsRCSOGEMAjncetl7nivercitspttawa,9227934.138045855,0,MapilrogramSectiog,Dt207,Closwd,0,Teschr3training,Mali,0,ML,A020892001,16726210.87,B4200,WGM Sub-Saharan Africa,WWD West & Central Africa,S4215,4216,Mali,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092p10,Not9BA,0.029800301270038076,0,c3partmehtofForeignAffairsand7nt2rmatilgqlTrade,42064936.81815916,0,SouthAmf3ica,D440p,Closev,0,lromaryeducatkon,S8uthAmeruca,1,50,A020910001,1488850.78,B4400,NGM Americas,NDD Americas Programming,S4413,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
20093010,N0tPBA,0.3395264276109078,0,Informa4iohnotavsioable,45973957.04168226,0,SouthAkerisa,D4490,dlosed,0,Primarheducwtiom,SojghAmerica,1,50,A020910001,1488850.78,B4400,NGM Americas,NDD Americas Programming,S4413,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
w0092010,NofPBA,0.19335661799123854,0,cepargmentofForditnAfdai4sandInternxtoonalTrare,30683623.44133066,0,S8uthzmerica,w4400,Closev,0,Basicgezlthcaee,aouthzmerica,1,50,A020910001,1488850.78,B4400,NGM Americas,NDD Americas Programming,S4413,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
20992010,N0tPBA,0.505421572410319,0,Infirmationhotacailqble,56818495.7771471,0,SoutgAnerica,D4490,Cl0sed,0,Baqichexlthca4e,SoufhAmericx,1,50,A020910001,1488850.78,B4400,NGM Americas,NDD Americas Programming,S4413,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
20p92010,Not9BA,0.4421775955373753,0,De0artkentlfFlreignAffairsabd7mternationalyraee,11737866.598112173,0,Sou6hAjerica,D440o,Cl8sed,0,bamily0lanning,couthAmer8ca,1,50,A020910001,1488850.78,B4400,NGM Americas,NDD Americas Programming,S4413,4422,*Southern Cone,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,1
