assays_assay_id,assays_assay_organism,assays_tid,assays_tissue_id,assays_assay_category,assays_src_id,assays_assay_test_type,assays_src_assay_id,assays_curated_by,assays_doc_id,assays_description,assays_assay_subcellular_fraction,assays_relationship_type,assays_assay_cell_type,assays_assay_type,assays_assay_strain,assays_chembl_id,assays_cell_id,assays_bao_format,assays_variant_id
7541,Rattus norvegicus,50597,,,1,,,Intermediate,5353,Half life in Dawley rat,,N,,A,,CHEMBL618662,,BAO_0000218,
7542,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,2864,Half life period after 3 mg/kg iv administration,,N,,A,,CHEMBL618663,,BAO_0000218,
7543,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,2864,Half life period after 3 mg/kg iv administration in rat,,N,,A,,CHEMBL618664,,BAO_0000218,
7544,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,2864,Half life period after 3 mg/kg iv administration in the rat,,N,,A,,CHEMBL618665,,BAO_0000218,
7545,Rattus norvegicus,50597,,,1,,,Intermediate,6362,Half life period in female Sprague-Dawley rats,,N,,A,,CHEMBL876498,,BAO_0000218,
7546,Rattus norvegicus,50597,,,1,,,Intermediate,6249,Half life period in rat,,N,,A,,CHEMBL618666,,BAO_0000218,
7547,Rattus norvegicus,50597,,,1,,,Intermediate,3169,Half-life in rats was determined,,N,,A,,CHEMBL620440,,BAO_0000218,
7548,Rattus norvegicus,50597,,,1,,,Intermediate,3169,Half-life in rats with metabolic oxidation,,N,,A,,CHEMBL620441,,BAO_0000218,
7549,Rattus norvegicus,50597,,,1,,,Intermediate,3169,Half-life in rats,,N,,A,,CHEMBL620442,,BAO_0000218,
7550,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17260,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,N,,A,,CHEMBL620443,,BAO_0000218,
7551,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17260,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,N,,A,,CHEMBL620444,,BAO_0000218,
7552,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17260,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,N,,A,,CHEMBL620445,,BAO_0000218,
7553,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17260,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,N,,A,,CHEMBL620446,,BAO_0000218,
7554,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,2879,Biological half-life measured in plasma of rat,,N,,A,,CHEMBL620447,,BAO_0000218,
7555,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,2879,Biological half-life measured in plasma of rat; 22-25,,N,,A,,CHEMBL621129,,BAO_0000218,
7556,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,2879,Biological half-life measured in plasma of rat; 9-16,,N,,A,,CHEMBL621130,,BAO_0000218,
7557,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,3184,Compound was evaluated for its half life when administered intravenously in rat,,N,,A,,CHEMBL873808,,BAO_0000218,
7558,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,4891,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,N,,A,,CHEMBL876598,,BAO_0000218,
7559,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,429,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,N,,A,,CHEMBL621131,,BAO_0000218,
7560,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,5656,Half life (T1/2) after oral administration in rat,,N,,A,,CHEMBL621132,,BAO_0000218,
7561,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,4413,Half life of compound after iv administration of 20 mg/kg dose in rat,,N,,A,,CHEMBL621133,,BAO_0000218,
7562,Rattus norvegicus,50597,,,1,In vivo,,Expert,3598,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,N,,A,,CHEMBL621312,,BAO_0000218,
7563,Rattus norvegicus,50597,,,1,,,Intermediate,17267,Half life of compound was determined in rat,,N,,A,,CHEMBL621313,,BAO_0000218,
7564,Rattus norvegicus,50597,178.0,,1,,,Intermediate,4727,Half life of compound was determined in rat blood,,N,,A,,CHEMBL621314,,BAO_0000218,
7565,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17651,Half life at 1 mg/kg was determined in rat,,N,,A,,CHEMBL621315,,BAO_0000218,
7566,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17651,Half life at 10 mg/kg was determined in rat,,N,,A,,CHEMBL621316,,BAO_0000218,
7567,Rattus norvegicus,50597,,,1,,,Intermediate,401,Half life in rats,,N,,A,,CHEMBL621317,,BAO_0000218,
7568,Rattus norvegicus,50597,,,1,,,Intermediate,4942,Half life in rats in hours,,N,,A,,CHEMBL621318,,BAO_0000218,
7569,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17735,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,N,,A,,CHEMBL621319,,BAO_0000218,
7570,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,6056,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,N,,A,,CHEMBL621377,,BAO_0000218,
7571,Rattus norvegicus,50597,,,1,,,Intermediate,5213,Half life was determined,,N,,A,,CHEMBL621378,,BAO_0000218,
7572,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,6616,Half life after i.v. administration,,N,,A,,CHEMBL876599,,BAO_0000218,
7573,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,5937,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,N,,A,,CHEMBL621379,,BAO_0000218,
7574,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,5819,Half life in rat plasma,,N,,A,,CHEMBL621380,,BAO_0000218,
7575,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,5819,Half life in rat plasma; Not detected,,N,,A,,CHEMBL621381,,BAO_0000218,
7576,Rattus norvegicus,50597,,,1,,,Intermediate,6803,Half life in rats,,N,,A,,CHEMBL618515,,BAO_0000218,
7577,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17804,Half life period of compound was determined after peroral administration,,N,,A,,CHEMBL618516,,BAO_0000218,
7578,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17804,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,N,,A,,CHEMBL618517,,BAO_0000218,
7579,Rattus norvegicus,50597,,,1,,,Intermediate,5948,Half life period in rat,,N,,A,,CHEMBL618518,,BAO_0000218,
7580,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,1916,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,N,,A,,CHEMBL618519,,BAO_0000218,
7581,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,1916,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,N,,A,,CHEMBL618698,,BAO_0000218,
7582,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,1916,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,N,,A,,CHEMBL618862,,BAO_0000218,
7583,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,4890,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,N,,A,,CHEMBL618863,,BAO_0000218,
7584,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17764,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,N,,A,,CHEMBL618864,,BAO_0000218,
7585,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,4727,Half life time in rat the dose of 2 mg/kg,,N,,A,,CHEMBL618865,,BAO_0000218,
7586,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17509,Half-life 24 hr after 10 mg/kg iv administration in rats,,N,,A,,CHEMBL618866,,BAO_0000218,
7587,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17509,Half-life 24 hr after 2 mg/kg iv administration in rats,,N,,A,,CHEMBL618867,,BAO_0000218,
7588,Rattus norvegicus,50597,,,1,,,Intermediate,6597,Half-life consistent with the observed metabolic steady state in rats,,N,,A,,CHEMBL875828,,BAO_0000218,
7589,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17735,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,N,,A,,CHEMBL618868,,BAO_0000218,
7590,Rattus norvegicus,50597,,,1,,,Intermediate,6597,Half-life for oxidative metabolic stability was determined using male human,,N,,A,,CHEMBL618869,,BAO_0000218,
7591,Rattus norvegicus,50597,,,1,In vivo,,Intermediate,17670,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,N,,A,,CHEMBL618870,,BAO_0000218,
7592,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,1696,Half-life in rat plasma,,N,,A,,CHEMBL618871,,BAO_0000218,
7593,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,1742,Half-life in rat plasma was determined,,N,,A,,CHEMBL618872,,BAO_0000218,
7594,Rattus norvegicus,50597,,,1,,,Intermediate,17800,Half-life in rats was determined,,N,,A,,CHEMBL873816,,BAO_0000218,
7595,,22224,,,1,,,Autocuration,12923,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,U,,A,,CHEMBL618873,,BAO_0000218,
7596,,22224,,,1,,,Autocuration,11954,Area under curve after oral dose of 0.1 mg//kg,,U,,A,,CHEMBL621602,,BAO_0000019,
7597,,22224,,,1,,,Autocuration,11954,Area under curve after oral dose of 0.3 mg/kg,,U,,A,,CHEMBL621603,,BAO_0000218,
7598,,22224,,,1,,,Autocuration,11954,Area under curve after oral dose of 1 mg/kg,,U,,A,,CHEMBL621604,,BAO_0000218,
7599,,22224,,,1,,,Autocuration,11954,Area under curve after oral dose of 10 mg/kg,,U,,A,,CHEMBL621605,,BAO_0000218,
7600,,22224,,,1,,,Autocuration,11954,Area under curve after oral dose of 23.4 mg/kg,,U,,A,,CHEMBL621606,,BAO_0000218,
7601,,22224,,,1,,,Autocuration,11954,Area under curve after oral dose of 3 mg/kg,,U,,A,,CHEMBL621607,,BAO_0000218,
7602,,22224,,,1,,,Autocuration,11954,Area under curve after oral dose of 3.87 mg/kg,,U,,A,,CHEMBL621608,,BAO_0000218,
7603,,22224,,,1,,,Autocuration,5237,Area under curve was determined,,U,,A,,CHEMBL621609,,BAO_0000019,
7604,,22224,,,1,,,Autocuration,4026,Area under curve at a dose of 10 mg/kg,,U,,A,,CHEMBL621610,,BAO_0000218,
7605,Rattus norvegicus,50597,,,1,,,Intermediate,5237,Area under curve was determined; ND=No data,,N,,A,,CHEMBL621611,,BAO_0000218,
7606,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL621612,,BAO_0000218,
7607,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,N,,A,,CHEMBL622308,,BAO_0000218,
7608,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL622309,,BAO_0000218,
7609,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,N,,A,,CHEMBL622310,,BAO_0000218,
7610,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL622311,,BAO_0000218,
7611,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,N,,A,,CHEMBL622312,,BAO_0000218,
7612,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL622931,,BAO_0000218,
7613,Rattus norvegicus,50597,,,1,,,Intermediate,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,N,,A,,CHEMBL622932,,BAO_0000218,
7614,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL622736,,BAO_0000218,
7615,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,N,,A,,CHEMBL622737,,BAO_0000218,
7616,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL622738,,BAO_0000218,
7617,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,N,,A,,CHEMBL622739,,BAO_0000218,
7618,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL622740,,BAO_0000218,
7619,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,N,,A,,CHEMBL622741,,BAO_0000218,
7620,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,N,,A,,CHEMBL622742,,BAO_0000218,
7621,Rattus norvegicus,50597,1969.0,,1,,,Intermediate,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,N,,A,,CHEMBL622743,,BAO_0000218,
7622,Mus musculus,50594,1969.0,,1,,,Intermediate,11637,AUC in mice,,N,,A,,CHEMBL622744,,BAO_0000218,
7623,,22224,,,1,,,Autocuration,11149,Area under curve was measured from the graph obtained from concentration Vs time,,U,,A,,CHEMBL624134,,BAO_0000019,
7624,,22224,,,1,,,Autocuration,10016,Area under curve value of compound per hour after oral administration,,U,,A,,CHEMBL624135,,BAO_0000019,
7625,Rattus norvegicus,50597,,,1,,,Intermediate,17796,Area under curve was determined after oral administration in rats,,N,,A,,CHEMBL624136,,BAO_0000218,
7626,Rattus norvegicus,50597,,,1,,,Intermediate,17796,Area under curve was determined after oral administration in rats; No data,,N,,A,,CHEMBL624137,,BAO_0000218,
7627,Rattus norvegicus,50597,,,1,,,Intermediate,17796,Area under curve was determined after oral administration in rats;No data,,N,,A,,CHEMBL624320,,BAO_0000218,
7628,Canis lupus familiaris,50588,,,1,,,Intermediate,12923,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,N,,A,,CHEMBL624321,,BAO_0000218,
7629,Rattus norvegicus,50597,,,1,,,Intermediate,15372,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,N,,A,,CHEMBL624322,,BAO_0000218,
7630,Rattus norvegicus,50597,,,1,,,Intermediate,15372,Area under curve was determined for the compound after iv dose of 5.06 in rats,,N,,A,,CHEMBL624323,,BAO_0000218,
7631,Rattus norvegicus,50597,,,1,,,Intermediate,15372,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,N,,A,,CHEMBL624324,,BAO_0000218,
7632,Rattus norvegicus,50597,,,1,,,Intermediate,15372,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,N,,A,,CHEMBL624325,,BAO_0000218,
7633,Rattus norvegicus,50597,,,1,,,Intermediate,15372,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,N,,A,,CHEMBL624326,,BAO_0000218,
7634,Rattus norvegicus,50597,,,1,,,Intermediate,15372,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,N,,A,,CHEMBL624327,,BAO_0000218,
7635,Rattus norvegicus,50597,,,1,,,Intermediate,15372,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,N,,A,,CHEMBL624328,,BAO_0000218,
7636,Canis lupus familiaris,50588,,,1,,,Intermediate,14169,Area under curve was determined in Dogs after peroral administration,,N,,A,,CHEMBL627848,,BAO_0000218,
7637,Rattus norvegicus,50597,,,1,,,Intermediate,14169,Area under curve was determined in Rats after peroral administration,,N,,A,,CHEMBL627849,,BAO_0000218,
7638,Rattus norvegicus,50597,,,1,,,Intermediate,14258,Area under curve was determined in carotid blood of rat when administered intradermally,,N,,A,,CHEMBL627850,,BAO_0000218,
7639,Rattus norvegicus,50597,,,1,,,Intermediate,14258,Area under curve was determined in portal blood of rat when administered intradermally,,N,,A,,CHEMBL627851,,BAO_0000218,
7640,Mus musculus,50594,,,1,,,Intermediate,15011,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,N,,A,,CHEMBL627852,,BAO_0000218,
7641,Mus musculus,50594,,,1,,,Intermediate,15011,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,N,,A,,CHEMBL627853,,BAO_0000218,
7642,Mus musculus,50594,,,1,,,Intermediate,15011,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,N,,A,,CHEMBL627854,,BAO_0000218,
7643,Mus musculus,50594,,,1,,,Intermediate,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,N,,A,,CHEMBL627855,,BAO_0000218,
7644,Mus musculus,50594,,,1,,,Intermediate,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,N,,A,,CHEMBL627856,,BAO_0000218,
7645,Mus musculus,50594,,,1,,,Intermediate,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,N,,A,,CHEMBL875339,,BAO_0000218,
7646,Mus musculus,50594,,,1,,,Intermediate,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,N,,A,,CHEMBL627857,,BAO_0000218,
7647,Rattus norvegicus,50597,2106.0,,1,In vivo,,Intermediate,11195,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,N,,A,,CHEMBL627858,,BAO_0000218,
7648,Rattus norvegicus,50597,178.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,N,,A,,CHEMBL627859,,BAO_0000218,
7649,Rattus norvegicus,50597,955.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,N,,A,,CHEMBL627860,,BAO_0000218,
7650,Rattus norvegicus,50597,948.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,N,,A,,CHEMBL627019,,BAO_0000218,
7651,Rattus norvegicus,50597,2107.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,N,,A,,CHEMBL627020,,BAO_0000218,
7652,Rattus norvegicus,50597,2048.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,N,,A,,CHEMBL627021,,BAO_0000218,
7653,Rattus norvegicus,50597,2385.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,N,,A,,CHEMBL627022,,BAO_0000218,
7654,Rattus norvegicus,50597,,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,N,,A,,CHEMBL627023,,BAO_0000218,
7655,Rattus norvegicus,50597,2106.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,N,,A,,CHEMBL627024,,BAO_0000218,
7656,Rattus norvegicus,50597,2046.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,N,,A,,CHEMBL627025,,BAO_0000218,
7657,Rattus norvegicus,50597,2113.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,N,,A,,CHEMBL627026,,BAO_0000218,
7658,Rattus norvegicus,50597,178.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,N,,A,,CHEMBL627027,,BAO_0000218,
7659,Rattus norvegicus,50597,955.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,N,,A,,CHEMBL627028,,BAO_0000218,
7660,Rattus norvegicus,50597,948.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,N,,A,,CHEMBL627029,,BAO_0000218,
7661,Rattus norvegicus,50597,2113.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,N,,A,,CHEMBL627030,,BAO_0000218,
7662,Rattus norvegicus,50597,2107.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,,N,,A,,CHEMBL627031,,BAO_0000218,
7663,Rattus norvegicus,50597,2048.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,,N,,A,,CHEMBL627032,,BAO_0000218,
7664,Rattus norvegicus,50597,2385.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,,N,,A,,CHEMBL627033,,BAO_0000218,
7665,Rattus norvegicus,50597,,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,N,,A,,CHEMBL627034,,BAO_0000218,
7666,Rattus norvegicus,50597,2106.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,,N,,A,,CHEMBL627035,,BAO_0000218,
7667,Rattus norvegicus,50597,2046.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,,N,,A,,CHEMBL627036,,BAO_0000218,
7668,Rattus norvegicus,50597,178.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,,N,,A,,CHEMBL875340,,BAO_0000218,
7669,Rattus norvegicus,50597,948.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,,N,,A,,CHEMBL627037,,BAO_0000218,
7670,Rattus norvegicus,50597,2113.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,,N,,A,,CHEMBL627038,,BAO_0000218,
7671,Rattus norvegicus,50597,2107.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,,N,,A,,CHEMBL627039,,BAO_0000218,
7672,Rattus norvegicus,50597,2385.0,,1,,,Intermediate,10130,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,,N,,A,,CHEMBL627040,,BAO_0000218,
