Fiscal year,Maximum CIDA contribution (project-level),Disability issues (marker),CountryRegion ID,Youth issues (marker),Gender equality (marker),Trade development (marker),Bilateral aid (international marker),FSTC percent,Status,Enviromental sustainability (marker),Organisation type,Sector ID,Knowledge for development (marker),Biodiversity (marker),Project number,Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,25010,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,32110,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,32130,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,32182,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,41010,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,16700508.62,0,EG,0,0,0,1,1.0,Closed,1,Canadian Profit Making,41020,0,0,A019608001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,Egypt,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,328400.96,0,DZ,0,2,0,1,0.998334353,Closed,0,Canadian Non-Profit Making,43010,0,0,A020161001,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4259,*Algeria,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4610501.0,0,HT,0,3,0,1,1.0,Closed,0,Canadian Non-Profit Making,15150,0,0,A020195001,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4610501.0,0,HT,0,3,0,1,1.0,Closed,0,Canadian Non-Profit Making,15160,0,0,A020195001,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4229943.14,0,ET,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,15110,0,0,A020222001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4229943.14,0,ET,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,15111,0,0,A020222001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4229943.14,0,ET,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,15130,0,0,A020222001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4229943.14,0,ET,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,15150,0,0,A020222001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4229943.14,0,ET,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,15160,0,0,A020222001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4518387.69,0,SN,0,2,0,1,1.0,Terminating,0,Canadian Profit Making,15110,0,0,A020246001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4518387.69,0,SN,0,2,0,1,1.0,Terminating,0,Canadian Profit Making,15110,0,0,A020246001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4518387.69,0,SN,0,2,0,1,1.0,Terminating,0,Canadian Profit Making,24040,0,0,A020246001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4518387.69,0,SN,0,2,0,1,1.0,Terminating,0,Canadian Profit Making,24040,0,0,A020246001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,7850039.11,0,GY,0,0,0,1,1.0,Closed,0,Canadian Profit Making,11130,0,0,A020252001,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4438,Caribbean Regional - Guyana,7850039.11,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,13000520.92,0,PH,0,1,0,1,1.0,Closed,1,Canadian Non-Profit Making,15110,0,0,A020272001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,13000520.92,0,PH,0,1,0,1,1.0,Closed,1,Canadian Non-Profit Making,15111,0,0,A020272001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,13000520.92,0,PH,0,1,0,1,1.0,Closed,1,Canadian Non-Profit Making,15150,0,0,A020272001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2645994.04,0,PK,0,1,0,1,1.0,Terminating,0,Canadian Non-Profit Making,15110,0,0,A020279001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,7747230.74,0,MW,0,1,0,1,1.0,Closed,0,Canadian Profit Making,15110,0,0,A020392001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,Malawi,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4947637.32,0,BD,0,0,0,1,0.5,Closed,0,Canadian Non-Profit Making,43010,0,0,A020395001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4947637.32,0,BD,0,0,0,1,0.5,Closed,0,Uncoded,43010,0,0,A020395001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,9096651.0,0,MZ,0,0,0,1,1.0,Closed,0,Canadian Profit Making,14031,0,0,A020398001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,9096651.0,0,MZ,0,0,0,1,1.0,Closed,0,Canadian Profit Making,14032,0,0,A020398001,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2457111.5,0,CM,0,2,0,1,1.0,Closed,1,Canadian Non-Profit Making,43010,0,0,A020449003,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2457111.5,0,CM,0,2,0,1,1.0,Closed,1,Canadian Profit Making,43010,0,0,A020449003,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2457111.5,0,CM,0,2,0,1,1.0,Closed,1,Canadian Profit Making,43010,0,0,A020449003,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2457111.5,0,CM,0,2,0,1,1.0,Closed,1,Uncoded,43010,0,0,A020449003,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,15150,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Profit Making,15150,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,31161,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Profit Making,31161,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,31166,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Profit Making,31166,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,31181,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Profit Making,31181,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,31191,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,11427061.07,0,GN,0,0,0,1,1.0,Closed,0,Canadian Profit Making,31191,0,0,A020715001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4308867.95,0,LK,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,15150,0,0,A020790001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,4308867.95,0,LK,0,0,0,1,1.0,Closed,0,Canadian Non-Profit Making,15160,0,0,A020790001,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3063216.68,0,ML,0,2,0,1,0.0,Closed,0,Canadian Non-Profit Making,11110,0,0,A020891001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,3063216.68,0,ML,0,2,0,1,0.0,Closed,0,Uncoded,11110,0,0,A020891001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,16726210.87,0,ML,0,2,0,1,1.0,Closed,0,Canadian Non-Profit Making,11130,0,0,A020892001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,16726210.87,0,ML,0,2,0,1,1.0,Closed,0,Canadian Profit Making,11130,0,0,A020892001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,16726210.87,0,ML,0,2,0,1,1.0,Closed,0,Canadian Profit Making,11130,0,0,A020892001,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,11220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,11220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,12220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,12220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,13030,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,13030,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,15110,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,15110,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,11220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,11220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,12220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,12220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,13030,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,13030,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,15110,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,15110,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,11220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,11220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,12220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,12220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,13030,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,13030,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,15110,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Uncoded,15110,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1488850.78,0,50,0,0,0,1,1.0,Closed,1,Canadian Non-Profit Making,11220,0,0,A020910001,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,0,0
