assays_description,assays_assay_id,assays_assay_category,assays_chembl_id,assays_tid,assays_bao_format,assays_assay_cell_type,assays_cell_id,assays_assay_test_type,assays_src_id,assays_assay_strain,assays_tissue_id,assays_assay_organism,assays_variant_id,assays_assay_tax_id,assays_confidence_score,assays_curated_by,assays_relationship_type,assays_assay_type,assays_assay_tissue,assays_doc_id,assays_assay_subcellular_fraction,assays_src_assay_id
Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,7613,,CHEMBL622932,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14793,,
Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,7614,,CHEMBL622736,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,7615,,CHEMBL622737,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,7616,,CHEMBL622738,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,7617,,CHEMBL622739,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,7618,,CHEMBL622740,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,7619,,CHEMBL622741,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,7620,,CHEMBL622742,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,7621,,CHEMBL622743,50597,BAO_0000218,,,,1,,1969.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Plasma,14793,,
AUC in mice,7622,,CHEMBL622744,50594,BAO_0000218,,,,1,,1969.0,Mus musculus,,10090.0,1,Intermediate,N,A,Plasma,11637,,
Area under curve was measured from the graph obtained from concentration Vs time,7623,,CHEMBL624134,22224,BAO_0000019,,,,1,,,,,,0,Autocuration,U,A,,11149,,
Area under curve value of compound per hour after oral administration,7624,,CHEMBL624135,22224,BAO_0000019,,,,1,,,,,,0,Autocuration,U,A,,10016,,
Area under curve was determined after oral administration in rats,7625,,CHEMBL624136,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17796,,
Area under curve was determined after oral administration in rats; No data,7626,,CHEMBL624137,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17796,,
Area under curve was determined after oral administration in rats;No data,7627,,CHEMBL624320,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,17796,,
Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,7628,,CHEMBL624321,50588,BAO_0000218,,,,1,,,Canis lupus familiaris,,9615.0,1,Intermediate,N,A,,12923,,
Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,7629,,CHEMBL624322,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15372,,
Area under curve was determined for the compound after iv dose of 5.06 in rats,7630,,CHEMBL624323,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15372,,
Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,7631,,CHEMBL624324,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15372,,
Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,7632,,CHEMBL624325,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15372,,
Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,7633,,CHEMBL624326,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15372,,
Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,7634,,CHEMBL624327,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15372,,
Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,7635,,CHEMBL624328,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,15372,,
Area under curve was determined in Dogs after peroral administration,7636,,CHEMBL627848,50588,BAO_0000218,,,,1,,,Canis lupus familiaris,,9615.0,1,Intermediate,N,A,,14169,,
Area under curve was determined in Rats after peroral administration,7637,,CHEMBL627849,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14169,,
Area under curve was determined in carotid blood of rat when administered intradermally,7638,,CHEMBL627850,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14258,,
Area under curve was determined in portal blood of rat when administered intradermally,7639,,CHEMBL627851,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,14258,,
Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,7640,,CHEMBL627852,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,15011,,
Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,7641,,CHEMBL627853,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,15011,,
Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),7642,,CHEMBL627854,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,15011,,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,7643,,CHEMBL627855,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,15011,,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),7644,,CHEMBL627856,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,15011,,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,7645,,CHEMBL875339,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,15011,,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),7646,,CHEMBL627857,50594,BAO_0000218,,,,1,,,Mus musculus,,10090.0,1,Intermediate,N,A,,15011,,
Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,7647,,CHEMBL627858,50597,BAO_0000218,,,In vivo,1,,2106.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Spleen,11195,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,7648,,CHEMBL627859,50597,BAO_0000218,,,,1,,178.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Blood,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,7649,,CHEMBL627860,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,7650,,CHEMBL627019,50597,BAO_0000218,,,,1,,948.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Heart,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,7651,,CHEMBL627020,50597,BAO_0000218,,,,1,,2107.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Liver,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,7652,,CHEMBL627021,50597,BAO_0000218,,,,1,,2048.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Lung,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,7653,,CHEMBL627022,50597,BAO_0000218,,,,1,,2385.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Muscle tissue,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,7654,,CHEMBL627023,50597,BAO_0000218,,,,1,,,Rattus norvegicus,,10116.0,1,Intermediate,N,A,,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,7655,,CHEMBL627024,50597,BAO_0000218,,,,1,,2106.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Spleen,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,7656,,CHEMBL627025,50597,BAO_0000218,,,,1,,2046.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Thyroid gland,10130,,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,7657,,CHEMBL627026,50597,BAO_0000218,,,,1,,2113.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Kidney,10130,,
In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,7658,,CHEMBL627027,50597,BAO_0000218,,,,1,,178.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Blood,10130,,
In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,7659,,CHEMBL627028,50597,BAO_0000218,,,,1,,955.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Brain,10130,,
In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,7660,,CHEMBL627029,50597,BAO_0000218,,,,1,,948.0,Rattus norvegicus,,10116.0,1,Intermediate,N,A,Heart,10130,,
