film_id,categoria_id,nome_categoria,titolo,descrizione,data_rilascio,lingua,lingua_originale_id,durata_noleggio,tariffa_noleggio,durata,costo_sostituzione,voto
311,9,Foreign,FICTION CHRISTMAS,A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft,2006,English,,4,0.99,72,14.99,PG
246,9,Foreign,DOUBTFIRE LABYRINTH,A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert,2006,English,,5,4.99,154,16.99,R
782,15,Sports,SHAKESPEARE SADDLE,A Fast-Paced Panorama of a Lumberjack And a Database Administrator who must Defeat a Madman in A MySQL Convention,2006,English,,6,2.99,60,26.99,PG-13
724,8,Family,REMEMBER DIARY,A Insightful Tale of a Technical Writer And a Waitress who must Conquer a Monkey in Ancient India,2006,English,,5,2.99,110,15.99,R
18,2,Animation,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,English,,6,0.99,57,27.99,PG-13
339,16,Travel,FROGMEN BREAKING,A Unbelieveable Yarn of a Mad Scientist And a Cat who must Chase a Lumberjack in Australia,2006,English,,5,0.99,111,17.99,R
124,3,Children,CASPER DRAGONFLY,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,2006,English,,3,4.99,163,16.99,PG-13
791,6,Documentary,SHOW LORD,A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan,2006,English,,3,4.99,167,24.99,PG-13
699,10,Games,PRIVATE DROP,A Stunning Story of a Technical Writer And a Hunter who must Succumb a Secret Agent in A Baloon,2006,English,,7,4.99,106,26.99,PG
1000,5,Comedy,ZORRO ARK,A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery,2006,English,,3,4.99,50,18.99,NC-17
411,12,Music,HEAVENLY GUN,A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat,2006,English,,5,4.99,49,13.99,NC-17
192,9,Foreign,CROSSING DIVORCE,A Beautiful Documentary of a Dog And a Robot who must Redeem a Womanizer in Berlin,2006,English,,4,4.99,50,19.99,R
449,14,Sci-Fi,IDENTITY LOVER,A Boring Tale of a Composer And a Mad Cow who must Defeat a Car in The Outback,2006,English,,4,2.99,119,12.99,PG-13
951,4,Classics,VOYAGE LEGALLY,A Epic Tale of a Squirrel And a Hunter who must Conquer a Boy in An Abandoned Mine Shaft,2006,English,,6,0.99,78,28.99,PG-13
995,11,Horror,YENTL IDAHO,A Amazing Display of a Robot And a Astronaut who must Fight a Womanizer in Berlin,2006,English,,5,4.99,86,11.99,R
560,10,Games,MARS ROMAN,A Boring Drama of a Car And a Dog who must Succumb a Madman in Soviet Georgia,2006,English,,6,0.99,62,21.99,NC-17
190,4,Classics,CREEPERS KANE,A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat,2006,English,,5,4.99,172,23.99,NC-17
135,15,Sports,CHANCE RESURRECTION,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,2006,English,,3,2.99,70,22.99,R
497,6,Documentary,KILL BROTHERHOOD,A Touching Display of a Hunter And a Secret Agent who must Redeem a Husband in The Outback,2006,English,,4,0.99,54,15.99,G
214,3,Children,DAUGHTER MADIGAN,A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station,2006,English,,3,4.99,59,13.99,PG-13
845,9,Foreign,STEPMOM DREAM,A Touching Epistle of a Crocodile And a Teacher who must Build a Forensic Psychologist in A MySQL Convention,2006,English,,7,4.99,48,9.99,NC-17
504,7,Drama,KWAI HOMEWARD,A Amazing Drama of a Car And a Squirrel who must Pursue a Car in Soviet Georgia,2006,English,,5,0.99,46,25.99,PG-13
490,13,New,JUMANJI BLADE,A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans,2006,English,,4,2.99,121,13.99,G
992,6,Documentary,WRATH MILE,A Intrepid Reflection of a Technical Writer And a Hunter who must Defeat a Sumo Wrestler in A Monastery,2006,English,,5,0.99,176,17.99,NC-17
456,2,Animation,INCH JET,A Fateful Saga of a Womanizer And a Student who must Defeat a Butler in A Monastery,2006,English,,6,4.99,167,18.99,NC-17
659,1,Action,PARK CITIZEN,A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan,2006,English,,3,4.99,109,14.99,PG-13
315,8,Family,FINDING ANACONDA,A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans,2006,English,,4,0.99,156,10.99,R
957,9,Foreign,WAR NOTTING,A Boring Drama of a Teacher And a Sumo Wrestler who must Challenge a Secret Agent in The Canadian Rockies,2006,English,,7,4.99,80,26.99,G
523,4,Classics,LIGHTS DEER,A Unbelieveable Epistle of a Dog And a Woman who must Confront a Moose in The Gulf of Mexico,2006,English,,7,0.99,174,21.99,R
63,8,Family,BEDAZZLED MARRIED,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,2006,English,,6,0.99,73,21.99,PG
634,8,Family,ODDS BOOGIE,A Thrilling Yarn of a Feminist And a Madman who must Battle a Hunter in Berlin,2006,English,,6,0.99,48,14.99,NC-17
420,15,Sports,HOLES BRANNIGAN,A Fast-Paced Reflection of a Technical Writer And a Student who must Fight a Boy in The Canadian Rockies,2006,English,,7,4.99,128,27.99,PG
918,3,Children,TWISTED PIRATES,A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention,2006,English,,4,4.99,152,23.99,PG
505,3,Children,LABYRINTH LEAGUE,A Awe-Inspiring Saga of a Composer And a Frisbee who must Succumb a Pioneer in The Sahara Desert,2006,English,,6,2.99,46,24.99,PG-13
104,9,Foreign,BUGSY SONG,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,2006,English,,4,2.99,119,17.99,G
40,6,Documentary,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,English,,4,0.99,148,22.99,R
933,13,New,VAMPIRE WHALE,A Epic Story of a Lumberjack And a Monkey who must Confront a Pioneer in A MySQL Convention,2006,English,,4,4.99,126,11.99,NC-17
321,13,New,FLASH WARS,A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico,2006,English,,3,4.99,123,21.99,NC-17
688,3,Children,POLISH BROOKLYN,A Boring Character Study of a Database Administrator And a Lumberjack who must Reach a Madman in The Outback,2006,English,,6,0.99,61,12.99,PG
612,15,Sports,MUSSOLINI SPOILERS,A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China,2006,English,,6,2.99,180,10.99,G
76,12,Music,BIRDCAGE CASPER,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,2006,English,,4,0.99,103,23.99,NC-17
143,7,Drama,CHILL LUCK,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,2006,English,,6,0.99,142,17.99,PG
733,15,Sports,RIVER OUTLAW,A Thrilling Character Study of a Squirrel And a Lumberjack who must Face a Hunter in A MySQL Convention,2006,English,,4,0.99,149,29.99,PG-13
935,13,New,VANISHED GARDEN,A Intrepid Character Study of a Squirrel And a A Shark who must Kill a Lumberjack in California,2006,English,,5,0.99,142,17.99,R
414,9,Foreign,HELLFIGHTERS SIERRA,A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia,2006,English,,3,2.99,75,23.99,PG
727,8,Family,RESURRECTION SILVERADO,A Epic Yarn of a Robot And a Explorer who must Challenge a Girl in A MySQL Convention,2006,English,,6,0.99,117,12.99,PG
328,3,Children,FOREVER CANDIDATE,A Unbelieveable Panorama of a Technical Writer And a Man who must Pursue a Frisbee in A U-Boat,2006,English,,7,2.99,131,28.99,NC-17
389,15,Sports,GUNFIGHTER MUSSOLINI,A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan,2006,English,,3,2.99,127,9.99,PG-13
358,4,Classics,GILMORE BOILED,A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat,2006,English,,5,0.99,163,29.99,R
920,13,New,UNBREAKABLE KARATE,A Amazing Character Study of a Robot And a Student who must Chase a Robot in Australia,2006,English,,3,0.99,62,16.99,G
804,11,Horror,SLEEPING SUSPECTS,A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention,2006,English,,7,4.99,129,13.99,PG-13
225,7,Drama,DESTINATION JERK,A Beautiful Yarn of a Teacher And a Cat who must Build a Car in A U-Boat,2006,English,,3,0.99,76,19.99,PG-13
975,8,Family,WILLOW TRACY,A Brilliant Panorama of a Boat And a Astronaut who must Challenge a Teacher in A Manhattan Penthouse,2006,English,,6,2.99,137,22.99,R
119,5,Comedy,CAPER MOTIONS,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,2006,English,,6,0.99,176,22.99,G
195,14,Sci-Fi,CROWDS TELEMARK,A Intrepid Documentary of a Astronaut And a Forensic Psychologist who must Find a Frisbee in An Abandoned Fun House,2006,English,,3,4.99,112,16.99,R
262,8,Family,DUMBO LUST,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,2006,English,,5,0.99,119,17.99,NC-17
796,15,Sports,SIERRA DIVIDE,A Emotional Character Study of a Frisbee And a Mad Scientist who must Build a Madman in California,2006,English,,3,0.99,135,12.99,NC-17
5,8,Family,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,English,,6,2.99,130,22.99,G
485,3,Children,JERSEY SASSY,A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan,2006,English,,6,4.99,60,16.99,PG
217,10,Games,DAZED PUNK,A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park,2006,English,,6,4.99,120,20.99,G
26,14,Sci-Fi,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,English,,3,0.99,86,15.99,G
711,14,Sci-Fi,RAGING AIRPLANE,A Astounding Display of a Secret Agent And a Technical Writer who must Escape a Mad Scientist in A Jet Boat,2006,English,,4,4.99,154,18.99,R
87,16,Travel,BOONDOCK BALLROOM,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,English,,7,0.99,76,14.99,NC-17
509,3,Children,LANGUAGE COWBOY,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,2006,English,,5,0.99,78,26.99,NC-17
89,2,Animation,BORROWERS BEDAZZLED,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,2006,English,,7,0.99,63,22.99,G
526,16,Travel,LOCK REAR,A Thoughtful Character Study of a Squirrel And a Technical Writer who must Outrace a Student in Ancient Japan,2006,English,,7,2.99,120,10.99,R
248,6,Documentary,DOZEN LION,A Taut Drama of a Cat And a Girl who must Defeat a Frisbee in The Canadian Rockies,2006,English,,6,4.99,177,20.99,NC-17
202,5,Comedy,DADDY PITTSBURGH,A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico,2006,English,,5,4.99,161,26.99,G
258,11,Horror,DRUMS DYNAMITE,A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park,2006,English,,6,0.99,96,11.99,PG
19,1,Action,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,English,,6,0.99,113,20.99,PG
821,9,Foreign,SORORITY QUEEN,A Fast-Paced Display of a Squirrel And a Composer who must Fight a Forensic Psychologist in A Jet Boat,2006,English,,6,0.99,184,17.99,NC-17
82,8,Family,BLOOD ARGONAUTS,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,2006,English,,3,0.99,71,13.99,G
193,2,Animation,CROSSROADS CASUALTIES,A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback,2006,English,,5,2.99,153,20.99,G
571,6,Documentary,METAL ARMAGEDDON,A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory,2006,English,,6,2.99,161,26.99,PG-13
713,6,Documentary,RAINBOW SHOCK,A Action-Packed Story of a Hunter And a Boy who must Discover a Lumberjack in Ancient India,2006,English,,3,4.99,74,14.99,PG
178,5,Comedy,CONNECTION MICROCOSMOS,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,2006,English,,6,0.99,115,25.99,G
750,13,New,RUN PACIFIC,A Touching Tale of a Cat And a Pastry Chef who must Conquer a Pastry Chef in A MySQL Convention,2006,English,,3,0.99,145,25.99,R
160,2,Animation,CLUB GRAFFITI,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,2006,English,,4,0.99,65,12.99,PG-13
363,12,Music,GO PURPLE,A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon,2006,English,,3,0.99,54,12.99,R
23,2,Animation,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,English,,3,0.99,92,9.99,R
396,7,Drama,HANGING DEEP,A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin,2006,English,,5,4.99,62,18.99,G
665,11,Horror,PATTON INTERVIEW,A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin,2006,English,,4,2.99,175,22.99,PG
780,8,Family,SENSIBILITY REAR,A Emotional Tale of a Robot And a Sumo Wrestler who must Redeem a Pastry Chef in A Baloon Factory,2006,English,,7,4.99,98,15.99,PG
808,4,Classics,SLING LUKE,A Intrepid Character Study of a Robot And a Monkey who must Reach a Secret Agent in An Abandoned Amusement Park,2006,English,,5,0.99,84,10.99,R
771,7,Drama,SCORPION APOLLO,A Awe-Inspiring Documentary of a Technical Writer And a Husband who must Meet a Monkey in An Abandoned Fun House,2006,English,,3,4.99,137,23.99,NC-17
621,8,Family,NETWORK PEAK,A Unbelieveable Reflection of a Butler And a Boat who must Outgun a Mad Scientist in California,2006,English,,5,2.99,75,23.99,PG-13
287,1,Action,ENTRAPMENT SATISFACTION,A Thoughtful Panorama of a Hunter And a Teacher who must Reach a Mad Cow in A U-Boat,2006,English,,5,0.99,176,19.99,R
885,11,Horror,TEXAS WATCH,A Awe-Inspiring Yarn of a Student And a Teacher who must Fight a Teacher in An Abandoned Amusement Park,2006,English,,7,0.99,179,22.99,NC-17
766,7,Drama,SAVANNAH TOWN,A Awe-Inspiring Tale of a Astronaut And a Database Administrator who must Chase a Secret Agent in The Gulf of Mexico,2006,English,,5,0.99,84,25.99,PG-13
692,2,Animation,POTLUCK MIXED,A Beautiful Story of a Dog And a Technical Writer who must Outgun a Student in A Baloon,2006,English,,3,2.99,179,10.99,G
38,1,Action,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,2006,English,,6,0.99,68,25.99,NC-17
131,4,Classics,CENTER DINOSAUR,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,2006,English,,5,4.99,152,12.99,PG
681,15,Sports,PIRATES ROXANNE,A Stunning Drama of a Woman And a Lumberjack who must Overcome a A Shark in The Canadian Rockies,2006,English,,4,0.99,100,20.99,PG
327,1,Action,FOOL MOCKINGBIRD,A Lacklusture Tale of a Crocodile And a Composer who must Defeat a Madman in A U-Boat,2006,English,,3,4.99,158,24.99,PG
773,15,Sports,SEABISCUIT PUNK,A Insightful Saga of a Man And a Forensic Psychologist who must Discover a Mad Cow in A MySQL Convention,2006,English,,6,2.99,112,28.99,NC-17
346,4,Classics,GALAXY SWEETHEARTS,A Emotional Reflection of a Womanizer And a Pioneer who must Face a Squirrel in Berlin,2006,English,,4,4.99,128,13.99,R
953,2,Animation,WAIT CIDER,A Intrepid Epistle of a Woman And a Forensic Psychologist who must Succumb a Astronaut in A Manhattan Penthouse,2006,English,,3,0.99,112,9.99,PG-13
533,9,Foreign,LOST BIRD,A Emotional Character Study of a Robot And a A Shark who must Defeat a Technical Writer in A Manhattan Penthouse,2006,English,,4,2.99,98,21.99,PG-13
115,1,Action,CAMPUS REMEMBER,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,2006,English,,5,2.99,167,27.99,R
677,13,New,PIANIST OUTFIELD,A Intrepid Story of a Boy And a Technical Writer who must Pursue a Lumberjack in A Monastery,2006,English,,6,0.99,136,25.99,NC-17
944,7,Drama,VIRGIN DAISY,A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank,2006,English,,6,4.99,179,29.99,PG-13
271,1,Action,EASY GLADIATOR,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,2006,English,,5,4.99,148,12.99,G
680,5,Comedy,PINOCCHIO SIMON,A Action-Packed Reflection of a Mad Scientist And a A Shark who must Find a Feminist in California,2006,English,,4,4.99,103,21.99,PG
154,2,Animation,CLASH FREDDY,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,2006,English,,6,2.99,81,12.99,G
98,7,Drama,BRIGHT ENCOUNTERS,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,English,,4,4.99,73,12.99,PG-13
447,10,Games,ICE CROSSING,A Fast-Paced Tale of a Butler And a Moose who must Overcome a Pioneer in A Manhattan Penthouse,2006,English,,5,2.99,131,28.99,R
439,7,Drama,HUNCHBACK IMPOSSIBLE,A Touching Yarn of a Frisbee And a Dentist who must Fight a Composer in Ancient Japan,2006,English,,4,4.99,151,28.99,PG-13
108,13,New,BUTCH PANTHER,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,2006,English,,6,0.99,67,19.99,PG-13
987,12,Music,WORDS HUNTER,A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention,2006,English,,3,2.99,116,13.99,PG
446,15,Sports,HYSTERICAL GRAIL,A Amazing Saga of a Madman And a Dentist who must Build a Car in A Manhattan Penthouse,2006,English,,5,4.99,150,19.99,PG
467,9,Foreign,INTRIGUE WORST,A Fanciful Character Study of a Explorer And a Mad Scientist who must Vanquish a Squirrel in A Jet Boat,2006,English,,6,0.99,181,10.99,G
423,3,Children,HOLLYWOOD ANONYMOUS,A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat,2006,English,,7,0.99,69,29.99,PG
890,15,Sports,TIGHTS DAWN,A Thrilling Epistle of a Boat And a Secret Agent who must Face a Boy in A Baloon,2006,English,,5,0.99,172,14.99,R
678,15,Sports,PICKUP DRIVING,A Touching Documentary of a Husband And a Boat who must Meet a Pastry Chef in A Baloon Factory,2006,English,,3,2.99,77,23.99,G
827,7,Drama,SPICE SORORITY,A Fateful Display of a Pioneer And a Hunter who must Defeat a Husband in An Abandoned Mine Shaft,2006,English,,5,4.99,141,22.99,NC-17
247,5,Comedy,DOWNHILL ENOUGH,A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert,2006,English,,3,0.99,47,19.99,G
353,9,Foreign,GENTLEMEN STAGE,A Awe-Inspiring Reflection of a Monkey And a Student who must Overcome a Dentist in The First Manned Space Station,2006,English,,6,2.99,125,22.99,NC-17
459,9,Foreign,INFORMER DOUBLE,A Action-Packed Display of a Woman And a Dentist who must Redeem a Forensic Psychologist in The Canadian Rockies,2006,English,,4,4.99,74,23.99,NC-17
472,16,Travel,ITALIAN AFRICAN,A Astounding Character Study of a Monkey And a Moose who must Outgun a Cat in A U-Boat,2006,English,,3,4.99,174,24.99,G
888,6,Documentary,THIN SAGEBRUSH,A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India,2006,English,,5,4.99,53,9.99,PG-13
742,10,Games,ROOF CHAMPION,A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon,2006,English,,7,0.99,101,25.99,R
458,8,Family,INDIAN LOVE,A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House,2006,English,,4,0.99,135,26.99,NC-17
672,5,Comedy,PERFECT GROOVE,A Thrilling Yarn of a Dog And a Dog who must Build a Husband in A Baloon,2006,English,,7,2.99,82,17.99,PG-13
80,8,Family,BLANKET BEVERLY,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,2006,English,,7,2.99,148,21.99,G
292,1,Action,EXCITEMENT EVE,A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank,2006,English,,3,0.99,51,20.99,G
220,12,Music,DEER VIRGINIAN,A Thoughtful Story of a Mad Cow And a Womanizer who must Overcome a Mad Scientist in Soviet Georgia,2006,English,,7,2.99,106,13.99,NC-17
882,7,Drama,TENENBAUMS COMMAND,A Taut Display of a Pioneer And a Man who must Reach a Girl in The Gulf of Mexico,2006,English,,4,0.99,99,24.99,PG-13
543,16,Travel,MADIGAN DORADO,A Astounding Character Study of a A Shark And a A Shark who must Discover a Crocodile in The Outback,2006,English,,5,4.99,116,20.99,R
758,7,Drama,SAINTS BRIDE,A Fateful Tale of a Technical Writer And a Composer who must Pursue a Explorer in The Gulf of Mexico,2006,English,,5,2.99,125,11.99,G
595,9,Foreign,MOON BUNCH,A Beautiful Tale of a Astronaut And a Mad Cow who must Challenge a Cat in A Baloon Factory,2006,English,,7,0.99,83,20.99,PG
375,1,Action,GRAIL FRANKENSTEIN,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,2006,English,,4,2.99,85,17.99,NC-17
937,13,New,VARSITY TRIP,A Action-Packed Character Study of a Astronaut And a Explorer who must Reach a Monkey in A MySQL Convention,2006,English,,7,2.99,85,14.99,NC-17
683,7,Drama,PITY BOUND,A Boring Panorama of a Feminist And a Moose who must Defeat a Database Administrator in Nigeria,2006,English,,5,4.99,60,19.99,NC-17
305,13,New,FATAL HAUNTED,A Beautiful Drama of a Student And a Secret Agent who must Confront a Dentist in Ancient Japan,2006,English,,6,2.99,91,24.99,PG
617,8,Family,NATURAL STOCK,A Fast-Paced Story of a Sumo Wrestler And a Girl who must Defeat a Car in A Baloon Factory,2006,English,,4,0.99,50,24.99,PG-13
229,1,Action,DEVIL DESIRE,A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan,2006,English,,6,4.99,87,12.99,R
527,11,Horror,LOLA AGENT,A Astounding Tale of a Mad Scientist And a Husband who must Redeem a Database Administrator in Ancient Japan,2006,English,,4,4.99,85,24.99,PG
915,1,Action,TRUMAN CRAZY,A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery,2006,English,,7,4.99,92,9.99,G
252,1,Action,DREAM PICKUP,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,2006,English,,6,2.99,135,18.99,PG
155,13,New,CLEOPATRA DEVIL,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,2006,English,,6,0.99,150,26.99,PG-13
