assay_type,assay_organism,assay_tax_id,variant_id,assay_cell_type,src_id,curated_by,assay_subcellular_fraction,doc_id,assay_strain,relationship_type,assay_id,confidence_score,cell_id,assay_category,tid,assay_tissue,tissue_id,assay_test_type,bao_format,chembl_id,src_assay_id,description
F,Staphylococcus aureus,1280.0,,,1,Intermediate,,11324,,N,15,1,,,50185,,,,BAO_0000218,CHEMBL615130,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus"
F,Staphylococcus aureus,1280.0,,,1,Intermediate,,11324,,N,16,1,,,50185,,,,BAO_0000218,CHEMBL615131,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus"
A,Rattus norvegicus,10116.0,,,1,Expert,,11347,,D,17,9,,,100122,,,,BAO_0000357,CHEMBL884521,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase
B,,,,,1,Autocuration,,16474,,H,18,8,,,12054,,,,BAO_0000357,CHEMBL615132,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO)
B,,,,,1,Autocuration,,10091,,H,19,8,,,12054,,,,BAO_0000019,CHEMBL615133,,Inhibition of partially purified 15-lipoxygenase from human leukocytes
B,,,,,1,Autocuration,,16474,,H,20,8,,,12054,,,,BAO_0000357,CHEMBL615134,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO)
B,,,,,1,Autocuration,,16474,,H,21,8,,,12054,,,,BAO_0000357,CHEMBL615135,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO)
B,,,,,1,Autocuration,,16474,,H,22,8,,,12054,,,,BAO_0000357,CHEMBL615136,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO)
B,,,,,1,Autocuration,,16474,,H,23,8,,,12054,,,,BAO_0000357,CHEMBL615137,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition
B,,,,,1,Autocuration,,16474,,H,24,8,,,12054,,,,BAO_0000357,CHEMBL615138,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition
B,,,,,1,Autocuration,,14352,,U,25,0,,,22226,,,,BAO_0000219,CHEMBL836324,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M."
B,Oryctolagus cuniculus,9986.0,,,1,Autocuration,,5646,,H,26,8,,,12054,,,,BAO_0000357,CHEMBL615139,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase
B,Oryctolagus cuniculus,9986.0,,,1,Autocuration,,5646,,H,27,8,,,12054,,,,BAO_0000357,CHEMBL615140,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM)
B,,,,,1,Autocuration,,10997,,H,28,8,,,12426,,,,BAO_0000219,CHEMBL615141,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes
B,soya bean,3847.0,,,1,Autocuration,,6309,,H,29,8,,,12054,,,,BAO_0000357,CHEMBL615142,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean
B,Glycine max,3847.0,,,1,Autocuration,,167,,H,30,8,,,12054,,,,BAO_0000357,CHEMBL615143,,Inhibitory activity against soybean 15-lipoxygenase was evaluated
B,Glycine max,3847.0,,,1,Autocuration,,167,,H,31,8,,,12054,,,,BAO_0000357,CHEMBL615144,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM
B,Glycine max,3847.0,,,1,Autocuration,,11087,,H,32,8,,,12054,,,,BAO_0000357,CHEMBL872867,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM
B,Glycine max,3847.0,,,1,Autocuration,,11087,,H,33,8,,,12054,,,,BAO_0000357,CHEMBL615145,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM
B,Glycine max,3847.0,,,1,Autocuration,,13622,,H,34,8,,,12054,,,,BAO_0000357,CHEMBL615146,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean
B,Glycine max,3847.0,,,1,Autocuration,,13622,,H,35,8,,,12054,,,,BAO_0000357,CHEMBL615147,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean
A,Rattus norvegicus,10116.0,,,1,Autocuration,,11347,,U,36,0,,,22226,,,,BAO_0000019,CHEMBL615148,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase
B,Escherichia coli,562.0,,,1,Autocuration,,5926,,U,37,0,,,22226,,,,BAO_0000019,CHEMBL615149,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay
B,,,,,1,Autocuration,,4567,,U,38,0,,,22226,,,,BAO_0000019,CHEMBL615150,,Dissociation constant with dimeric 16S rRNA RNA construct B
B,,,,,1,Intermediate,,3782,,M,39,3,,,22222,,,,BAO_0000225,CHEMBL615151,,Dissociation constant towards 16S rRNA construct A
B,,,,,1,Intermediate,,3782,,M,40,3,,,22222,,,,BAO_0000225,CHEMBL615152,,Dissociation constant towards 16S rRNA construct B
B,Escherichia coli,562.0,,,1,Expert,,4466,,M,41,3,,,100263,,,,BAO_0000225,CHEMBL615153,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli
B,Escherichia coli,562.0,,,1,Expert,,6592,,M,42,3,,,100263,,,,BAO_0000225,CHEMBL615154,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli
B,,,,,1,Autocuration,,898,,H,43,8,,,13053,,,,BAO_0000019,CHEMBL615155,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2)
B,,,,,1,Autocuration,,898,,H,44,8,,,13053,,,,BAO_0000019,CHEMBL615156,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2)
B,Homo sapiens,9606.0,,,1,Autocuration,,13163,,H,45,8,,,20001,,,,BAO_0000019,CHEMBL615157,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes
B,Homo sapiens,9606.0,,,1,Autocuration,,13163,,H,46,8,,,20001,,,,BAO_0000019,CHEMBL615158,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes
B,Rattus norvegicus,10116.0,,,1,Expert,,10691,,D,47,9,,,12971,,,,BAO_0000019,CHEMBL615159,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation"
B,Rattus norvegicus,10116.0,,,1,Expert,,10691,,D,48,9,,,12971,,,,BAO_0000019,CHEMBL615172,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation"
B,Rattus norvegicus,10116.0,,,1,Expert,,10691,,D,49,9,,,12971,,,,BAO_0000019,CHEMBL615173,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM"
B,Rattus norvegicus,10116.0,,,1,Expert,,10691,,D,50,9,,,12971,,,,BAO_0000019,CHEMBL615174,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM"
B,,,,,1,Autocuration,,898,,H,51,8,,,13053,,,,BAO_0000019,CHEMBL884518,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2)
B,,,,,1,Autocuration,,912,,H,52,8,,,11512,,,,BAO_0000357,CHEMBL615175,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1)
B,,,,,1,Autocuration,,912,,H,53,8,,,11512,,,,BAO_0000357,CHEMBL615176,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration
B,,,,,1,Autocuration,,912,,H,54,8,,,11512,,,,BAO_0000357,CHEMBL615177,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration
B,Rattus norvegicus,10116.0,,,1,Autocuration,Membranes,15103,,D,55,5,,,104740,,,,BAO_0000249,CHEMBL615178,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,5116,,N,56,1,506.0,,80002,,,,BAO_0000219,CHEMBL615179,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined
F,Rattus norvegicus,10116.0,,Oocytes,1,Autocuration,,14578,,D,57,7,,,104835,,,,BAO_0000219,CHEMBL615180,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype
F,Rattus norvegicus,10116.0,,Oocytes,1,Autocuration,,14578,,D,58,7,,,104821,,,,BAO_0000219,CHEMBL615181,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor
F,Rattus norvegicus,10116.0,,Oocytes,1,Autocuration,,14578,,D,59,7,,,104848,,,,BAO_0000219,CHEMBL615182,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor
F,Homo sapiens,9606.0,,1A9,1,Expert,,4787,,N,60,1,506.0,,80002,,,,BAO_0000219,CHEMBL615183,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,4787,,N,61,1,506.0,,80002,,,,BAO_0000219,CHEMBL615184,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,3547,,N,62,1,506.0,,80002,,,,BAO_0000219,CHEMBL615185,,Cytotoxic activity against human ovarian cancer (1A9) cell line
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,3547,,N,63,1,506.0,,80002,,,,BAO_0000219,CHEMBL615186,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,6726,,N,64,1,506.0,,80002,,,,BAO_0000219,CHEMBL615187,,Effective dose of compound against replication of 1A9 cell line was evaluated
F,Homo sapiens,9606.0,,1A9,1,Expert,,3455,,N,65,1,506.0,,80002,,,,BAO_0000219,CHEMBL885343,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,5726,,N,66,1,506.0,,80002,,,,BAO_0000219,CHEMBL615188,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line)
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,5726,,N,67,1,506.0,,80002,,,,BAO_0000219,CHEMBL615189,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,5726,,N,68,1,506.0,,80002,,,,BAO_0000219,CHEMBL615190,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,3395,,N,69,1,506.0,,80002,,,,BAO_0000219,CHEMBL615191,,Inhibitory activity against Taxol resistant 1A9 cell lines
F,Homo sapiens,9606.0,,1A9,1,Expert,,3415,,N,70,1,506.0,,80002,,,,BAO_0000219,CHEMBL615192,,Cytotoxicity against human ovarian cancer (1A9) cell lines.
F,Homo sapiens,9606.0,,1A9,1,Expert,,3415,,N,71,1,506.0,,80002,,,,BAO_0000219,CHEMBL827083,,Percentage inhibition of human ovarian cancer (1A9) cell lines.
F,Homo sapiens,9606.0,,1A9,1,Expert,,17099,,N,72,1,506.0,,80002,,,,BAO_0000219,CHEMBL615193,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,17099,,N,73,1,506.0,,80002,,,,BAO_0000219,CHEMBL615194,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,17099,,N,74,1,506.0,,80002,,,,BAO_0000219,CHEMBL615195,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL
F,Homo sapiens,9606.0,,1A9,1,Intermediate,,17099,,N,75,1,506.0,,80002,,,,BAO_0000219,CHEMBL615196,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL
F,Homo sapiens,9606.0,,Jurkat,1,Intermediate,,17721,,N,76,1,503.0,,81072,,,,BAO_0000219,CHEMBL615197,,Inhibitory concentration against Jurkat cells
F,,,,,1,Intermediate,,1229,,U,77,0,,,22226,,,,BAO_0000019,CHEMBL615198,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive
A,Rattus norvegicus,10116.0,,,1,Expert,,11347,,D,78,9,,,100121,,,,BAO_0000357,CHEMBL615199,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase
B,,,,,1,Expert,,17117,,H,79,8,,,11231,,,,BAO_0000357,CHEMBL615200,,"In vitro inhibition of human 2,3-oxidosqualene cyclase."
B,,,,,1,Expert,,17117,,H,80,8,,,11231,,,,BAO_0000357,CHEMBL615201,,"In vitro inhibition of human 2,3-oxidosqualene cyclase."
B,,,,,1,Expert,,17117,,H,81,8,,,11231,,,,BAO_0000357,CHEMBL615202,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM."
B,Candida albicans,5476.0,,,1,Autocuration,Microsomes,11375,,H,82,8,,,11231,,,,BAO_0000251,CHEMBL615203,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes"
B,Candida albicans,5476.0,,,1,Autocuration,Microsomes,11375,,H,83,8,,,11231,,,,BAO_0000251,CHEMBL615204,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes"
B,Saccharomyces cerevisiae,4932.0,,,1,Autocuration,Microsomes,11375,,H,84,8,,,11231,,,,BAO_0000251,CHEMBL615205,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes"
B,Saccharomyces cerevisiae,4932.0,,,1,Autocuration,Microsomes,11375,,H,85,8,,,11231,,,,BAO_0000251,CHEMBL615206,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes"
B,Sus scrofa,9823.0,,,1,Autocuration,Microsomes,11375,,H,86,8,,,12083,Liver,2107.0,,BAO_0000251,CHEMBL615207,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes"
B,Rattus norvegicus,10116.0,,,1,Autocuration,,791,,H,87,8,,,11231,,,,BAO_0000019,CHEMBL827084,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase"
B,Rattus norvegicus,10116.0,,,1,Autocuration,,791,,H,88,8,,,11231,,,,BAO_0000019,CHEMBL615208,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)"
B,Rattus norvegicus,10116.0,,,1,Autocuration,,791,,H,89,8,,,11231,,,,BAO_0000019,CHEMBL615209,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki"
B,Rattus norvegicus,10116.0,,,1,Autocuration,Microsomes,11375,,D,90,9,,,12083,Liver,2107.0,,BAO_0000251,CHEMBL615210,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes"
B,Rattus norvegicus,10116.0,,,1,Autocuration,Microsomes,11375,,D,91,9,,,12083,Liver,2107.0,,BAO_0000251,CHEMBL615211,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes"
B,Rattus norvegicus,10116.0,,,1,Autocuration,Microsomes,153,,D,92,9,,,12083,Liver,2107.0,,BAO_0000251,CHEMBL615212,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes"
B,,,,,1,Expert,,8269,,H,93,8,,,11377,,,,BAO_0000357,CHEMBL615213,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease)
B,,,,,1,Expert,,8269,,H,94,8,,,11377,,,,BAO_0000357,CHEMBL615273,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex
F,Homo sapiens,9606.0,,HepG2,1,Expert,,17653,,N,95,1,726.0,,81020,,,,BAO_0000219,CHEMBL615274,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,14277,,N,96,1,726.0,,81020,,,,BAO_0000219,CHEMBL615275,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,1717,,N,97,1,726.0,,81020,,,,BAO_0000219,CHEMBL615276,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,14091,,N,98,1,726.0,,81020,,,,BAO_0000219,CHEMBL615277,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,14091,,N,99,1,726.0,,81020,,,,BAO_0000219,CHEMBL615326,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined
F,Hepatitis B virus,10407.0,,,1,Expert,,17653,,N,100,1,,,50606,,,,BAO_0000218,CHEMBL883130,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,13105,,N,101,1,726.0,,81020,,,,BAO_0000219,CHEMBL884519,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,1717,,N,102,1,726.0,,81020,,,,BAO_0000219,CHEMBL615327,,Concentration required to inhibit 50% of 2.2.15 cell line
A,Homo sapiens,9606.0,,HepG2,1,Intermediate,,13105,,N,103,1,726.0,,81020,,,,BAO_0000219,CHEMBL615328,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,13600,,N,104,1,,,50587,,,,BAO_0000218,CHEMBL615329,,Cytotoxic activity of compound against uninfected 2.2.15 cells.
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,13467,,N,105,1,,,50587,,,,BAO_0000218,CHEMBL615330,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.
F,Hepatitis B virus,10407.0,,2.2.15,1,Expert,,17477,,N,106,1,,,50606,,,,BAO_0000218,CHEMBL615331,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay"
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,1593,,N,107,1,,,50587,,,,BAO_0000218,CHEMBL615332,,In vitro anti-HBV activity in 2.2.15 cells
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,1593,,N,108,1,,,50587,,,,BAO_0000218,CHEMBL615333,,In vitro anti-HBV activity in 2.2.15 cells; Not determined
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,15089,,N,109,1,,,50587,,,,BAO_0000218,CHEMBL615334,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,15089,,N,110,1,,,50587,,,,BAO_0000218,CHEMBL615335,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,1593,,N,111,1,,,50587,,,,BAO_0000218,CHEMBL615336,,Cytotoxicity in 2.2.15 cells
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,1593,,N,112,1,,,50587,,,,BAO_0000218,CHEMBL615337,,Cytotoxicity in 2.2.15 cells; Not determined
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,13600,,N,113,1,,,50587,,,,BAO_0000218,CHEMBL615338,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,13467,,N,114,1,,,50587,,,,BAO_0000218,CHEMBL615339,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.
F,Homo sapiens,9606.0,,2.2.15,1,Intermediate,,13467,,N,115,1,,,50587,,,,BAO_0000218,CHEMBL615340,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,14764,,N,116,1,726.0,,81020,,,,BAO_0000219,CHEMBL615341,,Antiviral activity against HBV was determined in 2.215 cell line
B,Homo sapiens,9606.0,,,1,Autocuration,Microsomes,6531,,U,117,0,,,22226,,,,BAO_0000251,CHEMBL615342,,Inhibition of 20-HETE synthesis in human renal microsomes
B,,,,,1,Autocuration,,17322,,U,118,0,,,22226,,,,BAO_0000019,CHEMBL615343,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.
F,Homo sapiens,9606.0,,2008,1,Intermediate,,17072,,N,119,1,388.0,,80612,,,,BAO_0000219,CHEMBL615344,,Inhibitory concentration against 2008 (ovarian) cells
F,Homo sapiens,9606.0,,2008,1,Intermediate,,16936,,N,120,1,388.0,,80612,,,,BAO_0000219,CHEMBL615345,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.
F,Homo sapiens,9606.0,,2008,1,Intermediate,,16936,,N,121,1,388.0,,80612,,,,BAO_0000219,CHEMBL615346,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008)
F,Homo sapiens,9606.0,,2008,1,Intermediate,,17146,,N,122,1,388.0,,80612,,,,BAO_0000219,CHEMBL615347,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells
F,Homo sapiens,9606.0,,2008,1,Intermediate,,17146,,N,123,1,388.0,,80612,,,,BAO_0000219,CHEMBL615348,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected
F,Homo sapiens,9606.0,,2008/R,1,Intermediate,,10797,,N,124,1,561.0,,80613,,,,BAO_0000219,CHEMBL827085,,In vitro inhibition of 2008/R ovarian cancer cell line
F,Homo sapiens,9606.0,,2008/R,1,Intermediate,,10797,,N,125,1,561.0,,80613,,,,BAO_0000219,CHEMBL615349,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable
F,Homo sapiens,9606.0,,2008/S,1,Intermediate,,10797,,N,126,1,389.0,,80614,,,,BAO_0000219,CHEMBL615350,,In vitro inhibition of 2008/S ovarian cancer cell line
F,Homo sapiens,9606.0,,2008/S,1,Intermediate,,10797,,N,127,1,389.0,,80614,,,,BAO_0000219,CHEMBL615351,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable
B,Homo sapiens,9606.0,,,1,Expert,,4823,,S,128,2,,,100256,,,,BAO_0000220,CHEMBL615352,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome
B,Homo sapiens,9606.0,,,1,Intermediate,,12912,,S,129,2,,,100256,,,,BAO_0000220,CHEMBL615353,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain
B,,,,,1,Expert,,2957,,S,130,2,,,100256,,,,BAO_0000220,CHEMBL615354,,Inhibition of chymotrypsin-like activity of 20S proteasome
B,,,,,1,Expert,,2957,,S,131,2,,,100256,,,,BAO_0000220,CHEMBL615355,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM
B,,,,,1,Intermediate,,3260,,S,132,2,,,100256,,,,BAO_0000220,CHEMBL615356,,Inhibitory activity against 20S proteosome
B,Homo sapiens,9606.0,,,1,Autocuration,,3451,,U,133,0,,,22226,,,,BAO_0000019,CHEMBL615357,,Compound was tested for inhibitory activity against tryptase
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,13885,,N,134,1,726.0,,81020,,,,BAO_0000219,CHEMBL615358,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line
F,Homo sapiens,9606.0,,HepG2,1,Intermediate,,13885,,N,135,1,726.0,,81020,,,,BAO_0000219,CHEMBL827086,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line
B,,,,,1,Autocuration,,3676,,U,136,0,,,22226,,,,BAO_0000019,CHEMBL615359,,Compound was tested for the inhibition of Alpha-glucosidase
B,,,,,1,Autocuration,,6043,,H,137,8,,,235,,,,BAO_0000357,CHEMBL615360,,Inhibitory concentration against human neutrophil elastase (HNE)
