Fiscal year,Youth issues (marker),Organisation name,PBA type,Gender equality (marker),Children issues (marker),FSTC percent,CountryRegion name,Knowledge for development (marker),Fund centre name,Branch name,Sector percent,Project Browser country ID,Enviromental sustainability (marker),ICT as a tool for development (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,0,Cowater International Inc.,Not PBA,0,0,1.0,Egypt,0,Egypt,"EGM Europe, Middle East and Maghreb",0.2,EG,1,1,A019608001,Closed,16700508.62,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,0.998334353,Algeria,0,*Algeria,"EGM Europe, Middle East and Maghreb",1.0,DZ,0,0,A020161001,Closed,328400.96,B3100,D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,4259,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,3,0,1.0,Haiti,0,Haiti,NGM Americas,0.2,HT,0,0,A020195001,Closed,4610501.0,B4400,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,3,0,1.0,Haiti,0,Haiti,NGM Americas,0.8,HT,0,0,A020195001,Closed,4610501.0,B4400,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Parliamentary Centre,Not PBA,2,0,1.0,Ethiopia,0,Ethiopia,WGM Sub-Saharan Africa,0.2,ET,0,0,A020222001,Closed,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Parliamentary Centre,Not PBA,2,0,1.0,Ethiopia,0,Ethiopia,WGM Sub-Saharan Africa,0.2,ET,0,0,A020222001,Closed,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Parliamentary Centre,Not PBA,2,0,1.0,Ethiopia,0,Ethiopia,WGM Sub-Saharan Africa,0.2,ET,0,0,A020222001,Closed,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Parliamentary Centre,Not PBA,2,0,1.0,Ethiopia,0,Ethiopia,WGM Sub-Saharan Africa,0.2,ET,0,0,A020222001,Closed,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Parliamentary Centre,Not PBA,2,0,1.0,Ethiopia,0,Ethiopia,WGM Sub-Saharan Africa,0.2,ET,0,0,A020222001,Closed,4229943.14,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Thompson Consultant Inc.,Not PBA,2,0,1.0,Senegal,0,Senegal,WGM Sub-Saharan Africa,0.34,SN,0,0,A020246001,Terminating,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,2,0,1.0,Senegal,0,Senegal,WGM Sub-Saharan Africa,0.34,SN,0,0,A020246001,Terminating,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Thompson Consultant Inc.,Not PBA,2,0,1.0,Senegal,0,Senegal,WGM Sub-Saharan Africa,0.66,SN,0,0,A020246001,Terminating,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,2,0,1.0,Senegal,0,Senegal,WGM Sub-Saharan Africa,0.66,SN,0,0,A020246001,Terminating,4518387.69,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,CRC Sogema Inc.,Not PBA,0,0,1.0,Guyana,0,Caribbean Regional - Guyana,NGM Americas,1.0,GY,0,0,A020252001,Closed,7850039.11,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4438,7850039.11,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,1,0,1.0,Philippines,0,Philippines,OGM Asia Pacific,0.5,PH,1,1,A020272001,Closed,13000520.92,B4100,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,1,0,1.0,Philippines,0,Philippines,OGM Asia Pacific,0.4,PH,1,1,A020272001,Closed,13000520.92,B4100,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,1,0,1.0,Philippines,0,Philippines,OGM Asia Pacific,0.1,PH,1,1,A020272001,Closed,13000520.92,B4100,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,1,0,1.0,Pakistan,0,Pakistan,OGM Asia Pacific,1.0,PK,0,0,A020279001,Terminating,2645994.04,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Agriteam Canada,Not PBA,1,0,1.0,Malawi,0,Malawi,WGM Sub-Saharan Africa,1.0,MW,0,0,A020392001,Closed,7747230.74,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,0,0.5,Bangladesh,0,Bangladesh,OGM Asia Pacific,1.0,BD,0,0,A020395001,Closed,4947637.32,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,0,0.5,Bangladesh,0,Bangladesh,OGM Asia Pacific,1.0,BD,0,0,A020395001,Closed,4947637.32,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,0,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.5,MZ,0,0,A020398001,Closed,9096651.0,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,0,1.0,Mozambique,0,Mozambique,WGM Sub-Saharan Africa,0.5,MZ,0,0,A020398001,Closed,9096651.0,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,2,0,1.0,Cameroon,0,Cameroon,WGM Sub-Saharan Africa,1.0,CM,1,0,A020449003,Closed,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,D�M�NAGEMENT OUTAOUAIS INC.,Not PBA,2,0,1.0,Cameroon,0,Cameroon,WGM Sub-Saharan Africa,1.0,CM,1,0,A020449003,Closed,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,2,0,1.0,Cameroon,0,Cameroon,WGM Sub-Saharan Africa,1.0,CM,1,0,A020449003,Closed,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,2,0,1.0,Cameroon,0,Cameroon,WGM Sub-Saharan Africa,1.0,CM,1,0,A020449003,Closed,2457111.5,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,UPA DI - Union des producteurs agricoles d�veloppement,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.5,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Le Groupe Conseil Baastel Lt�e,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.5,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,UPA DI - Union des producteurs agricoles d�veloppement,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.15,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Le Groupe Conseil Baastel Lt�e,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.15,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,UPA DI - Union des producteurs agricoles d�veloppement,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.1,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Le Groupe Conseil Baastel Lt�e,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.1,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,UPA DI - Union des producteurs agricoles d�veloppement,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.15,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Le Groupe Conseil Baastel Lt�e,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.15,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,UPA DI - Union des producteurs agricoles d�veloppement,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.1,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Le Groupe Conseil Baastel Lt�e,Not PBA,0,0,1.0,Guinea,0,*Guinea,WGM Sub-Saharan Africa,0.1,GN,0,0,A020715001,Closed,11427061.07,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Foundation for International Training,Not PBA,0,1,1.0,Sri Lanka,0,Sri Lanka,OGM Asia Pacific,0.8,LK,0,0,A020790001,Closed,4308867.95,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Foundation for International Training,Not PBA,0,1,1.0,Sri Lanka,0,Sri Lanka,OGM Asia Pacific,0.2,LK,0,0,A020790001,Closed,4308867.95,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Other PBA,2,1,0.0,Mali,0,Mali,WGM Sub-Saharan Africa,1.0,ML,0,0,A020891001,Closed,3063216.68,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Other PBA,2,1,0.0,Mali,0,Mali,WGM Sub-Saharan Africa,1.0,ML,0,0,A020891001,Closed,3063216.68,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Other PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,1.0,ML,0,0,A020892001,Closed,16726210.87,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,CAC International,Other PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,1.0,ML,0,0,A020892001,Closed,16726210.87,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,Other PBA,2,0,1.0,Mali,0,Mali,WGM Sub-Saharan Africa,1.0,ML,0,0,A020892001,Closed,16726210.87,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.1,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.1,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.08,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.08,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.02,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.02,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.8,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.8,UY,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.1,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.1,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.08,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.08,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.02,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.02,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.8,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.8,AR,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.1,CL,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.1,CL,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.08,CL,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Information not available,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.08,CL,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
2009/2010,0,Department of Foreign Affairs and International Trade,Not PBA,0,1,1.0,South America,0,*Southern Cone,NGM Americas,0.02,CL,1,0,A020910001,Closed,1488850.78,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0
