ss_d,ss_rgnsm,src_d,tss_d,dc_d,b_frmt,src_ss_d,dscrptn,ss_sbclllr_frctn,ss_tp,ss_strn,rltnshp_tp,cnfdnc_scr,crtd_b,chmbl_d,cll_d,vrnt_d
7534,Rattus norvegicus,1,,1465,BAO_0000218,,Compound was tested for solubility in water,,A,,N,1,Intermediate,CHEMBL618656,,
7535,,1,,5182,BAO_0000100,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,P,,U,0,Intermediate,CHEMBL618657,,
7536,Rattus norvegicus,1,,17847,BAO_0000218,,Solubility was determined,,A,,N,1,Intermediate,CHEMBL618658,,
7537,Rattus norvegicus,1,,15339,BAO_0000218,,solubility in water (ug/mL) at 37 degree C.,,A,,N,1,Intermediate,CHEMBL618659,,
7538,Rattus norvegicus,1,,5202,BAO_0000218,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,A,,N,1,Intermediate,CHEMBL618660,,
7539,Rattus norvegicus,1,,1088,BAO_0000218,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,A,,N,1,Intermediate,CHEMBL618661,,
7540,Rattus norvegicus,1,,3169,BAO_0000218,,Half life in rats,,A,,N,1,Intermediate,CHEMBL873807,,
7541,Rattus norvegicus,1,,5353,BAO_0000218,,Half life in Dawley rat,,A,,N,1,Intermediate,CHEMBL618662,,
7542,Rattus norvegicus,1,,2864,BAO_0000218,,Half life period after 3 mg/kg iv administration,,A,,N,1,Intermediate,CHEMBL618663,,
7543,Rattus norvegicus,1,,2864,BAO_0000218,,Half life period after 3 mg/kg iv administration in rat,,A,,N,1,Intermediate,CHEMBL618664,,
7544,Rattus norvegicus,1,,2864,BAO_0000218,,Half life period after 3 mg/kg iv administration in the rat,,A,,N,1,Intermediate,CHEMBL618665,,
7545,Rattus norvegicus,1,,6362,BAO_0000218,,Half life period in female Sprague-Dawley rats,,A,,N,1,Intermediate,CHEMBL876498,,
7546,Rattus norvegicus,1,,6249,BAO_0000218,,Half life period in rat,,A,,N,1,Intermediate,CHEMBL618666,,
7547,Rattus norvegicus,1,,3169,BAO_0000218,,Half-life in rats was determined,,A,,N,1,Intermediate,CHEMBL620440,,
7548,Rattus norvegicus,1,,3169,BAO_0000218,,Half-life in rats with metabolic oxidation,,A,,N,1,Intermediate,CHEMBL620441,,
7549,Rattus norvegicus,1,,3169,BAO_0000218,,Half-life in rats,,A,,N,1,Intermediate,CHEMBL620442,,
7550,Rattus norvegicus,1,,17260,BAO_0000218,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,A,,N,1,Intermediate,CHEMBL620443,,
7551,Rattus norvegicus,1,,17260,BAO_0000218,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,A,,N,1,Intermediate,CHEMBL620444,,
7552,Rattus norvegicus,1,,17260,BAO_0000218,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,A,,N,1,Intermediate,CHEMBL620445,,
7553,Rattus norvegicus,1,,17260,BAO_0000218,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,A,,N,1,Intermediate,CHEMBL620446,,
7554,Rattus norvegicus,1,1969.0,2879,BAO_0000218,,Biological half-life measured in plasma of rat,,A,,N,1,Intermediate,CHEMBL620447,,
7555,Rattus norvegicus,1,1969.0,2879,BAO_0000218,,Biological half-life measured in plasma of rat; 22-25,,A,,N,1,Intermediate,CHEMBL621129,,
7556,Rattus norvegicus,1,1969.0,2879,BAO_0000218,,Biological half-life measured in plasma of rat; 9-16,,A,,N,1,Intermediate,CHEMBL621130,,
7557,Rattus norvegicus,1,,3184,BAO_0000218,,Compound was evaluated for its half life when administered intravenously in rat,,A,,N,1,Intermediate,CHEMBL873808,,
7558,Rattus norvegicus,1,,4891,BAO_0000218,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,A,,N,1,Intermediate,CHEMBL876598,,
7559,Rattus norvegicus,1,,429,BAO_0000218,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,A,,N,1,Intermediate,CHEMBL621131,,
7560,Rattus norvegicus,1,,5656,BAO_0000218,,Half life (T1/2) after oral administration in rat,,A,,N,1,Intermediate,CHEMBL621132,,
7561,Rattus norvegicus,1,,4413,BAO_0000218,,Half life of compound after iv administration of 20 mg/kg dose in rat,,A,,N,1,Intermediate,CHEMBL621133,,
7562,Rattus norvegicus,1,,3598,BAO_0000218,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,A,,N,1,Expert,CHEMBL621312,,
7563,Rattus norvegicus,1,,17267,BAO_0000218,,Half life of compound was determined in rat,,A,,N,1,Intermediate,CHEMBL621313,,
7564,Rattus norvegicus,1,178.0,4727,BAO_0000218,,Half life of compound was determined in rat blood,,A,,N,1,Intermediate,CHEMBL621314,,
7565,Rattus norvegicus,1,,17651,BAO_0000218,,Half life at 1 mg/kg was determined in rat,,A,,N,1,Intermediate,CHEMBL621315,,
7566,Rattus norvegicus,1,,17651,BAO_0000218,,Half life at 10 mg/kg was determined in rat,,A,,N,1,Intermediate,CHEMBL621316,,
7567,Rattus norvegicus,1,,401,BAO_0000218,,Half life in rats,,A,,N,1,Intermediate,CHEMBL621317,,
7568,Rattus norvegicus,1,,4942,BAO_0000218,,Half life in rats in hours,,A,,N,1,Intermediate,CHEMBL621318,,
7569,Rattus norvegicus,1,,17735,BAO_0000218,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,A,,N,1,Intermediate,CHEMBL621319,,
7570,Rattus norvegicus,1,,6056,BAO_0000218,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,A,,N,1,Intermediate,CHEMBL621377,,
7571,Rattus norvegicus,1,,5213,BAO_0000218,,Half life was determined,,A,,N,1,Intermediate,CHEMBL621378,,
7572,Rattus norvegicus,1,,6616,BAO_0000218,,Half life after i.v. administration,,A,,N,1,Intermediate,CHEMBL876599,,
7573,Rattus norvegicus,1,,5937,BAO_0000218,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,A,,N,1,Intermediate,CHEMBL621379,,
7574,Rattus norvegicus,1,1969.0,5819,BAO_0000218,,Half life in rat plasma,,A,,N,1,Intermediate,CHEMBL621380,,
7575,Rattus norvegicus,1,1969.0,5819,BAO_0000218,,Half life in rat plasma; Not detected,,A,,N,1,Intermediate,CHEMBL621381,,
7576,Rattus norvegicus,1,,6803,BAO_0000218,,Half life in rats,,A,,N,1,Intermediate,CHEMBL618515,,
7577,Rattus norvegicus,1,,17804,BAO_0000218,,Half life period of compound was determined after peroral administration,,A,,N,1,Intermediate,CHEMBL618516,,
7578,Rattus norvegicus,1,,17804,BAO_0000218,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,A,,N,1,Intermediate,CHEMBL618517,,
7579,Rattus norvegicus,1,,5948,BAO_0000218,,Half life period in rat,,A,,N,1,Intermediate,CHEMBL618518,,
7580,Rattus norvegicus,1,,1916,BAO_0000218,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,A,,N,1,Intermediate,CHEMBL618519,,
7581,Rattus norvegicus,1,,1916,BAO_0000218,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,A,,N,1,Intermediate,CHEMBL618698,,
7582,Rattus norvegicus,1,,1916,BAO_0000218,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,A,,N,1,Intermediate,CHEMBL618862,,
7583,Rattus norvegicus,1,,4890,BAO_0000218,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,A,,N,1,Intermediate,CHEMBL618863,,
7584,Rattus norvegicus,1,,17764,BAO_0000218,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,A,,N,1,Intermediate,CHEMBL618864,,
7585,Rattus norvegicus,1,,4727,BAO_0000218,,Half life time in rat the dose of 2 mg/kg,,A,,N,1,Intermediate,CHEMBL618865,,
7586,Rattus norvegicus,1,,17509,BAO_0000218,,Half-life 24 hr after 10 mg/kg iv administration in rats,,A,,N,1,Intermediate,CHEMBL618866,,
7587,Rattus norvegicus,1,,17509,BAO_0000218,,Half-life 24 hr after 2 mg/kg iv administration in rats,,A,,N,1,Intermediate,CHEMBL618867,,
7588,Rattus norvegicus,1,,6597,BAO_0000218,,Half-life consistent with the observed metabolic steady state in rats,,A,,N,1,Intermediate,CHEMBL875828,,
7589,Rattus norvegicus,1,,17735,BAO_0000218,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,A,,N,1,Intermediate,CHEMBL618868,,
7590,Rattus norvegicus,1,,6597,BAO_0000218,,Half-life for oxidative metabolic stability was determined using male human,,A,,N,1,Intermediate,CHEMBL618869,,
7591,Rattus norvegicus,1,,17670,BAO_0000218,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,A,,N,1,Intermediate,CHEMBL618870,,
7592,Rattus norvegicus,1,1969.0,1696,BAO_0000218,,Half-life in rat plasma,,A,,N,1,Intermediate,CHEMBL618871,,
7593,Rattus norvegicus,1,1969.0,1742,BAO_0000218,,Half-life in rat plasma was determined,,A,,N,1,Intermediate,CHEMBL618872,,
7594,Rattus norvegicus,1,,17800,BAO_0000218,,Half-life in rats was determined,,A,,N,1,Intermediate,CHEMBL873816,,
7595,,1,,12923,BAO_0000218,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,A,,U,0,Autocuration,CHEMBL618873,,
7596,,1,,11954,BAO_0000019,,Area under curve after oral dose of 0.1 mg//kg,,A,,U,0,Autocuration,CHEMBL621602,,
7597,,1,,11954,BAO_0000218,,Area under curve after oral dose of 0.3 mg/kg,,A,,U,0,Autocuration,CHEMBL621603,,
7598,,1,,11954,BAO_0000218,,Area under curve after oral dose of 1 mg/kg,,A,,U,0,Autocuration,CHEMBL621604,,
7599,,1,,11954,BAO_0000218,,Area under curve after oral dose of 10 mg/kg,,A,,U,0,Autocuration,CHEMBL621605,,
7600,,1,,11954,BAO_0000218,,Area under curve after oral dose of 23.4 mg/kg,,A,,U,0,Autocuration,CHEMBL621606,,
7601,,1,,11954,BAO_0000218,,Area under curve after oral dose of 3 mg/kg,,A,,U,0,Autocuration,CHEMBL621607,,
7602,,1,,11954,BAO_0000218,,Area under curve after oral dose of 3.87 mg/kg,,A,,U,0,Autocuration,CHEMBL621608,,
7603,,1,,5237,BAO_0000019,,Area under curve was determined,,A,,U,0,Autocuration,CHEMBL621609,,
7604,,1,,4026,BAO_0000218,,Area under curve at a dose of 10 mg/kg,,A,,U,0,Autocuration,CHEMBL621610,,
7605,Rattus norvegicus,1,,5237,BAO_0000218,,Area under curve was determined; ND=No data,,A,,N,1,Intermediate,CHEMBL621611,,
7606,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL621612,,
7607,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,A,,N,1,Intermediate,CHEMBL622308,,
7608,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL622309,,
7609,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,A,,N,1,Intermediate,CHEMBL622310,,
7610,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL622311,,
7611,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,A,,N,1,Intermediate,CHEMBL622312,,
7612,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL622931,,
7613,Rattus norvegicus,1,,14793,BAO_0000218,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,A,,N,1,Intermediate,CHEMBL622932,,
7614,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL622736,,
7615,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,A,,N,1,Intermediate,CHEMBL622737,,
7616,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL622738,,
7617,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,A,,N,1,Intermediate,CHEMBL622739,,
7618,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL622740,,
7619,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,A,,N,1,Intermediate,CHEMBL622741,,
7620,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,A,,N,1,Intermediate,CHEMBL622742,,
7621,Rattus norvegicus,1,1969.0,14793,BAO_0000218,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,A,,N,1,Intermediate,CHEMBL622743,,
7622,Mus musculus,1,1969.0,11637,BAO_0000218,,AUC in mice,,A,,N,1,Intermediate,CHEMBL622744,,
7623,,1,,11149,BAO_0000019,,Area under curve was measured from the graph obtained from concentration Vs time,,A,,U,0,Autocuration,CHEMBL624134,,
7624,,1,,10016,BAO_0000019,,Area under curve value of compound per hour after oral administration,,A,,U,0,Autocuration,CHEMBL624135,,
7625,Rattus norvegicus,1,,17796,BAO_0000218,,Area under curve was determined after oral administration in rats,,A,,N,1,Intermediate,CHEMBL624136,,
7626,Rattus norvegicus,1,,17796,BAO_0000218,,Area under curve was determined after oral administration in rats; No data,,A,,N,1,Intermediate,CHEMBL624137,,
7627,Rattus norvegicus,1,,17796,BAO_0000218,,Area under curve was determined after oral administration in rats;No data,,A,,N,1,Intermediate,CHEMBL624320,,
7628,Canis lupus familiaris,1,,12923,BAO_0000218,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,A,,N,1,Intermediate,CHEMBL624321,,
7629,Rattus norvegicus,1,,15372,BAO_0000218,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,A,,N,1,Intermediate,CHEMBL624322,,
7630,Rattus norvegicus,1,,15372,BAO_0000218,,Area under curve was determined for the compound after iv dose of 5.06 in rats,,A,,N,1,Intermediate,CHEMBL624323,,
7631,Rattus norvegicus,1,,15372,BAO_0000218,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,A,,N,1,Intermediate,CHEMBL624324,,
7632,Rattus norvegicus,1,,15372,BAO_0000218,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,A,,N,1,Intermediate,CHEMBL624325,,
7633,Rattus norvegicus,1,,15372,BAO_0000218,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,A,,N,1,Intermediate,CHEMBL624326,,
7634,Rattus norvegicus,1,,15372,BAO_0000218,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,A,,N,1,Intermediate,CHEMBL624327,,
7635,Rattus norvegicus,1,,15372,BAO_0000218,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,A,,N,1,Intermediate,CHEMBL624328,,
7636,Canis lupus familiaris,1,,14169,BAO_0000218,,Area under curve was determined in Dogs after peroral administration,,A,,N,1,Intermediate,CHEMBL627848,,
7637,Rattus norvegicus,1,,14169,BAO_0000218,,Area under curve was determined in Rats after peroral administration,,A,,N,1,Intermediate,CHEMBL627849,,
7638,Rattus norvegicus,1,,14258,BAO_0000218,,Area under curve was determined in carotid blood of rat when administered intradermally,,A,,N,1,Intermediate,CHEMBL627850,,
7639,Rattus norvegicus,1,,14258,BAO_0000218,,Area under curve was determined in portal blood of rat when administered intradermally,,A,,N,1,Intermediate,CHEMBL627851,,
7640,Mus musculus,1,,15011,BAO_0000218,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL627852,,
7641,Mus musculus,1,,15011,BAO_0000218,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL627853,,
7642,Mus musculus,1,,15011,BAO_0000218,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,A,,N,1,Intermediate,CHEMBL627854,,
7643,Mus musculus,1,,15011,BAO_0000218,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL627855,,
7644,Mus musculus,1,,15011,BAO_0000218,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,A,,N,1,Intermediate,CHEMBL627856,,
7645,Mus musculus,1,,15011,BAO_0000218,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,A,,N,1,Intermediate,CHEMBL875339,,
7646,Mus musculus,1,,15011,BAO_0000218,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,A,,N,1,Intermediate,CHEMBL627857,,
7647,Rattus norvegicus,1,2106.0,11195,BAO_0000218,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,A,,N,1,Intermediate,CHEMBL627858,,
7648,Rattus norvegicus,1,178.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627859,,
7649,Rattus norvegicus,1,955.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627860,,
7650,Rattus norvegicus,1,948.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627019,,
7651,Rattus norvegicus,1,2107.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627020,,
7652,Rattus norvegicus,1,2048.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627021,,
7653,Rattus norvegicus,1,2385.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627022,,
7654,Rattus norvegicus,1,,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627023,,
7655,Rattus norvegicus,1,2106.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627024,,
7656,Rattus norvegicus,1,2046.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627025,,
7657,Rattus norvegicus,1,2113.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627026,,
7658,Rattus norvegicus,1,178.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627027,,
7659,Rattus norvegicus,1,955.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627028,,
7660,Rattus norvegicus,1,948.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627029,,
7661,Rattus norvegicus,1,2113.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627030,,
7662,Rattus norvegicus,1,2107.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627031,,
7663,Rattus norvegicus,1,2048.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627032,,
7664,Rattus norvegicus,1,2385.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627033,,
7665,Rattus norvegicus,1,,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627034,,
7666,Rattus norvegicus,1,2106.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627035,,
7667,Rattus norvegicus,1,2046.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627036,,
7668,Rattus norvegicus,1,178.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL875340,,
7669,Rattus norvegicus,1,948.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627037,,
7670,Rattus norvegicus,1,2113.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627038,,
7671,Rattus norvegicus,1,2107.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627039,,
7672,Rattus norvegicus,1,2385.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL627040,,
7673,Rattus norvegicus,1,2106.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL624663,,
7674,Rattus norvegicus,1,2046.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL625963,,
7675,Rattus norvegicus,1,955.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL876799,,
7676,Rattus norvegicus,1,2048.0,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL626133,,
7677,Rattus norvegicus,1,,10130,BAO_0000218,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,,A,,N,1,Intermediate,CHEMBL626134,,
7678,Rattus norvegicus,1,,6295,BAO_0000218,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,A,,N,1,Intermediate,CHEMBL626135,,
7679,Rattus norvegicus,1,,6296,BAO_0000218,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,A,,N,1,Intermediate,CHEMBL626136,,
7680,Rattus norvegicus,1,,6296,BAO_0000218,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,,A,,N,1,Intermediate,CHEMBL626137,,
7681,Rattus norvegicus,1,,6295,BAO_0000218,,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,A,,N,1,Intermediate,CHEMBL626138,,
7682,Rattus norvegicus,1,,6296,BAO_0000218,,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,A,,N,1,Intermediate,CHEMBL626139,,
