ammontare,personale_id,noleggio_id,pagamento_id,cliente_id,data_pagamento
4.99,2,13399,569,21,2005-08-19 22:09:28
2.99,1,4710,15799,590,2005-07-08 12:04:53
2.99,2,9557,8862,328,2005-07-31 02:14:01
4.99,1,3749,4610,170,2005-07-06 12:18:03
5.99,1,3769,15191,567,2005-07-06 13:11:33
1.99,1,3080,10204,377,2005-06-20 15:22:32
7.99,1,4031,3864,143,2005-07-07 02:32:07
0.99,2,7250,15776,589,2005-07-27 10:44:09
2.99,2,12538,3182,118,2005-08-18 14:09:09
0.99,2,6702,4460,164,2005-07-12 12:48:03
0.99,1,15293,7126,263,2006-02-14 15:16:03
2.99,1,16010,4717,173,2005-08-23 21:10:24
7.99,2,2027,7153,265,2005-06-17 13:06:56
5.99,2,5357,11131,411,2005-07-09 18:08:59
4.99,1,2745,693,26,2005-06-19 16:21:19
9.99,1,3731,14940,558,2005-07-06 11:33:36
6.99,2,2813,7684,284,2005-06-19 20:01:47
0.99,1,15380,11448,423,2005-08-22 22:28:15
4.99,2,413,8326,307,2005-05-27 14:45:37
1.99,2,3485,2980,111,2005-07-05 23:25:54
0.99,2,664,14077,523,2005-05-28 21:31:08
0.99,2,14385,8605,317,2005-08-21 10:02:55
4.99,1,9013,9386,347,2005-07-30 05:19:20
0.99,1,8556,6231,231,2005-07-29 11:18:27
0.99,2,14139,15044,561,2005-08-21 02:04:33
4.99,2,14092,7397,273,2005-08-21 00:14:32
2.99,2,15363,12977,480,2005-08-22 21:41:40
5.99,2,5801,11841,439,2005-07-10 14:59:05
4.99,2,3884,5692,210,2005-07-06 18:41:33
7.99,2,11655,3051,113,2005-08-17 05:11:07
6.99,1,5328,6685,247,2005-07-09 16:48:29
5.99,2,9950,15326,572,2005-07-31 15:50:22
2.99,2,13794,14930,557,2005-08-20 12:25:32
4.99,2,1064,12418,460,2005-05-31 08:50:07
0.99,1,12699,1815,66,2005-08-18 20:20:59
2.99,1,2315,10056,372,2005-06-18 09:03:39
4.99,2,3670,7253,268,2005-07-06 08:56:43
0.99,1,14591,14505,538,2005-08-21 17:30:09
6.99,2,14528,1285,46,2005-08-21 15:08:05
4.99,1,14153,3249,120,2005-08-21 02:24:33
4.99,2,9376,2344,86,2005-07-30 19:11:49
0.99,2,6701,12264,454,2005-07-12 12:47:59
4.99,1,15243,8378,308,2005-08-22 17:48:28
7.99,1,15674,2468,90,2005-08-23 09:16:39
7.99,1,2731,3724,138,2005-06-19 15:14:55
3.99,1,2838,7898,292,2005-06-19 22:06:06
4.99,2,14710,15731,587,2005-08-21 21:15:23
7.99,2,15198,10739,396,2005-08-22 16:15:33
2.99,2,14860,11322,418,2005-08-22 02:47:07
2.99,1,11339,7117,263,2005-08-02 17:02:06
7.99,1,3550,389,15,2005-07-06 02:29:21
2.99,2,11402,15042,561,2005-08-02 19:07:21
5.99,2,1773,12470,462,2005-06-16 18:13:43
0.99,1,13398,10966,405,2005-08-19 22:08:48
7.99,1,16007,3413,126,2005-08-23 21:02:43
0.99,2,9232,13531,502,2005-07-30 13:43:00
8.99,1,5969,11672,433,2005-07-11 00:03:22
1.99,1,14341,15014,560,2005-08-21 08:38:24
9.99,1,9768,15601,582,2005-07-31 09:48:41
4.99,2,5159,5786,213,2005-07-09 08:55:52
5.99,2,15917,15790,589,2005-08-23 17:57:28
0.99,1,3251,8586,317,2005-06-21 03:20:37
0.99,2,15980,5315,196,2005-08-23 20:10:13
0.99,1,1211,3282,122,2005-06-15 03:01:20
6.99,1,4641,700,26,2005-07-08 09:09:46
2.99,2,9207,9328,345,2005-07-30 12:49:57
0.99,2,459,12614,468,2005-05-27 20:00:04
2.99,2,12400,275,10,2005-08-18 09:19:12
4.99,1,10522,6859,254,2005-08-01 11:48:51
0.99,2,11020,6555,242,2005-08-02 05:29:48
5.99,1,15420,4401,161,2005-08-22 23:55:51
2.99,2,7124,937,34,2005-07-27 06:09:30
4.99,1,4108,1800,66,2005-07-07 06:38:31
2.99,1,953,5688,210,2005-05-30 16:34:02
6.99,2,9150,5792,213,2005-07-30 10:49:32
2.99,1,4879,5293,196,2005-07-08 19:34:55
2.99,2,9812,1585,57,2005-07-31 11:28:07
10.99,2,9338,9002,333,2005-07-30 18:03:13
4.99,1,3106,5451,201,2005-06-20 17:18:06
4.99,1,12001,1453,52,2006-02-14 15:16:03
5.99,2,10149,7482,276,2005-07-31 22:20:46
2.99,2,7935,12483,462,2005-07-28 12:33:17
4.99,1,16015,1391,50,2005-08-23 21:25:03
5.99,1,15502,11690,433,2005-08-23 02:40:04
5.99,1,80,8504,314,2005-05-25 12:12:07
6.99,1,15287,14426,535,2005-08-22 19:19:37
6.99,2,3829,9611,356,2005-07-06 15:59:40
1.99,1,6877,6230,231,2005-07-12 20:32:58
2.99,2,13415,4943,181,2005-08-19 22:48:09
4.99,1,3152,6663,246,2005-06-20 20:42:41
3.99,2,1245,6294,234,2005-06-15 05:09:01
4.99,1,9844,4930,181,2005-07-31 12:26:31
9.99,2,12414,902,32,2005-08-18 09:50:40
2.99,2,3504,5663,209,2005-07-06 00:18:29
0.99,1,8098,1134,41,2005-07-28 18:34:20
4.99,2,454,15396,575,2005-05-27 19:31:36
8.99,2,12480,12053,446,2005-08-18 12:26:43
8.99,2,4695,1075,39,2005-07-08 11:07:59
2.99,2,2265,7214,267,2005-06-18 06:03:27
3.99,2,11188,13108,485,2005-08-02 11:17:11
2.99,2,12682,6653,245,2006-02-14 15:16:03
0.99,2,6387,10409,384,2005-07-11 22:15:56
4.99,1,14266,7299,269,2005-08-21 06:20:51
0.99,2,14126,5851,215,2005-08-21 01:32:17
1.99,1,15654,12748,471,2005-08-23 08:34:53
3.99,2,5047,7354,272,2005-07-09 03:44:15
4.99,2,9613,5113,188,2005-07-31 03:58:53
0.99,2,7160,1923,71,2005-07-27 07:26:06
6.99,1,300,1292,47,2005-05-26 20:57:00
3.99,1,5634,13143,487,2005-07-10 06:25:48
8.99,1,13018,4574,168,2005-08-19 08:04:50
0.99,2,12892,3272,121,2005-08-19 03:46:34
2.99,1,13951,1121,40,2005-08-20 17:58:11
0.99,1,5963,966,35,2005-07-10 23:47:08
2.99,1,960,12000,445,2005-05-30 18:13:23
4.99,1,12492,6054,224,2005-08-18 12:49:04
2.99,2,11304,11181,413,2005-08-02 15:40:10
0.99,1,5553,155,6,2005-07-10 03:03:35
2.99,1,4679,11431,423,2005-07-08 10:33:14
0.99,2,14641,4005,147,2005-08-21 19:05:23
4.99,1,15626,10017,370,2005-08-23 07:25:34
7.99,1,13600,14227,528,2005-08-20 06:00:25
4.99,2,9173,10326,381,2005-07-30 11:40:10
2.99,1,10571,8368,308,2005-08-01 13:25:30
0.99,1,1964,1460,53,2005-06-17 09:10:09
4.99,1,12426,2056,75,2005-08-18 10:24:11
4.99,2,10944,12712,470,2005-08-02 03:20:03
0.99,2,4535,792,29,2005-07-08 03:40:46
2.99,2,7687,8789,325,2005-07-28 03:20:26
0.99,2,5196,14436,536,2005-07-09 10:43:34
2.99,2,14096,9265,342,2005-08-21 00:27:46
0.99,1,10635,1443,52,2005-08-01 15:37:58
10.99,1,10942,2133,78,2005-08-02 03:16:31
2.99,1,211,4604,170,2005-05-26 08:33:10
0.99,2,14720,10709,395,2005-08-21 21:43:53
2.99,1,5370,6706,248,2005-07-09 18:43:19
0.99,1,8023,11137,411,2005-07-28 15:53:29
3.99,1,14642,2211,81,2005-08-21 19:09:40
2.99,1,6508,15992,597,2005-07-12 03:34:50
4.99,2,6352,6329,235,2005-07-11 20:34:13
4.99,1,8037,11076,409,2005-07-28 16:31:20
0.99,2,2185,5361,198,2005-06-18 01:12:22
4.99,1,9851,1349,49,2005-07-31 12:50:24
2.99,1,5848,11070,409,2005-07-10 17:28:14
3.99,2,7120,2649,98,2005-07-27 05:56:39
1.99,1,9226,75,3,2005-07-30 13:31:20
2.99,2,1962,14431,536,2005-06-17 09:08:58
9.99,1,1646,3531,131,2005-06-16 09:12:53
2.99,1,728,14781,551,2005-05-29 06:12:38
5.99,2,12393,10731,396,2005-08-18 09:02:41
2.99,2,1263,14529,540,2005-06-15 06:56:39
6.99,1,15092,12539,464,2005-08-22 11:36:16
4.99,1,13473,10579,390,2005-08-20 01:03:50
4.99,2,12533,8952,331,2005-08-18 14:01:40
7.99,2,6084,12939,479,2005-07-11 05:16:20
5.99,2,4987,7506,277,2005-07-09 00:45:41
9.99,2,6837,14352,533,2005-07-12 18:59:45
1.99,2,4596,8300,306,2005-07-08 06:41:25
5.99,2,13506,7066,261,2005-08-20 02:07:06
8.99,1,3861,5474,202,2005-07-06 17:24:49
5.99,2,6790,10817,400,2005-07-12 16:34:59
4.99,1,6775,10377,383,2005-07-12 16:01:44
4.99,1,10459,3545,131,2005-08-01 09:20:09
0.99,2,298,12416,460,2005-05-26 20:52:26
2.99,2,9450,11612,430,2005-07-30 22:04:04
5.99,2,10083,12127,449,2005-07-31 20:10:19
2.99,2,3881,12314,456,2005-07-06 18:35:37
0.99,2,3000,1364,50,2005-06-20 09:32:33
1.99,2,574,2062,76,2005-05-28 10:44:28
4.99,2,13316,276,10,2005-08-19 19:23:30
5.99,1,6788,12424,460,2005-07-12 16:33:44
2.99,2,13034,10493,387,2005-08-19 08:41:29
2.99,2,11294,11140,411,2005-08-02 15:08:27
5.99,1,11296,4203,154,2005-08-02 15:15:27
3.99,2,5313,1432,52,2005-07-09 16:04:45
1.99,2,14690,12327,456,2005-08-21 20:42:25
4.99,2,12244,9796,362,2005-08-18 03:39:11
1.99,2,10841,2762,102,2005-08-01 23:39:21
0.99,1,11889,10707,395,2005-08-17 15:08:27
2.99,2,11846,7675,283,2005-08-17 13:18:29
5.99,2,11493,3349,124,2005-08-02 22:47:00
4.99,1,2927,10881,403,2005-06-20 04:41:41
8.99,2,10970,7034,260,2005-08-02 04:06:46
7.99,2,14539,1146,41,2005-08-21 15:29:47
7.99,1,6134,8280,305,2005-07-11 08:28:19
0.99,1,8903,10993,406,2005-07-30 01:08:06
3.99,2,9454,2205,81,2005-07-30 22:20:09
5.99,2,4380,9537,353,2005-07-07 20:35:00
2.99,1,2395,14622,544,2005-06-18 15:45:15
2.99,1,8269,10188,376,2005-07-29 01:26:54
0.99,1,2619,9466,350,2005-06-19 08:03:12
3.99,2,8119,10774,398,2005-07-28 19:23:15
0.99,1,12028,8577,316,2005-08-17 20:03:47
4.99,1,5320,6148,228,2005-07-09 16:23:32
4.99,2,13861,4205,154,2005-08-20 14:56:53
4.99,2,3095,8083,298,2005-06-20 16:16:53
5.99,1,3626,9102,337,2005-07-06 06:15:35
4.99,2,212,1620,59,2005-05-26 08:34:41
6.99,1,450,6679,247,2005-05-27 19:18:54
4.99,1,8532,14673,546,2005-07-29 10:26:56
0.99,1,12226,6312,234,2005-08-18 03:00:48
5.99,1,15090,15608,582,2005-08-22 11:34:33
7.99,2,14962,12133,449,2005-08-22 06:37:43
0.99,2,13218,6949,257,2005-08-19 15:39:39
4.99,2,10224,15725,587,2005-08-01 01:31:56
4.99,2,12694,7268,268,2005-08-18 20:10:39
4.99,1,12776,1529,55,2005-08-18 23:37:33
2.99,1,15158,15762,588,2005-08-22 14:30:39
5.99,1,437,14117,525,2005-05-27 17:47:22
7.99,1,7641,12849,475,2005-07-28 01:15:45
4.99,2,3787,12816,474,2005-07-06 14:02:01
2.99,2,7664,12448,461,2005-07-28 02:24:23
4.99,2,13210,13163,487,2005-08-19 15:23:38
5.99,2,11243,9762,361,2005-08-02 13:32:48
5.99,1,1473,6719,249,2005-06-15 20:55:20
6.99,1,962,13988,520,2005-05-30 18:45:17
9.99,1,3876,7990,295,2005-07-06 18:21:13
4.99,2,8920,2128,78,2005-07-30 01:59:24
9.99,1,5935,6964,258,2005-07-10 22:11:04
2.99,2,13742,15556,580,2005-08-20 10:49:15
0.99,1,12867,8930,330,2005-08-19 02:40:11
6.99,2,10180,1382,50,2005-07-31 23:57:43
0.99,1,2779,10177,376,2005-06-19 18:19:07
3.99,1,7405,1161,42,2005-07-27 16:25:11
0.99,2,9767,2432,89,2005-07-31 09:46:49
2.99,2,13098,1417,51,2005-08-19 10:51:59
6.99,2,6481,3448,128,2005-07-12 01:50:15
4.99,1,8639,7860,290,2005-07-29 14:30:31
4.99,2,15202,10148,374,2005-08-22 16:26:53
0.99,1,3555,14458,537,2005-07-06 02:45:35
2.99,2,1412,4489,166,2005-06-15 17:09:48
4.99,1,2349,13333,495,2005-06-18 12:25:14
4.99,1,6510,12038,446,2005-07-12 03:35:39
6.99,1,243,14595,543,2005-05-26 13:06:05
5.98,1,12130,13912,516,2006-02-14 15:16:03
7.99,1,15753,3920,144,2005-08-23 12:43:30
2.99,2,12712,11991,444,2005-08-18 21:04:13
2.99,1,1514,11085,410,2005-06-15 22:57:34
3.99,2,12851,5257,194,2005-08-19 02:12:12
0.99,2,3206,9468,350,2005-06-21 00:39:39
1.99,2,190,14340,533,2005-05-26 06:11:28
2.99,1,14040,464,17,2005-08-20 21:43:44
2.99,2,5190,14312,532,2005-07-09 10:25:24
8.99,1,6760,13523,502,2005-07-12 15:16:00
0.99,2,4660,3758,139,2005-07-08 09:54:47
0.99,1,10995,9205,340,2005-08-02 04:48:00
6.99,1,5064,13786,512,2005-07-09 04:38:51
4.99,2,2676,12889,477,2005-06-19 11:54:57
6.99,1,6496,3764,139,2005-07-12 02:57:39
4.99,2,3820,12420,460,2005-07-06 15:35:26
4.99,2,14724,14825,552,2005-08-21 21:53:47
2.99,2,9560,12736,471,2005-07-31 02:17:27
4.99,2,14383,13029,482,2005-08-21 10:02:05
0.99,1,10548,2319,85,2005-08-01 12:44:32
4.99,1,15983,12541,464,2005-08-23 20:13:38
3.99,1,15189,10784,398,2005-08-22 15:56:42
2.99,2,13006,3633,134,2005-08-19 07:47:16
2.99,2,13238,9426,348,2005-08-19 16:20:56
4.99,2,3654,14212,528,2005-07-06 07:45:31
0.99,2,6992,2858,106,2005-07-27 01:04:45
7.99,2,5942,8591,317,2005-07-10 22:47:17
7.99,2,14479,8776,324,2005-08-21 13:35:54
2.99,1,4703,14624,544,2005-07-08 11:44:56
2.99,2,7104,5889,217,2005-07-27 05:15:25
2.99,2,15908,3664,135,2005-08-23 17:42:00
6.99,2,15880,14229,528,2005-08-23 16:43:54
2.99,2,6002,1240,45,2005-07-11 01:27:49
4.99,1,7024,6797,252,2005-07-27 02:36:40
5.99,1,13840,1120,40,2005-08-20 14:23:20
2.99,1,14033,6585,243,2005-08-20 21:30:53
2.99,2,6753,3992,147,2005-07-12 14:55:42
4.99,1,10336,10009,370,2005-08-01 04:59:53
0.99,2,6732,8120,299,2005-07-12 13:58:51
4.99,2,15145,58,2,2005-08-22 13:53:04
4.99,1,7002,9444,349,2005-07-27 01:26:14
2.99,1,2904,1518,55,2005-06-20 02:54:06
4.99,1,8947,644,24,2005-07-30 03:15:37
4.99,2,3610,9404,348,2005-07-06 05:36:59
2.99,2,10906,12518,463,2005-08-02 01:47:04
0.99,1,10891,5460,201,2005-08-02 01:09:55
4.99,1,1693,11373,421,2005-06-16 12:39:51
4.99,2,9266,9847,364,2005-07-30 14:59:01
2.99,1,15845,2440,89,2005-08-23 15:38:34
5.99,2,9548,15442,576,2005-07-31 01:54:19
4.99,2,13710,9009,333,2005-08-20 09:35:20
2.99,1,5716,2750,102,2005-07-10 10:59:23
0.99,2,8921,9575,354,2005-07-30 02:04:02
0.99,2,2892,11604,430,2005-06-20 02:06:39
5.99,1,2742,5080,187,2005-06-19 16:05:47
5.99,2,4153,8116,299,2005-07-07 08:53:08
3.99,2,9549,1720,63,2005-07-31 01:57:04
4.99,2,14848,5920,218,2005-08-22 02:14:19
2.99,1,15584,13488,500,2005-08-23 05:49:21
5.99,2,2599,4635,171,2005-06-19 06:06:07
2.99,2,9014,8064,297,2005-07-30 05:19:27
4.99,2,6890,12792,473,2005-07-12 21:03:03
7.99,2,9754,12948,479,2005-07-31 09:23:43
7.99,1,1641,6983,259,2005-06-16 08:46:26
0.99,1,5637,1238,45,2005-07-10 06:31:37
2.99,1,13551,13568,503,2005-08-20 04:00:30
6.99,1,2994,4426,163,2005-06-20 09:17:05
2.99,2,15426,9396,347,2005-08-23 00:07:19
2.99,2,3197,9778,362,2005-06-21 00:07:23
8.99,2,13189,9967,368,2005-08-19 14:27:16
7.99,2,3422,6764,251,2005-06-21 17:24:40
4.99,1,7091,8711,322,2005-07-27 04:44:10
4.99,2,1315,10943,405,2005-06-15 10:23:08
3.99,1,8835,6402,237,2005-07-29 22:44:35
6.99,1,16009,3612,133,2005-08-23 21:07:59
4.99,1,1160,6446,239,2005-06-14 23:00:34
2.99,1,8346,10430,385,2005-07-29 04:48:22
2.99,2,1104,12559,466,2005-05-31 14:30:01
7.99,2,4822,5028,185,2005-07-08 17:28:47
0.99,2,7500,4352,160,2005-07-27 20:16:03
4.99,2,2183,9187,340,2005-06-18 01:06:01
4.99,2,10692,15970,596,2005-08-01 18:12:35
5.99,2,8637,8424,310,2005-07-29 14:30:11
1.99,1,2411,14936,558,2005-06-18 16:55:54
0.99,2,11237,11524,426,2005-08-02 13:24:01
0.99,1,11073,6309,234,2005-08-02 07:13:03
2.99,2,7298,3261,121,2005-07-27 12:45:14
3.99,1,15389,6244,231,2005-08-22 22:51:13
5.99,2,7864,527,20,2005-07-28 10:06:10
3.99,1,7269,5672,209,2005-07-27 11:23:47
4.99,1,217,3254,121,2005-05-26 09:24:26
3.99,1,15801,4486,165,2005-08-23 14:26:04
3.99,1,12951,1906,70,2005-08-19 05:56:44
4.99,1,2694,9947,368,2005-06-19 13:17:21
0.99,1,10072,14005,520,2005-07-31 19:50:37
4.99,2,12905,12973,480,2005-08-19 04:13:37
2.99,1,2792,11777,437,2005-06-19 18:52:25
2.99,2,1825,1516,55,2005-06-16 21:53:05
2.99,1,1377,6628,245,2005-06-15 15:02:03
4.99,1,7850,3176,118,2005-07-28 09:31:13
2.99,1,15093,1665,60,2005-08-22 11:39:03
4.99,2,14831,4258,156,2005-08-22 01:40:49
6.99,1,13116,4101,150,2005-08-19 11:31:41
4.99,1,637,6739,250,2005-05-28 18:14:29
1.99,1,15715,2356,86,2005-08-23 10:57:40
4.99,2,12218,1904,70,2005-08-18 02:48:14
5.99,1,6400,14437,536,2005-07-11 22:43:44
2.99,1,6221,10653,393,2005-07-11 13:24:27
1.99,2,6448,4351,160,2005-07-12 00:45:59
4.99,1,15364,5549,204,2005-08-22 21:41:41
4.99,2,13909,8409,309,2005-08-20 16:26:36
5.99,1,6859,8685,321,2005-07-12 19:53:57
5.99,1,11293,12858,475,2005-08-02 15:00:43
2.99,2,2801,787,29,2005-06-19 19:18:09
2.99,1,13028,10047,371,2005-08-19 08:27:23
8.99,2,2139,6349,236,2005-06-17 21:29:34
5.99,2,13021,8407,309,2005-08-19 08:08:04
4.99,2,4093,9104,337,2005-07-07 05:54:50
4.99,1,14865,2572,94,2005-08-22 03:06:38
2.99,1,1197,9435,349,2005-06-15 01:42:46
2.99,2,15954,12439,460,2005-08-23 19:14:07
0.99,1,9696,4250,156,2005-07-31 07:13:46
4.99,1,707,6788,252,2005-05-29 03:18:19
0.99,1,9564,10217,377,2005-07-31 02:31:37
2.99,2,5515,1079,39,2005-07-10 01:12:44
6.99,2,8994,7776,287,2005-07-30 04:51:32
3.99,2,4011,521,20,2005-07-07 00:48:25
4.99,2,7481,6488,240,2005-07-27 19:20:25
0.99,1,14132,2497,91,2005-08-21 01:43:58
4.99,2,11864,2613,96,2005-08-17 14:02:01
4.99,2,13542,4001,147,2005-08-20 03:41:57
4.99,2,12506,3090,114,2006-02-14 15:16:03
5.99,1,5120,10094,373,2005-07-09 07:14:23
4.99,2,9846,15354,573,2005-07-31 12:30:12
4.99,1,15371,2575,94,2006-02-14 15:16:03
4.99,1,2772,13991,520,2005-06-19 17:59:27
0.99,1,3653,4018,148,2005-07-06 07:45:13
6.99,2,6540,4246,156,2005-07-12 04:51:13
4.99,1,905,1359,50,2005-05-30 10:25:00
0.99,1,12799,5349,197,2005-08-19 00:27:01
2.99,1,3661,11923,442,2005-07-06 08:10:02
0.99,1,14292,6784,251,2005-08-21 07:06:20
2.99,1,15764,229,8,2005-08-23 13:05:10
4.99,1,9605,2568,94,2005-07-31 03:50:07
7.99,1,3658,6819,253,2005-07-06 08:01:08
0.99,1,9891,12488,462,2005-07-31 14:05:44
2.99,2,258,13511,502,2005-05-26 15:28:14
1.99,1,9771,10779,398,2005-07-31 09:55:36
4.99,1,10063,13931,517,2005-07-31 19:25:13
4.99,2,1990,15293,571,2005-06-17 10:48:44
6.99,2,866,207,8,2005-05-30 03:43:54
0.99,2,2885,8911,330,2005-06-20 01:33:42
1.99,2,8788,3263,121,2005-07-29 20:46:44
4.99,1,12879,5711,210,2005-08-19 03:22:55
2.99,2,14362,8477,312,2005-08-21 09:19:49
2.99,1,6362,9673,358,2005-07-11 21:09:31
4.99,2,14497,6869,254,2005-08-21 14:09:47
0.99,1,7030,14758,550,2005-07-27 03:01:40
2.99,2,7984,5645,208,2005-07-28 14:27:51
3.99,1,1868,10272,380,2005-06-17 02:03:22
3.99,1,1428,15613,583,2005-06-15 18:19:30
5.99,1,11552,6211,230,2005-08-17 01:04:29
6.99,1,10836,5896,217,2005-08-01 23:29:58
7.99,1,15134,596,22,2005-08-22 13:18:25
2.99,1,5314,10060,372,2005-07-09 16:05:28
5.99,2,11896,11763,436,2005-08-17 15:19:54
5.99,1,5478,15624,583,2005-07-09 23:45:15
0.99,1,12365,8238,303,2005-08-18 07:55:09
2.99,2,4009,10677,394,2005-07-07 00:28:55
0.99,1,6127,9594,355,2005-07-11 08:06:59
0.99,2,10446,2590,95,2005-08-01 09:02:17
2.99,1,3111,15509,579,2005-06-20 17:46:47
9.99,2,9511,14740,549,2005-07-31 00:25:05
2.99,1,7646,6879,255,2005-07-28 01:31:45
3.99,1,10563,5817,214,2005-08-01 13:06:03
4.99,2,5380,4498,166,2005-07-09 19:08:44
