tariffa_noleggio,voto,costo_sostituzione,descrizione,lingua_originale_id,film_id,lingua,data_rilascio,durata,titolo,durata_noleggio
4.99,NC-17,23.99,A Awe-Inspiring Documentary of a Technical Writer And a Husband who must Meet a Monkey in An Abandoned Fun House,,771,English,2006,137,SCORPION APOLLO,3
0.99,NC-17,27.99,A Awe-Inspiring Panorama of a Lumberjack And a Waitress who must Defeat a Crocodile in An Abandoned Amusement Park,,852,English,2006,103,STRANGELOVE DESIRE,4
0.99,PG,9.99,A Fanciful Display of a Car And a Monkey who must Escape a Squirrel in Ancient Japan,,656,English,2006,128,PAPI NECKLACE,3
4.99,NC-17,21.99,A Intrepid Saga of a Man And a Lumberjack who must Vanquish a Husband in The Outback,,334,English,2006,65,FREDDY STORM,6
0.99,NC-17,16.99,A Epic Reflection of a Pastry Chef And a Explorer who must Reach a Dentist in The Sahara Desert,,388,English,2006,70,GUNFIGHT MOON,5
0.99,NC-17,25.99,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,,110,English,2006,53,CABIN FLASH,4
2.99,NC-17,24.99,A Fast-Paced Tale of a Dog And a Forensic Psychologist who must Meet a Astronaut in The First Manned Space Station,,223,English,2006,76,DESIRE ALIEN,7
2.99,R,15.99,A Thrilling Saga of a Monkey And a Frisbee who must Escape a Explorer in The Outback,,788,English,2006,104,SHIP WONDERLAND,5
2.99,PG-13,9.99,A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan,,389,English,2006,127,GUNFIGHTER MUSSOLINI,3
2.99,G,10.99,A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans,,916,English,2006,80,TURN STAR,3
0.99,PG,12.99,A Epic Yarn of a Robot And a Explorer who must Challenge a Girl in A MySQL Convention,,727,English,2006,117,RESURRECTION SILVERADO,6
2.99,NC-17,22.99,A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon,,550,English,2006,74,MAGUIRE APACHE,6
4.99,PG-13,27.99,A Awe-Inspiring Reflection of a Boy And a Man who must Discover a Moose in The Sahara Desert,,666,English,2006,145,PAYCHECK WAIT,4
4.99,NC-17,14.99,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,,133,English,2006,117,CHAMBER ITALIAN,7
2.99,NC-17,23.99,A Lacklusture Reflection of a Monkey And a Squirrel who must Outrace a Womanizer in A Manhattan Penthouse,,620,English,2006,131,NEMO CAMPUS,5
0.99,NC-17,21.99,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,,149,English,2006,150,CHRISTMAS MOONSHINE,7
4.99,G,26.99,A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico,,202,English,2006,161,DADDY PITTSBURGH,5
2.99,PG-13,13.99,A Thrilling Documentary of a Feminist And a Feminist who must Confront a Feminist in A Baloon,,835,English,2006,112,SPY MILE,6
4.99,G,20.99,A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park,,217,English,2006,120,DAZED PUNK,6
4.99,G,13.99,A Emotional Character Study of a Car And a Girl who must Face a Composer in A U-Boat,,860,English,2006,93,SUICIDES SILENCE,4
0.99,PG-13,19.99,A Boring Story of a Car And a Butler who must Build a Girl in Soviet Georgia,,538,English,2006,162,LOVERBOY ATTACKS,7
4.99,NC-17,15.99,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,,117,English,2006,135,CANDLES GRAPES,6
4.99,R,21.99,A Fast-Paced Drama of a Hunter And a Boy who must Discover a Feminist in The Sahara Desert,,640,English,2006,102,OPUS ICE,5
0.99,PG-13,10.99,A Emotional Drama of a Monkey And a Robot who must Defeat a Monkey in New Orleans,,496,English,2006,179,KICK SAVANNAH,3
0.99,PG-13,22.99,A Fast-Paced Story of a Crocodile And a A Shark who must Sink a Pioneer in Berlin,,790,English,2006,67,SHOOTIST SUPERFLY,6
2.99,R,16.99,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,,129,English,2006,179,CAUSE DATE,3
4.99,PG-13,24.99,A Intrepid Story of a Dentist And a Hunter who must Confront a Monkey in Ancient Japan,,972,English,2006,59,WHISPERER GIANT,4
2.99,G,15.99,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,,56,English,2006,129,BAREFOOT MANCHURIAN,6
0.99,PG-13,9.99,A Fateful Yarn of a Composer And a Monkey who must Vanquish a Womanizer in The First Manned Space Station,,886,English,2006,184,THEORY MERMAID,5
2.99,PG-13,26.99,A Thoughtful Story of a Mad Scientist And a Waitress who must Confront a Forensic Psychologist in Soviet Georgia,,735,English,2006,102,ROBBERS JOON,7
2.99,G,17.99,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,,104,English,2006,119,BUGSY SONG,4
4.99,PG,20.99,A Fateful Yarn of a Husband And a Dog who must Battle a Waitress in A Jet Boat,,879,English,2006,148,TELEGRAPH VOYAGE,3
2.99,PG-13,13.99,A Beautiful Drama of a Robot And a Lumberjack who must Discover a Technical Writer in A Shark Tank,,740,English,2006,153,ROLLERCOASTER BRINGING,5
2.99,PG,14.99,A Intrepid Story of a Madman And a Frisbee who must Outgun a Boat in The Sahara Desert,,689,English,2006,137,POLLOCK DELIVERANCE,5
4.99,PG,24.99,A Astounding Tale of a Mad Scientist And a Husband who must Redeem a Database Administrator in Ancient Japan,,527,English,2006,85,LOLA AGENT,4
2.99,G,21.99,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,,80,English,2006,148,BLANKET BEVERLY,7
0.99,NC-17,23.99,A Thrilling Panorama of a Technical Writer And a Car who must Discover a Forensic Psychologist in A Shark Tank,,488,English,2006,105,JOON NORTHWEST,3
0.99,NC-17,22.99,A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park,,205,English,2006,58,DANCES NONE,3
2.99,G,12.99,A Astounding Display of a Explorer And a Boat who must Vanquish a Car in The First Manned Space Station,,431,English,2006,176,HOOSIERS BIRDCAGE,3
4.99,G,18.99,A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India,,354,English,2006,85,GHOST GROUNDHOG,6
4.99,PG-13,11.99,A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention,,971,English,2006,109,WHALE BIKINI,4
2.99,G,20.99,A Thoughtful Character Study of a Frisbee And a Mad Cow who must Outgun a Man in Ancient India,,230,English,2006,107,DIARY PANIC,7
2.99,PG-13,18.99,A Astounding Saga of a Mad Cow And a Pastry Chef who must Discover a Husband in Ancient India,,558,English,2006,71,MANNEQUIN WORST,3
4.99,PG,25.99,A Brilliant Display of a Robot And a Butler who must Fight a Waitress in An Abandoned Mine Shaft,,624,English,2006,149,NIGHTMARE CHILL,3
2.99,NC-17,22.99,A Awe-Inspiring Reflection of a Monkey And a Student who must Overcome a Dentist in The First Manned Space Station,,353,English,2006,125,GENTLEMEN STAGE,6
4.99,NC-17,27.99,A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan,,973,English,2006,183,WIFE TURN,3
4.99,NC-17,19.99,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,,92,English,2006,72,BOWFINGER GABLES,7
0.99,NC-17,10.99,A Stunning Saga of a Sumo Wrestler And a Student who must Outrace a Moose in The Sahara Desert,,401,English,2006,168,HAROLD FRENCH,6
4.99,R,21.99,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,,100,English,2006,161,BROOKLYN DESERT,7
0.99,R,15.99,A Emotional Epistle of a Boat And a Mad Scientist who must Outrace a Robot in An Abandoned Mine Shaft,,452,English,2006,122,ILLUSION AMELIE,4
4.99,PG,19.99,A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies,,871,English,2006,176,SWEDEN SHINING,6
2.99,PG,23.99,A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia,,414,English,2006,75,HELLFIGHTERS SIERRA,3
2.99,G,22.99,A Intrepid Reflection of a Waitress And a A Shark who must Kill a Squirrel in The Outback,,554,English,2006,159,MALKOVICH PET,6
0.99,NC-17,9.99,A Amazing Epistle of a Woman And a Squirrel who must Fight a Hunter in A Baloon,,629,English,2006,128,NOTORIOUS REUNION,7
0.99,NC-17,20.99,A Thoughtful Drama of a A Shark And a Forensic Psychologist who must Vanquish a Student in Ancient India,,696,English,2006,114,PRIDE ALAMO,6
2.99,G,17.99,A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin,,293,English,2006,167,EXORCIST STING,6
2.99,PG-13,24.99,A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse,,184,English,2006,92,CORE SUIT,3
2.99,R,17.99,A Awe-Inspiring Documentary of a Moose And a Madman who must Meet a Dog in An Abandoned Mine Shaft,,900,English,2006,136,TOWN ARK,6
2.99,PG,24.99,A Boring Character Study of a Boy And a A Shark who must Outrace a Womanizer in The Outback,,628,English,2006,172,NORTHWEST POLISH,5
4.99,PG,17.99,A Touching Yarn of a Student And a Moose who must Fight a Mad Cow in Australia,,611,English,2006,73,MUSKETEERS WAIT,7
4.99,PG,16.99,A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan,,485,English,2006,60,JERSEY SASSY,6
2.99,R,14.99,A Fateful Character Study of a Waitress And a Technical Writer who must Battle a Hunter in A Baloon,,793,English,2006,139,SHRUNK DIVINE,6
0.99,PG,11.99,A Unbelieveable Reflection of a Explorer And a Boat who must Conquer a Woman in California,,674,English,2006,99,PET HAUNTING,3
4.99,R,20.99,A Insightful Panorama of a Cat And a Boat who must Defeat a Boat in The Gulf of Mexico,,310,English,2006,158,FEVER EMPIRE,5
4.99,NC-17,27.99,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,,161,English,2006,70,CLUE GRAIL,6
2.99,G,10.99,A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House,,478,English,2006,112,JAWS HARRY,4
0.99,R,18.99,A Epic Documentary of a Composer And a Robot who must Overcome a Car in Berlin,,493,English,2006,92,KANE EXORCIST,5
4.99,R,20.99,A Boring Story of a Woman And a Feminist who must Redeem a Squirrel in A U-Boat,,390,English,2006,84,GUYS FALCON,4
4.99,PG-13,28.99,A Thrilling Yarn of a Pastry Chef And a A Shark who must Challenge a Mad Scientist in The Outback,,435,English,2006,181,HOTEL HAPPINESS,6
4.99,R,19.99,A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House,,749,English,2006,153,RULES HUMAN,6
4.99,NC-17,16.99,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,,31,English,2006,92,APACHE DIVINE,5
4.99,PG,17.99,A Action-Packed Panorama of a Mad Scientist And a Robot who must Challenge a Student in Nigeria,,883,English,2006,53,TEQUILA PAST,6
0.99,R,18.99,A Thoughtful Epistle of a Dog And a Feminist who must Chase a Composer in Berlin,,355,English,2006,101,GHOSTBUSTERS ELF,7
4.99,NC-17,14.99,A Thoughtful Story of a Car And a Boy who must Find a A Shark in The Sahara Desert,,267,English,2006,140,EAGLES PANKY,4
4.99,G,17.99,A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin,,371,English,2006,129,GOSFORD DONNIE,5
0.99,NC-17,22.99,A Awe-Inspiring Yarn of a Student And a Teacher who must Fight a Teacher in An Abandoned Amusement Park,,885,English,2006,179,TEXAS WATCH,7
2.99,G,13.99,A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan,,264,English,2006,101,DWARFS ALTER,6
4.99,PG-13,21.99,A Touching Display of a Explorer And a Lumberjack who must Fight a Forensic Psychologist in A Shark Tank,,929,English,2006,128,USUAL UNTOUCHABLES,5
2.99,G,13.99,A Awe-Inspiring Drama of a Girl And a Technical Writer who must Meet a Feminist in The Canadian Rockies,,770,English,2006,147,SCISSORHANDS SLUMS,5
0.99,PG,27.99,A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India,,906,English,2006,171,TRAMP OTHERS,4
4.99,G,18.99,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,,95,English,2006,123,BREAKFAST GOLDFINGER,5
2.99,NC-17,24.99,A Thrilling Reflection of a Pioneer And a Dentist who must Outrace a Womanizer in An Abandoned Mine Shaft,,442,English,2006,65,HUNTING MUSKETEERS,6
0.99,G,16.99,A Insightful Display of a Lumberjack And a Sumo Wrestler who must Meet a Man in The Outback,,581,English,2006,59,MINORITY KISS,4
4.99,R,23.99,A Taut Saga of a Lumberjack And a Pastry Chef who must Escape a Sumo Wrestler in An Abandoned Fun House,,779,English,2006,54,SENSE GREEK,4
4.99,PG,12.99,A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention,,980,English,2006,75,WIZARD COLDBLOODED,4
4.99,PG,23.99,A Beautiful Documentary of a Woman And a Pioneer who must Pursue a Mad Scientist in A Shark Tank,,338,English,2006,51,FRISCO FORREST,6
4.99,G,9.99,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,,260,English,2006,132,DUDE BLINDNESS,3
2.99,PG-13,9.99,A Emotional Saga of a Database Administrator And a Pastry Chef who must Confront a Teacher in A Baloon Factory,,572,English,2006,64,METROPOLIS COMA,4
2.99,G,29.99,A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia,,302,English,2006,131,FANTASIA PARK,5
0.99,R,17.99,A Unbelieveable Yarn of a Mad Scientist And a Cat who must Chase a Lumberjack in Australia,,339,English,2006,111,FROGMEN BREAKING,5
4.99,PG-13,14.99,A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan,,659,English,2006,109,PARK CITIZEN,3
2.99,NC-17,15.99,A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank,,259,English,2006,116,DUCK RACER,4
0.99,PG,27.99,A Beautiful Saga of a Lumberjack And a Teacher who must Build a Technical Writer in An Abandoned Fun House,,868,English,2006,114,SUPERFLY TRIP,5
4.99,PG-13,17.99,A Astounding Documentary of a Butler And a Explorer who must Challenge a Butler in A Monastery,,347,English,2006,119,GAMES BOWFINGER,7
0.99,G,22.99,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,,89,English,2006,63,BORROWERS BEDAZZLED,7
2.99,PG,22.99,A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank,,481,English,2006,58,JEKYLL FROGMEN,4
0.99,G,13.99,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,,357,English,2006,114,GILBERT PELICAN,7
4.99,G,12.99,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,,271,English,2006,148,EASY GLADIATOR,5
2.99,PG,28.99,A Fast-Paced Story of a Waitress And a Cat who must Fight a Girl in Australia,,592,English,2006,107,MONSTER SPARTACUS,6
4.99,PG-13,10.99,A Taut Epistle of a Monkey And a Boy who must Confront a Husband in A Jet Boat,,633,English,2006,54,OCTOBER SUBMARINE,6
0.99,NC-17,10.99,A Fateful Yarn of a Composer And a Man who must Face a Boy in The Canadian Rockies,,998,English,2006,105,ZHIVAGO CORE,6
0.99,PG-13,29.99,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,,157,English,2006,143,CLOCKWORK PARADISE,7
2.99,PG,15.99,A Epic Drama of a Mad Scientist And a Explorer who must Succumb a Waitress in An Abandoned Fun House,,802,English,2006,132,SKY MIRACLE,7
0.99,PG-13,28.99,A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan,,730,English,2006,46,RIDGEMONT SUBMARINE,3
2.99,G,27.99,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,,55,English,2006,65,BARBARELLA STREETCAR,6
0.99,R,20.99,A Brilliant Epistle of a Composer And a Frisbee who must Conquer a Husband in The Outback,,367,English,2006,153,GOLDMINE TYCOON,6
0.99,PG,25.99,A Thrilling Yarn of a Waitress And a Dentist who must Find a Hunter in A Monastery,,555,English,2006,133,MALLRATS UNITED,4
2.99,PG,10.99,A Boring Epistle of a Crocodile And a Lumberjack who must Outgun a Moose in Ancient China,,847,English,2006,160,STOCK GLASS,7
2.99,PG,16.99,A Thrilling Epistle of a Frisbee And a Cat who must Fight a Technical Writer in Berlin,,693,English,2006,115,POTTER CONNECTICUT,5
2.99,G,15.99,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,,43,English,2006,170,ATLANTIS CAUSE,6
4.99,NC-17,22.99,A Brilliant Panorama of a Moose And a Man who must Reach a Teacher in The Gulf of Mexico,,655,English,2006,109,PANTHER REDS,5
2.99,PG-13,19.99,A Epic Display of a Dog And a Boat who must Succumb a Mad Scientist in An Abandoned Mine Shaft,,800,English,2006,126,SINNERS ATLANTIS,7
4.99,NC-17,12.99,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,,172,English,2006,112,CONEHEADS SMOOCHY,7
2.99,R,11.99,A Fateful Story of a Lumberjack And a Car who must Escape a Boat in An Abandoned Mine Shaft,,337,English,2006,73,FRIDA SLIPPER,6
2.99,G,26.99,A Boring Documentary of a Dentist And a Butler who must Confront a Monkey in A MySQL Convention,,567,English,2006,80,MEET CHOCOLATE,3
4.99,PG,27.99,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,,103,English,2006,133,BUCKET BROTHERHOOD,7
2.99,NC-17,26.99,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,,136,English,2006,146,CHAPLIN LICENSE,7
2.99,G,23.99,A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China,,638,English,2006,156,OPERATION OPERATION,7
0.99,PG-13,14.99,A Taut Reflection of a Secret Agent And a Man who must Redeem a Explorer in A MySQL Convention,,809,English,2006,156,SLIPPER FIDELITY,5
0.99,NC-17,22.99,A Taut Story of a Moose And a Squirrel who must Build a Husband in Ancient India,,218,English,2006,122,DECEIVER BETRAYED,7
4.99,G,17.99,A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria,,964,English,2006,61,WATERFRONT DELIVERANCE,4
2.99,PG,17.99,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,,6,English,2006,169,AGENT TRUMAN,3
4.99,NC-17,22.99,A Fateful Tale of a Squirrel And a Forensic Psychologist who must Redeem a Man in Nigeria,,330,English,2006,112,FORRESTER COMANCHEROS,7
4.99,PG,19.99,A Amazing Saga of a Madman And a Dentist who must Build a Car in A Manhattan Penthouse,,446,English,2006,150,HYSTERICAL GRAIL,5
4.99,PG,27.99,A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin,,215,English,2006,57,DAWN POND,4
4.99,NC-17,26.99,A Action-Packed Tale of a Sumo Wrestler And a A Shark who must Meet a Frisbee in California,,244,English,2006,139,DORADO NOTTING,5
4.99,PG-13,13.99,A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention,,804,English,2006,129,SLEEPING SUSPECTS,7
4.99,PG-13,21.99,A Intrepid Yarn of a Monkey And a Boy who must Fight a Composer in A Manhattan Penthouse,,769,English,2006,151,SCHOOL JACKET,5
2.99,G,12.99,A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia,,529,English,2006,67,LONELY ELEPHANT,3
4.99,NC-17,27.99,A Fast-Paced Story of a Car And a Cat who must Outgun a Hunter in Berlin,,671,English,2006,99,PERDITION FARGO,7
4.99,G,18.99,A Beautiful Saga of a Feminist And a Composer who must Challenge a Moose in Berlin,,954,English,2006,73,WAKE JAWS,7
4.99,PG,11.99,A Amazing Drama of a Mad Scientist And a Composer who must Build a Husband in The Outback,,719,English,2006,182,RECORDS ZORRO,7
2.99,NC-17,22.99,A Amazing Documentary of a Student And a Sumo Wrestler who must Outgun a A Shark in A Shark Tank,,432,English,2006,139,HOPE TOOTSIE,4
0.99,R,10.99,A Intrepid Character Study of a Robot And a Monkey who must Reach a Secret Agent in An Abandoned Amusement Park,,808,English,2006,84,SLING LUKE,5
0.99,PG-13,28.99,A Astounding Character Study of a Hunter And a Waitress who must Sink a Man in New Orleans,,855,English,2006,132,STREAK RIDGEMONT,7
4.99,R,9.99,A Action-Packed Reflection of a Car And a Moose who must Outgun a Car in A Shark Tank,,686,English,2006,84,PLUTO OLEANDER,5
0.99,G,20.99,A Boring Yarn of a Mad Cow And a Sumo Wrestler who must Meet a Robot in Australia,,376,English,2006,155,GRAPES FURY,4
4.99,G,11.99,A Awe-Inspiring Drama of a Technical Writer And a Composer who must Reach a Pastry Chef in A U-Boat,,313,English,2006,118,FIDELITY DEVIL,5
0.99,PG,11.99,A Intrepid Story of a Madman And a Secret Agent who must Outrace a Astronaut in An Abandoned Amusement Park,,275,English,2006,85,EGYPT TENENBAUMS,3
