nome_categoria,film_id,categoria_id
Travel,103,16
Games,781,10
Drama,172,7
Animation,325,2
Travel,645,16
Animation,693,2
Games,560,10
Travel,989,16
Drama,897,7
Family,82,8
Family,715,8
Foreign,595,9
Foreign,16,9
Travel,233,16
Sports,446,15
Drama,173,7
Documentary,219,6
New,759,13
New,448,13
Action,250,1
Comedy,522,5
Foreign,726,9
Action,586,1
Comedy,529,5
Sci-Fi,930,14
Animation,433,2
Children,955,3
Games,596,10
Sports,898,15
Travel,386,16
Sports,773,15
Horror,34,11
Sports,628,15
Sports,851,15
Travel,878,16
Children,608,3
Travel,451,16
Animation,160,2
Documentary,295,6
New,270,13
Family,778,8
Foreign,674,9
Foreign,661,9
Animation,880,2
Drama,504,7
Action,126,1
Sports,875,15
Animation,330,2
Action,927,1
Animation,892,2
Family,213,8
Children,853,3
Comedy,613,5
Family,50,8
Classics,843,4
Sci-Fi,153,14
Action,549,1
Action,111,1
Sports,691,15
New,846,13
Animation,70,2
Drama,230,7
Comedy,657,5
Horror,351,11
Music,54,12
Sci-Fi,137,14
Documentary,712,6
Sports,254,15
Action,318,1
Classics,899,4
Drama,882,7
Children,373,3
Documentary,544,6
New,305,13
Sci-Fi,422,14
Family,682,8
Animation,564,2
Classics,357,4
Action,212,1
Children,370,3
Classics,537,4
Comedy,568,5
Children,688,3
Music,161,12
Classics,725,4
Drama,366,7
Comedy,413,5
Sci-Fi,397,14
Family,348,8
Documentary,150,6
Sports,293,15
New,22,13
Children,66,3
New,283,13
Children,833,3
Comedy,680,5
Sports,532,15
Sports,681,15
Animation,78,2
Sci-Fi,39,14
Sci-Fi,338,14
Documentary,72,6
Family,498,8
New,675,13
Horror,722,11
Sports,763,15
Music,158,12
Animation,583,2
Travel,868,16
Family,617,8
Family,315,8
Documentary,85,6
Foreign,170,9
Family,94,8
Horror,995,11
Drama,775,7
New,109,13
Drama,204,7
Games,654,10
Sci-Fi,972,14
Horror,600,11
Travel,87,16
Family,822,8
Action,991,1
Classics,611,4
Documentary,164,6
Games,264,10
Animation,326,2
Travel,339,16
Comedy,754,5
Horror,35,11
Classics,536,4
Sports,113,15
Games,189,10
Classics,874,4
Family,736,8
Games,362,10
Sports,474,15
Games,200,10
Action,205,1
New,45,13
Children,328,3
Action,869,1
Documentary,457,6
Action,964,1
Music,540,12
Horror,909,11
Action,162,1
Music,363,12
Foreign,198,9
Games,106,10
Travel,656,16
Horror,990,11
Music,86,12
Sci-Fi,140,14
Animation,916,2
Games,408,10
New,937,13
Sports,197,15
Games,835,10
Classics,891,4
Horror,334,11
Horror,258,11
New,750,13
Animation,615,2
Action,360,1
Documentary,698,6
New,144,13
Children,883,3
Documentary,973,6
New,267,13
New,590,13
Sports,453,15
Animation,901,2
Games,614,10
Action,271,1
Children,801,3
Music,76,12
Sports,372,15
Drama,923,7
Documentary,996,6
New,77,13
Animation,743,2
Drama,942,7
Classics,815,4
Children,343,3
Foreign,705,9
Documentary,261,6
Children,152,3
Foreign,947,9
Action,717,1
Games,624,10
New,561,13
Foreign,605,9
Sports,176,15
Sports,809,15
Music,278,12
Action,574,1
Foreign,908,9
Music,673,12
Family,345,8
Documentary,945,6
Sports,420,15
Comedy,502,5
Sci-Fi,81,14
Foreign,971,9
Games,949,10
Family,780,8
Family,391,8
Foreign,104,9
Sports,729,15
Foreign,399,9
Animation,569,2
Documentary,791,6
Drama,771,7
Documentary,616,6
Foreign,486,9
Drama,521,7
Sports,42,15
Animation,268,2
Sci-Fi,319,14
Travel,75,16
New,436,13
Sci-Fi,655,14
Foreign,452,9
Animation,23,2
Sci-Fi,203,14
Music,333,12
Travel,642,16
Animation,18,2
Action,579,1
Classics,828,4
Action,67,1
Action,794,1
Horror,885,11
Travel,543,16
Animation,193,2
Travel,307,16
Horror,415,11
Sci-Fi,234,14
Music,879,12
Foreign,769,9
Children,356,3
Travel,288,16
Sports,463,15
Horror,876,11
Sci-Fi,44,14
Foreign,789,9
Sci-Fi,860,14
Documentary,888,6
Animation,464,2
Family,309,8
Sports,120,15
Games,699,10
Documentary,466,6
Music,767,12
Family,866,8
Sci-Fi,350,14
New,994,13
Animation,849,2
Drama,907,7
Family,499,8
Music,741,12
Classics,554,4
Sci-Fi,394,14
Children,573,3
Animation,582,2
Documentary,407,6
Travel,526,16
Music,384,12
Animation,816,2
Comedy,756,5
Animation,349,2
Music,983,12
Sports,256,15
Family,359,8
Sports,102,15
Family,437,8
Documentary,62,6
Drama,401,7
Classics,37,4
Sci-Fi,625,14
New,974,13
Foreign,435,9
Children,588,3
New,321,13
Animation,963,2
Documentary,497,6
Games,941,10
Action,371,1
Travel,169,16
Classics,950,4
Travel,914,16
Documentary,589,6
Sports,383,15
Classics,131,4
Comedy,404,5
Games,762,10
Foreign,531,9
Classics,346,4
Action,911,1
Children,928,3
Music,819,12
Documentary,336,6
Animation,223,2
Documentary,248,6
Documentary,650,6
Animation,651,2
Sports,733,15
Sports,135,15
Drama,107,7
Comedy,939,5
Documentary,206,6
Horror,275,11
Children,304,3
Family,428,8
Action,732,1
Children,896,3
Horror,870,11
Classics,694,4
Comedy,905,5
Foreign,112,9
Drama,418,7
Action,329,1
Classics,432,4
Sports,745,15
Travel,785,16
Classics,484,4
Music,752,12
Action,395,1
Animation,510,2
Documentary,40,6
Sports,389,15
Sci-Fi,637,14
Animation,820,2
Foreign,440,9
Comedy,99,5
Foreign,821,9
Animation,243,2
Classics,525,4
Travel,41,16
Documentary,834,6
Animation,692,2
Travel,342,16
Classics,512,4
Sports,517,15
Comedy,182,5
Horror,965,11
Family,139,8
Comedy,242,5
New,635,13
Drama,473,7
Family,795,8
Action,375,1
Foreign,607,9
Comedy,7,5
Documentary,427,6
Sci-Fi,831,14
Drama,79,7
Sci-Fi,967,14
Children,423,3
Sports,488,15
Family,610,8
Documentary,629,6
Travel,57,16
Drama,33,7
Travel,286,16
Sci-Fi,49,14
Horror,737,11
Horror,653,11
Documentary,142,6
Foreign,148,9
Animation,690,2
Comedy,308,5
Travel,434,16
Foreign,11,9
Sports,676,15
Games,597,10
Family,603,8
Family,476,8
Animation,865,2
Family,824,8
Classics,228,4
Action,303,1
Drama,439,7
Classics,487,4
Comedy,765,5
Horror,799,11
Sci-Fi,839,14
Sci-Fi,893,14
Foreign,128,9
Animation,239,2
Family,639,8
Comedy,324,5
Documentary,129,6
Music,398,12
Action,19,1
Animation,430,2
Children,852,3
Foreign,100,9
Family,63,8
Action,664,1
Music,74,12
Children,191,3
Foreign,640,9
Sports,719,15
Classics,297,4
Family,946,8
Sports,598,15
Sports,836,15
Foreign,533,9
Music,718,12
Games,701,10
Comedy,871,5
Games,117,10
Music,884,12
Games,591,10
Drama,662,7
Horror,4,11
Travel,405,16
Sci-Fi,367,14
Animation,241,2
Sports,668,15
Documentary,757,6
Action,292,1
New,320,13
Classics,548,4
Sci-Fi,151,14
Animation,461,2
Animation,456,2
New,136,13
Sports,27,15
Children,515,3
Drama,396,7
Classics,166,4
Games,746,10
Games,508,10
Action,501,1
Family,727,8
Drama,818,7
Family,528,8
Foreign,584,9
Action,748,1
Classics,60,4
Documentary,274,6
Sci-Fi,240,14
Animation,470,2
Games,684,10
Sports,671,15
Comedy,672,5
Sports,429,15
Travel,931,16
Music,987,12
Animation,314,2
Sci-Fi,165,14
Sci-Fi,195,14
Animation,696,2
Horror,830,11
Music,51,12
Games,227,10
Drama,739,7
Horror,475,11
Music,378,12
Travel,848,16
New,93,13
Classics,14,4
Sports,187,15
Travel,787,16
Classics,970,4
Music,592,12
Comedy,478,5
Sci-Fi,177,14
Children,424,3
Foreign,192,9
Travel,903,16
Sports,291,15
Music,244,12
Sports,631,15
Sports,779,15
Drama,146,7
New,551,13
Travel,84,16
Music,284,12
Animation,805,2
Sports,322,15
Action,823,1
Horror,800,11
Sci-Fi,312,14
Foreign,845,9
Sci-Fi,55,14
Children,68,3
Children,553,3
Horror,904,11
Action,659,1
Drama,179,7
Drama,709,7
Drama,209,7
Sports,796,15
Horror,277,11
Travel,472,16
Sci-Fi,620,14
Action,542,1
Foreign,431,9
Comedy,332,5
Classics,578,4
New,847,13
Comedy,188,5
New,25,13
Travel,299,16
Foreign,500,9
Classics,184,4
Travel,518,16
Family,695,8
Comedy,774,5
Animation,886,2
Action,915,1
Foreign,545,9
Music,174,12
Games,919,10
Documentary,734,6
Games,316,10
Comedy,247,5
Sci-Fi,449,14
Documentary,576,6
New,364,13
Sports,844,15
Children,864,3
Games,215,10
New,954,13
Animation,208,2
Family,377,8
Family,634,8
Children,354,3
Travel,784,16
Animation,541,2
Family,147,8
Children,468,3
Music,636,12
Animation,649,2
Music,516,12
Family,273,8
Foreign,792,9
Action,253,1
Family,975,8
Documentary,960,6
Sci-Fi,298,14
Sports,323,15
Animation,300,2
Foreign,15,9
Children,392,3
Horror,702,11
Music,411,12
Horror,998,11
Drama,218,7
Sci-Fi,602,14
Sci-Fi,863,14
Classics,633,4
Family,83,8
Sports,599,15
Comedy,932,5
Foreign,493,9
Drama,403,7
Classics,196,4
Games,807,10
Comedy,276,5
Music,562,12
Sports,890,15
Classics,471,4
Family,810,8
Sci-Fi,390,14
Children,509,3
Classics,482,4
Family,710,8
Foreign,641,9
Children,735,3
Action,825,1
Family,479,8
Action,511,1
Sports,279,15
Documentary,926,6
Travel,294,16
Family,175,8
Horror,854,11
Drama,643,7
Documentary,58,6
Drama,585,7
Games,840,10
Games,438,10
Comedy,604,5
Children,110,3
Sports,940,15
Sci-Fi,711,14
