stato,stato_id,città_id,città
Nigeria,69,152,Effon-Alaiye
Peru,74,305,Lima
Malaysia,59,282,Kuching
Thailand,94,489,Songkhla
Egypt,29,421,Qalyub
Madagascar,57,319,Mahajanga
Mexico,60,106,Celaya
China,23,302,Liaocheng
Mexico,60,202,Hidalgo
India,44,417,Pune
China,23,139,Daxian
China,23,579,Xi´angtan
Ukraine,100,479,Simferopol
Japan,50,376,Okayama
Philippines,75,98,Cabuyao
China,23,536,Tiefa
Japan,50,552,Ueda
American Samoa,3,516,Tafuna
Philippines,75,294,Lapu-Lapu
Nigeria,69,217,Ife
Italy,49,511,Syrakusa
China,23,240,Jinchang
China,23,578,Xi´angfan
India,44,22,Ambattur
India,44,211,Hubli-Dharwad
Brazil,15,215,Ibirité
Hong Kong,42,279,Kowloon and New Kowloon
Ukraine,100,385,Šostka
Philippines,75,182,Gingoog
Vietnam,105,359,Nam Dinh
India,44,448,Sambhal
Egypt,29,465,Sawhaj
Poland,76,236,Jastrzebie-Zdrój
Philippines,75,517,Taguig
China,23,407,Pingxiang
Gambia,37,54,Banjul
Russian Federation,80,466,Serpuhov
United States,103,41,Augusta-Richmond County
Japan,50,287,Kuwana
Philippines,75,192,Hagonoy
Kenya,52,372,Nyeri
India,44,239,Jhansi
Philippines,75,528,Tarlac
Bahrain,11,14,al-Manama
Russian Federation,80,558,Usolje-Sibirskoje
Mexico,60,330,Matamoros
India,44,429,Ranchi
China,23,584,Yantai
Bulgaria,17,436,Ruse
Saudi Arabia,82,237,Jedda
Philippines,75,221,Imus
Liechtenstein,55,560,Vaduz
United Arab Emirates,101,3,Abu Dhabi
India,44,74,Bhilwara
Turkey,97,163,Eskisehir
Netherlands,67,151,Ede
Colombia,24,147,Dos Quebradas
Nigeria,69,69,Benin City
India,44,71,Berhampore (Baharampur)
France,34,92,Brest
Brazil,15,89,Brasília
Japan,50,355,Nagareyama
China,23,207,Hohhot
Indonesia,45,509,Surakarta
Brazil,15,328,Maringá
South Africa,85,244,Johannesburg
Taiwan,92,546,Tsaotun
China,23,462,Sanya
French Polynesia,36,167,Faaa
United States,103,135,Dallas
India,44,197,Halisahar
Egypt,29,337,Mit Ghamr
Bangladesh,12,525,Tangail
Russian Federation,80,238,Jelets
India,44,110,Chapra
Yemen,107,518,Taizz
Japan,50,555,Urawa
India,44,400,Patiala
China,23,242,Jinzhou
Mexico,60,125,Coatzacoalcos
South Africa,85,392,Paarl
Saudi Arabia,82,2,Abha
Bangladesh,12,143,Dhaka
United Kingdom,102,495,Southend-on-Sea
Japan,50,10,Akishima
Sri Lanka,88,230,Jaffna
Algeria,2,59,Batna
Indonesia,45,532,Tegal
Canada,20,300,Lethbridge
Saudi Arabia,82,515,Tabuk
Philippines,75,519,Talavera
Brazil,15,413,Poços de Caldas
Argentina,6,454,San Miguel de Tucumán
"Virgin Islands, U.S.",106,111,Charlotte Amalie
Indonesia,45,318,Madiun
