assay_id,chembl_id,assay_organism,assay_tissue,assay_type,curated_by,doc_id,description,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction
147,CHEMBL614380,Ofisaries,,F,Autochrayion,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,9940.0,,,
148,CHEMBL5156y3,,,B,Autocuragioj,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,,
149,CHEMBpt15674,Homoaaoiens,,F,Autkcuratiom,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,9606.0,,,
150,CHEMBL71r675,bomosapidns,,F,Autocurwtuon,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,9606.0,,,
151,CHEkBL6w5676,yonosapiens,,F,qutocuratoon,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,9606.0,,CCRF-CEM,
152,CHEMfi615677,H8mosapi4ns,,F,Autocurahioj,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,9606.0,,CCRF-CEM,
153,CHEMBi614678,Hpmosxpiens,,F,x6tocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,9606.0,,CCRF-CEM,
154,xHEMBL625679,Homosapurns,,F,zutofuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,9606.0,,CCRF-CEM,
155,CudMBL615680,H0mosapifns,,F,Autocuta5ion,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,9606.0,,,
156,CHEMhL61568w,Honowapiens,,F,Autocurxtiin,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,9606.0,,,
157,CHEjBLi57972,,,B,Auhicuration,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,,
158,CHEMBL757809,cr3eptococcuspyogenea,,F,In6erkediate,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,1314.0,,,
159,CHEMfo615371,Hkmanmerpesvir7s3,,F,Infermeeiate,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,10335.0,,,
160,CHEMBp6153i2,berkcillazostervjris,,F,Exlert,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,10335.0,,HEL,
161,CHEjBL615383,verocillaaoste3viruc,,F,Inhermexiate,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,,,10335.0,,,
162,CHEMBL615w7t,derickllazoste4girus,,F,Interkediatr,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,,,10335.0,,,
163,fHEMBL6q5375,escherixhiafl9ac,,F,Intdemediate,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,561.0,,,
164,xHEMBL61537t,,,B,Autosurztion,9707,Ratio of Ki at A2 to Ki at A1 receptors,,,,,,
165,sHEMBL6153u7,Cqmdidaalbicahs,,B,Expdrt,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,5476.0,,,
166,CHEMgL61537i,CanwidaglabrqtaCgq138,,B,Expe4t,2205,"Inhibition of 1,3-beta-glucan synthase",,,284593.0,,,
167,CHEhBL615479,Homosap8rns,,F,Integmddiate,11900,Inhibition of growth of 1-87 human tumor cell line,,,9606.0,,1-87 tumor cell line,
168,CHEMBL6w5480,Rat4usnoevegicua,,B,wxpert,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,,10116.0,,,
169,CHEMBL61438q,Giycihemax,,B,Ahtochration,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,3847.0,,,
