assays_ss_d,assays_src_d,assays_ss_cll_tp,assays_cnfdnc_scr,assays_ss_rgnsm,assays_ss_tst_tp,assays_ss_ctgr,assays_ss_tx_d,assays_tss_d,assays_cll_d,assays_dscrptn,assays_ss_tss,assays_vrnt_d,assays_src_ss_d,assays_ss_sbclllr_frctn,assays_b_frmt,assays_td,assays_rltnshp_tp,assays_crtd_b,assays_chmbl_d
7534,1,,1,Rattus norvegicus,,,10116.0,,,Compound was tested for solubility in water,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618656
7535,1,,0,,,,,,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,,,,BAO_0000100,22229,U,Intermediate,CHEMBL618657
7536,1,,1,Rattus norvegicus,,,10116.0,,,Solubility was determined,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618658
7537,1,,1,Rattus norvegicus,,,10116.0,,,solubility in water (ug/mL) at 37 degree C.,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618659
7538,1,,1,Rattus norvegicus,,,10116.0,,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618660
7539,1,,1,Rattus norvegicus,,,10116.0,,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618661
7540,1,,1,Rattus norvegicus,,,10116.0,,,Half life in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL873807
7541,1,,1,Rattus norvegicus,,,10116.0,,,Half life in Dawley rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618662
7542,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period after 3 mg/kg iv administration,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618663
7543,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period after 3 mg/kg iv administration in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618664
7544,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period after 3 mg/kg iv administration in the rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618665
7545,1,,1,Rattus norvegicus,,,10116.0,,,Half life period in female Sprague-Dawley rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL876498
7546,1,,1,Rattus norvegicus,,,10116.0,,,Half life period in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618666
7547,1,,1,Rattus norvegicus,,,10116.0,,,Half-life in rats was determined,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620440
7548,1,,1,Rattus norvegicus,,,10116.0,,,Half-life in rats with metabolic oxidation,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620441
7549,1,,1,Rattus norvegicus,,,10116.0,,,Half-life in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620442
7550,1,,1,Rattus norvegicus,In vivo,,10116.0,,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620443
7551,1,,1,Rattus norvegicus,In vivo,,10116.0,,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620444
7552,1,,1,Rattus norvegicus,In vivo,,10116.0,,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620445
7553,1,,1,Rattus norvegicus,In vivo,,10116.0,,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620446
7554,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Biological half-life measured in plasma of rat,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL620447
7555,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Biological half-life measured in plasma of rat; 22-25,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621129
7556,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Biological half-life measured in plasma of rat; 9-16,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621130
7557,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Compound was evaluated for its half life when administered intravenously in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL873808
7558,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL876598
7559,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621131
7560,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life (T1/2) after oral administration in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621132
7561,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life of compound after iv administration of 20 mg/kg dose in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621133
7562,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,,,,BAO_0000218,50597,N,Expert,CHEMBL621312
7563,1,,1,Rattus norvegicus,,,10116.0,,,Half life of compound was determined in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621313
7564,1,,1,Rattus norvegicus,,,10116.0,178.0,,Half life of compound was determined in rat blood,Blood,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621314
7565,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life at 1 mg/kg was determined in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621315
7566,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life at 10 mg/kg was determined in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621316
7567,1,,1,Rattus norvegicus,,,10116.0,,,Half life in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621317
7568,1,,1,Rattus norvegicus,,,10116.0,,,Half life in rats in hours,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621318
7569,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621319
7570,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621377
7571,1,,1,Rattus norvegicus,,,10116.0,,,Half life was determined,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621378
7572,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life after i.v. administration,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL876599
7573,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621379
7574,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Half life in rat plasma,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621380
7575,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Half life in rat plasma; Not detected,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621381
7576,1,,1,Rattus norvegicus,,,10116.0,,,Half life in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618515
7577,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period of compound was determined after peroral administration,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618516
7578,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618517
7579,1,,1,Rattus norvegicus,,,10116.0,,,Half life period in rat,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618518
7580,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618519
7581,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618698
7582,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618862
7583,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618863
7584,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618864
7585,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half life time in rat the dose of 2 mg/kg,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618865
7586,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half-life 24 hr after 10 mg/kg iv administration in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618866
7587,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half-life 24 hr after 2 mg/kg iv administration in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618867
7588,1,,1,Rattus norvegicus,,,10116.0,,,Half-life consistent with the observed metabolic steady state in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL875828
7589,1,,1,Rattus norvegicus,In vivo,,10116.0,,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618868
7590,1,,1,Rattus norvegicus,,,10116.0,,,Half-life for oxidative metabolic stability was determined using male human,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618869
7591,1,,1,Rattus norvegicus,In vivo,,10116.0,,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618870
7592,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Half-life in rat plasma,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618871
7593,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Half-life in rat plasma was determined,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL618872
7594,1,,1,Rattus norvegicus,,,10116.0,,,Half-life in rats was determined,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL873816
7595,1,,0,,,,,,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL618873
7596,1,,0,,,,,,,Area under curve after oral dose of 0.1 mg//kg,,,,,BAO_0000019,22224,U,Autocuration,CHEMBL621602
7597,1,,0,,,,,,,Area under curve after oral dose of 0.3 mg/kg,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL621603
7598,1,,0,,,,,,,Area under curve after oral dose of 1 mg/kg,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL621604
7599,1,,0,,,,,,,Area under curve after oral dose of 10 mg/kg,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL621605
7600,1,,0,,,,,,,Area under curve after oral dose of 23.4 mg/kg,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL621606
7601,1,,0,,,,,,,Area under curve after oral dose of 3 mg/kg,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL621607
7602,1,,0,,,,,,,Area under curve after oral dose of 3.87 mg/kg,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL621608
7603,1,,0,,,,,,,Area under curve was determined,,,,,BAO_0000019,22224,U,Autocuration,CHEMBL621609
7604,1,,0,,,,,,,Area under curve at a dose of 10 mg/kg,,,,,BAO_0000218,22224,U,Autocuration,CHEMBL621610
7605,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined; ND=No data,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621611
7606,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL621612
7607,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622308
7608,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622309
7609,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622310
7610,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622311
7611,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622312
7612,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622931
7613,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622932
7614,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622736
7615,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622737
7616,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622738
7617,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622739
7618,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622740
7619,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622741
7620,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622742
7621,1,,1,Rattus norvegicus,,,10116.0,1969.0,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,Plasma,,,,BAO_0000218,50597,N,Intermediate,CHEMBL622743
7622,1,,1,Mus musculus,,,10090.0,1969.0,,AUC in mice,Plasma,,,,BAO_0000218,50594,N,Intermediate,CHEMBL622744
7623,1,,0,,,,,,,Area under curve was measured from the graph obtained from concentration Vs time,,,,,BAO_0000019,22224,U,Autocuration,CHEMBL624134
7624,1,,0,,,,,,,Area under curve value of compound per hour after oral administration,,,,,BAO_0000019,22224,U,Autocuration,CHEMBL624135
7625,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined after oral administration in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624136
7626,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined after oral administration in rats; No data,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624137
7627,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined after oral administration in rats;No data,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624320
7628,1,,1,Canis lupus familiaris,,,9615.0,,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,,,,BAO_0000218,50588,N,Intermediate,CHEMBL624321
7629,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624322
7630,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined for the compound after iv dose of 5.06 in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624323
7631,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624324
7632,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624325
7633,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624326
7634,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624327
7635,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL624328
7636,1,,1,Canis lupus familiaris,,,9615.0,,,Area under curve was determined in Dogs after peroral administration,,,,,BAO_0000218,50588,N,Intermediate,CHEMBL627848
7637,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined in Rats after peroral administration,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627849
7638,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined in carotid blood of rat when administered intradermally,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627850
7639,1,,1,Rattus norvegicus,,,10116.0,,,Area under curve was determined in portal blood of rat when administered intradermally,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627851
7640,1,,1,Mus musculus,,,10090.0,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,,,BAO_0000218,50594,N,Intermediate,CHEMBL627852
7641,1,,1,Mus musculus,,,10090.0,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,,,BAO_0000218,50594,N,Intermediate,CHEMBL627853
7642,1,,1,Mus musculus,,,10090.0,,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,,,,BAO_0000218,50594,N,Intermediate,CHEMBL627854
7643,1,,1,Mus musculus,,,10090.0,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,,,BAO_0000218,50594,N,Intermediate,CHEMBL627855
7644,1,,1,Mus musculus,,,10090.0,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,,,,BAO_0000218,50594,N,Intermediate,CHEMBL627856
7645,1,,1,Mus musculus,,,10090.0,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,,,BAO_0000218,50594,N,Intermediate,CHEMBL875339
7646,1,,1,Mus musculus,,,10090.0,,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,,,,BAO_0000218,50594,N,Intermediate,CHEMBL627857
7647,1,,1,Rattus norvegicus,In vivo,,10116.0,2106.0,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,Spleen,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627858
7648,1,,1,Rattus norvegicus,,,10116.0,178.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,Blood,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627859
7649,1,,1,Rattus norvegicus,,,10116.0,955.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,Brain,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627860
7650,1,,1,Rattus norvegicus,,,10116.0,948.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,Heart,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627019
7651,1,,1,Rattus norvegicus,,,10116.0,2107.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,Liver,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627020
7652,1,,1,Rattus norvegicus,,,10116.0,2048.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,Lung,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627021
7653,1,,1,Rattus norvegicus,,,10116.0,2385.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,Muscle tissue,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627022
7654,1,,1,Rattus norvegicus,,,10116.0,,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627023
7655,1,,1,Rattus norvegicus,,,10116.0,2106.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,Spleen,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627024
7656,1,,1,Rattus norvegicus,,,10116.0,2046.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,Thyroid gland,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627025
7657,1,,1,Rattus norvegicus,,,10116.0,2113.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,Kidney,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627026
7658,1,,1,Rattus norvegicus,,,10116.0,178.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,Blood,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627027
7659,1,,1,Rattus norvegicus,,,10116.0,955.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,Brain,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627028
7660,1,,1,Rattus norvegicus,,,10116.0,948.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,Heart,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627029
7661,1,,1,Rattus norvegicus,,,10116.0,2113.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,Kidney,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627030
7662,1,,1,Rattus norvegicus,,,10116.0,2107.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,Liver,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627031
7663,1,,1,Rattus norvegicus,,,10116.0,2048.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,Lung,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627032
7664,1,,1,Rattus norvegicus,,,10116.0,2385.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,Muscle tissue,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627033
7665,1,,1,Rattus norvegicus,,,10116.0,,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627034
7666,1,,1,Rattus norvegicus,,,10116.0,2106.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,Spleen,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627035
7667,1,,1,Rattus norvegicus,,,10116.0,2046.0,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,Thyroid gland,,,,BAO_0000218,50597,N,Intermediate,CHEMBL627036
7668,1,,1,Rattus norvegicus,,,10116.0,178.0,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,Blood,,,,BAO_0000218,50597,N,Intermediate,CHEMBL875340
