ss_d,ss_sbclllr_frctn,tss_d,ss_tx_d,crtd_b,ss_rgnsm,dc_d,chmbl_d,td,ss_strn,cll_d,ss_tss,dscrptn,vrnt_d,ss_tp,src_d,rltnshp_tp,cnfdnc_scr,src_ss_d,b_frmt
44,,,,Autocuration,,898,CHEMBL615156,13053,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,B,1,H,8,,BAO_0000019
45,,,9606.0,Autocuration,Homo sapiens,13163,CHEMBL615157,20001,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,B,1,H,8,,BAO_0000019
46,,,9606.0,Autocuration,Homo sapiens,13163,CHEMBL615158,20001,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,B,1,H,8,,BAO_0000019
47,,,10116.0,Expert,Rattus norvegicus,10691,CHEMBL615159,12971,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,B,1,D,9,,BAO_0000019
48,,,10116.0,Expert,Rattus norvegicus,10691,CHEMBL615172,12971,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,B,1,D,9,,BAO_0000019
49,,,10116.0,Expert,Rattus norvegicus,10691,CHEMBL615173,12971,,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,B,1,D,9,,BAO_0000019
50,,,10116.0,Expert,Rattus norvegicus,10691,CHEMBL615174,12971,,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,B,1,D,9,,BAO_0000019
51,,,,Autocuration,,898,CHEMBL884518,13053,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,B,1,H,8,,BAO_0000019
52,,,,Autocuration,,912,CHEMBL615175,11512,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,B,1,H,8,,BAO_0000357
53,,,,Autocuration,,912,CHEMBL615176,11512,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,B,1,H,8,,BAO_0000357
54,,,,Autocuration,,912,CHEMBL615177,11512,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,B,1,H,8,,BAO_0000357
55,Membranes,,10116.0,Autocuration,Rattus norvegicus,15103,CHEMBL615178,104740,,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,B,1,D,5,,BAO_0000249
56,,,9606.0,Intermediate,Homo sapiens,5116,CHEMBL615179,80002,,506.0,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,F,1,N,1,,BAO_0000219
57,,,10116.0,Autocuration,Rattus norvegicus,14578,CHEMBL615180,104835,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,F,1,D,7,,BAO_0000219
58,,,10116.0,Autocuration,Rattus norvegicus,14578,CHEMBL615181,104821,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,F,1,D,7,,BAO_0000219
59,,,10116.0,Autocuration,Rattus norvegicus,14578,CHEMBL615182,104848,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,F,1,D,7,,BAO_0000219
60,,,9606.0,Expert,Homo sapiens,4787,CHEMBL615183,80002,,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,F,1,N,1,,BAO_0000219
61,,,9606.0,Intermediate,Homo sapiens,4787,CHEMBL615184,80002,,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,F,1,N,1,,BAO_0000219
62,,,9606.0,Intermediate,Homo sapiens,3547,CHEMBL615185,80002,,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line,,F,1,N,1,,BAO_0000219
63,,,9606.0,Intermediate,Homo sapiens,3547,CHEMBL615186,80002,,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,F,1,N,1,,BAO_0000219
64,,,9606.0,Intermediate,Homo sapiens,6726,CHEMBL615187,80002,,506.0,,Effective dose of compound against replication of 1A9 cell line was evaluated,,F,1,N,1,,BAO_0000219
65,,,9606.0,Expert,Homo sapiens,3455,CHEMBL885343,80002,,506.0,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,F,1,N,1,,BAO_0000219
66,,,9606.0,Intermediate,Homo sapiens,5726,CHEMBL615188,80002,,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,F,1,N,1,,BAO_0000219
67,,,9606.0,Intermediate,Homo sapiens,5726,CHEMBL615189,80002,,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,F,1,N,1,,BAO_0000219
68,,,9606.0,Intermediate,Homo sapiens,5726,CHEMBL615190,80002,,506.0,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,F,1,N,1,,BAO_0000219
69,,,9606.0,Intermediate,Homo sapiens,3395,CHEMBL615191,80002,,506.0,,Inhibitory activity against Taxol resistant 1A9 cell lines,,F,1,N,1,,BAO_0000219
70,,,9606.0,Expert,Homo sapiens,3415,CHEMBL615192,80002,,506.0,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,F,1,N,1,,BAO_0000219
71,,,9606.0,Expert,Homo sapiens,3415,CHEMBL827083,80002,,506.0,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,F,1,N,1,,BAO_0000219
72,,,9606.0,Expert,Homo sapiens,17099,CHEMBL615193,80002,,506.0,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,F,1,N,1,,BAO_0000219
73,,,9606.0,Intermediate,Homo sapiens,17099,CHEMBL615194,80002,,506.0,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,F,1,N,1,,BAO_0000219
74,,,9606.0,Intermediate,Homo sapiens,17099,CHEMBL615195,80002,,506.0,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,F,1,N,1,,BAO_0000219
75,,,9606.0,Intermediate,Homo sapiens,17099,CHEMBL615196,80002,,506.0,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,F,1,N,1,,BAO_0000219
76,,,9606.0,Intermediate,Homo sapiens,17721,CHEMBL615197,81072,,503.0,,Inhibitory concentration against Jurkat cells,,F,1,N,1,,BAO_0000219
77,,,,Intermediate,,1229,CHEMBL615198,22226,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,F,1,U,0,,BAO_0000019
78,,,10116.0,Expert,Rattus norvegicus,11347,CHEMBL615199,100121,,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,A,1,D,9,,BAO_0000357
79,,,,Expert,,17117,CHEMBL615200,11231,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,B,1,H,8,,BAO_0000357
80,,,,Expert,,17117,CHEMBL615201,11231,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,B,1,H,8,,BAO_0000357
81,,,,Expert,,17117,CHEMBL615202,11231,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,B,1,H,8,,BAO_0000357
82,Microsomes,,5476.0,Autocuration,Candida albicans,11375,CHEMBL615203,11231,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,B,1,H,8,,BAO_0000251
83,Microsomes,,5476.0,Autocuration,Candida albicans,11375,CHEMBL615204,11231,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,B,1,H,8,,BAO_0000251
84,Microsomes,,4932.0,Autocuration,Saccharomyces cerevisiae,11375,CHEMBL615205,11231,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,B,1,H,8,,BAO_0000251
85,Microsomes,,4932.0,Autocuration,Saccharomyces cerevisiae,11375,CHEMBL615206,11231,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,B,1,H,8,,BAO_0000251
86,Microsomes,2107.0,9823.0,Autocuration,Sus scrofa,11375,CHEMBL615207,12083,,,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,B,1,H,8,,BAO_0000251
87,,,10116.0,Autocuration,Rattus norvegicus,791,CHEMBL827084,11231,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,B,1,H,8,,BAO_0000019
88,,,10116.0,Autocuration,Rattus norvegicus,791,CHEMBL615208,11231,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,B,1,H,8,,BAO_0000019
89,,,10116.0,Autocuration,Rattus norvegicus,791,CHEMBL615209,11231,,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,B,1,H,8,,BAO_0000019
90,Microsomes,2107.0,10116.0,Autocuration,Rattus norvegicus,11375,CHEMBL615210,12083,,,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,B,1,D,9,,BAO_0000251
91,Microsomes,2107.0,10116.0,Autocuration,Rattus norvegicus,11375,CHEMBL615211,12083,,,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,B,1,D,9,,BAO_0000251
92,Microsomes,2107.0,10116.0,Autocuration,Rattus norvegicus,153,CHEMBL615212,12083,,,Liver,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,B,1,D,9,,BAO_0000251
93,,,,Expert,,8269,CHEMBL615213,11377,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,B,1,H,8,,BAO_0000357
94,,,,Expert,,8269,CHEMBL615273,11377,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,B,1,H,8,,BAO_0000357
95,,,9606.0,Expert,Homo sapiens,17653,CHEMBL615274,81020,,726.0,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,F,1,N,1,,BAO_0000219
96,,,9606.0,Intermediate,Homo sapiens,14277,CHEMBL615275,81020,,726.0,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,F,1,N,1,,BAO_0000219
97,,,9606.0,Intermediate,Homo sapiens,1717,CHEMBL615276,81020,,726.0,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,F,1,N,1,,BAO_0000219
98,,,9606.0,Intermediate,Homo sapiens,14091,CHEMBL615277,81020,,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,F,1,N,1,,BAO_0000219
99,,,9606.0,Intermediate,Homo sapiens,14091,CHEMBL615326,81020,,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,F,1,N,1,,BAO_0000219
100,,,10407.0,Expert,Hepatitis B virus,17653,CHEMBL883130,50606,,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,F,1,N,1,,BAO_0000218
101,,,9606.0,Intermediate,Homo sapiens,13105,CHEMBL884519,81020,,726.0,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,F,1,N,1,,BAO_0000219
102,,,9606.0,Intermediate,Homo sapiens,1717,CHEMBL615327,81020,,726.0,,Concentration required to inhibit 50% of 2.2.15 cell line,,F,1,N,1,,BAO_0000219
103,,,9606.0,Intermediate,Homo sapiens,13105,CHEMBL615328,81020,,726.0,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,A,1,N,1,,BAO_0000219
104,,,9606.0,Intermediate,Homo sapiens,13600,CHEMBL615329,50587,,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,F,1,N,1,,BAO_0000218
105,,,9606.0,Intermediate,Homo sapiens,13467,CHEMBL615330,50587,,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,F,1,N,1,,BAO_0000218
106,,,10407.0,Expert,Hepatitis B virus,17477,CHEMBL615331,50606,,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,F,1,N,1,,BAO_0000218
107,,,9606.0,Intermediate,Homo sapiens,1593,CHEMBL615332,50587,,,,In vitro anti-HBV activity in 2.2.15 cells,,F,1,N,1,,BAO_0000218
108,,,9606.0,Intermediate,Homo sapiens,1593,CHEMBL615333,50587,,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,F,1,N,1,,BAO_0000218
109,,,9606.0,Intermediate,Homo sapiens,15089,CHEMBL615334,50587,,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,F,1,N,1,,BAO_0000218
110,,,9606.0,Intermediate,Homo sapiens,15089,CHEMBL615335,50587,,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,F,1,N,1,,BAO_0000218
111,,,9606.0,Intermediate,Homo sapiens,1593,CHEMBL615336,50587,,,,Cytotoxicity in 2.2.15 cells,,F,1,N,1,,BAO_0000218
112,,,9606.0,Intermediate,Homo sapiens,1593,CHEMBL615337,50587,,,,Cytotoxicity in 2.2.15 cells; Not determined,,F,1,N,1,,BAO_0000218
113,,,9606.0,Intermediate,Homo sapiens,13600,CHEMBL615338,50587,,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,F,1,N,1,,BAO_0000218
114,,,9606.0,Intermediate,Homo sapiens,13467,CHEMBL615339,50587,,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,F,1,N,1,,BAO_0000218
115,,,9606.0,Intermediate,Homo sapiens,13467,CHEMBL615340,50587,,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,F,1,N,1,,BAO_0000218
116,,,9606.0,Intermediate,Homo sapiens,14764,CHEMBL615341,81020,,726.0,,Antiviral activity against HBV was determined in 2.215 cell line,,F,1,N,1,,BAO_0000219
117,Microsomes,,9606.0,Autocuration,Homo sapiens,6531,CHEMBL615342,22226,,,,Inhibition of 20-HETE synthesis in human renal microsomes,,B,1,U,0,,BAO_0000251
118,,,,Autocuration,,17322,CHEMBL615343,22226,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,B,1,U,0,,BAO_0000019
119,,,9606.0,Intermediate,Homo sapiens,17072,CHEMBL615344,80612,,388.0,,Inhibitory concentration against 2008 (ovarian) cells,,F,1,N,1,,BAO_0000219
120,,,9606.0,Intermediate,Homo sapiens,16936,CHEMBL615345,80612,,388.0,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,F,1,N,1,,BAO_0000219
121,,,9606.0,Intermediate,Homo sapiens,16936,CHEMBL615346,80612,,388.0,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,F,1,N,1,,BAO_0000219
122,,,9606.0,Intermediate,Homo sapiens,17146,CHEMBL615347,80612,,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,F,1,N,1,,BAO_0000219
123,,,9606.0,Intermediate,Homo sapiens,17146,CHEMBL615348,80612,,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,F,1,N,1,,BAO_0000219
124,,,9606.0,Intermediate,Homo sapiens,10797,CHEMBL827085,80613,,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line,,F,1,N,1,,BAO_0000219
125,,,9606.0,Intermediate,Homo sapiens,10797,CHEMBL615349,80613,,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,F,1,N,1,,BAO_0000219
126,,,9606.0,Intermediate,Homo sapiens,10797,CHEMBL615350,80614,,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line,,F,1,N,1,,BAO_0000219
127,,,9606.0,Intermediate,Homo sapiens,10797,CHEMBL615351,80614,,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,F,1,N,1,,BAO_0000219
128,,,9606.0,Expert,Homo sapiens,4823,CHEMBL615352,100256,,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,B,1,S,2,,BAO_0000220
129,,,9606.0,Intermediate,Homo sapiens,12912,CHEMBL615353,100256,,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,B,1,S,2,,BAO_0000220
130,,,,Expert,,2957,CHEMBL615354,100256,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,B,1,S,2,,BAO_0000220
131,,,,Expert,,2957,CHEMBL615355,100256,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,B,1,S,2,,BAO_0000220
132,,,,Intermediate,,3260,CHEMBL615356,100256,,,,Inhibitory activity against 20S proteosome,,B,1,S,2,,BAO_0000220
133,,,9606.0,Autocuration,Homo sapiens,3451,CHEMBL615357,22226,,,,Compound was tested for inhibitory activity against tryptase,,B,1,U,0,,BAO_0000019
134,,,9606.0,Intermediate,Homo sapiens,13885,CHEMBL615358,81020,,726.0,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,F,1,N,1,,BAO_0000219
135,,,9606.0,Intermediate,Homo sapiens,13885,CHEMBL827086,81020,,726.0,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,F,1,N,1,,BAO_0000219
136,,,,Autocuration,,3676,CHEMBL615359,22226,,,,Compound was tested for the inhibition of Alpha-glucosidase,,B,1,U,0,,BAO_0000019
137,,,,Autocuration,,6043,CHEMBL615360,235,,,,Inhibitory concentration against human neutrophil elastase (HNE),,B,1,H,8,,BAO_0000357
138,,948.0,10116.0,Autocuration,Rattus norvegicus,11140,CHEMBL615361,22226,,,Heart,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,F,1,U,0,,BAO_0000218
139,,,,Autocuration,,10543,CHEMBL615362,19640,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,F,1,H,8,,BAO_0000019
140,,,,Expert,,10543,CHEMBL615363,19640,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,F,1,H,8,,BAO_0000019
141,,,,Autocuration,,10543,CHEMBL615364,19640,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,B,1,H,8,,BAO_0000357
142,,,,Expert,,10543,CHEMBL615365,19640,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,F,1,H,8,,BAO_0000019
143,,,10090.0,Intermediate,Mus musculus,11365,CHEMBL615366,80360,,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,F,1,N,1,,BAO_0000219
144,,,10090.0,Intermediate,Mus musculus,11365,CHEMBL615367,80360,,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,F,1,N,1,,BAO_0000219
