Fiscal year,Organisation class,Organisation type,Trade development (marker),Biodiversity (marker),Continent ID,Fund centre ID,Organisation sub-class,Knowledge for development (marker),Bilateral aid (international marker),Indigenous issues (marker),Amount spent,ICT as a tool for development (marker),Section name,Continent name,Organisation ID,Climate change mitigation (marker),Children issues (marker),CountryRegion percent,Sector percent,Maximum CIDA contribution (project-level),IRTC percent,Climate change adaptation (marker),CountryRegion name,Urban issues (marker),Project number,Status,Branch ID,Branch name,Division ID,Division name,Section ID,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old)
2009/2010,Civil Society,Canadian Profit Making,0,0,1,4439,CONSULTING SERVICES,0,1,0,7256.25,1,Caricom - Adm,America,1001165,0,0,1.0,1.0,3441416.83,0.0,0,Jamaica,0,A019362001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,Caribbean Regional - Jamaica,3441416.83,1.0,0,Responsive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,73931.99,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.2,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,18482.9975,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.05,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,18482.9975,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.05,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,18482.9975,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.05,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,92414.9875,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.25,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,55448.9925,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.15,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,18482.9975,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.05,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4263,CONSULTING SERVICES,0,1,0,73931.99,1,Middle East and North Africa,Africa,1000335,0,0,1.0,0.2,16700508.62,0.0,0,Egypt,0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,2,4259,FEDERAL,0,1,0,114.33,0,Middle East and North Africa,Africa,10050,0,0,1.0,1.0,328400.96,0.0,0,Algeria,0,A020161001,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,*Algeria,0.0,0.998334353,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4452,FEDERAL,0,1,0,103009.4,0,Ha�ti & Dominican Republic Section,America,10050,0,0,1.0,0.2,4610501.0,0.0,0,Haiti,0,A020195001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,0,Haiti,4000000.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4452,FEDERAL,0,1,0,412037.6,0,Ha�ti & Dominican Republic Section,America,10050,0,0,1.0,0.8,4610501.0,0.0,0,Haiti,0,A020195001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,0,Haiti,4000000.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4229,SPECIALIZED INSTITUTE,0,1,0,799.502,0,"Ethiopia, PanAfrica, SubRegional",Africa,1000852,0,0,1.0,0.2,4229943.14,0.0,0,Ethiopia,0,A020222001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4229,SPECIALIZED INSTITUTE,0,1,0,799.502,0,"Ethiopia, PanAfrica, SubRegional",Africa,1000852,0,0,1.0,0.2,4229943.14,0.0,0,Ethiopia,0,A020222001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4229,SPECIALIZED INSTITUTE,0,1,0,799.502,0,"Ethiopia, PanAfrica, SubRegional",Africa,1000852,0,0,1.0,0.2,4229943.14,0.0,0,Ethiopia,0,A020222001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4229,SPECIALIZED INSTITUTE,0,1,0,799.502,0,"Ethiopia, PanAfrica, SubRegional",Africa,1000852,0,0,1.0,0.2,4229943.14,0.0,0,Ethiopia,0,A020222001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4229,SPECIALIZED INSTITUTE,0,1,0,799.502,0,"Ethiopia, PanAfrica, SubRegional",Africa,1000852,0,0,1.0,0.2,4229943.14,0.0,0,Ethiopia,0,A020222001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4238,CONSULTING SERVICES,0,1,0,2307.3284,0,Senegal Program,Africa,1014497,0,0,1.0,0.34,4518387.69,0.0,0,Senegal,0,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive
2009/2010,Individual,Canadian Profit Making,0,0,2,4238,CONSULTANT,0,1,0,2157.8406,0,Senegal Program,Africa,Information not available,0,0,1.0,0.34,4518387.69,0.0,0,Senegal,0,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4238,CONSULTING SERVICES,0,1,0,4478.9316,0,Senegal Program,Africa,1014497,0,0,1.0,0.66,4518387.69,0.0,0,Senegal,0,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive
2009/2010,Individual,Canadian Profit Making,0,0,2,4238,CONSULTANT,0,1,0,4188.7494,0,Senegal Program,Africa,Information not available,0,0,1.0,0.66,4518387.69,0.0,0,Senegal,0,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,1,4438,CONSULTING SERVICES,0,1,0,539373.76,0,Caricom - Adm,America,1000975,0,0,1.0,1.0,7850039.11,0.0,0,Guyana,0,A020252001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,Caribbean Regional - Guyana,7850039.11,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4128,FEDERAL,0,1,0,12432.9,1,Philippines and Mongolia,Asia,10050,0,0,1.0,0.5,13000520.92,0.0,0,Philippines,0,A020272001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,Philippines,0.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4128,FEDERAL,0,1,0,9946.32,1,Philippines and Mongolia,Asia,10050,0,0,1.0,0.4,13000520.92,0.0,0,Philippines,0,A020272001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,Philippines,0.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4128,FEDERAL,0,1,0,2486.58,1,Philippines and Mongolia,Asia,10050,0,0,1.0,0.1,13000520.92,0.0,0,Philippines,0,A020272001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,Philippines,0.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4124,FEDERAL,0,1,0,106986.01,0,"OAA Afghanistan, Pakistan and Sri Lanka",Asia,10050,0,0,1.0,1.0,2645994.04,0.0,0,Pakistan,0,A020279001,Terminating,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4280,CONSULTING SERVICES,0,1,0,73711.97,0,Mozambique Program,Africa,1000601,0,0,1.0,1.0,7747230.74,0.0,0,Malawi,0,A020392001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,Malawi,0.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,3,4122,FEDERAL,0,1,0,500000.0,0,Bangladesh Section,Asia,10050,0,0,1.0,1.0,4947637.32,0.0,0,Bangladesh,0,A020395001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,0.0,0.5,0,Directive
2009/2010,Unknown,Uncoded,0,0,3,4122,Unknown,0,1,0,2362.0,0,Bangladesh Section,Asia,Information not available,0,0,1.0,1.0,4947637.32,0.0,0,Bangladesh,0,A020395001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,0.0,0.5,0,Directive
2009/2010,Individual,Canadian Profit Making,0,0,2,4274,CONSULTANT,0,1,0,667.81,0,Mozambique Program,Africa,Information not available,0,0,1.0,0.5,9096651.0,0.0,0,Mozambique,0,A020398001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,Mozambique,0.0,1.0,0,Directive
2009/2010,Individual,Canadian Profit Making,0,0,2,4274,CONSULTANT,0,1,0,667.81,0,Mozambique Program,Africa,Information not available,0,0,1.0,0.5,9096651.0,0.0,0,Mozambique,0,A020398001,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,Mozambique,0.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,2,4289,FEDERAL,0,1,0,582248.05,0,Central Africa & Great Lakes Program,Africa,10050,0,0,1.0,1.0,2457111.5,0.0,0,Cameroon,0,A020449003,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4289,SUPPLIER OF GOODS/SERVICES,0,1,0,863.16,0,Central Africa & Great Lakes Program,Africa,1000948,0,0,1.0,1.0,2457111.5,0.0,0,Cameroon,0,A020449003,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive
2009/2010,Individual,Canadian Profit Making,0,0,2,4289,COOPERANT,0,1,0,140613.87,0,Central Africa & Great Lakes Program,Africa,Information not available,0,0,1.0,1.0,2457111.5,0.0,0,Cameroon,0,A020449003,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive
2009/2010,Unknown,Uncoded,0,0,2,4289,Unknown,0,1,0,2361.97,0,Central Africa & Great Lakes Program,Africa,Information not available,0,0,1.0,1.0,2457111.5,0.0,0,Cameroon,0,A020449003,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4242,ASSOCIATIONS,0,1,0,442790.91,0,Senegal Program,Africa,1000171,0,0,1.0,0.5,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4242,CONSULTING SERVICES,0,1,0,4131.87,0,Senegal Program,Africa,1001142,0,0,1.0,0.5,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4242,ASSOCIATIONS,0,1,0,132837.27300000002,0,Senegal Program,Africa,1000171,0,0,1.0,0.15,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4242,CONSULTING SERVICES,0,1,0,1239.5610000000001,0,Senegal Program,Africa,1001142,0,0,1.0,0.15,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4242,ASSOCIATIONS,0,1,0,88558.18199999999,0,Senegal Program,Africa,1000171,0,0,1.0,0.1,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4242,CONSULTING SERVICES,0,1,0,826.3739999999999,0,Senegal Program,Africa,1001142,0,0,1.0,0.1,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4242,ASSOCIATIONS,0,1,0,132837.27300000002,0,Senegal Program,Africa,1000171,0,0,1.0,0.15,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4242,CONSULTING SERVICES,0,1,0,1239.5610000000001,0,Senegal Program,Africa,1001142,0,0,1.0,0.15,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,2,4242,ASSOCIATIONS,0,1,0,88558.18199999999,0,Senegal Program,Africa,1000171,0,0,1.0,0.1,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4242,CONSULTING SERVICES,0,1,0,826.3739999999999,0,Senegal Program,Africa,1001142,0,0,1.0,0.1,11427061.07,0.0,0,Guinea,0,A020715001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,3,4118,NGO,0,1,0,92293.62400000001,0,"OAA Afghanistan, Pakistan and Sri Lanka",Asia,1000136,0,1,1.0,0.8,4308867.95,0.0,0,Sri Lanka,0,A020790001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Sri Lanka,0.0,1.0,0,Directive
2009/2010,Civil Society,Canadian Non-Profit Making,0,0,3,4118,NGO,0,1,0,23073.406000000003,0,"OAA Afghanistan, Pakistan and Sri Lanka",Asia,1000136,0,1,1.0,0.2,4308867.95,0.0,0,Sri Lanka,0,A020790001,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Sri Lanka,0.0,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,2,4216,FEDERAL,0,1,0,57631.03,0,Mali Program Section,Africa,10050,0,1,1.0,1.0,3063216.68,0.0,0,Mali,0,A020891001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,0.0,0.0,0,Directive
2009/2010,Unknown,Uncoded,0,0,2,4216,Unknown,0,1,0,23.9,0,Mali Program Section,Africa,Information not available,0,1,1.0,1.0,3063216.68,0.0,0,Mali,0,A020891001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,0.0,0.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,2,4216,FEDERAL,0,1,0,10023.66,0,Mali Program Section,Africa,10050,0,0,1.0,1.0,16726210.87,0.0,0,Mali,0,A020892001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,16726210.87,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4216,CONSULTING SERVICES,0,1,0,50605.0,0,Mali Program Section,Africa,1001126,0,0,1.0,1.0,16726210.87,0.0,0,Mali,0,A020892001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,16726210.87,1.0,0,Directive
2009/2010,Civil Society,Canadian Profit Making,0,0,2,4216,CONSULTING SERVICES,0,1,0,2019764.66,0,Mali Program Section,Africa,1014203,0,0,1.0,1.0,16726210.87,0.0,0,Mali,0,A020892001,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,16726210.87,1.0,0,Directive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,64.46300000000001,0,South America,America,10050,0,1,0.1,0.1,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Unknown,Uncoded,0,0,1,4422,Unknown,0,1,0,24.000999999999998,0,South America,America,Information not available,0,1,0.1,0.1,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,51.5704,0,South America,America,10050,0,1,0.1,0.08,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Unknown,Uncoded,0,0,1,4422,Unknown,0,1,0,19.2008,0,South America,America,Information not available,0,1,0.1,0.08,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,12.8926,0,South America,America,10050,0,1,0.1,0.02,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Unknown,Uncoded,0,0,1,4422,Unknown,0,1,0,4.8002,0,South America,America,Information not available,0,1,0.1,0.02,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,515.7040000000001,0,South America,America,10050,0,1,0.1,0.8,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Unknown,Uncoded,0,0,1,4422,Unknown,0,1,0,192.00799999999998,0,South America,America,Information not available,0,1,0.1,0.8,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,193.389,0,South America,America,10050,0,1,0.3,0.1,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Unknown,Uncoded,0,0,1,4422,Unknown,0,1,0,72.003,0,South America,America,Information not available,0,1,0.3,0.1,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,154.7112,0,South America,America,10050,0,1,0.3,0.08,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Unknown,Uncoded,0,0,1,4422,Unknown,0,1,0,57.6024,0,South America,America,Information not available,0,1,0.3,0.08,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,38.6778,0,South America,America,10050,0,1,0.3,0.02,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Unknown,Uncoded,0,0,1,4422,Unknown,0,1,0,14.4006,0,South America,America,Information not available,0,1,0.3,0.02,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
2009/2010,Governmental,Canadian Non-Profit Making,0,0,1,4422,FEDERAL,0,1,0,1547.112,0,South America,America,10050,0,1,0.3,0.8,1488850.78,0.0,0,South America,0,A020910001,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive
