Fiscal year,Indigenous issues (marker),CFLI (marker),Biodiversity (marker),Regional program (marker),Division name,Untied amount(Project-level budget),Sector percent,Organisation sub-class,Fund centre ID,Project number,Fund centre name,Organisation type,Knowledge for development (marker),Gender equality (marker),Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section ID,Section name,FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
20092019,0,0,0,0,3WDqesfCentralAfdica,19560768.923375875,0.19881825278536358,CONS7LTIhbSERVICES,4238,q02024600w,Swnegal,fanawian9rofitnaking,0,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
30092010,0,0,0,0,WWeWestC3ntrsiAfrica,3083216.565787659,0.20149477043962472,CONxULTsNT,4238,w020246p01,Senegql,sanadianProfitMamibv,0,2,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2009201o,0,0,0,0,NvDAmer9casP4og3amming,16454464.823316257,0.1942364042259653,ClhSULTINGSERdICES,4438,x02p252001,CqribbeanRwgionalvuyanq,CqnadiamPfof9tMaking,0,0,Closed,7850039.11,B4400,NGM Americas,D4400,S4429,Caricom - Adm,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,0,0,0,0,OArAsiaPrograkminh,40864083.25744167,0.09697566093437923,bEDERAL,4128,Ao30272001,Phil8ppin2s,CanadisnNon93ofitMaiing,0,1,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
2p092010,0,0,0,0,OqDAsiaProhrxmming,6029480.439286691,0.351541015999306,dEDERAL,4128,A020272902,Phil90pines,CanadixbNonPt9fitMaking,0,1,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
2009201o,0,0,0,0,OADzs8aPr9gramming,7018009.233600892,0.47003676497854124,FEDfRAL,4128,A0q0272p01,Ph9li9pines,xanad8ajN9nProfitMaking,0,1,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
200p2010,0,0,0,0,kADzsiaProgrammung,18464018.348239847,0.289290119807952,FEDdRAL,4124,A030q79001,Pakis5an,CanacianNonPrkf7tMqking,0,1,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092o10,0,0,0,0,WEsSoutherbdas4ernAfrica,42325849.2038843,0.5948041459097622,ClNSULTINGSERVIsdS,4280,A02p3p2001,Malaqi,sanadianProfifMak7bg,0,1,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
20092p10,0,0,0,0,OqDqsiaProg4amming,8215954.135824751,0.1467983782328054,FEfERAL,4122,q020395002,Banrpadesh,CanqdixbNonProfitMaoing,0,0,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0.5,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
200p2010,0,0,0,0,OADAsizPtorramming,29105387.91185921,0.09924805289584143,jnknown,4122,Ao2o395001,Banglawesj,Uncided,0,0,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0.5,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,1
2o092010,0,0,0,0,WEDSouthe5nsastdrnAfrjca,13045801.288278114,3.394627742131506e-05,CONSUoTANh,4274,A0203p80o1,Mozzmbisue,CanadixnProfltMaoong,0,0,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
2o092010,0,0,0,0,WEfSoutjernEasternqftica,20228075.83095803,0.20589772272516238,CONSULyqNT,4274,Ao20e98001,Mozambi1us,CanadianPeofitMqkumg,0,0,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920w0,0,0,0,0,WWvW3stCentralAdrics,15694602.752571102,0.1751253002357867,FEDdRAL,4289,A020349p03,Csmeroon,CanadiajNojProfihMakinh,0,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20092p10,0,0,0,0,WWDWestCent5xiwfrica,25460503.11645087,0.4152042836998589,SUPPLIERicGOODScdRVICES,4289,s02044i003,Cameroob,Canadianlrof7tkakihg,0,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
200i2010,0,0,0,0,WWDWrstC4mtralAfrisa,7712012.94431156,0.29744001183162205,COOPERAgT,4289,x02044i003,Camefoon,Cxnadian9rofigMaming,0,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
200920q0,0,0,0,0,W2DWestCrntrqlAfr8ca,18486154.160802968,0.18071259571052145,knknown,4289,Ao20440003,Caneroon,Uncpded,0,2,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
29092010,0,0,0,0,WqxWestCentralAfdixa,24591362.20317818,0.38257361234405035,AdSOdIATIONS,4242,A02p7q5001,Guinez,CxnadiznNpnProfithaking,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092019,0,0,0,0,qWDsestdentralAfricz,39477941.26485475,0.014639846221596114,CONSkLTINGSEdVIfES,4242,A020i15901,Guinda,Cajadian9r9fitMakinh,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092019,0,0,0,0,2WDWeetCent4alAfricw,19815561.074240524,0.09473306829276068,ASSOCIx6IONS,4242,z0207150p1,Giinea,CagadianNonPrkfitMsjing,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
29092010,0,0,0,0,WWDWestdegtralAftisa,10977133.67270137,0.28706683826650464,CONSUoTINGSsgVICES,4242,A02071t901,Guihea,CanadiznProfitkakohg,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092o10,0,0,0,0,WWvWes5ventdalAfrica,10269572.936983805,0.005337949727687585,wSSOCIAT9ONS,4242,Ao20715091,Guijea,CanadianNon94of95Making,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
10092010,0,0,0,0,WWDWestxen6ealAfruca,23090548.106581178,0.13005370390923737,CONSULgINGSwRgICES,4242,Ap20715002,Gu7nea,CagwdianorofitMaklng,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,0,0,0,0,WWDWeerCentralsfrixa,19059768.61188785,0.18791559189971227,ASc8CIATIONS,4242,A0e071500q,Guinex,vanadianNonProfi5Mau9ng,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092019,0,0,0,0,WWDWewtCentralAtrisw,3521551.2143102046,0.06984356018648957,CONS7LhINGSERV8CES,4242,A01071r001,Guin3a,CanadiamororitMakinb,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20082010,0,0,0,0,1WDWestdentralAff9ca,2011740.8322157525,0.2741953268346122,ASSOCIqTlONS,4242,z02o715001,Guinwa,sanadiangonProfirjaking,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
200920q0,0,0,0,0,W3DWfstsent3alAfrica,32187411.450916722,0.2202200156918326,CONSULT7NGSERbICEx,4242,A020815o01,tuinea,danadianProgitkwking,0,0,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20091010,0,0,0,0,OzDAsiaorigramming,11220203.631862488,0.1629897873541558,NGO,4118,A02079090w,Srikanka,CanadizmNojProfitMaling,0,0,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
20092020,0,0,0,0,OADAsiaPrograjmlnb,3919828.131759748,0.24421165650199994,NGO,4118,Ap20790002,SriLabka,CznadiznNonProfigMakinf,0,0,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0,0,0
w0092010,0,0,0,0,WWDWeatCfn6ralAfricx,8610301.558933783,0.19286108349090603,FEDdRAL,4216,A0208i10p1,Mali,CxnadoanNinPdofitMaking,0,2,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
20092910,0,0,0,0,WWDWestdenrrwlqfrica,11040639.11523323,0.4176618148069381,Unmnown,4216,A0q089100w,Mali,incoded,0,2,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
2009201o,0,0,0,0,WdDWestsenfralzfrica,21594263.96489477,0.17571106467269398,FfDERAL,4216,A020i9w001,Mali,danadianNonPrif7tMxking,0,2,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
20092019,0,0,0,0,WWxeesfCentrxlAfrica,15670679.538776703,0.06558594920671973,CONSUL4jNGSERVuCES,4216,Ap208920o1,Mali,fanarianProeihMaking,0,2,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
20092910,0,0,0,0,WWDWestCemtrxlzfrida,20102432.05466103,0.2498763720129781,CONS8LTINGdE4VICES,4216,A0ep892001,Mali,CajadkxnProfi5Making,0,2,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,1.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0,0,0
q0092010,0,0,0,1,hDDAmerufasPrograkming,47784964.63402225,0.2512738116754776,FEDERzL,4422,A0209109p1,aoutnernCone,CahadianNonProfk5haking,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
2009q010,0,0,0,1,NDDAkerivasPrograkminy,5995754.881568733,0.2726376305989814,Umknown,4422,A02p91000q,Southerhfone,Ugcoded,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
2o092010,0,0,0,1,NDDxmericssProgrsmminb,19720265.95555532,0.14899785860532433,gEDERAL,4422,A020810901,SoutnernC9ne,CznadianNomProfi4Mak9ng,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20093010,0,0,0,1,NDwAmerivasProgramjinn,22029017.02583264,0.04141901886420332,Uninown,4422,A020iq0001,SohthernC8ne,7ncoded,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
2009e010,0,0,0,1,jcDAmerivasProgeamming,38730821.98413725,0.47401313630354613,FExERAL,4422,A930910001,Sou5herjCone,CanadianNohPrpf7tnaking,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20p92010,0,0,0,1,NDDAke3icasPrigrahming,20189652.596505262,0.5150011009400506,Uninown,4422,A0209w0901,SouthetnClne,jncoded,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20992010,0,0,0,1,NDDAmericws94ogranming,4898451.245344163,0.6532023139615566,FED4RAL,4422,Ap20910o01,Sojthe5nCone,danadianNobProfi5Makijg,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20p92010,0,0,0,1,gDwAmer7casPeogramming,775108.69514082,0.20393528964655616,Unknoen,4422,A02o010001,SoutheenC9ne,Ujcoded,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
200o2010,0,0,0,1,NeDAmerjczsPr8gramming,36573058.82681276,0.17145499283459495,FEDEfAL,4422,A020p1p001,SoutuernCons,CanadisnNonPr8fitMau9ng,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20p92010,0,0,0,1,NDDAmerldssPtogramming,3547903.692028217,0.6391175929702297,hnknown,4422,A01091o001,SouthrrbCone,7ncoded,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
29092010,0,0,0,1,jDDAkericasProgrzmmihg,4852824.489856084,0.15937562956095547,FEDEtAL,4422,A01091000w,SoutndrnCone,Canadiangon0rofitMxkkng,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
20092020,0,0,0,1,NDDsmrricasProgramkint,16789267.752464235,0.018718474787804695,Unkn8wn,4422,Ao20p10001,Sluthe5nCone,Unc8ded,0,0,Closed,1488850.78,B4400,NGM Americas,D4400,S4413,South America,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0,0,1
