cell_id,bao_format,assay_subcellular_fraction,assay_test_type,doc_id,variant_id,tissue_id,assay_strain,assay_cell_type,confidence_score,assay_id,assay_category,description,curated_by,assay_organism,src_id,assay_tax_id,src_assay_id,assay_tissue,tid,assay_type,relationship_type,chembl_id
,BAO_0000100,,,5182,,,,,0,7535,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),Intermediate,,1,,,,22229,P,U,CHEMBL618657
,BAO_0000218,,,17847,,,,,1,7536,,Solubility was determined,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618658
,BAO_0000218,,,15339,,,,,1,7537,,solubility in water (ug/mL) at 37 degree C.,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618659
,BAO_0000218,,,5202,,,,,1,7538,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618660
,BAO_0000218,,,1088,,,,,1,7539,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618661
,BAO_0000218,,,3169,,,,,1,7540,,Half life in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL873807
,BAO_0000218,,,5353,,,,,1,7541,,Half life in Dawley rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618662
,BAO_0000218,,In vivo,2864,,,,,1,7542,,Half life period after 3 mg/kg iv administration,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618663
,BAO_0000218,,In vivo,2864,,,,,1,7543,,Half life period after 3 mg/kg iv administration in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618664
,BAO_0000218,,In vivo,2864,,,,,1,7544,,Half life period after 3 mg/kg iv administration in the rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618665
,BAO_0000218,,,6362,,,,,1,7545,,Half life period in female Sprague-Dawley rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL876498
,BAO_0000218,,,6249,,,,,1,7546,,Half life period in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618666
,BAO_0000218,,,3169,,,,,1,7547,,Half-life in rats was determined,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL620440
,BAO_0000218,,,3169,,,,,1,7548,,Half-life in rats with metabolic oxidation,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL620441
,BAO_0000218,,,3169,,,,,1,7549,,Half-life in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL620442
,BAO_0000218,,In vivo,17260,,,,,1,7550,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL620443
,BAO_0000218,,In vivo,17260,,,,,1,7551,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL620444
,BAO_0000218,,In vivo,17260,,,,,1,7552,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL620445
,BAO_0000218,,In vivo,17260,,,,,1,7553,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL620446
,BAO_0000218,,,2879,,1969.0,,,1,7554,,Biological half-life measured in plasma of rat,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL620447
,BAO_0000218,,,2879,,1969.0,,,1,7555,,Biological half-life measured in plasma of rat; 22-25,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL621129
,BAO_0000218,,,2879,,1969.0,,,1,7556,,Biological half-life measured in plasma of rat; 9-16,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL621130
,BAO_0000218,,In vivo,3184,,,,,1,7557,,Compound was evaluated for its half life when administered intravenously in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL873808
,BAO_0000218,,In vivo,4891,,,,,1,7558,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL876598
,BAO_0000218,,In vivo,429,,,,,1,7559,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621131
,BAO_0000218,,In vivo,5656,,,,,1,7560,,Half life (T1/2) after oral administration in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621132
,BAO_0000218,,In vivo,4413,,,,,1,7561,,Half life of compound after iv administration of 20 mg/kg dose in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621133
,BAO_0000218,,In vivo,3598,,,,,1,7562,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,Expert,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621312
,BAO_0000218,,,17267,,,,,1,7563,,Half life of compound was determined in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621313
,BAO_0000218,,,4727,,178.0,,,1,7564,,Half life of compound was determined in rat blood,Intermediate,Rattus norvegicus,1,10116.0,,Blood,50597,A,N,CHEMBL621314
,BAO_0000218,,In vivo,17651,,,,,1,7565,,Half life at 1 mg/kg was determined in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621315
,BAO_0000218,,In vivo,17651,,,,,1,7566,,Half life at 10 mg/kg was determined in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621316
,BAO_0000218,,,401,,,,,1,7567,,Half life in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621317
,BAO_0000218,,,4942,,,,,1,7568,,Half life in rats in hours,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621318
,BAO_0000218,,In vivo,17735,,,,,1,7569,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621319
,BAO_0000218,,In vivo,6056,,,,,1,7570,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621377
,BAO_0000218,,,5213,,,,,1,7571,,Half life was determined,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621378
,BAO_0000218,,In vivo,6616,,,,,1,7572,,Half life after i.v. administration,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL876599
,BAO_0000218,,In vivo,5937,,,,,1,7573,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621379
,BAO_0000218,,,5819,,1969.0,,,1,7574,,Half life in rat plasma,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL621380
,BAO_0000218,,,5819,,1969.0,,,1,7575,,Half life in rat plasma; Not detected,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL621381
,BAO_0000218,,,6803,,,,,1,7576,,Half life in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618515
,BAO_0000218,,In vivo,17804,,,,,1,7577,,Half life period of compound was determined after peroral administration,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618516
,BAO_0000218,,In vivo,17804,,,,,1,7578,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618517
,BAO_0000218,,,5948,,,,,1,7579,,Half life period in rat,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618518
,BAO_0000218,,In vivo,1916,,,,,1,7580,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618519
,BAO_0000218,,In vivo,1916,,,,,1,7581,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618698
,BAO_0000218,,In vivo,1916,,,,,1,7582,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618862
,BAO_0000218,,In vivo,4890,,,,,1,7583,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618863
,BAO_0000218,,In vivo,17764,,,,,1,7584,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618864
,BAO_0000218,,In vivo,4727,,,,,1,7585,,Half life time in rat the dose of 2 mg/kg,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618865
,BAO_0000218,,In vivo,17509,,,,,1,7586,,Half-life 24 hr after 10 mg/kg iv administration in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618866
,BAO_0000218,,In vivo,17509,,,,,1,7587,,Half-life 24 hr after 2 mg/kg iv administration in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618867
,BAO_0000218,,,6597,,,,,1,7588,,Half-life consistent with the observed metabolic steady state in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL875828
,BAO_0000218,,In vivo,17735,,,,,1,7589,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618868
,BAO_0000218,,,6597,,,,,1,7590,,Half-life for oxidative metabolic stability was determined using male human,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618869
,BAO_0000218,,In vivo,17670,,,,,1,7591,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL618870
,BAO_0000218,,,1696,,1969.0,,,1,7592,,Half-life in rat plasma,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL618871
,BAO_0000218,,,1742,,1969.0,,,1,7593,,Half-life in rat plasma was determined,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL618872
,BAO_0000218,,,17800,,,,,1,7594,,Half-life in rats was determined,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL873816
,BAO_0000218,,,12923,,,,,0,7595,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,Autocuration,,1,,,,22224,A,U,CHEMBL618873
,BAO_0000019,,,11954,,,,,0,7596,,Area under curve after oral dose of 0.1 mg//kg,Autocuration,,1,,,,22224,A,U,CHEMBL621602
,BAO_0000218,,,11954,,,,,0,7597,,Area under curve after oral dose of 0.3 mg/kg,Autocuration,,1,,,,22224,A,U,CHEMBL621603
,BAO_0000218,,,11954,,,,,0,7598,,Area under curve after oral dose of 1 mg/kg,Autocuration,,1,,,,22224,A,U,CHEMBL621604
,BAO_0000218,,,11954,,,,,0,7599,,Area under curve after oral dose of 10 mg/kg,Autocuration,,1,,,,22224,A,U,CHEMBL621605
,BAO_0000218,,,11954,,,,,0,7600,,Area under curve after oral dose of 23.4 mg/kg,Autocuration,,1,,,,22224,A,U,CHEMBL621606
,BAO_0000218,,,11954,,,,,0,7601,,Area under curve after oral dose of 3 mg/kg,Autocuration,,1,,,,22224,A,U,CHEMBL621607
,BAO_0000218,,,11954,,,,,0,7602,,Area under curve after oral dose of 3.87 mg/kg,Autocuration,,1,,,,22224,A,U,CHEMBL621608
,BAO_0000019,,,5237,,,,,0,7603,,Area under curve was determined,Autocuration,,1,,,,22224,A,U,CHEMBL621609
,BAO_0000218,,,4026,,,,,0,7604,,Area under curve at a dose of 10 mg/kg,Autocuration,,1,,,,22224,A,U,CHEMBL621610
,BAO_0000218,,,5237,,,,,1,7605,,Area under curve was determined; ND=No data,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621611
,BAO_0000218,,,14793,,,,,1,7606,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL621612
,BAO_0000218,,,14793,,,,,1,7607,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL622308
,BAO_0000218,,,14793,,,,,1,7608,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL622309
,BAO_0000218,,,14793,,,,,1,7609,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL622310
,BAO_0000218,,,14793,,,,,1,7610,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL622311
,BAO_0000218,,,14793,,,,,1,7611,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL622312
,BAO_0000218,,,14793,,,,,1,7612,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL622931
,BAO_0000218,,,14793,,,,,1,7613,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL622932
,BAO_0000218,,,14793,,1969.0,,,1,7614,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622736
,BAO_0000218,,,14793,,1969.0,,,1,7615,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622737
,BAO_0000218,,,14793,,1969.0,,,1,7616,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622738
,BAO_0000218,,,14793,,1969.0,,,1,7617,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622739
,BAO_0000218,,,14793,,1969.0,,,1,7618,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622740
,BAO_0000218,,,14793,,1969.0,,,1,7619,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622741
,BAO_0000218,,,14793,,1969.0,,,1,7620,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622742
,BAO_0000218,,,14793,,1969.0,,,1,7621,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,Intermediate,Rattus norvegicus,1,10116.0,,Plasma,50597,A,N,CHEMBL622743
,BAO_0000218,,,11637,,1969.0,,,1,7622,,AUC in mice,Intermediate,Mus musculus,1,10090.0,,Plasma,50594,A,N,CHEMBL622744
,BAO_0000019,,,11149,,,,,0,7623,,Area under curve was measured from the graph obtained from concentration Vs time,Autocuration,,1,,,,22224,A,U,CHEMBL624134
,BAO_0000019,,,10016,,,,,0,7624,,Area under curve value of compound per hour after oral administration,Autocuration,,1,,,,22224,A,U,CHEMBL624135
,BAO_0000218,,,17796,,,,,1,7625,,Area under curve was determined after oral administration in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624136
,BAO_0000218,,,17796,,,,,1,7626,,Area under curve was determined after oral administration in rats; No data,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624137
,BAO_0000218,,,17796,,,,,1,7627,,Area under curve was determined after oral administration in rats;No data,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624320
,BAO_0000218,,,12923,,,,,1,7628,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,Intermediate,Canis lupus familiaris,1,9615.0,,,50588,A,N,CHEMBL624321
,BAO_0000218,,,15372,,,,,1,7629,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624322
,BAO_0000218,,,15372,,,,,1,7630,,Area under curve was determined for the compound after iv dose of 5.06 in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624323
,BAO_0000218,,,15372,,,,,1,7631,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624324
,BAO_0000218,,,15372,,,,,1,7632,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624325
,BAO_0000218,,,15372,,,,,1,7633,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624326
,BAO_0000218,,,15372,,,,,1,7634,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624327
,BAO_0000218,,,15372,,,,,1,7635,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL624328
,BAO_0000218,,,14169,,,,,1,7636,,Area under curve was determined in Dogs after peroral administration,Intermediate,Canis lupus familiaris,1,9615.0,,,50588,A,N,CHEMBL627848
,BAO_0000218,,,14169,,,,,1,7637,,Area under curve was determined in Rats after peroral administration,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL627849
,BAO_0000218,,,14258,,,,,1,7638,,Area under curve was determined in carotid blood of rat when administered intradermally,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL627850
,BAO_0000218,,,14258,,,,,1,7639,,Area under curve was determined in portal blood of rat when administered intradermally,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL627851
,BAO_0000218,,,15011,,,,,1,7640,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Intermediate,Mus musculus,1,10090.0,,,50594,A,N,CHEMBL627852
,BAO_0000218,,,15011,,,,,1,7641,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Intermediate,Mus musculus,1,10090.0,,,50594,A,N,CHEMBL627853
,BAO_0000218,,,15011,,,,,1,7642,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),Intermediate,Mus musculus,1,10090.0,,,50594,A,N,CHEMBL627854
,BAO_0000218,,,15011,,,,,1,7643,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Intermediate,Mus musculus,1,10090.0,,,50594,A,N,CHEMBL627855
,BAO_0000218,,,15011,,,,,1,7644,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),Intermediate,Mus musculus,1,10090.0,,,50594,A,N,CHEMBL627856
,BAO_0000218,,,15011,,,,,1,7645,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Intermediate,Mus musculus,1,10090.0,,,50594,A,N,CHEMBL875339
,BAO_0000218,,,15011,,,,,1,7646,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),Intermediate,Mus musculus,1,10090.0,,,50594,A,N,CHEMBL627857
,BAO_0000218,,In vivo,11195,,2106.0,,,1,7647,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,Intermediate,Rattus norvegicus,1,10116.0,,Spleen,50597,A,N,CHEMBL627858
,BAO_0000218,,,10130,,178.0,,,1,7648,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Blood,50597,A,N,CHEMBL627859
,BAO_0000218,,,10130,,955.0,,,1,7649,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Brain,50597,A,N,CHEMBL627860
,BAO_0000218,,,10130,,948.0,,,1,7650,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Heart,50597,A,N,CHEMBL627019
,BAO_0000218,,,10130,,2107.0,,,1,7651,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Liver,50597,A,N,CHEMBL627020
,BAO_0000218,,,10130,,2048.0,,,1,7652,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Lung,50597,A,N,CHEMBL627021
,BAO_0000218,,,10130,,2385.0,,,1,7653,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Muscle tissue,50597,A,N,CHEMBL627022
,BAO_0000218,,,10130,,,,,1,7654,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,,50597,A,N,CHEMBL627023
,BAO_0000218,,,10130,,2106.0,,,1,7655,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Spleen,50597,A,N,CHEMBL627024
,BAO_0000218,,,10130,,2046.0,,,1,7656,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Thyroid gland,50597,A,N,CHEMBL627025
,BAO_0000218,,,10130,,2113.0,,,1,7657,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Kidney,50597,A,N,CHEMBL627026
,BAO_0000218,,,10130,,178.0,,,1,7658,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Blood,50597,A,N,CHEMBL627027
,BAO_0000218,,,10130,,955.0,,,1,7659,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Brain,50597,A,N,CHEMBL627028
,BAO_0000218,,,10130,,948.0,,,1,7660,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Heart,50597,A,N,CHEMBL627029
,BAO_0000218,,,10130,,2113.0,,,1,7661,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Kidney,50597,A,N,CHEMBL627030
,BAO_0000218,,,10130,,2107.0,,,1,7662,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,Intermediate,Rattus norvegicus,1,10116.0,,Liver,50597,A,N,CHEMBL627031
