assay_id,assay_test_type,tissue_id,tid,assay_tax_id,curated_by,src_id,assay_tissue,assay_type,cell_id,description,assay_subcellular_fraction,assay_category,bao_format,relationship_type,assay_strain,doc_id,assay_organism,assay_cell_type
44,,,13053,,Autocuration,1,,B,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,BAO_0000019,H,,898,,
45,,,20001,9606.0,Autocuration,1,,B,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,BAO_0000019,H,,13163,Homo sapiens,
46,,,20001,9606.0,Autocuration,1,,B,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,BAO_0000019,H,,13163,Homo sapiens,
47,,,12971,10116.0,Expert,1,,B,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,BAO_0000019,D,,10691,Rattus norvegicus,
48,,,12971,10116.0,Expert,1,,B,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,BAO_0000019,D,,10691,Rattus norvegicus,
49,,,12971,10116.0,Expert,1,,B,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,BAO_0000019,D,,10691,Rattus norvegicus,
50,,,12971,10116.0,Expert,1,,B,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,BAO_0000019,D,,10691,Rattus norvegicus,
51,,,13053,,Autocuration,1,,B,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,BAO_0000019,H,,898,,
52,,,11512,,Autocuration,1,,B,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,BAO_0000357,H,,912,,
53,,,11512,,Autocuration,1,,B,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,BAO_0000357,H,,912,,
54,,,11512,,Autocuration,1,,B,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,BAO_0000357,H,,912,,
55,,,104740,10116.0,Autocuration,1,,B,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Membranes,,BAO_0000249,D,,15103,Rattus norvegicus,
56,,,80002,9606.0,Intermediate,1,,F,506.0,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,BAO_0000219,N,,5116,Homo sapiens,1A9
57,,,104835,10116.0,Autocuration,1,,F,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,BAO_0000219,D,,14578,Rattus norvegicus,Oocytes
58,,,104821,10116.0,Autocuration,1,,F,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,BAO_0000219,D,,14578,Rattus norvegicus,Oocytes
59,,,104848,10116.0,Autocuration,1,,F,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,BAO_0000219,D,,14578,Rattus norvegicus,Oocytes
60,,,80002,9606.0,Expert,1,,F,506.0,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,BAO_0000219,N,,4787,Homo sapiens,1A9
61,,,80002,9606.0,Intermediate,1,,F,506.0,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,BAO_0000219,N,,4787,Homo sapiens,1A9
62,,,80002,9606.0,Intermediate,1,,F,506.0,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,BAO_0000219,N,,3547,Homo sapiens,1A9
63,,,80002,9606.0,Intermediate,1,,F,506.0,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,BAO_0000219,N,,3547,Homo sapiens,1A9
64,,,80002,9606.0,Intermediate,1,,F,506.0,Effective dose of compound against replication of 1A9 cell line was evaluated,,,BAO_0000219,N,,6726,Homo sapiens,1A9
65,,,80002,9606.0,Expert,1,,F,506.0,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,BAO_0000219,N,,3455,Homo sapiens,1A9
66,,,80002,9606.0,Intermediate,1,,F,506.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,BAO_0000219,N,,5726,Homo sapiens,1A9
67,,,80002,9606.0,Intermediate,1,,F,506.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,BAO_0000219,N,,5726,Homo sapiens,1A9
68,,,80002,9606.0,Intermediate,1,,F,506.0,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,BAO_0000219,N,,5726,Homo sapiens,1A9
69,,,80002,9606.0,Intermediate,1,,F,506.0,Inhibitory activity against Taxol resistant 1A9 cell lines,,,BAO_0000219,N,,3395,Homo sapiens,1A9
70,,,80002,9606.0,Expert,1,,F,506.0,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,BAO_0000219,N,,3415,Homo sapiens,1A9
71,,,80002,9606.0,Expert,1,,F,506.0,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,BAO_0000219,N,,3415,Homo sapiens,1A9
72,,,80002,9606.0,Expert,1,,F,506.0,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,BAO_0000219,N,,17099,Homo sapiens,1A9
73,,,80002,9606.0,Intermediate,1,,F,506.0,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,BAO_0000219,N,,17099,Homo sapiens,1A9
74,,,80002,9606.0,Intermediate,1,,F,506.0,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,BAO_0000219,N,,17099,Homo sapiens,1A9
75,,,80002,9606.0,Intermediate,1,,F,506.0,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,BAO_0000219,N,,17099,Homo sapiens,1A9
76,,,81072,9606.0,Intermediate,1,,F,503.0,Inhibitory concentration against Jurkat cells,,,BAO_0000219,N,,17721,Homo sapiens,Jurkat
77,,,22226,,Intermediate,1,,F,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,BAO_0000019,U,,1229,,
78,,,100121,10116.0,Expert,1,,A,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,BAO_0000357,D,,11347,Rattus norvegicus,
79,,,11231,,Expert,1,,B,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,BAO_0000357,H,,17117,,
80,,,11231,,Expert,1,,B,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,BAO_0000357,H,,17117,,
81,,,11231,,Expert,1,,B,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,BAO_0000357,H,,17117,,
82,,,11231,5476.0,Autocuration,1,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Microsomes,,BAO_0000251,H,,11375,Candida albicans,
83,,,11231,5476.0,Autocuration,1,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Microsomes,,BAO_0000251,H,,11375,Candida albicans,
84,,,11231,4932.0,Autocuration,1,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Microsomes,,BAO_0000251,H,,11375,Saccharomyces cerevisiae,
85,,,11231,4932.0,Autocuration,1,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Microsomes,,BAO_0000251,H,,11375,Saccharomyces cerevisiae,
86,,2107.0,12083,9823.0,Autocuration,1,Liver,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Microsomes,,BAO_0000251,H,,11375,Sus scrofa,
87,,,11231,10116.0,Autocuration,1,,B,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,BAO_0000019,H,,791,Rattus norvegicus,
88,,,11231,10116.0,Autocuration,1,,B,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,BAO_0000019,H,,791,Rattus norvegicus,
89,,,11231,10116.0,Autocuration,1,,B,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,BAO_0000019,H,,791,Rattus norvegicus,
90,,2107.0,12083,10116.0,Autocuration,1,Liver,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Microsomes,,BAO_0000251,D,,11375,Rattus norvegicus,
91,,2107.0,12083,10116.0,Autocuration,1,Liver,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Microsomes,,BAO_0000251,D,,11375,Rattus norvegicus,
92,,2107.0,12083,10116.0,Autocuration,1,Liver,B,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Microsomes,,BAO_0000251,D,,153,Rattus norvegicus,
93,,,11377,,Expert,1,,B,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,BAO_0000357,H,,8269,,
94,,,11377,,Expert,1,,B,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,BAO_0000357,H,,8269,,
95,,,81020,9606.0,Expert,1,,F,726.0,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,BAO_0000219,N,,17653,Homo sapiens,HepG2
96,,,81020,9606.0,Intermediate,1,,F,726.0,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,BAO_0000219,N,,14277,Homo sapiens,HepG2
97,,,81020,9606.0,Intermediate,1,,F,726.0,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,BAO_0000219,N,,1717,Homo sapiens,HepG2
98,,,81020,9606.0,Intermediate,1,,F,726.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,BAO_0000219,N,,14091,Homo sapiens,HepG2
99,,,81020,9606.0,Intermediate,1,,F,726.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,BAO_0000219,N,,14091,Homo sapiens,HepG2
100,,,50606,10407.0,Expert,1,,F,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,BAO_0000218,N,,17653,Hepatitis B virus,
101,,,81020,9606.0,Intermediate,1,,F,726.0,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,BAO_0000219,N,,13105,Homo sapiens,HepG2
102,,,81020,9606.0,Intermediate,1,,F,726.0,Concentration required to inhibit 50% of 2.2.15 cell line,,,BAO_0000219,N,,1717,Homo sapiens,HepG2
103,,,81020,9606.0,Intermediate,1,,A,726.0,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,BAO_0000219,N,,13105,Homo sapiens,HepG2
104,,,50587,9606.0,Intermediate,1,,F,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,BAO_0000218,N,,13600,Homo sapiens,2.2.15
105,,,50587,9606.0,Intermediate,1,,F,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,BAO_0000218,N,,13467,Homo sapiens,2.2.15
106,,,50606,10407.0,Expert,1,,F,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,BAO_0000218,N,,17477,Hepatitis B virus,2.2.15
107,,,50587,9606.0,Intermediate,1,,F,,In vitro anti-HBV activity in 2.2.15 cells,,,BAO_0000218,N,,1593,Homo sapiens,2.2.15
108,,,50587,9606.0,Intermediate,1,,F,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,BAO_0000218,N,,1593,Homo sapiens,2.2.15
109,,,50587,9606.0,Intermediate,1,,F,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,BAO_0000218,N,,15089,Homo sapiens,2.2.15
110,,,50587,9606.0,Intermediate,1,,F,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,BAO_0000218,N,,15089,Homo sapiens,2.2.15
111,,,50587,9606.0,Intermediate,1,,F,,Cytotoxicity in 2.2.15 cells,,,BAO_0000218,N,,1593,Homo sapiens,2.2.15
112,,,50587,9606.0,Intermediate,1,,F,,Cytotoxicity in 2.2.15 cells; Not determined,,,BAO_0000218,N,,1593,Homo sapiens,2.2.15
113,,,50587,9606.0,Intermediate,1,,F,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,BAO_0000218,N,,13600,Homo sapiens,2.2.15
114,,,50587,9606.0,Intermediate,1,,F,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,BAO_0000218,N,,13467,Homo sapiens,2.2.15
115,,,50587,9606.0,Intermediate,1,,F,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,BAO_0000218,N,,13467,Homo sapiens,2.2.15
116,,,81020,9606.0,Intermediate,1,,F,726.0,Antiviral activity against HBV was determined in 2.215 cell line,,,BAO_0000219,N,,14764,Homo sapiens,HepG2
117,,,22226,9606.0,Autocuration,1,,B,,Inhibition of 20-HETE synthesis in human renal microsomes,Microsomes,,BAO_0000251,U,,6531,Homo sapiens,
118,,,22226,,Autocuration,1,,B,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,BAO_0000019,U,,17322,,
119,,,80612,9606.0,Intermediate,1,,F,388.0,Inhibitory concentration against 2008 (ovarian) cells,,,BAO_0000219,N,,17072,Homo sapiens,2008
120,,,80612,9606.0,Intermediate,1,,F,388.0,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,BAO_0000219,N,,16936,Homo sapiens,2008
121,,,80612,9606.0,Intermediate,1,,F,388.0,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,BAO_0000219,N,,16936,Homo sapiens,2008
122,,,80612,9606.0,Intermediate,1,,F,388.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,BAO_0000219,N,,17146,Homo sapiens,2008
123,,,80612,9606.0,Intermediate,1,,F,388.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,BAO_0000219,N,,17146,Homo sapiens,2008
124,,,80613,9606.0,Intermediate,1,,F,561.0,In vitro inhibition of 2008/R ovarian cancer cell line,,,BAO_0000219,N,,10797,Homo sapiens,2008/R
125,,,80613,9606.0,Intermediate,1,,F,561.0,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,BAO_0000219,N,,10797,Homo sapiens,2008/R
126,,,80614,9606.0,Intermediate,1,,F,389.0,In vitro inhibition of 2008/S ovarian cancer cell line,,,BAO_0000219,N,,10797,Homo sapiens,2008/S
127,,,80614,9606.0,Intermediate,1,,F,389.0,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,BAO_0000219,N,,10797,Homo sapiens,2008/S
128,,,100256,9606.0,Expert,1,,B,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,BAO_0000220,S,,4823,Homo sapiens,
129,,,100256,9606.0,Intermediate,1,,B,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,BAO_0000220,S,,12912,Homo sapiens,
130,,,100256,,Expert,1,,B,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,BAO_0000220,S,,2957,,
131,,,100256,,Expert,1,,B,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,BAO_0000220,S,,2957,,
132,,,100256,,Intermediate,1,,B,,Inhibitory activity against 20S proteosome,,,BAO_0000220,S,,3260,,
133,,,22226,9606.0,Autocuration,1,,B,,Compound was tested for inhibitory activity against tryptase,,,BAO_0000019,U,,3451,Homo sapiens,
134,,,81020,9606.0,Intermediate,1,,F,726.0,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,BAO_0000219,N,,13885,Homo sapiens,HepG2
135,,,81020,9606.0,Intermediate,1,,F,726.0,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,BAO_0000219,N,,13885,Homo sapiens,HepG2
136,,,22226,,Autocuration,1,,B,,Compound was tested for the inhibition of Alpha-glucosidase,,,BAO_0000019,U,,3676,,
137,,,235,,Autocuration,1,,B,,Inhibitory concentration against human neutrophil elastase (HNE),,,BAO_0000357,H,,6043,,
138,,948.0,22226,10116.0,Autocuration,1,Heart,F,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,BAO_0000218,U,,11140,Rattus norvegicus,
139,,,19640,,Autocuration,1,,F,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,BAO_0000019,H,,10543,,
140,,,19640,,Expert,1,,F,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,BAO_0000019,H,,10543,,
141,,,19640,,Autocuration,1,,B,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,BAO_0000357,H,,10543,,
142,,,19640,,Expert,1,,F,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,BAO_0000019,H,,10543,,
143,,,80360,10090.0,Intermediate,1,,F,524.0,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,BAO_0000219,N,,11365,Mus musculus,P338
144,,,80360,10090.0,Intermediate,1,,F,524.0,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,BAO_0000219,N,,11365,Mus musculus,P338
145,,,80384,9606.0,Intermediate,1,,F,554.0,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,BAO_0000219,N,,11803,Homo sapiens,PBL
146,,,22226,9940.0,Autocuration,1,,F,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,BAO_0000019,U,,11803,Ovis aries,
147,,,22226,9940.0,Autocuration,1,,F,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,BAO_0000019,U,,11803,Ovis aries,
148,,,191,,Autocuration,1,,B,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,BAO_0000357,H,,12278,,
149,,,22226,9606.0,Autocuration,1,,F,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,BAO_0000019,U,,8249,Homo sapiens,
150,,,22226,9606.0,Autocuration,1,,F,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,BAO_0000019,U,,8249,Homo sapiens,
151,,,22226,9606.0,Autocuration,1,,F,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,BAO_0000219,U,,8249,Homo sapiens,CCRF-CEM
152,,,22226,9606.0,Autocuration,1,,F,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,BAO_0000219,U,,8249,Homo sapiens,CCRF-CEM
153,,,22226,9606.0,Autocuration,1,,F,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,BAO_0000219,U,,8249,Homo sapiens,CCRF-CEM
154,,,22226,9606.0,Autocuration,1,,F,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,BAO_0000219,U,,8249,Homo sapiens,CCRF-CEM
155,,,22226,9606.0,Autocuration,1,,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,BAO_0000019,U,,8249,Homo sapiens,
156,,,22226,9606.0,Autocuration,1,,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,BAO_0000019,U,,8249,Homo sapiens,
157,,,104290,,Autocuration,1,,B,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,BAO_0000249,H,,16992,,
