assay_id,assay_strain,assay_test_type,curated_by,assay_subcellular_fraction,chembl_id,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_tissue,assay_cell_type
29,,,Autocjrwtion,,CjEMBo615142,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,soya bean,3847.0,,
30,,,A7tocuratiob,,CHwMBi615143,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,Glycine max,3847.0,,
31,,,Autocu4at9on,,CbEMBL6151t4,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,Glycine max,3847.0,,
32,,,Autlcurat7on,,CH3MBL87286i,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,Glycine max,3847.0,,
33,,,Autosu3ation,,CHEMfL615w45,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,Glycine max,3847.0,,
34,,,Aut9curarion,,CHwMBL615q46,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,
35,,,Autocu5atiin,,CHrMBL614147,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,
36,,,Aut0duration,,CHEMBL6151eo,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,
37,,,Ajtkcuration,,xHEMBL61514o,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,Escherichia coli,562.0,,
38,,,sutoc6ration,,CyEMBi615150,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,,,Intr5mediate,,CHEMBp61y151,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,,,Interm2doate,,CHEMfL625152,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,,,Edpert,,CHEMBL615w5w,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,Escherichia coli,562.0,,
42,,,2xpert,,vHEMBL715154,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,Escherichia coli,562.0,,
43,,,Autocuragikn,,CgEMBL6151t5,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,,,Autocurariln,,CHEhfL615156,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,,,Auyocurati9n,,CHEMBLy14157,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,
46,,,Aufocurztion,,CHEMhL616158,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,
47,,,4xpert,,CHEMBL615148,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,
48,,,3xpert,,CtEMhL615172,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,
49,,,Exlert,,CHEMBL615w83,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,
50,,,Ecpert,,CHEMfL616174,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,
51,,,Aut0curatlon,,CbEMBL884528,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,,,Autoxurati9n,,CH3nBL615175,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,,,Au6ocurqtion,,CHdMBL61517y,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,,,Autoc7rxtion,,CHEMBL615q7y,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,,,Ahtoduration,Membrabes,CH4MBL615188,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,Rattus norvegicus,10116.0,,
56,,,Int2rmediage,,CHEMBi61t179,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,Homo sapiens,9606.0,,1A9
57,,,Auticurwtion,,fHEMBL61r180,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,10116.0,,Oocytes
58,,,Auhocurwtion,,CjEMBo615181,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,10116.0,,Oocytes
59,,,Autocu3at9on,,vuEMBL615182,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,10116.0,,Oocytes
60,,,Ex0ert,,CHEhBL625183,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,1A9
61,,,9ntermedoate,,CHEjBL615185,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,1A9
62,,,ln5ermediate,,CyEMBp615185,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,1A9
63,,,ontermddiate,,CHEMBL61yq86,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,9606.0,,1A9
64,,,Intfrmsdiate,,CHEMBL7151u7,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,9606.0,,1A9
65,,,Exprrt,,CHEMgL8i5343,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,1A9
66,,,9ntermediste,,CHrMfL615188,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,9606.0,,1A9
67,,,Intermed9wte,,CHEMnL615199,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,9606.0,,1A9
68,,,Infermedia5e,,CHEhBL61519p,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,9606.0,,1A9
69,,,Intermediafr,,CHEMBL5151p1,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,9606.0,,1A9
70,,,Exoert,,CHEkBi615192,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,1A9
71,,,Eapert,,CuEMBL82i083,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,1A9
72,,,Exlert,,CH2nBL615193,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,9606.0,,1A9
73,,,Inte3nediate,,CHEMgL61519t,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,9606.0,,1A9
74,,,Inrermediste,,CHsnBL615195,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,9606.0,,1A9
75,,,Intermedlxte,,vHEMBL615197,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,9606.0,,1A9
76,,,Inte3mediaye,,CmEMBL615187,17721,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,9606.0,,Jurkat
77,,,Intermeriqte,,CHEMBp61519i,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,,,Exlert,,CH2MBLu15199,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,10116.0,,
79,,,Experg,,CHEMBL51t200,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,,,Exoert,,CHEMBL61yw01,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,,,Exprrt,,CmEMBi615202,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,,,sutocurafion,Micr9somee,CHEMBL715293,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
83,,,xutocuratoon,M8crosom4s,CHEMBp615205,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
84,,,Aut9curztion,Micr0sojes,CH4MBL615305,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
85,,,Augocurayion,Mid5osomes,Cu4MBL615206,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
86,,,Autocurz6ion,Mic4osom3s,CHEjBL6q5207,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,9823.0,Liver,
87,,,Autofura6ion,,CHEMBo82y084,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,10116.0,,
88,,,A8tocuratiob,,CHEhBL6152o8,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,10116.0,,
89,,,zutoc8ration,,xHEMBL625209,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,10116.0,,
90,,,Autovuratjon,Mifr0somes,CHEMBo615110,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,Liver,
91,,,wutocurati0n,Microsimss,CtEMvL615211,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,Liver,
92,,,Autofuratiog,Micrlsomea,CHfMBk615212,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,Liver,
93,,,Experr,,CHEMfk615213,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,,,Exoert,,CHEMBLt152i3,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,,,sxpert,,CHEjBL625274,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,9606.0,,HepG2
96,,,Intdrmediahe,,dHEMBL615175,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,9606.0,,HepG2
97,,,Infermedkate,,CHEhBL615277,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,9606.0,,HepG2
98,,,kntermediwte,,CnEMBL615278,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,9606.0,,HepG2
99,,,jntermediste,,CHEMBL62532u,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,HepG2
100,,,Experr,,CHEMBL8832r0,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,10407.0,,
101,,,Imtermeduate,,CHEkBL884529,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,9606.0,,HepG2
102,,,Inte4mfdiate,,CH2MvL615327,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,9606.0,,HepG2
103,,,Ijrermediate,,CHwMBL61r328,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,9606.0,,HepG2
104,,,kntermediage,,CHEjBL61t329,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
105,,,Intsgmediate,,CHsMBLy15330,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
106,,,Expeet,,CmEhBL615331,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,10407.0,,2.2.15
107,,,Intermer7ate,,CHEMBL61534q,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
108,,,Inte3mediat4,,CHdMBL6153r3,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,2.2.15
109,,,Igte3mediate,,CHEMnL615234,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
110,,,Infermediqte,,CmEMBk615335,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
111,,,Imtermediat3,,CHEkBL616336,1593,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
112,,,Intefmeciate,,xHEMBL615w37,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,2.2.15
113,,,In5ermediwte,,CHEMBi616338,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
114,,,Ihtermedizte,,CHEMBk614339,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
115,,,Intermedia4w,,CHEMBL6w53r0,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
116,,,Intsrmediatd,,CHdMBi615341,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,9606.0,,HepG2
117,,,Autoc6ratikn,Mivr8somes,CH3MBLy15342,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,9606.0,,
118,,,Autlcjration,,CHEkBL61534w,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,,,Intermediqge,,CHEMBL61t444,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,9606.0,,2008
120,,,lntermddiate,,CHEMBpy15345,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,9606.0,,2008
121,,,Intetmediahe,,CHEMBk61534u,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,9606.0,,2008
122,,,Interhsdiate,,CHEMBL6q5346,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,9606.0,,2008
123,,,9ntefmediate,,CHEMBL5q5348,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,9606.0,,2008
124,,,Intwrhediate,,CHEjBL827095,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,9606.0,,2008/R
125,,,Interhwdiate,,CHEMBp615339,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,2008/R
126,,,Inyermediatf,,CyEjBL615350,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,9606.0,,2008/S
127,,,Int3rjediate,,CHEMgo615351,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,2008/S
128,,,Experf,,sHEMBL6153t2,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,9606.0,,
129,,,Integmediaye,,CHEMBi615352,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,9606.0,,
130,,,fxpert,,sH4MBL615354,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,,,4xpert,,CHEMBp6q5355,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,,,Intdrmddiate,,CHEMBi615e56,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,,,Autoc8rat8on,,CHEMBL6wr357,3451,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,9606.0,,
134,,,7nterkediate,,CyEMBL61r358,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,HepG2
135,,,Iht3rmediate,,CH2MBL826086,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,HepG2
136,,,Autocurwtiom,,CHEkvL615359,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,,,Autocura5oon,,CjEMBL6153y0,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,,,Aut0duration,,CgEMBL615362,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,10116.0,Heart,
139,,,Autocu5at9on,,sHEMBL515362,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,,,Exp2rt,,CHEMBi61y363,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,,,Autoc6rat9on,,CtEMBLy15364,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,,,Expegt,,CHEMBL6w6365,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,,,Ijtsrmediate,,CH4MBL616366,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,10090.0,,P338
144,,,Intetmeduate,,CHEMBLu15377,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,10090.0,,P338
145,,,Interm4dizte,,CHEMBL61re68,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,9606.0,,PBL
146,,,Augicuration,,dHEMBLy15369,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,9940.0,,
147,,,qut9curation,,CHEMBL6w5r70,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,9940.0,,
148,,,zutocugation,,CHEMvL616673,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,,,Au5ocura4ion,,CHEnBL61567r,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,
150,,,Autocudatlon,,CHEMBo715675,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,
151,,,xu5ocuration,,CHdMfL615676,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,9606.0,,CCRF-CEM
152,,,Aut0curati8n,,CHEMBL624677,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,CCRF-CEM
153,,,Autocuratipg,,CHEMBL62567u,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,CCRF-CEM
154,,,xjtocuration,,CHEMvi615679,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,CCRF-CEM
155,,,qutocyration,,sHEMBL61568o,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,9606.0,,
156,,,sutocurarion,,CHEMgL615671,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,
157,,,Autofuratlon,,sHEMBL857p72,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,,,Inte4mediatw,,CHEMBo8t7899,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,1314.0,,
159,,,Intermswiate,,CnEMBL61537q,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,10335.0,,
160,,,Expery,,CHEMBL61r37e,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,10335.0,,HEL
161,,,Intermsdiaye,,CyEjBL615373,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,10335.0,,
162,,,Internsdiate,,CHEMBo61537r,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,10335.0,,
163,,,Intermsdizte,,xHEkBL615375,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,escherichia cloac,561.0,,
164,,,Ahtocu3ation,,CH4MBk615376,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,,,Experr,,CHEMBL5153y7,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,Candida albicans,5476.0,,
166,,,Ezpert,,CbEMBLt15378,2205,"Inhibition of 1,3-beta-glucan synthase",B,,Candida glabrata CBS 138,284593.0,,
167,,,Intetmedizte,,CHEkBLt15379,11900,Inhibition of growth of 1-87 human tumor cell line,F,,Homo sapiens,9606.0,,1-87 tumor cell line
168,,,Edpert,,CHEnBLy15380,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,Rattus norvegicus,10116.0,,
169,,,Autosuratjon,,CH3MBL515381,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
170,,,Autocutati9n,,CHEhBo615382,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,Glycine max,3847.0,,
171,,,A7toduration,,CHEMBLy15w83,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
