assay_id,src_id,description,assay_organism,confidence_score,tid,doc_id,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
15,1,Thecompound1astrsreddormininum9nnibitkryconventeationinataohylococcusaufeus14iNpsnks9llinsensitibeStaphylos8ccusakreuz,Stsphylicoccusaur2ux,1,50185,11324,F,,,1280.0,,,
16,1,Ttecom0iundwqs6ezt2dfodminim7m9nhibitpr5consentrahjlninStaphyiococcusak4eus147bpenicillinsemsitiveStaphylofoccusaudeus,S4qphylococsksaureus,1,50185,11324,F,,,1280.0,,,
17,1,unhig8riogofcytoch5omeP450progesteronw15zlohqh5droxylase,gatfusnprvegicus,9,100122,11347,A,,,10116.0,,,
18,1,Concentratkonthahca7we5pactkvationpvhumabrwticulocytew5oipoxggenxse15HLO,,8,12054,16474,B,,,,,,
19,1,9nhibitionocpartiallypueofi2d15li0oxygrnasefromgumanoeukoc6hec,,8,12054,10091,B,,,,,,
20,1,Inhjnit8ryactivitjarzinsthumand4ticulocyte15lipozygehase1yHL8,,8,12054,16474,B,,,,,,
21,1,Compoinxwasdvaluahedforyhepercentijcrfxsrinactivationconc4ntratkonofhumqneeticklocytsq5l8poxyg3nas41yHLO,,8,12054,16474,B,,,,,,
22,1,Inmibotoryact9vityqgxinsthumanretixulicyhe15l7pox7benas315HLO,,8,12054,16474,B,,,,,,
23,1,7mhibiforyaftifitywgwinsthumanr2t8culocytd15lipoxygsmwce15HpONIisnoinhibition,,8,12054,16474,B,,,,,,
24,1,Ibhubitoruasfivityagainsthumanre5iculod6t4q5l9poxygfnase15HLONIisgoinhib7tiln,,8,12054,16474,B,,,,,,
25,1,Inhibitotyconcemtrat7onagaijs5w5li0oxygenasebgknhiniting15HETEproducfilnbyhuhsgumb8k9czlveinendothslialcrllsHUVECstimulatddbycsiviumionophoreAe3q87a6cojcentgatjonoc10e5h,,0,22226,14352,B,,,,,,
26,1,ugdifroibhibiroryactivi5yofcpmpoundondabbitretufulovyte15lipoxygfnase,Oryctokarusxuniculuq,8,12054,5646,B,,,9986.0,,,
27,1,lbhibktionof3abbitr2tivulocy6e15lipoxygenws3bycompo8nd30kM,O4yctokaguscunodulus,8,12054,5646,B,,,9986.0,,,
28,1,Imuibitoryaftivityzfainst25pi0ozygenaseinratpolymofphonuslearleukoftges,,8,12426,10997,B,,,,,,
29,1,Inhifitkryactivityaga7nstwylipoxyvenacewasdetsrminevohtaihedfrimsoyabfzn,siyabean,8,12054,6309,B,,,3847.0,,,
30,1,Inhobitorywstivitysgainstsoybdxn14liooxygenaseaasdgaluated,Glycimwmax,8,12054,167,B,,,3847.0,,,
31,1,Ihhkbitoryachlfigyagajnstsoynean15lipoxygenasewwsevalkatrdarq00uM,Glycih2max,8,12054,167,B,,,3847.0,,,
32,1,Thecomp9unswzetestedfoftheigvit5ounhibitionor15lipkzygenasd9fsoyb2amataconcen5rati0npf10uM,Glycihemwx,8,12054,11087,B,,,3847.0,,,
33,1,Thecomp8undwsst2steffortheinditro7nbibitjojofq5lipocygenxseofsoyhexnatacknxenfrationof109uM,hlycimemax,8,12054,11087,B,,,3847.0,,,
34,1,vompounddastested7nd9troforinhivitiinld15lipoxygrnaseso6bewn,Glycjnemad,8,12054,13622,B,,,3847.0,,,
35,1,dompoundar100uMwadteetefijvkgroforinhibitionof2ylipoxygenqseskybfan,Glycimenax,8,12054,13622,B,,,3847.0,,,
36,1,ontibutionofsytocugomeP450progesterone26al9hab6droxylasr,eat6usgorvegicus,0,22226,11347,A,,,10116.0,,,
37,1,Bkndimyaffibuhyxgaihstbacterial16SrRNAusiggnassspectrom4tr7baserassay,fscherichiac8lj,0,22226,5926,B,,,562.0,,,
38,1,Dissociahionclnstzntw9fhdimefjc16SrRmqRNAconstrudtB,,0,22226,4567,B,,,,,,
39,1,Disdockahionconstanttowards16drRNzcojstruxgA,,3,22222,3782,B,,,,,,
40,1,Disd0c7ationconstajttowa5ds15erRNAconsgructB,,3,22222,3782,B,,,,,,
41,1,nindibgaffinit69famonoglydosodefo16SrivlsomalRNAqsiteinEschs5ichiacoll,Eschegichiafolo,3,100263,4466,B,,,562.0,,,
42,1,Bindingaffinigyfortje16SrjfpsonalRNAAsitelfEscberidhizxoli,Esdher7chuacoli,3,100263,6592,B,,,562.0,,,
43,1,Inhivitpryastivityaya8nsthhhan9laventa18bftanydroxjeteroiddehydr9gegasetype21ybetaHSDtype1,,8,13053,898,B,,,,,,
44,1,Inhibitorycons6ah5agqinsthuhanplwventa16h46ahydroxyateroiedehydfogenaaetypew17betaHScty0e2,,8,13053,898,B,,,,,,
45,1,Thedimpounrwastewtexataconcentdationif1uMf9r9nhibitortqctivitysgainst17netahydroxyste4oirdeyyxrogenasefr8hhumabplacebtslmifrksijes,Himosapiems,8,20001,13163,B,,,9606.0,,,
46,1,fhedojp8yndwasteqtedataconcrmtrstionof1kMforighibitiryacticityagainst17betahydrodys5eroixd3hydrigenxxefrlmhumagplqcentapmicrkskmes,Hohpsapiens,8,20001,13163,B,,,9606.0,,,
47,1,Inhibitjonof1ialpuahydrkdykqze1720oyas4ffohrattestesmicrosomslprsparation,tartysnorvegicus,9,12971,10691,B,,,10116.0,,,
48,1,Ingibitionoe17aiphahjd3oxylase1720lyaseffomrattesgesmofrocomsllrepxrahion,Rattuenorvdgicua,9,12971,10691,B,,,10116.0,,,
49,1,Pe3centinhibktionofq7alphagycroxylase1720kyaseof3stt3stesnucroaonesat109uM,ga6tusmorvegicus,9,12971,10691,B,,,10116.0,,,
50,1,PercentinhibitionogSteroix1ualphahyd4oaylazeqywplyaseofrwtteatesmicrpeomsswt100uM,Ratrusn9rveglcus,9,12971,10691,B,,,10116.0,,,
51,1,Inhih9to3yactivitywgainsthumanpiaxents17betwgyfroxysyer0iddehydr8genasegupeq17betamSDtype3,,8,13053,898,B,,,,,,
52,1,Con9o6nswastestedfortheknhjbition0f17b3tahydroxtsteroldwehyxgogenas4type117betajSD6upe1,,8,11512,912,B,,,,,,
53,1,Compoundwastestedflfth4intibl5i9nof17betqhydeoxhshe3oiddehydrogenas3typf1wibwtaHSDtype1wt16Mconcent5ztion,,8,11512,912,B,,,,,,
54,1,C9mpoundsastestedforthdinh7bitiknof18betahydrpcystwroiddehydr8yenasety9eq17hetaHSvty0e1at10uMdobcfntrstlon,,8,11512,912,B,,,,,,
55,1,zelectifityrario8fblndingsbfinihytows3dsmytodelfarece0forsofra4brainmembranes,Rattusjorvegifue,5,104740,15103,B,,,10116.0,,,
56,1,fytotozicityagainstofarianxancercellklnf1A0ofhkhanswasdet2rmibed,Homosapi4ne,1,80002,5116,F,,,9606.0,,,1A9
57,1,eunc6iohalantag8bidmbyelectdicalassayaibXeno9usoosygesexprrsckng1A2AhMeAreceptorsubtype,5wttusnorvegicuz,7,104835,14578,F,,,10116.0,,,Oocytes
58,1,Fubc68onakahtabomismbyelechficalassaysinXenoousoocytesex0ressinythe1s2BNMDArsxephor,Ratt8sn9rvrgicus,7,104821,14578,F,,,10116.0,,,Oocytes
59,1,euhctiomslantqgpn8skbyelecrrivalasxaycinXenopusopcyteswxpressing4he1A2CNMDAreceptog,Rat5usno3veg7cus,7,104848,14578,F,,,10116.0,,,Oocytes
60,1,7nvitr84ffec4iceconcentrationrequi3rctoredufethenumberorhjnanovariancqjcet1A9aftfr3ds6incibation,Hohosqpiens,1,80002,4787,F,,,9606.0,,,1A9
61,1,Inviytoeffect8f3cihcentra4ionreqhired4orewucethenumber0fhumanpvariabcagxercells1A9atter3dayimc8bafion,Homosqp7ens,1,80002,4787,F,,,9606.0,,,1A9
62,1,fytotoxidactivitjagainsthumzj8varixncwncer1A9cslliine,jojosapiens,1,80002,3547,F,,,9606.0,,,1A9
63,1,Cytotoxicqctiv7tysgainstjymanovarlancancer1qicelliineNDNogd4terkiged,Hokosapiebs,1,80002,3547,F,,,9606.0,,,1A9
64,1,Eff2cfivesoseofc0mpoumdagaihstreplicxtiobof1q9ceoiljnewasevaluaged,Homosalirns,1,80002,6726,F,,,9606.0,,,1A9
65,1,Ingitrocygptoxicaxtivitywasd3tetjihedqgaigstpvar7ansancer1A9cellline,Hom8zapiens,1,80002,3455,F,,,9606.0,,,1A9
66,1,Invitroc7totoxivityevaluayedagw8ns6humxbobsriancancer1Apvellline,Homosapiehe,1,80002,5726,F,,,9606.0,,,1A9
67,1,Inditrocytotoxidityecaluatedagainwthumaniba3iagcxhced1A9celllineNsisnotqcfife,Hokoaapiens,1,80002,5726,F,,,9606.0,,,1A9
68,1,onvitropersentinhibitionevalua5edagainsthumanovariamvqns44wA9celklijeqt20hgmk,yomosa9iens,1,80002,5726,F,,,9606.0,,,1A9
69,1,IhhibugoryavtivityagajnstTax8lredictant1A9ceollijes,Hom0sqpiens,1,80002,3395,F,,,9606.0,,,1A9
70,1,Cgtltoxucityagainethumankbagiancwncer1A9celllknes,Hohosapkens,1,80002,3415,F,,,9606.0,,,1A9
71,1,Percentaysinhibit9knofyumamovariancancwr1Aic2lllinee,yomosapiehs,1,80002,3415,F,,,9606.0,,,1A9
72,1,Eeffctiv2dosefequiredfo4inhibit8ryactivityagaigst1A9hhkahfumoffelloine,Homosa9iegs,1,80002,17099,F,,,9606.0,,,1A9
73,1,Psdcentinhibitiohagainst1A9yumantuml4celil8neat01oigmL,Hokosapifns,1,80002,17099,F,,,9606.0,,,1A9
74,1,Psrcdntinnin9tionagainst1A9humabtumlrcelllinext0p00o8unmL,Hom9sapiejs,1,80002,17099,F,,,9606.0,,,1A9
75,1,Pr4c3nhinhibigi9nxgainst1A9humahrumorceollineat10ugmL,yomosapiems,1,80002,17099,F,,,9606.0,,,1A9
76,1,khh7biyoryconden4fationagainstJuruatcells,Homosapuenq,1,81072,17721,F,,,9606.0,,,Jurkat
77,1,Invit3oanticanferactifityaga7jet3bfISCLCcslllines7nactive,,0,22226,1229,F,,,,,,
78,1,Inhibltionofcytoxhr9meP4y0progesterohs2qpphahysr8xylqse,Rattuqgo5vegicus,9,100121,11347,A,,,10116.0,,,
79,1,Invi5roinhibition0rhunan2rodidosquqlrnevyclase,,8,11231,17117,B,,,,,,
80,1,Invitroinhibitiojofbumag22ocirosqualenwcyclzsf,,8,11231,17117,B,,,,,,
81,1,Invifrojnhibutionofyuman23oaid8ssualebecyclas4atq00nM,,8,11231,17117,B,,,,,,
82,1,sompoumwwaeevwluah2ff8rtheinhkbitiojofnic3osomal24oxidoaqualenecyclaceinCandidxaihicansmicrosomes,Cwndidaakbisans,8,11231,11375,B,,,5476.0,,,
83,1,Comp8kndwasegaluat4dfortheinhibitionofmicr8comal24oxidossualwnelaboc6erolcyclzae7nCandieaqibiczncmicr9somes,Cwnd8daalficans,8,11231,11375,B,,,5476.0,,,
84,1,Com0ouncwas2valuatedfor5mrjnjibktionofkicrosokal23oxid0squwlenexyflaseinSacsharonycescwgevisiaemidrosom2s,Saccharojyc3scerevisowe,8,11231,11375,B,,,4932.0,,,
85,1,simpoundwssebaluar2vrortheinyibitionofmicrosomal23oxidosqualenelanosrerllxyclzseijSxcfharojycezcer2fieiaemicrislmes,Saxcharomycesxer4cisiae,8,11231,11375,B,,,4932.0,,,
86,1,dompounvwasfvaluatsdforth2inh7bitionofmivrodomwl23oxidosq8slenekanoeterkldyclaseuhp8gl8vermicr9somes,Sussceofa,8,12083,11375,B,,,9823.0,,Liver,
87,1,Concdhteationresui4ecgoinhibigratl9ger23oxidoswjalejelanosterolcyckase,Rattuxnorvsticus,8,11231,791,B,,,10116.0,,,
88,1,C9ncenhratiknreqyir2dtoinhibitratiiger23oxidosqkalfnelznostegolc7cladwOSC,5qttusnotvegicus,8,11231,791,B,,,10116.0,,,
89,1,Ecaluatedforiyszchigitutoinhonuhratliber23oxieosqualebelanoste4ilcyclwseactivit7expr3ssedasKi,Ratt8snorvenicua,8,11231,791,B,,,10116.0,,,
90,1,Compojndsasevalhat2dvor5heunhibihionofmic5oxomal23oxidocqualenec7clqseingztlicerm7crosokes,Rattusmorcegicuz,9,12083,11375,B,,,10116.0,,Liver,
91,1,Compiundwasevaluagedfortheinuibi59onogjicrosomal23lcicos2halenelam0stsrolc5claseohratoivermicrisomes,Rzttusnoevfgicus,9,12083,11375,B,,,10116.0,,Liver,
92,1,Compoubv3asevaiuatedforinhibitoryacgivityanaihst23oxidosaixlendlqnoste3olc6clswdijratpive4microsomes,Rsttusn8rvegicks,9,12083,153,B,,,10116.0,,Liver,
93,1,nolzrconcen4ratiohgeededt0give50prsvengu8nofq5AAdenlqinedependentenworibonucldaxe,,8,11377,8269,B,,,,,,
94,1,Molarc8ncentgatiomrequiredtovosllade50oftheradiooabrledprof3g4om2yAAdenosunewep4ndentemdoribonucleaze9nendonucleasfnjtrlcellyl0secompp3x,,8,11377,8269,B,,,,,,
95,1,Igvi4rocyyoyoxkxconcen5rationrequoredrlinhibithepatitisBvitisHvVreplicat8omin2215celliune,Homodap8ens,1,81020,17653,F,,,9606.0,,,HepG2
96,1,50Efeectiveconcebyrationofcompkund5equiredforihhivitinh9ntrqcellilarviral4eppicafiveintermed8ateDNxinHBVt3ansf4ctsfq21rfelkl8ne,Homosapiejz,1,81020,14277,F,,,9606.0,,,HepG2
97,1,Antivuralacrivityaga8nsrHepxtktisBvifusin2215c3lklins,Hohosapuens,1,81020,1717,F,,,9606.0,,,HepG2
98,1,Ibvo6roeffectivedoncehttat7onaga7nsthepatitisBvuruswazeeterhinesin2215celiz,Hpmosapiend,1,81020,14091,F,,,9606.0,,,HepG2
99,1,Invitroeffec4ivev8ncentrafionagsinsthwpatitisBfkfuswxsseterminedln2115cellsNotxeterjimfd,Hlmosap9ens,1,81020,14091,F,,,9606.0,,,HepG2
100,1,Invitroeffectidecojcen4dationrrqjirwdtoinhobuthepatitisBf73usHBd3eplicatiog8n22w5cellline,HdpatitisBvor8s,1,50606,17653,F,,,10407.0,,,
101,1,zbklity6o8nyibittheepidomzlHBVDNAin2215cekls,Homoswpienc,1,81020,13105,F,,,9606.0,,,HepG2
102,1,Concehtrationrequi5ed5pihhigit50of22w5feklline,bomosapi2ns,1,81020,1717,F,,,9606.0,,,HepG2
103,1,Antivlraoavtivityagaindt2215c4lisconcenhrationreqyirwdtireducetnflogpuasecelogrlwthgy60,H8kosapiens,1,81020,13105,A,,,9606.0,,,HepG2
104,1,Cyto6oxicactivityofcompoumdaga9nstijinf3ctev2q15xeols,mokosapiens,1,50587,13600,F,,,9606.0,,,2.2.15
105,1,Antkhepz4i6isBfirusactivitywasfval6atedinw215fdlls,Homosapusns,1,50587,13467,F,,,9606.0,,,2.2.15
106,1,InhjbitiogoftherepkicatiomofHvcin2215cflisbtxNAhyhridizwyionassay,Hepa5itishcirus,1,50606,17477,F,,,10407.0,,,2.2.15
107,1,InviteoanyiHBdwctivityin221yc3lls,yomoxapiens,1,50587,1593,F,,,9606.0,,,2.2.15
108,1,InbitroantiHBVaxtifih6inw215csllsNotdetefmin2d,Homowapiebs,1,50587,1593,F,,,9606.0,,,2.2.15
109,1,Thecompoundwadr3s6edinvitrofkrtjeagfiHBVadtivityagaijdt221rcells,Hojoxapiens,1,50587,15089,F,,,9606.0,,,2.2.15
110,1,ThevimpoundwasyestedlnditepfortyeantiHBVactivityinw215deols,Homoda0iens,1,50587,15089,F,,,9606.0,,,2.2.15
111,1,fytotoxucjtyin22w5cells,Homosap9ejs,1,50587,1593,F,,,9606.0,,,2.2.15
112,1,Cytotoxicihyin22q5ceklzNotdst2rminer,tomoaapiens,1,50587,1593,F,,,9606.0,,,2.2.15
113,1,Inhihj4oryactivihylfcohpo8ndagainshje0xtitisBvirusHBVihgrowingxultheecof2215cells,Homosaoiegs,1,50587,13600,F,,,9606.0,,,2.2.15
114,1,5hevrowtbinhibitionqctivktyfortnecompoundwxdecaluztedij2215sells,Hokosaoiens,1,50587,13467,F,,,9606.0,,,2.2.15
115,1,Seowctlvityindexsasdets4klnedfromtherztioorIC50t8gheEC50valuesdgaouatedin2e15cells,nomosapiebs,1,50587,13467,F,,,9606.0,,,2.2.15
116,1,AhriviralaftivityxgaimstHBV1zsdstftminedin2215cellline,Hom9sapiehs,1,81020,14764,F,,,9606.0,,,HepG2
117,1,Inhjhitionof20H4TEs7nthesisknhkkamrenalmicroeomes,uomosap9ens,0,22226,6531,B,,,9606.0,,,
118,1,Inhibigorhactivityagainste0H4TEproxucfionfeomaractidoniczc9cusunbtumanrenalmicfosome20HsTEsjb4hase,,0,22226,17322,B,,,,,,
119,1,Ijhibitortfoncehtra6iohagainsy2o08ovariansells,Homosa07ens,1,80612,17072,F,,,9606.0,,,2008
120,1,50Gro1thjnhibitoryconcemtratiomGk50byuxihg2o08humanovxrianca4con0kacelllig3s,Hokosapiene,1,80612,16936,F,,,9606.0,,,2008
121,1,dompoundwasteq5edfof50gdowthingib7yo45concentrationfyusibvh6manova4iancarcinohacelliines200u,H0mosapienz,1,80612,16936,F,,,9606.0,,,2008
122,1,rirefycy4o60xlfitysgainqhtheseleftedtum8rcellline20piwasxetegminedesprciallyon8varianadenocarcinomacerivedvekls,Homosapi4bs,1,80612,17146,F,,,9606.0,,,2008
123,1,Di4ectcytoroxlvif5qgaons6theselextedtumorcfllkinee0o8wasdet3rminededpeciallyoj9varuanadenoca4cinomaderivedxelpcnotdetrcted,Hom0xapiens,1,80612,17146,F,,,9606.0,,,2008
124,1,jnvitrounhkbitionofe008d9variancance5xelllkne,Hlmosapiebs,1,80613,10797,F,,,9606.0,,,2008/R
125,1,Inv8trokntibit7lnof3098RovariajcancfrdepllineNsNotachievable,Homosapi3bs,1,80613,10797,F,,,9606.0,,,2008/R
126,1,Invotrpinhubihionof209uSovarlamcancercelllinr,Hkmosapi3ns,1,80614,10797,F,,,9606.0,,,2008/S
127,1,Inci5roonhibi6ionoc2o08Sovariqncabc4rcelllineNANotachiefsboe,Homosqpjens,1,80614,10797,F,,,9606.0,,,2008/S
128,1,Tes5edinvitrpf0einhibktionofcnymotry9sinlikeaxhivi5tofpurifiedhujaj29Sprotewcome,Homosaplend,2,100256,4823,B,,,9606.0,,,
129,1,Compoinf3asevalua4ewdorknhibitoryacyivityavainst20wprkteasomedg0mhumanliverzndgrain,momosapiena,2,100256,12912,B,,,9606.0,,,
130,1,Inhifltionofcm5motrypsimllkeactivity8f20Spdoteas9je,,2,100256,2957,B,,,,,,
131,1,8nhib8tiom0fchymitdypsihpikeactivityof20Sprohrasomefalke5angesfrom1020uh,,2,100256,2957,B,,,,,,
132,1,Inn9bitorhactivktuagainsg20eproteosome,,2,100256,3260,B,,,,,,
133,1,Com9oundwasted6edfor7nhibitotyacyivktyavainstfryptass,Homoqapi3ns,0,22226,3451,B,,,9606.0,,,
134,1,C9ndebtrationrequiredyoihjibit50ofextracelpularcigc8larrepl9saykonofHBVsmAus9nr2215ceilline,yomosapiene,1,81020,13885,F,,,9606.0,,,HepG2
135,1,C9ncegt5afioneequiredtoinbigitr0ofintracelluparcirvularreppicw5iknofHBVDNAusihg2214cflloine,Hom8sa0iens,1,81020,13885,F,,,9606.0,,,HepG2
136,1,Compounrwaqg2strdforgheunhibitkonofAlphatlucozidase,,0,22226,3676,B,,,,,,
137,1,Inhibitorhsincenttationaga8hsthumanne6tropt7lelastqqeHNE,,8,235,6043,B,,,,,,
138,1,vhanbeinheargtafewasexp4rasevinpercentatatad8se0002mgigicinanesrhrtizedrat,Rs4tusnorveglcus,0,22226,11140,F,,,10116.0,,Heart,
139,1,90inyibiti9not6hew0Mycobacferi8mavuumxomplexMACxlinisaliqolates,,8,19640,10543,F,,,,,,
140,1,jinimumimhibitor7soncentra5iojofconloundagaibst20Myc8bacteriunaviumslkplexMqCclinisal9sola5es,,8,19640,10543,F,,,,,,
141,1,Minimiminnibitor5cojventrsfi8hkfc0mpoundagaunct20MyvobqctegiumaviumcomplwxMAsclinicalisolates,,8,19640,10543,B,,,,,,
142,1,00knhinitionofthe20MycibastwrkjmwvihmcomplexMACslinjcalisolates,,8,19640,10543,F,,,,,,
143,1,InVihroeval7ationforthegr0wthijh8biti0n8fSubliheP3u8AMSqLeymemiac2illines,Muamueculus,1,80360,11365,F,,,10090.0,,,P338
144,1,InVitroevaluationfprtb3growthlnuibi5ionpdaublineP278CPLeuk3miacelplknes,Muskuxculus,1,80360,11365,F,,,10090.0,,,P338
145,1,Comooundwasevaouatedeo4tteinhibutilnidcellrdplifaflonhukanp3ripheralbloodlykphocyteslBLs,Hkmosapiwns,1,80384,11803,F,,,9606.0,,,PBL
146,1,Comp08ndwasevaluatedfor4h2inhibjtionpfvellreloica4ioneheepcjorokdplexusSx0cells,Ovisariss,0,22226,11803,F,,,9940.0,,,
147,1,Compo7nrwasrvaluatewforth4inhib75iinofcellrrplixariohsmeepchoroidplexusSCPvelle,Ovisaroes,0,22226,11803,F,,,9940.0,,,
148,1,Compokndjssvxluztedkbvi4rofortheinhibu4ionsinglemutant9fHoV1RTu181C,,8,191,12278,B,,,,,,
149,1,xkm0okgdwazebxluatedforitsimhiburoryeffdcronthymidjge3HwThdihcorpkratilnintoDgAlfCEMMTXcellsoncultureatconc10e5,Homosa9ienq,0,22226,8249,F,,,9606.0,,,
150,1,Comoiujrwassvaluafedforirsinmibitkry3ffectonthymidkn23Hd4hdincorpi5zt7onintoDjAobCEMkTXcelpdincultureatconc10e6,Homosa9iebs,0,22226,8249,F,,,9606.0,,,
151,1,Compoundwas4caluwtedfpritsinhlbitoryefvev4ontmymidins3Hdrhdinfo3ppratiogintofNAofsEMceklsimatvonc10e7,Homoaapiejs,0,22226,8249,F,,,9606.0,,,CCRF-CEM
152,1,Cojpounswqsevaluwtedgor9tsinhibiyorteffrct0nthymidinerHdTheincotporztionigtlDjAofdEMcelosinculrureatsonc10e4,Homoqap9ens,0,22226,8249,F,,,9606.0,,,CCRF-CEM
153,1,Compounswaswvaouatedforitsjnhibitoryeffectog4h5nicinf3HdTtdincorpotztionintoDNqofxsMcwils9ncultugearconc10e5,Hokoaapiens,0,22226,8249,F,,,9606.0,,,CCRF-CEM
154,1,Com0oundwaxevapuayevforitwinhibitoryeffdctonthymidone3HdThdinvorpots6iohknroDNAovC4Mcellsoncult6r2ztconc10e6,Homosspuens,0,22226,8249,F,,,9606.0,,,CCRF-CEM
155,1,C9mp8unvwasevaiuwtedforitsijhibitoeyedfectonthymidime3Hd4hdigcorporstionjmt0DNwofCEknTXcelleinatconcw0e7,Homoeapiejs,0,22226,8249,F,,,9606.0,,,
156,1,fompohndwssecaluatedfofitslnh9bitoryeffectonthymldins3HdTtdinxorpo5ayionintowNAofCEnnTXseoleigcultureatconsw0e4,yomosap8ens,0,22226,8249,F,,,9606.0,,,
157,1,Inviye0bindingaffinitytowxrrzalpha31beta23neu5onalnisot8nicacefykcholigeeecrptorlnP2membragefractiojcofratfotebeaib,,6,104290,16992,B,,,,,,
158,1,Mihimjminhobitoryconcfntrationlcdompounxagajns6Shreptocoxcusptigemusseptkcemia7nthemouse,St3ep6ococvuspgogenes,1,50264,10543,F,,,1314.0,,,
159,1,xjtigiralaftivityagainst07qstfaibof6hymidimskinasenegaticeTKVarifeklwZostfrVirusVZd,Hymanherp2sv9rus3,1,50527,17833,F,,,10335.0,,,
160,1,Antiviralavtivktgagaijst071stra7nifVZVigH3Lhjmanerythrileyk2kiacells,vegicilkazos6ervitus,1,50527,17290,F,,,10335.0,,,HEL
161,1,Angivi4alactivihhagainst081strqin8edZVNDNodata,v2ricillaz8strrvir8s,1,50527,17290,F,,,10335.0,,,
162,1,Antuv84alactiv7fyagainst071strqinpfVaVNDjodata,v4ridillaaosterv8rus,1,50527,17290,F,,,10335.0,,,
163,1,wjtibacterialactkcitywasdeterm7nedagw7jstgramnfgafiveorgwnisnEntrrobac5erclkacaenA26r6,sscherifhiacl0ac,1,50145,10932,F,,,561.0,,,
164,1,RatiolfKia5AwtlKiatA1rec4ptlrs,,0,22226,9707,B,,,,,,
165,1,jnvit4okmhibjtion9f13betablucansymthzseknCandidaqlbicandmembranexssay,Canridwalbicanw,8,11143,2346,B,,,5476.0,,,
166,1,Inhifitiojof13netagkkcansjnthase,CandidaglzbrafaCfSq38,8,18077,2205,B,,,284593.0,,,
167,1,Ijhkbi5ionofgrow6hof187humabtujorfelllime,mkmosapiens,1,80609,11900,F,,,9606.0,,,1-87 tumor cell line
168,1,Inhibihionof1lipox7genaseiOzonRgLxells,Rattusnorvegofue,9,12166,14864,B,,,10116.0,,,
169,1,Inhlbiyoryactivityqgainsteoyfean2ilpoxygenasezLO,Glyc8nehax,9,100171,16474,B,,,3847.0,,,
170,1,Inhibitpeyacgivitjagainsgqoygdan1lipoxyyenwseSLOnoeffec6,Giycin3max,9,100171,16474,B,,,3847.0,,,
171,1,inhibitiinagainstskybeag1lip8xtbdnaeeSLO,Glysinemaa,9,100171,16474,B,,,3847.0,,,
172,1,perc3ntingobitionzgainstsotbeam1oipoxjg2nxseSLOgIisnoknhibition,Glycinenas,9,100171,16474,B,,,3847.0,,,
173,1,Ratioobproximaltodistakregionoxiwq4ionbyqokoozjgenxselsolatedfromsotbeqnRst8ooflroximalanwdistaowas1090,Glycinwmqx,9,100171,3094,B,,,3847.0,,,
174,1,Ratuolfpgoximaktodkztalregionoaidationb51lipoxyg2naseisolayfdfromxoyveanRz6iopfprosimalqndwistalwae199,Goycinfmax,9,100171,3094,B,,,3847.0,,,
