assay_id,assay_tissue,curated_by,description,src_id,variant_id,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_cell_type
61,,Intermediate,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,1,,4787,F,,,Homo sapiens,9606.0,,1A9
62,,Intermediate,Cytotoxic activity against human ovarian cancer (1A9) cell line,1,,3547,F,,,Homo sapiens,9606.0,,1A9
63,,Intermediate,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,1,,3547,F,,,Homo sapiens,9606.0,,1A9
64,,Intermediate,Effective dose of compound against replication of 1A9 cell line was evaluated,1,,6726,F,,,Homo sapiens,9606.0,,1A9
65,,Expert,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,1,,3455,F,,,Homo sapiens,9606.0,,1A9
66,,Intermediate,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),1,,5726,F,,,Homo sapiens,9606.0,,1A9
67,,Intermediate,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,1,,5726,F,,,Homo sapiens,9606.0,,1A9
68,,Intermediate,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,1,,5726,F,,,Homo sapiens,9606.0,,1A9
69,,Intermediate,Inhibitory activity against Taxol resistant 1A9 cell lines,1,,3395,F,,,Homo sapiens,9606.0,,1A9
70,,Expert,Cytotoxicity against human ovarian cancer (1A9) cell lines.,1,,3415,F,,,Homo sapiens,9606.0,,1A9
71,,Expert,Percentage inhibition of human ovarian cancer (1A9) cell lines.,1,,3415,F,,,Homo sapiens,9606.0,,1A9
72,,Expert,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,1,,17099,F,,,Homo sapiens,9606.0,,1A9
73,,Intermediate,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,1,,17099,F,,,Homo sapiens,9606.0,,1A9
74,,Intermediate,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,1,,17099,F,,,Homo sapiens,9606.0,,1A9
75,,Intermediate,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,1,,17099,F,,,Homo sapiens,9606.0,,1A9
76,,Intermediate,Inhibitory concentration against Jurkat cells,1,,17721,F,,,Homo sapiens,9606.0,,Jurkat
77,,Intermediate,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,1,,1229,F,,,,,,
78,,Expert,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,1,,11347,A,,,Rattus norvegicus,10116.0,,
79,,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",1,,17117,B,,,,,,
80,,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",1,,17117,B,,,,,,
81,,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",1,,17117,B,,,,,,
82,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",1,,11375,B,,,Candida albicans,5476.0,,
83,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",1,,11375,B,,,Candida albicans,5476.0,,
84,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",1,,11375,B,,,Saccharomyces cerevisiae,4932.0,,
85,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",1,,11375,B,,,Saccharomyces cerevisiae,4932.0,,
86,Liver,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",1,,11375,B,,,Sus scrofa,9823.0,,
87,,Autocuration,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",1,,791,B,,,Rattus norvegicus,10116.0,,
88,,Autocuration,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",1,,791,B,,,Rattus norvegicus,10116.0,,
89,,Autocuration,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",1,,791,B,,,Rattus norvegicus,10116.0,,
90,Liver,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",1,,11375,B,,,Rattus norvegicus,10116.0,,
91,Liver,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",1,,11375,B,,,Rattus norvegicus,10116.0,,
92,Liver,Autocuration,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",1,,153,B,,,Rattus norvegicus,10116.0,,
93,,Expert,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),1,,8269,B,,,,,,
94,,Expert,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,1,,8269,B,,,,,,
95,,Expert,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,,17653,F,,,Homo sapiens,9606.0,,HepG2
96,,Intermediate,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,1,,14277,F,,,Homo sapiens,9606.0,,HepG2
97,,Intermediate,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,1,,1717,F,,,Homo sapiens,9606.0,,HepG2
98,,Intermediate,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,1,,14091,F,,,Homo sapiens,9606.0,,HepG2
99,,Intermediate,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,1,,14091,F,,,Homo sapiens,9606.0,,HepG2
100,,Expert,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,,17653,F,,,Hepatitis B virus,10407.0,,
101,,Intermediate,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,1,,13105,F,,,Homo sapiens,9606.0,,HepG2
102,,Intermediate,Concentration required to inhibit 50% of 2.2.15 cell line,1,,1717,F,,,Homo sapiens,9606.0,,HepG2
103,,Intermediate,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,1,,13105,A,,,Homo sapiens,9606.0,,HepG2
104,,Intermediate,Cytotoxic activity of compound against uninfected 2.2.15 cells.,1,,13600,F,,,Homo sapiens,9606.0,,2.2.15
105,,Intermediate,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,1,,13467,F,,,Homo sapiens,9606.0,,2.2.15
106,,Expert,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",1,,17477,F,,,Hepatitis B virus,10407.0,,2.2.15
107,,Intermediate,In vitro anti-HBV activity in 2.2.15 cells,1,,1593,F,,,Homo sapiens,9606.0,,2.2.15
108,,Intermediate,In vitro anti-HBV activity in 2.2.15 cells; Not determined,1,,1593,F,,,Homo sapiens,9606.0,,2.2.15
109,,Intermediate,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,1,,15089,F,,,Homo sapiens,9606.0,,2.2.15
110,,Intermediate,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,1,,15089,F,,,Homo sapiens,9606.0,,2.2.15
111,,Intermediate,Cytotoxicity in 2.2.15 cells,1,,1593,F,,,Homo sapiens,9606.0,,2.2.15
112,,Intermediate,Cytotoxicity in 2.2.15 cells; Not determined,1,,1593,F,,,Homo sapiens,9606.0,,2.2.15
113,,Intermediate,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,1,,13600,F,,,Homo sapiens,9606.0,,2.2.15
114,,Intermediate,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,1,,13467,F,,,Homo sapiens,9606.0,,2.2.15
115,,Intermediate,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,1,,13467,F,,,Homo sapiens,9606.0,,2.2.15
116,,Intermediate,Antiviral activity against HBV was determined in 2.215 cell line,1,,14764,F,,,Homo sapiens,9606.0,,HepG2
117,,Autocuration,Inhibition of 20-HETE synthesis in human renal microsomes,1,,6531,B,,,Homo sapiens,9606.0,,
118,,Autocuration,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,1,,17322,B,,,,,,
119,,Intermediate,Inhibitory concentration against 2008 (ovarian) cells,1,,17072,F,,,Homo sapiens,9606.0,,2008
120,,Intermediate,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,1,,16936,F,,,Homo sapiens,9606.0,,2008
121,,Intermediate,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),1,,16936,F,,,Homo sapiens,9606.0,,2008
122,,Intermediate,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,1,,17146,F,,,Homo sapiens,9606.0,,2008
123,,Intermediate,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,1,,17146,F,,,Homo sapiens,9606.0,,2008
124,,Intermediate,In vitro inhibition of 2008/R ovarian cancer cell line,1,,10797,F,,,Homo sapiens,9606.0,,2008/R
125,,Intermediate,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,1,,10797,F,,,Homo sapiens,9606.0,,2008/R
126,,Intermediate,In vitro inhibition of 2008/S ovarian cancer cell line,1,,10797,F,,,Homo sapiens,9606.0,,2008/S
127,,Intermediate,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,1,,10797,F,,,Homo sapiens,9606.0,,2008/S
128,,Expert,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,1,,4823,B,,,Homo sapiens,9606.0,,
129,,Intermediate,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,1,,12912,B,,,Homo sapiens,9606.0,,
130,,Expert,Inhibition of chymotrypsin-like activity of 20S proteasome,1,,2957,B,,,,,,
131,,Expert,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,1,,2957,B,,,,,,
132,,Intermediate,Inhibitory activity against 20S proteosome,1,,3260,B,,,,,,
133,,Autocuration,Compound was tested for inhibitory activity against tryptase,1,,3451,B,,,Homo sapiens,9606.0,,
134,,Intermediate,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,1,,13885,F,,,Homo sapiens,9606.0,,HepG2
135,,Intermediate,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,1,,13885,F,,,Homo sapiens,9606.0,,HepG2
136,,Autocuration,Compound was tested for the inhibition of Alpha-glucosidase,1,,3676,B,,,,,,
137,,Autocuration,Inhibitory concentration against human neutrophil elastase (HNE),1,,6043,B,,,,,,
138,Heart,Autocuration,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,1,,11140,F,,,Rattus norvegicus,10116.0,,
139,,Autocuration,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,1,,10543,F,,,,,,
140,,Expert,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,1,,10543,F,,,,,,
141,,Autocuration,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,1,,10543,B,,,,,,
142,,Expert,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,1,,10543,F,,,,,,
143,,Intermediate,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,1,,11365,F,,,Mus musculus,10090.0,,P338
144,,Intermediate,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,1,,11365,F,,,Mus musculus,10090.0,,P338
145,,Intermediate,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,1,,11803,F,,,Homo sapiens,9606.0,,PBL
146,,Autocuration,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,1,,11803,F,,,Ovis aries,9940.0,,
147,,Autocuration,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,1,,11803,F,,,Ovis aries,9940.0,,
148,,Autocuration,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),1,,12278,B,,,,,,
149,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,1,,8249,F,,,Homo sapiens,9606.0,,
150,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,1,,8249,F,,,Homo sapiens,9606.0,,
151,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,1,,8249,F,,,Homo sapiens,9606.0,,CCRF-CEM
152,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,1,,8249,F,,,Homo sapiens,9606.0,,CCRF-CEM
153,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,1,,8249,F,,,Homo sapiens,9606.0,,CCRF-CEM
154,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,1,,8249,F,,,Homo sapiens,9606.0,,CCRF-CEM
155,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,1,,8249,F,,,Homo sapiens,9606.0,,
156,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,1,,8249,F,,,Homo sapiens,9606.0,,
157,,Autocuration,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,1,,16992,B,,,,,,
158,,Intermediate,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,1,,10543,F,,,Streptococcus pyogenes,1314.0,,
159,,Intermediate,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),1,,17833,F,,,Human herpesvirus 3,10335.0,,
160,,Expert,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,1,,17290,F,,,vericilla zoster virus,10335.0,,HEL
161,,Intermediate,Antiviral activity against 07/1 strain of VZV; ND: No data,1,,17290,F,,,vericilla zoster virus,10335.0,,
162,,Intermediate,Antiviral activity against 07/1 strain of VZV; ND=No data,1,,17290,F,,,vericilla zoster virus,10335.0,,
163,,Intermediate,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",1,,10932,F,,,escherichia cloac,561.0,,
164,,Autocuration,Ratio of Ki at A2 to Ki at A1 receptors,1,,9707,B,,,,,,
165,,Expert,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",1,,2346,B,,,Candida albicans,5476.0,,
166,,Expert,"Inhibition of 1,3-beta-glucan synthase",1,,2205,B,,,Candida glabrata CBS 138,284593.0,,
167,,Intermediate,Inhibition of growth of 1-87 human tumor cell line,1,,11900,F,,,Homo sapiens,9606.0,,1-87 tumor cell line
168,,Expert,Inhibition of 1-lipoxygenase (LOX)in RBL cells,1,,14864,B,,,Rattus norvegicus,10116.0,,
169,,Autocuration,Inhibitory activity against soybean 1-lipoxygenase (SLO),1,,16474,B,,,Glycine max,3847.0,,
170,,Autocuration,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,1,,16474,B,,,Glycine max,3847.0,,
171,,Autocuration,% inhibition against soybean 1-lipoxygenase (SLO),1,,16474,B,,,Glycine max,3847.0,,
172,,Autocuration,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,1,,16474,B,,,Glycine max,3847.0,,
173,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,1,,3094,B,,,Glycine max,3847.0,,
174,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,1,,3094,B,,,Glycine max,3847.0,,
175,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,1,,3094,B,,,Glycine max,3847.0,,
176,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,1,,3094,B,,,Glycine max,3847.0,,
177,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,1,,3094,B,,,Glycine max,3847.0,,
178,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,1,,3094,B,,,Glycine max,3847.0,,
179,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,1,,3094,B,,,Glycine max,3847.0,,
180,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,1,,3094,B,,,Glycine max,3847.0,,
181,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,1,,3094,B,,,Glycine max,3847.0,,
182,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,1,,3094,B,,,Glycine max,3847.0,,
183,,Autocuration,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,1,,3094,B,,,Glycine max,3847.0,,
184,,Autocuration,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,1,,10413,B,,,Mus musculus,10090.0,,
185,,Intermediate,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),1,,16929,F,,,Mus musculus,10090.0,,C3H 10T1/2
186,,Intermediate,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,1,,1229,F,,,,,,
187,,Autocuration,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),1,,16587,B,,,,,,
188,,Autocuration,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),1,,16587,B,,,,,,
189,,Autocuration,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,1,,16587,B,,,,,,
190,,Autocuration,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,1,,16587,B,,,,,,
191,,Autocuration,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,1,,16587,B,,,,,,
192,,Expert,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,1,,8058,F,,,Bos taurus,9913.0,,
193,,Expert,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,1,,9065,B,,,Rattus norvegicus,10116.0,,
